회사명,공장주소(도로명),공장주소(지번),업종명,전화번호,종업원수(총인원),생산품,원자재
동강석공예,경기도 포천시 선마로 43 (선단동) 외 1필지,경기도 포천시 선단동 14-3번지 외 1필지,기타 석제품 제조업 외 2 종,031-542-9967,5,"볼라드,석제품,음수대",
동광SP,경기도 포천시 가산면 가산로 155 외 2필지,경기도 포천시 가산면 방축리 350번지 외 2필지,폴리스티렌 발포 성형제품 제조업 외 1 종,031-542-0840,8,우레탄발포스펀지,
동광산업,경기도 포천시 소흘읍 초가팔로 21,경기도 포천시 소흘읍 초가팔리 308번지,모피제품 제조업 외 1 종,031-545-3483,138,"모피,피혁",
동광섬유,경기도 포천시 군내면 포천로909번길 50,경기도 포천시 군내면 유교리 1035-1번지,스크린 인쇄업,031-543-6257,15,스크린인쇄,
동광테크(주),경기도 포천시 가산면 마전길 128-25,경기도 포천시 가산면 마전리 305-1,구조용 금속 판제품 및 공작물 제조업 외 7 종,031-543-2230,3,"볼라드, 쓰레기통, 자전거 보관대, 금속선반 받침대, 야외운동기구, 청소차량 박스, 청소차량 장치 변경, 청소용 손수레","철재류, 스텐레스"
동광프리즘(주)내촌지점,경기도 포천시 내촌면 부마로265번길 18,경기도 포천시 내촌면 마명리 356-1번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 10 종",031-533-6458,25,"쓰레기통,자전거보관대,클린하우스,흡연부스","철재,스텐"
동광합금공업사,경기도 포천시 가산면 너배기길 42-35,경기도 포천시 가산면 금현리 1146번지,알루미늄주물 주조업,031-543-5314,5,"방수전기콘셑,전기자재,부품류",알루미늄
동국섬유,경기도 포천시 가산면 정금로228번길 13,경기도 포천시 가산면 정교리 56-22번지,편조원단 제조업,031-542-6960,8,"원단,스카프",
동국유리창호(주),"경기도 포천시 신북면 청신로 1898-40, 2동",경기도 포천시 신북면 심곡리 125-2 2동,플라스틱 창호 제조업,02-574-1600,9,pl창호,pl
동규산업,경기도 포천시 소흘읍 죽엽산로 85,경기도 포천시 소흘읍 이가팔리 461-1번지,"라이터, 연소물 및 흡연용품 제조업",031-541-8910,8,라이터,
동락산업(주),경기도 포천시 내촌면 소리개길 86-11 외 2필지,경기도 포천시 내촌면 음현리 11-9 외 2필지,"금속 문, 창, 셔터 및 관련제품 제조업",032-818-6565,4,방화셔터,"코일(철판), 파이프류"
동림산업사,경기도 포천시 화현면 화현리 551-1,경기도 포천시 화현면 화현리 551-1,부직포 및 펠트 제조업,031-532-8586,5,연마 부직포,"나일론, 폴리에스테르"
동림피혁주식회사,경기도 포천시 군내면 좌의길 136 외 4필지,경기도 포천시 군내면 좌의리 309번지 외 4필지,모피 및 가죽 제조업,031-535-8023,37,원피,
동명기전공업(주),경기도 포천시 신북면 청신로2097번길 85-7,경기도 포천시 신북면 신평리 93-33번지,배전반 및 전기 자동제어반 제조업 외 20 종,031-531-9900,21,자동제어반,철판
동북산업(주),경기도 포천시 가산면 포천로898번길 69-80 외 7필지,경기도 포천시 가산면 금현리 328-1번지 외 7필지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",031-541-1989,17,콘크리트타일,콘크리트
동서전기콘트롤,경기도 포천시 가산면 마전2길 11,경기도 포천시 가산면 마전리 459-1번지,"전기회로 개폐, 보호장치 제조업 외 1 종",031-543-3769,2,기기용전기회로개폐 보호 및 접속장치,
동성섬유,경기도 포천시 소흘읍 소흘로 89-5,경기도 포천시 소흘읍 무봉리 211-6,연사 및 가공사 제조업,031-536-2052,8,재봉사,원사
동성섬유,경기도 포천시 가산면 금현리 70-3 외 1필지,경기도 포천시 가산면 금현리 70-3 외 1필지,편조원단 제조업,031-544-3483,1,편직 면원단,원사
동성수지,경기도 포천시 가산면 선마로99번길 59-22,경기도 포천시 가산면 마산리 646-1번지,비금속류 해체 및 선별업 외 1 종,031-542-2680,3,합성수지 원료,비금속류
동성정밀,경기도 포천시 내촌면 금강로2076번길 9-120 외 2필지,경기도 포천시 내촌면 음현리 383-3번지 외 2필지,구조용 금속 판제품 및 공작물 제조업,031-534-2438,9,"금속지붕, 계단, 처마용 발코니","철재, 철"
동신산업,경기도 포천시 가산면 우현로 69,경기도 포천시 가산면 금현리 191-11번지,기타 건축용 플라스틱 조립제품 제조업 외 1 종,031-535-0429,3,"배수로,오수받이",PE
동신섬유,경기도 포천시 신북면 장자경제로 122 가동 3호,경기도 포천시 신북면 신평리 673-15 가동 3호,솜 및 실 염색가공업,031-542-9233,4,염색사,원사
동신요업,경기도 포천시 내촌면 오림포1길 45-38,경기도 포천시 내촌면 진목리 114-6번지,위생용 및 산업용 도자기 제조업,031-534-4676,6,히터,
동아석재산업(주),경기도 포천시 영중면 금화봉길 358 외 6필지,경기도 포천시 영중면 거사리 833-1번지 외 6필지,건설용 석제품 제조업 외 1 종,031-533-3795,38,석제품,원석(화강석)
동아스페이스시스템,경기도 포천시 가산면 마전길 43-4,경기도 포천시 가산면 마전리 649-2,"천막, 텐트 및 유사 제품 제조업",031-533-4508,3,천막,PVDF원단
동아어페럴,경기도 포천시 동교동 174,경기도 포천시 동교동 174,편조원단 제조업,031-542-0960,3,니트원단,원사
동양수기산업(주),경기도 포천시 가산로 163 (가산면),경기도 포천시 가산면 방축리 121-5,액체 여과기 제조업 외 1 종,02-996-9231,3,상하수도 기계,스테인레스
동양수기산업(주),경기도 포천시 호국로1315번길 38 (어룡동),경기도 포천시 어룡동 205-7번지,액체 여과기 제조업 외 1 종,031-536-3702,11,액체여과기,액체여과기
동양전기,경기도 포천시 화현면 금강로 4035-4,경기도 포천시 화현면 화현리 226-4 번지,배전반 및 전기 자동제어반 제조업,031-532-5361,3,전기배전반,
동우섬유,경기도 포천시 가산면 정교2길 106-107 (총 2 필지) 외 1필지,경기도 포천시 가산면 정교리 161-1번지 외 1필지,편조원단 제조업,031-544-4448,8,원단,
동우섬유,경기도 포천시 가산면 메나리길 4,경기도 포천시 가산면 마산리 536-1번지,그 외 기타 분류 안된 섬유제품 제조업,031-543-4971,10,랏셀및시보리원단,
동우텍스타일(주),경기도 포천시 신북면 신평로72번길 31 외 3필지,경기도 포천시 신북면 신평리 200-8번지 외 3필지,"직물, 편조원단 및 의복류 염색 가공업",031-534-3979,50,염색,
동우화스너,경기도 포천시 가산면 정금로255번길 13,경기도 포천시 가산면 정교리 83-2번지,특수 직물 및 기타 직물 직조업,031-543-0081,5,의류부자재,
동원범퍼 주식회사,경기도 포천시 소흘읍 무봉리 222-1 외 2필지,경기도 포천시 소흘읍 무봉리 222-1 외 2필지,자동차 차체용 신품 부품 제조업 외 1 종,031-544-5501,8,자동차범퍼,"커버, 레일, 완충제, 결속장치, 패킹류"
동원산업 주식회사,"경기도 포천시 가산면 금현리 0 H52-1, -2, -3","경기도 포천시 가산면 금현리 0 H52-1, -2, -3",일반 창고업 외 2 종,02-589-4569,160,"물류대행서비스, 보관업","물류대행(3PL)서비스, 보관업"
동원시스템(주),경기도 포천시 소흘읍 무란2길 32-48 201호,경기도 포천시 소흘읍 이동교리 701-1 201호,전기경보 및 신호장치 제조업,02-355-2057,15,"화재경보기,유도등","PCB,  LED"
동일양행,"경기도 포천시 내촌면 부마로265번길 40, 등3필지 (총 3 필지) 외 2필지",경기도 포천시 내촌면 마명리 336-3번지 외 2필지,기타 인쇄업 외 1 종,031-533-1115,11,그라비아인쇄,
동재섬유,경기도 포천시 소흘읍 고모리 478-1번지 외 1필지 외 1필지,경기도 포천시 소흘읍 고모리 478-1번지 외 1필지 외 1필지,편조원단 제조업,031-542-6664,5,원단,
동주에프지(주),"경기도 포천시 일동면 화동로599번길 30-48, 나,다동","경기도 포천시 일동면 유동리 447-1번지 나,다동",기체 여과기 제조업,031-533-4502,10,기체여과기(집진기.덕트),플라스틱
동진섬유,경기도 포천시 군내면 포천로909번길 25,경기도 포천시 군내면 유교리 1023번지,기타 방적업 외 1 종,031-541-0784,20,"자수사,임연사",
동하F&D,경기도 포천시 영중면 양문공단로 128,경기도 포천시 영중면 양문리 1001-2번지,솜 및 실 염색가공업,031-533-5641,20,염사,원사
동해기업(주),경기도 포천시 신북면 신창길 61,경기도 포천시 신북면 신평리 256번지,복합비료 및 기타 화학비료 제조업 외 1 종,031-532-9869,5,유기질비료(증제피헉분),
동해산업,경기도 포천시 군내면 반월산성로 137,경기도 포천시 군내면 하성북리 258-2번지,연사 및 가공사 제조업,031-536-3277,6,자수사(실),실
동해실리콘,경기도 포천시 신북면 포천로1967번길 14,경기도 포천시 신북면 심곡리 450-0번지,고무패킹류 제조업 외 1 종,031-531-4313,2,고무호스,
동해특장,경기도 포천시 가산면 마산리 13-1 외 2필지,경기도 포천시 가산면 마산리 13-1 외 2필지,차체 및 특장차 제조업 외 2 종,031-527-2377,9,특장차제조,철판
동현산업,"경기도 포천시 가산면 마현1길 22, (1층)",경기도 포천시 가산면 금현리 362-7 (1층),구조용 금속 판제품 및 공작물 제조업 외 1 종,031-543-5103,4,"미끄럼방지 시설물,비드","스테인레스,알류미늄"
동호카바링,경기도 포천시 군내면 용정리 483-24,경기도 포천시 군내면 용정리 483-24,연사 및 가공사 제조업,031-533-3580,10,고무사,"나일론, 라텍스"
동환실업,경기도 포천시 가산면 방축리 100 번지 외 1필지,경기도 포천시 가산면 방축리 100 번지 외 1필지,편조원단 제조업,031-543-1333,33,원단(면),원단
두광전자,경기도 포천시 포천로427번길 12 (내촌면) 6동,경기도 포천시 내촌면 진목리 257-9 6동,교통 신호장치 제조업 외 4 종,031-532-4538,2,전자메가폰및혼스피커,사출 프라스틱 & 철류
두만프라스틱,경기도 포천시 소흘읍 소흘로24번길 37,경기도 포천시 소흘읍 무봉리 237-5,플라스틱 필름 제조업 외 1 종,031-543-3572,10,시트(가방깔판),시트
두성에코(주),경기도 포천시 창수면 옥수로262번길 162 외 3필지,경기도 포천시 창수면 주원리 194 외 3필지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",031-533-1501,6,"콘크리트타일,기와,벽돌및블록","시멘트, 모래, 혼화재 "
두양메탈,경기도 포천시 군내면 용정1길 52,경기도 포천시 군내면 용정리 199-40번지,단추 및 유사 파스너 제조업,031-535-0234,8,단추,아연괴
두용,경기도 포천시 가산면 마전리 608,경기도 포천시 가산면 마전리 608,"플라스틱 포대, 봉투 및 유사제품 제조업",031-541-3067,4,비닐봉투,OPP 필름
두원환경산업,경기도 포천시 내촌면 진금로 4-43,경기도 포천시 내촌면 진목리 201-1번지,산업용 송풍기 및 배기장치 제조업,031-532-1332,4,"송풍기,산업용집진기",
둘테크,"경기도 포천시 신북면 장자경제로 144-6, 가-2",경기도 포천시 신북면 신평리 673-4 가-2,"직물, 편조원단 및 의복류 염색 가공업",031-593-4070,4,리본테이프 등,섬유 원단
듀라패드 주식회사,경기도 포천시 군내면 용정경제로1길 93-11,경기도 포천시 군내면 용정리 483-15,금속 가구 제조업 외 1 종,031-534-9500,12,"금속가구, 금속창호, 금속문제조 건축자재",알루미늄샤시
디.케이.엠(주),경기도 포천시 소흘읍 무란2길 18,경기도 포천시 소흘읍 이동교리 693번지,정형외과용 및 신체보정용 기기 제조업,031-864-5678,28,의료기기,
디벨론건설기계서울판매(주),경기도 포천시 신북면 중앙로 457,경기도 포천시 신북면 가채리 5-1,건설.광업용 기계 및 장비 수리업,02-6489-9123,21,건설 및 광업용기계 수리유지,부품 자재
디에스스택(주),경기도 포천시 정금로206번길 46 (가산면),경기도 포천시 가산면 정교리 16-2,구조용 금속 판제품 및 공작물 제조업,031-544-8416,0,스테인레스 이중관 연도,스테인레스 강판 (코일)
디에스정공(주),경기도 포천시 화현면 화동로 548-52,경기도 포천시 화현면 화현리 445번지,금속탱크 및 저장용기 제조업 외 5 종,031-534-4923,3,"트레일러,특장차,산업용기,펌프","철판,주물"
디에이치팜(주),경기도 포천시 내촌면 금강로 2874-36 외 5필지,경기도 포천시 내촌면 소학리 65번지 외 5필지,건강기능식품 제조업,031-532-0315,9,건국패밀리 생유산균,"유산균,msm 등"
디온리브레이크(주),"경기도 포천시 군내면 포천로909번길 5, 가동",경기도 포천시 군내면 유교리 1040 번지 가동,그 외 자동차용 신품 부품 제조업 외 3 종,031-544-7712,15,자동차부품,
디온리오토모티브 주식회사 - A공장,경기도 포천시 동교동 산 2 외 1필지,경기도 포천시 동교동 산 2 외 1필지,기타 목재가구 제조업,031-544-7712,3,"식탁,의자등",목재(가구반제품)
디케이티 코퍼레이션 주식회사,"경기도 포천시 가산면 정금로 354, A동",경기도 포천시 가산면 금현리 531-1번지 A동,커튼 및 유사제품 제조업 외 1 종,031-542-0690,4,블라인드,
디팁스코리아,경기도 포천시 가산면 정금로392번길 39-8 (총 2 필지) 외 1필지,경기도 포천시 가산면 금현리 60-5번지 외 1필지,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,031-544-1693,5,"면봉,위생용품","탈지면,자작나무환봉 PP스틱"
뜨라래,경기도 포천시 가산면 정금로473번길 112,경기도 포천시 가산면 금현리 893-27번지,기타 목재가구 제조업,031-543-5617,5,가구,합판 목재
라이브칼라,경기도 포천시 메나리1길 22 -13(가산면),경기도 포천시 가산면 방축리 181-17,혼성 및 재생 플라스틱 소재 물질 제조업,031-544-9654,7,플라스틱 가공원료,PP.PE
래만,"경기도 포천시 소흘읍 호국로 389-30, 가동",경기도 포천시 소흘읍 이동교리 297-1 가동,사무 및 회화용품 제조업,031-823-6336,1,휴대용화이트보드,"시트지, PVC"
러브론물산,경기도 포천시 가산면 가산리 466-2,경기도 포천시 가산면 가산리 466-2,침구 및 관련제품 제조업,031-543-9866,5,"이불,베개,매트커버","섬유원단,솜"
레고퍼니처,경기도 포천시 군내면 반월산성로 154-41 외 1필지,경기도 포천시 군내면 하성북리 78-2 외 1필지,그 외 기타 가구 제조업,031-8080-3303,4,종합가구,"목재,철물,부자재 등"
레피니트,"경기도 포천시 신북면 아트밸리로 184, 주1동",경기도 포천시 신북면 기지리 284 주1동,자전거 및 환자용 차량 제조업,031-829-0687,1,스피닝 자전거,"스텐,알루미늄,철"
로드컴퍼니,경기도 포천시 원동교길 85-13 (동교동) 나동,경기도 포천시 동교동 437-9 나동,기타 목재가구 제조업,070-7744-7433,2,원목책장 및 가구,원목
루코라이팅,경기도 포천시 우금5길 33 (가산면) 마동,경기도 포천시 가산면 우금리 112-0 마동,일반용 전기 조명장치 제조업,031-543-6600,1,조명기구,
린제이앤코스(주),경기도 포천시 화동로 392 (화현면),경기도 포천시 화현면 화현리 759-1,화장품 제조업,070-8850-5501,14,화장품(모델링파우더 마스크팩),규조로
린제이코스메틱,경기도 포천시 일동면 화동로 643,경기도 포천시 일동면 유동리 99-2번지,화장품 제조업,070-4485-6619,2,마스크팩(분말),
마지리본,경기도 포천시 양문공단로2길 27 (영중면),경기도 포천시 영중면 양문리 1001-4,"직물, 편조원단 및 의복류 염색 가공업",031-533-4753,7,염색원단,원단
마켓별별,경기도 포천시 동교로1길 26-8 (동교동),경기도 포천시 동교동 390-31번지,그 외 기타 나무제품 제조업,031-543-9020,2,"책상,의자,장식장,책장",목재
만덕기계,경기도 포천시 화합로 291 (동교동) 외 1필지,경기도 포천시 동교동 76-4번지 외 1필지,그 외 기타 일반목적용 기계 제조업 외 3 종,031-541-6411,7,"탈수기, 원심분리기","주물, 스테인레스, 철강, 모터 등"
만도염직,경기도 포천시 신북면 장자경제로 122 가동-1,경기도 포천시 신북면 신평리 673-15 가동-1,"직물, 편조원단 및 의복류 염색 가공업",031-591-6616,1,벨크로 테이프,나일론 섬유
만리실업,경기도 포천시 내촌면 소학리 227-1번지 외 4필지 외 4필지,경기도 포천시 내촌면 소학리 227-1번지 외 4필지 외 4필지,플라스틱 필름 제조업 외 1 종,031-531-2357,10,비닐,
메디코어,경기도 포천시 용정경제로1길 47 -13(군내면),경기도 포천시 군내면 용정리 481-7,포장용 플라스틱 성형용기 제조업,031-851-8161,20,노즈스위퍼,"PE,PP"
메리트,경기도 포천시 가산면 메나리길 116 외 1필지,경기도 포천시 가산면 방축리 167-4 외 1필지,기타 목재가구 제조업,031-543-2374,8,장롱,"MDF,PB,목재류"
명성가구,경기도 포천시 가산면 마정로 11-36 (총 2 필지) 외 1필지,경기도 포천시 가산면 마산리 326-2번지 외 1필지,기타 목재가구 제조업,031-543-6988,8,가구,
명성건설기계,경기도 포천시 군내면 용두로 121,경기도 포천시 군내면 직두리 749-1번지,건설 및 채광용 기계장비 제조업,031-531-7066,5,"버켓,유압탱크",
명성기업,경기도 포천시 자작로6길 69 (자작동),경기도 포천시 자작동 587-1번지,기타 물품 취급장비 제조업,031-542-9939,11,"컨베이어계산대,쇼핑컷트",
명성기업,경기도 포천시 자작동 587-6,경기도 포천시 자작동 587-6,금속 가구 제조업 외 15 종,031-536-8308,10,"식탁,목재가구.플라스틱가구등","철판, 스텐, 파이프, 플라스틱 등"
명성기업,경기도 포천시 송선로195번길 15 (설운동),경기도 포천시 설운동 160-2번지,기타 물품 취급장비 제조업,031-536-9939,12,자동계산대,
명성기업 제2공장,경기도 포천시 자작동 571-4 외 1필지,경기도 포천시 자작동 571-4 외 1필지,도장 및 기타 피막처리업,031-536-9939,7,"도장품(가로등주, 신호등주 외)","가로등주, 신호등주 외"
명성누비,경기도 포천시 화현면 봉화로 421-12,경기도 포천시 화현면 명덕리 338번지,침구 및 관련제품 제조업,031-531-3091,7,이불,원단
명성빌리지,경기도 포천시 군내면 용정리 476-9,경기도 포천시 군내면 용정리 476-9,그 외 기타 종합 소매업 외 1 종,031-527-2050,0,판매시설,
명성직물,"경기도 포천시 천보길 56-16, 동교동687-5번지 (동교동)",경기도 포천시 동교동 687-5번지 동교동687-5번지,편조원단 제조업,031-541-9972,3,양말편조,
명성텍스타일,"경기도 포천시 소흘읍 아랫용상2길 29-53, A동",경기도 포천시 소흘읍 이동교리 196-2 A동,섬유제품 기타 정리 및 마무리 가공업,031-541-1060,11,섬유가공,"유연제, 비닐, 지관"
명진공업사,경기도 포천시 신북면 청신로 2014-89,경기도 포천시 신북면 신평리 565-8번지,그 외 기타 플라스틱 제품 제조업 외 2 종,031-534-2454,16,합성수지,
명환수지,경기도 포천시 신북면 중앙로461번길 101-1,경기도 포천시 신북면 신평리 619번지,비금속류 해체 및 선별업 외 1 종,031-531-7863,4,재생pe.pp원료,
모노코지,경기도 포천시 소흘읍 초가팔리 174-2 외 1필지,경기도 포천시 소흘읍 초가팔리 174-2 외 1필지,기타 목재가구 제조업,031-543-4366,6,목재가구,원목 집성판
모성폴리머,경기도 포천시 군내면 청군로 2859-16,경기도 포천시 군내면 직두리 166번지,접착제 및 젤라틴 제조업,031-533-8896,6,"접착제,젤라틴",
목성가구,경기도 포천시 가산면 정금로63번길 34 외 1필지,경기도 포천시 가산면 정교리 535-2번지 외 1필지,기타 목재가구 제조업,031-543-8594,4,원목고가구,"오동나무, 소나무"
목인디자인,경기도 포천시 가산면 포천로736번길 34 외 1필지,경기도 포천시 가산면 금현리 274-10번지 외 1필지,기타 목재가구 제조업,031-544-5835,3,진열장,"목재, 합판"
무지개섬유,경기도 포천시 소흘읍 죽엽산로 340-18,경기도 포천시 소흘읍 고모리 630 번지,표면처리 및 적층 직물 제조업,031-541-7799,1,표면처리 원단,
묵호산업개발 주식회사,경기도 포천시 소흘읍 고모리 산 97-2,경기도 포천시 소흘읍 고모리 산 97-2,수산식물 가공 및 저장 처리업,031-535-3030,7,조미김,"김, 참기름, 들기름, 소금"
물댄동산,경기도 포천시 해룡로 35-11 (설운동),경기도 포천시 설운동 460-2번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,031-541-7644,20,순대,"돼지고기,배추"
미광콘크리트산업,경기도 포천시 신북면 호국로2254번길 28 외 2필지,경기도 포천시 신북면 기지리 54-3번지 외 2필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,031-531-4413,5,"PLPE관, 콘크리트맨홀, 플륨관","합성수지, 레미콘"
미금정밀,경기도 포천시 가산면 시우동길 100-14,경기도 포천시 가산면 가산리 445-2번지,금속 단조제품 제조업,031-541-0631,5,알루미늄단조제품,
미도갤러리,경기도 포천시 감암1길 11 -13(가산면),경기도 포천시 가산면 감암리 241-1,기타 목재가구 제조업,031-534-8770,3,"가구, 거실장","목재,합판"
미래도장,"경기도 포천시 동교로1길 37-2, 다동,라동 (동교동)","경기도 포천시 동교동 560-8번지 다동,라동",도장 및 기타 피막처리업,031-543-4567,3,금속 도장품,
미래산업,경기도 포천시 가산면 유교로 64,경기도 포천시 가산면 감암리 532번지,골판지 제조업 외 2 종,070-8156-4000,10,"골판지상자,용기",골판지
미래섬유,경기도 포천시 양문공단로3길 56 (영중면),경기도 포천시 영중면 양문리 985-6,솜 및 실 염색가공업,031-534-4107,13,염색사,원사
미래플러스,경기도 포천시 음고개길 115 (내촌면),경기도 포천시 내촌면 음현리 311-1,기타 목재가구 제조업,031-531-0942,3,"책상,책꽂이","목재, 합판"
미래플렉시블,"경기도 포천시 가산면 정금로473번길 27-67, (가동 1층)",경기도 포천시 가산면 금현리 160 (가동 1층),그 외 기타 분류 안된 금속 가공 제품 제조업,050-5296-2124,1,플렉시블 조인트,"철,스텐"
미래화학(주),경기도 포천시 가산면 정금로473번길 67-29 (총 2 필지) 외 1필지,경기도 포천시 가산면 금현리 434-20번지 외 1필지,합성수지 및 기타 플라스틱 물질 제조업,031-531-7898,18,펠렛(pellet),"합성수지(PE, PP)"
미르가열시스템 주식회사,경기도 포천시 송선로195번길 15 (설운동),경기도 포천시 설운동 160-2,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",031-541-4751,3,"전기로,온도제어기기,공업용히터",
미르이엔에프,경기도 포천시 가산면 마현길 4,경기도 포천시 가산면 마산리 307-1번지,기타 목재가구 제조업,031-543-4295,6,장농,목재
미리산업,경기도 포천시 신북면 장자경제로 139,경기도 포천시 신북면 신평리 677-1,날염 가공업,031-536-8500,6,원단,원단
미성건업,경기도 포천시 소흘읍 무봉리 109-1,경기도 포천시 소흘읍 무봉리 109-1,구조용 금속 판제품 및 공작물 제조업,031-878-3840,0,"대문,자바라,발코니","알루미늄,스텐파이프,스텐판"
미성석재,경기도 포천시 화현면 비선동길 201,경기도 포천시 화현면지현리 지현리89-3,건설용 석제품 제조업,031-533-6900,8,"기단석, 초석",원석
미술석재,경기도 포천시 내촌면 내진로 234,경기도 포천시 내촌면 진목리 461-1번지,건설용 석제품 제조업,02-777-3003,1,"건물석,상석,기타석제품",
미스론카페트,경기도 포천시 군내면 포천로1160번길 66,경기도 포천시 군내면 좌의리 441번지,연사 및 가공사 제조업 외 2 종,031-535-7052,50,연사및카페트,
바네스(vanes),경기도 포천시 가산면 선마로 160,경기도 포천시 가산면 마산리 464-6번지,기타 목재가구 제조업 외 1 종,031-544-1116,7,목재씽크대,
바다로식품,경기도 포천시 해룡로 195 (동교동),경기도 포천시 해룡로 195 (동교동),수산식물 가공 및 저장 처리업,031-544-3307,4,식용해조류,
바다주름,경기도 포천시 오성길 43 -4(가산면) 외 2필지,경기도 포천시 가산면 금현리 1085-17 외 2필지,섬유제품 기타 정리 및 마무리 가공업,031-541-9663,5,주름원단,원단
바로공사,경기도 포천시 가산면 방산1길 43,경기도 포천시 가산면 가산리 320번지,산업용 난방보일러 및 방열기 제조업 외 1 종,031-543-8504,3,"사우나방열기,여과기","스테인레스판, 파이프, 필터, 타공밍"
바이오디피씨㈜,경기도 포천시 군내면 반월산성로153번길 9-16 외 1필지,경기도 포천시 군내면 하성북리 261-16 외 1필지,건강기능식품 제조업 외 1 종,031-574-2775,8,"건강기능식품, 일반식품","비타민,미네랄분말,유산균분말, 한약재분말"
바이오헬스월드(BIOHEALTH WORLD),경기도 포천시 내촌면 금강로 2371 3층,경기도 포천시 내촌면 내리 508-0 3층,전기식 진단 및 요법 기기 제조업,031-531-1911,5,"수소수기, 온열치료기","금속,전자부품 등"
박가당,경기도 포천시 군내면 청군로3079번길 47,경기도 포천시 군내면 직두리 474-7번지,과자류 및 코코아 제품 제조업,031-535-5901,16,"사탕,초코렛류",초콜릿 등
반석산업,"경기도 포천시 신북면 장자경제로 144-10, 나동",경기도 포천시 신북면 신평리 673-2 나동,"직물, 편조원단 및 의복류 염색 가공업",031-592-5940,11,가공섬유원단,섬유원단
반석케이이에스,"경기도 포천시 가산면 정금로 365, 나동",경기도 포천시 가산면 금현리 501-4번지 나동,수동식 식품 가공기기 및 금속 주방용기 제조업,02-469-0100,1,"업소용 주방기기(세정대, 선반 등)",
백현테크,경기도 포천시 화현면 봉화로 401 외 1필지,경기도 포천시 화현면 명덕리 318-10번지 외 1필지,금속탱크 및 저장용기 제조업 외 1 종,031-531-4933,4,각종 철탱크등,"철판, 각재(파이프,앵글,잔넬등)"
백호식품 주식회사,경기도 포천시 군내면 용정경제로1길 94-50 외 1필지,경기도 포천시 군내면 용정리 484-18 외 1필지,천연 및 혼합조제 조미료 제조업 외 2 종,031-536-8347,70,"조미식품(소스, 튀김가루), 전기","야채, 양념 (물엿, 케찹, 밀가루, 옥수수전분, 설탕, 고춧가루, 양파, 마늘 등)"
백호식품(주),경기도 포천시 호국로1145번길 129-14 (선단동),경기도 포천시 선단동 308-12번지,천연 및 혼합조제 조미료 제조업 외 1 종,031-536-8347,62,"소스류,튀김가루","야채, 양념"
범일금속,경기도 포천시 천보길 28 (동교동),경기도 포천시 동교동557-4,도금업,031-541-8269,10,악세사리,
베스비시스템(주),경기도 포천시 가산면 시우동길 47-9,경기도 포천시 가산면 가산리 487-9번지,방전램프용 안정기 제조업 외 5 종,031-905-0737,6,"경광기구, 가로등해드,조명LANP,태양광,조명기구등","LED소자,PCB판넬,등기구케이스,알루미늄등"
베스트원 주식회사,"경기도 포천시 가산면 가산로194번길 48-1, 나동",경기도 포천시 가산면 가산리 474-1 나동,유선 통신장비 제조업,031-851-1515,5,통신단자함,"철판,플라스틱,금속 등"
베크시스템(주),경기도 포천시 소흘읍 이가팔리 405-4 외 1필지,경기도 포천시 소흘읍 이가팔리 405-4 외 1필지,기타 목재가구 제조업,031-544-0230,5,가구,합판
벤텍스(주),"경기도 포천시 해룡로 109-180, (2,4,5호 건물)(설운동)","경기도 포천시 설운동 326-12 (2,4,5호 건물)",그 외 기타 분류 안된 섬유제품 제조업 외 3 종,1833-8721,6,"방울솜,섬유탈취제, 단미사료,보조사료","원면[화학섬섬유(PE)], 운데실렌산칼슘,산화아연,사과산, 바실러스서브틸리스,시카로마이세스 세르비시에,황산마그네슘,황산칼슘"
벽산,경기도 포천시 소흘읍 정금로 18,경기도 포천시 소흘읍 고모리 495-10번지,기타 목재가구 제조업,031-543-7440,2,목재가구,"합판, 가구부자재"
보라미상사,경기도 포천시 가산면 정금로255번길 4-36,경기도 포천시 가산면 금현리 727-3번지,기타 인쇄업 외 1 종,031-544-7385,6,인쇄,
보령산업,경기도 포천시 부마로291번길 28 (내촌면),경기도 포천시 내촌면 마명리 418-0,구조용 금속 판제품 및 공작물 제조업 외 2 종,031-529-0291,3,철구조물(동물구조장비 등),
보성ALIVE가구,경기도 포천시 군내면 마전1길 133,경기도 포천시 군내면 좌의리 307-4번지,기타 목재가구 제조업,031-536-2070,5,"장농,장식장",
보성산업,경기도 포천시 내촌면 부마로282번길 34 (내촌면),경기도 포천시 내촌면 마명리 105번지,신발 부분품 제조업,031-527-8272,5,"신발끈,찍찍이","끈,테이프"
보성석재산업,"경기도 포천시 화현면 봉화로489번길 17, 외 8필지",경기도 포천시 화현면 명덕리 382번지 외 8필지,건설용 석제품 제조업,031-534-2057,10,건축용판석,
보성섬유,경기도 포천시 소흘읍 한성길 84-12,경기도 포천시 소흘읍 고모리 418-1번지,연사 및 가공사 제조업,031-543-7691,15,실가공,
