순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품명,데이터기준일자
375,동광전자,"경기도 하남시 초광로 203,  1층 (초이동)",경기도 하남시 초이동  291-1번지,절삭가공 및 유사처리업,02-426-4948,,6,전자부품(콘넥터),2025-06-30
376,동아하이테크자바라,경기도 하남시 하남대로195번길 9 (상산곡동),경기도 하남시 상산곡동  164-13번지,"금속 문, 창, 셔터 및 관련제품 제조업",02-427-2400,,1,대문자바라 ,2025-06-30
377,동양기업사,경기도 하남시 초이동 415-1.2번지,경기도 하남시 초이동 415-1.2번지,간판 및 광고물 제조업,02-426-9449,02-426-4994,19,광고물. 사인몰. 제조,2025-06-30
378,동양산업(주),경기도 하남시 풍산동 171-7번지,경기도 하남시 풍산동 171-7번지,"금속 문, 창, 셔터 및 관련제품 제조업",031-795-4235,031-795-4239,9,알루미늄샷다,2025-06-30
379,동일본딩공업사,경기도 하남시 풍산동 212-5번지,경기도 하남시 풍산동 212-5번지,벽지 및 장판지 제조업,031-792-2726,031-793-2727,5,벽지제조,2025-06-30
380,두손산업,"경기도 하남시 미사강변서로 25, 미사테스타타워 F513,F514 (풍산동)","경기도 하남시 풍산동 489번지 미사테스타타워 F513,F514",침구 및 관련제품 제조업 외 13 종,02-931-7524,0504-165-7279,3,"침낭,자수제품,천막,구명조끼,남성용바지,파카,티셔츠,체육복,우의,니트장갑,모자,장갑,등산배낭",2025-06-30
381,두영이엠씨 주식회사,경기도 하남시 초이로160번길 12-26 (초이동),경기도 하남시 초이동 161-10,구조용 금속 판제품 및 공작물 제조업 외 5 종,02-481-1002,02-481-1003,5,"볼라드,디자인휀스,금속쓰레기통,설치용금속울타리,건물골조,시추대 및 기타수상부유작업대용철골조립,구조재,금속제사다리,철파이프 절단규격품, 교통안전표지",2025-06-30
382,둠둠 주식회사,"경기도 하남시 미사강변중앙로7번안길 25, A동 607호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 A동 607호,무인 항공기 및 무인 비행장치 제조업,,,8,무인항공기,2025-06-30
383,디자인토리,"경기도 하남시 초일로 153, 1층 일부 (초일동)",경기도 하남시 초일동 277-16 1층 일부,간판 및 광고물 제조업,,050-4342-5165,1,간판 및 광고물,2025-06-30
384,뚝딱제작소,"경기도 하남시 하남대로 947, C동 802호 (풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 802호,전시 및 광고용 조명장치 제조업,02-6956-6615,02-953-4800,3,전시 및 광고용 조명장치,2025-06-30
385,라이트앤,"경기도 하남시 조정대로 45, 5층 F553 (풍산동)",경기도 하남시 풍산동 493번지 5층 F553,일반용 전기 조명장치 제조업,,02-454-1120,1,방수형LED스트링 볼전구,2025-06-30
386,래디칼 주식회사,경기도 하남시 초광산단동로6번길 9(광암동),경기도 하남시 광암동 402-1,그 외 기타 전기장비 제조업,1588-7639,02-464-7763,15,"전기식오존발생기, 산소발생기, 오존수살균기, OH라디칼살균기, 수질정화기",2025-06-30
387,로고젯 코퍼레이션,"경기도 하남시 조정대로 150, 6층 652호,653호 (덕풍동, 아파트형공장 ITECO)","경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 6층 652호,653호",컴퓨터 프린터 제조업,02-473-4885,02-6008-5881,12,잉크젯프린터(단일기능),2025-06-30
388,리아네이처(주),경기도 하남시 하남대로 947 (풍산동),경기도 하남시 풍산동 618-0,"치약, 비누 및 기타 세제 제조업",,070-4135-6838,2,화장비누(천연),2025-06-30
389,리앙모피,"경기도 하남시 조정대로 150, 3층 369 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 3층 369,모피제품 제조업 외 1 종,,,2,모피,2025-06-30
390,리프레샤(주),"경기도 하남시 하남대로 947, B동 705,B동 706호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 705,B동 706호",신발 부분품 제조업,02-2244-8822,02-2244-9933,5,신발용 부분품(재단품),2025-06-30
391,마이개러지,"경기도 하남시 산곡동로 31, 2층 (하산곡동)",경기도 하남시 하산곡동 339-4번지 2층,그 외 기타 금속가공업,02-929-9005,031-624-4404,2,자동차 배기 시스템(금속물질 용접가공),2025-06-30
392,머머코리아(주),"경기도 하남시 미사강변서로 16, 6층 632호 (풍산동)",경기도 하남시 풍산동 490-2번지 6층 632호,그 외 기타 플라스틱 제품 제조업,070-7834-8550,02-6008-4763,6,"영유아용비데,휴대용 플라스틱 비데",2025-06-30
393,메시스이엔지,경기도 하남시 조정대로 150 (덕풍동) 아이테코 766호,경기도 하남시 덕풍동 762-0 아이테코,"금속 문, 창, 셔터 및 관련제품 제조업",031-790-1780,031-790-1783,4,자연환기 브레스,2025-06-30
394,메트로티엔씨(주),경기도 하남시 감초로200번길 13 (초이동),경기도 하남시 초이동 414-6번지,구조용 금속 판제품 및 공작물 제조업 외 1 종,02-2008-1420,02-2008-1429,3,금속제품 및 완충기(내진보강장치),2025-06-30
395,명성전자,"경기도 하남시 신장로 205,  2층 (덕풍동)",경기도 하남시 덕풍동 345-7번지 2층,철도차량 부품 및 관련 장치물 제조업 외 1 종,031-791-2518,,5,"기차,전철 자동제어 부품제작",2025-06-30
396,명품명가,"경기도 하남시 조정대로 45, 4층 447 (풍산동)",경기도 하남시 풍산동 493번지 4층 447,과자류 및 코코아 제품 제조업,,,2,"한과,강정 등",2025-06-30
397,모든테크,"경기도 하남시 미사강변서로 25, 5층 F509호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 5층 F509호,전기경보 및 신호장치 제조업 외 1 종,02-425-5708,02-425-5709,5,"출자주의등, 경광등, 입구만차등, 차량유도등, 이색신호등",2025-06-30
398,목원산업,경기도 하남시 초광산단로 109 (광암동),경기도 하남시 광암동 407-8번지,목재문 및 관련제품 제조업,031-795-4983,031-795-4985,8,"문짝,문틀",2025-06-30
399,몽샹디저트,"경기도 하남시 미사강변서로 25, F850,851,852,853,854호 (풍산동, 미사 테스타타워 지식산업센터)","경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 F850,851,852,853,854호",과자류 및 코코아 제품 제조업,02-2299-6888,,13,"과자(누가크래커, 약과 등), 캔디류(누가)",2025-06-30
400,문SYSTEM,"경기도 하남시 하남대로 947, B동 1016,B동1017호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 1016,B동1017호",그 외 기타 전자부품 제조업,02-579-4823,02-579-4827,5,"네트워크 컨트롤러, 전기정, 인터락,RF reader, 출입근태 소프트웨어,전자회로용 스위치",2025-06-30
401,미도공업사,경기도 하남시 하남대로 254 (상산곡동),경기도 하남시 상산곡동 79-8,건설.광업용 기계 및 장비 수리업,,,3,"건설기계장비제조,수리",2025-06-30
402,미래엔터프라이즈,"경기도 하남시 조정대로 150, 하남아이테코 637호 (덕풍동)",경기도 하남시 덕풍동 762 번지 하남아이테코 637호,음ㆍ식료품 및 담배 가공기계 제조업 외 6 종,031-790-1517,,3,"식품, 농임산물 가공기계",2025-06-30
403,미사섬유,경기도 하남시 초광산단로 78 (광암동),경기도 하남시 광암동 76번지,연사 및 가공사 제조업,02-427-7143,02-427-7144,3,재봉사,2025-06-30
404,미성전기공사,"경기도 하남시 조정대로 150,  하남아이테코 318호 (덕풍동)",경기도 하남시 덕풍동  762번지,배전반 및 전기 자동제어반 제조업,031-790-0758,,2,자동제어 콘트롤박스,2025-06-30
405,민경스텐,경기도 하남시 샘재로 74(천현동),경기도 하남시 천현동 342-5,"금속 문, 창, 셔터 및 관련제품 제조업",031-796-7153,031-796-7154,4,스텐레스,2025-06-30
406,바이오멕스,경기도 하남시 신평로168번길 45 (신장동),경기도 하남시 신장동 302-2,농업 및 임업용 기계 제조업,031-794-8962,031-794-0712,3,다목적 볍씨발아기 및 온탕소독기,2025-06-30
407,바이오센스 주식회사,"경기도 하남시 조정대로 150, 8층 822 (덕풍동)",경기도 하남시 덕풍동 762번지 8층 822,차류 가공업,031-790-4392,031-790-4393,3,건강식품원료,2025-06-30
408,백산금속,"경기도 하남시 산곡동로 75 (하산곡동, R%D Canter)",경기도 하남시 하산곡동 294-5번지 R%D Canter,수동식 식품 가공기기 및 금속 주방용기 제조업 외 2 종,031-795-8816,031-794-8816,8,"주방기기,온장고,금속가구",2025-06-30
409,백재시스템창호(주),경기도 하남시 대성로 3 (항동),경기도 하남시 항동 155-1번지,플라스틱 창호 제조업,031-794-9082,031-794-9083,9,플라스틱창호,2025-06-30
410,베스앤스킨웍스,"경기도 하남시 하남대로 947, B동 503호 (풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 503호,그 외 기타 플라스틱 제품 제조업,031-5180-3681,031-5180-3682,11,"필터, 샤워기 비타민 필터",2025-06-30
411,벨카,"경기도 하남시 하남대로 990, 305호(풍산동, 로얄팰리스 테크노1차)",경기도 하남시 풍산동 601 로얄팰리스 테크노1차 305호,그 외 기타 달리 분류되지 않은 제품 제조업,031-000-0000,,1,애완동물 깔짚,2025-06-30
412,봉민 섬유,"경기도 하남시 조정대로 150, 7층 743 (덕풍동)",경기도 하남시 덕풍동 762번지 7층 743,속옷 및 잠옷 제조업,031-790-0755,031-790-0757,3,기능성속옷,2025-06-30
413,부영콜렉션,경기도 하남시 광암로176번길 57 (광암동),경기도 하남시 광암동  268번지,핸드백 및 지갑 제조업,02-476-8120,02-476-8125,5,"지갑,벨트",2025-06-30
414,비블리오티카(주),"경기도 하남시 조정대로 35, FB504호 (풍산동)",경기도 하남시 풍산동 492번지 FB504호,기타 주변기기 제조업,02-6310-6565,02-6902-0603,7,"바코드리더,",2025-06-30
415,비젼텔링크(주),"경기도 하남시 조정대로 150,  1002호 (덕풍동)",경기도 하남시 덕풍동  762번지,유선 통신장비 제조업 외 1 종,031-790-1558,,8,통신교환시스템,2025-06-30
416,빅애플디자인,"경기도 하남시 조정대로 150, F동 119, 967호(덕풍동, 아이테코)","경기도 하남시 덕풍동 762 아이테코 F동 119, 967호",간판 및 광고물 제조업,02-477-9591,031-8027-9593,8,"현수막, 간판, 인쇄물",2025-06-30
417,사단법인 한국선원장애인복지협회 안전사업단,"경기도 하남시 조정대로 35, 6층 607호(풍산동, 미사 하우스디 엘타워)",경기도 하남시 풍산동 492 미사 하우스디 엘타워 6층 607호,기타 편조의복 액세서리 제조업,,0504-220-7286,2,장갑,2025-06-30
418,사회적협동조합 나눔공동체(반올림보호작업장),"경기도 하남시 조정대로 35, FB208,FB209, FB210, FB211 (풍산동)","경기도 하남시 풍산동 492번지 FB208,FB209, FB210, FB211",위생용 종이제품 제조업 외 3 종,031-5175-4430,031-5175-4431,25,"화장지,종이타올,LED조명기구,전광판표시기,영상감시장치(CCTV)",2025-06-30
419,사회적협동조합 우리누리(우리누리 보호작업장),"경기도 하남시 조정대로 150, 2층 218호 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 2층 218호,문구용 종이제품 제조업,031-790-1681,031-746-6791,16,문구용종이제품,2025-06-30
420,삼성디자인,"경기도 하남시 미사강변중앙로7번안길 25, 유테크밸리 A동 506호(풍산동)",경기도 하남시 풍산동 595-1 유테크밸리 A동 506호,간판 및 광고물 제조업,031-8027-8135,031-8027-8136,4,"광고물, 실사출력, 안내판",2025-06-30
421,삼일제지 (주),,"경기도 하남시 천현동 46-1 및 47-1,48-1,50,565-3,566, 창우동 199 및 491-8",문구용 종이제품 제조업,02-461-1191,031-791-6849,120,코트지,2025-06-30
422,샬롬엔지니어링(주),경기도 하남시 초광산단로 29(초이동),경기도 하남시 초이동 625-6,철도차량 부품 및 관련 장치물 제조업 외 17 종,02-471-7000,02-471-7010,73,"철도차량 전용부품, 신호변환기 및 기타 유선 통신장비, 유선 및 무선방송 전송기, 기타 무선통신장비, 전기 통신기기 검사기기, 물질검사 측정 분석기구, 기타 기기 및 장치, 측정 시험기, 전동차용 전자식 제동조절장치, 산업처리 자동제어 장치, 기타 설계용 계산용 측정용 기기, 배전반 및 전기자동제어반, 전기 경보 및 신호장치, 수치제어식 선반 제조, 기타 산업용 로봇, 기타 범용성 특수기계류(특정물품용 또는 공업용으로 설계되지 아니한 것), 자주식 철도차량, 기구(무인 비행용), 금속 스크린 도어,철도차량(대차) 리프트 잭",2025-06-30
423,서울푸드시스템에프에스(주),"경기도 하남시 천현로134번길 29,  2층 (천현동)",경기도 하남시 천현동 53-1번지 축산물유통도소매센타 2층,가금류 가공 및 저장 처리업 외 2 종,031-792-6303,,16,육류,2025-06-30
424,서전엔지니어링(주),경기도 하남시 미사강변서로 16 (풍산동) 하우스디스마트밸리,경기도 하남시 풍산동 490-2 하우스디스마트밸리,배전반 및 전기 자동제어반 제조업 외 1 종,02-557-0793,02-557-0795,3,"배전반 및 전기 자동제어반, 방송장비(CCTV)",2025-06-30
425,선우엔지니어링,경기도 하남시 초광산단로 108 (광암동),경기도 하남시 광암동 406-3,액체 여과기 제조업,031-796-4920,02-441-4921,8,산업용수처리기계,2025-06-30
426,성건기획,경기도 하남시 고골로242번길 156-20 (항동),경기도 하남시 항동 402번지,간판 및 광고물 제조업,031-792-0490,031-792-0490,3,간판 및 안내판,2025-06-30
427,성도상사,"경기도 하남시 초광산단로 124(광암동, 성도상사)",경기도 하남시 광암동 409-4 성도상사,가방 및 기타 보호용 케이스 제조업,,031-796-6713,2,"부직포가방, 보자기",2025-06-30
428,성은기업(주),"경기도 하남시 검단남로 22 (하산곡동, 성은기업)",경기도 하남시 하산곡동 207-18번지,그 외 기타 금속가공업 외 4 종,031-792-1137,031-794-0502,7,가로등등주제조,2025-06-30
429,성일피혁,경기도 하남시 초광산단로 74 (광암동),경기도 하남시 광암동 400-1번지,기타 가죽제품 제조업,,,3,가죽시곗줄,2025-06-30
430,성호천생미,"경기도 하남시 신장로 42-1 (천현동, 천년초)",경기도 하남시 천현동 617-11번지,화장품 제조업,031-796-1008,031-796-1059,4,선인장미용팩,2025-06-30
431,세라콜산업,"경기도 하남시 신장동로 142 (신장동, 세라콜산업)",경기도 하남시 신장동 75-2번지 ,그 외 기타 분류 안된 금속 가공 제품 제조업,031-791-9055,031-791-9055,10,주방용품,2025-06-30
432,세명토탈주식회사,경기도 하남시 하남대로186번길 33-11 (상산곡동),경기도 하남시 상산곡동 198-2번지,구조용 금속 판제품 및 공작물 제조업,031-792-1370,031-792-1371,4,ATM용 부스,2025-06-30
433,세모실업,경기도 하남시 감초로52번길 14 (감북동),경기도 하남시 감북동 354-14번지,핸드백 및 지갑 제조업 외 1 종,02-430-9247,02-400-4644,4,"벨트,지갑",2025-06-30
434,세왕,"경기도 하남시 검단남로 45,  2층 (하산곡동)",경기도 하남시 하산곡동 206번지 로하느공인중개사 2층,가방 및 기타 보호용 케이스 제조업 외 2 종,031-796-2537,031-796-2638,12,"가방 및 보호용케이스, 마스크, 구명조끼, 안전조끼",2025-06-30
435,세종산업,경기도 하남시 초광산단로 25 (초이동),경기도 하남시 초이동 625-8번지,일반철물 제조업,,031-624-0348,2,"그외기타부속철물 제품(풍력발전용 타워부품), 경첩등",2025-06-30
436,세진이엔씨,경기도 하남시 초광산단로 132 (광암동),경기도 하남시 광암동 409-8번지,세폭직물 제조업,,031-629-5446,2,탄성세폭직물,2025-06-30
437,세한스타,경기도 하남시 신우실로110번길 27 (감이동),경기도 하남시 감이동 478-8,비디오 및 기타 영상기기 제조업,,02-400-4677,20,"가정용 가상현실(VR, AR) 기기",2025-06-30
438,세한조명(주),"경기도 하남시 조정대로 150, 하남아이테코 1008호 (덕풍동)",경기도 하남시 덕풍동 762번지,일반용 전기 조명장치 제조업,02-426-2771,02-426-2772,5,조명등기구,2025-06-30
439,세형자원,경기도 하남시 서하남로47번길 20 (감북동),경기도 하남시 감북동 400-2번지,비금속류 해체 및 선별업 외 1 종,02-489-2841,031-489-3066,10,종이재생재료가공처리,2025-06-30
440,센솔루션코리아,"경기도 하남시 조정대로 150, 315호(덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 315호,"물질 검사, 측정 및 분석기구 제조업",031-790-0507,031-790-0508,12,"열화상센터모듈, 안면인식 온도측정기,열화상온도측정기(체온계)",2025-06-30
441,셀리젠,"경기도 하남시 조정대로 45, B3층 FB319,FB320 (풍산동)","경기도 하남시 풍산동 493번지 B3층 FB319,FB320",그 외 기타 특수목적용 기계 제조업 외 1 종,031-699-6037,02-408-0692,3,"건조기,멸균기 등",2025-06-30
442,송우식품,경기도 하남시 하남대로622번안길 84 (천현동),경기도 하남시 천현동 51-11번지,빵류 제조업 외 1 종,031-795-4123,,15,빵가루,2025-06-30
443,수기일렉트릭(주),경기도 하남시 춘궁로68번길 19 (하사창동),경기도 하남시 하사창동 352번지,기타 전기 변환장치 제조업,070-7783-9117,,5,"배터리충전기,무정전전원장치 등",2025-06-30
444,스카이윈(주),"경기도 하남시 조정대로 45, B1층 FB104 (풍산동)",경기도 하남시 풍산동 493번지 B1층 FB104,유선 통신장비 제조업,02-414-0850,02-414-0851,5,위성방송수신기외,2025-06-30
445,스튜디오스타만,경기도 하남시 춘궁로35번길 62-39 (하사창동),경기도 하남시 하사창동 226-3,기타 목재가구 제조업,,,2,"원목가구(식탁,소파,의자 등)",2025-06-30
446,승광실업,경기도 하남시 풍산동 200-5번지,경기도 하남시 풍산동 200-5번지,,031-792-2344,031-792-2344,4,neon 전구,2025-06-30
447,시그마테크,"경기도 하남시 조정대로 35, F103호 (풍산동)",경기도 하남시 풍산동 492번지 F103호,변압기 제조업,,031-5175-4151,1,"계기용변압,변류기",2025-06-30
448,시큐어밸리(주),"경기도 하남시 조정대로 150, 7층 756 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 7층 756,방송장비 제조업,,02-3391-0362,10,"CCTV,DID,출입통제 등",2025-06-30
449,시티모형,"경기도 하남시 하남대로 947, A동 1119호,1120호,1121호,1122호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 1119호,1120호,1121호,1122호",전시용 모형 제조업,02-416-5801,02-416-5811,11,건축모형,2025-06-30
450,신동방(주),경기도 하남시 창우동 324-3번지,경기도 하남시 창우동 324-3번지,위생용 종이제품 제조업,02-486-6054,02-578-0189,27,미용티슈외 3종,2025-06-30
451,신동전자(주),"경기도 하남시 하남대로 947, A동 10층 1023호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 10층 1023호,교통 신호장치 제조업,02-795-3517,02-796-5702,5,"주차차단기,차번인식기,무인정산기,교통통제용 전기장치",2025-06-30
452,신안과학,경기도 하남시 고골로242번길 157 (항동),경기도 하남시 항동 395-9번지,"물질 검사, 측정 및 분석기구 제조업",,,2,"건조기, 항온기",2025-06-30
453,신우전자,경기도 하남시 신평로 37 (덕풍동),경기도 하남시 덕풍동 420-35번지 ,"전기회로 개폐, 보호장치 제조업 외 2 종",031-793-7191,,12,전기배선기구,2025-06-30
454,신원 코포레이션,"경기도 하남시 조정대로 150, 6층 622 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 6층 622,"탭, 밸브 및 유사장치 제조업",031-790-1333,,5,밸브류,2025-06-30
455,신원건설(주),경기도 하남시 춘궁로93번길 17 (하사창동),경기도 하남시 하사창동  117-2번지,"금속 문, 창, 셔터 및 관련제품 제조업",031-791-4115,031-791-4117,7,창호 및 철문,2025-06-30
456,신장산업,경기도 하남시 초광산단동로6번길 60 (광암동),경기도 하남시 광암동 407-3번지,종이 포대 및 가방 제조업,02-483-0760,02-477-0760,23,쇼핑백,2025-06-30
457,신진아이앤씨(주),"경기도 하남시 미사강변중앙로31번길 30, 10층 1007,1008호 (풍산동, 미사동일 넥서스)","경기도 하남시 풍산동 588-5 미사동일 넥서스 10층 1007,1008호",유선 통신장비 제조업 외 5 종,02-472-6734,02-473-6734,4,"CCTV(폐쇄회로텔레비젼),LED광고판,통신장비(유선),통신기기 배선용 개폐기",2025-06-30
458,신한계기산업(주),경기도 하남시 하남대로105번길 11 (상산곡동),경기도 하남시 상산곡동 426-1번지,"물질 검사, 측정 및 분석기구 제조업 외 1 종",031-792-0661,031-792-6501,17,"인장압축시험기, 산업용저울제조",2025-06-30
459,신형공영(주),경기도 하남시 감초로184번길 91 (초이동),경기도 하남시 초이동 498-2번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",02-488-2828,02-474-8704,9,금속제 창문,2025-06-30
460,신화전기,"경기도 하남시 조정대로 150, 하남아이테코 101-115호 (덕풍동)",경기도 하남시 덕풍동 762 번지 하남아이테코 101-115호,"전기회로 개폐, 보호장치 제조업 외 3 종",031-790-1000,,17,용접기,2025-06-30
461,쌍성트레이딩,경기도 하남시 초광산단동로6번길 47 (광암동),경기도 하남시 광암동 408,타이어 재생업,1660-4425,02-2249-0881,12,타이어 소음 방지 부착불,2025-06-30
462,쌍용종합기획,"경기도 하남시 천현동 342-5, 9번지","경기도 하남시 천현동 342-5, 9번지",일반철물 제조업,031-794-9551,,5,일반철물,2025-06-30
463,써버코리아 (주),경기도 하남시 감이동 160-2 번지 1층,경기도 하남시 감이동 160-2 번지 1층,건강보조용 액화식품 제조업,02-474-8118,02-474-8118,3,건강보조식품,2025-06-30
464,썬텍시스템,"경기도 하남시 조정대로 150, 하남아이테코 562호 (덕풍동)",경기도 하남시 덕풍동 762 번지 하남아이테코 562호,배전반 및 전기 자동제어반 제조업 외 1 종,031-790-0790,,3,"프로그램내장 콘트롤러,기계자동화 조정장치 부속품제조 등",2025-06-30
465,쏠큐브,경기도 하남시 조정대로 45 (풍산동) 미사센텀비즈,경기도 하남시 풍산동 493 미사센텀비즈,"천막, 텐트 및 유사 제품 제조업",031-5175-3630,031-5175-3631,1,"로만쉐이드어닝,차양",2025-06-30
466,씨에스 인터내셔날,"경기도 하남시 초광산단동로6번길 15, 지하1층, 2층, 5층 (광암동)","경기도 하남시 광암동 402-3 지하1층, 2층, 5층",기기용 자동측정 및 제어장치 제조업,,02-2265-5956,5,기타 자동조절 및 제어용 기기 제조,2025-06-30
467,씨엔에스전자,"경기도 하남시 조정대로 45, 6층 에프630호, 에프631호(풍산동)","경기도 하남시 풍산동 493 6층 에프630호, 에프631호",기타 전기 변환장치 제조업,02-2611-7960,02-2281-7961,1,직류전원장치(기타 전기변환장치제조),2025-06-30
468,씨케이천광정밀(주),경기도 하남시 초광산단로 85 (광암동),경기도 하남시 광암동 401-8번지,"체조, 육상 및 체력단련용 장비 제조업",02-468-5444,02-499-4369,11,운동용덤벨,2025-06-30
469,씨피알코리아메디칼(주),"경기도 하남시 조정대로 150, 3층 342 (덕풍동)",경기도 하남시 덕풍동 762번지 3층 342,그 외 기타 의료용 기기 제조업 외 1 종,031-790-4170,031-790-4180,7,"산소공급기,들것,부목 등",2025-06-30
470,아남특수시계,"경기도 하남시 조정대로 150, 7층 769 (덕풍동, 아파트형공장 ITECO) 7층 769호",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 7층 769 7층 769호,시계 및 시계부품 제조업,031-790-0071,031-790-0072,3,"시계, 시계탑제작등",2025-06-30
471,아드리아컴퍼니(주),"경기도 하남시 초광산단로 45, 3층 (초이동)",경기도 하남시 초이동 623-10 3층,빵류 제조업,02-6414-0901,02-6414-0902,3,"제과, 제빵, 잼",2025-06-30
472,아비츠,"경기도 하남시 미사강변중앙로7번안길 25, B동 801호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 B동 801호,기타 음향기기 제조업,031-8027-6228,,3,"음향 및 영상장비 (오디오 믹서, 앰프 등)",2025-06-30
473,아시아기계(주),경기도 하남시 초광산단로 76 (광암동),경기도 하남시 광암동 400-2번지,공기 조화장치 제조업,,031-796-8077,2,"히터(열풍기,난방기,냉방기)",2025-06-30
474,아이원스포츠,"경기도 하남시 미사강변중앙로7번안길 25, A동 609호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 A동 609호,"근무복, 작업복 및 유사의복 제조업 외 1 종",,,3,체육복,2025-06-30
475,아이월드세이프텍,"경기도 하남시 조정대로 45, 2층 F225 (풍산동)",경기도 하남시 풍산동 493번지 2층 F225,무기 및 총포탄 제조업,031-5175-3140,031-5175-3144,3,"호신용스프레이, 호신용가스총",2025-06-30
476,아이자드 (주),경기도 하남시 천현로134번길 42 (천현동),경기도 하남시 천현동 37-6번지,전동기 및 발전기 제조업,031-796-2255,031-794-2872,3,LCD모니터승하강전동기계장치,2025-06-30
477,아이존산업,"경기도 하남시 하남대로 947, C동 908호, 909호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 908호, 909호",침구 및 관련제품 제조업,02-2281-6829,031-5180-308,5,"이불, 패드",2025-06-30
478,아토플렉스 주식회사,"경기도 하남시 조정대로 45, F952호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 F952호,그 외 기타 분류 안된 화학제품 제조업,031-793-5490,031-793-5491,24,체외진단의료기기(진단용시약),2025-06-30
479,아트에이브이(주),"경기도 하남시 조정대로 150, 6층 615,616,618,620 (덕풍동, 아파트형공장 ITECO)","경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 6층 615,616,618,620",기타 음향기기 제조업 외 7 종,031-796-9119,031-796-9109,9,"방송기자재 및 CCTV,오디오기기,전원공급장치(파워서플라이)",2025-06-30
480,애드케이원(주),경기도 하남시 하남대로622번길 121 (창우동),경기도 하남시 창우동 314-2번지,간판 및 광고물 제조업,031-796-4310,031-796-4309,8,"간판, 철물",2025-06-30
481,애자일 주식회사,"경기도 하남시 하남대로166번길 42-12, 2,3층(상산곡동)","경기도 하남시 상산곡동 289 2,3층",육류 포장육 및 냉동육 가공업 (가금류 제외),031-793-9280,031-601-9005,17,국내산 및 수입산 돼지고기 및 쇠고기 포장육,2025-06-30
482,어드벤처 주식회사,"경기도 하남시 초광산단서로 4, B1,1,2,3층 (초이동)","경기도 하남시 초이동 624-6 B1,1,2,3층",기관차 및 기타 철도차량 제조업 외 5 종,02-477-7999,02-403-7512,29,"인공암벽 홀드, 암벽 패널, 어드벤처코스, 롤러코스터짚라인 레일, 코스조형물, 애니멀어드벤처, 도넛, 볼",2025-06-30
483,어울림,"경기도 하남시 하남대로 990, 7층 715호(풍산동, 로얄팰리스 테크노1차)",경기도 하남시 풍산동 601 로얄팰리스 테크노1차 7층 715호,커튼 및 유사제품 제조업,031-699-0033,031-796-7303,1,"롤블라인드, 롤업셰이드",2025-06-30
484,어울림사랑헬퍼주식회사,"경기도 하남시 하남대로 990, 313호(풍산동, 로얄팰리스 테크노1차)",경기도 하남시 풍산동 601 로얄팰리스 테크노1차 313호,그 외 기타 달리 분류되지 않은 제품 제조업,032-505-9044,,1,전동보장구급속충전기/바이러스킬,2025-06-30
485,엄지식품,경기도 하남시 대성로 51 (항동) 나동1층,경기도 하남시 항동 117-5,김치류 제조업,031-796-4085,031-796-4086,13,김치류,2025-06-30
486,에스에스씨,"경기도 하남시 하남대로 990, 211호 (풍산동, 로얄팰리스 테크노1차)",경기도 하남시 풍산동 601 로얄팰리스 테크노1차 211호,커피 가공업 외 1 종,,050-8090-4237,1,"캡슐커피, 캡슐티, 티백, 드립백(분말류)",2025-06-30
