È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
¼º¿µÀüÀÚ(ÁÖ),¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"¿ÂµµÁ¶Àý±â, Åë½Å±â±â, Àü·Â·®ÃøÁ¤±â",031-453-3090,031-453-3092,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 694-3¹øÁö 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 13, 3Ãþ (±ÝÁ¤µ¿)",2025-09-15
¼º¿ì»ê¾÷,°³ÀÎ,ÁÖ¹æ¿ë ¹× À½½ÄÁ¡¿ë ¸ñÀç°¡±¸ Á¦Á¶¾÷,¾ÅÅ©´ë,031-458-4074,031-458-4075,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-27¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 26, 1Ãþ (»êº»µ¿)",2025-09-15
¼º¿ìÀüÀÚÁÖ½ÄÈ¸»ç,¹ýÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷,"PCB ASS'Y, SMPS",031-456-9273,031-456-9278,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-32,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 9-12(±ÝÁ¤µ¿),2025-09-15
¼ºÁø±ÝÇü,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇüºÎÇ°,031-455-7302,031-455-7303,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 339-8¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø¾È±æ 20, 1Ãþ (´çÁ¤µ¿)",2025-09-15
¼ºÁøÁ¤¹Ð ÁÖ½ÄÈ¸»ç,¹ýÀÎ,±× ¿Ü ±âÅ¸ ±Ý¼Ó°¡°ø¾÷,°øÀÛ±â°è Ä¨Ä«¹Ù,031-427-0182,031-427-0183,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 105¹øÁö 2µ¿ 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î77¹ø¾È±æ 16, 2µ¿ 1Ãþ (´çÁ¤µ¿)",2025-09-15
¼ºÁøÅ×Å©,°³ÀÎ,"°í¹«, È­ÇÐ¼¶À¯ ¹× ÇÃ¶ó½ºÆ½ ¼ºÇü±â Á¦Á¶¾÷ ¿Ü 10 Á¾","¾ÐÃâ±â Á¦ÀÛ, ÀÚÀü°Åº¸°ü´ë, ÁÖ¹æ±â±¸",031-429-1416,031-429-1413,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1-17¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 34-4 (»êº»µ¿),2025-09-15
¼ºÁøÅ×Å©,°³ÀÎ,±× ¿Ü ±Ý¼Ó ¾ÐÇüÁ¦Ç° Á¦Á¶¾÷,±â°èºÎÇ°,031-456-1466,031-456-6641,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 360-1¹øÁö 1Ãþ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î85¹ø±æ 13, 1Ãþ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
¼ºÂùÀü±â ÁÖ½ÄÈ¸»ç,¹ýÀÎ,ÀÏ¹Ý¿ë Àü±â Á¶¸íÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"LEDÁ¶¸í±â±¸, Á¶¸íÁ¦¾îÀåÄ¡",031-451-6560,031-451-6561,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 423 ¼ºÂùÀü±â(ÁÖ),"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î126¹ø±æ 20, ¼ºÂùÀü±â(ÁÖ) (´çÁ¤µ¿)",2025-09-15
¼ºÇöÁßÀü±â»ê¾÷»ç,°³ÀÎ,Àüµ¿±â ¹× ¹ßÀü±â Á¦Á¶¾÷,"¸ðÅÍ,º¯¾Ð±â",031-456-8400,031-456-8401,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-12¹øÁö ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 17-4 (»êº»µ¿, ¼ºÇöÁßÀü±â)",2025-09-15
¼ºÈ£ÀüÀÚ(ÁÖ),¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷,"ÆÄ¿ö¼­ÇÃ¶óÀÌ, ÇÊ¸§ ÄÜµ§¼­ ",02-2104-7512,02-6713-7748,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1087 (3Ãþ,4Ãþ)","°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 142, (3Ãþ,4Ãþ)(´çÁ¤µ¿)",2025-09-15
¼¼±¤ÀÌ¿£Áö,°³ÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷",ÀÚµ¿Â÷ ¿£Áø ½ÃÇè ºÎÇ°Áö±× °¡°ø ¿Ü ÀÚµ¿Â÷ ºÎÇ°,031-349-7591,031-452-1994,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 339-2¹øÁö 102È£, ´çÁ¤µ¿ 339-2, 1Ãþ ÀÏºÎ ","°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø±æ 29, 102È£, ´çÁ¤µ¿ 339-2, 1Ãþ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
¼¼±¤Á¤°ø,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇü,031-457-0317,031-457-0319,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-7¹øÁö ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 64 (´çÁ¤µ¿, (ÁÖ)¼¼±¤Á¤¹Ð)",2025-09-15
¼¼¾ÆÅ×Å©,°³ÀÎ,"·¹ÀÌ´õ, Ç×Çà¿ë ¹«¼±±â±â ¹× Ãø·®±â±¸ Á¦Á¶¾÷ ¿Ü 7 Á¾",¿ø°ÝÁ¦¾î°üÃøÀåÄ¡,070-8747-8995,031-306-8706,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Bµ¿ 1706È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Bµ¿ 1706È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
¼¼¾çÀüÀÚ(ÁÖ),¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷,"·¹Æ¼Å¬ÄÉÀÌ½º, ¹ÝµµÃ¼ ¹× µð½ºÇÃ·¹ÀÌ ºÎÀÚÀç",031-427-9330,031-427-9337,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1247-8¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î21¹ø±æ 4 (ºÎ°îµ¿),2025-09-15
¼¼¿øÁ¤¹Ð (ÁÖ),¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,"ÈÞ´ëÆù±â±âºÎÇ°, ÀÇ·á±âºÎÇ°, ÀÚµ¿Â÷ºÎÇ°, ATM±â ºÎÇ°¿Ü",031-429-5435,031-429-5436,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 154-10,°æ±âµµ ±ºÆ÷½Ã »êº»·Î48¹ø±æ 10-9 (´çÁ¤µ¿) 1Ãþ,2025-09-15
¼¼ÀÏ¸®ÄÚ(ÁÖ),¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷ ¿Ü 6 Á¾","Á¦½Àº¸°üÇÔ, ´ÙÃ¼³Î ¿ÂµµÃøÁ¤±â, »ó¿Â¹æÄ¡±â, ±³¹Ý±â, »ê¾÷¿ë °¡½À±â",031-429-6462,031-429-6466,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 352-7¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î101¹ø±æ 9-3 (´çÁ¤µ¿),2025-09-15
¼¼ÁøÁ¤¹Ð,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇü°¡°ø,031-429-8715,031-429-8716,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1233-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷1·Î 14 (ºÎ°îµ¿),2025-09-15
¼¼ÁøÅ×Å©,°³ÀÎ,½ºÅ©¸° ÀÎ¼â¾÷,Lcd Window,031-456-8475,031-456-8477,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-47¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 10-22 (±ÝÁ¤µ¿),2025-09-15
¼¾ÅØ(ÁÖ),¹ýÀÎ,±âÃ¼ ¿©°ú±â Á¦Á¶¾÷,Å»ÃëÀåÄ¡,031-423-0082,02-525-0121,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 315-2 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î104¹ø±æ 17-1, 1Ãþ (´çÁ¤µ¿)",2025-09-15
¼ÁÅ×µå¼Ö·ç¼Ç ÁÖ½ÄÈ¸»ç,¹ýÀÎ,¹æ¼ÛÀåºñ Á¦Á¶¾÷ ¿Ü 2 Á¾,"¹æ¼ÛÀåºñ, ¿Àµð¿À, ½ºÇÇÄ¿",070-7500-9529,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522 SKº¥Æ¼¿ò 101µ¿ 606È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 101µ¿ 606È£ (´çÁ¤µ¿, SKº¥Æ¼¿ò)",2025-09-15
"¼Ò³ë¿þÀÌºê(410,411È£)",°³ÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷,ÀÇ·á±â±â¿ë ÀüÀÚºÎÇ°,,,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1246 ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸® 4Ãþ 410È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î7¹ø±æ 8, 4Ãþ 410È£(ºÎ°îµ¿, ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸®) ¿Ü 1ÇÊÁö",2025-09-15
¼ÒÀÌºó³×ÀÌÃÄ,°³ÀÎ,µÎºÎ ¹× À¯»ç½ÄÇ° Á¦Á¶¾÷,µÎºÎ·ù,031-458-3131,031-429-1629,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 186¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 213 (±ÝÁ¤µ¿) ¿Ü 1ÇÊÁö,2025-09-15
¼Û´çÆ¼¿£¾¾,°³ÀÎ,º¼Æ® ¹× ³ÊÆ®·ù Á¦Á¶¾÷ ¿Ü 2 Á¾,ÅÍ³Î ¹æ¼öÀÚÀç (Ã¶±ÙÃ³Áü °íÁ¤¿ë¾ÞÄ¿ ¹× ¹æ¼ö¶õµ¨),031-689-6412,031-689-6414,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 710È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
¼Û¿ùÅ¸¿Ã¼ö°ÇÀÌ¾ß±â(ÁÖ),¹ýÀÎ,ÀÚ¼öÁ¦Ç° ¹× ÀÚ¼ö¿ëÀç·á Á¦Á¶¾÷,Å¸¿ù,070-4282-0306,02-6406-7171,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 381-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î77¹ø±æ 38 (´çÁ¤µ¿),2025-09-15
½º¸¶Æ¼¿Â,°³ÀÎ,ÀÏÂ÷ÀüÁö Á¦Á¶¾÷ ¿Ü 6 Á¾,"¹åµ¥¸®1Â÷/2Â÷Á¦Á¶, ÃæÀü±âÁ¦Á¶, CABLEÁ¶¸³Ã¼",,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 364-2¹øÁö 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î 85-20, 3Ãþ (´çÁ¤µ¿)",2025-09-15
½Â¿ìÁ¤¹Ð,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇüºÎÇ°,031-456-0047,031-456-0484,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 123¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î 85-11, 1Ãþ (´çÁ¤µ¿)",2025-09-15
½Ã±×¸¶,°³ÀÎ,Àü±â°æº¸ ¹× ½ÅÈ£ÀåÄ¡ Á¦Á¶¾÷,"Á¤Àü°¨ÁöÀåÄ¡,À¯·®Á¦¾îÀåÄ¡",031-451-4201,031-451-4203,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1011-2¹øÁö 203È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î211¹ø±æ 30, 203È£ (´çÁ¤µ¿)",2025-09-15
½Ã³À½ºÀÌ¹ÌÂ¡(ÁÖ),¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷ ¿Ü 2 Á¾",¹ÝµµÃ¼°Ë»çÀåºñ,031-608-9300,031-436-0429,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 504-3 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 76, 1Ãþ (´çÁ¤µ¿)",2025-09-15
½Ã½ºÄÚ¹«¿ª,°³ÀÎ,±× ¿Ü ±âÅ¸ Àü±âÀåºñ Á¦Á¶¾÷,ÀüÀÚÃæ°Ý±â,031-397-4078,031-397-4076,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 974-1¹øÁö ÁöÇÏ1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿ëÈ£1·Î 16, ÁöÇÏ1Ãþ (´çµ¿)",2025-09-15
½Ã¿£µðÄÁ¹öÀü½º(ÁÖ),¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 1 Á¾,"RFÂ÷»óÀåÄ¡, RFÁö»óÀåÄ¡, ½Â°­Àå¾ÈÀü¹® Á¦¾îÀåÄ¡",031-689-5997,031-689-5998,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43 ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷ 501È£, 502È£","°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, 501È£, 502È£ (´çÁ¤µ¿, ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷)",2025-09-15
½Ã¿Â½ºÅ©¸°,°³ÀÎ,±âÅ¸ ÀÎ¼â°ü·Ã »ê¾÷,ÀÎ¼â,031-429-9477,031-429-9479,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 324-18 »ïÇ³µ¥ÆÄÆ® 202È£,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 57, 202È£ (´çÁ¤µ¿, »ïÇ³µ¥ÆÄÆ®)",2025-09-15
½Å¸í½ÄÇ°,°³ÀÎ,»§·ù Á¦Á¶¾÷ ¿Ü 1 Á¾,"»§,°úÀÚ·ù,µµ³ÊÃ÷,Ä«½ºÅ×¶ó·ù",031-458-9904,031-458-9404,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 340-3¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø¾È±æ 24 (´çÁ¤µ¿),2025-09-15
½Å¸íÅ×Å©,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,ÄÚ¾ÆÇÉ,070-7608-4375,031-8033-0099,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1054-0,°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 2 (´çÁ¤µ¿) 1µ¿ Áö1Ãþ B105È£,2025-09-15
½Å»ó±â°è(ÁÖ),¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÏ¹Ý¸ñÀû¿ë ±â°è Á¦Á¶¾÷ ¿Ü 1 Á¾,¼ÛÇ³±â,031-455-3351,031-455-3353,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 508-13¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î27¹ø±æ 30-3 (´çÁ¤µ¿, (ÁÖ)½Å»ó±â°è)",2025-09-15
½Å¼º¸ÞÄ«Æ®·Î´Ð½º ÁÖ½ÄÈ¸»ç,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇü,031-456-1961,031-456-0063,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-28¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 10-2 (»êº»µ¿),2025-09-15
½Å¼ºÁ¤¹Ð,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,»çÃâ±ÝÇü¹×±â°èºÎÇ°,031-457-3396,031-458-3396,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1¹øÁö ÇÑ¼ÖÅ×Å©³ëÅ¸¿î B1Ãþ B110È£,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, B1Ãþ B110È£ (´çÁ¤µ¿, ÇÑ¼ÖÅ×Å©³ëÅ¸¿î)",2025-09-15
½Å½ÂÇÁ¶ó½ºÆ½,°³ÀÎ,¿î¼ÛÀåºñ Á¶¸³¿ë ÇÃ¶ó½ºÆ½Á¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,"ÇÚµåÆù ºÎÇ°, ¹«¼±ÃæÀü±â, ºí·¢¹Ú½º",031-451-5551,031-451-5550,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 358-3¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 24 (´çÁ¤µ¿),2025-09-15
½Å¾Æ±â¾÷,°³ÀÎ,¼³Ä¡¿ë ¹× À§»ý¿ë ÇÃ¶ó½ºÆ½Á¦Ç° Á¦Á¶¾÷,"(¿ÏÁ¦Ç°)Á¥º´, ÁÖ½ºÄÅ, Á¥²ÀÁö",031-451-3932,031-451-3933,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 104µ¿ 804È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 804È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
½Å¾ÈÈ­ÇÐ,°³ÀÎ,¿î¼ÛÀåºñ Á¶¸³¿ë ÇÃ¶ó½ºÆ½Á¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,¼¼Å¹±âºÎÇ°,031-455-0579,031-455-4078,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 150-17¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î54¹ø¾È±æ 4 (´çÁ¤µ¿),2025-09-15
½Å¿µÁ¾ÇÕºñÃ¶,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇü ÀÓ°¡°ø,031-477-6061,031-477-2024,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 150-39,°æ±âµµ ±ºÆ÷½Ã »êº»·Î54¹ø±æ 19-22 (´çÁ¤µ¿),2025-09-15
½Å¿ì¾¾¾Ø¾¾ÁÖ½ÄÈ¸»ç,¹ýÀÎ,»ê¾÷Ã³¸®°øÁ¤ Á¦¾îÀåºñ Á¦Á¶¾÷ ¿Ü 1 Á¾,"°øÁ¶±â±â,Å©¸°·ëÀåºñ ¿Ü",031-451-2256,031-456-7919,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43¹øÁö ¿¡ÀÌ½ºÇÏÀÌÅ×Å©½ÃÆ¼406È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, ¿¡ÀÌ½ºÇÏÀÌÅ×Å©½ÃÆ¼406È£ (´çÁ¤µ¿)",2025-09-15
½Å¿ìÆ÷Àå,°³ÀÎ,Æ÷Àå¿ë ÇÃ¶ó½ºÆ½ ¼ºÇü¿ë±â Á¦Á¶¾÷,"Blister,Tray,PETBOX",031-459-9808,031-459-4257,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 478-1¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 83, 1Ãþ (´çÁ¤µ¿)",2025-09-15
½ÅÀÌÅ×Å©,°³ÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,¼öµ¿½Ä ÀÇ·á¿ë °³Ã¢±â±¸ ¿Ü,031-457-1510,031-457-1556,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 178-1¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 1 (´çµ¿),2025-09-15
½ÅÀü»ê¾÷,°³ÀÎ,±âÅ¸ °¡Á×Á¦Ç° Á¦Á¶¾÷,»ê¾÷¿ëº§Æ®,031-0452-7535,031-0456-1008,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 694-8¹øÁö,°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î 15-12 (±ÝÁ¤µ¿),2025-09-15
½ÅÁøÁ¤°ø»ç,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,»çÃâ±ÝÇüÁ¦Á¶,031-454-2022,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 630-22 ¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 30 (´çÁ¤µ¿),2025-09-15
½ÅÇÑ³Ã¿­,°³ÀÎ,±× ¿Ü ±âÅ¸ Æ¯¼ö¸ñÀû¿ë ±â°è Á¦Á¶¾÷ ¿Ü 2 Á¾,"Ç×¿ÂÇ×½À±â, ÀÌ¿Â³Ãµ¿±â, ÄÜµ§½Ì À¯´ÏÆ®, Áú¸µ À¯´ÏÆ®",031-477-1791,031-477-1790,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-62¹øÁö ³ªµ¿ 101È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 6, ³ªµ¿ 101È£ (±ÝÁ¤µ¿)",2025-09-15
½ÅÇÑÀü±â°ø¾÷(ÁÖ),¹ýÀÎ,º¯¾Ð±â Á¦Á¶¾÷,º¯¾Ð±â,031-452-6015,02-2633-6009,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 526-1¹øÁö,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î36¹ø±æ 1 (´çÁ¤µ¿, ÇÑ±¹¾ÐÀü±â)",2025-09-15
½ÅÇö±âÀüÁÖ½ÄÈ¸»ç,¹ýÀÎ,"Àü±âÈ¸·Î °³Æó, º¸È£ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾",Â÷´Ü±âºÎÇ°(FLEXIble TERMINAL),031-452-3601,031-453-3603,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 103-8¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¹ú»õÀü¸®±æ 25 (´çÁ¤µ¿),2025-09-15
½ÅÈ­ÀüÀÚ,°³ÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,"¸®¸ðÄÜ,Å°º¸µå",031-457-8626,031-457-8628,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 323-1¹øÁö 3Ãþ 305È£,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î75¹ø±æ 23, 3Ãþ 305È£ (´çÁ¤µ¿)",2025-09-15
½ÅÈÄ ÁÖ½ÄÈ¸»ç,¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 7 Á¾,"¼­Áöº¸È£±â, ºÐÀüÇÔ, Á¤·ù±â",031-427-6088,031-456-6061,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 371-5¹øÁö 4Ãþ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 40, 4Ãþ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
½Ç¹öÅÂ±× ÁÖ½ÄÈ¸»ç,¹ýÀÎ,±âÅ¸ °¡°ø °øÀÛ±â°è Á¦Á¶¾÷,"CNC Á¶°¢±â, ·¹ÀÌÀú, Çùµ¿·Îº¿, °¢ÀÎ±â",031-429-0311,032-429-0314,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 695-6,°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î 7 (±ÝÁ¤µ¿),2025-09-15
½Ì½Ì³ª¶ó ³ó¾÷È¸»ç¹ýÀÎ À¯ÇÑÈ¸»ç,¹ýÀÎ,±âÅ¸ °ú½Ç¤ýÃ¤¼Ò °¡°ø ¹× ÀúÀå Ã³¸®¾÷,°ú½Ç ¹× ±× ¿Ü Ã¤¼Ò ÀýÀÓ½ÄÇ° Á¦Á¶¾÷,031-452-9887,031-459-9887,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 419-5 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 18-17, 2Ãþ(´çÁ¤µ¿)",2025-09-15
½æÅ×Å©,°³ÀÎ,±× ¿Ü ±âÅ¸ ±Ý¼Ó°¡°ø¾÷,Áø°øºê·¹ÀÌÂ¡,032-571-870,032-572-8703,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1 ÇÑ¼ÖÅ×Å©³ëÅ¸¿î 1µ¿ 3Ãþ 304È£,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 1µ¿ 3Ãþ 304È£(´çÁ¤µ¿, ÇÑ¼ÖÅ×Å©³ëÅ¸¿î)",2025-09-15
