연번,기업명,전화번호,주요상품,주소,산업분류
13221,강명테크,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 장안면 돌서지길 62-15,폴리스티렌 발포 성형제품 제조업
13222,디오캠핑카,데이터미집계,기타 운송장비 제조업,경기도 화성시 송산면 송산포도로 345-16,모터사이클 제조업
13223,지엔텍GNTEK,데이터미집계,전기장비 제조업,"경기도 화성시 동탄대로6길 20 (산척동, 더레이크시티부영4단지)",배전반 및 전기 자동제어반 제조업
13224,(주)더원텍,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 중하저길 30-12,주형 및 금형 제조업
13225,우성로지스틱,데이터미집계,1차 금속 제조업,경기도 화성시 봉담읍 하가등안길 46-39,강관 가공품 및 관 연결구류 제조업
13226,JS테크,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 마도면 청원로 3-12,기타 기계장비 조립용 플라스틱 제품 제조업
13227,앤이알메슈티컬,031-365-5665,섬유제품 제조업; 의복제외,경기도 화성시 송산면 송산로152번길 73,침구 및 관련제품 제조업
13228,시소테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 정남동로327-,그 외 기타 금속가공업
13229,제이에스씨코퍼레이션,031-8059-5823,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 양감면 사격장길 61-11,합성수지 및 기타 플라스틱 물질 제조업
13230,씨엠테크,031-352-6170,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 온천로 16-39,산업용 로봇 제조업
13231,나노텍,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 안녕남로142번길 11 (안녕동),절삭가공 및 유사처리업
13232,태성코퍼레이션,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 마도면 금당길152-,금속 성형기계 제조업
13233,정원전기,데이터 미집계,전기장비 제조업,경기도 화성시 향남읍 갈천길64-,배전반 및 전기 자동제어반 제조업
13234,희성산업중부지사,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 봉담읍 덕우공단1길 46-2,그 외 자동차용 신품 부품 제조업
13235,(주)미륭산업,070-8803-6003,1차 금속 제조업,경기도 화성시 서신면 전곡산단7길 6,열간 압연 및 압출 제품 제조업
13236,（주）미벨라,031-1577-2098,"펄프, 종이 및 종이제품 제조업",경기도 화성시 향남읍 만년로 193-6,위생용 종이제품 제조업
13237,해성메탈,031-435-6903,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 마도면 마도공단로5길 17,절삭가공 및 유사처리업
13238,화성시니어클럽커피화커피찌꺼기재활용사업장,데이터미집계,기타 제품 제조업,경기도 화성시 봉담읍 상리3길 38,사무 및 회화용품 제조업
13239,짐스짐웨어,데이터미집계,"의복, 의복 액세서리 및 모피제품 제조업",경기도 화성시 남양읍 남양성지로 8-5 (우림그린빌리지),남자용 겉옷 제조업
13240,동우산업,데이터미집계,1차 금속 제조업,경기도 화성시 향남읍 만년로209-,그 외 기타 1차 철강 제조업
13241,에이치에스HS,데이터미집계,전기장비 제조업,경기도 화성시 동탄5동 동탄첨단산업1로58-,전기회로 접속장치 제조업
13242,송산산업,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 송산면 은수포북길32번길76-10,도장 및 기타 피막처리업
13243,주식회사 신광분체,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 장안면 3.1만세로281번길00073-00007,도장 및 기타 피막처리업
13244,도가,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 여의동길93-,절삭가공 및 유사처리업
13245,진성ENG,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 기안길 60-6 (기안동),절삭가공 및 유사처리업
13246,재승일렉,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 마도면 송정로264번길00057-00000,기타 반도체소자 제조업
13247,대영하이텍,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 낭내기길55-,주형 및 금형 제조업
13248,일광엔지니어링,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 언창길66-,절삭가공 및 유사처리업
13249,에프앤에스,031-366-3983,고무 및 플라스틱제품 제조업,경기도 화성시 팔탄면 시청로 790-21,고무패킹류 제조업
13250,성찬테크,031-378-0204,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 기배동 배양남길68-,그 외 기타 금속가공업
13251,삼성머신서비스,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 정남동로221-,금속 절삭기계 제조업
13252,제이에이치푸드JHFOOD,데이터미집계,식료품 제조업,경기도 화성시 양감면 초록로158-,기타 식사용 가공처리 조리식품 제조업
13253,한길테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 반월길 63-3 (반월동),절삭가공 및 유사처리업
13254,올뉴테크놀로지,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 10용사3길 11 (반송동),"탭, 밸브 및 유사장치 제조업"
13255,범우스틸,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 송산면 마산길227-,그 외 기타 금속가공업
13256,주식회사 가온산업,데이터미집계,"펄프, 종이 및 종이제품 제조업",경기도 화성시 마도면 마도공단로3길 7-16,문구용 종이제품 제조업
13257,주식회사 레어템,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 구문천안길 60-16,반도체 제조용 기계 제조업
13258,한국쇼트,데이터미집계,1차 금속 제조업,경기도 화성시 남양읍 신남로240번길 9,그 외 기타 1차 철강 제조업
13259,코먼메탈,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 발안공단로4길 114,도금업
13260,주식회사 광명일렉트릭,데이터미집계,전기장비 제조업,경기도 화성시 남양읍 현대기아로00679-00023,변압기 제조업
13261,의형산업,031-298-4557,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 서봉로 163-16,절삭가공 및 유사처리업
13262,영테크산업,데이터 미집계,인쇄 및 기록매체 복제업,경기도 화성시 향남읍 발안공단로 178-23,기타 인쇄업
13263,(주)이씨알엔씨,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 서신면 전곡산단10길 42,화장품 제조업
13264,원진정밀,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 반정로150번길 9 (반정동),절삭가공 및 유사처리업
13265,창호이엔지,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 마도면 석교로 26-25,그 외 기타 특수목적용 기계 제조업
13266,(주)미래이엔씨,데이터미집계,전기장비 제조업,경기도 화성시 팔탄면 율암길95번길 15-30,배전반 및 전기 자동제어반 제조업
13267,형지팩,데이터미집계,"펄프, 종이 및 종이제품 제조업",경기도 화성시 송산면 마산길223-,식품 위생용 종이 상자 및 용기 제조업
13268,창성엠텍,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 노루고개길 77-24,동력식 수지공구 제조업
13269,대한농산,데이터미집계,식료품 제조업,경기도 화성시 송산면 당성로510번길 14,곡물 도정업
13270,신화정공,031-8077-2611,기타 기계 및 장비 제조업,경기도 화성시 향남읍 솔태상두길 292-28,주형 및 금형 제조업
13271,한솔퍼니쳐,데이터미집계,가구 제조업,경기도 화성시 기배동 융건로37-,주방용 및 음식점용 목재가구 제조업
13272,효성테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 진안북길82번길 38 (기산동),절삭가공 및 유사처리업
13273,"주식회사 피카메디칼 (PICA MEDICAL Co.,Ltd)",데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 양감면 솔안길 70-25,그 외 기타 의료용 기기 제조업
13274,현명시스템주식회사,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 발안로 702-51,반도체 제조용 기계 제조업
13275,세원텍,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 봉담읍 주석로1112번길 16-4,절삭가공 및 유사처리업
13276,유한회사 도원데일리카,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 화산동 화산중앙로64번길00003-00000,차체 및 특장차 제조업
13277,태영산업기계 주식회사,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 마도면 청원산단1길 27,그 외 기타 특수목적용 기계 제조업
13278,티피레이저,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 발안로 576-27,전자 응용 절삭기계 제조업
13279,한양이엔지(주),데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 영통로26번길 72 (반월동),산업처리공정 제어장비 제조업
13280,주연기계기술,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 비봉면 청요로8-,절삭가공 및 유사처리업
13281,주식회사 현대테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 시청로940번길 42,"금속 문, 창, 셔터 및 관련제품 제조업"
13282,주식회사 엠케이페이퍼,031-431-8439,"펄프, 종이 및 종이제품 제조업",경기도 화성시 장안면 수정로 110-50,위생용 종이제품 제조업
13283,주식회사 렉슨,031-354-7390,기타 기계 및 장비 제조업,경기도 화성시 향남읍 초록로877-,전자 응용 절삭기계 제조업
13284,주식회사 기가테라라이팅,031-370-8800,전기장비 제조업,경기도 화성시 동탄산단6길 3 (방교동),일반용 전기 조명장치 제조업
13285,에스앤테크,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 진안북길79번길 32 (진안동),절삭가공 및 유사처리업
13286,퓨라,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 남양읍 무하로110번길 31-7,산업용 냉장 및 냉동 장비 제조업
13287,(주)남일엔프라,02-2675-9654,고무 및 플라스틱제품 제조업,경기도 화성시 양감면 은행나무로 531-26,플라스틱 필름 제조업
13288,신현테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 갈담초교길11-,주형 및 금형 제조업
13289,세진철망,031-352-7086,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 푸른들판로651-,금속선 가공제품 제조업
13290,우성기업,031-357-9611,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 초록로693번길 67-8,육상 금속 골조 구조재 제조업
13291,신성산업,데이터 미집계,고무 및 플라스틱제품 제조업,경기도 화성시 안녕남로96번길 16 (안녕동),운송장비 조립용 플라스틱제품 제조업
13292,(주)디텍글로벌,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 동탄5동 동탄대로00646-00002,반도체 제조용 기계 제조업
13293,(주)범석화학,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 장안면 버들로 1206-3,합성수지 및 기타 플라스틱 물질 제조업
13294,진영산업,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 토성로341-,반도체 제조용 기계 제조업
13295,삼부산업,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 양감면 초록로166번길 15-20,내연기관 제조업
13296,한신콤프렛서,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 시청로1522-,기체 펌프 및 압축기 제조업
13297,카본리싸이클,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 팔탄면 밤뒤길39번길 14,그 외 기타 플라스틱 제품 제조업
13298,(주)유아이텍,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 온천로 16-39,컨베이어장치 제조업
13299,SV엔지니어링,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업","경기도 화성시 동탄순환대로26길 81 (영천동, 동탄 행복마을 푸르지오)",산업처리공정 제어장비 제조업
13300,덕영정밀,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 서해로 1399-3,주형 및 금형 제조업
13301,서광산업,데이터미집계,가구 제조업,경기도 화성시 향남읍 발안로505-,기타 목재가구 제조업
13302,(주)한영테크,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 정남면 내향로 250-9,그 외 자동차용 신품 부품 제조업
13303,우성 ADT,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 하가등안길 46-39,"탭, 밸브 및 유사장치 제조업"
13304,다우씨앤에프,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 남양읍 현대기아로 720-21,"금속 문, 창, 셔터 및 관련제품 제조업"
13305,성원하이텍,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 동탄산단7길 98-7 (방교동),금속 캔 및 기타 포장용기 제조업
13306,DA프린텍,데이터미집계,인쇄 및 기록매체 복제업,경기도 화성시 효행로1265번길 80 (반월동),스크린 인쇄업
13307,미래벤딩,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 푸른들판로978-,그 외 기타 분류 안된 금속 가공 제품 제조업
13308,삼우엔지니어링,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 우정읍 -,그 외 기타 분류 안된 금속 가공 제품 제조업
13309,에로바테크놀러지,02-890-3566,기타 기계 및 장비 제조업,경기도 화성시 동탄5동 동탄순환대로830-,산업용 로봇 제조업
13310,(주)에코에너시스,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 만년로 639-23,"산업용 오븐, 노 및 노용 버너 제조업"
13311,(주)영주산업,031-350-3911,고무 및 플라스틱제품 제조업,경기도 화성시 향남읍 발안로 742-38,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
13312,스미세이케미칼주식회사 장안공장,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 장안면 장안공단2길 111,산업용 가스 제조업
13313,현대포장산업,031-351-9862,고무 및 플라스틱제품 제조업,경기도 화성시 우정읍 쌍봉로 634-97,플라스틱 필름 제조업
13314,기진주식회사,데이터미집계,전기장비 제조업,경기도 화성시 남양읍 남양로 352-10,주방용 전기기기 제조업
13315,한국후지기계(주),데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 양감면 은행나무로515-,음ㆍ식료품 및 담배 가공기계 제조업
13316,네이처테크,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 안녕길115번길 19 (안녕동),절삭가공 및 유사처리업
13317,주식회사 한국초음파*,031-355-2832,전기장비 제조업,경기도 화성시 장안면 석포로 115-16,그 외 기타 전기장비 제조업
13318,원트레이드,데이터미집계,전기장비 제조업,경기도 화성시 봉담읍 와우안길109-,배전반 및 전기 자동제어반 제조업
13319,제이스퀘어,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 봉담읍 동화길51-,산업용 그 외 비경화 고무제품 제조업
13320,에스프라임시스템,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 양감면 안요골길 143-22,기타 반도체소자 제조업
13321,주식회사 새론특장,031-8059-4412,자동차 및 트레일러 제조업,경기도 화성시 장안면 포승장안로1186번길 37,차체 및 특장차 제조업
13322,마담비,031-238-2632,전기장비 제조업,경기도 화성시 병점1로 216-21 (병점동),기타 가정용 전기기기 제조업
13323,식품가공제조센터,데이터미집계,식료품 제조업,경기도 화성시 반정로150번길 2 (반정동),기타 과실ㆍ채소 가공 및 저장 처리업
13324,창대 엔지니어링,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 동탄5동 동탄순환대로823-,유선 통신장비 제조업
13325,(주)티엔피,031-377-2697,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 동탄5동 동탄첨단산업1로27-,"물질 검사, 측정 및 분석기구 제조업"
13326,경일정밀,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 우정읍 매바위로165번길 5-26,자동차용 신품 의자 제조업
13327,재령아이엔지,데이터미집계,"펄프, 종이 및 종이제품 제조업",경기도 화성시 팔탄면 푸른들판로 956-13,신문용지 제조업
13328,(주)세아테크,1577-4561,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 석포로 68-48,기타 가공 공작기계 제조업
13329,남해하이테크,031-366-3373,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 백토관리길 113-29,금속 단조제품 제조업
13330,(주)씨씨이,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 시청로1610번길 11,육상 금속 골조 구조재 제조업
13331,쉐마솔루션,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 송산면 화성로 316-63,"라디오, 녹음 및 재생 기기 제조업"
13332,아이젠텍,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 정남동로 95-29,주형 및 금형 제조업
13333,신화정밀,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 온천로137번길 63,금속 단조제품 제조업
13334,성현산업,031-356-3201,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 남양읍 주석로80번길 26-24,육상 금속 골조 구조재 제조업
13335,성우PAC,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 향남읍 서낭목길 48-43,포장용 플라스틱 성형용기 제조업
13336,더블유엠,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 신양2길 71,금속 성형기계 제조업
13337,상덕정밀,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 양감면 은행나무로 467-4,기타 반도체소자 제조업
13338,(주)탑,031-219-7936,기타 기계 및 장비 제조업,경기도 화성시 안녕남로50번길 18 (안녕동),기타 가공 공작기계 제조업
13339,SM테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 기안말길 36-8 (기안동),절삭가공 및 유사처리업
13340,탑레이져,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 온천로165번길 83-10,그 외 기타 일반목적용 기계 제조업
13341,현테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 발안공단로277-,절삭가공 및 유사처리업
13342,신광 M&D,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 밤뒤길39번길00030-00027,주형 및 금형 제조업
13343,피엘산업,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 양감면 정문송산로122-,플라스틱 창호 제조업
13344,(주)유진포장,031-356-5024,"펄프, 종이 및 종이제품 제조업",경기도 화성시 팔탄면 상하저길 5-2,골판지 제조업
13345,(주)진성정밀,031-354-7019,자동차 및 트레일러 제조업,경기도 화성시 마도면 마도로 675-5,자동차 엔진용 신품 부품 제조업
13346,대화포장,데이터미집계,"펄프, 종이 및 종이제품 제조업",경기도 화성시 향남읍 솔태상두길 159-14,골판지 상자 및 가공제품 제조업
13347,STF솔루션,데이터미집계,산업용 기계 및 장비 수리업,경기도 화성시 동탄5동 동탄첨단산업1로20-,전기전자 및 정밀기기 수리업
13348,이디에이EDA,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 온천로137번길 20-71,그 외 기타 금속가공업
13349,아이에이 테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 주석로 1166-4,주형 및 금형 제조업
13350,덕유통상,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 매송면 송숙로 243-24,그 외 자동차용 신품 부품 제조업
13351,(주)해경산업,031-354-2388,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 고주골길56-,"금속 문, 창, 셔터 및 관련제품 제조업"
13352,서울오토(AUTO),데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 -,그 외 기타 일반목적용 기계 제조업
13353,서정전기주식회사,데이터미집계,전기장비 제조업,경기도 화성시 향남읍 서봉로 684-6,배전반 및 전기 자동제어반 제조업
13354,효원테크,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 향남읍 서봉로 395-67,산업용 그 외 비경화 고무제품 제조업
13355,델코코(주),데이터미집계,전기장비 제조업,경기도 화성시 팔탄면 온천로165번길 16-12,"전기회로 개폐, 보호장치 제조업"
13356,인스토탈,데이터 미집계,가구 제조업,경기도 화성시 효행로205번길 94 (기안동),주방용 및 음식점용 목재가구 제조업
13357,신원정밀,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 발안로 576-50,절삭가공 및 유사처리업
13358,에스엔테크,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 만년로151번길 6-7,반도체 제조용 기계 제조업
13359,포텍,데이터미집계,전기장비 제조업,경기도 화성시 동탄기흥로 570-6 (영천동),일반용 전기 조명장치 제조업
13360,주식회사 밴이엔씨,데이터미집계,비금속 광물제품 제조업,경기도 화성시 향남읍 토성로276-,암면 및 유사제품 제조업
13361,다나테크,031-372-5737,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 덕절전원길 38-17,절삭가공 및 유사처리업
13362,두성엔지니어링,031-227-3798,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 봉담읍 태봉길 41-6,자동차용 금속 압형제품 제조업
13363,씨브이티,070-4035-3544,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 발안로464번길 28,절삭가공 및 유사처리업
13364,유신산업,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 양감면 송말길 21-6,금속 절삭기계 제조업
13365,(주)금광이엔지,031-358-1342,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 장안면 돌서지길 62-13,육상 금속 골조 구조재 제조업
13366,DN테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 경기대로1200번길 77-3 (반정동),절삭가공 및 유사처리업
13367,대광수지,031-366-3235,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 양감면 송말길 21-2,혼성 및 재생 플라스틱 소재 물질 제조업
13368,태광NC,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 안념길 195-7,주형 및 금형 제조업
13369,(주)영선팩앤테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 토성로 130-38,주형 및 금형 제조업
13370,(주)예그린제과,031-351-8804,식료품 제조업,경기도 화성시 장안면 석포공단길30-,과자류 및 코코아 제품 제조업
13371,엔케이케미칼산업,데이터 미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 마도면 마도로731-,그 외 기타 전자부품 제조업
13372,박성윤,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 동탄기흥로 570-6 (영천동),그 외 기타 전자부품 제조업
13373,비엔티,031-223-0567,고무 및 플라스틱제품 제조업,경기도 화성시 봉담읍 동화길 173-7,운송장비 조립용 플라스틱제품 제조업
13374,주식회사 태양수지,031-8059-2790,"펄프, 종이 및 종이제품 제조업",경기도 화성시 양감면 은행나무로170번길 49,위생용 원지 제조업
13375,주식회사 자인바이오텍,031-8059-1446,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 팔탄면 언창공단길48-,표면광택제 및 실내가향제 제조업
13376,씨엘산업,데이터 미집계,섬유제품 제조업; 의복제외,경기도 화성시 장안면 석포로232-,그 외 기타 분류 안된 섬유제품 제조업
13377,예성테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 시청로 1585-11,그 외 기타 금속가공업
13378,한결엠텍,031-353-7872,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 향남읍 향봉로23-,발광 다이오드 제조업
13379,연일테크,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 장안면 장안로227번길 11-23,절삭가공 및 유사처리업
13380,기림테크,031-223-1465,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 고지5길 32,절삭가공 및 유사처리업
13381,주식회사 현대피앤비,데이터미집계,인쇄 및 기록매체 복제업,경기도 화성시 마도면 송정동길 38-25,기타 인쇄관련 산업
13382,주식회사 현민,031-376-8130,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 시청로1690-,절삭가공 및 유사처리업
13383,IR,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 동탄5동 동탄순환대로878-,산업용 그 외 비경화 고무제품 제조업
13384,덕승폴리머,데이터 미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 정남면 서봉로765번길 16,혼성 및 재생 플라스틱 소재 물질 제조업
13385,스피드켈,031-319-1202,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 송산면 송산포도로 509-5,"물질 검사, 측정 및 분석기구 제조업"
13386,(주)올더테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 동탄5동 동탄순환대로823-,산업용 로봇 제조업
13387,시우,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 발산5길 34-20,절삭가공 및 유사처리업
13388,진양에프알피,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 마도면 마도로634-,기타 건축용 플라스틱 조립제품 제조업
13389,성운전선,031-351-9805,전기장비 제조업,경기도 화성시 장안면 3.1만세로 353-22,전기회로 접속장치 제조업
13390,(주) 와이케이이엔씨 화성지점*,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 정남면 만년로98번길 124-20,플라스틱 창호 제조업
13391,세은테크,032-446-1571,고무 및 플라스틱제품 제조업,경기도 화성시 양감면 토성로 605-9,운송장비 조립용 플라스틱제품 제조업
13392,엠엠테크(MM TECH),데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 괘랑1길8번길46-,절삭가공 및 유사처리업
13393,주니온,031-295-9127,기타 기계 및 장비 제조업,경기도 화성시 향남읍 발안로 499-69,주형 및 금형 제조업
13394,제일시스템창호,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 비봉면 양노로45번길 2-5,"금속 문, 창, 셔터 및 관련제품 제조업"
13395,웰스텍,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 양산로 45-29,절삭가공 및 유사처리업
13396,에프엘에너지,데이터미집계,목재 및 나무제품 제조업; 가구 제외,경기도 화성시 장안면 포승장안로 919-18,그 외 기타 나무제품 제조업
13397,재영테크*,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 금곡로 231-39 (금곡동),고무 의류 및 기타 위생용 비경화 고무제품 제조업
13398,신흥기계,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 비봉면 푸른들판로1125번길 65,액체 펌프 제조업
13399,화인테크,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 장안면 버들로 1125-14,주형 및 금형 제조업
13400,에스엔테크,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 양감면 솔안길 70-23,절삭가공 및 유사처리업
13401,주식회사 삼은테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 정남산단로72-,절삭가공 및 유사처리업
13402,에이원플러스,데이터미집계,기타 제품 제조업,경기도 화성시 반월남길 104-30 (반월동),전시용 모형 제조업
13403,주식회사 드림랜드,데이터미집계,식료품 제조업,경기도 화성시 남양읍 남양로414번길 6,육류 포장육 및 냉동육 가공업 (가금류 제외)
13404,보현테크,031-311-8003,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 송산면 송산로152번길 4-18,그 외 기타 분류 안된 금속 가공 제품 제조업
13405,피케이（PK）테크,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 장안면 매바위로366번길 33-25,육상 금속 골조 구조재 제조업
13406,주식회사 에이치엠시스템(HM System Corp.)*,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 발안로 453-29,반도체 제조용 기계 제조업
13407,티솔루션 중부,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 노하길 479-19,주형 및 금형 제조업
