연번,회사명,공장대표주소,전화번호,생산품,데이터기준일자
1112,(주)티엔에프,경기도 광주시 오포안로 325-39,031-794-7661,편광판용 리딩필름,2026-01-30
1113,(주)티엘머티리얼,경기도 광주시 곤지암읍 열미길 80,031-765-9994,도배용풀,2026-01-30
1114,(주)티엠씨씨,경기도 광주시 초월읍 산수로682번길 4-45,02-459-0658,LED광고판+비전기식광고판,2026-01-30
1115,(주)티엠코리아,경기도 광주시 초월읍 산수로58번길 47,031-761-3821,건어포(먹태+오징어),2026-01-30
1116,(주)티타임,경기도 광주시 오포안로3번길 18,031-762-2700,원두커피,2026-01-30
1117,(주)티피에스,경기도 광주시 오포로 589-3,031-797-2011,변압기,2026-01-30
1118,(주)팀씨푸드,경기도 광주시 도척면 도척로699번길 30-8,031-762-5858,냉동수산물,2026-01-30
1119,(주)파나윈커버,경기도 광주시 도척면 도척로 376-5,,금속문+방충망,2026-01-30
1120,(주)파낙스코리아,경기도 광주시 옥토골길 53 (태전동),070-7796-8625,커피+액상음료등,2026-01-30
1121,(주)파머스,경기도 광주시 태전동 593-2번지 외 3필지 외 3필지,031-768-0216,지단,2026-01-30
1122,(주)파스컴,경기도 광주시 초월읍 경충대로 1333-32,031-733-1060,음향+영상+방송장비+CCTV,2026-01-30
1123,(주)팜파스,경기도 광주시 오포안로 325-45(추자동),031-768-4913,화장지+페이퍼타올+냅킨+,2026-01-30
1124,(주)팩토리오,경기도 광주시 옥토골길 84 (태전동),,아크릴광고물,2026-01-30
1125,(주)팩플러스,경기도 광주시 광남안로 85 (태전동) 외 5필지,031-762-1119,비닐봉투,2026-01-30
1126,(주)퍼니매스,경기도 광주시 곤지암읍 광여로 886,02-2214-0481,목재 테이블,2026-01-30
1127,(주)퍼센스,경기도 광주시 도척면 다람로57번길 125 (총 2 필지) 외 1필지,031-798-6193,가구+테이블+쇼파,2026-01-30
1128,(주)퍼즐,경기도 광주시 오포로498번길 12-3,031-765-8147,목재가구,2026-01-30
1129,(주)페텔라,경기도 광주시 곤지암읍 신만로 401,031-766-3545,식물성 유지 정제유(비식용),2026-01-30
1130,(주)페트라기업,"경기도 광주시 목동길36번길 11-12, 1층(목동)",1688-6109,칠판+게시판,2026-01-30
1131,(주)평우로지스,경기도 광주시 초월읍 산수로210번길 4-1 외 2필지,031-763-2946,의료용침대 구조물,2026-01-30
1132,(주)평화누리 제1공장,경기도 광주시 곤지암읍 새재길 87 (총 2 필지),031-768-2325,목관,2026-01-30
1133,(주)포디엄라이즈,경기도 광주시 매자리길27번길 4,031-762-9218,목재가구,2026-01-30
1134,(주)포이닉스,경기도 광주시 도척면 마도로 161,031-888-5530,미끄럼방지 포장재,2026-01-30
1135,(주)포인디자인,경기도 광주시 매자리길 196-27,031-579-4978,인테리어가구,2026-01-30
1136,(주)푸드공방,경기도 광주시 곤지암읍 경충대로101번길 43,031-793-4450,조미식품(소스),2026-01-30
1137,(주)푸드벅스,"경기도 광주시 염소골길 6, 1층 (목동) 외 1필지",031-768-6171,고등어구이+메로구이 등,2026-01-30
1138,(주)푸디노에프앤디,경기도 광주시 초월읍 무들로8번길 51-15,031-765-6482,닭염장제품+돼지염장제품+소스+김치볶음등,2026-01-30
1139,(주)푸름,"경기도 광주시 초월읍 경충대로 1305-43, 가동",031-699-6656,간판,2026-01-30
1140,(주)풀기획디자인,경기도 광주시 도척면 국사봉로 97-28 외 1필지,031-794-7843,음식점용목재가구+상점장치물,2026-01-30
1141,(주)풍산목재,경기도 광주시 오포로 770,031-767-5588,목재+판자,2026-01-30
1142,(주)풍성섬유,경기도 광주시 도척면 다람로36번길 19-16,031-762-6721,PP사,2026-01-30
1143,(주)퓨처하우징,경기도 광주시 초월읍 산수로 45-17,02-3472-2520,포장용지,2026-01-30
1144,(주)프로레이저,경기도 광주시 매자리길27번길 141-17,031-767-8233,판재레이저+파이프레이저,2026-01-30
1145,(주)프로클리마,경기도 광주시 곤지암읍 경충대로312번길 34 외 2필지,031-797-5473,목재패널+목재난간,2026-01-30
1146,(주)프리마,경기도 광주시 도척면 도척로 443-102 (총 2 필지),031-798-5545,책상,2026-01-30
1147,(주)프리테크엠아이,경기도 광주시 도척면 방등길 10,031-763-8178,컨트롤케이블,2026-01-30
1148,(주)피브이디,경기도 광주시 수레실길 101,031-701-7608,유기물승화정제기,2026-01-30
1149,(주)피스메이커,경기도 광주시 도척면 도척로774번길 2-5,031-761-7787,화이트보드지우개,2026-01-30
1150,(주)피에이치,경기도 광주시 광남안로 218-38 (목동),,간판,2026-01-30
1151,(주)피엠씨테크,경기도 광주시 봉골길 48-14,031-798-9015,압력측정기+누액검지기,2026-01-30
1152,(주)피이에스,경기도 광주시 초월읍 두월길 162-33,031-765-2071,공기조화장치,2026-01-30
1153,(주)필드글로벌,경기도 광주시 도척면 방등길31번길 34,031-264-7171,플라스틱압출제품(바닥재),2026-01-30
1154,(주)필리스,경기도 광주시 고불로279번길 9 (태전동),031-761-1202,LED조명,2026-01-30
1155,(주)하나로필림,경기도 광주시 도척면 도척윗로 728-15 (총 2 필지) 외 1필지,031-764-5676,비닐표면가공,2026-01-30
1156,(주)하나스텍,경기도 광주시 초월읍 산수로440번길 19,031-769-9287,연도,2026-01-30
1157,(주)하나엔지니어링,경기도 광주시 초월읍 용수길 188,031-762-0057,가로등주+식품가공기기,2026-01-30
1158,(주)하나케미칼,경기도 광주시 초월읍 용수길95번길 31,031-761-4800,단열재,2026-01-30
1159,(주)하늘,경기도 광주시 고불로 315-1 (직동),031-768-2537,쿠션,2026-01-30
1160,(주)하영에프엠,경기도 광주시 곤지암읍 신만로 322-22,031-797-1591,식품가공기계,2026-01-30
1161,(주)하이드로리튬,경기도 광주시 오포안로 46-10(문형동),031-766-4822,타이케이블+영구앵커+캠핑트레일러,2026-01-30
1162,(주)하이콘코리아,경기도 광주시 매자리길 23(매산동),042-562-8055,무기질바닥재,2026-01-30
1163,(주)하이파,경기도 광주시 곤지암읍 도척로 131-53 외 3필지,031-763-8272,잠수복 등,2026-01-30
1164,(주)하크,경기도 광주시 곤지암읍 독고개길 70,031-797-8522,산업용오븐+노 및 노용버너,2026-01-30
1165,(주)한강워터테크,경기도 광주시 옥토골길 84 (태전동),031-758-4411,분사기,2026-01-30
1166,(주)한국메스,경기도 광주시 양촌길 235,031-744-3880,육절기+수축기,2026-01-30
1167,(주)한국방재기술,경기도 광주시 도척면 옛진말길 6-1,02-2235-6515,제진장치,2026-01-30
1168,(주)한국신화,경기도 광주시 마루들길 46-22,031-766-2983,저장탱크+천연도료,2026-01-30
1169,(주)한국아트체인,경기도 광주시 곤지암읍 만삼로 67-21 외 3필지,02-597-3932,실크인쇄물+액자,2026-01-30
1170,(주)한국에이엔티,경기도 광주시 도척면 도척윗로 328-30,031-797-0485,철제의자+탁자,2026-01-30
1171,(주)한국윈텍,경기도 광주시 오포안로 206,031-765-7576,창호용품+블라인드,2026-01-30
1172,(주)한국커피,경기도 광주시 수레실길 144,031-717-0071,원두커피,2026-01-30
1173,(주)한국파고라,경기도 광주시 세피내길 51,031-765-0402,어닝+천막,2026-01-30
1174,(주)한기실업,경기도 광주시 초월읍 용수길 164-9,02-2177-8800,탈취기+환경설비,2026-01-30
1175,(주)한길시스템,경기도 광주시 광남안로 50-18 (태전동),031-768-9991,사무용 칸막이,2026-01-30
1176,(주)한누리피앤에프,"경기도 광주시 매자리길 73, 1,2,3,4동(매산동) 외 1필지",031-765-7534,골판지+박스등,2026-01-30
1177,(주)한라기계상사,경기도 광주시 포은대로 426-1,031-753-0985,전동롤러++농업용분무기+콘크리트 커터기,2026-01-30
1178,(주)한마음,경기도 광주시 초월읍 동막골길 194-24,031-797-3162,이불,2026-01-30
1179,(주)한마음에프앤씨,경기도 광주시 순암로 223-15(중대동),02-3152-5884,장례지원 생활용품 조립 포장+골판지 상자 및 가공제품 제조업+골판지 칸막이 제조,2026-01-30
1180,(주)한백산업,경기도 광주시 고산길 177,031-768-5485,패트병 등,2026-01-30
1181,(주)한산패널,경기도 광주시 도척면 마도로 140-27 외 5필지,0504-489-6285,판넬,2026-01-30
1182,(주)한샘스틸,경기도 광주시 곤지암읍 경충대로 13,031-797-4981,스틸하우스,2026-01-30
1183,(주)한서마이크론,경기도 광주시 초월읍 산수로682번길 39,031-798-5100,필름,2026-01-30
1184,(주)한서씨앤에프,경기도 광주시 초월읍 산수로682번길 39,031-798-6222,필름,2026-01-30
1185,(주)한선팩키지,경기도 광주시 봉골길81번길 11-18,031-766-2521,피자+치킨 박스(box),2026-01-30
1186,(주)한성넥스 경기광주지점,경기도 광주시 초월읍 산수로 468-9 1층 외 1필지,031-768-4970,목재사무용가구+침대매트리스+사무용가구+철재가구+주방가구 외,2026-01-30
1187,(주)한성분체기계,경기도 광주시 초월읍 무들로8번길 50-23 (총 3 필지) 외 2필지,031-767-7037,식품분쇄기,2026-01-30
1188,(주)한성실업,경기도 광주시 청석로 22,031-765-8100,지기류,2026-01-30
1189,(주)한성전자에이알엠,경기도 광주시 도척면 도척로 279,031-790-1651,LCD부라켓+거치대+하우징,2026-01-30
1190,(주)한성플랜,경기도 광주시 도척면 저수지길 90-32 외 1필지,031-798-7847,광고물,2026-01-30
1191,(주)한세스,경기도 광주시 도척면 다람로57번길 48 (총 2 필지) 외 1필지,02-497-8182,자동제어반+전기조정제어장치,2026-01-30
1192,(주)한솔이앤씨,경기도 광주시 초월읍 현산로361번길 6 (총 3 필지),031-764-0057,모르타르+스텐실+슈퍼콘셀,2026-01-30
1193,(주)한신식품,경기도 광주시 도척면 국사봉로133번길 29,031-763-5331,냉면+육수+소스+식혜+액상차+즉석떡볶기,2026-01-30
1194,(주)한양판넬,경기도 광주시 초월읍 산수로440번길 3-14,031-798-9220,판넬,2026-01-30
1195,(주)한연,경기도 광주시 곤지암읍 신만로58번길 47,031-763-2936,식품가공기계,2026-01-30
1196,(주)한연,경기도 광주시 곤지암읍 부항길 34,031-763-2938,금속 탱크+저장 용기,2026-01-30
1197,(주)한영전기,경기도 광주시 곤지암읍 열미길 99-135,031-766-4700,가로등주,2026-01-30
1198,(주)한영전기,경기도 광주시 고산길 23-10(고산동),031-766-4700,안정기+변압기+도로표지병 등,2026-01-30
1199,(주)한울상사,경기도 광주시 곤지암읍 광여로 504-21,031-764-8016,옥외광고물,2026-01-30
1200,(주)한울상사,경기도 광주시 초월읍 산수로210번길 6-3,070-4314-0502,간판,2026-01-30
1201,(주)한울코리아,경기도 광주시 광남안로 286-11 (목동),02-2203-3077,퍼걸러+휀스,2026-01-30
1202,(주)한일이엠씨,경기도 광주시 광남안로 50-13 (태전동),070-4032-3391,창호,2026-01-30
1203,(주)한일제과,경기도 광주시 곤지암읍 독고개길 156,031-762-3960,설탕과자,2026-01-30
1204,(주)한일제약,경기도 광주시 도척면 도척로584번길 29,031-798-7161,치약,2026-01-30
1205,(주)한일창호,경기도 광주시 포은대로 515-4,031-766-1955,PVC창뜰,2026-01-30
1206,(주)한일판금속,경기도 광주시 곤지암읍 백고개길 106-6,031-798-7358,덕트,2026-01-30
1207,(주)한일펠트,경기도 광주시 초월읍 산수로622번길 31 외 1필지,031-798-0083,부직포+펠트+쿠션+매트리스,2026-01-30
1208,(주)한일펠트,경기도 광주시 초월읍 산수로622번길 31,031-798-0083,부직포,2026-01-30
1209,(주)한주이노텍,경기도 광주시 오포로829번길 41,031-797-7056,조명기구,2026-01-30
1210,(주)한주이앤엘,경기도 광주시 오포로 285-23,031-765-2077,조명기구,2026-01-30
1211,(주)한주케이엠,경기도 광주시 초월읍 두월길 29 외 1필지,031-761-6264,식기세척기+배식대등,2026-01-30
1212,(주)한탑,경기도 광주시 도척면 도척로 662,031-766-7201,PVC창호제작,2026-01-30
1213,(주)해담은,경기도 광주시 도척면 도척로 376-9,,조미건오포,2026-01-30
1214,(주)해륙이엔지,경기도 광주시 곤지암읍 백고개길 130,031-731-2310,산업용 보일러+버너+부품등,2026-01-30
1215,(주)해마산업,경기도 광주시 곤지암읍 광여로 209 외 1필지,070-7019-2400,범퍼핸드레일+금속울타리,2026-01-30
1216,(주)해성공조,경기도 광주시 광남안로431번길 37-16 (직동),031-767-1442,닥트기구,2026-01-30
1217,(주)해성에이스,경기도 광주시 초월읍 산수로 704-9 (총 3 필지),031-763-9124,포장가방+수납함,2026-01-30
1218,(주)해성에이스,경기도 광주시 초월읍 산수로622번길 54,031-763-9124,포장가방+수납함,2026-01-30
1219,(주)해온,경기도 광주시 오포로829번길 10 외 1필지,031-798-6400,건축용자재 및 실내장식,2026-01-30
1220,(주)해왕산업,경기도 광주시 도척면 마도로 112-40,031-764-0207,비닐인쇄(그라비아),2026-01-30
1221,(주)해월,경기도 광주시 초월읍 두월길 22,031-763-2967,튜닝메탈판넬,2026-01-30
1222,(주)행성식품,경기도 광주시 도척면 유정리 63번지 외 1필지,031-761-1790,밀가루+곡물가루,2026-01-30
1223,(주)헤세드코리아,"경기도 광주시 경충대로 2191, A동 1층 (삼동)",031-796-4577,모자+의복류 등,2026-01-30
1224,(주)헤펙,경기도 광주시 초월읍 산수로645번길 12-13,02-488-1515,전기조명장치,2026-01-30
1225,(주)헬스메드,경기도 광주시 도척면 도척윗로 328-70,031-797-3852,공기정화살균기+살균탈취기+다기능산소공급시스템+살균수제조장치+기능성무릎보호대,2026-01-30
1226,(주)헬스원,경기도 광주시 도척면 도척로521번길 17,031-769-3339,마사지기,2026-01-30
1227,(주)헬프네이쳐,경기도 광주시 초월읍 두둘기길 42,031-8027-0335,친환경 생분해 봉투,2026-01-30
1228,(주)혁진,경기도 광주시 곤지암읍 신만로 484 외 1필지,031-767-5980,철재가구+금속주방용기 및 가구+나무가구등,2026-01-30
1229,(주)혁진,경기도 광주시 곤지암읍 부항길 203,031-767-5980,목재가구(라커룸+싱크대),2026-01-30
1230,(주)현대그린푸드,경기도 광주시 도척면 도척로 401-61 (총 2 필지) 외 1필지,031-370-1900,농+축+수산물가공품,2026-01-30
1231,(주)현대스마트솔루션,"경기도 광주시 도척면 방도길 49-49, 1호동",02-568-2775,인터랙티브 화이트보드,2026-01-30
1232,(주)현대시스텍,경기도 광주시 도척면 다람로40번길 9,02-543-9266,화장실 칸막이+벽패널+흡음용 천장재등,2026-01-30
1233,(주)현대싸인,경기도 광주시 회덕길68번길 19 (회덕동),031-928-4119,간판+광고물+구조물,2026-01-30
1234,(주)현대아트솔루션,경기도 광주시 신현로 107-6,02-516-2233,광고물,2026-01-30
1235,(주)현대의료기,"경기도 광주시 오포로 673-39, 나동(추자동)",031-767-8270,돌침대보료,2026-01-30
1236,(주)현대이앤시,"경기도 광주시 고불로 62-4 (중대동, 태영빌딩)",031-768-8989,LED조명,2026-01-30
1237,(주)현대이앤시,경기도 광주시 직동로 79 (직동),031-763-3757,LED등+투광기등,2026-01-30
1238,(주)현대지공,경기도 광주시 탄벌길 58 (탄벌동),031-768-4471,표지,2026-01-30
1239,(주)현대케미칼,경기도 광주시 초월읍 산수로 468-13,031-761-6541,포장재+목재몰딩,2026-01-30
1240,(주)현대큐비클,경기도 광주시 도척면 마도로 36,02-543-9222,침대+장식장,2026-01-30
1241,(주)현대프라스틱,경기도 광주시 도척면 도척로 478,031-766-4448,합성수지원사+가발모+치솔모,2026-01-30
1242,(주)현대화학,경기도 광주시 옥토골길 8(태전동),031-766-4648,방충망,2026-01-30
1243,(주)현우파워텍,경기도 광주시 매자리길 196-26,031-768-4537,수배전반,2026-01-30
1244,(주)형일전기,경기도 광주시 회안대로 105-4,031-765-9789,규소전기강판,2026-01-30
1245,(주)혜민공조이엔지,경기도 광주시 매자리길 120-16 (총 2 필지),031-765-5451,닥트,2026-01-30
1246,(주)혜성테크,경기도 광주시 고산길 162,031-766-6488,프라스틱사출,2026-01-30
1247,(주)혜성하이테크,경기도 광주시 곤지암읍 신대길 139-10 외 1필지,031-766-3661,믹서탱크+기계부품,2026-01-30
1248,(주)호산인테크,경기도 광주시 도척면 저수지길 108-9,031-769-0211,이동식화장실,2026-01-30
1249,(주)호승이앤씨,경기도 광주시 도척면 저수지길 108-11 외 3필지,063-287-4744,이동식화장실,2026-01-30
1250,(주)홈그린,경기도 광주시 도척면 다람로36번길 65-25,031-798-6804,목재문+목재가구,2026-01-30
1251,(주)홈디,"경기도 광주시 옥토골길 94, 가동 (태전동)",070-5118-3772,초배지,2026-01-30
1252,(주)홈테크,경기도 광주시 도척면 마도로 168,031-769-7602,제습제+세정제,2026-01-30
1253,(주)화신테크이엔지,경기도 광주시 광남안로 108 (목동),031-767-3265,금속가구+가스렌지등,2026-01-30
1254,(주)화원푸드시스템,경기도 광주시 도척면 마도로 170,031-769-4950,육류가공품,2026-01-30
1255,(주)화인스케이프,경기도 광주시 양촌길 232 (총 3 필지) 외 2필지,031-768-7920,어린이놀이시설,2026-01-30
1256,(주)화인실텍,경기도 광주시 곤지암읍 경충대로 784-84,031-797-3643,고압가스용기 묶음이동용 비기계식 카트(기구),2026-01-30
1257,(주)화진티엔아이,"경기도 광주시 태재로 126, 1층(능평동)",031-786-1600,원격자동제어장치+기상관측장치+기타,2026-01-30
1258,(주)화천이에스,경기도 광주시 초월읍 동막골길 150-42,070-8802-8449,씽크대상판(대리석),2026-01-30
1259,(주)후레쉬메이커,경기도 광주시 초월읍 용수길32번길 20-18,031-798-6388,산소흡수제,2026-01-30
1260,(주)훼미리아트,경기도 광주시 초월읍 선동길 40,031-767-9223,씽크대+목재가구,2026-01-30
1261,(주)휴먼앤헬스,경기도 광주시 회덕길68번길 14-30 (회덕동),031-763-4250,샤워기,2026-01-30
1262,(주)휴인텍,경기도 광주시 곤지암읍 경충대로493번길 9,031-766-9711,욕실천정재,2026-01-30
1263,(주)희성,"경기도 광주시 고불로211번길 7,  484-7 (태전동)",031-758-3548,구두제조,2026-01-30
1264,(주)희토세레스,경기도 광주시 초월읍 도곡안길 14-6,031-762-3453,희토세레스+이온피아-800,2026-01-30
1265,(주)히스텍,경기도 광주시 진토길 21 (목동),031-765-0719,열교환기,2026-01-30
1266,(주)힐링,경기도 광주시 초월읍 두둘기길 66-4 외 1필지,031-761-4541,현미녹차,2026-01-30
1267,B&C팩,경기도 광주시 초월읍 동막골길 217,031-762-6414,식품포장지,2026-01-30
1268,B&T,경기도 광주시 고불로229번길 33-10 (태전동),031-766-7222,염조제 및 염색약 용기,2026-01-30
1269,CM산업,경기도 광주시 오포로829번길 6 (추자동),,캠핑용 직물제품+차양+압축공기매트리스,2026-01-30
1270,E&P SYSTEM,경기도 광주시 양벌로 74-1,031-769-7601,UPS+자동전압조정기+주파수변환기,2026-01-30
1271,GX Chemical,경기도 광주시 곤지암읍 오향길34번길 46,031-765-0180,혼합윤활유,2026-01-30
1272,Hansung System,경기도 광주시 매자리길 80-12 (총 4 필지) 외 3필지,031-767-0005,방출등케이스+중계기수용함,2026-01-30
1273,K.M.B,경기도 광주시 도척면 마도로 112-18,031-766-7430,사무용가구,2026-01-30
1274,KM세탁기계,경기도 광주시 문형동림길 32-20,031-767-8490,세탁기+건조기+다림기,2026-01-30
1275,KOREA DISPLAY,경기도 광주시 초월읍 설월길36번길 4,031-763-0944,휴대폰부품(편광판가공품),2026-01-30
1276,KOSTEM,경기도 광주시 초월읍 무갑길23번길 51-18,031-791-4883,오븐기,2026-01-30
1277,RV Land(알브이랜드),경기도 광주시 도척면 국사봉로133번길 26-44,070-4226-8002,캠핑트레일러 및 특장차,2026-01-30
1278,SM섬유,경기도 광주시 초월읍 산수로210번길 21,031-762-6164,연사제조,2026-01-30
1279,SOPHIA가구,경기도 광주시 초월읍 용수길 177 외 1필지,031-798-6778,목재가구 등,2026-01-30
1280,TOP ENG,경기도 광주시 진토길 35-1 (목동),031-798-8255,책상등,2026-01-30
1281,TS미디어,경기도 광주시 초월읍 도평길 117-24 외 1필지,031-598-1855,스크린,2026-01-30
1282,imAD,경기도 광주시 목동길36번길 42-3 (목동),,광고물+조형물,2026-01-30
1283,가구세상,경기도 광주시 수렁개들길 46,031-765-9680,가구+씽크대,2026-01-30
1284,가향 국악기 연구원,경기도 광주시 초월읍 산수로226번길 111,031-766-7587,국악기,2026-01-30
1285,간목가구,경기도 광주시 초월읍 동막골길 140-27,031-765-5663,가구,2026-01-30
1286,간판대장간,"경기도 광주시 절골길 32-1, A동 일부(장지동)",031-763-4323,LED채널+갈바간판+시트지커팅+실사출력,2026-01-30
1287,거성가구,경기도 광주시 염소골길35번길 29 (목동),031-762-4335,식탁,2026-01-30
1288,거성산업,경기도 광주시 장지9길 42-11 (장지동),031-765-5274,주방용상판+민원대상판,2026-01-30
1289,건국전기,경기도 광주시 오포로520번길 23-16,031-768-6119,전기경보장치,2026-01-30
1290,건화산업(주),경기도 광주시 초월읍 경충대로 1376,031-766-1442,플라스틱용기,2026-01-30
1291,경도산업,경기도 광주시 도척면 국사봉로 5,031-763-1870,사무용가구,2026-01-30
1292,경보섬유,경기도 광주시 광남안로 241 (목동),031-764-0529,양말,2026-01-30
1293,경성산업,경기도 광주시 곤지암읍 새재길 243-126,031-764-5900,가로등주,2026-01-30
1294,경성산업,경기도 광주시 곤지암읍 광여로99번길 17,031-767-7738,강관호스,2026-01-30
1295,경성산업,경기도 광주시 곤지암읍 원지길 29,031-764-5900,가로등주,2026-01-30
1296,경일기계,경기도 광주시 진토길 35-17 (목동),031-765-2670,닥트부자재및기계,2026-01-30
1297,경일정밀,경기도 광주시 곤지암읍 독고개길 127-70,031-769-8251,변압기,2026-01-30
1298,경장산업,경기도 광주시 오포로 650-6,031-767-2808,사무용의자,2026-01-30
1299,경진전기(주),경기도 광주시 초월읍 동막골길 140-31 (총 2 필지),031-764-9321,수배전반,2026-01-30
1300,경창기계(주),경기도 광주시 초월읍 무들로 54,031-769-2079,식품기계+산업기계 등,2026-01-30
1301,고구려시스템(주),경기도 광주시 도척면 도척로 1166-17 외 1필지,070-4640-6142,방충망+방범창,2026-01-30
1302,고려농산,경기도 광주시 곤지암읍 광여로 476-34,031-797-8314,고추가루,2026-01-30
1303,고성디자인 E.N.G,경기도 광주시 광남안로431번길 54 (직동),031-765-7064,목재진열장,2026-01-30
1304,골드텍(주),경기도 광주시 초월읍 현산로 295-23,031-767-9505,배전반+전기자동제어반+태양광발전장치,2026-01-30
1305,골드필,경기도 광주시 초월읍 경충대로1284번길 75-14,031-767-6381,비닐봉투,2026-01-30
1306,골든필,경기도 광주시 초월읍 경충대로1284번길 75-14,031-767-6381,비닐봉투,2026-01-30
1307,곰살어묵,경기도 광주시 독산동길 11,031-763-5082,어묵,2026-01-30
1308,공간,경기도 광주시 초월읍 산수로210번길 24-3,031-768-2824,무대장치,2026-01-30
1309,공항프라스틱,경기도 광주시 초월읍 경수길 70,031-769-4458,플라스틱커버,2026-01-30
1310,광건티앤엠(주),경기도 광주시 순암로 156-9 (중대동) 외 3필지,031-762-8866,철물칸막이,2026-01-30
1311,광명산업,경기도 광주시 초월읍 산수로210번길 87-16 외 1필지,031-766-1309,합성수지,2026-01-30
1312,광명산업도장,경기도 광주시 염소골길35번길 35-1 (목동),031-768-9319,도장,2026-01-30
1313,광명시스템,경기도 광주시 파발로 103 (송정동),031-766-7731,수배전반+자동점멸기,2026-01-30
1314,광무침대,경기도 광주시 초월읍 두월길29번길 16,031-762-8543,침대,2026-01-30
1315,광성씨알티(주),경기도 광주시 도척면 도척로 694-35,031-769-6325,고무제품+롤 제작,2026-01-30
1316,광영방화문,경기도 광주시 초월읍 산수로 722-3,031-797-7070,방화문,2026-01-30
1317,광은섬유,경기도 광주시 광남안로 39-24 (태전동),031-797-3070,양말,2026-01-30
1318,광일스프레이,경기도 광주시 초월읍 무들로 252-54 외 1필지,031-767-0081,도장,2026-01-30
1319,광주간판,경기도 광주시 신현로 111-1,031-726-0515,간판조립+현수막+디스플레이,2026-01-30
1320,광주금속,경기도 광주시 순암로 196 (중대동),031-766-0536,금속가공품,2026-01-30
1321,광주낙우영농조합,경기도 광주시 도척면 마도로 112-19 (총 4 필지) 외 3필지,031-763-0131,혼합사료,2026-01-30
1322,광주오동공예사,경기도 광주시 곤지암읍 만삼로 9-12,031-798-2299,목재 상자,2026-01-30
1323,광주탁주합동제조장,경기도 광주시 남한산성면 해공로 36-22,031-761-2419,탁주,2026-01-30
1324,광주한우영농조합법인,경기도 광주시 도척면 마도로 112-36,031-763-8572,축산용 사료,2026-01-30
1325,광진화학,경기도 광주시 탄벌길37번길 12(탄벌동) 외 1필지,031-705-5163,성형사출품,2026-01-30
1326,광화정공,경기도 광주시 초월읍 용수길 31-36,031-767-0457,절삭가공및유사처리업,2026-01-30
1327,구정마루(주),경기도 광주시 도척면 마도로 178-13,031-766-0700,마루판,2026-01-30
1328,국일케빈,경기도 광주시 문형산길 217,031-718-2233,중장비 탑,2026-01-30
1329,국일피앤피(주),경기도 광주시 곤지암읍 광여로 419 외 9필지,031-762-0144,골판지상자,2026-01-30
1330,국제-썬플렉스,경기도 광주시 보뚱치길130번길 17,,블라인드,2026-01-30
1331,국제상공(주),경기도 광주시 목동길36번길 20 (목동),031-766-9854,단열재 화스너,2026-01-30
1332,국제시스템산업(주),경기도 광주시 곤지암읍 백고개길 212-8 외 2필지,031-790-1570,역무자동화장비,2026-01-30
1333,국제정밀산업,경기도 광주시 도척면 국사봉로 185-9,,육절기부품 등,2026-01-30
1334,국제포장,경기도 광주시 초월읍 산수로 170-12,031-763-8500,도무송(판지박스),2026-01-30
1335,굿시그널,경기도 광주시 진토길21번길 47-15 (목동) 1층,031-763-6070,간판,2026-01-30
1336,그랜드가구,경기도 광주시 초월읍 무들로8번길 83 외 2필지,031-766-7782,목재가구,2026-01-30
1337,그린씨앤텍(주),경기도 광주시 초월읍 하오개길 7-11 외 1필지,031-797-8474,그라비아 인쇄(비닐),2026-01-30
1338,그린씽크,경기도 광주시 초월읍 장담길 21-40,031-765-8957,주방용목재가구,2026-01-30
1339,그린테크코리아,경기도 광주시 도척면 국사봉로133번길 48,031-762-8051,음수대+차양,2026-01-30
1340,그린테크코리아(주),경기도 광주시 도척면 국사봉로133번길 50,031-762-8051,음수대+조례대+차양+이동통로+음식물처리기,2026-01-30
1341,그린텍스(주),경기도 광주시 곤지암읍 광여로 200-5,031-762-8891,가방지+파티션 벽포지+섬유벽지,2026-01-30
1342,그린펌프공업,경기도 광주시 광남안로 293 (목동),031-768-7963,펌프,2026-01-30
1343,극동그린생활,경기도 광주시 도척면 마도로 112-18,031-798-5211,세정제+액체비누+샴푸+섬유유연제,2026-01-30
1344,근영포장(주),경기도 광주시 곤지암읍 외선길 78-5,031-763-7743,골판지박스,2026-01-30
1345,근오계전(주),경기도 광주시 초월읍 지월로 94,031-763-8651,수배전반,2026-01-30
1346,글로벌하이텍전자(주),경기도 광주시 도척면 도척로 376-44,031-889-9970,LED조명장치,2026-01-30
1347,금강라벨(주),경기도 광주시 곤지암읍 광여로99번길 24 (총 2 필지) 외 1필지,031-763-7637,자수라벨,2026-01-30
1348,금강복층유리,경기도 광주시 회덕길 37 (회덕동) (총 3 필지) 외 2필지,031-768-6204,판유리가공품,2026-01-30
1349,금마스틸(주),경기도 광주시 초월읍 경충대로 1333-4,031-765-8061,펜스+가로등주,2026-01-30
1350,금보판금,경기도 광주시 매자리길 120-16,031-762-5593,철제케이스,2026-01-30
1351,금성셔터,경기도 광주시 봉골길134번길 1-32,031-769-8479,셔터,2026-01-30
1352,금아아이테크 주식회사,경기도 광주시 초월읍 용수길 87-1,031-766-5391,조명기기,2026-01-30
1353,금천피에스아이,경기도 광주시 도척면 마도로 252-61,031-798-9350,건축자재 하드웨어,2026-01-30
1354,기산전자 주식회사,"경기도 광주시 곤지암읍 광여로99번길 8, 2층",02-2204-7883,금융사무기기,2026-01-30
1355,기성중전기,경기도 광주시 오포안로3번길 17,031-765-2971,전력용회로기,2026-01-30
