회사명,설립구분명,용지면적,건축면적,종업원수,공장규모구분명,공장등록일,용도지역명,지목명,업종명,업종코드,생산품정보,대기오염등급,수질오염등급,소음진동여부,생활용수사용량(톤_일),산업용수사용량(톤_일),자기자본액(백만),타인자본액(백만),전화번호,팩스번호,소재지우편번호,소재지도로명주소,소재지지번주소,(WGS84)위도,(WGS84)경도
창덕전기,일반,1299,1205.9,18,소기업,2006-04-03,관리지역/관리지역기타,공장용지,배전반 및 전기 자동제어반 제조업,"28123, ",배전반,해당없음,해당없음,무,0,0,0,0,031-963-0492,031-963-4194,10259,경기도 고양시 일산동구 사리현로 169 (사리현동),경기도 고양시 일산동구 사리현동 506-10번지,37.6931206,126.8366336
케이씨 산전,일반,0,205.15,3,소기업,2021-11-01,도시지역/주거지역/준주거지역,공장용지,배전반 및 전기 자동제어반 제조업,"28123, ",동파방지컨트롤판넬,해당없음,해당없음,무,0,0,0,0,031-965-9972,031-965-9973,10550,"경기도 고양시 덕양구 삼원로 83, 광양프런티어밸리6차지식산업센터 417호,418호(원흥동)","경기도 고양시 덕양구 원흥동 706 광양프런티어밸리6차지식산업센터 417호,418호",37.63817785,126.8749787
케이엔지니어링,일반,0,52.3,3,소기업,2025-04-01,도시지역/주거지역/준주거지역/지구단위계획구역,대,배전반 및 전기 자동제어반 제조업,"28123, ",전동기제어반,,,무,0,0,100,,031-9691-1161,,10594,"경기도 고양시 덕양구 동축로 60, B1층 비101호  (동산동) B1층 비101호",경기도 고양시 덕양구 동산동 379 B1층 비101호 B1층 비101호,37.6477219,126.9079763
코스모전기(주),일반,1019,471.96,13,소기업,2003-02-26,관리지역/관리지역기타,공장용지,배전반 및 전기 자동제어반 제조업,"28123, ",,해당없음,해당없음,무,0,0,0,0,031-923-1190,031-923-1191,10212,경기도 고양시 일산서구 송산로515번길 55 (덕이동),경기도 고양시 일산서구 덕이동 942-1번지,37.69244056,126.7347846
(주)삼성티엔지,일반,0,399,34,소기업,2021-05-11,관리지역/계획관리지역,공장용지,방송장비 제조업 외 8 종,"26421, 26310, 26329, 26429, 26519, 27215, 28123, 28423, 28903","보안용 카메라, 영상감시장치, 차량번호판독기, 보행신호음성안내 보조장치, 전광판, 계장제어장치 등",해당없음,해당없음,무,0.07,0,450,0,031-932-8980,031-904-8981,10253,경기도 고양시 일산동구 장진천길 30-69 (설문동),경기도 고양시 일산동구 설문동 145-4,37.71166009,126.8144583
(주)지에스씨,일반,0,100.62,7,소기업,2012-08-27,도시지역/주거지역/제3종일반주거지역,대,방송장비 제조업 외 6 종,"26421, 26329, 26410, 26429, 26519, 26529, 28901","유선통신장비, 방송장비, 무선통신장비, 녹음및재생기기, 기타음향기기(스피커등), 출입통제시스템 등 ",해당없음,해당없음,무,0.03,0,150,0,031-925-6232,031-926-7560,10355,"경기도 고양시 일산동구 하늘마을로 170, 대방트리플라온 비지니스타워 A동 902호 (중산동)",경기도 고양시 일산동구 중산동 1681번지 대방트리플라온 비지니스타워 A동 902호,37.67917694,126.7782752
(사)장애인인권센터ICT사업단,일반,0,322.25,25,소기업,2024-07-23,도시지역/주거지역/준주거지역,대,방송장비 제조업 외 4 종,"26421, 28410, 28422, 28423, 33910",안내판,해당없음,해당없음,무,0,0,48,0,02-6123-4402,,10545,"경기도 고양시 덕양구 향동로 217, DMC플렉스 데시앙 F336,F337,F338,F346 (향동동)","경기도 고양시 덕양구 향동동 391 DMC플렉스 데시앙 F336,F337,F338,F346",37.60911055,126.8923754
한국이엠에스(주),일반,0,35.6,6,소기업,2006-03-07,관리지역/계획관리지역,대,방송장비 제조업 외 4 종,"26421, 26294, 26329, 26410, 26529","CCTV, 전자감지장치, 전자기 측정시험 및 분석기구, 컴퓨터 입출력 장치, DVR, 비상경보기",해당없음,해당없음,무,0,0,0,0,031-977-7555,031-977-7556,10250,"경기도 고양시 일산동구 고봉로 642, 2층 (성석동)",경기도 고양시일산동구 성석동 1079-4번지 2층호,37.71413957,126.7887373
금양산업,일반,0,273,13,소기업,2000-01-13,도시지역/주거지역/준주거지역,대,방송장비 제조업 외 3 종,"26421, 25111, 26329, 28901","CCTV,카드키,경보기",해당없음,해당없음,무,0,0,0,0,02-718-1386,031-905-1013,10442,"경기도 고양시 일산동구 일산로 142, 324호 (백석동)",경기도 고양시 일산동구 백석동 1141-2번지,37.64990508,126.7936807
(주)다남정보통신,일반,78,78,3,소기업,2013-08-16,도시지역/주거지역/제2종일반주거지역,대,방송장비 제조업 외 2 종,"26421, 26429, 26519","보안용카메라(CCTV), 보안용카메라(CCTV), 보안용카메라(CCTV)",해당없음,해당없음,무,0.01,0,20,0,031-919-0707,031-919-8899,10368,"경기도 고양시 일산서구 일산로 662 (대화동, 하나로프라자) 504호",경기도 고양시 일산서구 대화동 2033-0 504호,37.68301211,126.7558055
(주)동양시스컴,일반,143.04,143.04,10,소기업,2018-12-10,도시지역/상업지역/근린상업지역,대,방송장비 제조업 외 2 종,"26421, 26410, 26429","PCB, CASE, encoder modulator, combiner 등",해당없음,해당없음,무,0,0,0,0,031-979-6033,031-979-6034,10551,경기도 고양시 덕양구 도래울로 110 (도내동) 테마시티 601호,경기도 고양시 덕양구 도내동 966-0 테마시티 601호,37.63491083,126.87249
(주)에이와이테크놀로지,일반,0,114.84,7,소기업,2015-06-26,도시지역/주거지역/준주거지역,공장용지,방송장비 제조업 외 2 종,"26421, 26410, 28123","짐벌, cctv 제어용 컨트롤러, 게이트웨이",해당없음,해당없음,무,0,0,50,0,02-6351-2503,02-6351-2504,10594,"경기도 고양시 덕양구 통일로 140 (동산동, 삼송테크노밸리) 에이동 3층 347호",경기도 고양시 덕양구 동산동 376 에이동 3층 347호,37.64907029,126.9019009
(주)엔택,일반,0,105,8,소기업,2024-05-28,도시지역/주거지역/제1종일반주거지역,대,방송장비 제조업 외 2 종,"26421, 26310, 28903","보안용카메라, 보행신호음성안내보조장치, 바닥형보행신호등, 무인교통감시장치, 컴퓨터",해당없음,해당없음,무,0,0,279,364,070-4632-1545,031-904-8981,10550,"경기도 고양시 덕양구 삼원안길 46-16, 101호 (주)엔택 (원흥동)",경기도 고양시 덕양구 원흥동 743-1 101호 (주)엔택,37.63563272,126.8743427
주식회사  범산,일반,0,35,3,소기업,2013-10-22,도시지역/주거지역/제2종일반주거지역,대,방송장비 제조업 외 2 종,"26421, 26429, 26519",CCTV 카메라,해당없음,해당없음,무,0.01,0,20,0,031-921-8899,031-921-8891,10368,"경기도 고양시 일산서구 일산로 662 (대화동, 하나로프라자) 503-1호",경기도 고양시 일산서구 대화동 2033-0 503-1호,37.68301211,126.7558055
코디텍(주),일반,0,273,7,소기업,2007-05-29,도시지역/주거지역/준주거지역,대,방송장비 제조업 외 2 종,"26421, 28422, 31202","감시용카메라, 투광조명, 주차차단기",해당없음,해당없음,무,0,0,250,0,031-925-5800,031-902-3599,410360,"경기도 고양시 일산동구 일산로 142, 유니테크빌 1002호 (백석동)",경기도 고양시 일산동구 백석동 1141-2번지,37.64990508,126.7936807
하이퍼테크,일반,0,165,5,소기업,2014-12-08,관리지역/계획관리지역,잡종지,방송장비 제조업 외 2 종,"26421, 26410, 26529",cctv,해당없음,해당없음,무,0,0,0,0,031-969-9229,0505-333-9230,10263,경기도 고양시 덕양구 통일로1258번길 180 (내유동),경기도 고양시 덕양구 내유동 601-9,37.72734351,126.8528168
(주)두현,일반,0,273,18,소기업,2017-11-22,도시지역/주거지역/준주거지역,대,방송장비 제조업 외 1 종,"26421, 26429","영상감시장치, CCTV카메라",해당없음,해당없음,무,0,0,300,0,070-4863-6103,031-696-6486,10442,경기도 고양시 일산동구 일산로 142 (백석동) 4층 405호,경기도 고양시 일산동구 백석동 1141-2 4층 405호,37.64990508,126.7936807
(주)마이크로넷,일반,0,128.98,5,소기업,2012-11-23,도시지역/주거지역/준주거지역,대,방송장비 제조업 외 1 종,"26421, 26519","CCTV, 영상기기",해당없음,해당없음,무,0.2,0,0,0,,,10442,경기도 고양시 일산동구 백석동 1141-2 510호,경기도 고양시 일산동구 백석동 1141-2 510호,37.64990508,126.7936807
(주)하이패스텔,일반,0,98.21,4,소기업,2014-04-16,도시지역/주거지역/제2종일반주거지역,대,방송장비 제조업 외 1 종,"26421, 25113","영상감시장치, 마운트, 브라켓",해당없음,해당없음,무,0,0,100,0,031-976-1010,031-975-0005,10377,"경기도 고양시 일산서구 대산로 213 (대화동, 중앙프라자) 302호",경기도 고양시 일산서구 대화동 2143-1 302호,37.67812046,126.7547771
대현전자,일반,0,101.87,3,소기업,2015-11-25,도시지역/주거지역/제3종일반주거지역,대,방송장비 제조업 외 1 종,"26421, 26529",방송기기 및 음향기기,해당없음,해당없음,무,0,0,0,0,031-901-8166,031-901-8168,10355,경기도 고양시 일산동구 하늘마을로 170 (중산동) 에이동 3층 303호,경기도 고양시 일산동구 중산동 1681-0 에이동 3층 303호,37.67917694,126.7782752
이룸유비쿼터스(주),창업,0,36.55,9,소기업,2025-06-05,도시지역/주거지역/준주거지역/지구단위계획구역,대,방송장비 제조업 외 1 종,"26421, 26410","영상감시장치, 통합배선반",,,무,0,0,,,02-384-0005,02-3152-6361,10550,"경기도 고양시 덕양구 삼원로 51, 4층 412호  (원흥동) 4층 412호",경기도 고양시 덕양구 원흥동 702 4층 412호 4층 412호,37.64113816,126.8757247
주식회사 쓰리에스정보통신,창업,125.767,125.767,10,소기업,2025-09-11,도시지역/주거지역/준주거지역/지구단위계획구역,대,방송장비 제조업 외 1 종,"26421, 28901","CCTV(카메라), 경보기 제조",,,무,0,0,150,,02-356-5634,02-356-5632,10546,"경기도 고양시 덕양구 향기로 182,  (향동동) T동 7층 706,707호","경기도 고양시 덕양구 향동동 410 T동 7층 706,707호",37.60583666,126.897251
주식회사 영화이엔씨,일반,0,195,10,소기업,2017-11-14,관리지역/계획관리지역,공장용지,방송장비 제조업 외 1 종,"26421, 26429","CCTV, 영상감시장치",해당없음,해당없음,무,0,0,450,0,031-914-8123,031-914-9547,10212,경기도 고양시 일산서구 송포백송길 9 (덕이동) 2동,경기도 고양시 일산서구 덕이동 858-5 2동,37.69342839,126.7397992
(사)아름다움나눔협회 동행사업단,일반,0,35.28,4,소기업,2025-05-20,도시지역/주거지역/준주거지역/지구단위계획구역,대,방송장비 제조업,"26421, ", CCTV용 카메라 제조,,,무,0,0,3,0,070-8887-8659,070-8887-8658,10545,"경기도 고양시 덕양구 향동로 218,  (향동동) c동 15층 1513호",경기도 고양시 덕양구 향동동 396 c동 15층 1513호,37.60821834,126.8941501
(주)세우엔지니어링,일반,0,107.35,20,소기업,2018-08-21,도시지역/상업지역/일반상업지역,대,방송장비 제조업,"26421, ",CCTV,해당없음,해당없음,무,0,0,500,0,02-2271-1241,050-5115-1267,10285,경기도 고양시 덕양구 통일로 760 (관산동) 2층 206호,경기도 고양시 덕양구 관산동 178-52 2층 206호,37.68784753,126.8660671
(주)휴먼앤드,일반,131.6,131.6,4,소기업,2013-07-11,도시지역/주거지역/제1종일반주거지역,공장용지,방송장비 제조업,"26421, ",영상감시 장치,해당없음,해당없음,무,0,0,150,0,031-966-5114,031-965-7114,412010,경기도 고양시 덕양구 주교동 594,경기도 고양시 덕양구 주교동 594,37.65906075,126.8304631
에스엠씨앤에스,일반,96.28,96,6,소기업,2024-06-05,도시지역/주거지역/준주거지역,대,방송장비 제조업,"26421, ",감시용 카메라,해당없음,해당없음,무,0,0,452,0,070-8285-6547,070-8621-6547,412040,경기도 고양시 덕양구 삼원로 73 3층 301호,경기도 고양시 덕양구 원흥동 705번지 3층 301호,37.63913423,126.8751634
주식회사 씨엔테크,일반,80.85,80.85,7,소기업,2023-10-26,도시지역/주거지역/준주거지역,대,방송장비 제조업,"26421, ", CCTV 카메라,해당없음,해당없음,무,0,0,0,0,02-3159-1452,02-3158-1452,412180,경기도 고양시 덕양구 향동로 201 (향동동) 12층 1255호,경기도 고양시 덕양구 향동동 394 12층 1255호,37.60741278,126.8917434
포에스미디어(주),일반,0,209.62,9,소기업,2021-10-18,도시지역/공업지역/준공업지역,공장용지,방송장비 제조업,"26421, ","구내방송장비, 비디오스위쳐",해당없음,해당없음,무,0,0,0,0,031-977-9070,031-976-9070,10550,경기도 고양시 덕양구 삼원로 83 B층 108호,경기도 고양시 덕양구 원흥동 706번지 B층 108호,37.63817785,126.8749787
(주)동문,일반,0,571.83,10,소기업,2015-05-06,도시지역/주거지역/준주거지역,대,방사선 장치 제조업 외 2 종,"27111, 27199, 27219",진단용 엑스선 장치,해당없음,해당없음,무,0,0,0,0,031-907-7222,031-904-2232,10442,"경기도 고양시 일산동구 일산로 142 (백석동, 유니테크빌) 5층 508,509호","경기도 고양시 일산동구 백석동 1141-2 5층 508,509호",37.64990508,126.7936807
(주)레이케어,일반,0,198,8,소기업,2015-06-04,관리지역/계획관리지역,공장용지,방사선 장치 제조업,"27111, ",방사선장치제조업(진단용엑스선장치),해당없음,해당없음,무,0,0,100,,031-921-9890,031-921-9892,10208,"경기도 고양시 일산서구 덕산로 196-40, 1동 (가좌동)",경기도 고양시 일산서구 가좌동 129-6번지 1동,37.69334052,126.7235462
해동메디칼,일반,0,189,3,소기업,1999-11-03,관리지역/관리지역기타,대,방사선 장치 제조업,"27111, ",적외선치료기,해당없음,해당없음,무,0,0,0,0,031-966-5400,031-966-5422,10325,경기도 고양시 일산동구 위시티로 47 (식사동),경기도 고양시 일산동구 식사동 662-5번지,37.67648992,126.809713
(주)대한전광,일반,2334,2280.71,20,소기업,2001-02-14,관리지역/계획관리지역,잡종지,발광 다이오드 제조업 외 4 종,"26121, 26129, 28423, 28903, 33910",전광판,해당없음,해당없음,무,0.5,0,0,0,031-905-9341,031-905-9344,10432,경기도 고양시 일산동구 장대길 42-80 (장항동),경기도 고양시 일산동구 장항동 596-3번지,37.63927755,126.7742296
(주)하농,일반,0,90,9,소기업,2016-02-04,도시지역/녹지지역/자연녹지지역,학교용지,반려동물용 사료 제조업 외 2 종,"10901, 10902, 10903",사료첨가제,해당없음,해당없음,무,0,0,0,0,02-3158-2611,02-2605-4900,10540,"경기도 고양시 덕양구 항공대학로 76, 중소벤처육성지원센터 206호, 207호, 211호 (화전동, 한국항공대학교)","경기도 고양시 덕양구 화전동 666번지 한국항공대학교 중소벤처육성지원센터 206호, 207호, 211호",37.5990112,126.8641708
(주)베스트칩,일반,0,198.59,5,소기업,2020-05-21,관리지역/계획관리지역,잡종지,반려동물용 사료 제조업 외 1 종,"10901, 10902",배합사료,해당없음,해당없음,무,0.05,0,0,0,02-6409-3100,02-6409-3110,10316,경기도 고양시 일산동구 견달산로194번길 42 (식사동),경기도 고양시 일산동구 식사동 187-1,37.68448068,126.8230216
고양축산업협동조합,일반,4758,2972.99,5,소기업,2022-02-10,농업진흥구역,공장용지,반려동물용 사료 제조업 외 1 종,"10901, 10903",가축용(소)단미사료,해당없음,해당없음,무,20,1,7000,0,031-960-3051,031-968-9566,10313,경기도 고양시 일산동구 문봉동 견달산로 403,경기도 고양시 일산동구 문봉동 157-12,37.70121728,126.8228581
비와이컴퍼니,일반,0,76,1,소기업,2020-11-16,도시지역/녹지지역/자연녹지지역,학교용지,반려동물용 사료 제조업 외 1 종,"10901, 10903",사료 첨가제,해당없음,해당없음,무,0.01,0,0,0,02-3158-2611,02-2605-4900,10540,경기도 고양시 덕양구 항공대학로 76 (화전동) 한국항공대학교 중소벤처육성지원센터 109호,경기도 고양시 덕양구 현천동 244-1 한국항공대학교 중소벤처육성지원센터 109호,37.5990112,126.8641708
주식회사 네이처메모리,일반,33.19,33.19,2,소기업,2025-04-10,도시지역/주거지역/제2종일반주거지역,전,반려동물용 사료 제조업 외 1 종,"10901, 10903","단미사료, 단미사료",,,무,0,0,33,,,,10326,"경기도 고양시 일산동구 동국로 32, 동국대학교 산학협력관 322호 (식사동)",경기도 고양시 일산동구 식사동 814-9 동국대학교 산학협력관 322호,37.67729918,126.8078457
주식회사 바비스팩토리,일반,2998,1184.8,39,소기업,2022-01-28,관리지역/계획관리지역,공장용지,반려동물용 사료 제조업 외 1 종,"10901, 10902",반려동물 사료,해당없음,해당없음,무,0.5,2,50,0,,031-964-4720,10262,"경기도 고양시 덕양구 통일로 1161-59, a동,b동,c동,d동,f동,g동 (내유동)","경기도 고양시 덕양구 내유동 406-5 a동,b동,c동,d동,f동,g동",37.71666977,126.8458977
(주)청호테크,일반,0,176.36,4,소기업,2018-06-27,도시지역/주거지역/준주거지역,대,"물질 검사, 측정 및 분석기구 제조업 외 2 종","27213, 27215, 28123","프로세스 제어반, 계측 제어반, 수질 측정기기",해당없음,해당없음,무,0,0,200,0,031-907-6127,031-907-6128,10442,"경기도 고양시 일산동구 일산로 138 (백석동, 일산테크노타운) 공장동 5층 502-2호",경기도 고양시 일산동구 백석동 1141-1 공장동 5층 502-2호,37.65011136,126.7950164
(주)트러스트 엔지니어링,일반,1328,524,14,소기업,2014-04-14,관리지역/계획관리지역,공장용지,"물질 검사, 측정 및 분석기구 제조업 외 2 종","27213, 29172, 29173","항온항습기, 시험장치등",해당없음,해당없음,무,0,0,0,0,031-969-0522,031-969-0524,10315,경기도 고양시 일산동구 사리현로 17 (식사동),경기도 고양시 일산동구 식사동 250-1,37.6892425,126.8219462
서학테크,일반,0,92.16,2,소기업,2008-08-04,도시지역/상업지역/일반상업지역,대,"물질 검사, 측정 및 분석기구 제조업 외 2 종","27213, 29172, 29173","열량계, 항온항습기",해당없음,해당없음,무,0,0,0,0,031-973-4827,031-973-4829,10495,"경기도 고양시 덕양구 중앙로558번길 7-4, 비전프라자 504호 (행신동)",경기도 고양시 덕양구 행신동 945-3번지,37.6242448,126.835671
원테크,일반,198,198,1,소기업,2012-12-27,관리지역/계획관리지역,잡종지,"물질 검사, 측정 및 분석기구 제조업 외 2 종","27213, 29172, 29173",건조기,해당없음,해당없음,무,1,0,30,0,031-912-8821,031-912-8820,10208,"경기도 고양시 일산서구 가좌로50번길 23-4, 나동 (가좌동)",경기도 고양시 일산서구 가좌동 493-3번지 나동,37.6935345,126.7215252
주식회사 다인이엔씨,일반,0,527.1,20,소기업,2022-11-08,도시지역/주거지역/준주거지역/지구단위계획구역,대,"물질 검사, 측정 및 분석기구 제조업 외 2 종","27213, 27211, 27219","경사계(수평면과 비교하여 수평을 검사하거나 또는 면의 경사를 측정하는 것) , 측정용 기기 제조, 게이지(조정 가능 측정장치를 갖는것) 제조",해당없음,해당없음,무,0.02,0,0,0,031-902-8915,070-7610-9812,10442,"경기도 고양시 일산동구 일산로 142,(백석동, 유니테크빌벤처타운) 1동 5층 526호 외 1필지",경기도 고양시 일산동구 백석동 1141-2 유니테크빌벤처타운 1동 5층 526호 외 1필지,37.64990508,126.7936807
(주)동서라인텍,일반,0,236.52,8,소기업,2015-04-10,도시지역/주거지역/준주거지역,대,"물질 검사, 측정 및 분석기구 제조업 외 1 종","27213, 27215","실시간 자동농도 분석 장치, 다채널 시료 변환기",해당없음,해당없음,무,0,0,50,0,02-2219-4700,02-2219-4705,10594,"경기도 고양시 덕양구 통일로 140, 2층 A-243 (동산동, 삼송테크노밸리)",경기도 고양시 덕양구 동산동 376번지 삼송테크노밸리 2층 A-243,37.64907029,126.9019009
(주)이노사이언스,일반,0,65.25,4,소기업,2024-03-06,도시지역/주거지역/준주거지역/지구단위계획구역,대,"물질 검사, 측정 및 분석기구 제조업 외 1 종","27213, 27309","광학실험장비, 풍동실험장치",해당없음,해당없음,무,0,0,50,0,031-969-3125,031-969-3127,10545,"경기도 고양시 덕양구 향동로 194, (향동동) 1동 5층 501호",경기도 고양시 덕양구 향동동 427 1동 5층 501호,37.60646452,126.8931333
(주)고려에이스과학,일반,0,153.99,5,소기업,2015-03-05,도시지역/주거지역/준주거지역,대,"물질 검사, 측정 및 분석기구 제조업","27213, ",데시게이터,해당없음,해당없음,무,0,0,0,0,02-396-2391,02-396-2390,10594,"경기도 고양시 덕양구 통일로 140, 3층 A-354 (동산동, 삼송테크노밸리)",경기도 고양시 덕양구 동산동 376번지 삼송테크노밸리 3층 A-354,37.64907029,126.9019009
(주)엠솔,일반,0,174.21,3,소기업,2019-01-09,도시지역/주거지역/준주거지역/지구단위계획구역,대,"물질 검사, 측정 및 분석기구 제조업","27213, ",기상장비(멀티포인트 레이저 적설계),해당없음,해당없음,무,0,0,5,0,070-8638-0490,02-6455-1487,410360,"경기도 고양시 일산동구 일산로 138 (백석동, 일산테크노타운) 공장동 4층 403-6호",경기도 고양시 일산동구 백석동  1141-1번지 공장동 4층 403-6호,37.65011136,126.7950164
국제싸이엔,일반,1204,396,2,소기업,2019-03-15,관리지역/계획관리지역,공장용지,"물질 검사, 측정 및 분석기구 제조업","27213, ",이화학실험기기,해당없음,해당없음,무,15,0,100,0,031-975-1290,031-975-1297,10313,경기도 고양시 일산동구 성현로268번길 115 -12(성석동),경기도 고양시 일산동구 성석동 37-30,37.70071657,126.8157502
온스캔스 주식회사,일반,0,36.54,2,소기업,2023-02-09,도시지역/주거지역/준주거지역,대,"물질 검사, 측정 및 분석기구 제조업","27213, ",다차원(3차원) 측정기,해당없음,해당없음,무,0,0,100,0,031-923-6621,050-4057-7157,412180,경기도 고양시 덕양구 향동로 218  (향동동) 비동 8층 862호,경기도 고양시 덕양구 향동동 396 비동 8층 862호,37.60821834,126.8941501
주식회사 가연테크,일반,59.842,59.842,2,소기업,2025-02-06,도시지역/주거지역/준주거지역/지구단위계획구역,대,"물질 검사, 측정 및 분석기구 제조업","27213, ",경사계제조(레일변위측정기),해당없음,해당없음,무,0,0,300,0,02-3143-3850,02-3143-3714,412150,"경기도 고양시 덕양구 삼막3길 5(오금동, 고양삼송 한강듀클래스) 2층 208호",경기도 고양시 덕양구 오금동 686 고양삼송 한강듀클래스 2층 208호,37.66765968,126.9207554
주식회사 디에이시스템,일반,0,362.9,9,소기업,2015-08-10,관리지역/계획관리지역,공장용지,"물질 검사, 측정 및 분석기구 제조업","27213, ",금속검출기,해당없음,해당없음,무,0,0,0,0,031-977-6831,031-977-6832,10251,"경기도 고양시 일산동구 고봉로702번길 30 (설문동) 가, 나동","경기도 고양시 일산동구 설문동 740-2 가, 나동",37.71897043,126.7902002
SM,일반,1571,198,6,소기업,2001-12-17,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업 외 3 종,"17901, 18111, 18113, 18119",종이봉투,해당없음,해당없음,무,0,0,0,0,031-969-5842,031-963-0204,10260,경기도 고양시 일산동구 공릉천로 109-62 (사리현동),경기도 고양시일산동구 사리현동 262-11번지,37.70325166,126.8431115
대한민국고엽제전우회,일반,0,195.8,4,소기업,2020-10-16,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업 외 3 종,"17901, 18111, 18113, 18119","문구용 종이제품 제조, 경 인쇄, 오프셋 인쇄, 기타 인쇄",해당없음,해당없음,무,0.02,0,0,0,02-2679-7357,02-2679-7386,10432,경기도 고양시 일산동구 장항로 203-38 (장항동) A동,경기도 고양시 일산동구 장항동 601-5 A동,37.6386927,126.774394
희망노트사,일반,1622,736.5,9,소기업,2004-10-15,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업 외 3 종,"17901, 18111, 18113, 18122","노트, 다이어리",해당없음,해당없음,무,0,0,0,0,031-904-7169,031-902-5542,10432,경기도 고양시 일산동구 장항로 203-155 (장항동),경기도 고양시 일산동구 장항동 606-9번지,37.63688741,126.7754316
(사)한국장애인소비자연합 인쇄사업단,일반,1639,687.94,15,소기업,2017-08-23,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업 외 2 종,"17901, 18111, 18113","복사용지,프린트인쇄물,오프셋인쇄",해당없음,해당없음,무,0.72,0,400,0,070-7728-7785,031-967-7780,10261,경기도 고양시 일산동구 공릉천로 102 -1(사리현동),경기도 고양시 일산동구 사리현동 240-11,37.70228963,126.8467841
삼민산업(주),일반,1320,141.3,9,소기업,2005-06-24,관리지역/계획관리지역,대,문구용 종이제품 제조업 외 2 종,"17901, 22291, 22292","앨범,문구용테이프",해당없음,해당없음,무,0,0,0,0,031-964-2111,031-964-2112,10260,경기도 고양시 일산동구 공릉천로175번길 93-99 (사리현동),경기도 고양시 일산동구 사리현동 294-31번지,37.70154321,126.8406083
유앤미직업재활원,일반,0,465,14,소기업,2018-04-06,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업 외 2 종,"17901, 17223, 17909","종이컵, 복사용지, 신문용지 등",해당없음,해당없음,무,0,0.02,0,0,031-965-1104,031-965-1105,10431,경기도 고양시 일산동구 장대길 84 (장항동) 1층 일부 및 2층,경기도 고양시 일산동구 장항동 580-7 1층 일부 및 2층,37.63828968,126.767518
(주)성심커버링,일반,2718,2108.74,35,소기업,2014-08-12,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업 외 1 종,"17901, 17909","바인더, 지함 등",해당없음,해당없음,무,0.1,0,4420,247,031-969-4078,031-969-4075,10257,경기도 고양시 일산동구 문원길 61 (설문동),경기도 고양시 일산동구 설문동 153-1,37.71274205,126.8191907
늘푸른직업재활원,일반,0,327.6,39,소기업,2023-07-26,관리지역/계획관리지역,잡종지,문구용 종이제품 제조업 외 1 종,"17901, 26323","복사용지,감열지,재생토너",해당없음,해당없음,무,0,0,0,0,031-912-4988,031-963-4872,10265,경기도 고양시 덕양구 고골길 100-15 (관산동),경기도 고양시 덕양구 관산동 591번지,37.71264884,126.863825
동산용사촌,일반,0,397.5,4,소기업,2019-03-26,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업 외 1 종,"17901, 13229","복사용지, 국기",해당없음,해당없음,무,0,0,968,0,02-387-3938,031-977-6975,10253,"경기도 고양시 일산동구 장진천길82번길 37, 2동 (설문동)",경기도 고양시 일산동구 설문동 233-1 2동,37.71553161,126.8121988
(주)대흥사,일반,1401,642,29,소기업,2007-06-11,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업,"17901, ","책표지,바인더",해당없음,해당없음,유,0,0,0,0,031-925-6547,031-925-3255,10208,경기도 고양시 일산서구 가좌로50번길 11-47 (가좌동),경기도 고양시 일산서구 가좌동  453-5번지,37.69245775,126.7195288
(주)성일다이어리,일반,0,1525.18,7,소기업,2024-06-10,관리지역/계획관리지역,공장용지,문구용 종이제품 제조업,"17901, ","다이어리, 캘린더",해당없음,해당없음,무,0,0,50,0,031-902-7410,031-901-7410,10432,경기도 고양시 일산동구 노첨길56번길 63-6 (장항동),경기도 고양시 일산동구 장항동 623-55,37.6349058,126.7800636
광신사,일반,1323,636,8,소기업,2004-11-08,관리지역/관리지역기타,공장용지,문구용 종이제품 제조업,"17901, ","노트,문구,포장지",해당없음,해당없음,무,0,0,0,0,031-919-2721,031-919-2723,10426,경기도 고양시 일산서구 멱절길124번길 6-29 (대화동),경기도 고양시 일산서구 대화동 1926-45번지,37.6575508,126.7320591
근영사,일반,0,295,11,소기업,2006-05-19,도시지역/녹지지역/자연녹지지역,대,문구용 종이제품 제조업,"17901, ","다이어리,노트",해당없음,해당없음,무,0,0,0,0,031-969-0087,031-969-0097,10267,경기도 고양시 덕양구 보광로 173 (벽제동),경기도 고양시 덕양구 벽제동 554-1번지,37.7302473,126.9097824
대광문화사,일반,0,198,8,소기업,2000-12-05,관리지역/관리지역기타,공장용지,문구용 종이제품 제조업,"17901, ",종이봉투,해당없음,해당없음,무,0,0,0,0,031-906-0861,,10428,경기도 고양시 일산동구 장항로225번길 206 (장항동),경기도 고양시 일산동구 장항동 546-14번지,37.64262423,126.7630435
대성문화,일반,1658,451.73,10,소기업,2023-03-21,관리지역/계획관리지역,대,문구용 종이제품 제조업,"17901, ",양장책표지,해당없음,해당없음,무,0,0,300,100,031-922-3235,031-922-3236,10208,경기도 고양시 일산서구 가좌로50번길 11-18(가좌동),경기도 고양시 일산서구 가좌동 489-4,37.69353414,126.7201074
