회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
디씨블라인드,"경기도 의왕시 이미로 40, D동 1층 115호 (포일동)",경기도 의왕시 포일동 653번지 D동 1층 115호,커튼 및 유사제품 제조업,070-4141-3579,031-600-0459,3,"커튼 및 블라인드, 롤스크린","원단, 알루미늄 부속, 블라인드 원단"
디아스포라,"경기도 의왕시 계원대학로 14, 202호(내손동, 계원프라자)",경기도 의왕시 내손동 748-2 계원프라자 202호,도시락류 제조업,031-423-2272,,1,"밀키트, 소스류",가공식품
디엠코리아(주),경기도 의왕시 철도박물관로 18-11 (삼동),경기도 의왕시 삼동 436-31번지,잡지 및 정기간행물 발행업,031-466-1000,031-446-0114,17,신문,
디엠코리아(주),경기도 의왕시 오봉산단3로 46(삼동),경기도 의왕시 삼동 722,잡지 및 정기간행물 발행업,031-466-1000,031-446-0114,22,신문,"신문용지, 잉크"
디자인플러스,"경기도 의왕시 안양판교로 219, 1층 102호 (청계동, 청계로얄프라자)",경기도 의왕시 청계동 991-3번지 청계로얄프라자 1층 102호,간판 및 광고물 제조업 외 1 종,031-422-9235,,1,"간판, 실사현수막, 시트컷팅, LED",
디투유이앤씨 주식회사,"경기도 의왕시 광진말로 54, 의왕스마트시티 퀀텀 C동 812, 813, 830, 831, 832호 (초평동)","경기도 의왕시 초평동 16-6 의왕스마트시티 퀀텀 C동 812, 813, 830, 831, 832호",유선 통신장비 제조업 외 1 종,,,33,화재 수신기,회로 기판 및 사출물
디투유텍 주식회사,"경기도 의왕시 광진말로 54, 의왕스마트시티 퀀텀 C동 833, 834호 (초평동)","경기도 의왕시 초평동 16-6 의왕스마트시티 퀀텀 C동 833, 834호",유선 통신장비 제조업 외 1 종,,,2,화재 수신기,회로 기판 및 사출물
라벨플러스,경기도 의왕시 안골다리길 7-8 (고천동),경기도 의왕시 고천동 253-14번지,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,031-427-5495,031-427-5408,32,"라벨, 테이프","필름, 3M 양면 테이프 등"
라이트 컬러렉스,"경기도 의왕시 이미로 40, D동 7층 10-3호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 D동 7층 10-3호,일반용 전기 조명장치 제조업,02-596-5747,02-596-5749,1,LED 조명등기구,LED
래피드컴(주),"경기도 의왕시 고천공업로 50 (고천동, 래피트컴)",경기도 의왕시 고천동 330번지,기타 무선 통신장비 제조업,031-458-3759,031-458-3746,23,"유무선통신장비기구(VDSL,DMB등)",
렉스템,"경기도 의왕시 이미로 40, D동 6층 608호 (포일동)",경기도 의왕시 포일동 653번지 D동 6층 608호,공기 조화장치 제조업,02-6746-3424,02-6499-3426,2,"전열교환기, 욕실휀","철판, ABS, 휀모타, PCB"
로마토스 주식회사,"경기도 의왕시 오봉산단3로 25, 1동 924호 (삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 924호,방송장비 제조업,,,1,방송장비,"카메라, 렌즈, 케이블"
루아코리아,"경기도 의왕시 오봉산단1로 12, 12층 1218호 (이동)",경기도 의왕시 이동 732 12층 1218호,그 외 기타 봉제의복 제조업,,,2,의복 및 액세서리,원단
메인트란스(주),"경기도 의왕시 광진말로 54, C동 4층 420호  (초평동)",경기도 의왕시 초평동 16-6 C동 4층 420호,액정 표시장치 제조업 외 1 종,02-2656-0800,02-2656-0808,40,"객실행선안내표시기, 철도차량 방송용 표시기","PCB, LCD패널, 전선, 전기부품"
명래산업,경기도 의왕시 벌새전리길 42 (고천동),경기도 의왕시 고천동 388번지,포장용 플라스틱 성형용기 제조업,031-453-1520,031-456-0955,22,"화장품 용기, pet,pe,pp용기",pet
명성전자산업,"경기도 의왕시 옻우물길 45-1 (오전동, 명성전자)",경기도 의왕시 오전동 133-2번지,인쇄회로기판용 적층판 제조업 외 2 종,031-458-0874,031-458-0825,10,인쇄회로기판,적층판
모방상사,경기도 의왕시 까치골1길 11 (삼동),경기도 의왕시 삼동 175-2번지,셔츠 및 블라우스 제조업 외 4 종,031-462-3834,031-462-3834,20,기성복,원단
모젠 주식회사,경기도 의왕시 이미로 40 (포일동) 인덕원IT밸리 A동 9층 926호,경기도 의왕시 포일동 653 인덕원IT밸리,전동기 및 발전기 제조업,031-8084-3681,031-622-9429,4,전동기 및 산업용 로봇,코일
문&폴딩,"경기도 의왕시 잿말길 4, 제1동(월암동) (월암동)",경기도 의왕시 월암동 626-6번지 제1동(월암동),"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",031-462-8084,031-461-8084,7,중문제조,
미래원(주),경기도 의왕시 중간새우대길 23 (초평동),경기도 의왕시 초평동 410-1번지,그 외 기타 달리 분류되지 않은 제품 제조업 외 2 종,031-461-0988,031-461-1866,15,아이스젤,
미성ENG,경기도 의왕시 한밭들2길 14 (고천동),경기도 의왕시 고천동 332-52번지,그 외 기타 특수목적용 기계 제조업 외 1 종,031-347-1335,070-4716-3792,6,기계장치 및 설비,철강 및 AL
미스틱,"경기도 의왕시 오봉산단1로 12, 1124호  (이동)",경기도 의왕시 이동 732 1124호,기타 가정용 전기기기 제조업,031-461-0805,,1,제니플라 플라즈마,"PCB, 세라믹"
미찌코리아,경기도 의왕시 오전공업길 42-13 (고천동) 외 1필지,경기도 의왕시 고천동 392-4번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,031-453-3307,031-453-3022,9,"돈까스, 불고기",
민성,"경기도 의왕시 이미로 40, D동 8층 810-2 (포일동)",경기도 의왕시 포일동 653번지 D동 8층 810-2,그 외 기타 특수목적용 기계 제조업,031-8084-3391,031-8084-3391,2,전기전자장비 제조 및 기구설계,
민테크,"경기도 의왕시 옻우물길 33, 1층 (오전동, 대호빌딩)",경기도 의왕시 오전동 190-1번지 대호빌딩 1층,주형 및 금형 제조업,031-429-7751,,1,금속제품,
바다식품,경기도 의왕시 징계골길 69 (이동),경기도 의왕시 이동 663-1번지,기타 수산동물 가공 및 저장 처리업,031-461-0889,,1,어육반제품,
바이온,"경기도 의왕시 오전공업길 13, A동 8층 804 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 A동 A동 8층 804,의료용품 및 기타 의약 관련제품 제조업,031-477-0336,031-477-0336,4,진단용 시약,
바이크코리아,"경기도 의왕시 이미로 40, A동 2층 201, 202 (포일동)","경기도 의왕시 포일동 653번지 A동 2층 201, 202",자전거 및 환자용 차량 제조업 외 2 종,031-8084-3014,031-8084-3016,2,전기자전거 및 배터리팩 조립 제조 및 생,
바커스틱 코리아,"경기도 의왕시 이미로 40, A동 408호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 A동 408호,그 외 기타 가구 제조업 외 2 종,031-689-5008,0303-3440-0369,3,"인테리어 어쿠스틱패널, 가구","목재, 패브릭, 어쿠스틱"
바콘테크,경기도 의왕시 경수대로 209 (고천동) 의왕월드비젼 705-1호,경기도 의왕시 고천동 234-6 의왕월드비젼,유선 통신장비 제조업,031-477-0408,050-4061-8275,4,통신장비,"PCB, IC, 광케이블"
반도계전(주),"경기도 의왕시 이미로 40, D동 2층 209 (포일동)",경기도 의왕시 포일동 653번지 D동 2층 209,철도차량 부품 및 관련 장치물 제조업 외 1 종,031-473-0033,031-473-0036,3,철도차량 부품 및 관련 장치물 제조업,"Panel외함(외주), PLC, Cable등 전기자재"
베스트센서,"경기도 의왕시 오봉산단3로 25, 315호 (삼동)",경기도 의왕시 삼동 745 315호,전자저항기 제조업,031-387-1823,031-383-9789,2,온도센서,"철, 구리, 서스, 니켈, PVC"
보림산업사,"경기도 의왕시 오봉산단1로 12, 6층 3호(이동)",경기도 의왕시 이동 732 6층 3호,금속 스프링 제조업,,,5,"bellows, chip cover","neoprene sheet, 비닐"
복스코리아,"경기도 의왕시 오봉산단3로 25, 401호(삼동)",경기도 의왕시 삼동 745 401호,기타 신발 제조업,070-8232-0855,070-4133-0866,2,신발 및 기능성깔창,Synthetic leather
부광하이텍(주),"경기도 의왕시 고산로 9 (고천동, 나동)",경기도 의왕시 고천동 317-9번지,포장용 플라스틱 성형용기 제조업,031-456-3911,031-456-3355,29,산업용 플라스틱운반용기,플라스틱
부원방전,"경기도 의왕시 맑은내길 87, A동 (오전동)",경기도 의왕시 오전동 136-1번지 A동,주형 및 금형 제조업,031-455-4278,,1,금형,
블랑앤랩스,"경기도 의왕시 오봉산단3로 25, 1동 1411호(삼동)",경기도 의왕시 삼동 745 1동 1411호,기타 가정용 전기기기 제조업,,,2,가정용 전기기기 제조,플라스틱 조립
블루엔씨,경기도 의왕시 한밭들길 13 (고천동),경기도 의왕시 고천동 404번지,주형 및 금형 제조업,031-452-8886,031-601-3032,10,금형부품,"스틸소재(kP4M, NAK80 등)"
블루윈테크,경기도 의왕시 맑은내길 34-5 (오전동),경기도 의왕시 오전동 884번지,기체 여과기 제조업,031-427-1113,031-427-0215,7,"집진기, 산업용청소기",
블루텍,"경기도 의왕시 오전공업길 22, 5층 501 (오전동, 동영벤처스텔)",경기도 의왕시 오전동 172번지 동영벤처스텔 5층 501,그 외 기타 전자부품 제조업 외 1 종,031-477-7768,031-477-7769,28,"전자부품(디스플레이용 광학필름, 테이프류 형상가공","광학필름, 각종 기능성 접착테이프"
빅솔(BICSOL),"경기도 의왕시 오봉산단3로 25, 1동 12층 12222호(삼동)",경기도 의왕시 삼동 745 1동 12층 12222호,고무패킹류 제조업,,,0,고무패킹,고무
사단법인 나너우리,"경기도 의왕시 이미로 40 (포일동) 인덕원IT밸리 B동 1004호, 1005호",경기도 의왕시 포일동 653-0 인덕원IT밸리,부직포 및 펠트 제조업,031-8010-1081,031-8010-1081,19,마스크,"부직포, AD필터"
사단법인 나너우리,"경기도 의왕시 이미로 40, A동 2층 213 (포일동) A동 2층 213호 외 1필지",경기도 의왕시 포일동 653번지 A동 2층 213 A동 2층 213호,컴퓨터 제조업 외 1 종,031-424-2111,031-8010-1081,11,데스크톱 컴퓨터,케이블
사회복지법인 무지개동산 포이에마장애인보호작업장,"경기도 의왕시 이미로 40, 비동 2층 204, 205 (포일동)","경기도 의왕시 포일동 653번지 비동 2층 204, 205",컴퓨터 제조업,031-8084-3380,031-8084-3382,18,개인용PC제조,"CPU, 메인보드, 하드디스크, ODD, 파워, 케이스, 메모리"
산본유통 설아아이스크림,"경기도 의왕시 월암길 72, 산본유통 설아아이스크림 (월암동)",경기도 의왕시 월암동 298-1 산본유통 설아아이스크림,기타 구조용 금속제품 제조업,,,2,철제선반,파인스토어
삼양섬유,"경기도 의왕시 벌새전리길 48 (고천동, 삼양섬유(주))",경기도 의왕시 고천동 387-5번지,"직물, 편조원단 및 의복류 염색 가공업",031-459-0035,031-458-2007,2,"랏셀,자수,염가공",임가공
삼어스코 주식회사,"경기도 의왕시 이미로 40, C동 B1층 B109 (포일동)",경기도 의왕시 포일동 653번지 C동 B1층 B109,"전기회로 개폐, 보호장치 제조업",031-347-3802,031-347-3811,9,단상모터 기동용 전자식 스위치,단상모터 기동용 전자식 스위치
삼영이노텍(주),"경기도 의왕시 오전공업길 13, 11층 5호 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 11층 5호,일반용 전기 조명장치 제조업 외 12 종,031-477-3033,031-429-3079,6,"조명기구, 전기온수기",
삼원전자,"경기도 의왕시 오전공업길 13, 11층 2호 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 11층 2호,그 외 기타 전자부품 제조업 외 2 종,031-451-6606,031-451-6607,6,DMB안테나,
삼익정공특수강,"경기도 의왕시 오전공업길 53 (고천동, 광양특수강)",경기도 의왕시 고천동 395-3번지,그 외 기타 1차 철강 제조업 외 1 종,031-427-7256,031-457-9411,12,금형,철
삼천리자전거(주),"경기도 의왕시 고래들길 57 (오전동, (주)삼천리자전거)",경기도 의왕시 오전동 150-10번지,자전거 및 환자용 차량 제조업,031-460-3014,031-427-1969,48,자전거,
상승 주식회사,"경기도 의왕시 오봉산단1로 12, 9층 924호 (이동)",경기도 의왕시 이동 732 9층 924호,배전반 및 전기 자동제어반 제조업,031-342-5837,031-342-5839,6,배전반,"차단기, 철함"
서림계전,경기도 의왕시 포일동 551-2번지,경기도 의왕시 포일동 551-2번지,기기용 자동측정 및 제어장치 제조업,031-421-2728,031-421-2718,18,수배전반,
서비코시스템테크놀로지,"경기도 의왕시 오전공업길 13, B1층 B119-3 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 A동 B1층 B119-3,그 외 기타 의료용 기기 제조업,,,3,의료용카메라,
석산전자(주),"경기도 의왕시 오전공업길 22, 동영벤처스텔 201호 (오전동)",경기도 의왕시 오전동 172번지 동영벤처스텔 201호,그 외 기타 전자부품 제조업 외 17 종,031-458-1525,031-458-1524,3,"Harness Ass'y, Cable Ass'y, 조명장치","Harness Ass'y, Cable Ass'y, 강판, 전선, 케이블, 전자부품"
석현정공사,"경기도 의왕시 고래들길 27 (오전동, 석현정공)",경기도 의왕시 오전동 124번지,주형 및 금형 제조업,031-458-2174,031-458-2175,5,금형,금속
석현테크,경기도 의왕시 고래들길 27 (오전동),경기도 의왕시 오전동 124번지,주형 및 금형 제조업,031-458-2174,031-458-2175,3,금형,
선영화학(주),"경기도 의왕시 맑은내길 81-11 (오전동, 선영그라비아(주))",경기도 의왕시 오전동 132-4번지,"사진기, 영사기 및 관련 장비 제조업 ",031-452-3758,031-456-3757,40,영사장비,
선영화학(주) 제2공장,"경기도 의왕시 오전공업길 13, 13층 1호 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 13층 1호,제판 및 조판업,031-427-3500,031-427-3501,15,프린트롤,
선우전자,"경기도 의왕시 한밭들1길 11, 성우아파트형공장 A동 101호 (고천동)",경기도 의왕시 고천동 332-33 번지 성우아파트형공장 A동 101호,전자부품 실장기판 제조업,031-453-2597,,3,"블랙박스,SMPS",
선일공업사,경기도 의왕시 오봉산단3로 42 (삼동),경기도 의왕시 삼동 726-0,운송장비 조립용 플라스틱제품 제조업 외 1 종,031-427-2741,031-427-2749,26,"body. case, knob","abs, pc"
선창어패럴,"경기도 의왕시 오봉산단1로 12, 1동 9층 1호(이동)",경기도 의왕시 이동 732 1동 9층 1호,섬유제품 기타 정리 및 마무리 가공업,,,1,의류,원단
성광정밀,"경기도 의왕시 경수대로391번길 14-6, 1층 (오전동)",경기도 의왕시 오전동 38-12번지 1층,금속 절삭기계 제조업,031-477-8767,031-477-8768,3,자동화 기계 부품,
성문(SM)애드컴,"경기도 의왕시 오봉산단3로 25, 421호 (삼동)",경기도 의왕시 삼동 745 421호,경 인쇄업,031-461-6677,,1,"인쇄, 제본, 현수막, 간판, 기프트","지류, 천"
성신금속 상사,"경기도 의왕시 맑은내길 38 (오전동, 천일특수)",경기도 의왕시 오전동 880번지 천일특수,"기타 비철금속 제련, 정련 및 합금 제조업",031-455-9066,031-457-3570,3,"금,은,백금,파라듐",
성영전자(주),"경기도 의왕시 이미로 40, C동 B1층 B105~B108 (포일동)",경기도 의왕시 포일동 653번지 C동 B1층 B105~B108,배전반 및 전기 자동제어반 제조업 외 3 종,031-422-0580,031-421-5320,28,"온도조절기, 통신기기",
성원종합기계(주),"경기도 의왕시 고래들길 43-10, c동 (오전동)",경기도 의왕시 오전동 143번지,그 외 기타 특수목적용 기계 제조업 외 1 종,031-452-7735,031-452-7756,21,lcd장비,
성진전자,"경기도 의왕시 고래들길 15, A동 3층(오전동)",경기도 의왕시 오전동 38-3 A동 3층,정형외과용 및 신체보정용 기기 제조업 외 1 종,070-8726-8114,031-429-8114,3,"자동차 블랙박스, VGA/HD 후방카메라","IC, PCB, 사출"
성창산업,경기도 의왕시 윗새우대길 29 (초평동),경기도 의왕시 초평동 213번지,"동 압연, 압출 및 연신제품 제조업 외 2 종",031-461-2236,031-461-2246,2,금속구조물제작,
세심광전자기술(주),"경기도 의왕시 오전공업길 13, 9층 3호 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 192-3번지 ,"물질 검사, 측정 및 분석기구 제조업",031-427-3341,031-427-3342,5,광계측기기,
세종 프로토,"경기도 의왕시 이미로 40, D동 B1층 101 (포일동)",경기도 의왕시 포일동 653번지 D동 B1층 101,운송장비 조립용 플라스틱제품 제조업 외 2 종,070-4200-8454,031-454-8454,6,산업 모형,"플라스틱, 알미늄, 신쥬"
소닉스코리아(주),"경기도 의왕시 철도박물관로 12 (삼동, 테크소닉)",경기도 의왕시 삼동 428-25번지,주형 및 금형 제조업 외 6 종,031-462-2501,031-462-2504,20,초음파융착기,
소비텍(주),"경기도 의왕시 오전공업길 19, 7층 706 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 7층 706,"전자기 측정, 시험 및 분석기구 제조업 외 2 종",031-466-4001,031-624-3325,5,"소음, 진동측정기기","Resister, Capacitor 소자, Assembly Parts"
소프트하모니,"경기도 의왕시 경수대로 257, 10층 1006 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 10층 1006,기타 무선 통신장비 제조업 외 11 종,031-450-6656,031-450-6657,4,"스마트음성유도기, 스마트음성 수신기","반도체, 플라스틱 사출물"
송원디자인,경기도 의왕시 오봉산단3로 25 (삼동) 319호,경기도 의왕시 삼동 745-0,자수제품 및 자수용재료 제조업,,031-429-0152,5,"편직, 임가공","원단, 자수사, 공업용 자수기, 재봉자수기"
수녕이네누룽지,"경기도 의왕시 오봉산단1로 12, 8층 833호 (이동) 외 1필지",경기도 의왕시 이동 732 8층 833호,기타 곡물 가공품 제조업,031-8085-2790,,2,누룽지,현미
수신테크,"경기도 의왕시 한밭들2길 14, 1층 (고천동)",경기도 의왕시 고천동 332-52번지 1층,그 외 기타 일반목적용 기계 제조업,070-4060-1227,070-4325-1218,2,자동화장비 및 측정장비 제조,"steel, AL, 실린더"
스페이스핏,"경기도 의왕시 오봉산단1로 12, 8층 814호 (이동)",경기도 의왕시 이동 732 8층 814호,그 외 기타 전기장비 제조업,031-8085-2791,,1,"전기 트랙, 젠더, 텐션 패브릭","알미늄 프로파일, 플라스틱 프로파일, 전기 구리선"
승진기업,경기도 의왕시 맑은내길 80 (오전동),경기도 의왕시 오전동 184-6,구조용 금속 판제품 및 공작물 제조업,031-451-2331,031-456-0871,8,닥트기구,"철판,AL"
시스콘 코리아,"경기도 의왕시 이미로 40, D동 B1층 B106 (포일동)",경기도 의왕시 포일동 653번지 D동 B1층 B106,컨베이어장치 제조업 외 1 종,031-8084-3210,031-342-8885,3,,
시엔디컨버전스주식회사,"경기도 의왕시 이미로 40, B동 7층 708 (포일동)",경기도 의왕시 포일동 653번지 B동 7층 708,기타 무선 통신장비 제조업 외 1 종,031-689-5997,031-689-5998,3,무선통신부품 외,
신광전자,"경기도 의왕시 한밭들1길 11, A동동 4층 401-3호(고천동, 성우벤처빌)",경기도 의왕시 고천동 332-33 성우벤처빌 A동동 4층 401-3호,전자부품 실장기판 제조업,,,5,"전자부품, 누전 차단기",코일 칩부품
신광정보통신(주),"경기도 의왕시 성고개로 53, A동 6층 608~613 (포일동)",경기도 의왕시 포일동 657-2번지 A동 6층 608~613,유선 통신장비 제조업 외 2 종,031-456-3882,031-456-3884,42,광점퍼코드,"광코드, 페롤, 컨넥터"
신기산업,"경기도 의왕시 맑은내1길 45, 1층 (고천동)",경기도 의왕시 고천동 439-61번지,철도차량 부품 및 관련 장치물 제조업,031-477-0307,031-477-0310,5,철도차량부품,
신성산업,"경기도 의왕시 옻우물길 41 (오전동, 신성산업)",경기도 의왕시 오전동  134번지,"탭, 밸브 및 유사장치 제조업",031-459-0511,031-629-5099,8,"가스노즐, 전자부품","가스노즐, 전자부품"
신용특수,"경기도 의왕시 오전공업길 13, B층 220호 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5 번지 B층 220호,"기타 비철금속 압연, 압출 및 연신 제품 제조업",031-458-0811,031-458-0815,3,동파이프,
신일 HI-TECH,"경기도 의왕시 한밭들2길 8, 2층 (고천동)",경기도 의왕시 고천동 332-54번지,플라스틱 접착처리 제품 제조업 외 1 종,031-451-0335,031-451-0338,18,전자 및 자동차부품 후가공제품,도료 및 알미늄
신일몰드(주),"경기도 의왕시 한밭들2길 8 (고천동, 신일MOLD(주))",경기도 의왕시 고천동 332-54번지,주형 및 금형 제조업,031-451-0335,031-451-0338,8,금형,
신정금형정공사,경기도 의왕시 한밭들1길 16 (고천동),경기도 의왕시 고천동 332-40번지,주형 및 금형 제조업,031-455-8860,031-455-8863,15,금형,
신춘 주식회사,경기도 의왕시 오봉산단1로 50-3 (이동),경기도 의왕시 이동 739,주형 및 금형 제조업,031-451-7001,031-451-7003,53,주형 및 금형,DAC
신한테크,경기도 의왕시 맑은내길 58 (오전동),경기도 의왕시 오전동 169번지,주형 및 금형 제조업,031-454-0474,,3,디아캐스팅 금형코어 지그,
신화인터내쇼날(주),"경기도 의왕시 오봉산단1로 64, 1(이동)",경기도 의왕시 이동 736 1,절연 코드세트 및 기타 도체 제조업,031-462-5560,031-462-5565,22,전기절연물 절단 및 가공업,"다이아몬드지, 프레스보드"
신화정밀,경기도 의왕시 맑은내길 81-5 (오전동),경기도 의왕시 오전동 137-6번지,주형 및 금형 제조업 외 1 종,031-453-8589,031-455-8587,11,"금형, 플라스틱 캡","듀라늄, 합성수지"
쌍용레미콘(주) 의왕사업소,"경기도 의왕시 경수대로 307 (고천동, 쌍용양회공업주식회사)",경기도 의왕시 고천동 346-1번지,레미콘 제조업,031-429-6011,031-455-6267,19,레미콘,"시멘트,모래,자갈"
써니,"경기도 의왕시 오봉산단1로 12, 9층 33호(이동)",경기도 의왕시 이동 732 9층 33호,그 외 기타 분류 안된 섬유제품 제조업,,,1,스카프 및 기타 섬유제품,"패브릭, 부직포"
써니테크,"경기도 의왕시 경수대로 209, 6층 605 (고천동, 의왕월드비젼) 외 4필지",경기도 의왕시 고천동 234-6번지,주방용 전기기기 제조업,031-348-0775,031-348-0776,21,전기렌지,"세라믹글라스, 하이라이트 발열체"
썬테크노(주),경기도 의왕시 이미로 40 (포일동) 비동 6층 6호,경기도 의왕시 포일동 653-0 비동 6층 6호,안경 및 안경렌즈 제조업 외 1 종,031-8084-3150,031-8084-3151,1,3D가공생산,
씨앤디서플라이,"경기도 의왕시 이미로 40, C동 B1층 B116 (포일동) 외 1필지",경기도 의왕시 포일동 653번지 C동 B1층 B116,공기 조화장치 제조업,031-8084-3220,031-8084-3230,5,전자식 데시케이터,
씨엑스솔루션 주식회사,"경기도 의왕시 오봉산단1로 12, 12층 1214호 (이동) 외 2필지",경기도 의왕시 이동 732 12층 1214호,배전반 및 전기 자동제어반 제조업,031-8085-2871,,16,배전반,전자 부품
씨엑스솔루션(주),"경기도 의왕시 오봉산단1로 12, 4층 411호 (이동)",경기도 의왕시 이동 732 4층 411호,배전반 및 전기 자동제어반 제조업,031-8085-2871,,0,전기용 기계장비,"마그네트, 차단기"
아름다운참숯,"경기도 의왕시 오봉산단3로 25, 1동 5층 521호(삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 5층 521호,수동식 식품 가공기기 및 금속 주방용기 제조업,,,1,식품용 집게,스테인레스
아메스산업(주),"경기도 의왕시 한밭들1길 19(고천동, 씬시어빌딩)",경기도 의왕시 고천동 332-34 씬시어빌딩,반도체 제조용 기계 제조업,031-349-0005,031-349-0006,88,"반도체장비, 자동화장비, pba, 제어시스템, 물류장비","기구제작물, 반도체ic류"
아이지에스 시스템,"경기도 의왕시 오전공업길 19, 6층 612 (오전동, 대현테크노월드)",경기도 의왕시 오전동 172-4번지 대현테크노월드 6층 612,교통 신호장치 제조업,031-477-2580,031-477-2581,7,"교통통제용 전기장치, 전자부품",LED
아이탑스오토모티브(주),"경기도 의왕시 철도박물관로 37, 16동, 37동, 39동, 62동, 75동, 76동 (삼동)","경기도 의왕시 삼동 460-26번지 16동, 37동, 39동, 62동, 75동, 76동",그 외 자동차용 신품 부품 제조업 외 3 종,031-689-5407,031-689-5415,26,자동차 부품(액티브후드리프트 시스템),콘택트 센스
아이티비즈,"경기도 의왕시 오봉산단3로 25, 305호 (삼동)",경기도 의왕시 삼동 745 305호,그 외 기타 전자부품 제조업 외 1 종,ARS-2466-1875,,0,"신호등, 전자교탁","PCB, LED"
아주상사,"경기도 의왕시 경수대로 257, 3층 305 (고천동, 대영골든밸리), 306 외 1필지",경기도 의왕시 고천동 290-2번지,기타 가죽제품 제조업,031-423-2427,031-421-2425,4,패션밸트,가죽
아티장발효커피,"경기도 의왕시 오봉산단1로 12, B2층 B213호 (이동)",경기도 의왕시 이동 732 B2층 B213호,커피 가공업,,0504-227-9525,2,원두,커피 생두
안성금형,경기도 의왕시 맑은내1길 35 (고천동),경기도 의왕시 고천동 332-36번지,주형 및 금형 제조업,031-455-3715,031-455-3714,5,주형 및 금형,
알레CO,경기도 의왕시 까치골1길 11 (삼동),경기도 의왕시 삼동 175-2번지,기타 인쇄업 외 1 종,031-462-3230,,4,"화장품병 인쇄, 조립포장 인쇄",
알앤디솔루션,경기도 의왕시 오전공업길 13 (오전동) 벽산선영테크노피아 제에이동 304호,경기도 의왕시 오전동 196-5 벽산선영테크노피아,전자부품 실장기판 제조업,070-8234-9993,031-696-5191,7,전자기판(PCB 표면실장),"PCB, 전자부품"
야녹스텍,"경기도 의왕시 맑은내길 94 (오전동, 큰사랑교회)",경기도 의왕시 오전동 188번지,시계 및 시계부품 제조업,031-456-2272,031-459-3893,16,"벽,탁상시계",
에스디인터내셔널,"경기도 의왕시 한밭들1길 11, B동 202호(고천동, 성우벤처빌)",경기도 의왕시 고천동 332-33 성우벤처빌 B동 202호,기기용 자동측정 및 제어장치 제조업,070-4140-9337,031-454-9338,2,"로봇신뢰성시험장치, Werable Iot Device 개발 및 제조","CPU, PCB, 알루미늄"
에스아이씨,"경기도 의왕시 오봉산단1로 12, 7층 719호 (이동)",경기도 의왕시 이동 732 7층 719호,배전반 및 전기 자동제어반 제조업,070-8806-0258,,0,자동제어판넬,"PLC, 인버터"
에스트랜스포트(주),"경기도 의왕시 광진말로 54, 의왕스마트시티 퀀텀 (초평동) C동 10층 1005호",경기도 의왕시 초평동 16-6 의왕스마트시티 퀀텀,컴퓨터 제조업 외 3 종,02-6951-1167,02-6951-1168,2,"산업용 컴퓨터(특수목적 컴퓨터), 전자연동장치, 계전기 시험장치","PCB, 케이블, 랙, 반도체 소자, 전자부품류"
에스티엠,"경기도 의왕시 오봉산단3로 25, 1동 320호 (삼동)",경기도 의왕시 삼동 745 1동 320호,그 외 기타 전자부품 제조업 외 1 종,,031-459-0406,8,"그 외 기타 전자부품 제조, 	전자감지장치 제조","LED, PCB콘덴서"
에스피테크(S.P Tech),경기도 의왕시 오봉산단3로 25 (삼동) 1308호,경기도 의왕시 삼동 745-0,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",070-4171-0843,0504-388-9181,3,"테이프카공, 전자부품, 소모품","테이프, pet, pe"
에어파워코리아(주),"경기도 의왕시 이미로 40, A동 9층 922 (포일동)",경기도 의왕시 포일동 653번지 A동 9층 922,배전반 및 전기 자동제어반 제조업,031-417-2888,031-417-2886,3,컨트롤러,"반도체, 기판 등"
에이스코어(주),경기도 의왕시 오봉산단3로 50 (삼동),경기도 의왕시 삼동 720-0,주형 및 금형 제조업,070-4163-2075,031-427-0470,5,Core임가공,ABS
