순번,단지명,회사명,지식산업센터명,공장대표주소(도로명),공장대표주소(지번),업종명,설립구분,종업원수,생산품,주원자재,공장크기,용지면적,건축면적,팩스번호
4173,시화멀티테크노밸리,(주)더이노코리아,,"경기도 시흥시 시화호수로 310-33, (MTV 3사1206호)(정왕동)",경기도 시흥시 정왕동 2824-5 (MTV 3사1206호),전기ㆍ전자공학 연구개발업,국가산업단지,5,자동차베터충전기연구개발 ,자동차베터충전기연구개발 ,소기업,0,825.25,031-365-5738
4174,시화국가산업단지,(주)유영테크,,"경기도 시흥시 옥구천서로237번길 39, 1나 702-1 (정왕동)","경기도 시흥시 옥구천서로237번길 39, 1나 702-1 (정왕동)",기타 플라스틱 발포 성형제품 제조업,국가산업단지,3,"젖병부품, 휴대폰 부품 사출",,소기업,0,306.4,031-365-5608
4175,,(주)테크윈,제네스트,"경기도 시흥시 은계남길 40, 401호(은행동)",경기도 시흥시 은행동 671 401호,절삭가공 및 유사처리업 외 3 종,일반,7,"금속가공제품, 전자부품, 의료, 정밀, 광학기기 등","stainless steel, titanium",소기업,397,397,031-365-5602
4176,시화국가산업단지,케이엠레이저,,"경기도 시흥시 공단2대로190번길 30, 2바 605 (정왕동)",경기도 시흥시 정왕동 2176-5번지 2바 605,절삭가공 및 유사처리업,국가산업단지,12,기계설비부품,,소기업,1886.1,879.61,031-365-5541
4177,시화국가산업단지,(유)이디에스코리아,,"경기도 시흥시 옥구천동로44번길 22, 2바 107호 (정왕동)",경기도 시흥시 정왕동 2171-6번지 2바 107호,반도체 제조용 기계 제조업,국가산업단지,34,반도체부품,"알루미늄관, 케이블류",소기업,0,1464.29,031-365-5539
4178,시화국가산업단지,(유)이디에스코리아,,"경기도 시흥시 군자천로185번길 74, 시화단지 2다 208호 (정왕동)",경기도 시흥시 정왕동 1258-7번지 시화단지 2다 208호,반도체 제조용 기계 제조업,국가산업단지,34,"AL Gas line Tubing, 카세트 프레임, 하네스케이블, CVD KIT Module(Assy)","알루미늄(AL), 스테인리스스틸(SUS), 케이블(전선), 진공OEM, 공압OEM, 수압OEM",소기업,3435.2,4104.55,031-365-5539
4179,시화국가산업단지,성운기술,,"경기도 시흥시 공단1대로196번길 31, 102동(2다 509-2) (정왕동)",경기도 시흥시 정왕동 1267-13번지 102동(2다 509-2),주형 및 금형 제조업,국가산업단지,4,금형제작,"SUS, AL, 동, 철재류",소기업,0,379,031-365-5526
4180,시흥매화일반산업단지,(주)이노션테크,프라임큐브 지식산업센터,"경기도 시흥시 매화산단로 105, 3동 101호(매화동, (주)링크텍) 3동 101호 외 5필지",경기도 시흥시 매화동 845-2 (주)링크텍 3동 101호 3동 101호 외 5필지,도장 및 기타 피막처리업 외 1 종,일반산업단지,23,플라즈마 코팅 및 금속 표면처리,"Ar gas, C2H2 gas, N2 gas",소기업,1346.83,3839.125,031-365-5427
4181,,(주)이노션테크,,경기도 시흥시 서울대학로 59-21 (정왕동) 배곧로얄팰리스 테크노1차 217호,경기도 시흥시 정왕동 2580-2 배곧로얄팰리스 테크노1차 217호,도장 및 기타 피막처리업,일반,9,"플라즈마 코팅, 금속표면처리",Ar gas,소기업,0,122.82,031-365-5427
4182,시화국가산업단지,(주)에이치엘옵틱스,,"경기도 시흥시 공단3대로 267, 3바 910 (정왕동)",경기도 시흥시 정왕동 2205-10번지 3바 910,자동차용 신품 전기장치 제조업 외 2 종,국가산업단지,50,자동차용 와이퍼,"부직포, PVC",중기업,3299.1,3002,031-365-5367
4183,시화국가산업단지,(주)에이티이엔지,,"경기도 시흥시 경기과기대로 45, 3바 204-1호(정왕동)",경기도 시흥시 정왕동 2184-5 3바 204-1호,공기 조화장치 제조업 외 2 종,국가산업단지,14,"하이브리드 제습기, 항온항습기, 공기조화기 하이브리드 건조기","Rotor, Fan, Coil, Compressor",소기업,0,744,031-365-5337
4184,시화국가산업단지,(주)삼미정공,시화하이테크지식산업센터,"경기도 시흥시 서해안로 242, 시화하이테크지식산업센터 5층 업무3호, 1나 208 (정왕동)","경기도 시흥시 정왕동 1234-7번지 시화하이테크지식산업센터 5층 업무3호, 1나 208",그 외 기타 특수목적용 기계 제조업,국가산업단지,10,차체 용접설비용 기계장비,,소기업,0,434.16,031-365-5312
4185,시화국가산업단지,케이엔하이텍(주),,"경기도 시흥시 공단2대로 300, 3바 302 (정왕동)",경기도 시흥시 정왕동 2191-5번지 3바 302,그 외 기타 전자부품 제조업,국가산업단지,40,전자부품,,소기업,0,1749,031-365-5134
4186,시화국가산업단지,나연기업(주),,"경기도 시흥시 공단1대로80번길 142, 1마 605-3 (정왕동)",경기도 시흥시 정왕동 1696-9번지 1마 605-3,그 외 기타 전기장비 제조업 외 2 종,국가산업단지,4,전기장비,,소기업,3300,787,031-365-4748
4187,,(주)진건,배곧 로얄팰리스 테크노1차 지식산업센터,"경기도 시흥시 서울대학로 59-21, 1동 3층 322 (정왕동)",경기도 시흥시 정왕동 1771-1번지 1동 3층 322,그 외 기타 일반목적용 기계 제조업,일반,2,"공기청정기, 음식물 분쇄기",,소기업,0,59.96,031-365-4558
4188,시화국가산업단지,주신특수강(주),,"경기도 시흥시 희망공원로 223, 1259-6, 2나706 (정왕동)",경기도 시흥시 정왕동1259-6번지,절삭가공 및 유사처리업,국가산업단지,3,"JSK-11, SMART-CORE, 특수강 및 정밀부품 가공","kp4m, 금형강, 공구강, 탄소 합금강 등",소기업,0,258,031-365-4482
4189,시화국가산업단지,(주)위지피제약,,"경기도 시흥시 소망공원로 213,  시화단지 2다 505호 1267-9 2다 505호 (정왕동)",경기도 시흥시 정왕동 1267-9번지 1267-9 2다 505호,의료용품 및 기타 의약 관련제품 제조업,국가산업단지,6,알콜솜,에탄올,소기업,0,1125.9,031-365-4338
4190,,(주)바른정보기술,배곧 로얄팰리스 테크노1차 지식산업센터,"경기도 시흥시 서울대학로 59-21, 8층 813 (정왕동) 8층 813호",경기도 시흥시 정왕동 1771-23번지 8층 813 8층 813호,유선 통신장비 제조업 외 3 종,일반,6,통신장비 외,통신장비 등,소기업,155.02,155.02,031-365-4045
4191,,(주)제네스트,제네스트,"경기도 시흥시 은계남길 40, 1,2층 (은행동)","경기도 시흥시 은행동 439-4번지 1,2층",그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,일반,16,"정밀금형부품, 항공기 부품, 반도체부품, 의료기기 부품","Ti6A14V, CCM, SUS 316, Trimrite 등",소기업,1612,1024.18,031-365-3920
4192,시흥매화일반산업단지,창가림,매화센트럴 M플렉스,"경기도 시흥시 매화산단로 95, 6층 618호(매화동, (주)대창) 6층 618호",경기도 시흥시 매화동 845-3 (주)대창 6층 618호 6층 618호,그 외 기타 금속가공업,일반산업단지,3,"알루미늄 및 조립레일, 주문제작 금속가공품, 라운드 레일 등","알루미늄, 금속 등",소기업,38.69,266.12,031-365-3655
4193,시화국가산업단지,에스비테크(주),,"경기도 시흥시 군자천로81번길 89, 2마 803 (정왕동)",경기도 시흥시 정왕동 2169-3번지 2마 803,배전반 및 전기 자동제어반 제조업,국가산업단지,7,배전반 및 전기자동제어반,,소기업,1702.1,2228.44,031-365-3598
4194,시화국가산업단지,씨에스기술(주),타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 3층 320호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 3층 320호,기타 주변기기 제조업,국가산업단지,8,밀폐형 냉각 서버랙,"밀폐형 함체, 부속 및 부품, 냉각장치, 모니터링 장치",소기업,0,130,031-365-3517
4195,시화국가산업단지,씨앤오코스메틱,,"경기도 시흥시 옥구천동로44번길 4, 2바 103 (정왕동)",경기도 시흥시 정왕동 2171-1번지 2바 103,화장품 제조업,국가산업단지,41,화장품,,소기업,2001.7,3950,031-365-3373
4196,시화국가산업단지,자이테크,,"경기도 시흥시 공단1대로80번길 142, 1마 605-3 (정왕동)","경기도 시흥시 공단1대로80번길 142, 1마 605-3 (정왕동)",절삭가공 및 유사처리업,국가산업단지,10,"기계, 설비 부품",,소기업,0,239,031-365-3227
4197,시화국가산업단지,(주)자이테크,,"경기도 시흥시 공단1대로80번길 142, 1마 605-3 (정왕동)","경기도 시흥시 공단1대로80번길 142, 1마 605-3 (정왕동)",절삭가공 및 유사처리업 외 1 종,국가산업단지,3,기계부품 외,"철판(STS,SS,AL)",소기업,0,361,031-365-3227
4198,시화국가산업단지,대진오토포밍,,"경기도 시흥시 마유로42번길 111, 3바 403-1 (정왕동)",경기도 시흥시 정왕동 2192-5번지 3바 403-1,그 외 기타 특수목적용 기계 제조업,국가산업단지,6,롤포밍기계,,소기업,1656.4,1182.74,031-365-3225
4199,시화국가산업단지,이디스메카텍,,"경기도 시흥시 마유로42번길 111, 2192-5, 3바 403-1 (정왕동)","경기도 시흥시 마유로42번길 111, 2192-5, 3바 403-1 (정왕동)",그 외 기타 특수목적용 기계 제조업 외 1 종,국가산업단지,1,자동화기계부품,스틸,소기업,0,20,031-365-3225
4200,시화멀티테크노밸리,(주)서우일렉트,,"경기도 시흥시 엠티브이28로 17-6, 시화MTV 1사 905호 (정왕동)",경기도 시흥시 정왕동 2642-1번지 시화MTV 1사 905호,산업처리공정 제어장비 제조업 외 4 종,국가산업단지,11,"자동제어장비, 테스트장비, 배전반 ",,소기업,0,825.5,031-365-3215
4201,시화국가산업단지,(주)파넥스,,"경기도 시흥시 소망공원로 68, 1247-2 1라 303호 (정왕동)",경기도 시흥시 정왕동 1247-2번지,산업처리공정 제어장비 제조업,국가산업단지,5,자동화기계설비,철,소기업,0,522.5,031-365-3046
4202,시화국가산업단지,제원금속열처리,,"경기도 시흥시 공단1대로196번길 87, 1363-12, 2라 414 (정왕동)","경기도 시흥시 공단1대로196번길 87, 1363-12, 2라 414 (정왕동)",금속 열처리업,국가산업단지,1,열처리 가공,열처리,소기업,0,116,031-365-3035
4203,시화국가산업단지,(주)바른정보통신,,"경기도 시흥시 마유로20번길 80,  B동 2층, 시화산단 3바 618호(정왕동, (주)비알인포텍)","경기도 시흥시 정왕동 2188-4 (주)비알인포텍  B동 2층, 시화산단 3바 618호",방송장비 제조업 외 1 종,국가산업단지,3,"컴퓨터, 서버, CCTV","전자부품, 렌즈",소기업,0,197,031-364-8897
4204,시화국가산업단지,(주)비알인포텍,,"경기도 시흥시 마유로20번길 80, 3바 618호(정왕동, (주)비알인포텍)",경기도 시흥시 정왕동 2188-4 (주)비알인포텍 3바 618호,방송장비 제조업 외 21 종,국가산업단지,40,"무선통신기기의 설계,마스크,금속표지판, 통합배전바, 주차관제시스템, CCTV 등, 함체, 전기, 금속표지판 등, 금속표지판 등, 마스크, 금속표지판, 금속표지판, 금속표지판, 주차관제시스템, 통합배전바 등, 주차관제시스템, 통합배전바 등,  주차관제시스템, 통합배전바, CCTV 등, 금속표지판, CCTV 등, 전기, 통합배전바,  주차관제시스템,  CCTV 등","PCB, 부직포, LED, 통신용랙, SUS철판, 패티판넬, PC, 관제서버 등, LED, 철판",소기업,1652.7,1214.2,031-364-8897
4205,시화국가산업단지,한국일렉트릭솔루션(HES),길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,(정왕동) 1동 6층 604호",경기도 시흥시 정왕동 1277-14 1동 6층 604호,배전반 및 전기 자동제어반 제조업,국가산업단지,1,자동화 제어 배전반,전선류 및 전자기기,소기업,0,100,031-364-8889
4206,시화국가산업단지,(주)카코,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,(정왕동) 1동 6층 604호",경기도 시흥시 정왕동 1277-14 1동 6층 604호,산업처리공정 제어장비 제조업,국가산업단지,5,산업자동화 자동제어,케이블 등,소기업,70.5,131.54,031-364-8889
4207,시화국가산업단지,(주)건동,,"경기도 시흥시 군자천로9번길 64, 2174-8 2바 716호 (정왕동)",경기도 시흥시 정왕동  2174-8번지,포장용 플라스틱 성형용기 제조업,국가산업단지,3,화장품용기,"PP, PE",소기업,0,142.14,031-364-8864
4208,시화국가산업단지,(주)하이셈,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 6층 610호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 6층 610호,"탭, 밸브 및 유사장치 제조업",국가산업단지,4,밸브제품,배관자재,소기업,0,482.84,031-364-8366
4209,시화국가산업단지,(주)태오,,"경기도 시흥시 만해로 37, 158동 101호,201호(DS3차벤처타운) (정왕동)","경기도 시흥시 정왕동 2123-6번지 158동 101호,201호(DS3차벤처타운)","알루미늄 압연, 압출 및 연신제품 제조업",국가산업단지,3,알루미늄 압연 연신제품,알루미늄,소기업,708.14,469.19,031-364-8301
4210,시화국가산업단지,(주)삼인분체산업,,"경기도 시흥시 옥구천서로185번길 66, 시화산단 1다 204호 (정왕동)",경기도 시흥시 정왕동 1240-3번지,도장 및 기타 피막처리업,국가산업단지,9,분체도장,분체도료,소기업,0,825,031-364-8299
4211,시화국가산업단지,창해전자,,"경기도 시흥시 공단1대로131번길 25,  시화단지 2나 107호 (정왕동)",경기도 시흥시 정왕동  1255-6번지,그 외 기타 전기장비 제조업,국가산업단지,6,전기식 용접기,판금,소기업,0,200,031-364-8252
4212,시흥매화일반산업단지,엠에스텍,매화센트럴 M플렉스,"경기도 시흥시 매화산단로 95, 5층 518호(매화동, 대창 센트럴M플렉스 지식산업센터) 5층 518호 외 1필지",경기도 시흥시 매화동 845-3 대창 센트럴M플렉스 지식산업센터 5층 518호 5층 518호 외 1필지,배전반 및 전기 자동제어반 제조업,일반산업단지,3,"배전반, 전기자동제어반","차단기, 덕트, 전선 등",소기업,0,120,031-364-8234
4213,시화국가산업단지,(주)디티아이,,"경기도 시흥시 공단1대로 152 (정왕동) 제104동호, 2다 203","경기도 시흥시 정왕동 1258-13 제104동호, 2다 203",주형 및 금형 제조업,국가산업단지,5,자동차부품금형가공,철,소기업,991.68,720.18,031-364-8215
4214,시화멀티테크노밸리,(주)다원전자,,경기도 시흥시 엠티브이24로56번길 14 (정왕동) 3사 904호,경기도 시흥시 정왕동 2625-2 3사 904호,인쇄회로기판용 적층판 제조업 외 2 종,국가산업단지,68,"PCB회로기판, 의료용 살균기 ","PCB회로기판, 스텐레스, 컨트롤러, UV  LED",소기업,1689.5,1121.93,031-364-1999
4215,시화국가산업단지,(주)컴윈스,,"경기도 시흥시 소망공원로 293, 1283-11 3다 624호 (정왕동)",경기도 시흥시 정왕동 1283-11번지 1283-11 3다 624호,그 외 기타 전자부품 제조업 외 2 종,국가산업단지,120,컴퓨터케이스,플라스틱,중기업,9921.7,11928.44,031-363-6999
4216,시화멀티테크노밸리,비케이스틸(주),,경기도 시흥시 시화벤처로 185 (정왕동) 비케이스틸(주) 2사 206,경기도 시흥시 정왕동 2605-5 비케이스틸(주) 2사 206,그 외 기타 1차 철강 제조업,국가산업단지,40,스테인레스 판재(절단),스테인레스 코일,소기업,7597,4202.425,031-363-3133
4217,시화국가산업단지,풍국엔지니어링,,"경기도 시흥시 정왕천로 143, 107호(3라 402-2)(정왕동, 타원산업단지)",경기도 시흥시 정왕동 1286-12 타원산업단지 107호(3라 402-2),절삭가공 및 유사처리업,국가산업단지,4,프레임가공,"철강, 형강류",소기업,0,230,031-362-6754
4218,시화국가산업단지,(주)천호,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 3층 317호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 3층 317호,배전반 및 전기 자동제어반 제조업,국가산업단지,4,전기판넬제작,각종 전기자재,소기업,0,120,031-362-6319
4219,시화국가산업단지,천호이앤씨,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 3층 317호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 3층 317호,배전반 및 전기 자동제어반 제조업,국가산업단지,3,전기판넬제작,"철, 전기회로 등",소기업,46.031,31.97,031-362-6319
4220,시흥매화일반산업단지,우평,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 624호(매화동) 624호",경기도 시흥시 매화동 846 624호 624호,자동차용 신품 전기장치 제조업,일반산업단지,3,"자동차엔진부품, 전기장치(와이어하네스)","실리콘, 불소실리콘",소기업,40.86,256.07,031-362-6257
4221,시화국가산업단지,일호ENG,,"경기도 시흥시 마유로10번길 51, 정도산업, 시화산단 3바 725호(정왕동)","경기도 시흥시 정왕동 2187-13 정도산업, 시화산단 3바 725호",절삭가공 및 유사처리업,국가산업단지,2,반도체부품,금속,소기업,0,264.4,031-362-6253
4222,,케이원,배곧빌텍까뮤,경기도 시흥시 서울대학로 59-20 (정왕동) 빌텍까뮤지식산업센터 307호,경기도 시흥시 정왕동 2587-2 빌텍까뮤지식산업센터 307호,의료용품 및 기타 의약 관련제품 제조업,일반,3,모기패치,부직포,소기업,0,118.76,031-362-5832
4223,시흥매화일반산업단지,(주)에스제이창호건설,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 710호(매화동) 710호",경기도 시흥시 매화동 846 710호 710호,"금속 문, 창, 셔터 및 관련제품 제조업",일반산업단지,5,"금속제 창문, 철문 등 ","철판, 파이트, 스텐판, 알루미늄자재",소기업,71.26,446.61,031-362-5826
4224,시화국가산업단지,사회적협동조합 어우리(어우리터),코포모테크노센타Ⅱ,"경기도 시흥시 공단1대로 341,  (정왕동) 1동 7층 716호",경기도 시흥시 정왕동 1289-6 1동 7층 716호,방송장비 제조업 외 4 종,국가산업단지,5,"CCTV, 컨댄서",금속,소기업,0,150,031-362-5728
4225,시화국가산업단지,사회적협동조합 어우리,코포모테크노센타Ⅱ,"경기도 시흥시 공단1대로 341,  (정왕동) 1동 7층 716호",경기도 시흥시 정왕동 1289-6 1동 7층 716호,방송장비 제조업 외 3 종,국가산업단지,5,cctv,기판,소기업,74.79,35.4,031-362-5728
4226,시흥매화일반산업단지,(주)디블루,프라임큐브 지식산업센터,"경기도 시흥시 매화산단로 103, 101호(매화동, (주)디블루 (6동)) 101호 외 5필지",경기도 시흥시 매화동 845-2 (주)디블루 (6동) 101호 101호 외 5필지,기타 무선 통신장비 제조업,일반산업단지,17,결합기,"알루미늄, 은, 스테인레스",소기업,1346.83,2695.855,031-362-5347
4227,,(주)디블루,,"경기도 시흥시 솔고개길 36-20, 2,3층 (목감동)","경기도 시흥시 목감동 414-1번지 2,3층",기타 무선 통신장비 제조업,일반,15,"필터, 대역결합기",,소기업,0,1688.32,031-362-5347
4228,시화국가산업단지,아주전자(주),,"경기도 시흥시 옥구천서로237번길 78, 시화산단 1나 308호 (정왕동)",경기도 시흥시 정왕동 1242-7번지,경성 인쇄회로기판 제조업,국가산업단지,5,전자부품 PCB 외형가공,라우터 비트,소기업,0,661.157,031-362-5153
4229,시흥매화일반산업단지,유안통신,프라임큐브 지식산업센터,"경기도 시흥시 매화산단로 103, 401호(매화동, (주)디블루 (6동)) 401호",경기도 시흥시 매화동 845-2 (주)디블루 (6동) 401호 401호,기타 무선 통신장비 제조업,일반산업단지,2,무선통신장비(5G Hybrid Coupler2x2 등),"알루미늄, 은, 스테인리스",소기업,0,165,031-362-4741
4230,시화국가산업단지,(주)엠에스피,,"경기도 시흥시 공단2대로 64-1, 1바 202-1 106호 (정왕동)",경기도 시흥시 정왕동 1698-7번지 1바 202-1 106호,주형 및 금형 제조업,국가산업단지,5,냉간단조금형,SKH-51,소기업,644.11,531.4,031-362-4473
4231,시화국가산업단지,(주)한결기전,,"경기도 시흥시 공단1대로79번길 15, 시화단지 1나 706호 (정왕동)",경기도 시흥시 정왕동 1244-5번지 시화단지 1나 706호,전기회로 접속장치 제조업 외 1 종,국가산업단지,12,"기타 도장 철구조물, 배전반 외함 등","배전반 및 기타 철구조물, 피막제, 도료",소기업,0,1190.95,031-362-4341
4232,시화국가산업단지,(주)다잡아이엔지,,"경기도 시흥시 군자천로119번길 37, 1361-3번지 2라 519호 (정왕동)",경기도 시흥시 정왕동 1361-3번지 1361-3번지 2라 519호,기체 여과기 제조업,국가산업단지,2,"탈취유니트, 필터여과기",철,소기업,0,320,031-360-6514
4233,시화국가산업단지,현대에이치앤씨,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 10층 1011호",경기도 시흥시 정왕동 1277-14 1동 10층 1011호,기타 물품 취급장비 제조업,국가산업단지,2,호이스트 부품 ,,소기업,35.718,117.3,031-360-6398
4234,시화국가산업단지,모든이엔지,동양타워 지식산업센터,"경기도 시흥시 산기대학로 330, (정왕동, 동양타워지식산업센터) 1동 3층 301호",경기도 시흥시 정왕동 1290-14 동양타워지식산업센터 1동 3층 301호,기체 여과기 제조업,국가산업단지,3,"에어필타, 공기여과장치 등",-,소기업,73.46,70.56,031-360-6314
4235,시화국가산업단지,(주)파워풀엑스,,경기도 시흥시 마유로92번길 86 (정왕동) 3마 324,경기도 시흥시 정왕동 1380-6 3마 324,화장품 제조업,국가산업단지,1,화장품,글리세린,소기업,0,300,031-360-2111
4236,시화국가산업단지,(주)성원솔루션,,경기도 시흥시 산기대학로 322 (정왕동) 3나 402-2,경기도 시흥시 정왕동 1290-16 3나 402-2,"용기 세척, 포장 및 충전기 제조업",국가산업단지,1,포장 및 일반 자동화기기,철,소기업,0,181.82,031-358-9946
4237,,(주)디디엠,대화기공,경기도 시흥시 은계남길 50 (은행동) 4층 401호,경기도 시흥시 은행동 671-3 4층 401호,기타 직물제품 제조업,일반,50,마스크,"MB필터, 부직포",중기업,0,699.92,031-358-9368
4238,시화멀티테크노밸리,동진스틸,,"경기도 시흥시 엠티브이27로58번길 25, 다동 [시화MTV 2사105호] (정왕동)",경기도 시흥시 정왕동 2603-2번지 다동 [시화MTV 2사105호],그 외 기타 1차 철강 제조업,국가산업단지,4,특장차 부품,철판,소기업,0,660,031-358-8815
4239,시화국가산업단지,(주)동일기계,,"경기도 시흥시 경제로 332, 3마 403 (정왕동, KMJ)",경기도 시흥시 정왕동 1382-2번지 KMJ 3마 403,음ㆍ식료품 및 담배 가공기계 제조업 외 1 종,국가산업단지,1,"식품기계, 식품용 가공기계","스테인리스 철판, 환봉",소기업,1714.6,383.4,031-357-5843
4240,시화국가산업단지,유진산업기계(주),,"경기도 시흥시 공단2대로 72, 1바 203-2(정왕동)",경기도 시흥시 정왕동 1698-10 1바 203-2,컨베이어장치 제조업 외 2 종,국가산업단지,10,"시험기기, 호이스트크레인, 콘베이어장치","호이스트, 철강재",소기업,2380.2,1194.92,031-357-4470
4241,시화국가산업단지,한국호이스트,,"경기도 시흥시 군자천로185번길 9, 정왕동 1267-1 (2다 502, 108동) (정왕동)","경기도 시흥시 정왕동 1267-1번지 정왕동 1267-1 (2다 502, 108동)",기타 물품 취급장비 제조업,국가산업단지,2,호이스트 크레인 등(수리포함),,소기업,0,60,031-357-3417
4242,시화국가산업단지,(주)성진메탈,,"경기도 시흥시 공단2대로 236, 3바 102호 (정왕동)",경기도 시흥시 정왕동 2183-3번지 3바 102호,반도체 제조용 기계 제조업,국가산업단지,1,반도체장비,,소기업,3588.1,4452.36,031-356-6347
4243,시화국가산업단지,하나테크,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 8층 805호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 8층 805호,배전반 및 전기 자동제어반 제조업,국가산업단지,2,전기자동제어반,,소기업,0,42.97,031-356-3391
4244,시화국가산업단지,유일정공,,"경기도 시흥시 경기과기대로 233, 시흥스마트허브 3나 705-3호 (정왕동)",경기도 시흥시 정왕동 1277-12번지,주형 및 금형 제조업,국가산업단지,4,자동차금형,금속,소기업,0,99,031-355-9174
4245,시화국가산업단지,와이티아이,,"경기도 시흥시 마유로132번길 8, 1369-1 3라802 (정왕동)",경기도 시흥시 정왕동 1369-1번지 1369-1 3라802,그 외 기타 전자부품 제조업,국가산업단지,1,휴대폰부품,알루미늄,소기업,0,100,031-355-8906
4246,시화국가산업단지,진양테크,,"경기도 시흥시 마유로144번길 76, 3라314 (정왕동)",경기도 시흥시 정왕동 1285-2번지 3라314,"산업용 오븐, 노 및 노용 버너 제조업",국가산업단지,1,공업용가스로,금속,소기업,0,50,031-355-7625
4247,시화국가산업단지,태금,,"경기도 시흥시 마유로144번길 76, 3라314 (정왕동)",경기도 시흥시 정왕동 1285-2번지 3라314,"산업용 오븐, 노 및 노용 버너 제조업",국가산업단지,1,공업용가스로,,소기업,0,53,031-355-7625
4248,시화멀티테크노밸리,(주)프라코,,경기도 시흥시 정왕동 2665-9 (주)프라코,경기도 시흥시 정왕동 2665-9 (주)프라코,주형 및 금형 제조업,국가산업단지,73,금형,금형강,중기업,7067.6,4936.19,031-355-7039
4249,시화국가산업단지,광진레이져,,"경기도 시흥시 경기과기대로 239,  시화단지 3나 205호 (정왕동)",경기도 시흥시 정왕동  1278-4번지,절삭가공 및 유사처리업,국가산업단지,4,레이져가공품,"철판,SUS판,AL자재",소기업,0,231,031-355-5167
4250,시화국가산업단지,(주)성화티앤피,,"경기도 시흥시 공단1대로379번길 19, 시화단지 4나 104호 (정왕동)",경기도 시흥시 정왕동 1291-3번지,골판지 상자 및 가공제품 제조업,국가산업단지,3,골판지 상자,골판지,소기업,1759.5,900,031-355-1121
4251,시화국가산업단지,(주)진성디앤피,,경기도 시흥시 정왕동 1245-3번지 1다 304,경기도 시흥시 정왕동 1245-3번지 1다 304,골판지 상자 및 가공제품 제조업,국가산업단지,24,골판지 상자,골판지,소기업,3985.7,4244.24,031-355-1121
4252,시화국가산업단지,세아ENG,보성스퀘어원 지식산업센터 ,"경기도 시흥시 소망공원로 323, (정왕동, 보성스퀘어원지식산업센터) 1동 4층 412호",경기도 시흥시 정왕동 1287-5 보성스퀘어원지식산업센터 1동 4층 412호,액체 여과기 제조업,국가산업단지,3,순수설비,멤브레인필터 등,소기업,34.54,123.28,031-355-0922
4253,시화멀티테크노밸리,(주)금강에너텍,,경기도 시흥시 엠티브이25로20번길 41 (정왕동),경기도 시흥시 정왕동 2664-6번지,일반용 전기 조명장치 제조업 외 4 종,국가산업단지,19,LED조명기구,"철판, 조명기구 ",중기업,10091.5,6832.98,031-355-0028
4254,시화국가산업단지,지에이텍(주) 시화지점,,경기도 시흥시 정왕동 1255 번지 시화산단 2나 101호,경기도 시흥시 정왕동 1255 번지 시화산단 2나 101호,그 외 기타 일반목적용 기계 제조업 외 1 종,국가산업단지,4,공압기계,,소기업,0,330,031-354-6212
4255,시화국가산업단지,아이엠티,,"경기도 시흥시 희망공원로 36, 시화산단 2바 305호 (정왕동)",경기도 시흥시 정왕동 2090-5번지 시화산단 2바 305호,"물질 검사, 측정 및 분석기구 제조업",국가산업단지,12,자동화기계부품,금속,소기업,826.66,817.89,031-354-2306
4256,시흥매화일반산업단지,(주)대한솔루텍,,경기도 시흥시 매화산단1길 37 (도창동),경기도 시흥시 도창동 28-1번지,절삭가공 및 유사처리업,일반산업단지,1,"금속가공제품, 금형기계제작","금속, 전자부품",소기업,0,330,031-352-8976
4257,시화멀티테크노밸리,(주)대로철강,,"경기도 시흥시 엠티브이27로58번길 25, MTV 2사 105호 (정왕동)",경기도 시흥시 정왕동 2-105번지 MTV 2사 105호,그 외 기타 1차 철강 제조업,국가산업단지,7,"특장차부품 일체, 붐대, 플랜트",,소기업,0,1217,031-351-6894
4258,시화국가산업단지,(주)코사플러스,,"경기도 시흥시 공단2대로 294, 시화단지 3바 301-1호 2191-2 3바 301-1호 (정왕동)",경기도 시흥시 정왕동 2191-2번지,"탭, 밸브 및 유사장치 제조업 외 1 종",국가산업단지,25,밸브 개폐기,"하우징,모터,감속기,PCB",소기업,3387,2588.69,031-351-3151
