회사명,최초등록일,종업원수,생산품정보,공장소재지주소,업종번호정보,업종명,전화번호
OP(Obey&Praise),2016-10-05,7,전광스코어보드,경기도 광명시 노온사동 796-1번지 1층,28423,전시 및 광고용 조명장치 제조업 외 1 종,02-2060-5276
PM TECH,2014-05-22,4,제약 및 식품기계,경기도 광명시 가학동 538-7번지,29199,그 외 기타 일반목적용 기계 제조업 외 4 종,02-2684-4516
SG케미칼,2006-03-28,5,"청관제,방청제,냉각수처리제등",경기도 광명시 광명동 572-3번지,20499,그 외 기타 분류 안된 화학제품 제조업 외 2 종,02-2614-6911
㈜브이스퀘어컴퍼니,2022-07-25,6,멀티미디어 학습장치,경기도 광명시 일직동 514 B동 507호 B동 507호,26429,기타 무선 통신장비 제조업 외 2 종,02-2693-4800
가교엔지니어링,2022-05-12,0,"범퍼스위치, 센싱에지스위치, 매트스위치, 안전스위치",경기도 광명시 소하동 1345 광명테크노파크 C동 808호 C동 808호,26294,전자감지장치 제조업,02-2618-5228
가달하이테크,2025-01-06,2,금형부품,경기도 광명시 노온사동 197-2,29293,주형 및 금형 제조업,02-2618-1251
거림인터네셔널,2011-06-27,34,의류,경기도 광명시 소하동 1345 번지 광명테크노파크 디동 3층 304~305호,14191,셔츠 및 블라우스 제조업 외 1 종,02-6112-3456
거성엔지니어링(주),1994-05-27,8,마이크로스위치,경기도 광명시 하안동 33-3번지,28123,배전반 및 전기 자동제어반 제조업,02-894-2121
거성정밀,2010-04-06,1,기계부품,경기도 광명시 옥길동 139-7번지,25929,그 외 기타 금속가공업 외 1 종,02-2611-1178
건영COMPANY,2010-01-20,27,남성용 정장,"경기도 광명시 광명동 747-4번지 정혜빌딩 3,4층",14111,남자용 겉옷 제조업,070-8692-2291
건우후렉시블,2005-11-08,14,후렉시블호스,경기도 광명시 광명동 304-6번지,22211,"플라스틱 선, 봉, 관 및 호스 제조업",02-2685-5084
경동산업사,2019-03-06,2,금속인쇄 및 페파,경기도 광명시 광명동 374-53번지 지층,23992,연마재 제조업 외 1 종,02-2060-8657
경북기계공작소,1996-08-19,14,"스티로폴감용기,밴드기,재생압축기,포장기",경기도 광명시 철산1동 119-5번지,29299,그 외 기타 특수목적용 기계 제조업 외 8 종,02-851-3521
경성테크,1971-02-24,7,가정용유리식기및도자기식기,경기도 광명시 옥길동 97-5번지,23191,가정용 유리제품 제조업 외 1 종,02-2625-1260
경안전자(주),2014-04-14,4,와이어커넥터,경기도 광명시 소하동 1345번지 광명테크노파크 B동 9층 903,28303,절연 코드세트 및 기타 도체 제조업,02-2083-2777
경인기업사,1979-07-05,7,계랑기,경기도 광명시 소하동 224번지,29199,그 외 기타 일반목적용 기계 제조업,02-898-2045
경진상사,1999-10-08,13,남성복반코트,경기도 광명시 광명동 158-429번지,14111,남자용 겉옷 제조업,02-2614-1285
고려호이스트크레인,2007-07-31,3,"에어호이스트, 에어바란스, 레일",경기도 광명시 소하동 219-3번지,29169,기타 물품 취급장비 제조업,031-8033-3330
고은사,2000-03-08,7,베게및방석(수예소품),경기도 광명시 광명동 738번지,13221,침구 및 관련제품 제조업,02-2683-3778
골드텍,1993-07-12,7,동파방지용밸브,경기도 광명시 하안동 201번지,25912,금속 단조제품 제조업 외 1 종,02-808-5161
골든멀티미디어,1993-06-28,1,음향기기및전원장치,경기도 광명시 하안동 201번지,28909,그 외 기타 전기장비 제조업 외 4 종,02-894-9477
광동화학,2006-04-13,1,포장지,경기도 광명시 하안동 36-1번지,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",02-896-4041
광명정미소,1988-04-01,2,도정,경기도 광명시 가학동 949-1번지,10511,곡물 도정업,02-689-1624
광명트렌스포머,2021-04-12,2,변압기,경기도 광명시 노온사동 435-3 1층,28112,변압기 제조업,02-2614-3714
광성정밀,2025-08-29,4,"볼스크류 가공, 기계부품 가공",경기도 광명시 하안동 201 4동 2층 2호,25924,절삭가공 및 유사처리업,
광전사인컴(주),2015-12-29,5,간판 및 실내외사인물,경기도 광명시 하안동 201번지 아파트형공장 제1동 2동 1층 4,33910,간판 및 광고물 제조업,02-373-6581
국제기계,2010-11-29,7,금속성형기,경기도 광명시 옥길동 336-1 번지,29222,디지털 적층 성형기계 제조업 외 1 종,02-2682-9197
국제전자정밀(주),2004-01-12,8,"광통신용수동소자, RF커넥터",경기도 광명시 광명동 759-6번지,26410,유선 통신장비 제조업 외 3 종,02-2688-7638
금강공업사,1994-06-17,4,자동차번호판,경기도 광명시 철산동 123-2번지,25913,자동차용 금속 압형제품 제조업 외 1 종,02-867-1114
금강씨엔이 주식회사,2011-06-10,4,"산화제기계, 세정제",경기도 광명시 하안동 201 번지 광명시범공단 162-2호,29299,그 외 기타 특수목적용 기계 제조업 외 6 종,02-864-7788
금강콜드,2009-08-13,2,"광고용 조명램프(콜드캐소드), 조명기구",경기도 광명시 광명동 185-3번지 2층,28423,전시 및 광고용 조명장치 제조업,02-2688-7352
금화상사,1998-03-09,41,T-SHIRTS,경기도 광명시 광명동 152-8번지,14192,"근무복, 작업복 및 유사의복 제조업 외 2 종",02-2615-1663
기아(주),1971-11-27,6015,자동차,경기도 광명시 소하1동 781-1번지,30121,승용차 및 기타 여객용 자동차 제조업,02-801-4290
기호정밀공업,2011-10-17,6,금형부품,경기도 광명시 소하동 1345 번지 광명테크노파크 에이동 10층 에이1004호,25924,절삭가공 및 유사처리업,02-807-0263
나노테크,2012-02-27,3,자동화기계,경기도 광명시 노온사동 207-3번지,25924,절삭가공 및 유사처리업,02-2614-0345
남성사,1990-12-06,8,답전소자,경기도 광명시 광명동 126-22번지,28511,주방용 전기기기 제조업 외 2 종,02-2687-4734
내사랑코리아,2021-05-28,7,스티커,경기도 광명시 일직동 501-4 507호 507호,18112,스크린 인쇄업 외 2 종,02-2645-0685
냉열(주),1999-05-15,34,"항온항습조, 대형온습도환경조성실",경기도 광명시 하안동 887-4,29172,가정용 및 산업용 공기 조화장치 제조업 외 3 종,02-899-2356
네오텍(주),2017-09-13,18,스마트폰 기능성 복합시트,경기도 광명시 소하동 1345번지 광명테크노파크 B동 1층 109,26299,그 외 기타 전자부품 제조업,02-2083-2828
넷제로연구소,2024-09-12,4,PLC 컨트롤러,경기도 광명시 소하동 1344 광명G타워 A동 6층 608호,28123,배전반 및 전기 자동제어반 제조업,02-899-9580
농업회사법인주식회사 한국양조연구소,2024-03-13,2,"탁주, 청주, 보리소주, 고구마소주",경기도 광명시 소하동 1345 광명테크노파크 E동 8층 812호,11111,탁주 및 약주 제조업 외 1 종,02-598-3222
뉴비오,2016-10-28,15,"금속검출기, 산업용기기",경기도 광명시 소하동 1345번지 광명테크노파크 D동 6층 601 D동 6층 601호,28909,그 외 기타 전기장비 제조업,070-7463-9723
니스룩,2012-08-03,3,침구류,경기도 광명시 광명동 259-28번지,13221,침구 및 관련제품 제조업,02-2684-1600
닥터킴,2012-04-24,3,의료용헤드램프,경기도 광명시 소하동 1365번지 2층 213,27199,그 외 기타 의료용 기기 제조업,02-2611-4755
대구상사,1998-07-08,13,조미김,경기도 광명시 하안동 201-0번지,10220,수산식물 가공 및 저장 처리업,02-804-4126
대동안전(주),1998-11-12,34,융착식테이프,경기도 광명시 하안1동 393-1번지,25113,육상 금속 골조 구조재 제조업 외 17 종,02-899-1542
대명금속,2005-06-03,4,동괴,경기도 광명시 옥길동 416번지,24329,기타 비철금속 주조업,02-2612-7087
대산금속,2024-02-22,4,스테인리스 철물,경기도 광명시 노온사동 212-36,25119,기타 구조용 금속제품 제조업,02-2612-4676
대성기업,2009-09-24,4,기계 부품,경기도 광명시 노온사동 382-28번지,25929,그 외 기타 금속가공업,02-2612-9346
대성핫텍,2011-05-03,4,핫런너시스템,경기도 광명시 소하동 1345 번지 광명테크노파크 디동 3층 디307호,29293,주형 및 금형 제조업,02-2083-1582
대아상사,1998-07-31,26,"의류,숙녀복",경기도 광명시 하안동 36-1번지,14112,여자용 겉옷 제조업,02-891-9161
대안일레콤(주),2013-10-29,26,전기변환장치,경기도 광명시 소하동 1365번지,28119,기타 전기 변환장치 제조업 외 7 종,02-6112-7155
대우비니루,2012-09-03,25,비닐,경기도 광명시 옥길동 97-5번지,22212,플라스틱 필름 제조업 외 3 종,02-2682-1578
대원주조금형,2007-11-02,4,"황동, 수도제품, 알미늄제품, 금형",경기도 광명시 옥길동 97-8번지,29293,주형 및 금형 제조업,02-2066-1400
대윤전자(주),2001-01-19,6,"중량제어시스템,출하자동차",경기도 광명시 하안동 201번지,28123,배전반 및 전기 자동제어반 제조업,02-807-9555
대정초경,1998-07-23,5,반도체용 금형부품,경기도 광명시 하안동 201번지,29293,주형 및 금형 제조업,02-896-3434
대조산업,2007-05-01,4,한약약탕기,경기도 광명시 소하동 208번지,29250,음ㆍ식료품 및 담배 가공기계 제조업,02-893-2733
대진유압,2012-10-23,4,"유닛,펌프",경기도 광명시 소하동 1365번지,29120,유압기기 제조업,02-2637-0886
대한전자산업,2017-08-14,7,"매트조절기, 전립선비져케어",경기도 광명시 소하동 1365번지 B동 2층 213,26291,전자축전기 제조업,02-833-8789
대한특수필터,2021-03-22,2,정제필터,경기도 광명시 일직동 501-4 B204호,17109,기타 종이 및 판지 제조업 외 1 종,02-899-9979
더케이파워,2022-04-05,4,"LED 경관조명기구, LED용 조명제어장치 외",경기도 광명시 일직동 514 A동 713호 A동 713호,28422,일반용 전기 조명장치 제조업 외 3 종,02-6914-6117
더함비즈(주),2023-06-26,2,주차관제시스템,경기도 광명시 하안동 303 1411호 1411호,31202,철도차량 부품 및 관련 장치물 제조업 외 1 종,02-2632-3230
델타아이(주),2015-06-01,6,에칭컨트롤러,경기도 광명시 일직동 505-3번지 1층,28909,그 외 기타 전기장비 제조업,02-898-2019
도어캡스,2006-10-12,14,스텐레스도어,경기도 광명시 가학동 782-11번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업",02-2612-9473
동서기연,2006-04-11,10,공압식 및 전기식 액츄레이션,경기도 광명시 노온사동 212-13번지,29172,가정용 및 산업용 공기 조화장치 제조업 외 1 종,02-2681-8031
동신건업,1994-03-28,2,"금속현관문, 난간류",경기도 광명시 가학동 528번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업",02-2617-3050
동아산업사,1979-06-16,4,"합성수지,고무제품",경기도 광명시 소하동 3-4번지,29223,금속 절삭기계 제조업,02-808-9854
동양유통(동양농산),2024-02-22,4,"고추가루, 참깨가루, 들깨가루",경기도 광명시 가학동 203,10832,천연 및 혼합조제 조미료 제조업,
동우산업,2013-02-25,4,"자동차,전자부품",경기도 광명시 소하동 1345번지,22291,플라스틱 접착처리 제품 제조업 외 1 종,02-2618-5673
동의어패럴,2002-06-10,27,"골프내의, 잠바,바지",경기도 광명시 광명동 104-13번지,14120,속옷 및 잠옷 제조업 외 3 종,02-2615-7173
동일레이저테크놀로지,2016-02-11,9,레이저마킹 및 레이저용접 임가공,경기도 광명시 소하동 1345번지 광명테크노파크 D동 2층 207,25929,그 외 기타 금속가공업,02-6112-4567
동진기업사,2018-03-09,3,낚시용품,경기도 광명시 소하동 924-7번지 서면빌딩 지하층,33303,낚시 및 수렵용구 제조업,02-898-7600
동진목재,2021-04-16,2,무늬결목재,경기도 광명시 노온사동 149-4 1층,16229,기타 건축용 나무제품 제조업,02-2688-0138
동진초경,2003-06-17,10,금형제품,경기도 광명시 일직동 40-12번지 1층,29293,주형 및 금형 제조업,02-898-1356
두나미스덴탈(주),2011-11-02,8,치과용 핸드피스,경기도 광명시 소하동 1345 번지 광명테크노파크 에이동 9층 904호,27191,치과용 기기 제조업,02-778-4565
두일산업,2008-10-22,4,"필터, 산업기기부품",경기도 광명시 철산동 626-3번지 광명조명타운 7층 702-1,29175,기체 여과기 제조업 외 2 종,02-855-4385
드림랜드,2008-04-08,2,놀이터 설치 관련제품,경기도 광명시 가학동 255-1번지,33302,놀이터용 장비 제조업 외 3 종,02-2681-6871
디비시스(주),2023-12-01,15,"NVR, CCTV, PC",경기도 광명시 하안동 303 6층 621호 6층 621호,26310,컴퓨터 제조업 외 1 종,ARS-1688-8648
디아이디시스템 주식회사,2022-04-18,14,버스 및 차량정보 안내 LED 전광판,경기도 광명시 소하동 1345 광명테크노파크 B동 906호 B동 906호,28423,전시 및 광고용 조명장치 제조업,02-2083-1980
디아이페이퍼,2011-01-10,10,지관통,경기도 광명시 옥길동 97-8 번지,17229,기타 종이 상자 및 용기 제조업,02-2625-6684
디알에이,2024-03-08,1,가스레귤레이터,"경기도 광명시 하안동 303 4층 415호, 416호, 417호, 418호 4층 415호, 416호, 417호, 418호",29133,"탭, 밸브 및 유사장치 제조업",02-2637-3457
디앤아이테크놀러지(주),2021-10-27,4,"전력변환장치, 고속철도 동력차충전장치, 고속철도 객차충전장치, 무접접릴레이(난방접촉기), 리튬배터리 지게차 충전기 ",경기도 광명시 소하동 1345 광명테크노파크 비동 605호 비동 605호,28119,기타 전기 변환장치 제조업 외 4 종,02-6112-2920
디엔더블유 주식회사,2022-09-19,4,"LED조명, LED램프",경기도 광명시 일직동 501-4 B1층 112호 B1층 112호,28422,일반용 전기 조명장치 제조업,070-8777-3421
디테일,2023-12-01,5,디밍모뎀,경기도 광명시 하안동 304 1115호,28422,일반용 전기 조명장치 제조업,02-3280-5151
라라패션,2008-04-14,7,의류,경기도 광명시 광명동 346-36번지,14192,"근무복, 작업복 및 유사의복 제조업 외 2 종",02-2687-4810
라온디자인 주식회사,2025-09-05,4,"코르크칩, 탄성칩",경기도 광명시 일직동 514 C동 12층 1218호,16300,코르크 및 조물제품 제조업 외 1 종,02-2689-0012
라이팅코드,2024-07-30,0,LED조명기구,경기도 광명시 하안동 304 광명티아모IT타워 4층 402호,28422,일반용 전기 조명장치 제조업,
라이프코어인스트루먼트 주식회사,2023-03-13,6,알칼리 이온수기,경기도 광명시 소하동 1345 광명테크노파크 D동 8층 8호,27199,그 외 기타 의료용 기기 제조업,02-6205-0683
레이온버터,2024-01-29,8,플레인 식빵,"경기도 광명시 소하동 1344 광명G타워 B동 12층 1214호, 1215호",10602,빵류 제조업,ARS-1800-5876
리텍시스템,2009-05-25,2,포장기계,경기도 광명시 하안동 201번지 광명아파트형공장 3층 332호,29191,"용기 세척, 포장 및 충전기 제조업",02-808-0134
마스타씨스템(주),1994-11-02,48,"FA 판넬, 컨베이어 장치",경기도 광명시 하안동 201번지 아파트형공장 제1동 4동 1층 3 외 1필지,28123,배전반 및 전기 자동제어반 제조업 외 4 종,02-6717-5996
맨도르,2004-02-06,2,안경케이스,경기도 광명시 철산동 76-3번지,15129,가방 및 기타 보호용 케이스 제조업,02-2687-0402
명도상사,1997-11-17,14,가발,경기도 광명시 광명동 301-28번지,33931,가발 및 유사 제품 제조업,02-2613-0893
명성어패럴,1999-03-05,20,스포츠의류,경기도 광명시 광명동 759-6번지,14192,"근무복, 작업복 및 유사의복 제조업 외 2 종",02-2611-3397
명진상사,2000-05-22,4,가죽BELT,경기도 광명시 소하동 937-2번지,15190,기타 가죽제품 제조업,02-2685-1007
모던엔지니어링(주),2008-10-22,14,자동제어 판넬,경기도 광명시 하안동 201번지 광명아파트형공장 2동 1층 2호,28123,배전반 및 전기 자동제어반 제조업,02-2681-8328
모두,2020-11-27,2,보건용 마스크,경기도 광명시 하안동 201 광명시범공단공장형아파트 2동 3층 4호,13229,기타 직물제품 제조업 외 1 종,02-898-0858
모든시스템(주),2022-09-22,4,"밸브구동기, 온도조절기 및 난방시스템 관련 장비",경기도 광명시 소하동 1344 광명G타워 A1122호 A1122호 외 1필지,27215,기기용 자동측정 및 제어장치 제조업,02-6407-7015
무지개,2020-09-21,1,"제본커버, 제본기, 클립보드",경기도 광명시 일직동 515-1 광명역자이타워 A-1002,17901,문구용 종이제품 제조업 외 3 종,02-2060-6810
미건에스티(주),2025-01-06,11,수분계(수분측정기),경기도 광명시 일직동 515-1 A동 19층 1916호,27216,산업처리공정 제어장비 제조업 외 1 종,031-357-2211
미래금속,2008-01-31,1,비철주물,경기도 광명시 소하동 223-1번지,24321,알루미늄주물 주조업,02-898-9980
미래기전(주),2013-04-08,5,무대조명 및 기계장치,경기도 광명시 철산동 626-3번지 광명조명타운 2층 202 2층 202호,28422,일반용 전기 조명장치 제조업 외 5 종,02-2633-4767
미래필텍스(주),2014-01-27,3,의류,경기도 광명시 소하동 1345번지,14191,셔츠 및 블라우스 제조업 외 1 종,02-2083-2882
미림아이알티(주),2004-01-20,5,Ceramic SMD 양산용장비 및 기타생산용 Robot,경기도 광명시 하안1동 442-4번지,29280,산업용 로봇 제조업 외 1 종,02-898-4093
미크론정밀방전,2021-04-21,4,"메인코어, 부품코어",경기도 광명시 노온사동 434-3 1층,29293,주형 및 금형 제조업,02-855-5022
박영미레이져,2022-06-22,7,"철판, 스테인레스판 절단/절곡 제품, 철판, 스테인레스판 절단/절곡 제품",경기도 광명시 노온사동 209-2,25929,그 외 기타 금속가공업 외 1 종,02-2625-0061
백천전자(주),2011-12-09,9,커넥터,경기도 광명시 소하동 1365 에이스광명타워 411호,26299,그 외 기타 전자부품 제조업 외 1 종,02-804-4748
보광테크,2010-04-08,3,"기능성비누, 탈취제, 샴푸, 사료",경기도 광명시 노온사동 758-2번지,20422,"치약, 비누 및 기타 세제 제조업 외 5 종",02-895-3005
보둠커피랩,2024-12-16,2,"원두커피, 원두 가공품",경기도 광명시 하안동 304 9층 925호 9층 925호,10891,커피 가공업,070-4146-9600
부광시즈,2013-07-12,10,"시즈열전대, 저항온도계",경기도 광명시 소하동 1345번지 광명테크노파크 A동 13층 1308~1309호,29299,그 외 기타 특수목적용 기계 제조업 외 1 종,031-318-4351
부림포장,1973-11-09,6,골판지상사,경기도 광명시 소하동 30-19번지,17211,골판지 제조업 외 1 종,02-802-7178
부원ENG,2009-09-11,4,LCD(프레임),경기도 광명시 가학동 336-7번지,25924,절삭가공 및 유사처리업,02-2625-7231
브이엠이텍(주),2021-02-04,31,"컴퓨터, 주변기기 , Emebdded System","경기도 광명시 소하동 1365-0 에이스 광명타워 702, 703호",26329,기타 주변기기 제조업,02-6112-7891
브이투씨(주),2021-05-31,16,"통신장비, 음향기기",경기도 광명시 소하동 1345 광명테크노파크 B동 910호 B동 910호,26310,컴퓨터 제조업 외 3 종,02-3281-0804
블루텍플러스 주식회사,2011-06-10,3,"철도차량부품, 인쇄회로기판",경기도 광명시 하안동 201 번지 광명시범공단 161-2호,31202,철도차량 부품 및 관련 장치물 제조업 외 9 종,02-3275-0542
비엔티이엠에스,2005-06-14,20,"인버터, 차량용시계",경기도 광명시 하안동 201번지,26221,인쇄회로기판용 적층판 제조업 외 5 종,02-893-6121
빛컨,2007-01-09,2,"진공포장컨트롤러, 세탁머신컨트롤러",경기도 광명시 철산동 568-20번지,28123,배전반 및 전기 자동제어반 제조업,02-853-6967
사랑방식품,1999-07-22,6,찹쌀떡,경기도 광명시 노온사동 574-29 1층,10601,떡류 제조업,
삼덕시스템(주)광명공장,2025-01-06,11,"사무용 기계 및 장비, 자동판매기 및 화폐교환기",경기도 광명시 일직동 515-1 A동 12층 1206호,29199,그 외 기타 일반목적용 기계 제조업 외 1 종,031-431-1000
삼성스마트테크(주),2010-09-17,7,"스마트 전력안정기, 스마트 전기분배전반",경기도 광명시 하안동 201번지 광명아파트형공장 1동 3층 4-2,28123,배전반 및 전기 자동제어반 제조업,02-893-5400
삼우시스템(주),2007-11-20,7,"필터, 공기조화장치",경기도 광명시 하안동 201번지 광명아파트형공장 3동 7층 374호,29172,가정용 및 산업용 공기 조화장치 제조업 외 3 종,02-894-3673
삼일정공,2009-09-09,2,주조셩금형제조,경기도 광명시 옥길동 142-4번지,29293,주형 및 금형 제조업,02-2686-3131
삼주정밀,1990-12-06,4,자동차부품,경기도 광명시 소하동 1140-1번지,30399,그 외 자동차용 신품 부품 제조업 외 4 종,02-803-8175
삼진사,1991-05-02,9,"깨스쇼파반제품,의자,자동차",경기도 광명시 소하동 3-4번지,33401,인형 및 장난감 제조업,02-807-9063
삼현전자,2000-12-28,6,무전기,경기도 광명시 하안동 201번지,26421,방송장비 제조업 외 2 종,02-896-3654
삼화크리스탈,1994-04-02,3,"주방용유리제품, 산업용유리제품",경기도 광명시 광명동 301-3번지,23191,가정용 유리제품 제조업 외 3 종,02-2682-4292
새날기획,2022-02-16,1,"인쇄, 현수막",경기도 광명시 일직동 514 GIDC광명역 B동 403호,18119,기타 인쇄업 외 1 종,02-2689-0752
새빛코리아,1998-12-18,2,"액세사리ball,지압ball",경기도 광명시 소하동 924-31번지,33120,모조 귀금속 및 모조 장신용품 제조업,02-899-2270
새빛테크(주),2012-07-25,6,"LED등기구, 방열제품 ",경기도 광명시 소하동 1345번지 광명테크노파크 B동 11층 1103,28422,일반용 전기 조명장치 제조업,02-2083-2950
서우이앤아이,2022-10-17,3,LED 조명,경기도 광명시 소하동 1345 광명테크노파크 E동 605호 E동 605호,28422,일반용 전기 조명장치 제조업,
서울기연,2004-02-12,7,전기콘트롤박스 등,경기도 광명시 옥길동 97-8번지,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,02-2685-3557
서울민예,2010-11-30,8,민속인형,경기도 광명시 소하동 924-7 번지,33401,인형 및 장난감 제조업,02-897-5755
서울상사,2001-01-02,3,검도용품,경기도 광명시 하안동 201번지,14192,"근무복, 작업복 및 유사의복 제조업 외 2 종",02-808-4100
서울영양도시락,1997-06-10,5,도시락,경기도 광명시 광명7동 305-34번지,10701,도시락류 제조업 외 1 종,02-2684-4589
선일정밀,2002-10-30,4,전자부품,경기도 광명시 노온사동 673-7번지,26299,그 외 기타 전자부품 제조업 외 1 종,02-2687-1509
선진바이오(주),1999-10-25,16,세제류.비누,경기도 광명시 광명동 554-1번지,20422,"치약, 비누 및 기타 세제 제조업",02-2688-7698
선진바이오(주) 하안동지점,2018-07-30,6,"구강용품, 치약","경기도 광명시 하안동 201번지 아파트형공장 제1동 1동 5층 3,4",20422,"치약, 비누 및 기타 세제 제조업 외 1 종",02-2689-9541
성광정밀,2000-12-06,6,"전자부품(콘넥터), 시계부품",경기도 광명시 노온사동 666-2번지,28121,"전기회로 개폐, 보호장치 제조업 외 2 종",02-2613-4471
성광플라스틱,2019-06-12,16,플라스틱 볼트캡,경기도 광명시 가학동 427,29291,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",02-2616-1158
성우기업(주),1979-07-05,1,옥재문,경기도 광명시 광명동 510-1번지,25122,금속탱크 및 저장용기 제조업 외 1 종,02-2615-1101
성우정보통신,2018-12-06,1,"리더기, 컴퓨터, 모터사이클 LED지시등, 전자장치진단기,",경기도 광명시 하안동 201번지 광명시범공단 3동 2층 3-2호,26429,기타 무선 통신장비 제조업 외 1 종,070-4063-5697
성우화학공업사,2001-01-02,2,전자부품(스윗치),경기도 광명시 소하동 31-14번지,22251,폴리스티렌 발포 성형제품 제조업 외 1 종,02-804-9610
성웅기계,2005-09-08,2,함마분쇄기,경기도 광명시 옥길동 97-8번지,29223,금속 절삭기계 제조업 외 4 종,02-2681-4108
성원건기,2012-08-03,1,기계부품,경기도 광명시 가학동 909-4번지 1층,29241,건설 및 채광용 기계장비 제조업,02-853-2731
성지산전(주),2020-03-25,5,"시각장애인용음성안내기, 교통신호장치",경기도 광명시 일직동 515-1번지 B-1502,28901,전기경보 및 신호장치 제조업 외 1 종,02-2613-3037
세계전자,1999-01-23,8,"LEAD ASS'Y, CONNECTOR ASS'Y",경기도 광명시 철산동 626-3번지,28121,"전기회로 개폐, 보호장치 제조업 외 1 종",02-2685-8154
세영인더스트리,2013-04-12,13,"하네스,동전인식기",경기도 광명시 광명동 719-15번지,28303,절연 코드세트 및 기타 도체 제조업,02-2685-4975
세운전기(주),1997-04-16,4,"전기배전반,MCC PANEL",경기도 광명시 노온사동 377-2번지,28123,배전반 및 전기 자동제어반 제조업,02-2619-7023
세원아이엔씨,2022-04-05,3,공업용 전기히터 및 부품,경기도 광명시 소하동 1365 에이스 광명타워 506호 506호,29150,"산업용 오븐, 노 및 노용 버너 제조업",02-2631-4950
세인인터내셔날,2014-04-02,29,의류,"경기도 광명시 소하동 1345번지 광명테크노파크 D동 8층 809, 810",14191,셔츠 및 블라우스 제조업 외 1 종,02-2083-3072
세일,2021-03-08,2,"어린이식기류, 산업용밸브류","경기도 광명시 일직동 515-1 A동 2021, 2022호",25992,수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,02-2682-7132
세일건설 주식회사,2011-02-25,10,"금속구조물, 창호",경기도 광명시 소하동 1345 번지 광명테크노파크 디동 지1층 디지하110호,25111,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",02-2083-2001
세종안전정보,2010-02-04,5,간판 현수막 안전용품,경기도 광명시 가학동 199-4번지,33910,간판 및 광고물 제조업 외 1 종,02-898-8256
세진금속,1986-12-11,2,귀금속케이스,경기도 광명시 소하동 1140-1번지,33110,귀금속 및 관련제품 제조업,02-803-8030
세화전자,1999-02-11,15,"전화기,리모콘",경기도 광명시 광명동 348-7번지,26410,유선 통신장비 제조업 외 3 종,02-2615-7710
센스전자,1990-11-26,2,"글로우,스타아터",경기도 광명시 광명6동 350-8번지,28410,전구 및 램프 제조업,02-2684-8804
솔텍엔지니어링,2005-06-08,4,"GPS, 휴대폰 부품",경기도 광명시 하안동 201-0번지,26421,방송장비 제조업 외 2 종,02-896-0124
수어패럴,2005-06-18,24,의류(셔츠),경기도 광명시 하안동 201번지,14191,셔츠 및 블라우스 제조업 외 1 종,02-807-7716
스마트파워 주식회사,2023-10-24,4,"가로등, 보안등",경기도 광명시 일직동 514 제씨동 3층 308호,28422,일반용 전기 조명장치 제조업 외 1 종,02-877-2959
스마트팩시스템,2020-03-06,1,Auto Packer (자동화기기),경기도 광명시 일직동 515-1번지 A동 2312호,29299,그 외 기타 특수목적용 기계 제조업,02-6299-7555
스피드센서,2012-09-07,3,온도센서,경기도 광명시 소하동 1345번지 광명테크노파크 C동 13층 1307,26299,그 외 기타 전자부품 제조업 외 1 종,02-939-8604
승우정밀,2009-09-08,5,금형제조,경기도 광명시 노온사동 778-2번지,29293,주형 및 금형 제조업,02-2066-0969
승원건철(주),2000-12-28,17,방화문,경기도 광명시 가학동 6-1번지,25932,일반철물 제조업,02-2613-5085
시엔이,2002-09-11,10,"고속디지탈,동기식광전송장치",경기도 광명시 하안동 201번지,26410,유선 통신장비 제조업 외 3 종,02-894-8831
신성산업,2000-03-20,16,"악세사리(14K,18K)",경기도 광명시 소하동 896-8번지,33110,귀금속 및 관련제품 제조업,02-897-6262
신성에프에이주식회사,2024-10-25,3,"물류운반장비, 자동화기기",경기도 광명시 일직동 514 C동 15층 1504호,29161,산업용 트럭 및 적재기 제조업,
신신전자공업(주),2020-03-18,48,온도센서,"경기도 광명시 소하동 1337-7번지 6층, 7층",26299,그 외 기타 전자부품 제조업 외 1 종,02-894-2694
신우산업,2009-09-09,7,알루미늄프로파일(구조물),경기도 광명시 노온사동 382-2번지,29163,컨베이어장치 제조업 외 3 종,02-2625-4509
신화금속공업,2009-09-08,3,"건축, 인테리어 금속종류(샷시, 핸드레일,",경기도 광명시 옥길동 136-2번지,25119,기타 구조용 금속제품 제조업,02-2635-1791
신화사,1999-05-15,11,내의,경기도 광명시 철산동 56-140번지,14120,속옷 및 잠옷 제조업,02-2689-9724
신흥IND,2021-03-02,2,시각장애인용음성안내기 및 교통신호장치,경기도 광명시 일직동 515-1 광명역자이타워 B동 1503호,28901,전기경보 및 신호장치 제조업 외 1 종,02-2613-3037
싸이오닉,2024-11-15,3,"커스텀(디자인) 수냉 PC, 커스텀(디자인) 수냉 PC, 서버컴퓨터, 워크스테이션",경기도 광명시 일직동 514 A동 2606호 A동 2606호,26310,컴퓨터 제조업 외 1 종,
