순번,회사명,공장대표주소(도로명),업종명,전화번호,팩스번호,생산품
1340,(주)회훈테크,경기도 부천시 원미구 길주로 439+ 1층 (춘의동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,032-661-6761,032-656-0391,자동차부품가공
1341,(주)효신,경기도 부천시 원미구 옥산로 234+ 3층+ 5층(도당동),탭+ 밸브 및 유사장치 제조업 외 1 종,032-678-6200,032-672-6401,솔레노이드 밸브 
1342,(주)휴먼메디텍,경기도 부천시 원미구 옥산로214번길 43+ 2층+ 3층 (도당동),그 외 기타 의료용 기기 제조업,02-862-2588,02-868-1511,멸균기(의료용)
1343,(주)휴먼세크,경기도 부천시 원미구 조마루로385번길 122 삼보테크노타워(춘의동) 15층 1522호,유선 통신장비 제조업,032-321-0173,032-321-0175,출입통제시스템
1344,(주)휴먼이앤에스,경기도 부천시 오정구 신흥로425번길 54 -19(삼정동) 3층,일반용 전기 조명장치 제조업 외 1 종,032-684-9325,032-684-9326,조명용제어장치+ 냉난방기 자동제어기+ LED형광등+ 다운라이트
1345,(주)휴메타셀,경기도 부천시 소사구 부광로 220 (옥길동) 5층층 525호,체외 진단 시약 제조업 외 1 종,02-6081-1020,,연구용 세포주
1346,(주)휴비텍,경기도 부천시 원미구 부천로198번길 18+ 201동 7층 11호 (춘의동+ 춘의테크노파크II)+ 12호 외 1필지,비디오 및 기타 영상기기 제조업,032-623-0967,032-623-0960,보안카메라
1347,(주)흥아기연,경기도 부천시 오정구 산업로7번길 55+ 1층 공장(오정동+ 흥아기연 오정공장),주형 및 금형 제조업 외 3 종,032-675-1511,032-511-1511,블리스터+ 카토너
1348,(주)흥양금속,경기도 부천시 오정구 삼작로171번길 77+ 1층 (내동),볼트 및 너트류 제조업,032-679-8351,032-679-8350,볼트 등
1349,(주)히트업,경기도 부천시 오정구 석천로 448+ 2층 (삼정동),배전반 및 전기 자동제어반 제조업,032-684-1125,032-714-3325,히팅케이블+전기판넬
1350,(주)히트케이블,경기도 부천시 원미구부천로 323 (도당동+ y-제니스 파크) 2층 204호,기타 절연선 및 케이블 제조업,032-675-9204,032-675-9205,케이블
1351,ALL THREE,경기도 부천시 오정구 신흥로469번길 68 (삼정동),산업용 냉장 및 냉동 장비 제조업 외 8 종,032-683-0258,032-684-8745,각종 시험기+ 건조기+ 냉장 냉동 공조 장비+ 항온 항습기 등
1352,BASSLIGHT,경기도 부천시 오정구 석천로 397+ 101동 4층 08호 (삼정동+ 부천테크노파크쌍용3차),일반용 전기 조명장치 제조업,032-624-2938,032-624-2937,조명장치
1353,CMD,경기도 부천시 오정구 석천로 466 (삼정동) 1층,그 외 기타 일반목적용 기계 제조업 외 1 종,032-677-9778,032-677-9779,자동화세척기
1354,CMP Solution,경기도 부천시 원미구 부천로198번길 36+ 101동 11층 1103 (춘의동+ 춘의테크노파크),반도체 제조용 기계 제조업,032-665-0121,032-665-0122,반도체장비부품
1355,D.K TECH,경기도 부천시 원미구 부천로198번길 18+ 201동 4층 408호 (춘의동),그 외 기타 플라스틱 제품 제조업 외 1 종,032-662-4066,032-623-8660,플라스틱 기타용품
1356,EF 바이오텍,경기도 부천시 오정구 신흥로470번길 21+ 3층 (내동),반려동물용 사료 제조업 외 1 종,032-672-3285,032-672-3286,단미사료
1357,GGM,경기도 부천시 원미구 옥산로 180 (도당동) 외 1필지,전동기 및 발전기 제조업 외 1 종,032-664-7790,032-611-7791,AC+ DC소형감속모터
1358,GGM,경기도 부천시 소사구 경인로3번길 22 (송내동),전동기 및 발전기 제조업,032-664-7790,032-611-7791,시계제조
1359,GSL TECH,경기도 부천시 원미구부천로332번길 10+3층 (도당동),전구 및 램프 제조업,032-679-3232,032-679-5882,할로겐램프/커피분쇄기
1360,HIMAX,경기도 부천시 오정구 삼작로 22+ 103동 8층 01 (삼정동+ 부천테크노파크),남자용 겉옷 제조업,032-234-0776,032-234-0777,남성용정장+교복
1361,J.C그린휠타,경기도 부천시 원미구 부천로 323+ 6층 602 (도당동+ y-제니스 파크),액체 여과기 제조업,032-684-6723,032-684-6724,정수기필터
1362,JB ENG,경기도 부천시 오정구 삼작로163번길 26+ 1층 (내동),그 외 금속 압형제품 제조업,032-654-4573,032-654-4574,플레이트+ 그릴+ 서스펜션
1363,JM정밀산업,경기도 부천시 오정구 삼작로 22+ 101동 2층 05 (삼정동+ 부천테크노파크),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,032-621-0030,032-621-0029,피아노 안전장치
1364,JOA조아산업,경기도 부천시 원미구 평천로 784-5+ 1층 (도당동),주형 및 금형 제조업,032-677-0755,032-677-0756,금형
1365,JS광고연구소,경기도 부천시 원미구 부흥로433번길 31 (원미동) 1층,간판 및 광고물 제조업,070-8688-1626,,옥외광고물+ 인쇄물
1366,Jiss,경기도 부천시 오정구 석천로442번길 67+ 4층 (삼정동),그 외 기타 의료용 기기 제조업 외 2 종,02-2635-3911,02-2635-3912,살균기 및 의료기기 제조
1367,K&K Tech,경기도 부천시 원미구수도로152번길 15+ B동 1층 (도당동),용기 세척+ 포장 및 충전기 제조업,032-672-5201,032-672-5202,자동포장기계
1368,KSM,경기도 부천시 오정구 삼작로178번길 11 (내동),주형 및 금형 제조업,032-715-6338,032-715-6339,반도체 금형부품
1369,M & A,경기도 부천시 소사구 경인로9번길 43 (송내동),남자용 겉옷 제조업 외 2 종,032-662-4506,032-663-4504,의류
1370,MILL TECH,경기도 부천시 원미구 평천로850번길 20+ 1층 (도당동),주형 및 금형 제조업,032-611-8406,032-611-8405,금형
1371,NTP(Nano Tech Planet),경기도 부천시 오정구 부천로 469-9 (오정동),그 외 기타 특수목적용 기계 제조업 외 2 종,032-684-9466,032-684-9467,화학기상증착기+ 물리기상증착기
1372,PSMP,경기도 부천시 오정구 산업로7번길 7+ 15-5 (오정동+ PSMP공장사옥),주형 및 금형 제조업,032-681-5432,032-681-5433,금형표준품 및 설비부품제조
1373,S&MC,경기도 부천시 오정구 석천로 397+ 102동 1311호(삼정동+ 부천테크노파크쌍용3차),기타 무선 통신장비 제조업,,,무선통신증폭기+ 무선통신설비+ 무선통신 혼합기
1374,S&MC,경기도 부천시 원미구 송내대로 388+ 202동 9층 02 (약대동+ 부천테크노파크),기타 무선 통신장비 제조업,032-542-2820,032-234-0107,통신중계기
1375,S.B다이아몬드,경기도 부천시 오정구 부천로419번길 90+ 2층 (내동),톱 및 호환성 공구 제조업,032-681-3046,032-681-3047,다이아몬드공구
1376,S.U.N엔지니어링,경기도 부천시 원미구 옥산로208번길 44 (도당동) 1층 일부,주형 및 금형 제조업,032-684-2696,032-684-1696,금형
1377,SG엔지니어링,경기도 부천시 원미구 조마루로385번길 122 (춘의동) 삼보테크노타워 433호,기타 물품 취급장비 제조업,032-325-1635,032-325-1636,클린룸용크레인+ 감속기+ 호이스트
1378,SJ과학기계,경기도 부천시 오정구 삼작로164번길 23 (내동),그 외 기타 금속가공업,032-679-4135,032-679-4137,흄후드+ 시약장 등
1379,SJ밸브,경기도 부천시 원미구 조마루로385번길 122+ 3층 301~305호 (춘의동),탭+ 밸브 및 유사장치 제조업,032-270-6783,032-270-6785,밸브
1380,SKY전자,경기도 부천시 원미구부천로377번길 33+2층 (도당동),인쇄회로기판용 적층판 제조업 외 3 종,032-684-8949,032-684-8947,pcb제조
1381,SM LED,경기도 부천시 원미구부천로198번길 36 (춘의동+ 춘의테크노파크) 102동 9층 11호,일반용 전기 조명장치 제조업,070-4189-3457,032-714-3458,LED캠핑등
1382,SM-TECH,경기도 부천시 오정구 석천로 397+ 101동 1층 09호 (삼정동+ 부천테크노파크쌍용3차),주형 및 금형 제조업 외 2 종,032-624-3077,032-624-3078,금형+반도체부품+핸드폰부품
1383,SM정밀,경기도 부천시 오정구 석천로 345+ 304동 2층 210 (삼정동+ 부천테크노파크),주형 및 금형 제조업,032-326-1906,032-326-1907,금형
1384,SOS미디어(주),경기도 부천시 오정구 삼작로 198+ 2층 (내동+ 이원빌딩),유선 통신장비 제조업 외 1 종,032-677-4200,032-677-6421,SED표시장치+ 연선전화기+ 비상전화기
1385,THE BAG 콜랙션,경기도 부천시 오정구 고강로154번길 73+ 지층(고강동+ 찬수빌딩),가방 및 기타 보호용 케이스 제조업,,032-672-6986,가방
1386,TKC,경기도 부천시 오정구 삼작로 22 (삼정동+ 부천테크노파크) 101동 2층 02호,고무패킹류 제조업 외 2 종,032-621-1219,032-621-1220,고무제품+휴대용온도계
1387,Trish McEvoy,경기도 부천시 원미구 부천로198번길 36+ 102동 11층 1101호 (춘의동+ 춘의테크노파크),화장품 제조업,032-651-9300,032-651-8338,파우다+ 팩트+ 아이쉐도우
1388,Y.M테크,경기도 부천시 오정구 오정로 27-27(삼정동+ (주)우일플랜트)),그 외 기타 전자부품 제조업,,,반도체 장비
1389,YK정밀,경기도 부천시 오정구 부천로419번길 55(내동),도금+ 착색 및 기타 표면처리강재 제조업,032-678-0929,032-674-0929,자동차 기계부품
1390,cnf센서,경기도 부천시 오정구 석천로 345+ 202동 9층 06 (삼정동+ 부천테크노파크),기타 측정+ 시험+ 항해+ 제어 및 정밀기기 제조업,032-632-1781,031-327-1774,온도센서
1391,controlbit,경기도 부천시 소사구 옥길동 794-3번지 9층 924호,그 외 기타 전자부품 제조업 외 2 종,032-343-4658,032-342-4659,PASSME2+ MORECO3+ LOCATORX
1392,ok-solu(오케이솔루),경기도 부천시 소사구 부광로 220+ 1004(옥길동+ 우성테크노파크Ⅰ),그 외 기타 분류 안된 금속 가공 제품 제조업,,,비가림 커버+ 이오나이저 브라켓
1393,㈜FA플러스,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 301동 7층 4호,기타 절연선 및 케이블 제조업,032-624-3500,,케이블하네스
1394,㈜경인푸드,경기도 부천시 오정구 수도로159번길 12+ 1층 일부(내동),가금류 가공 및 저장 처리업,032-671-9861,032-671-9860,닭고기 가공품
1395,㈜대성전자통신,경기도 부천시 오정구 삼작로 22+ (삼정동+ 부천테크노파크) 103동 9층 901호,절연 코드세트 및 기타 도체 제조업,032-329-5702,,하네스
1396,㈜로엔그린,경기도 부천시 오정구 석천로 345+ 303동 1층 105 (삼정동+ 부천테크노파크),식품 위생용 종이 상자 및 용기 제조업,070-7460-2020,,종이컵
1397,㈜비츠,경기도 부천시 오정구 오정로 27-21+ 3층 제조공장(삼정동),일반용 전기 조명장치 제조업 외 1 종,070-4277-2858,031-630-3815,조명기구
1398,㈜에스디글로벌농업회사법인,경기도 부천시 오정구 석천로380번길 57-32(삼정동),가금류 가공 및 저장 처리업 외 4 종,032-679-0176,032-675-7445,식품첨가물
1399,㈜오주산업,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 302동 지1층 B01호,그 외 기타 일반목적용 기계 제조업 외 1 종,032-624-1551,,수소탱크제작장비+ PE절연밴드+ 수소탱크제작장비+ PE절연밴드
1400,㈜이레에프에이,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 303동 8층 7호,배전반 및 전기 자동제어반 제조업 외 1 종,032-323-0300,032-624-0290,각도센서+ 자동제어판넬+ 흔들림방지장치
1401,㈜트루어버트먼트코리아,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 104동 2층 214~216호,치과용 기기 제조업,032-678-4688,032-624-4689,치과용 의료기기
1402,㈜트루어버트먼트코리아,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 101동 13층 1308~1309호,치과용 기기 제조업,032-678-4688,032-624-4689,치과용 기기
1403,㈜티에스,경기도 부천시 오정구 부천로425번길 39+ 1층 (내동),절삭가공 및 유사처리업 외 1 종,032-677-4393,032-677-4363,알약검사기+ 재활로봇 부품
1404,㈜한진덤웨이터,경기도 부천시 원미구 정주로 53+ 706호(약대동+ 신중동 더퍼스트 지식산업센터),건물용 기계.장비 설치 공사업,,,덤웨이터
1405,信一나스텍,경기도 부천시 오정구 대장로 183 (대장동),그 외 기타 특수목적용 기계 제조업 외 2 종,032-671-4702,02-2643-4397,기계제작및곡물추출
1406,가나안 코스매틱,경기도 부천시 오정구 신흥로413번길 52+ 4층 (삼정동),가방 및 기타 보호용 케이스 제조업,032-614-1711,032-614-1712,화장품케이스
1407,가나전자공업(주),경기도 부천시 원미구부천로 369 (도당동),기타 주변기기 제조업 외 2 종,032-676-4200,032-675-8825,모뎀+전자부품
1408,가나콘트롤이엔지(주),경기도 부천시 원미구 원미로 246 (춘의동),에너지 저장장치 제조업 외 2 종,02-865-9972,032-677-9974,가버너아쎄이+콘트롤러
1409,가나텍,경기도 부천시 오정구 오정로 27-13+ 1층 가나텍(삼정동),그 외 기타 의료용 기기 제조업 외 1 종,032-681-2001,,티타늄제품 및 수처리 장치 제작
1410,가디언,경기도 부천시 원미구원미로 205+ 402+403호 (춘의동+ 삼륭인더스파크),방송장비 제조업,032-656-8568,032-656-8569,CCTV 카메라
1411,가락전자(주),경기도 부천시 원미구 평천로 655+ 402동 9층 02~05 (약대동+ 부천 테크노파크),기타 음향기기 제조업 외 9 종,032-621-0001,032-621-0022,음향+영상기기
1412,가람기획,경기도 부천시 원미구 길주로444번길 26 (춘의동),플라스틱 접착처리 제품 제조업 외 1 종,032-612-6536,032-612-6535,실크스크린인쇄
1413,가스웨이텍(주),경기도 부천시 원미구 정주로 53+ 더퍼스트 지식산업센터 604호 (약대동),증류기+ 열교환기 및 가스발생기 제조업,032-671-2770,032-543-2779,증류수+ 열교환기 및 가스발생기
1414,가온벼리,경기도 부천시 오정구  석천로 397 (삼정동) 301동 1층 3-6호,방송장비 제조업,,032-204-6068,cctv 카메라
1415,가온컴퍼니,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 1512 일부호,빵류 제조업 외 1 종,032-326-0984,032-325-2592,식품 소스(불고기+ 철판+ 숯불고기 소스)
1416,가온테크,경기도 부천시 오정구 삼작로79번길 37+ 가동2호 (삼정동),주형 및 금형 제조업,,032-661-4009,사출성형금형
1417,가원패션그래픽,경기도 부천시 원미구조마루로 405 (원미동) 4층,기타 인쇄업 외 2 종,,032-611-3689,의류+ 원단 프린팅
1418,가화,경기도 부천시 오정구 오정로 140+ 지층(내동),그 외 기타 분류 안된 섬유제품 제조업 외 1 종,032-679-3535,032-679-3566,샤워타올+ 수세미 등
1419,갑승파워시스템,경기도 부천시 오정구 석천로 345+ 302동 7층 03호 (삼정동+ 부천테크노파크),전기회로 개폐+ 보호장치 제조업 외 4 종,032-325-9944,032-325-9956,전원장치+ 반도체검사기+ 제어기시험장치 등
1420,갑을코팅,경기도 부천시 원미구 조마루로415번길 11 (원미동),도장 및 기타 피막처리업,032-664-7704,032-664-7769,도장및기타피막처리업
1421,강림메디텍,경기도 부천시 원미구 송내대로 388+ 201동 B1층 B01 (약대동+ 부천테크노파크),그 외 기타 의료용 기기 제조업,032-324-9950,032-324-0603,의료기기의자+진료대
1422,강산식품,경기도 부천시 원미구 부천로198번길 37+ G동 3층 (춘의동+ 우리전기㈜),천연 및 혼합조제 조미료 제조업,032-657-0992,032-657-0996,소스류
1423,거성밸브,경기도 부천시 원미구  부천로357번길 21 (도당동),탭+ 밸브 및 유사장치 제조업,032-675-0931,032-679-0433,밸브(소방밸브)
1424,거화환경산업(주),경기도 부천시 원미구 평천로826번길 34 (도당동),산업용 송풍기 및 배기장치 제조업 외 1 종,032-682-6636,032-614-9551,환경설비+ 산업기계
1425,거화환경산업(주),경기도 부천시 원미구 평천로832번길 39+ 1층+ 4층 (도당동),산업용 송풍기 및 배기장치 제조업 외 1 종,032-682-6636,032-682-6698,산업용 송풍기+ 배기장치 
1426,거화환경산업(주),경기도 부천시 원미구 평천로832번길 17 (도당동),산업용 송풍기 및 배기장치 제조업 외 1 종,032-682-6636,032-682-6698,집진기
1427,거화환경산업(주),경기도 부천시 오정구 수도로125번길 13(내동+ 거화환경산업(주)),산업용 송풍기 및 배기장치 제조업 외 1 종,032-682-6636,032-682-6698,집진기 및 환경설비
1428,건영자동화시스템,경기도 부천시 원미구 조마루로411번길 72 (원미동+ 건영자동화시스템),전자기 측정+ 시험 및 분석기구 제조업,032-672-7473,032-661-9885,PDP AGING 브라운관검사설비
1429,건호전자,경기도 부천시 원미구 평천로850번길 13 (도당동),기타 1차 비철금속 제조업,032-684-8598,032-684-8599,휴대폰부품
1430,걷다,경기도 부천시 원미구 원미로225번길 7+ 2층 (춘의동),기타 직물제품 제조업 외 23 종,,,야광조끼+ 여행가방+ 운동복
1431,경덕금속,경기도 부천시 오정구 석천로468번길 32-24+ (2층일부) (삼정동),구조용 금속 판제품 및 공작물 제조업,032-673-8181,032-684-8181,세면기용배수연결관
1432,경도정밀,경기도 부천시 오정구 산업로8번길 66 (오정동),주형 및 금형 제조업,032-676-3419,032-676-3416,금형제조
1433,경민금형,경기도 부천시 오정구 삼작로 22+ 103동 1층 105 (삼정동+ 부천테크노파크),주형 및 금형 제조업,032-621-1819,032-621-1819,금형
1434,경성기계,경기도 부천시 원미구 길주로425번길 127 (도당동),금속 절삭기계 제조업,032-677-7617,032-677-7618,전파 차폐기 케이스&부품+ 정밀기계부품
1435,경성무역,경기도 부천시 오정구 고강로 16 (원종동),비 및 솔 제조업,032-676-2678,032-677-1568,브러쉬
1436,경성이엔지테크,경기도 부천시 원미구 조마루로385번길 129 (춘의동),속도계 및 적산계기 제조업 외 2 종,032-667-4621,032-611-0625,기타음향기기+액체적안기
1437,경수피앤티산업,경기도 부천시 오정구 신흥로425번길 54-19+ 1~2층 (삼정동),기어 및 동력전달장치 제조업,032-682-3080,032-682-3081,산업용 전동부품
1438,경신금속공업사,경기도 부천시 소사구 경인로60번길 14-4 (송내동),자동차용 금속 압형제품 제조업 외 1 종,032-654-5585,032-653-5097,금속압형제품
1439,경우산업(주),경기도 부천시 오정구 오정로 34-1 (삼정동),금속 절삭기계 제조업 외 1 종,032-677-8128,032-677-8129,머시닝센터
1440,경은산업,경기도 부천시 원미구 조마루로385번길 64+ 3층 (원미동),도장 및 기타 피막처리업,032-666-2922,032-665-2922,액제도장 및 실크인쇄
1441,경인산업,경기도 부천시 오정구 부천로419번길 105 (내동),플라스틱 접착처리 제품 제조업 외 2 종,032-507-7671,032-507-7673,화장품용기+캡등 표면가공
1442,경인엔지니어링프라스틱,경기도 부천시 오정구 옥산로289번길 28 (내동),주형 및 금형 제조업 외 2 종,032-674-0209,032-676-9971,플라스틱 전자부품
1443,경인유화,경기도 부천시 오정구 산업로8번길 22-4 (오정동),주형 및 금형 제조업,032-663-5189,032-612-5189,금형부품금형
1444,경인정밀,경기도 부천시 오정구 부천로435번길 17 (내동),용기 세척+ 포장 및 충전기 제조업,032-679-4834,032-684-4834,포장기계부품
1445,경인텔레콤,경기도 부천시 오정구 석천로 345+ 304동 10층 1001호 (삼정동+ 부천테크노파크),유선 통신장비 제조업,032-324-9886,032-324-9994,TV공청기
1446,경인팩,경기도 부천시 소사구 양지로 229 (옥길동+ 골든IT타워) 4층 438호 외 1필지,농업 및 임업용 기계 제조업 외 1 종,032-341-9111,031-312-9111,농업용 결속장비
1447,경인팩,경기도 부천시 소사구 범안로178번길 18-10 (계수동),농업 및 임업용 기계 제조업 외 1 종,032-341-9111,032-345-8784,결속기
1448,경일전자(주),경기도 부천시 오정구 부천로391번길 47 (내동),전자저항기 및 전자카드 제조업,032-678-0320,032-678-0322,저항기
1449,경호기계,경기도 부천시 오정구 오정로211번길 35-19 (오정동),고무+ 화학섬유 및 플라스틱 성형기 제조업 외 1 종,032-672-3508,032-672-3509,사출성형기
1450,경훈시스템,경기도 부천시 원미구 길주로425번길 77+ 나동 2층 (도당동),기타 절연선 및 케이블 제조업 외 3 종,032-652-8277,032-652-8278,절연선
1451,고구려엔지니어링(주),경기도 부천시 오정구 삼작로95번길 46-9 (삼정동),철도차량 부품 및 관련 장치물 제조업 외 8 종,02-2696-3267,02-2696-3297,철도차량방송장치+ 화재감지장치
1452,고니데코,경기도 부천시 오정구 석천로 397+(일부) (삼정동+ 부천 테크노파크 쌍용3차) 302동 10층 1003호,그 외 기타 플라스틱 제품 제조업,,032-624-2022,주방용품
1453,고려산업,경기도 부천시 오정구 오정로96번길 7-13+ 1층 (삼정동),도장 및 기타 피막처리업,032-681-4086,032-681-4087,방열판 표면처리
1454,고려산업사,경기도 부천시 원미구 부천로198번길 36 (춘의동) 101동 1층 101호,기타 전기 변환장치 제조업 외 2 종,032-683-6563,032-668-5826,전구+ 전기용품
1455,고려웍스(주),경기도 부천시 오정구  석천로 397 (삼정동) 303동 6층 602호,그 외 자동차용 신품 부품 제조업 외 1 종,032-624-0880,032-624-0886,차량용 DVR+ 어라운드뷰 모니터링 시스템+ 후방 카메라(PAS)
1456,고려케미칼,경기도 부천시 오정구 신흥로470번길 97 (오정동),건강보조용 액화식품 제조업,032-684-2551,032-684-2555,건강식품
1457,고려패킹 주식회사,경기도 부천시 소사구 양지로 237 (옥길동+ 광양프런티어밸리 5차 지식산업센터) 3층 315호 외 3필지,고무패킹류 제조업 외 1 종,02-2634-4264,,가스켓
1458,고성테크,경기도 부천시 오정구 오정로71번길 23-23+ 고성테크 (삼정동),주형 및 금형 제조업,032-0086-5793,032-681-5794,프레스금형
1459,고은시스템,경기도 부천시 원미구 옥산로 239 (도당동),그 외 기타 플라스틱 제품 제조업,032-671-4495,032-679-3146,머리핀
1460,골든벨물산,경기도 부천시 오정구 삼작로107번길 65+ 지하 (삼정동),가방 및 기타 보호용 케이스 제조업 외 2 종,031-511-9842,031-511-9842,가방및가죽류
1461,골든아이(주),경기도 부천시 오정구 삼작로95번길 19 (삼정동) 1층,기타 기계.장비 조립용 플라스틱 제품 제조업,032-675-4329,070-4961-7178,전기자동차용 충전기부품
1462,공간우드,경기도 부천시 원미구 조마루로385번길 122+ 1610호 (춘의동+ 삼보테크노타워) 1610호,기타 목재가구 제조업,032-665-1222,032-666-1222,가구+ 주방가구+ CNC가공+ 아크릴가공+ 3D프린터 소품제작
1463,공명전기,경기도 부천시 원미구 정주로 61+ 1층 (약대동),기타 전기 변환장치 제조업 외 2 종,032-675-3884,032-676-2840,인버터
1464,광명사,경기도 부천시 원미구부천로 361-1 (도당동),일반용 전기 조명장치 제조업,032-674-8574,032-674-8577,조명기구
1465,광명전기(주),경기도 부천시 오정구 오정로 82 (삼정동) 1층,일반용 전기 조명장치 제조업 외 1 종,032-653-0212,032-653-0216,조명기구+ 전기부품
1466,광명전자,경기도 부천시 원미구도약로 261 (도당동+ 부천대우테크노파크) A동 5층 07호,기타 전기 변환장치 제조업 외 1 종,032-670-8999,032-670-8999,센서등+ 안정기
1467,광성기공사,경기도 부천시 원미구 평천로862번길 9 (도당동),기타 섬유+ 의복 및 가죽 가공 기계 제조업,032-683-3221,032-683-3223,섬유기계제조
1468,광성라이텍,경기도 부천시 원미구평천로 797-7+2층 (도당동),기타 전기 변환장치 제조업 외 4 종,032-431-6201,032-435-5860,가로등 안정기 등기구
1469,광성초경공구,경기도 부천시 원미구 부천로198번길 18+ 202동 4층 06호 (춘의동+ 춘의테크노파크II),목재 도구 및 주방용 나무제품 제조업 외 1 종,032-623-0989,032-623-0987,목재용공구 및 보링공구
1470,광성콘넥타 주식회사,경기도 부천시 오정구 옥산로 263+ 301호 중 일부(302-2호 남측의 동측+공용면적포함)(내동+ 하나빌딩),절연 코드세트 및 기타 도체 제조업,032-612-3967,032-613-3926,하네스
1471,광일개발,경기도 부천시 원미구  부천로198번길 18+ 201동 5층 08호 (춘의동+ 춘의테크노파크II),날붙이 제조업 외 2 종,032-623-0961,032-623-0962,코털깎이
1472,광진금형,경기도 부천시 원미구 정주로48번길 9 (도당동),주형 및 금형 제조업,032-664-2420,032-679-6485,금형
1473,광진정공,경기도 부천시 오정구 삼작로171번길 40+ 1층 (내동),금속 캔 및 기타 포장용기 제조업 외 1 종,032-676-0596,032-684-1020,금속압형제품+ 금속압형제품
1474,광흥프라텍,경기도 부천시 원미구 옥산로184번길 16 (도당동),기타 인쇄업 외 3 종,032-684-0180,032-684-8607,산업용플라스틱+
1475,교진기업,경기도 부천시 오정구 삼작로233번길 57+ 2층 202 (내동+ 다우테크노타운),그 외 기타 플라스틱 제품 제조업 외 1 종,032-215-6974,032-215-6972,플라스틱제품+금형
1476,구성앤베리타스,경기도 부천시 원미구 부천로208번길 67+ 4층 (춘의동),자동차 차체용 신품 부품 제조업 외 2 종,032-613-6437,032-614-6437,교복자켓+ 교복자켓+ 카메트
1477,구일고주파,경기도 부천시 원미구 정주로 57 (약대동),금속 열처리업,032-671-7973,032-672-8547,금속열처리
1478,구일유나이티 주식회사,경기도 부천시 소사구 양지로 237+ 지식산업센터 1031호(옥길동+ 광양프런티어밸리 5차),배전반 및 전기 자동제어반 제조업,02-6264-8430,02-6267-6641,계측및 자동제어시스템
1479,국보금속,경기도 부천시 오정구 부천로 433 (내동),도금업,032-674-3525,032-672-1244,도금업
1480,국일건설(주),경기도 부천시 원미구 도약로 261 (도당동+ 부천대우테크노파크) B동 1008(일부)호,금속 문+ 창+ 셔터 및 관련제품 제조업 외 2 종,032-651-0192,032-665-0192,플로어게이트(홍수비상구)+ 차수판(물막이판)+ 개량형배관지지대
1481,국제방전,경기도 부천시 원미구 부천로264번길 35 (도당동),전자 응용 절삭기계 제조업 외 2 종,032-677-2865,,방전가공기
1482,국제통신,경기도 부천시 원미구  지봉로 76 (역곡동),유선 통신장비 제조업 외 8 종,032-341-4414,032-341-4413,유.무선통신장치
1483,국제통신전기(주),경기도 부천시 오정구 석천로 397+ 102동 11층 1110호 (삼정동+ 부천테크노파크쌍용3차),기타 전기 변환장치 제조업 외 4 종,032-624-0828,032-624-0829,정류기+ 무전정전원장치+AVR
1484,국진과미래(주),경기도 부천시 오정구 삼작로177번길 67+ 2층 (내동),산업용 섬유 세척+ 염색+ 정리 및 가공 기계 제조업,032-676-1781,032-674-1781,염조제 자동화설비기계
1485,그라프너(주),경기도 부천시 원미구 부천로198번길 18 (춘의동+ 춘의테크노파크II) 202동 8층 801호,그 외 기타 전자부품 제조업 외 2 종,032-623-0700,032-623-0720,충전기+서보+변속기+드론
1486,그레이스 콘티넨탈 코리아(주),경기도 부천시 오정구 삼작로 22+ 101동 1층 03 (삼정동+ 부천테크노파크) 외 1필지,합성수지 및 기타 플라스틱 물질 제조업,032-328-0121,032-328-0128,실리콘
1487,그린웰,경기도 부천시 원미구 도약로 288-1 (도당동),천연 및 혼합조제 조미료 제조업 외 1 종,070-7636-9992,032-670-8993,소스류+ 떡류
1488,그린종합상사,경기도 부천시 원미구 수도로 140+ 1층 (도당동),안전유리 제조업,02-2694-2642,02-2694-2643,강화유리도어+ 강화유리 
1489,그린테크,경기도 부천시 소사구 송내대로42번길 93+ 지층 (송내동),기체 여과기 제조업,,,자동차 효율증가장치+ 매연저감장치
1490,극광전자(주),경기도 부천시 원미구 원미로177번길 57 (원미동),전자축전기 제조업,032-681-9603,032-673-9111,축전지
1491,극기정공,경기도 부천시 오정구 오정로190번길 40+ 2층 극기정공(오정동),기타 기계.장비 조립용 플라스틱 제품 제조업,032-681-9910,032-681-9910,플라스틱 용기
1492,극동산업,경기도 부천시 오정구 부천로431번길 11 (내동),천막+ 텐트 및 유사 제품 제조업 외 1 종,032-683-5264,032-681-5264,차양막+파라솔
1493,근아공업사,경기도 부천시 원미구 조마루로411번길 11 (원미동),반도체 제조용 기계 제조업,032-655-0389,032-612-0393,기계부속품
1494,근화산업,경기도 부천시 오정구 수도로95번길 26+ 3층 (내동),운송장비 조립용 플라스틱제품 제조업 외 1 종,032-681-8239,032-683-8239,플라스틱사출
