연번,시군,회사명,공장대표주소(도로명),전화번호,주생산품
5716,옥천군,주식회사 범성,충청북도 옥천군 군서면 동평리 612-63번지,043-732-4027,"금속 문, 창, 셔터 및 관련제품 제조업"
5717,옥천군,주식회사 보성오토,충청북도 옥천군 군서면 동평리 606-1,,자동차용 엔진 재제조
5718,옥천군,주식회사 비움사랑,충청북도 옥천군 옥천읍 교동리 23,043-731-3175,"콩가루, 전두부"
5719,옥천군,주식회사 선식품,충청북도 옥천군 동이면 평산리 1068,042-273-4915,볶음참깨
5720,옥천군,주식회사 씨더스 농업회사법인,충청북도 옥천군 군서면 월전리 77-2번지,042-710-4035,"화분, 가정용 식물재배기"
5721,옥천군,주식회사 에이스에어,충청북도 옥천군 군서면 동평리 606-1,042-636-0051,공기압축기
5722,옥천군,주식회사 엘림,충청북도 옥천군 옥천읍 교동리 273번지 외 1필지,043-731-2300,표면가공목재
5723,옥천군,주식회사 오형에프앤비,충청북도 옥천군 군북면 증약리 342-1,,쫀드기
5724,옥천군,주식회사 융전,충청북도 옥천군 동이면 평산리 1142번지 외 1필지,043-732-0004,복합비료
5725,옥천군,주식회사 융전,충청북도 옥천군 청산면 인정리 1374번지,043-732-0004,"농약제조,태양광발전"
5726,옥천군,주식회사 은성,충청북도 옥천군 동이면 평산리 903-0 공장,,"축산용 환풍기, 산업용 환풍기, 송아지용 보온등, 축산용 자동급수기"
5727,옥천군,주식회사 이엔오,충청북도 옥천군 이원면 윤정리 산 18-13 외 1필지,,플라스틱 판넬
5728,옥천군,주식회사 젠텍,충청북도 옥천군 옥천읍 양수리 57-4,043-731-0991,대형 파라솔
5729,옥천군,주식회사 지오건설산업,충청북도 옥천군 동이면 적하리 1151,043-732-3799,"징크강판, 칼라강판"
5730,옥천군,주식회사 케이엠피,충청북도 옥천군 옥천읍 동안리 97-5,043-731-1901,마스크
5731,옥천군,주식회사 한국건설산업,충청북도 옥천군 옥천읍 양수리 276-3번지 외 1필지,043-733-7203,하우스자재
5732,옥천군,주식회사 화성산업,충청북도 옥천군 옥천읍 양수리 350-3번지,043-732-6256,"플라스틱, 포트"
5733,옥천군,주식회사비젼케어텍,충청북도 옥천군 옥천읍 가풍리 1115 전략산업클러스터센터 106호,043-733-8022,연속착용 하드콘택트렌즈
5734,옥천군,주식회사비젼케어텍,충청북도 옥천군 옥천읍 가풍리 1115 전략산업클러스터센터 106호,043-733-8022,광학렌즈
5735,옥천군,주식회사하이닥,충청북도 옥천군 군북면 이백리 683-58 상점 2층,042-525-8999,"양념계육, 양념정육"
5736,옥천군,주영제분(주),충청북도 옥천군 옥천읍 교동리 195-2,043-733-9200,냉면 가루
5737,옥천군,중앙공업사,충청북도 옥천군 옥천읍 죽향리 242-4번지 공장 외 1필지,043-733-5632,건설기계부품
5738,옥천군,중앙바이오(주),충청북도 옥천군 군북면 증약리 443-2번지 공장,043-733-8662,곡물가공품
5739,옥천군,중앙식품산업사,충청북도 옥천군 동이면 적하리 1243-5번지 외 1필지,043-731-0041,국산차(율무차)
5740,옥천군,지엘캄퍼니,"충청북도 옥천군 옥천읍 가풍리 1130 옥천의료기기 보육센터 105호, GMP 106호",043-831-0547,마이크로 니들
5741,옥천군,지원이엔지,충청북도 옥천군 청산면 인정리 1368-1,043-762-7660,일체형수배전반
5742,옥천군,진벌꿀푸딩,충청북도 옥천군 안남면 지수리 425,,"꿀떡, 떡볶이밀키트, 프로폴리스환, 켄들"
5743,옥천군,진성이엔지,충청북도 옥천군 옥천읍 교동리 84-1번지 창고,043-732-0804,"컨테이너, 이동식주택, 농막"
5744,옥천군,진영산업,충청북도 옥천군 동이면 세산리 831번지 공장 외 1필지,043-732-4883,포장용기
5745,옥천군,진원생명과학(주),충청북도 옥천군 이원면 건진리 226번지,02-527-0616,"면,화섬포가공"
5746,옥천군,참맛식품,충청북도 옥천군 옥천읍 삼청리 345-1번지,043-733-9116,"냉면, 육수"
5747,옥천군,창대유리산업,충청북도 옥천군 동이면 남곡리 524-2번지,043-732-5401,판유리 제품
5748,옥천군,채움푸드,충청북도 옥천군 옥천읍 양수리 204-1번지,070-8234-4517,순대 및 편육
5749,옥천군,청정이에스(주),충청북도 옥천군 동이면 적하리 1136-10 공장 2층,043-733-4801,"상수처리장치, 하수처리장치, 계장제어, 프로세스제어반"
5750,옥천군,청정테크주식회사,충청북도 옥천군 동이면 적하리 1136-10 공장,041-837-4601,"상수처리장치, 하수처리장치"
5751,옥천군,청주금속주물,충청북도 옥천군 이원면 미동리 240-2 외 1필지,043-218-8961,주방조리용품
5752,옥천군,친환경우리소영농조합법인,충청북도 옥천군 옥천읍 구일리 389-1,043-732-8822,유기질비료
5753,옥천군,칠형제공업,충청북도 옥천군 군북면 증약리 557-2번지 외 1필지,043-733-7469,전자부품 및 농기계 노즐
5754,옥천군,칠형제공업,충청북도 옥천군 군북면 증약리 469-15 외 3필지,,전자부품 및 농기계 노즐
5755,옥천군,카르페디엠,충청북도 옥천군 군북면 증약리 469-17 외 2필지,,커피 그라인더
5756,옥천군,캠핑나들이(주),충청북도 옥천군 동이면 지양리 1153-1번지,043-731-4178,소형캠핑카라반
5757,옥천군,케이비아이코스모링크(주),충청북도 옥천군 이원면 건진리 449번지,043-730-5114,절연전선 및 에나멜동선
5758,옥천군,코디텍,충청북도 옥천군 동이면 지양리 662번지,043-731-6870,프라스틱류 도장
5759,옥천군,코리아나타올 주식회사,충청북도 옥천군 옥천읍 마암리 156-8번지,,면타올
5760,옥천군,코리아나타올제직1부,충청북도 옥천군 옥천읍 마암리 156-8,,위생수건(타월)
5761,옥천군,코리아나타올제직2부,충청북도 옥천군 옥천읍 마암리 156-8,,타올
5762,옥천군,코리아에이스타올(주),충청북도 옥천군 군북면 증약리 476-1,042-635-3100,타올(수건)
5763,옥천군,코리아에이스타올(주) 지점,충청북도 옥천군 동이면 세산리 1334번지,043-731-3004,면직물
5764,옥천군,코리아특장자동차(주),충청북도 옥천군 옥천읍 양수리 60번지 외 6필지,043-0731-8161,특장차(윙바디)
5765,옥천군,코리아특장자동차(주),충청북도 옥천군 옥천읍 구일리 산79-5,043-731-8161,"윙바디, 덤프, 내장탑파워게이트, 트랜스파워게이트 외"
5766,옥천군,태경콘크리트(주),충청북도 옥천군 군서면 월전리 2번지,043-731-2277,콘크리트 배수로
5767,옥천군,태백가스산업(주),충청북도 옥천군 옥천읍 매화리 2-1번지 공장,042-537-2288,"가스공급시스템, 가스케비닛"
5768,옥천군,태산기계공업(주),충청북도 옥천군 옥천읍 구일리 833번지 외 1필지,043-733-8791,농업용기계조립생산 및 부품도장
5769,옥천군,태산스틸,충청북도 옥천군 동이면 세산리 980번지,043-732-2902,지붕자재 칼라강판
5770,옥천군,투윈시스템(주),충청북도 옥천군 안내면 서대리 365-6번지 외 1필지,043-731-1713,놀이터장비
5771,옥천군,페리지에어로스페이스(주),충청북도 옥천군 군서면 오동리 17-2,042-710-3513,우주선 운반용 로켓의 동체 부분품
5772,옥천군,푸른농산,충청북도 옥천군 옥천읍 동안리 54-13번지,043-731-1749,김치
5773,옥천군,풍미명과,충청북도 옥천군 군북면 이백리 577-1번지,043-731-9201,과자
5774,옥천군,하나섬유,충청북도 옥천군 옥천읍 삼청리 348번지,042-525-4283,실 가공제품
5775,옥천군,한국드라이베아링(주),충청북도 옥천군 옥천읍 동안리 163-12번지 외 2필지,043-733-9361,"드라이베어링,붓싱"
5776,옥천군,한국석유공업(주),충청북도 옥천군 옥천읍 동안리 130-6번지,043-733-9300,방수시트.열수축관
5777,옥천군,한국석유공업(주),충청북도 옥천군 청산면 인정리 1369 외 2필지,02-799-3114,노출용 방수 sheet
5778,옥천군,한국수출포장,충청북도 옥천군 군서면 사정리 234번지,043-733-5564,"목재,상자"
5779,옥천군,한미푸드,충청북도 옥천군 옥천읍 구일리 828번지,043-731-9160,"튀김가루, 양념소스"
5780,옥천군,한밭타올,충청북도 옥천군 군서면 사정리 236번지,,타올
5781,옥천군,한비스톤,충청북도 옥천군 동이면 적하리 1049-1번지,,콘크리트 타일
5782,옥천군,한빛테크,충청북도 옥천군 군북면 증약리 469-9 외 3필지,042-621-1072,사출금형
5783,옥천군,한영기계(주),충청북도 옥천군 동이면 적하리 960-8번지,043-733-0434,"볼트,스크류"
5784,옥천군,한우영농조합법인맥우,충청북도 옥천군 군서면 월전리 35 외 4필지,043-732-9301,도축업(육류)
5785,옥천군,한일피엔티(주),충청북도 옥천군 군북면 증약리 420-5번지,043-731-2515,특수시멘트(애니콘)
5786,옥천군,한일후드(주),충청북도 옥천군 청산면 효목리 578번지,043-733-2570,"만두류,우동,냉면"
5787,옥천군,한진정공,충청북도 옥천군 옥천읍 삼청리 882-1번지 외 1필지,043-733-5934,자동차부품
5788,옥천군,합자회사 호성산업,충청북도 옥천군 군북면 이백리 551-12번지,043-732-5700,"태양광발전시설지지대, 태양광가로등지지대, 가로등주및등기구"
5789,옥천군,행복담기(주),충청북도 옥천군 옥천읍 문정리 292-1 공장,043-731-1114,"훈제계란, 구운계란, 반숙계란, 깐메추리알, 깐계란 등"
5790,옥천군,향미김치,충청북도 옥천군 동이면 적하리 960-11,043-733-9745,김치
5791,옥천군,향수한우티엠알공장영농조합법인,충청북도 옥천군 옥천읍 삼청리 39-6번지,043-733-7778,사료
5792,옥천군,현대오피스 유한책임회사,충청북도 옥천군 옥천읍 서대리 0 현대오피스 옥천공장,1566-3445,사무용품
5793,옥천군,형제콘테이너,충청북도 옥천군 동이면 세산리 10-3번지 외 3필지,043-731-2262,콘테이너
5794,옥천군,호산비전,충청북도 옥천군 옥천읍 동안리 163-10 공장,043-731-5421,측조시비기.제초제살포기.예초기
5795,옥천군,호산테크(주),충청북도 옥천군 옥천읍 동안리 163-10번지,043-731-5422,농업용기계
5796,옥천군,화신금형사,충청북도 옥천군 군북면 증약리 187-7번지,043-732-5632,사출금형제작 및 사출성형
5797,옥천군,화인식품,충청북도 옥천군 동이면 지양리 927번지 화인식품,043-733-6352,소스류
5798,옥천군,화인테크,충청북도 옥천군 옥천읍 마암리 160번지,043-732-3130,농기계부품(유압호스)
5799,옥천군,효성정공,충청북도 옥천군 군북면 이백리 374-11,043-731-9016,주형 및 금형
5800,옥천군,효원,충청북도 옥천군 옥천읍 구일리 0,,"프레스, 금형(특장차량용 부품제조)"
5801,영동군,(유)동일특수콘크리트,충청북도 영동군 황간면 황간동로 456 ,043-744-3101,"벤치플륨관, 수로관, 블럭, 콘크리트 벽돌"
5802,영동군,(유)인간문화재난계국악촌,충청북도 영동군 심천면 국악로 5 ,043-742-7288,가야금
5803,영동군,(주)가림환경개발,충청북도 영동군 용산면 한석천작로 59 ,043-744-3338,"토양개량제, 비료"
5804,영동군,(주)고려노벨화약,충청북도 영동군 용산면 용심로 1016 ,043-742-9188,불꽃제품화학물
5805,영동군,(주)그라코영동공장,충청북도 영동군 용산면 남부로 1334 ,043-742-8183,가탄재
5806,영동군,(주)나우켐,충청북도 영동군 용산면 영동산단로 51-17,,"비료, 단미사료, 요소수"
5807,영동군,(주)나우테크,"충청북도 영동군 영동읍 대학로 310, 15동 409-1호",,재난안전시스템
5808,영동군,(주)다온찬,충청북도 영동군 용산면 용심로 1284 ,043-743-1777,"김치류(포기김치,깍두기)"
5809,영동군,(주)단해 1공장,충청북도 영동군 추풍령면 신안로 210-4,02-2691-8888,공기압부품
5810,영동군,(주)단해 2공장,충청북도 영동군 추풍령면 지봉리 386-1번지,02-2691-8888,공압기기
5811,영동군,(주)대안네이온,충청북도 영동군 양강면 남전3길 80-51 ,043-744-2700,일라이트분말
5812,영동군,(주)도화,충청북도 영동군 영동읍 설계리 12-1번지,043-744-5548,헛개진액
5813,영동군,(주)동영,충청북도 영동군 심천면 용당로 190,043-742-2005,수로관
5814,영동군,(주)동우신소재,충청북도 영동군 용산면 법화공단길 38,043-743-6712,용접봉원료
5815,영동군,(주)동원피앤피,충청북도 영동군 용산면 영동산단로 12,,액체펌프
5816,영동군,(주)메덱스,충청북도 영동군 양강면 번지레길 169-27,031-628-3910,"일라이트 보조사료제, 일라이트 토양개량제"
5817,영동군,(주)메덱스힐링,"충청북도 영동군 양강면 번지레길 169-27, 다동",031-881-5590,일라이트 성형제품
5818,영동군,(주)미소인,충청북도 영동군 영동읍 오정길 93-14 ,043-744-0545,목욕용품(각질제거기)
5819,영동군,(주)바이오에이드,충청북도 영동군 용산면 금곡리 11-1번지,043-742-0017,"토지개량비료, 희토분말비료, 유기질비료, 배합사료"
5820,영동군,(주)백신,충청북도 영동군 추풍령면 신안로 228,043-745-7750,화장품
5821,영동군,(주)범증,충청북도 영동군 영동읍 오정1길 104,043-745-6500,"도료,  흙콘크리트"
5822,영동군,(주)벽산영동공장,충청북도 영동군 용산면 남부로 1500-42,043-742-0704,"암면,바닥재"
5823,영동군,㈜비이텍,충청북도 영동군 용산면 영동산단로 77,041-418-5005,"인조잔디, 카펫메트"
5824,영동군,(주)삼광에프이에스,충청북도 영동군 황간면 소계리 153-1번지,043-744-4310,사료기계
5825,영동군,(주)선일산업개발,충청북도 영동군 매곡면 민주지산로 3819 ,043-744-7040,철구조물
5826,영동군,(주)성하영동공장,충청북도 영동군 용산면 남부로 1334 ,043-742-8163,"토상흑면, 인조흑연"
5827,영동군,(주)세기에어시스템,충청북도 영동군 용산면 영동산단로 118,042-825-1919,"산업용 기화식 냉풍기, 산업용 송풍기 및 배기장치"
5828,영동군,(주)시루,충청북도 영동군 용산면 용심로 1284 ,043-744-6337,"한과류, 떡류"
5829,영동군,(주)신아,충청북도 영동군 용산면 한석천작로 81,043-744-2962,콘크리트 관 및 기타 구조용 콘크리트 제품
5830,영동군,(주)신안주철,충청북도 영동군 용산면 법화공단길 72 ,043-743-1090,상하수도 주철관
5831,영동군,(주)신안주철,충청북도 영동군 용산면 법화공단길 61,043-743-1090,상하수도주철관
5832,영동군,(주)아오스,충청북도 영동군 용산면 영동산단로 28 ,043-744-4320,"건강기능식품, 가공식품류"
5833,영동군,(주)알엔비정보기술,"충청북도 영동군 영동읍 대학로 310, 15동 205호(유원대학교 창업보육센터)",043-745-8204,영상감시장치/무선방송장비
5834,영동군,(주)액티브,충청북도 영동군 영동읍 산막골길 112 ,043-745-6202,일라이트분말
5835,영동군,(주)에어모션,충청북도 영동군 황간면 영동황간로 1452-81,1599-6117,에어서스펜션 시스템
5836,영동군,(주)에이씨씨,충청북도 영동군 용산면 영동산단로 137,031-759-0133,보조사료
5837,영동군,(주)에코앤하우징,충청북도 영동군 심천면 용심로 410,041-735-8250,"교량난간, 휀스"
5838,영동군,(주)에코존,충청북도 영동군 용산면 영동산단로 77,031-322-4671,"인조잔디, 카펫메트"
5839,영동군,(주)영동 에프엔에스,충청북도 영동군 용산면 영동산단로 70,043-745-5456,치킨무
5840,영동군,(주)옥토에스시,충청북도 영동군 용산면 한석천작로 59-1,043-744-9488,"토양개량제, 식생매트"
5841,영동군,(주)와이엠프로폴,충청북도 영동군 용산면 남부로 1424 ,043-743-6800,스티로폴
5842,영동군,(주)용궁일라이트,충청북도 영동군 영동읍 산막골길 112,,운모분말(일라이트)
5843,영동군,㈜우성농업회사법인,충청북도 영동군 영동읍 산막골길 110 ,043-744-6708,음료수
5844,영동군,(주)우진플랜트,충청북도 영동군 용산면 영동산단로 33,043-724-0307,철구조물
5845,영동군,(주)웰드림,충청북도 영동군 영동읍 대학로 310 유원(U1)대학교 16동 1층,070-7576-4211,"차류, 건강보조식품, 가공식품"
5846,영동군,(주)유진정보통신,충청북도 영동군 영동읍 영동시장1길 32-1 ,043-745-4000,"감시 및 탐지장비,교통통제장비"
5847,영동군,(주)이노엔스,충청북도 영동군 영동황간로 1452 -212,070-4664-0596,"금속탱크(수조, 필터용기)"
5848,영동군,(주)이젠숲,충청북도 영동군 용산면 영동산단로 118,,기화식냉풍기
5849,영동군,(주)일양,충청북도 영동군 심천면 난계로 231-105 ,043-742-1226,"레미콘, 아스콘"
5850,영동군,(주)정도하이텍,충청북도 영동군 용산면 영동산단로 158,043-733-6566,레이져프린터용 유기감광이미지드럼(OPC드럼)
5851,영동군,(주)제이엔오빌,"충청북도 영동군 영동읍 대학로 310, 16동 3층 315호",043-742-7207,친환경 무기질 도료
5852,영동군,(주)중원모터스,충청북도 영동군 용산면 영동산단로 32,,"프로펠러샤프트, PTO조인트외"
5853,영동군,(주)창명건설,충청북도 영동군 영동읍 학산영동로 1176-1 ,043-744-3434,"플라스틱창문,알루미늄창문"
5854,영동군,(주)케이알앤테크,충청북도 영동군 영동읍 금동로 104-1 ,043-742-2226,"스테인레스 가로등주, LED가로,보안등기구, LED 경관조명기구 외"
5855,영동군,(주)태영피씨엠,충청북도 영동군 용산면 영동산단로 75,043-742-7104,"PC암거 BOX, PC 저류조, 콘크리트블록, 건축PC, PTW PANEL"
5856,영동군,(주)태영피씨엠 2공장,충청북도 영동군 용산면 한곡리 537,043-742-7104,건축PC제품(건축 슬라브)
5857,영동군,(주)태영피씨엠 3공장,"충청북도 영동군 용산면 한곡리 541, 542",043-742-7104,건축 PC제품(건축 슬라브)
5858,영동군,(주)프렛시푸드,충청북도 영동군 용산면 천작리 산 45-1번지 외 1필지,043-744-3777,"갈비탕, 육개장, 설렁탕"
5859,영동군,(주)학천,충청북도 영동군 황간면 회포리 144 외 1필지,,고춧가루
5860,영동군,(주)한국신소재,충청북도 영동군 용산면 영동산단로 51-19,,"비료, 단미사료, 요소수"
5861,영동군,(주)현진티엔아이,충청북도 영동군 용산면 법화공단길 22,043-745-7861,가스저장용탱크
5862,영동군,(주)혜송,충청북도 영동군 양강면 학산영동로 846 ,043-744-0541,축산 지자재
5863,영동군,K-앱패널,충청북도 영동군 용산면 법화공단길 40,043-743-2005,샌드위치판넬
5864,영동군,갈기산포도농원(주)농업회사법인,충청북도 영동군 학산면 모리1길 4,,"와인, 일반 증류주"
5865,영동군,경원중공업(주),충청북도 영동군 황간면 도동길 102-42,,특장차
5866,영동군,고구름영농조합법인,충청북도 영동군 추풍령면 작점로 406 ,043-742-9707,유기질비료
5867,영동군,고려바이오영농조합법인,충청북도 영동군 영동읍 임계길 197 ,043-744-4147,유기질비료
5868,영동군,국제스톤산업,충청북도 영동군 영동읍 동정로 180,043-744-2727,"LED안전유도블록,LED바닥신호등,기타조명장치 제조업, LED도로표지병"
5869,영동군,금비식품 영농조합법인,충청북도 영동군 영동읍 산막골길 39 ,043-745-3868,조청
5870,영동군,기성실업,충청북도 영동군 매곡면 노천5길 113 ,043-743-1923,"테니스,배드민턴라켓"
5871,영동군,나대영 주식회사,충청북도 영동군 황간면 영동황간로 1452-99,043-745-7968,콘크리트 블록 및 보차도용 인터로킹
5872,영동군,난계국악기 제작촌(타악기 공방),충청북도 영동군 심천면 난계로 353 ,043-742-1345,국악기
5873,영동군,네오리텍(주),충청북도 영동군 용산면 법화리 10번지 ,043-770-7701,페라이트파우더
5874,영동군,농업회사법인 거담(주),충청북도 영동군 용산면 한곡리 555,043-743-7737,"건강보조식품(유기농 도라지즙, 건조 도라지"
5875,영동군,농업회사법인 바리팜 주식회사,충청북도 영동군 영동읍 금동로 106,,새싹보리분말
5876,영동군,농업회사법인 주식회사 도담바이오,충청북도 영동군 용산면 금곡4길 60,043-743-6110,유용 미생물(EM) 발효액
5877,영동군,농업회사법인 주식회사 정원식품,충청북도 영동군 용산면 용심로 1350,043-742-9381,알 가공제품
5878,영동군,농업회사법인(주)정원식품,충청북도 영동군 용산면 영동산단로 101,070-4407-1406,"알가공제품(껍질제거한 계란, 껍질 제거한 메추리알)"
5879,영동군,대덕레미콘 주식회사,충청북도 영동군 심천면 금강로 3026 ,043-742-7411,레미콘
5880,영동군,대동산업(주),충청북도 영동군 황간면 영동황간로 998 ,043-744-7426,아스콘
5881,영동군,대동정밀,충청북도 영동군 용산면 가곡리4길 6 ,043-744-1317,"볼트, 너트"
5882,영동군,대명엔지니어링,충청북도 영동군 용산면 천작리 산 4-8번지 ,043-745-2292,프라임콘벡터
5883,영동군,대영에코(주),충청북도 영동군 황간면 영동황간로 1821,043-745-8801,"콘크리트 수로관, 원형맨홀"
5884,영동군,대오푸드 홀딩스,충청북도 영동군 학산면 용화양강로 1480,043-745-8582,혼합음료
5885,영동군,대한아스콘(주),충청북도 영동군 용산면 남부로 1332,043-742-8001,아스콘
5886,영동군,동광스프링,충청북도 영동군 용산면 영동산단로 48,043-745-2936,"금속스프링류(인장스프링, 압축스프링, 토션스프링, 스파이럴스프링 등)"
5887,영동군,동성금속 주식회사,충청북도 영동군 용산면 용산공단길 74,043-740-8446,"자동차엔진베어링, 부시"
5888,영동군,동신기업(주),충청북도 영동군 용산면 법화공단길 24,043-742-0022,산업용고무제품
5889,영동군,동아우찌야마공업(주),충청북도 영동군 용산면 남부로 1464 ,043-744-9736,가스켓
5890,영동군,동원펌프(주),충청북도 영동군 용산면 영동산단로 12,031-353-9888,산업용펌프
5891,영동군,두미식품,충청북도 영동군 용산면 매금리 산 26-1번지 외 11필지,043-731-0666,청국장
5892,영동군,라온산업,충청북도 영동군 황간면 회포리 144 외 1필지,,고춧가루
5893,영동군,매일유업 주식회사,충청북도 영동군 매곡면 괘방령로 730-20,043-740-9400,"과일주스,유음료,특수"
5894,영동군,명성제약식품,충청북도 영동군 양강면 괴목산막로 185 ,043-744-8285,음료수
5895,영동군,명성철망(주),충청북도 영동군 영동읍 금동로 110,043-743-9555,"와이어매쉬,돌망태,철못"
5896,영동군,바스코,충청북도 영동군 황간면 영동황간로 1452-57 ,043-745-8872,복합비료
5897,영동군,부옥물산(주),충청북도 영동군 용산면 한곡리 551번지,031-502-1948,글라스울 보드
5898,영동군,부원코리아,충청북도 영동군 용산면 덕진길 87-35,043-744-2723,"철도차량 부품, 축산기자재"
5899,영동군,비제이로드(주),충청북도 영동군 영동읍 오정1길 104,043-745-6500,"도료(미끄럼방지포장재, 도막형바닥재)"
5900,영동군,삼두미곡종합처리장,충청북도 영동군 영동읍 대학로 177 ,043-743-3091,"백미,보리쌀"
5901,영동군,상촌양조장,충청북도 영동군 상촌면 임산리 323번지,043-743-3533,탁주
5902,영동군,샘표식품 주식회사,충청북도 영동군 용산면 용심로 892 ,043-740-8209,"된장, 고추장, 김치, 육포"
5903,영동군,선미농산(주),충청북도 영동군 용산면 영동산단로 38,043-742-9956,김치
5904,영동군,성우산업(주),충청북도 영동군 용산면 영동산단로 210,043-745-9974,콘크리트파일
5905,영동군,성우파일 주식회사,충청북도 영동군 용산면 영동산단로 217 ,043-744-6350,콘크리트파일 및 콘크리트 전주
5906,영동군,성우파일(주),충청북도 영동군 용산면 용산공단길 1,043-744-6350,콘크리트파일
5907,영동군,성호통상,충청북도 영동군 영동읍 눈어치로 97 ,043-744-9988,부항컵
5908,영동군,성화산업(주),충청북도 영동군 용산면 용심로 1090 ,043-742-1994,"벽돌,블록, 디자인형 울타리"
5909,영동군,세종매트리얼,충청북도 영동군 용산면 덕진길 81 ,043-742-6770,세라믹분말
5910,영동군,신농영농조합법인,충청북도 영동군 심천면 난계로 618,043-744-0090,"아이스홍시, 표고분말, 감식초"
5911,영동군,엔아이건설산업(주),충청북도 영동군 심천면 용심로 410,042-635-8012,석재 및 점토타일 단열복합패널
5912,영동군,엔아이테크(주),충청북도 영동군 용산면 용심로 1201 ,043-742-0954,"산업용 단열재 및 인조석, 주방용 전기기기(국솥, 부침기 등)"
5913,영동군,영동군,충청북도 영동군 영동읍 산익길 42-15,043-740-3552,과실주(와인)
5914,영동군,영동군,충청북도 영동군 영동읍 부용리 828-31번지,043-740-3333,"곶감쿠키,호두곶감,일라이트곶감,곶감양갱,곶감푸딩"
5915,영동군,영동대벤처식품(주)율리공장,충청북도 영동군 용산면 남부로 813-20 ,043-743-0550,"포도주스,포도잼"
5916,영동군,영동산골오징어(주),충청북도 영동군 학산면 학산양산로 208,043-743-1194,"건오징어,찜오징어"
5917,영동군,영동심천탁주공동제조장,충청북도 영동군 심천면 심천로 90-2 ,043-742-6005,탁주
5918,영동군,영동양봉영농조합법인,충청북도 영동군 용화면 여의로 175,043-745-9222,양봉사료
5919,영동군,영동직물,충청북도 영동군 용산면 상용길 55 ,043-742-5939,인견안감
5920,영동군,영동특산영농조합법인,충청북도 영동군 심천면 난계로 490 ,043-742-2222,"감식초,곶감"
5921,영동군,영동호두감영농조합법인,충청북도 영동군 영동읍 오정길 81,043-743-7625,호두기름
5922,영동군,오성프랜트,충청북도 영동군 용산면 용산로 214,043-744-3095,"식품설비, 곶감건조기"
5923,영동군,옥잠화영농조합법인,충청북도 영동군 심천면 옥계폭포길 98-12,043-742-0036,"포도즙, 상큼한포도, 딸기잼, 포도잼, 블루베리잼, 참다래잼, 사과잼, 복숭아잼, 생강차, 모과차, 배농축액, 사과농축액"
5924,영동군,와인코리아(주)농업회사법인,충청북도 영동군 영동읍 영동황간로 662 ,043-744-3211,포도주
5925,영동군,유성기업 주식회사,충청북도 영동군 용산면 용산공단길 64 ,043-740-8807,"실린더라이너,캠샤프트"
5926,영동군,유일푸드,"충청북도 영동군 영동읍 대학로 310, 창업보육센터 16동 401호 - 404호 ",,"무발효페스트리, 제빵도우, 쌀쿠키"
5927,영동군,이노스킨(주),충청북도 영동군 영동읍 설계리 산 12-1번지,070-8288-6163,화장품
5928,영동군,이수한우영농조합법인,충청북도 영동군 영동읍 난계로 1108,043-744-1590,"곰탕,떡갈비,한우불고기"
5929,영동군,정은산업(주),충청북도 영동군 황간면 마산리 산 19-1,,"히트파이프 온풍기 및 히터, 히트파이프"
5930,영동군,제일공업주식회사,충청북도 영동군 산이비탄로 157 ,043-744-4028,주방기구
5931,영동군,㈜그린이노베이션,충청북도 영동군 용산면 미전리 581,,모니터링 시스템
5932,영동군,주식회사  한국고량주 농업회사법인,충청북도 영동군 황간면 우매리 139번지,043-745-7709,고량주 및 주류부산물 가공품
5933,영동군,주식회사 가보,충청북도 영동군 양산면 천태산로 318 외 1필지,043-743-5677,"친환경 섬유 벽돌, 텍스, 합판"
5934,영동군,주식회사 금빛전기,충청북도 영동군 영동읍 금동로 140,070-4525-4232,LED바
5935,영동군,주식회사 뒤에있다,충청북도 영동군 영동읍 금동로 140,070-4525-4232,"금속조형물, 전기장치"
5936,영동군,주식회사 레인보우에프에스,충청북도 영동군 영동읍 화신로2길 57 ,043-742-0082,"소스, 파우더, 염지제류"
5937,영동군,주식회사 뻬르코,"충청북도 영동군 영동읍 대학로 310, 10동 1층",043-745-7228,"한방추출물, 버섯추출물, 과일추출물"
5938,영동군,주식회사 성광,충청북도 영동군 심천면 용당로 339 지,043-742-8878,"주문식 싱크대, 싱크대 조립부품자재"
5939,영동군,주식회사 성우정밀,충청북도 영동군 황간면 영동황간로 1452-160,043-743-8114,과일(감) 박피기 및 제습건조기
5940,영동군,주식회사 썬스틸,충청북도 영동군 용산면 영동산단로 12-4,043-742-5483,조립식 건축물(철구조물)
5941,영동군,주식회사 에넥스,충청북도 영동군 황간면 에넥스로 37 ,043-740-0100,"씽크대, 주방가구"
5942,영동군,주식회사 에이앤,충청북도 영동군 황간면 영동황간로 1452-248 ,043-770-7859,"스킨, 로션, 손세정제, 클렌징폼, 팩, 크림류"
5943,영동군,주식회사 에코그린,충청북도 영동군 용산면 한석천작로 59-2,031-791-3628,토양개량제
5944,영동군,주식회사 엘에스푸드,충청북도 영동군 용산면 덕진길 87-15,043-742-1781,전란액
5945,영동군,주식회사 이엔비,충청북도 영동군 황간면 황간동로 205,043-770-7770,자동차용 필름
5946,영동군,주식회사 제월당,충청북도 영동군 양산면 가곡2길 34 ),070-4322-1001,"경옥고,경옥환"
5947,영동군,주식회사 제월당,충청북도 영동군 양산면 가곡2길 41,070-4322-1001,"발효식초, 기타 발효음료"
5948,영동군,주식회사 젠이프,충청북도 영동군 용산면 법화공단길 87 ,043-745-9331,유기질비료
