연번,업체명,산업분류코드,소재지,전화번호,팩스번호,고용인원수,데이터기준일자
400,주식회사 대건,"25112, ",충청북도 옥천군 동이면 평산길 150,,043-731-1229,2,2025-09-03
401,주식회사 디오디,"13219, ",충청북도 옥천군 옥천읍 마암로 63 (주1동),1600-2621,031-291-2492,6,2025-09-03
402,주식회사 범성,"25111, ",충청북도 옥천군 군서면 동평3길 5-13,043-732-4027,043-731-4027,16,2025-09-03
403,주식회사 보성오토,"30400, 30110, 30331",충청북도 옥천군 군서면 성왕로 564,,042-936-5603,28,2025-09-03
404,주식회사 비움사랑,"10894, ",충청북도 옥천군 옥천읍 이평1길 50,043-731-3175,043-731-2175,7,2025-09-03
405,주식회사 선식품,"01412, ",충청북도 옥천군 동이면 옥천동이로 576-60,042-273-4915,,4,2025-09-03
406,주식회사 쏠마린캠핑카,"30201, 30202",충청북도 옥천군 옥천읍 남곡길 8,,,4,2025-09-03
407,주식회사 씨더스 농업회사법인,"22299, 29210",충청북도 옥천군 군서면 월전리 77-2번지,042-710-4035,042-710-4036,1,2025-09-03
408,주식회사 에이스에어,"29132, ",충청북도 옥천군 군서면 성왕로 564,042-636-0051,042-636-0452,3,2025-09-03
409,주식회사 엘림,"16101, 16102, 16211, 16229, 22212, 22213, 25112, 25119",충청북도 옥천군 옥천읍 지용로 192 (공장) (총 2 필지) 외 1필지,043-731-2300,043-731-2309,20,2025-09-03
410,주식회사 오형에프앤비,"10603, ",충청북도 옥천군 군북면 비야대정로2길 24,,,2,2025-09-03
411,주식회사 융전,"20312, ",충청북도 옥천군 동이면 옥천동이로 576-49 (공장) 외 1필지,043-732-0004,043-733-6985,32,2025-09-03
412,주식회사 융전,"20321, 20312, 20322, 35114, 35115, 35119",충청북도 옥천군 청산면 인정리 1374번지,043-732-0004,043-733-6985,25,2025-09-03
413,주식회사 은성,"29174, 29210",충청북도 옥천군 동이면 평산3길 7 공장,,043-731-4956,16,2025-09-03
414,주식회사 젠텍,"33999, 25119, 25913, 25914",충청북도 옥천군 옥천읍 양수리 57-4,043-731-0991,043-731-0995,3,2025-09-03
415,주식회사 지오건설산업,"24121, 25929",충청북도 옥천군 동이면 동이농공길 124-5,043-732-3799,,2,2025-09-03
416,주식회사 케이엠피,"13999, ",충청북도 옥천군 옥천읍 매동로 64,043-731-1901,02-6455-8086,2,2025-09-03
417,주식회사 피앤디,"28112, ",충청북도 옥천군 옥천읍 옥천동이로 292,043-733-4571,,10,2025-09-03
418,주식회사 한국건설산업,"25932, ",충청북도 옥천군 옥천읍 마암로 119 외 1필지,043-733-7203,043-731-7204,11,2025-09-03
419,주식회사 화성산업,"22211, 22232",충청북도 옥천군 옥천읍 양수로6길 72-29 (공장),043-732-6256,043-732-6257,10,2025-09-03
420,주식회사비젼케어텍,"27301, ","충청북도 옥천군 옥천읍 의료단지길 60, 전략산업클러스터센터 106호",043-733-8022,043-733-8023,2,2025-09-03
421,주식회사비젼케어텍,"27301, ","충청북도 옥천군 옥천읍 의료단지길 60, 전략산업클러스터센터 106호",043-733-8022,043-733-8023,0,2025-09-03
422,주식회사하이닥,"10121, ","충청북도 옥천군 군북면 옥천로 1060, 2층",042-525-8999,042-525-8948,25,2025-09-03
423,주영제분(주),"10520, ",충청북도 옥천군 옥천읍 향수길 137-3,043-733-9200,043-733-9201,3,2025-09-03
424,중부콘크리트산업,"23324, 23326",충청북도 옥천군 동이면 금강로 141,,043-733-5861,2,2025-09-03
425,중앙공업사,"29241, ",충청북도 옥천군 옥천읍 성왕로 1230 (공장) 외 1필지,043-733-5632,,4,2025-09-03
426,중앙바이오(주),"10519, ",충청북도 옥천군 군북면 비야대정로 289 (공장),043-733-8662,043-733-8661,4,2025-09-03
427,중앙식품산업사,"10892, 10422, 10893",충청북도 옥천군 동이면 적하1길 13-11 (공장) 외 1필지,043-731-0041,043-731-0045,7,2025-09-03
428,지엘캄퍼니,"27199, 20423","충청북도 옥천군 옥천읍 의료단지길 79, 105호, GMP 106호",043-831-0547,,5,2025-09-03
429,지원이엔지,"28123, ",충청북도 옥천군 청산면 인정1길 69,043-762-7660,043-762-7661,6,2025-09-03
430,진달래흑염소,"10129, ",충청북도 옥천군 옥천읍 옥천동이로 225-7,,,2,2025-09-03
431,진벌꿀푸딩,"10519, 10601",충청북도 옥천군 안남면 지수1길 208,,,2,2025-09-03
432,진성이엔지,"25112, ",충청북도 옥천군 옥천읍 교동3길 6 (창고),043-732-0804,043-732-0806,6,2025-09-03
433,진영산업,"22251, 22259",충청북도 옥천군 동이면 옥천로 2192-9,043-732-4883,043-732-7430,15,2025-09-03
434,진원생명과학(주),"13999, 14419",충청북도 옥천군 이원면 건진2길 13 (공장),02-527-0616,02-557-6784,4,2025-09-03
435,참맛식품,"10820, 10513, 10893",충청북도 옥천군 옥천읍 삼청2길 218,043-733-9116,043-733-9044,12,2025-09-03
436,창대유리산업,"23112, 23119",충청북도 옥천군 동이면 남곡길 36,043-732-5401,043-733-5402,6,2025-09-03
437,채움 유한회사,"29299, ",충청북도 옥천군 옥천읍 마암로3길 20,043-733-1100,043-733-1100,2,2025-09-03
438,채움푸드,"10129, 10122",충청북도 옥천군 옥천읍 양수리 204-1번지,070-8234-4517,,6,2025-09-03
439,청정이에스(주),"29176, 27215, 28123, 29163, 29169, 29175","충청북도 옥천군 동이면 동이농공길 84, 2층",043-733-4801,,6,2025-09-03
440,청정테크주식회사,"29176, 27215, 28123, 29163, 29169, 29175",충청북도 옥천군 동이면 동이농공길 84,041-837-4601,,6,2025-09-03
441,청주금속주물,"24321, 24329",충청북도 옥천군 이원면 미동2길 57 외 1필지,043-218-8961,043-218-8962,8,2025-09-03
442,친환경우리소영농조합법인,"20313, ",충청북도 옥천군 옥천읍 서대구일로 130-70,043-732-8822,043-731-6033,10,2025-09-03
443,칠형제공업,"29210, ",충청북도 옥천군 군북면 증약리 557-2번지 외 1필지,043-733-7469,043-733-7470,4,2025-09-03
444,칼라 조립식 건축자재,"24191, ",충청북도 옥천군 옥천읍 마암로 66 외 1필지,,,3,2025-09-03
445,캠핑나들이(주),"30203, ",충청북도 옥천군 동이면 금강로 46,043-731-4178,050-4492-4179,4,2025-09-03
446,케이비아이코스모링크(주),"28302, 28301",충청북도 옥천군 이원면 이원농공로 50-3 (공장),043-730-5114,043-733-9513,168,2025-09-03
447,코디텍,"25923, ",충청북도 옥천군 동이면 지양리 662번지,043-731-6870,043-731-6871,5,2025-09-03
448,코리아나타올 주식회사,"13219, ","충청북도 옥천군 옥천읍 마암로 63, 외1필지",,042-271-1119,10,2025-09-03
449,코리아나타올제직1부,"13999, ",충청북도 옥천군 옥천읍 마암로 63,,,2,2025-09-03
450,코리아나타올제직2부,"13999, ",충청북도 옥천군 옥천읍 마암로 63,,043-731-1018,3,2025-09-03
451,코리아에이스타올(주),"13219, ",충청북도 옥천군 군북면 증약길 211-35,042-635-3100,,7,2025-09-03
452,코리아에이스타올(주) 지점,"13219, ",충청북도 옥천군 동이면 옥천로 2092 (공장) (총 3 필지),043-731-3004,043-731-3004,10,2025-09-03
453,코리아특장자동차(주),"30201, 30202",충청북도 옥천군 옥천읍 서부로 38-16 (옥천읍) 외 6필지,043-0731-8161,043-731-8164,28,2025-09-03
454,코리아특장자동차(주),"30201, ",충청북도 옥천군 옥천읍 테크노밸리로2길 52,043-731-8161,043-731-8164,31,2025-09-03
455,태경콘크리트(주),"23325, 23326",충청북도 옥천군 군서면 월전1길 7 (창고),043-731-2277,043-731-2278,7,2025-09-03
456,태백가스산업(주),"29299, 24132, 25122, 29175, 29176, 29271",충청북도 옥천군 옥천읍 옥천동이로 280 (공장),042-537-2288,042-537-2285,6,2025-09-03
457,태산기계공업(주),"29210, ",충청북도 옥천군 옥천읍 옥천동이로 387-66 (공장) 외 1필지,043-733-8791,043-733-8794,72,2025-09-03
458,태산스틸,"25112, ",충청북도 옥천군 동이면 세산3길 26-25 (공장),043-732-2902,043-732-9986,5,2025-09-03
459,투윈시스템(주),"33302, 22229, 25119, 25122, 25123, 29261, 29299, 31991, 31999, 33999",충청북도 옥천군 안내면 서대2길 4 (공장) 외 1필지,043-731-1713,043-731-1712,7,2025-09-03
460,페리지에어로스페이스(주),"31311, ",충청북도 옥천군 군서면 성왕로 844,042-710-3513,070-8611-3513,40,2025-09-03
461,폴리맥,"22211, ",충청북도 옥천군 청산면 남부로 1917-7,,,1,2025-09-03
462,푸른농산,"10301, 10302",충청북도 옥천군 옥천읍 매동로 123 (주1동),043-731-1749,043-731-1750,5,2025-09-03
463,풍미명과,"10603, ",충청북도 옥천군 군북면 이백길 79-16 (공장),043-731-9201,043-731-9202,10,2025-09-03
464,플랜씨(주),"29210, ","충청북도 옥천군 옥천읍 대학길 15, 창업보육센터 신관 작업장 4호",,,2,2025-09-03
465,하나섬유,"13104, ",충청북도 옥천군 옥천읍 삼청2길 210 (공장),042-525-4283,,6,2025-09-03
466,한국드라이베아링(주),"30310, 30320, 30391, 30392, 30399, 30400",충청북도 옥천군 옥천읍 옥천농공길 53-21 (옥천읍) 외 2필지,043-733-9361,043-733-9360,45,2025-09-03
467,한국석유공업(주),"22199, 20493",충청북도 옥천군 옥천읍 옥천농공길 100-2 (공장),043-733-9300,043-733-9305,20,2025-09-03
468,한국수출포장,"16231, 16232",충청북도 옥천군 군서면 사정3길 43 (한국수출포장),043-733-5564,043-733-5565,3,2025-09-03
469,한미푸드,"10519, 10832",충청북도 옥천군 옥천읍 옥천동이로 387-73 (공장),043-731-9160,043-731-9168,2,2025-09-03
470,한밭타올,"13211, ",충청북도 옥천군 군서면 사정3길 30,,,7,2025-09-03
471,한비스톤,"23329, ",충청북도 옥천군 동이면 동이농공길 122 (동이면),,,2,2025-09-03
472,한영기계(주),"25941, 25942, 25999",충청북도 옥천군 동이면 동이농공길 95 (공장),043-733-0434,043-733-0436,29,2025-09-03
473,한우영농조합법인맥우,"10111, 10112, 10122, 10129",충청북도 옥천군 군서면 월전리 35번지 외 4필지,043-732-9301,043-732-9303,43,2025-09-03
474,한일피엔티(주),"23311, ",충청북도 옥천군 군북면 비야대정로 293-18 (공장),043-731-2515,043-731-2517,2,2025-09-03
475,한일후드(주),"10701, 10513, 10709, 10820",충청북도 옥천군 청산면 남부로 1917-12 (창고),043-733-2570,043-732-0992,72,2025-09-03
476,한진정공,"30399, 30391, 30392, 30400",충청북도 옥천군 옥천읍 서부로 371-25 (옥천읍) 외 1필지,043-733-5934,043-733-5954,0,2025-09-03
477,한진타올(주),"13219, 13221",충청북도 옥천군 동이면 옥천로 2182,043-269-2858,050-8094-2858,2,2025-09-03
478,합자회사 호성산업,"25112, 22299, 25113, 28422",충청북도 옥천군 군북면 이백4길 7,043-732-5700,042-825-1206,4,2025-09-03
479,행복담기(주),"10899, ",충청북도 옥천군 옥천읍 옥천농공길 61,043-731-1114,,65,2025-09-03
480,향미김치,"10301, ",충청북도 옥천군 동이면 동이농공길 73-10,043-733-9745,,3,2025-09-03
481,향수한우티엠알공장영농조합법인,"10901, 10902, 10903",충청북도 옥천군 옥천읍 삼청3길 12,043-733-7778,043-733-0105,5,2025-09-03
482,현대오피스 유한책임회사,"29180, ","충청북도 옥천군 옥천읍 테크노밸리로3길 6, 현대오피스 옥천공장",1566-3445,042-621-2583,57,2025-09-03
483,현대자동차(주),"52941, ",충청북도 옥천군 옥천읍 옥천동이로 387-32 (공장),043-731-8472,043-731-9122,35,2025-09-03
484,형제콘테이너,"25119, 25112, 25113, 25114",충청북도 옥천군 동이면 옥천로 2355 (창고) (총 4 필지) 외 3필지,043-731-2262,043-731-2263,10,2025-09-03
485,호산비전,"29210, ",충청북도 옥천군 옥천읍 옥천농공길 53-4,043-731-5421,043-731-5425,6,2025-09-03
486,호산테크(주),"29210, ",충청북도 옥천군 옥천읍 옥천농공길 53-4 (옥천읍),043-731-5422,043-731-5425,18,2025-09-03
487,화신금형사,"29293, ",충청북도 옥천군 군북면 비야대정로 148,043-732-5632,043-732-5634,3,2025-09-03
488,화인식품,"10832, ","충청북도 옥천군 동이면 금암6길 27, 화인식품 (동이면)",043-733-6352,043-733-9394,2,2025-09-03
489,화인테크,"29210, ",충청북도 옥천군 옥천읍 마암로 95,043-732-3130,043-732-2120,3,2025-09-03
490,효성정공,"29293, ",충청북도 옥천군 군북면 이백길 49,043-731-9016,043-731-9028,4,2025-09-03
491,효원,"30399, ",충청북도 옥천군 옥천읍 테크노밸리로2길 24,,,26,2025-09-03
