연번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수,데이터기준일자
1065,(주)태평양기술산업,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 금왕읍 생삼로207번길 157,02-897-2811,02-897-2815,10,2025-08-31
1066,(주)태형,기타 과실ㆍ채소 가공 및 저장 처리업,10309,충청북도 음성군 감곡면 문촌리 899-12 외 1필지,,043-877-7763,5,2025-08-31
1067,(주)테크피아,플라스틱 접착처리 제품 제조업,22291,충청북도 음성군 금왕읍 성본산단1로 187,043-845-6325,043-845-6329,26,2025-08-31
1068,(주)텍스마스타 음성공장,그 외 기타 분류 안된 섬유제품 제조업,13999,충청북도 음성군 대소면 내산길 19 외 1필지,043-882-1755,043-882-1759,75,2025-08-31
1069,(주)토인디자인(음성지점),놀이터용 장비 제조업 외 1 종,33302,충청북도 음성군 대소면 산내로 60-15 외 2필지,02-533-3720,02-593-8711,4,2025-08-31
1070,(주)톱스톡,플라스틱 창호 제조업 외 3 종,22223,충청북도 음성군 대소면 한삼로 274,043-882-8226,,16,2025-08-31
1071,(주)투에이취켐,플라스틱 필름 제조업 외 1 종,22212,충청북도 음성군 삼성면 덕호로 475-38 외 3필지,043-877-6851,043-878-7024,15,2025-08-31
1072,(주)트래닛,운송장비 조립용 플라스틱제품 제조업 외 1 종,22241,충청북도 음성군 생극면 음성로 1524-4,031-8012-8912,031-205-9279,56,2025-08-31
1073,(주)트리라인,그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 금왕읍 내송리 220-3,043-883-8383,043-883-8388,30,2025-08-31
1074,(주)트리코유니온,그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 대소면 초금로71번길 96-10 (총 2 필지) 외 1필지,031-768-0880,,10,2025-08-31
1075,(주)티맥,그 외 기타 일반목적용 기계 제조업,29199,충청북도 음성군 대소면 신내로 82-16 (대소면) 외 2필지,,070-4237-6759,5,2025-08-31
1076,(주)티알아이,곡물 혼합분말 및 반죽 제조업 외 3 종,10513,충청북도 음성군 삼성면 금일로 679-35,043-882-3752,043-882-3753,29,2025-08-31
1077,(주)티에스씨,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 생극면 생삼로 143-22 외 2필지,043-878-7941,031-497-7952,35,2025-08-31
1078,(주)티에스씨고려,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 생극면 생삼로 143-22 (총 2 필지),043-878-2650,043-878-2660,58,2025-08-31
1079,(주)티에스씨고려,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 생극면 생삼로 171-14,043-878-2650,043-878-2660,46,2025-08-31
1080,(주)티에프씨,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 삼성면 대성로380번길 188-20 외 1필지,043-882-4283,070-8250-0600,6,2025-08-31
1081,(주)티에프오네트웍스,"알루미늄 압연, 압출 및 연신제품 제조업",24222,충청북도 음성군 삼성면 청용로 387,043-750-7170,043-750-7180,17,2025-08-31
1082,(주)티오에프코리아,천연 및 혼합조제 조미료 제조업,10832,충청북도 음성군 생극면 차생로 790-9 외 1필지,043-883-2600,,5,2025-08-31
1083,(주)티오피콘크리트,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",23324,충청북도 음성군 원남면 보덕로 347,,,9,2025-08-31
1084,(주)티와이,기타 기계.장비 조립용 플라스틱 제품 제조업,22249,충청북도 음성군 대소면 부윤리 24-1,043-882-7923,043-882-7922,5,2025-08-31
1085,(주)티와이테크놀로지,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",22211,충청북도 음성군 대소면 대금로 165-8 외 1필지,043-877-7811,043-877-7811,15,2025-08-31
1086,(주)틸트프로,건설 및 채광용 기계장비 제조업,29241,충청북도 음성군 금왕읍 진성로 1397-13 외 1필지,031-352-1637,,10,2025-08-31
1087,(주)팀메가로봇,기타 전기 변환장치 제조업,28119,충청북도 음성군 대소면 대동로 580 외 3필지,070-4800-3882,,5,2025-08-31
1088,(주)팀메가로봇 제2공장,기타 전기 변환장치 제조업,28119,충청북도 음성군 대소면 부윤리 231,070-4800-3882,,3,2025-08-31
1089,(주)파마코스텍,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 삼성면 대성로547번길 97-55,043-882-5968,043-882-5967,8,2025-08-31
1090,(주)파마킹,생물 의약품 제조업 외 1 종,21211,충청북도 음성군 감곡면 행군이길 87-17 외 1필지,043-882-3501,043-882-3502,40,2025-08-31
1091,(주)파모,위생용 종이제품 제조업,17902,충청북도 음성군 대소면 대금로 888-20 외 2필지,031-344-1235,031-355-4631,8,2025-08-31
1092,(주)파우더텍,기체 여과기 제조업,29175,충청북도 음성군 금일로 679 -68(삼성면),,,5,2025-08-31
1093,(주)파워텍,그 외 기타 분류 안된 화학제품 제조업 외 2 종,20499,충청북도 음성군 생극면 오신로 180,043-882-5366,043-882-5368,10,2025-08-31
1094,(주)팍스코리아,직물포대 제조업,13225,충청북도 음성군 금왕읍 금일로 275,043-878-2787,043-877-1997,2,2025-08-31
1095,(주)팜스코,육류 도축업(가금류 제외) 외 2 종,10111,충청북도 음성군 삼성면 대청로 54 외 6필지,043-530-5220,043-535-3411,30,2025-08-31
1096,(주)팜스코,육류 포장육 및 냉동육 가공업 (가금류 제외),10122,충청북도 음성군 대소면 대금로511번길 106-19 외 1필지,043-530-5220,043-535-3411,30,2025-08-31
1097,(주)팜스토리도드람비엔에프 음성,반려동물용 사료 제조업 외 2 종,10901,충청북도 음성군 금왕읍 금일로 177 외 9필지,043-879-0534,043-879-0505,83,2025-08-31
1098,(주)팟팟,위생용 종이제품 제조업 외 1 종,17902,충청북도 음성군 금왕읍 유촌리 358-1 외 1필지,043-881-3034,043-882-3034,13,2025-08-31
1099,(주)팩코리아,그 외 기타 특수목적용 기계 제조업,29299,충청북도 음성군 대소면 산내로 129 외 1필지,043-877-1937,,5,2025-08-31
1100,(주)퍼스트이엔에스,구조용 금속 판제품 및 공작물 제조업 외 1 종,25112,"충청북도 음성군 대소면 대금로 99, 다동 외 4필지",02-547-3311,02-539-5920,3,2025-08-31
1101,(주)퍼시스,기타 목재가구 제조업,32029,충청북도 음성군 감곡면 음성로2568번길 33,043-850-8810,043-855-6323,15,2025-08-31
1102,(주)퍼시픽인터켐코포레이션,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 금왕읍 금왕테크노3길 34,070-8709-7782,02-2040-7318,27,2025-08-31
1103,(주)페이퍼팩,골판지 제조업 외 1 종,17211,충청북도 음성군 맹동면 용촌길 45 외 1필지,043-877-1411,043-877-1415,14,2025-08-31
1104,(주)펙셀,기타 플라스틱 발포 성형제품 제조업,22259,충청북도 음성군 금왕읍 생삼로 597 외 5필지,043-878-2207,043-878-2209,6,2025-08-31
1105,(주)평안식품,전분제품 및 당류 제조업,10520,충청북도 음성군 삼성면 대양로 168,043-883-2271,043-883-2273,4,2025-08-31
1106,(주)평온,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 대소면 대금로105번길 45-12 외 3필지,,,15,2025-08-31
1107,(주)평화정공,그 외 자동차용 신품 부품 제조업 외 3 종,30399,충청북도 음성군 음성읍 한불로 59 (총 2 필지) 외 1필지,043-872-5594,043-872-5589,6,2025-08-31
1108,(주)포나코,강화 및 재생 목재 제조업 외 1 종,16212,충청북도 음성군 삼성면 대덕로 302,043-878-4770,043-878-4790,5,2025-08-31
1109,(주)포머스,암면 및 유사제품 제조업 외 1 종,23994,충청북도 음성군 금왕읍 구개천길 121-16 외 4필지,043-750-8098,043-750-8095,11,2025-08-31
1110,(주)포머스,금속 가구 제조업,32091,충청북도 음성군 감곡면 가곡로 478-51,053-981-8806,053-984-5559,5,2025-08-31
1111,(주)포스이피에스,폴리스티렌 발포 성형제품 제조업,22251,충청북도 음성군 대소면 오태로116번길 225-41 외 4필지,043-750-7311,,20,2025-08-31
1112,(주)포유이엔지,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 대소면 대동로 683-37,043-883-8727,043-883-8729,30,2025-08-31
1113,(주)폼웍스,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 맹동면 원중로 1266,043-883-8674,,22,2025-08-31
1114,(주)푸드원,동물성 유지 제조업 외 5 종,10411,충청북도 음성군 생극면 오신로445번길 14 (총 6 필지) 외 5필지,043-877-4471,043-877-4470,3,2025-08-31
1115,(주)푸드웰 F&S,천연 및 혼합조제 조미료 제조업 외 2 종,10832,충청북도 음성군 음성읍 신용로239번길 53-2 외 1필지,043-872-9853,043-872-9855,5,2025-08-31
1116,(주)푸드팩토리,가금류 가공 및 저장 처리업 외 2 종,10121,충청북도 음성군 금왕읍 금일로 167-26,043-750-7450,043-750-7453,5,2025-08-31
1117,(주)푸르샨식품,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 3 종",10211,충청북도 음성군 맹동면 맹동산단1길 81,043-881-1950,043-881-8950,19,2025-08-31
1118,(주)푸르샨식품 제 2공장,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 3 종",10211,충청북도 음성군 맹동면 맹동산단1길 85,043-881-1950,043-881-8950,25,2025-08-31
1119,(주)푸른공간,표면처리 및 적층 직물 제조업 외 1 종,13994,충청북도 음성군 소이면 충청대로2031번길 58-16,043-872-9993,043-872-9904,5,2025-08-31
1120,(주)풍림피앤피,"플라스틱 포대, 봉투 및 유사제품 제조업 외 2 종",22231,충청북도 음성군 금왕읍 도청리 498-1 외 1필지,043-881-4144,043-881-4147,63,2025-08-31
1121,(주)풍림피앤피 대풍공장,포장용 플라스틱 성형용기 제조업,22232,충청북도 음성군 대소면 대풍산단로 128,041-581-1021,,7,2025-08-31
1122,(주)풍림피앤피 테이프공장,플라스틱 접착처리 제품 제조업 외 1 종,22291,충청북도 음성군 금왕읍 멍심이길 125-22,043-881-4144,043-881-4147,11,2025-08-31
1123,(주)풍진솔루션,그 외 자동차용 신품 부품 제조업 외 3 종,30399,충청북도 음성군 금왕읍 금일로284번길 68-21 (금왕읍) 외 1필지,043-883-1355,,65,2025-08-31
1124,(주)풍진솔루션2공장,그 외 자동차용 신품 부품 제조업 외 3 종,30399,충청북도 음성군 금왕읍 쌍봉리 20,,043-883-1359,25,2025-08-31
1125,(주)퓨럽 2공장,기타 비알코올 음료 제조업,11209,충청북도 음성군 생극면 중원대로 124 외 1필지,043-882-4133,043-882-4134,16,2025-08-31
1126,(주)프라임렌탈,건설 및 채광용 기계장비 제조업,29241,충청북도 음성군 삼성면 덕호로 127-5 외 3필지,043-877-2171,043-877-2174,22,2025-08-31
1127,(주)프로벳,반려동물용 사료 제조업 외 2 종,10901,충청북도 음성군 삼성면 금일로 679-70,043-882-8400,,3,2025-08-31
1128,(주)프로비아,컨베이어장치 제조업 외 1 종,29163,충청북도 음성군 금왕읍 금일로284번길 68-27,031-296-6662,031-296-6668,4,2025-08-31
1129,(주)프로스이앤에프,가금류 가공 및 저장 처리업,10121,충청북도 음성군 맹동면 덕금로87번길 111-1,,043-878-5393,5,2025-08-31
1130,(주)플라벡스,플라스틱 시트 및 판 제조업,22213,충청북도 음성군 금왕읍 금일로 271-7 외 5필지,043-883-2670,043-883-2672,46,2025-08-31
1131,(주)플라스틱과사람들,혼성 및 재생 플라스틱 소재 물질 제조업,20203,충청북도 음성군 삼성면 금율로389번길 17-21,043-878-7369,043-878-7080,30,2025-08-31
1132,(주)플라스틱과사람들 제2공장,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 삼성면 금율로389번길 17-41,043-878-7369,043-878-7080,14,2025-08-31
1133,(주)플라스틱과사람들 제3공장,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 삼성면 금율로389번길 17-13 외 1필지,02-470-2447,02-470-2446,10,2025-08-31
1134,(주)플랜엠,기타 구조용 금속제품 제조업 외 1 종,25119,충청북도 음성군 대소면 한삼로 84 외 6필지,043-881-9004,043-881-9005,85,2025-08-31
1135,(주)플랜엠,기타 구조용 금속제품 제조업,25119,충청북도 음성군 소이면 대장리 1-6,,02-3210-8708,3,2025-08-31
1136,(주)플러스알파,플라스틱 필름 제조업 외 1 종,22212,충청북도 음성군 원남면 원남산단로 279,043-927-8003,043-927-8004,5,2025-08-31
1137,(주)플러스텍,사무 및 회화용품 제조업,33920,충청북도 음성군 대소면 대금로 650 (총 3 필지) 외 2필지,043-882-8850,043-882-8851,11,2025-08-31
1138,(주)피닉스진생코리아,인삼식품 제조업,10895,충청북도 음성군 대소면 오태로 59 (총 4 필지) 외 3필지,043-881-8360,043-881-8360,15,2025-08-31
1139,(주)피에스산업,일반용 도료 및 관련제품 제조업,20411,충청북도 음성군 대소면 대동로 683-47,043-881-6968,043-881-6994,8,2025-08-31
1140,(주)피에이지 플렉스 음성공장,기타 인쇄업,18119,충청북도 음성군 삼성면 대청로 305-28 외 2필지,043-878-1208,043-878-1208,65,2025-08-31
1141,(주)피지에스,"전기회로 개폐, 보호장치 제조업 외 1 종",28121,충청북도 음성군 금왕읍 덕금로 950,043-883-8842,043-883-2376,3,2025-08-31
1142,(주)피지엠리서치,"기타 비철금속 제련, 정련 및 합금 제조업",24219,충청북도 음성군 삼성면 대청로 279,054-572-2330,054-571-2330,3,2025-08-31
1143,(주)피피,기타 건축용 플라스틱 조립제품 제조업,22229,충청북도 음성군 대소면 청천로 42,070-8876-0311,043-883-0774,4,2025-08-31
1144,(주)피피이씨음성생면,"면류, 마카로니 및 유사식품 제조업 외 9 종",10820,충청북도 음성군 대소면 삼양로 730-27 (대소면),043-879-4514,043-7614-2085,156,2025-08-31
1145,(주)필스,기타 직물제품 제조업,13229,충청북도 음성군 삼성면 대덕로 44,043-882-8700,043-882-8701,49,2025-08-31
1146,(주)하나글라스,기타 판유리 가공품 제조업 외 1 종,23119,충청북도 음성군 대소면 대동로 675-25,,043-883-4090,14,2025-08-31
1147,(주)하나안전유리,판유리 제조업,23111,충청북도 음성군 금왕읍 금일로 599-26 (총 4 필지) 외 3필지,043-878-5333,043-878-5332,5,2025-08-31
1148,(주)하나엔텍,"금속 문, 창, 셔터 및 관련제품 제조업 외 11 종",25111,충청북도 음성군 생극면 대금로 1994,043-878-8894,043-878-8895,4,2025-08-31
1149,(주)하늘특장,차체 및 특장차 제조업,30201,충청북도 음성군 대소면 대금로 165-20 외 1필지,,,5,2025-08-31
1150,(주)하은테크,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 맹동면 덕금로87번길 11-14,043-882-2051,043-882-2056,8,2025-08-31
1151,(주)하이베러,위생용 종이제품 제조업,17902,충청북도 음성군 맹동면 태정로 124 외 1필지,02-514-3114,070-7500-2281,20,2025-08-31
1152,(주)하이엘,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 대소면 한삼로251번길 18,043-750-8330,043-750-8331,5,2025-08-31
1153,(주)하이퍼윈도우,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종",25111,충청북도 음성군 생극면 음성로 1380 외 11필지,043-878-8751,043-878-8753,17,2025-08-31
1154,(주)한결산업,어망 및 기타 끈 가공품 제조업,13922,충청북도 음성군 삼성면 청천로 121 외 1필지,043-877-6290,043-877-6291,15,2025-08-31
1155,(주)한결테크,분사기 및 소화기 제조업,29192,충청북도 음성군 생극면 오신로445번길 86,070-4127-9813,031-641-9264,2,2025-08-31
1156,(주)한국강화프라스틱,설치용 및 위생용 플라스틱제품 제조업,22222,충청북도 음성군 삼성면 선정리 439번지 외 5필지,043-877-5634,043-877-5636,7,2025-08-31
1157,(주)한국건설공법,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 원남면 원소로 254 외 1필지,02-425-0373,02-425-0357,10,2025-08-31
1158,(주)한국그린인프라연구소,"체조, 육상 및 체력단련용 장비 제조업 외 1 종",33301,충청북도 음성군 대소면 산내로 60-15 외 2필지,02-521-1122,02-521-2858,6,2025-08-31
1159,(주)한국기능공사,그 외 자동차용 신품 부품 제조업,30399,충청북도 음성군 금왕읍 삼봉리 676-2번지 (유촌산업단지 내) 외 2필지,070-8633-6246,031-683-4298,120,2025-08-31
1160,(주)한국기능공사,그 외 자동차용 신품 부품 제조업,30399,"충청북도 음성군 금왕읍 삼봉리 676-1번지 , 유촌리 804(유촌산업단지 내)",070-8633-6246,031-683-4298,83,2025-08-31
1161,(주)한국기능공사,그 외 자동차용 신품 부품 제조업,30399,"충청북도 음성군 금왕읍 삼봉리 676-3번지 , 유촌리804-1(유촌산업단지 내)",070-8633-6246,031-683-4298,80,2025-08-31
1162,(주)한국마스터,그 외 기타 전기장비 제조업 외 1 종,28909,충청북도 음성군 맹동면 덕금로235번길 8,043-882-0056,043-882-0058,30,2025-08-31
1163,(주)한국바이오헬스,부직포 및 펠트 제조업 외 2 종,13992,충청북도 음성군 원남면 원남산단로 274-8 (원남면),043-872-2360,043-872-2361,32,2025-08-31
1164,(주)한국바이오헬스 제2공장,그 외 기타 분류 안된 섬유제품 제조업 외 1 종,13999,충청북도 음성군 음성읍 충청대로 1620-21 (신화교역음성공장),043-872-2361,,11,2025-08-31
1165,(주)한국베링햄마린,기타 선박 건조업,31113,충청북도 음성군 금왕읍 금일로 604,043-883-7770,043-883-0408,2,2025-08-31
1166,(주)한국수연공업,운송장비 조립용 플라스틱제품 제조업 외 1 종,22241,충청북도 음성군 음성읍 한불로69번길 12-17,043-872-1376,043-842-8722,43,2025-08-31
1167,(주)한국슈어,자동차용 금속 압형제품 제조업 외 1 종,25913,충청북도 음성군 금왕읍 일생로 321-33,031-982-4138,031-878-0131,25,2025-08-31
1168,(주)한국씨엔에스팜,건강기능식품 제조업 외 6 종,10897,충청북도 음성군 원남면 상경로 16 외 5필지,043-873-2102,043-873-2104,104,2025-08-31
1169,(주)한국씨엔엠,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,23325,충청북도 음성군 음성읍 한벌리 90 외 1필지,,,10,2025-08-31
1170,(주)한국아덱스,접착제 및 젤라틴 제조업 외 2 종,20493,충청북도 음성군 원남면 원남산단1길 49-7,02-407-0496,02-407-0497,18,2025-08-31
1171,(주)한국알미늄 음성공장,플라스틱 필름 제조업 외 1 종,22212,충청북도 음성군 생극면 음성로 1858-8 (총 10 필지) 외 9필지,043-881-7244,043-881-7277,12,2025-08-31
1172,(주)한국윈텍,표면처리 및 적층 직물 제조업,13994,충청북도 음성군 대소면 대소산단로 77,031-765-7576,,42,2025-08-31
1173,(주)한국윈텍(제2공장),표면처리 및 적층 직물 제조업 외 2 종,13994,충청북도 음성군 대소면 대소산단로 81 외 1필지,043-532-6998,043-532-6997,11,2025-08-31
1174,(주)한국이엔지,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 대소면 미곡리 174 외 1필지,,,15,2025-08-31
1175,(주)한국이엠아이,기타 절연선 및 케이블 제조업,28302,충청북도 음성군 금왕읍 금일로183번길 59 외 2필지,043-883-6331,043-883-6332,15,2025-08-31
1176,(주)한국종합환경,액체 여과기 제조업,29176,충청북도 음성군 음성읍 신용로 183,,,3,2025-08-31
1177,(주)한국철망,금속선 가공제품 제조업,25944,충청북도 음성군 금왕읍 마루택길 71,043-877-2516,,7,2025-08-31
1178,(주)한국피씨에스,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 삼성면 대청로 200-15,043-881-6620,043-881-6941,25,2025-08-31
1179,(주)한국혁신주택,기타 구조용 금속제품 제조업,25119,충청북도 음성군 삼성면 마재길 44-7 외 6필지,043-750-7181,043-750-7191,5,2025-08-31
1180,(주)한국화장품제조음성공장,화장품 제조업 외 3 종,20423,충청북도 음성군 삼성면 대성로547번길 74,043-879-7500,043-879-7501,96,2025-08-31
1181,(주)한그루 농업회사법인,장류 제조업 외 2 종,10833,충청북도 음성군 소이면 후미리 755-1,043-872-8045,043-872-8046,1,2025-08-31
1182,(주)한농조경,구조용 금속 판제품 및 공작물 제조업 외 2 종,25112,충청북도 음성군 원남면 원중로47번길 22,043-872-7071,043-872-8577,4,2025-08-31
1183,(주)한독,생물 의약품 제조업 외 1 종,21211,충청북도 음성군 대소면 대풍산단로 78,043-530-1114,043-530-1003,272,2025-08-31
1184,(주)한라석재,건설용 석제품 제조업,23911,충청북도 음성군 대소면 한삼로 108-44,043-878-0947,043-878-0949,7,2025-08-31
1185,(주)한림,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 삼성면 청천로 104-25 외 5필지,043-753-8070,055-584-3070,40,2025-08-31
1186,(주)한림기업,비금속광물 분쇄물 생산업,23993,충청북도 음성군 대소면 수태로 30,043-882-8001,043-902-0083,6,2025-08-31
1187,(주)한백프리페브,기타 구조용 금속제품 제조업,25119,충청북도 음성군 생극면 임곡길 168-32,02-402-3913,043-878-4728,9,2025-08-31
1188,(주)한별강화,안전유리 제조업,23112,충청북도 음성군 금왕읍 생삼로207번길 157 외 4필지,043-883-6849,,10,2025-08-31
1189,(주)한별유리,판유리 제조업,23111,충청북도 음성군 원남면 보덕로 26,043-882-6849,043-883-6849,10,2025-08-31
1190,(주)한빛향료,그 외 기타 분류 안된 화학제품 제조업 외 3 종,20499,충청북도 음성군 대소면 대소산단로 44-56,043-537-0525,043-537-8073,30,2025-08-31
1191,(주)한빛향료 제1공장,기타 식품 첨가물 제조업 외 2 종,10839,충청북도 음성군 대소면 대소산단로 67 외 2필지,043-537-0525,043-537-8043,33,2025-08-31
1192,(주)한빛화학,"치약, 비누 및 기타 세제 제조업 외 7 종",20422,충청북도 음성군 삼성면 하이텍산단로 70 외 1필지,043-882-1601,043-881-3638,65,2025-08-31
1193,(주)한산에프앤지,천연 및 혼합조제 조미료 제조업 외 14 종,10832,충청북도 음성군 맹동면 맹동산단로 38-13,031-765-5930,031-766-6907,26,2025-08-31
1194,(주)한솔플랜트,주형 및 금형 제조업,29293,충청북도 음성군 대소면 오류리 529,043-882-0945,043-877-0945,4,2025-08-31
1195,(주)한송,그 외 기타 분류 안된 섬유제품 제조업 외 1 종,13999,"충청북도 음성군 대소면 대성로77번길 54, '다동' 외 3필지",043-879-1400,043-879-1477,15,2025-08-31
1196,(주)한스인,기타 목재가구 제조업,32029,충청북도 음성군 음성읍 덕생로 852,043-873-8841,,8,2025-08-31
1197,(주)한스팩토리,트레일러 및 세미트레일러 제조업 외 1 종,30203,충청북도 음성군 대소면 삼양로 952,,043-8817-737,2,2025-08-31
1198,(주)한신조명,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 대소면 대금로105번길 75,043-881-9020,043-882-9020,4,2025-08-31
1199,(주)한양공영(제1공장),구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 대소면 삼호리 517-1번지 외 2필지,043-881-0123,043-881-0124,15,2025-08-31
1200,(주)한양실리콘,기타 절연선 및 케이블 제조업,28302,충청북도 음성군 감곡면 상우길 125,043-882-0255,,6,2025-08-31
1201,(주)한얼누리,전동기 및 발전기 제조업 외 3 종,28111,충청북도 음성군 삼성면 선정로97번길 90-4,043-883-6731,043-883-6732,56,2025-08-31
1202,(주)한울바이오,건강보조용 액화식품 제조업 외 5 종,10896,충청북도 음성군 삼성면 용성로5번길 114,043-750-8122,070-7543-9906,7,2025-08-31
1203,(주)한울방재,분사기 및 소화기 제조업,29192,충청북도 음성군 대소면 산내로107번길 81-17,043-877-3119,043-878-3119,13,2025-08-31
1204,(주)한울테크,자동차 차체용 신품 부품 제조업 외 1 종,30320,충청북도 음성군 대소면 대동로428번길 57-1,043-883-6567,043-883-6569,26,2025-08-31
1205,(주)한일팜스,가금류 가공 및 저장 처리업 외 2 종,10121,충청북도 음성군 맹동면 맹동산단로 38-35,043-878-4744,043-878-4743,58,2025-08-31
1206,(주)한잎찬,김치류 제조업 외 2 종,10301,충청북도 음성군 소이면 한불로305번길 6-4 외 1필지,,,1,2025-08-31
1207,(주)한중피앤씨,기타 인쇄업 외 1 종,18119,충청북도 음성군 대소면 산내로107번길 36,043-532-3309,043-534-9216,16,2025-08-31
1208,(주)한택산업,기타 건축용 나무제품 제조업,16229,충청북도 음성군 생극면 대학길75번길 35-14 (총 2 필지) 외 1필지,,031-443-5710,5,2025-08-31
1209,(주)한푸드서비스,기타 식사용 가공처리 조리식품 제조업,10709,충청북도 음성군 생극면 생극산단1길 98,043-882-5116,043-882-5118,9,2025-08-31
1210,(주)허브패밀리 ,화장품 제조업 외 2 종,20423,충청북도 음성군 삼성면 금일로965번길 20 외 3필지,043-881-9378,,23,2025-08-31
1211,(주)현대웰슨,"라디오, 녹음 및 재생 기기 제조업 외 1 종",26521,충청북도 음성군 삼성면 청용리 424-10 외 1필지,,,6,2025-08-31
1212,(주)현대자동문,안전유리 제조업 외 1 종,23112,충청북도 음성군 금왕읍 금일로191번길 122,,,22,2025-08-31
1213,(주)현대포리텍,고무패킹류 제조업 외 4 종,22191,충청북도 음성군 음성읍 신용로 56-20 외 4필지,043-871-1114,043-871-1111,191,2025-08-31
1214,(주)현대포리텍,고무패킹류 제조업 외 1 종,22191,충청북도 음성군 원남면 원남산단로 273-31,043-871-1114,043-871-1111,40,2025-08-31
1215,(주)현테크,일반철물 제조업 외 4 종,25932,충청북도 음성군 감곡면 오향리 990-31,043-881-6712,043-882-6712,3,2025-08-31
1216,(주)혜인식품,가금류 가공 및 저장 처리업 외 1 종,10121,충청북도 음성군 맹동면 맹동산단1길 27-25,043-883-9070,043-883-9072,70,2025-08-31
1217,(주)혜인식품,가금류 가공 및 저장 처리업 외 2 종,10121,충청북도 음성군 금왕읍 금왕테크노로 66,043-883-1810,043-883-9072,34,2025-08-31
1218,(주)호연,육류 기타 가공 및 저장처리업 (가금류 제외) 외 3 종,10129,충청북도 음성군 대소면 삼양로 749,043-877-6268,043-882-3393,7,2025-08-31
1219,(주)호연,그 외 기타 특수목적용 기계 제조업,29299,충청북도 음성군 대소면 산내로 102,043-877-6268,043-882-3393,6,2025-08-31
1220,(주)홈푸드,기타 곡물 가공품 제조업 외 2 종,10519,충청북도 음성군 대소면 대성로 174-45 외 3필지,043-878-3853,043-878-3853,7,2025-08-31
1221,(주)홍운산업,신발 부분품 제조업 외 2 종,15220,충청북도 음성군 금왕읍 행제길 40,043-883-6449,043-885-6448,6,2025-08-31
1222,(주)홍익버스,자동차용 신품 의자 제조업 외 2 종,30393,충청북도 음성군 생극면 음성로 1864-18 외 5필지,043-882-8904,043-878-7788,5,2025-08-31
1223,(주)화신,배전반 및 전기 자동제어반 제조업 외 15 종,28123,충청북도 음성군 맹동면 맹동산단1길 60,043-877-3611,043-877-3615,40,2025-08-31
1224,(주)화인에스디,기타 기초 무기 화학물질 제조업 외 1 종,20129,충청북도 음성군 삼성면 대성로547번길 111-28 다동,043-877-6624,043-877-6625,5,2025-08-31
1225,(주)화인텍콤포지트,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 3 종,23325,충청북도 음성군 대소면 대동로428번길 40 (총 4 필지) 외 3필지,043-882-6970,,6,2025-08-31
1226,(주)화인프라텍 음성공장,플라스틱 필름 제조업 외 3 종,22212,"충청북도 음성군 원남면 원남산단로 208-13, [상당리 731]",043-873-5010,043-873-5013,55,2025-08-31
1227,(주)화조엠푸드,도시락류 제조업 외 4 종,10701,충청북도 음성군 금왕읍 유촌리 353-5,043-882-5028,043-881-5028,32,2025-08-31
1228,(주)화진물산,플라스틱 접착처리 제품 제조업 외 1 종,22291,충청북도 음성군 삼성면 대성로 438-39,043-883-0511,043-883-0514,12,2025-08-31
1229,(주)황금나라,화장품 제조업,20423,충청북도 음성군 금왕읍 오선산단로 22-20,043-534-0401,043-534-0402,35,2025-08-31
1230,(주)효림세울,모 방적업,13102,"충청북도 음성군 대소면 한삼로251번길 78, (삼정리 651-5)",043-881-8977,043-881-8979,56,2025-08-31
