순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,외국인(남),외국인(여),종업원수,생산품
258,부경엔지니어링,"부산광역시 영도구 남항남로19번길 19, (건축물일부) (남항동3가)",부산광역시 영도구 남항동3가 29-182번지 (건축물일부),내연기관 제조업,051-417-7242,051-413-7818,0,0,2,"피스톤, 라이너 등, 선박수리"
259,부경전기공업사,부산광역시 영도구 봉래나루로 178 (봉래동2가),부산광역시 영도구 봉래동2가 145-1번지,선박 구성 부분품 제조업,051-415-6369,051-415-6367,,,6,선박구성부분품제조업
260,부경테크,부산광역시 영도구 대평로27번길 22 (대평동1가),부산광역시 영도구 대평동1가 129-6번지,선박 구성 부분품 제조업,051-417-2230,,,,3,선박기관부속및 조속기 부속
261,부광엔지니어링,부산광역시 영도구 남항서로70번길 63 (남항동3가),부산광역시 영도구 남항동3가 96-4번지,선박 구성 부분품 제조업,051-415-1117,051-415-1117,,,3,선박 구성부분품
262,부산노즐,부산광역시 영도구 대평로34번길 9-11 (대평동2가),부산광역시 영도구 대평동2가 186번지,선박 구성 부분품 제조업,051-418-3795,051-413-6733,0,0,3,선박기관부품
263,부산방열 주식회사,부산광역시 영도구 태종로83번길 39(봉래동1가),부산광역시 영도구 봉래동1가 118,선박 구성 부분품 제조업,051-413-2190,051-413-2192,,,14,"선박 우레탄, 함석, 보온 제작"
264,부산유니텍,"부산광역시 영도구 해양로117번길 12, 외 1필지(청학동 1-133)(청학동, 부산유니텍)",부산광역시 영도구 청학동 1-91 부산유니텍 외 1필지(청학동 1-133),내연기관 제조업 외 5 종,051-412-1729,051-413-7105,0,0,11,선박내연기관부품(피스톤)외4종
265,부산조선주식회사,부산광역시 영도구 해양로15번길 1 (청학동),부산광역시 영도구 청학동 330-100,기타 선박 건조업 외 2 종,051-417-1717,051-417-2727,3,,33,"선박수리, 선박건조, 선박건조"
266,부산특수용접,부산광역시 영도구 남항동1가 38번지,부산광역시 영도구 남항동1가 38번지,금속 열처리업,051-416-2690,051-414-7955,0,0,5,"선박기관용접,선박기관부품"
267,부산하이테크,"부산광역시 영도구 대평남로 36, 1층 (대평동2가)",부산광역시 영도구 대평동2가 28-3 1층,선박 구성 부분품 제조업,051-852-5390,051-851-0760,,,1,"선박수리, 펌프샤프트 및 기어류 가공"
268,부성선박 주식회사,부산광역시 영도구 남항서로 127-1 (대교동1가) 외 3필지,부산광역시 영도구 대교동1가 104-1번지 외 3필지,선박 구성 부분품 제조업 외 1 종,051-416-6604,051-412-6605,0,0,4,"윈치,윈드라스"
269,부연선박,부산광역시 영도구 해양로79번길 18 (청학동),부산광역시 영도구 청학동 217-155,선박 구성 부분품 제조업,051-413-6634,051-413-1503,3,,10,"열교환기, 선박수리"
270,부일공업사,부산광역시 영도구 봉래나루로 242 (봉래동3가),부산광역시 영도구 봉래동3가 166-1번지,그 외 기타 플라스틱 제품 제조업,051-416-1696,051-412-0810,0,0,1,옷걸이
271,부일금속,부산광역시 영도구 봉래나루로 242 (봉래동3가),부산광역시 영도구 봉래동3가 166-1번지,기타 비철금속 주조업,051-416-1696,051-412-0810,0,0,4,비철금속 주조업
272,부일토탈마린,부산광역시 영도구 대평남로31번길 21 (대평동1가),부산광역시 영도구 대평동1가 157-20,선박 구성 부분품 제조업 외 1 종,051-416-9797,051-413-9799,,,1,선박수리
273,부전전기,부산광역시 영도구 대평로34번길 9-34 (대평동2가),부산광역시 영도구 대평동2가 201-7번지,선박 구성 부분품 제조업,051-418-6679,051-418-6678,,,2,전기판넬
274,부흥롤마스커(주),부산광역시 영도구 해양로 190 (청학동),부산광역시 영도구 청학동 1-197번지,"적층, 합성 및 특수표면처리 종이 제조업",051-405-3950,051-405-5837,,,18,선박도장용 커버마스커테이프
275,블루마린(주),"부산광역시 영도구 대평로20번길 23 (대평동1가, 하나빌)",부산광역시 영도구 대평동1가 10-2 번지,선박 구성 부분품 제조업,051-441-2357,051-441-2358,,,4,기관부품(가공품)
276,비에프마린테크,부산광역시 영도구 해양로 33-17 (청학동),부산광역시 영도구 청학동 330-141번지,내연기관 제조업,051-416-0509,,,,2,piston crown
277,비에프엔지니어링,"부산광역시 영도구 해양로 135 (청학동, 오성어구사)",부산광역시 영도구 청학동 1-125번지,선박 구성 부분품 제조업,051-416-0509,051-416-6298,0,0,4,"실린더, 라이너, 피스톤"
278,비엠케이마린(주),부산광역시 영도구 해양로 221-2 (동삼동),부산광역시 영도구 동삼동 201-50번지,선박 구성 부분품 제조업,051-405-5959,051-405-5656,,,4,선박수리-철의장
279,삼경이엔지,부산광역시 영도구 해양로 221-3 (동삼동),부산광역시 영도구 동삼동 201-44번지,선박 구성 부분품 제조업,051-405-9661,051-405-9662,,,4,선박기계부품(호스 및 연결구등)
280,삼성냉동 주식회사,"부산광역시 영도구 남항남로 4 (남항동3가, 삼성냉동)",부산광역시 영도구 남항동3가 141-82번지,기타 가공 공작기계 제조업,051-412-2223,051-415-0696,0,0,7,선박 냉동기 제작 및 수리
281,삼성선박공업사,부산광역시 영도구 남항서로70번길 32 (남항동3가),부산광역시 영도구 남항동3가 29-180번지,선박 구성 부분품 제조업,051-415-2685,051-415-2620,0,0,4,기관부품
282,삼성터보엔지니어링,부산광역시 영도구 남항남로 12 (남항동3가),부산광역시 영도구 남항동3가 141-191번지,기타 기관 및 터빈 제조업 외 1 종,051-413-8822,051-413-5766,0,0,6,"해, 육상기관 터보챠저, 해, 육상기관 터보챠저"
283,삼성테크,부산광역시 영도구 해양로 33-48 (청학동),부산광역시 영도구 청학동 330-131번지,"증류기, 열교환기 및 가스발생기 제조업",051-417-0417,051-972-3852,,,3,"열교환기, 쿨러"
284,삼세산업(주),부산광역시 영도구 절영로 503-3 (동삼동) 외 6필지,부산광역시 영도구 동삼동 451-1번지 외 6필지,절연 코드세트 및 기타 도체 제조업 외 2 종,051-418-2996,051-418-2998,,,144,통신케이블
285,삼영이에스티,"부산광역시 영도구 해양로 128, B동 2층(청학동, 대성주유소)",부산광역시 영도구 청학동 1-74 대성주유소 B동 2층,방송장비 제조업 외 1 종,,,,,3,"선박용cctv, 선박용화재통합경보장치"
286,삼영이엔씨 주식회사,부산광역시 영도구 일산봉로 1 (청학동),부산광역시 영도구 청학동 84-132번지,기타 무선 통신장비 제조업 외 1 종,051-601-6666,051-413-4446,,,110,"선박용 통신기기, 어군탐지기"
287,삼영이엔씨(주),부산광역시 영도구 상리로 69 (동삼동),부산광역시 영도구 동삼동 1123-17번지,기타 무선 통신장비 제조업 외 2 종,051-601-6666,051-412-6616,0,0,160,"GPS Plotter,GMDSS,AIS,단파통신체계"
288,삼영조선소,부산광역시 영도구 남항동2가 12-7번지 외 2필지,부산광역시 영도구 남항동2가 12-7번지 외 2필지,선박 구성 부분품 제조업 외 1 종,051-416-0107,051-418-0083,2,0,13,"선박수리,선박부품"
289,삼영해양,,부산광역시 영도구 남항동2가 12-16,선박 구성 부분품 제조업,051-416-0107,051-418-0083,,,1,선박 선체 제관
290,삼원IT,"부산광역시 영도구 절영로 71, 부산멀티미디어지원센터 401호 (남항동2가)",부산광역시 영도구 남항동2가 236-4 번지 부산멀티미디어지원센터 401호,기타 무선 통신장비 제조업 외 1 종,051-441-6031,051-441-6032,,,4,"AIS, AtoN, VHF송수신기"
291,삼정공업사,부산광역시 영도구 대평로46번길 7 (대평동2가),부산광역시 영도구 대평동2가 145-2번지,선박 구성 부분품 제조업,051-416-2043,051-416-4447,0,0,1,선박구성부분품
292,삼진엔지니어링,부산광역시 영도구 남항서로 6-12 (남항동3가),부산광역시 영도구 남항동3가 141-201번지,기타 일반 기계 및 장비 수리업 외 2 종,051-418-5288,051-418-6885,,,4,선박수리
293,삼창GTC,부산광역시 영도구 태종로89번길 36 (봉래동2가),부산광역시 영도구 봉래동2가 78-6번지,선박 구성 부분품 제조업,051-417-8227,051-417-8228,,,4,선박엔진
294,삼현정밀기계공업사,부산광역시 영도구 남항서로70번길 46-4 (남항동3가),부산광역시 영도구 남항동3가 73-31번지,그 외 기타 일반목적용 기계 제조업 외 2 종,051-417-5740,051-413-7336,0,0,4,통조림 밀봉기 및 부품
295,삼화조선 주식회사,"부산광역시 영도구 대평남로 61(대평동2가, 삼화조선)",부산광역시 영도구 대평동2가 3-4 삼화조선,강선 건조업 외 1 종,051-415-3421,051-415-3422,0,0,9,강선수리업
296,상운전기,부산광역시 영도구 해양로117번길 12 (청학동),부산광역시 영도구 청학동 1-91번지,선박 구성 부분품 제조업,051-412-7772,051-412-7773,,,2,발전기 모터수리
297,상원전기,부산광역시 영도구 대평로 13 (대평동1가),부산광역시 영도구 대평동1가 88-1번지,배전반 및 전기 자동제어반 제조업,051-417-2805,051-415-3559,0,0,3,전기 제어반
298,서주금속,부산광역시 영도구 해양로87번길 23 (청학동),부산광역시 영도구 청학동 217-99번지,"동 제련, 정련 및 합금 제조업",,051-414-8208,,,3,pump impella
299,서진엠텍 주식회사,부산광역시 영도구 해양로57번길 30 (청학동),부산광역시 영도구 청학동 217-128번지,선박 구성 부분품 제조업,051-412-3200,051-412-3201,,,5,선박수리
300,선경전기공업사,부산광역시 영도구 대평로 40 (대평동2가),부산광역시 영도구 대평동2가 168-1번지,배전반 및 전기 자동제어반 제조업,051-415-1218,051-412-1218,0,0,2,배전판 판넬
301,선박냉열,부산광역시 영도구 남항서로104번길 5 (남항동2가),부산광역시 영도구 남항동2가 36-5번지,선박 구성 부분품 제조업,051-415-3781,051-415-3780,0,0,1,Cooler 제작 및 수리
302,선우기업,부산광역시 영도구 절영로102번길 3 (영선동3가),부산광역시 영도구 영선동3가 66-6번지,선박 구성 부분품 제조업,051-418-3530,051-418-3531,,,3,CERAMIC가공
303,선우엔지니어링,"부산광역시 영도구 남항남로 23-7 (남항동3가, 선우엔지니어링)",부산광역시 영도구 남항동3가 73-23번지,선박 구성 부분품 제조업,051-417-6767,051-417-8898,0,0,8,"선박기관, 선박기관부품 제조"
304,선우종합해사(주),부산광역시 영도구 해양로 22 (청학동),부산광역시 영도구 청학동 326-6,선박 구성 부분품 제조업 외 3 종,051-417-8900,051-417-8902,,,0,선박수리
305,선우트레이딩전기(주),부산광역시 영도구 해양로 22 (청학동),부산광역시 영도구 청학동 326-6번지,배전반 및 전기 자동제어반 제조업 외 3 종,051-417-8900,051-417-8902,,,1,"배전반, 판넬"
306,선원상사(주),부산광역시 영도구 대평남로 6-7 (대평동1가),부산광역시 영도구 대평동1가 79번지,선박 구성 부분품 제조업,051-416-1810,051-416-2514,,,5,선박용 밸브류
307,선진조선(주) 1공장,부산광역시 영도구 대평남로51번길 14 (대평동2가) (총 2 필지),부산광역시 영도구 대평동2가 13-1번지,강선 건조업 외 5 종,051-414-8885,051-415-3350,0,0,39,선박수리
308,선진조선(주) 2공장,부산광역시 영도구 대평남로 55(대평동2가) 외 10필지,부산광역시 영도구 대평동2가 6-1 외 10필지,강선 건조업 외 3 종,051-414-8885,051-415-3350,6,,39,선박수리
309,성신엔지니어링,부산광역시 영도구 대평로33번길 17 (대평동1가),부산광역시 영도구 대평동1가 109-4번지,선박 구성 부분품 제조업,051-417-4675,051-418-4675,,,2,선박 구성 가공품 및 수리품
310,성신전기,"부산광역시 영도구 남항서로82번길 61 (남항동2가, 신영선박공장)",부산광역시 영도구 남항동2가 186-5번지,선박 구성 부분품 제조업,051-416-4929,051-416-4928,0,0,4,선박용 전기 Panel 제작
311,성심냉동공업사,부산광역시 영도구 해양로87번길 16 (청학동),부산광역시 영도구 청학동 217-164번지,선박 구성 부분품 제조업,051-416-0155,,,,1,선박부품
312,성심산업,부산광역시 영도구 남항남로9번길 6 (남항동3가),부산광역시 영도구 남항동3가 28-2번지,선박 구성 부분품 제조업,051-414-9701,051-414-9703,,,2,선박부품
313,성심전기,부산광역시 영도구 해양로 33-34 (청학동),부산광역시 영도구 청학동 330-133번지,선박 구성 부분품 제조업,051-418-8658,051-418-8659,1,,4,선박모터등
314,성아공업사,부산광역시 영도구 산업로 17 (청학동),부산광역시 영도구 청학동 3-7번지,기타 1차 비철금속 제조업,051-416-4995,051-416-4995,0,0,8,알루미늄가공(1차 비철금속)
315,성우전기,"부산광역시 영도구 해양로 33-34 (청학동, 성우전기공장)",부산광역시 영도구 청학동 330-133번지 성우전기공장,선박 구성 부분품 제조업,051-415-6525,,,,3,"모터,발전기 "
316,성원테크,부산광역시 영도구 해양로87번길 13 (청학동),부산광역시 영도구 청학동 217-104번지,"탭, 밸브 및 유사장치 제조업 외 1 종",051-412-8161,051-412-8162,,,3,"펌프가공품, 선박기관부품"
317,성은전기,부산광역시 영도구 대교로46번길 9 (봉래동1가),부산광역시 영도구 봉래동1가 187-1번지,선박 구성 부분품 제조업,051-413-9490,051-412-9490,,,3,"배전반, 분전함등"
318,성일공업사,부산광역시 영도구 대평로28번길 7 (대평동1가),부산광역시 영도구 대평동1가 39번지,선박 구성 부분품 제조업,051-417-6561,051-417-6562,,,1,선박구성부품(선박수리)
319,성진엔지니어링,,부산광역시 영도구 남항동3가 29-178,선박 구성 부분품 제조업 외 1 종,051-418-2875,051-418-4467,,,3,기관부품 및 선박의장품
320,성진정밀,"부산광역시 영도구 절영로102번길 8, 1층 (영선동3가)",부산광역시 영도구 영선동3가 50-3번지,절삭가공 및 유사처리업,051-416-9885,051-416-9886,0,0,2,"발브시드링,가이드(선박내연기관부품)"
321,성창마린,부산광역시 영도구 남항남로 16 (남항동3가),부산광역시 영도구 남항동3가 141-35,선박 구성 부분품 제조업,051-413-8009,051-413-5502,,,4,선박부품(유압) 
322,세기유압상사,"부산광역시 영도구 영선대로37번길 4, (일부) (영선동4가)",부산광역시 영도구 영선동4가 7-5번지 (일부),유압기기 제조업,051-412-2536,051-414-8440,0,0,3,유압기기(유압샤프트)
323,세명전기공업사,부산광역시 영도구 남항서로104번길 8 (남항동2가),부산광역시 영도구 남항동2가 30-13 번지,배전반 및 전기 자동제어반 제조업,051-417-9488,051-417-9487,,,4,전기판넬
324,세양실업(주),부산광역시 영도구 남항남로9번길 29 (남항동3가),부산광역시 영도구 남항동3가  1-32번지,도장 및 기타 피막처리업,051-418-6990,051-412-6990,,,4,선박도장등
325,세양종합상사,부산광역시 영도구 대평로33번길 18 (대평동2가),부산광역시 영도구 대평동2가 28-2 번지,선박 구성 부분품 제조업,051-417-8804,051-417-8805,,,6,"선박밸브, 선박의장품 등"
326,세연테크,부산광역시 영도구 해양로 24-7 (청학동),부산광역시 영도구 청학동 322-7번지,선박 구성 부분품 제조업,051-417-7253,051-418-7253,,,8,"선박냉동기, 에어콘 부품제작,수리"
327,세영선박공업(주),부산광역시 영도구 해양로117번길 20 (청학동),부산광역시 영도구 청학동 1-89번지,선박 구성 부분품 제조업,051-418-4541,051-418-4544,0,0,14,"선박용기관, 갑판부품 제작, 수리"
328,"세원, 아이비",부산광역시 영도구 절영로 133 (영선동4가),부산광역시 영도구 영선동4가 125-2번지,"근무복, 작업복 및 유사의복 제조업 외 2 종",051-413-4500,051-414-8686,0,0,6,"학생복, 유니폼"
329,세인전기,부산광역시 영도구 대평로45번길 7 (대평동2가),부산광역시 영도구 대평동2가 57-7,선박 구성 부분품 제조업,,051-404-8017,,,0,선박수리
330,세정ENG,부산광역시 영도구 남항서로 112 (남항동1가),부산광역시 영도구 남항동1가 35-4,선박 구성 부분품 제조업,051-415-0591,051-412-6361,,,3,연료펌프
331,세진전기상사,부산광역시 영도구 대평로 31 (대평동1가),부산광역시 영도구 대평동1가 104-1 번지,배전반 및 전기 자동제어반 제조업,051-415-5285,051-415-5292,,,4,"베이트투이기, 슈퍼로라, 판넬 등"
332,세창정밀,"부산광역시 영도구 남항서로92번길 14, 1층,2층(건축물일부) (남항동2가)",부산광역시 영도구 남항동2가 23-1번지,기어 및 동력전달장치 제조업,051-412-2507,051-416-2157,0,0,1,기어제작
333,세화기업,부산광역시 영도구 남항서로70번길 48 (남항동3가),부산광역시 영도구 남항동3가 73-32번지,선박 구성 부분품 제조업,051-417-2315,051-415-2326,0,0,3,선박목의장품
334,솔텍(주),"부산광역시 영도구 해양로65번길 26-17, 3호(청학동) (청학동)",부산광역시 영도구 청학동 217-160번지 3호(청학동),선박 구성 부분품 제조업,051-253-0355,,,,1,선박구성부품
335,송강에프앤비 (F&B),부산광역시 영도구 남항남로 23-9 (남항동3가),부산광역시 영도구 남항동3가 73-24번지,그 외 기타 식료품 제조업,051-412-0554,051-412-0999,,,5,건강식품
336,송산기업,부산광역시 영도구 대평로41번길 6(대평동2가),부산광역시 영도구 대평동2가 52,선박 구성 부분품 제조업,051-416-8272,051-413-0096,,,1,"선박구성부분품제조업, 선박목공품"
337,수성전기공업사,부산광역시 영도구 대평로 43(대평동2가),부산광역시 영도구 대평동2가 42-5,선박 구성 부분품 제조업,051-417-8929,051-417-8925,,,1,"선박부품(배전함,모터등)"
338,수정마린서비스,부산광역시 영도구 해양로195번나길 24(동삼동),부산광역시 영도구 동삼동 201-97,선박 구성 부분품 제조업,051-414-3454,051-414-3455,,,2,"선박수리(배관,외판,엔진)"
339,승광엔지니어링,"부산광역시 영도구 태종로 291, 1층 (청학동)",부산광역시 영도구 청학동 322-10번지 1층,선박 구성 부분품 제조업,051-414-9376,051-414-9377,,,3,"선박부품, 배관제작"
340,시온마린서비스,부산광역시 영도구 남항남로19번길 9 (남항동3가),부산광역시 영도구 남항동3가 29-116번지,기타 일반 기계 및 장비 수리업,051-418-7959,051-418-7958,,,1,장비수리
341,신강터빈,부산광역시 영도구 남항서로82번길 39 (남항동2가),부산광역시 영도구 남항동2가 157-3번지,선박 구성 부분품 제조업,051-418-6762,,,,5,선박터빈부품
342,신광선박공업사,부산광역시 영도구 대평로 10-6 (대평동1가),부산광역시 영도구 대평동1가 61번지,선박 구성 부분품 제조업,051-412-6011,,,,3,"파이프,선박부품"
343,신광엔지니어링,부산광역시 영도구 남항서로 100 (남항동2가),부산광역시 영도구 남항동2가 28-1번지,기타 일반 기계 및 장비 수리업,051-417-1784,051-415-1784,,,2,선박엔진수리
344,신대아엔지니어링,부산광역시 영도구 대평로53번길 2 (대평동2가),부산광역시 영도구 대평동2가 89-19번지,선박 구성 부분품 제조업,051-413-6475,051-415-4704,0,0,11,선박부품
345,신보프로펠러공업,부산광역시 영도구 태종로50번길 23 (대교동1가),부산광역시 영도구 대교동1가 31-2번지,선박 구성 부분품 제조업,051-418-7667,051-418-9311,0,0,2,선박프로펠라
346,신성이엔지,부산광역시 영도구 해양로 30 (청학동),부산광역시 영도구 청학동 322-6번지,선박 구성 부분품 제조업,051-413-9302,,,,0,선박부품
347,신아기업사,부산광역시 영도구 해양로 12 (청학동),부산광역시 영도구 청학동 326-7번지,선박 구성 부분품 제조업,051-415-4359,,,,6,선박의장 부분품
348,신정테크,부산광역시 영도구 대평로20번길 13 (대평동1가),부산광역시 영도구 대평동1가 1-3번지,방송장비 제조업 외 6 종,051-415-4429,,,,4,"폐쇄회로 텔레비전,영상감시장비"
349,신진터빈엔지니어링,"부산광역시 영도구 대평남로 47,  18-4번지 (대평동2가)",부산광역시 영도구 대평동2가  18-3번지,내연기관 제조업,051-414-7174,051-414-7130,0,0,3,터빈부품
350,신창공업사,부산광역시 영도구 대평로46번길 11-9 (대평동2가),부산광역시 영도구 대평동2가  128번지,선박 구성 부분품 제조업 외 1 종,051-412-6063,051-415-3325,0,0,6,선박구성부품제조
351,신한자이로사,부산광역시 영도구 대평로41번길 2-1 (대평동2가),부산광역시 영도구 대평동2가 42-10번지,선박 구성 부분품 제조업,051-413-9555,051-412-8984,,,3,전자기기(선박 나침반)
352,신한테크,부산광역시 영도구 해양로111번길 32 (청학동),부산광역시 영도구 청학동 1-37번지,선박 구성 부분품 제조업,051-416-9598,051-416-9581,0,0,2,수압 배관라인
353,신호전기,"부산광역시 영도구 남항남로 32-1 (남항동3가, 남항동 공장)",부산광역시 영도구 남항동3가 141-56번지,배전반 및 전기 자동제어반 제조업 외 1 종,051-415-4159,,0,0,2,"배전반 제작, 선박전기 수리"
354,신화테크,부산광역시 영도구 해양로 46 (청학동) 외 2필지,부산광역시 영도구 청학동 304-3번지 외 2필지,선박 구성 부분품 제조업,,051-416-1933,,,1,선박부품
355,썬마린토탈(주),"부산광역시 영도구 남항서로91번길 50 (남항동2가, 삼영조선소)",부산광역시 영도구 남항동2가 12-7번지 삼영조선소,선박 구성 부분품 제조업 외 1 종,051-728-7215,,,,4,수리업
356,썬테크,부산광역시 영도구 청학동로 47 (청학동),부산광역시 영도구 청학동 120-77번지,기타 무선 통신장비 제조업,051-413-5000,051-403-7200,,,1,기타무선 통신장비
357,씨나래 주식회사,부산광역시 영도구 해양로195번나길 44 (동삼동),부산광역시 영도구 동삼동 201-94,선박 구성 부분품 제조업,,051-261-7932,,,2,선박부품(추진기 등)
358,씨더블유마린테크,"부산광역시 영도구 남항남로19번길 5, 2층(남항동3가)",부산광역시 영도구 남항동3가 29-127 2층,선박 구성 부분품 제조업,051-417-3735,051-417-3736,,,1,"선박 제어반, 기동반 "
359,씨코리아엔지니어링,"부산광역시 영도구 해양로 65, 26-18 (청학동)",부산광역시 영도구 청학동 217-82번지 26-18,선박 구성 부분품 제조업,051-418-7401,,,,10,선박 구조물 제작
360,아리온통신 주식회사 부산지점,"부산광역시 영도구 산업로 25, 2층 (청학동)",부산광역시 영도구 청학동 3-1 2층,기타 무선 통신장비 제조업,051-463-7517,051-463-7519,,,7,위치추적 통신장비
361,아신전기엔지니어링,"부산광역시 영도구 절영로50번길 5, 1/3 (남항동1가)",부산광역시 영도구 남항동1가 80-2번지,배전반 및 전기 자동제어반 제조업,051-415-2949,051-412-3806,0,0,2,"집어등, 수중등, 권양기 제작"
362,아이에스테크,부산광역시 영도구 해양로15번길 1 (청학동),부산광역시 영도구 청학동 330-100,선박 구성 부분품 제조업,051-414-7073,051-414-7100,,,3,"선박수리, 선박의장품"
363,아이엠마린,부산광역시 영도구 남항남로 32-1 (남항동3가),부산광역시 영도구 남항동3가 141-56,선박 구성 부분품 제조업,051-413-0815,051-413-6954,,,2,"선박엔진파트 가공 생산, 수리"
364,아자엔지니어링,"부산광역시 영도구 해양로15번길 18, A동(일부) (청학동)",부산광역시 영도구 청학동 330-9번지 A동(일부),선박 구성 부분품 제조업,051-418-6385,051-413-6385,0,0,11,선박의장품
365,안전전기,부산광역시 영도구 남항서로 6-8(남항동3가),부산광역시 영도구 남항동3가 141-202,선박 구성 부분품 제조업,051-417-8794,051-414-8794,,,5,"선박부품제조 및 수리(선박모터, 발전기, 선박전기)"
366,에스더마린,부산광역시 영도구 해양로195번나길 44 (동삼동),부산광역시 영도구 동삼동 201-94,기타 일반 기계 및 장비 수리업 외 1 종,,0504-076-9373,,,2,"선박부품, 유압장비"
367,에스에스마린솔루션,"부산광역시 영도구 대평로20번길 9, 백경유압 내(대평동1가)",부산광역시 영도구 대평동1가 1-4 백경유압 내,선박 구성 부분품 제조업,051-417-2100,051-417-2400,,,1,"유압크레인 수리, 해치커버 수리, Ro-Ro선 장비 수리"
368,에스엠엔지니어링,부산광역시 영도구 대평남로 45 (대평동2가),부산광역시 영도구 대평동2가 21,선박 구성 부분품 제조업,051-414-8529,051-418-8569,,,2,"제조, 선박수리"
369,에스이앤에스(주),"부산광역시 영도구 봉래나루로 285, 1층 1호 (봉래동4가)",부산광역시 영도구 봉래동4가 1 1층 1호,선박 구성 부분품 제조업,051-416-9184,051-416-9188,,,2,선박구성부분품
370,에스지엔지니어링,부산광역시 영도구 해양로195번나길 22 (동삼동),부산광역시 영도구 동삼동 201-98,선박 구성 부분품 제조업,051-414-6614,051-414-6615,,,2,"선박용 의장 부속품, 선박수리"
371,에스케이브이(주),부산광역시 영도구 절영로94번길 9-9 (영선동3가),부산광역시 영도구 영선동3가 48-2번지,선박 구성 부분품 제조업,051-417-8951,051-413-9617,,,4,밸브
372,에이스산업,부산광역시 영도구 청학동 1-95번지 (일부) 외 1필지,부산광역시 영도구 청학동 1-95번지 (일부) 외 1필지,내연기관 제조업 외 1 종,051-418-8116,051-418-9118,0,0,10,"선박내연기관부품,철구조물"
373,에이제트마린,부산광역시 영도구 해양로182번길 14(청학동),부산광역시 영도구 청학동 1-219,선박 구성 부분품 제조업 외 4 종,,051-412-9185,,,0,선박부품
374,에이치에스(HS)마린 엔지니어링,부산광역시 영도구 대평남로51번길 5 (대평동2가),부산광역시 영도구 대평동2가 14번지,선박 구성 부분품 제조업 외 1 종,051-413-0075,051-413-0076,,,6,"선박수리, 선박부품 제조"
375,에이치케이 엘이디테크,"부산광역시 영도구 남항남로 41, 2층(남항동3가) (남항동3가)",부산광역시 영도구 남항동3가 135-2번지 2층(남항동3가),선박 구성 부분품 제조업,051-417-8881,,,,3,선박제어기기
376,에이치티이(HTE),부산광역시 영도구 대평로6번길 7(대평동1가),부산광역시 영도구 대평동1가 55,선박 구성 부분품 제조업,051-416-4950,051-413-3322,,,4,선박구성부분품제조업
377,엘에스지마리타임,부산광역시 영도구 대평남로 52 (대평동2가),부산광역시 영도구 대평동2가 57-10번지,선박 구성 부분품 제조업,051-418-1321,051-413-8979,0,0,4,라이나
378,엘와이티마린,부산광역시 영도구 해양로 194 (청학동),부산광역시 영도구 청학동 1-199번지,선박 구성 부분품 제조업,051-412-0491,051-414-9871,,,12,선박부품
379,엘케이컨트롤,부산광역시 영도구 해양로195번나길 38 (동삼동),부산광역시 영도구 동삼동 201-101,선박 구성 부분품 제조업,051-711-7251,0504-207-7249,,,4,"선박점검, 기술검사, 선박구성부분품제조(선박용 전기판넬)"
380,엠앤씨엔지니어링 주식회사,"부산광역시 영도구 산업로 23 (청학동, 일신빌딩)",부산광역시 영도구 청학동 3-29번지,선박 구성 부분품 제조업 외 1 종,051-418-8306,051-418-8305,0,0,9,"선박구성부분품 제조, 발효기 제조"
381,엠에스엔티(주),부산광역시 영도구 대평로46번길 16 (대평동2가),부산광역시 영도구 대평동2가 201-1번지,기타 선박 건조업,051-412-1970,,,,4,선박수리 
382,엠엠에스,부산광역시 영도구 해양로 33-32 (청학동),부산광역시 영도구 청학동 330-134번지,선박 구성 부분품 제조업,051-412-4666,051-412-4662,,,1,선박엔진등
383,영광마린,부산광역시 영도구 대평남로 68-1 (대평동2가),부산광역시 영도구 대평동2가 89-6,선박 구성 부분품 제조업,051-417-4410,,,,1,선박부품 제조 및 수리(배관 등)
384,영광전기,"부산광역시 영도구 대평로42번길 3, 1층일부 (대평동2가)",부산광역시 영도구 대평동2가 157번지 1층일부,배전반 및 전기 자동제어반 제조업,051-415-3590,051-415-3591,0,0,1,선박전기제어장치
385,영남금속공업사,부산광역시 영도구 남항서로92번길 38 (남항동2가),부산광역시 영도구 남항동2가 65-28번지,기타 비철금속 주조업,051-416-1595,051-412-9119,0,0,22,"자동차부품, 낚시릴"
386,영남테크엔지니어링,부산광역시 영도구 남항서로 12-9 (남항동3가),부산광역시 영도구 남항동3가 141-122,선박 구성 부분품 제조업,051-418-9148,051-418-9147,,,3,선박수리
387,영도발전기,부산광역시 영도구 남항서로92번길 31 (남항동2가) (총 2 필지) 외 1필지,부산광역시 영도구 남항동2가 68-10번지 외 1필지,전동기 및 발전기 제조업,051-416-4481,051-416-4480,0,0,3,이동식 발전기 제작수리
388,영도조선(주),부산광역시 영도구 대평남로51번길 26 (대평동2가),부산광역시 영도구 대평동2가 12-3번지,강선 건조업 외 1 종,051-416-1001,051-416-1006,0,0,15,선박수리
389,영성전기,부산광역시 영도구 대평로27번길 21 (대평동1가),부산광역시 영도구 대평동1가 128-5번지,선박 구성 부분품 제조업,051-417-5325,051-416-5324,,,1,전기판넬외
