연번,업체명,소재지,업종구분,산업분류코드,전화번호,팩스번호,고용인원수,데이터기준일자
1395,(주)한주스틸,광주광역시 광산구 용아로 799(안청동),그 외 기타 1차 철강 제조업,24199,062-954-1516,,5,2025-09-04
1396,(주)한진기공 ,광주광역시 광산구 진곡산단중앙로 218 (진곡동),그 외 기타 일반목적용 기계 제조업,29199,062-953-1642,062-953-1644,9,2025-09-04
1397,(주)한진디엔비,광주광역시 광산구 하남산단천변우로 42 (도천동),건설 및 채광용 기계장비 제조업,29241,062-953-4510,,12,2025-09-04
1398,(주)한진디엔비,광주광역시 광산구 하남산단천변우로 38 (도천동),건설 및 채광용 기계장비 제조업,29241,062-953-4510,,11,2025-09-04
1399,(주)한진디엔비,광주광역시 광산구 하남산단10번로 49 (안청동),건설 및 채광용 기계장비 제조업,29241,062-953-4510,,60,2025-09-04
1400,(주)한진에프에이,광주광역시 광산구 하남산단8번로 127-18 (안청동),컨베이어장치 제조업  ,29163,062-955-5086,062-955-5071,8,2025-09-04
1401,(주)한천,광주광역시 광산구 손재로 251 (하남동),건설 및 채광용 기계장비 제조업,29241,062-956-7710,,6,2025-09-04
1402,(주)해길,"광주광역시 광산구 하남산단천변우로 50, 골드라인단지A동 105호 (도천동)",금속탱크 및 저장용기 제조업,25122,062-269-0404,,1,2025-09-04
1403,(주)해성판넬,광주광역시 광산구 평동산단연산로 49 (연산동),구조용 금속 판제품 및 공작물 제조업,25112,062-941-1300,062-941-2244,24,2025-09-04
1404,(주)해수 하남지점,"광주광역시 광산구 하남산단천변좌로 19, 109호 (오선동) (오선동)",광섬유 케이블 제조업,28301,,,1,2025-09-04
1405,(주)해안,광주광역시 광산구 용아로 568 (장덕동) 가동,기타 직물제품 제조업,13229,062-952-0119,0504-035-6830,16,2025-09-04
1406,(주)해연이엔지,"광주광역시 광산구 평동산단5번우로 40, 가동, 나동 (월전동)",주형 및 금형 제조업  ,29293,062-943-3051,0504-324-0986,8,2025-09-04
1407,(주)해원에스비엠,광주광역시 광산구 평동산단7번로 16-13 (연산동),구조용 금속 판제품 및 공작물 제조업,25112,062-955-4757,062-955-4756,12,2025-09-04
1408,(주)해일전기,"광주광역시 광산구 평동옥동로 6, 가동 (월전동)",배전반 및 전기 자동제어반 제조업,28123,062-714-3070,062-714-3075,4,2025-09-04
1409,(주)해찬,광주광역시 광산구 하남산단3번로 22(장덕동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-956-1957,062-956-1958,11,2025-09-04
1410,(주)헤드라인,"광주광역시 광산구 진곡산단1번로 30, (주)헤드라인(오선동)",그 외 기타 전자부품 제조업,26299,062-383-3530,,3,2025-09-04
1411,(주)현경테크,광주광역시 광산구 임곡동 131-12번지,그 외 기타 금속가공업,25929,,,2,2025-09-04
1412,(주)현대금속,광주광역시 광산구 하남산단천변좌로 63-7 (안청동),그 외 자동차용 신품 부품 제조업  ,30399,062-954-3730,,19,2025-09-04
1413,(주)현대기연,광주광역시 광산구 사암로118번길 6 (우산동),기타 물품 취급장비 제조업,29169,062-511-6145,062-511-6147,3,2025-09-04
1414,(주)현대디에스,광주광역시 광산구 하남산단3번로 46 (장덕동),주형 및 금형 제조업,29293,062-954-1056,062-952-1056,9,2025-09-04
1415,(주)현대스프링,광주광역시 광산구 평동산단로169번길 24-19 (월전동),자동차용 금속 압형제품 제조업  ,25913,062-956-8082,062-956-8083,12,2025-09-04
1416,(주)현대엠앤피,광주광역시 광산구 어등대로595번길 72 (소촌동),디지털 적층 성형기계 제조업  ,29222,062-941-6391,062-941-6491,8,2025-09-04
1417,(주)현대철강,광주광역시 광산구 용아로 728 (오선동),그 외 기타 1차 철강 제조업,24199,062-955-7114,,17,2025-09-04
1418,(주)현대코리안,광주광역시 광산구 임방울대로 1 (우산동),그 외 기타 가구 제조업,32099,,062-956-6855,10,2025-09-04
1419,(주)현대특수정밀,광주광역시 광산구 하남산단3번로 113 (장덕동),자동차용 금속 압형제품 제조업  ,25913,062-955-2314,,1,2025-09-04
1420,(주)현대하이텍,광주광역시 광산구 하남산단6번로 47 (오선동),그 외 자동차용 신품 부품 제조업  ,30399,062-954-2241,062-952-2186,92,2025-09-04
1421,(주)현대하이텍,광주광역시 광산구 하남산단6번로 29 (오선동),자동차 차체용 신품 부품 제조업,30320,062-953-2240,062-952-2186,27,2025-09-04
1422,(주)현대하이텍,광주광역시 광산구 평동산단5번좌로 81 (월전동),자동차 차체용 신품 부품 제조업,30320,062-953-2240,062-952-2186,21,2025-09-04
1423,(주)현명,광주광역시 광산구 하남산단9번로 186-35 (도천동),금속 절삭기계 제조업,29223,,,3,2025-09-04
1424,(주)현민,광주광역시 광산구 운수동 248 번지 외 1필지,자동차 차체용 신품 부품 제조업  ,30320,,,5,2025-09-04
1425,(주)현보정밀,광주광역시 광산구 하남산단6번로 46-11 (오선동),주형 및 금형 제조업,29293,062-953-3243,062-953-3249,20,2025-09-04
1426,(주)현우기공,광주광역시 광산구 용아로 651 (오선동),주형 및 금형 제조업,29293,062-954-4369,062-954-5178,26,2025-09-04
1427,(주)현진하이테크,"광주광역시 광산구 하남울로12번상길 13, 4층(하남동)",기타 음향기기 제조업  ,26529,062-603-2222,062-603-2225,9,2025-09-04
1428,(주)현태금형,광주광역시 광산구 하남산단6번로 46-18 (오선동),주형 및 금형 제조업,29293,062-953-0980,,26,2025-09-04
1429,(주)현태금형,광주광역시 광산구 하남산단6번로 46-22 (오선동),주형 및 금형 제조업,29293,062-953-0980,062-953-1878,32,2025-09-04
1430,(주)현태정밀,광주광역시 광산구 진곡산단3번로 59-42 (진곡동),주형 및 금형 제조업,29293,062-953-0970,,12,2025-09-04
1431,(주)협동엔터프라이즈,광주광역시 광산구 용아로 494 (하남동),음ㆍ식료품 및 담배 가공기계 제조업  ,29250,062-956-8077,062-956-8079,30,2025-09-04
1432,(주)협신종합기계,광주광역시 광산구 용아로 621 (오선동),디지털 적층 성형기계 제조업  ,29222,062-955-6008,062-955-6028,5,2025-09-04
1433,(주)형제이엔지,광주광역시 광산구 평동산단3번로 91 (용동),전동기 및 발전기 제조업  ,28111,062-945-9337,062-945-9338,3,2025-09-04
1434,(주)형제이엔지,광주광역시 광산구 월봉반월길 121 (산월동),전동기 및 발전기 제조업  ,28111,062-945-9337,062-945-9338,14,2025-09-04
1435,(주)형진,광주광역시 광산구 용아로 581 (장덕동),주형 및 금형 제조업,29293,,,5,2025-09-04
1436,(주)혜승테크,"광주광역시 광산구 하남산단천변좌로 25, 5층 504-1호 (오선동) 5층 504-1호",전자부품 실장기판 제조업  ,26224,062-973-6882,,2,2025-09-04
1437,(주)호남범우,광주광역시 광산구 하남산단9번로 195-1 (도천동),그 외 자동차용 신품 부품 제조업  ,30399,062-955-1128,,16,2025-09-04
1438,(주)호남샤니,광주광역시 광산구 하남산단5번로 67 (장덕동),빵류 제조업,10602,062-600-5010,062-600-5039,352,2025-09-04
1439,(주)호남하이테크,광주광역시 광산구 하남산단8번로 176 (도천동),그 외 기타 고무제품 제조업,22199,062-961-5555,,3,2025-09-04
1440,(주)호리기공,광주광역시 광산구 평동산단로143번길 16 (월전동),기타 물품 취급장비 제조업  ,29169,062-953-3665,062-953-3655,12,2025-09-04
1441,(주)호산테크,광주광역시 광산구 하남산단3번로 32 (장덕동),경 인쇄업,18111,070-4235-7380,062-955-7380,5,2025-09-04
1442,(주)호수,광주광역시 광산구 평동산단2번로 177 (장록동),육상 금속 골조 구조재 제조업  ,25113,062-945-9821,062-945-9822,10,2025-09-04
1443,(주)호원,광주광역시 광산구 용아로 633 (오선동),가정용 및 산업용 공기 조화장치 제조업  ,29172,062-953-8311,,1,2025-09-04
1444,(주)호원 ,광주광역시 광산구 용아로 548 (장덕동) 외 10필지,그 외 자동차용 신품 부품 제조업  ,30399,062-959-8312,062-959-8315,457,2025-09-04
1445,(주)호원 소촌공장,광주광역시 광산구 소촌로85번길 40-23 (소촌동),자동차 차체용 신품 부품 제조업  ,30320,062-944-8311,062-944-8316,215,2025-09-04
1446,(주)호원 소촌공장,"광주광역시 광산구 소촌로85번길 40-23, (소총동 858) (소촌동)",가정용 및 산업용 공기 조화장치 제조업  ,29172,062-945-8311,062-944-8317,35,2025-09-04
1447,(주)홍익홀링스,광주광역시 광산구 하남산단6번로 21-8 (오선동),기타 구조용 금속제품 제조업,25119,062-610-5778,062-610-5779,4,2025-09-04
1448,(주)화성알텍,광주광역시 광산구 손재로 257-9 (하남동),자동차용 금속 압형제품 제조업  ,25913,062-953-4840,062-953-4841,31,2025-09-04
1449,(주)화수,광주광역시 광산구 손재로287번길 80(하남동),운송장비 조립용 플라스틱제품 제조업  ,22241,062-955-1433,,7,2025-09-04
1450,(주)화승산업,광주광역시 광산구 손재로 368-9 (오선동),그 외 기타 특수목적용 기계 제조업  ,29299,062-953-4500,062-951-2878,4,2025-09-04
1451,(주)화신,광주광역시 광산구 하남산단천변좌로 75 (안청동),냉간 압연 및 압출 제품 제조업  ,24122,062-951-4041,,4,2025-09-04
1452,(주)화인모텍,광주광역시 광산구 하남산단9번로 20 (안청동),자동차 차체용 신품 부품 제조업  ,30320,062-951-2341,062-951-2340,24,2025-09-04
1453,(주)화인씨앤에스,광주광역시 광산구 평동산단6번로 11 (월전동),그 외 자동차용 신품 부품 제조업  ,30399,070-7537-2753,070-7543-2754,223,2025-09-04
1454,(주)화인특장,광주광역시 광산구 평동산단2번로 108 (옥동),차체 및 특장차 제조업  ,30201,062-943-2370,062-943-2372,36,2025-09-04
1455,(주)화정정밀,광주광역시 광산구 하남산단2번로 106 (하남동),동력식 수지공구 제조업,29193,062-955-9623,062-955-9625,10,2025-09-04
1456,(주)화진테크,"광주광역시 광산구 평동영천길 2-3, 및 521-1, 521-5번지 (지죽동)",기타 가정용 전기기기 제조업,28519,062-944-0348,062-944-0379,12,2025-09-04
1457,(주)황금에스티,광주광역시 광산구 하남산단5번로 5 (장덕동),육상 금속 골조 구조재 제조업  ,25113,062-952-8430,062-952-8435,5,2025-09-04
1458,(주)황성수컴퍼니,"광주광역시 광산구 하남산단6번로 57,(오선동) 산업동 2층 202호 외 1필지",그 외 기타 플라스틱 제품 제조업,22299,,,13,2025-09-04
1459,(주)효광산기,광주광역시 광산구 용동길 47 (용동) 외 1필지,농업 및 임업용 기계 제조업,29210,,,5,2025-09-04
1460,(주)효동식품,광주광역시 광산구 평동로803번길 89 (용동) 외 1필지,기타 곡물 가공품 제조업,10519,062-944-6060,062-944-6059,36,2025-09-04
1461,(주)흥성정밀,광주광역시 광산구 하남산단천변좌로 117 (안청동),컨베이어장치 제조업  ,29163,062-954-0331,062-954-0338,14,2025-09-04
1462,(주)흥신산업,광주광역시 광산구 평동로803번길 141 (옥동),금속 표시판 제조업  ,25994,062-943-0805,062-943-0811,18,2025-09-04
1463,(주)흰누리,광주광역시 광산구 상무대로 507-17 (우산동),기타 수산동물 가공 및 저장 처리업,10219,,,12,2025-09-04
1464,(주)힐링앤라이프,광주광역시 광산구 하남산단8번로 127-24 (안청동),기타 직물제품 제조업,13229,062-456-6500,062-456-7707,20,2025-09-04
1466,100일 아이스,광주광역시 광산구 용동 324-2번지,그 외 기타 분류 안된 화학제품 제조업  ,20499,,062-945-3347,10,2025-09-04
1467,518민주화운동부상자회 디지털시트 인쇄물 제조사업소,"광주광역시 광산구 하남산단4번로 91, 제2동 (장덕동)","적층, 합성 및 특수표면처리 종이 제조업",17904,062-714-2518,062-714-2519,1,2025-09-04
1468,CM TECK,광주광역시 광산구 하남산단9번로 186-40 (도천동),주형 및 금형 제조업,29293,062-956-2090,,2,2025-09-04
1469,CTM(씨티엠),광주광역시 광산구 평동산단로143번길 52 (월전동),주형 및 금형 제조업,29293,062-943-2208,062-943-2209,3,2025-09-04
1470,EG테크,광주광역시 광산구 금봉로64번길 16 (소촌동),고무패킹류 제조업  ,22191,070-8844-6103,062-944-6012,2,2025-09-04
1471,HNR행거앤랙,광주광역시 광산구 연산로 303-3 (옥동),금속 가구 제조업,32091,062-943-0208,062-943-0206,3,2025-09-04
1472,MOTORTOOL,광주광역시 광산구 북문대로420번길 166 (신창동),"물질 검사, 측정 및 분석기구 제조업  ",27213,062-351-4200,062-361-4200,7,2025-09-04
1473,NH순한한우조합공동사업법인,광주광역시 광산구 평동로803번길 83-28(용동),육류 포장육 및 냉동육 가공업 (가금류 제외),10122,062-944-4900,062-944-4901,12,2025-09-04
1474,OR SYSTEM,광주광역시 광산구 진곡산단2번로 39-12 (오선동),배전반 및 전기 자동제어반 제조업,28123,062-956-7026,062-953-7027,3,2025-09-04
1475,SJ몰드에칭,광주광역시 광산구 하남산단6번로 22 (오선동),절삭가공 및 유사처리업,25924,062-531-6541,062-531-6542,5,2025-09-04
1476,SM(에스엠),광주광역시 광산구 사암로 429 (흑석동),분사기 및 소화기 제조업,29192,062-959-1511,062-959-1512,3,2025-09-04
1477,TG ENG,광주광역시 광산구 하남산단천변우로 66 (도천동),건설 및 채광용 기계장비 제조업,29241,062-972-8153,062-972-8152,7,2025-09-04
1478,jc테크,광주광역시 광산구 하남산단천변좌로 119 (안청동),주형 및 금형 제조업,29293,062-956-7487,,1,2025-09-04
1479,㈜건영기업,광주광역시 광산구 평동산단1번로 29 (옥동),자동차 차체용 신품 부품 제조업  ,30320,062-945-6530,062-945-6529,24,2025-09-04
1480,㈜건영오토,광주광역시 광산구 평동산단1번로 48 (옥동),자동차 차체용 신품 부품 제조업  ,30320,062-945-6510,062-945-6529,16,2025-09-04
1481,㈜건화,광주광역시 광산구 평동산단로 239-7 (옥동),금속선 가공제품 제조업  ,25944,062-943-0652,062-943-0653,9,2025-09-04
1482,㈜광명바이오산업,광주광역시 광산구 평동로803번길 117-84 (용동),"플라스틱 선, 봉, 관 및 호스 제조업  ",22211,062-943-4274,062-943-4276,7,2025-09-04
1483,㈜광명스치로폴,광주광역시 광산구 월전로 60 (월전동),폴리스티렌 발포 성형제품 제조업  ,22251,062-941-1300,062-941-2244,6,2025-09-04
1484,㈜광우파이텍,광주광역시 광산구 평동로803번길 83-16 (용동),그 외 자동차용 신품 부품 제조업  ,30399,062-942-7000,062-941-3000,8,2025-09-04
1485,㈜금천정공,광주광역시 광산구 평동산단1번로 51 (옥동),산업처리공정 제어장비 제조업  ,27216,062-945-3411,062-945-3410,7,2025-09-04
1486,㈜금형정밀,광주광역시 광산구 평동산단2번로 190 (장록동),절삭가공 및 유사처리업,25924,062-945-2405,062-945-2406,10,2025-09-04
1487,㈜대동계전,광주광역시 광산구 평동산단2번로 25-1 (용동),배전반 및 전기 자동제어반 제조업  ,28123,062-943-0835,062-943-0837,14,2025-09-04
1488,㈜대성호이스트,광주광역시 광산구 평동산단로143번길 11 (월전동),기타 물품 취급장비 제조업,29169,062-511-7117,062-943-7117,5,2025-09-04
1489,㈜대신테크,광주광역시 광산구 평동로803번길 83-38 (용동),자동차용 금속 압형제품 제조업  ,25913,062-953-1310,062-953-1340,46,2025-09-04
1490,㈜대유에이텍 제1공장,광주광역시 광산구 소촌로123번길 40-11 (소촌동),그 외 자동차용 신품 부품 제조업  ,30399,062-942-8611,062-943-8611,120,2025-09-04
1491,㈜대유에이텍 제2공장,광주광역시 광산구 소촌로123번길 40-12 (소촌동) 외 1필지,그 외 자동차용 신품 부품 제조업  ,30399,062-942-7161,062-942-7163,161,2025-09-04
1492,㈜대유에이텍 제3공장,광주광역시 광산구 소촌로123번길 40-7 (소촌동),그 외 자동차용 신품 부품 제조업  ,30399,062-942-8611,062-943-8611,7,2025-09-04
1493,㈜대한방화문,광주광역시 광산구 평동산단로 235 (옥동),플라스틱 창호 제조업  ,22223,062-946-5444,062-946-5404,9,2025-09-04
1494,㈜디에스시,광주광역시 광산구 평동로803번길 43-17 (옥동) 외 1필지,그 외 자동차용 신품 부품 제조업  ,30399,062-946-1301,062-946-1304,12,2025-09-04
1495,㈜디에이치정공,광주광역시 광산구 평동산단2번로 181 (장록동),그 외 기타 전자부품 제조업  ,26299,062-960-1800,062-960-1806,35,2025-09-04
1496,㈜메탈코리아,광주광역시 광산구 평동산단1번로 10 (용동),알루미늄주물 주조업,24321,062-714-1466,062-714-1468,9,2025-09-04
1497,㈜모아에스엔피,광주광역시 광산구 평동산단5번좌로 25 (월전동),도장 및 기타 피막처리업,25923,062-955-6076,062-946-0300,80,2025-09-04
1498,㈜무등기업평동,광주광역시 광산구 평동산단로 297 (옥동),그 외 자동차용 신품 부품 제조업  ,30399,062-945-9553,062-945-5533,95,2025-09-04
1499,㈜바이오플랜트,광주광역시 광산구 평동로803번길 117 (용동),그 외 기타 특수목적용 기계 제조업  ,29299,062-955-0113,,5,2025-09-04
1500,㈜바이탈오투,광주광역시 광산구 평동로803번길 117-86 (용동),화학 살균.살충제 및 농업용 약제 제조업  ,20321,,02-401-2266,3,2025-09-04
1501,㈜부성샤프트,광주광역시 광산구 평동로 831-15 (옥동),그 외 자동차용 신품 부품 제조업  ,30399,062-953-8700,062-953-9669,10,2025-09-04
1502,㈜삼성정공,광주광역시 광산구 평동로803번안길 93-13 (용동),자동차용 금속 압형제품 제조업  ,25913,062-953-2077,062-953-2077,10,2025-09-04
1503,㈜삼일하이테크,광주광역시 광산구 평동산단로143번길 19 (월전동),절삭가공 및 유사처리업,25924,062-953-1759,062-954-1759,6,2025-09-04
1504,㈜서연이화,광주광역시 광산구 월전동 1253번지,플라스틱 필름 제조업  ,22212,062-940-9912,062-940-9901,1,2025-09-04
1505,㈜서연인테크,광주광역시 광산구 월전로 45 (월전동),플라스틱 필름 제조업  ,22212,062-940-9900,062-940-9901,31,2025-09-04
1506,㈜성보기계설비,광주광역시 광산구 소촌로 17 (소촌동),육상 금속 골조 구조재 제조업  ,25113,062-941-2554,062-942-9775,10,2025-09-04
1507,㈜성일이노텍,광주광역시 광산구 평동산단로62번길 11 (월전동),스크린 인쇄업  ,18112,062-945-6671,062-945-6674,54,2025-09-04
1508,㈜세강엔지니어링,광주광역시 광산구 평동옥동로 6 (월전동),배전반 및 전기 자동제어반 제조업  ,28123,062-714-1372,062-714-1373,4,2025-09-04
1509,㈜세롬,광주광역시 광산구 평동로803번길 43-7 (옥동),기타 인쇄업,18119,062-945-9767,062-945-9762,34,2025-09-04
1510,㈜세정튜브,광주광역시 광산구 평동산단로169번길 48 (월전동),그 외 자동차용 신품 부품 제조업  ,30399,062-943-2095,062-943-2098,32,2025-09-04
1511,㈜승광,광주광역시 광산구 평동산단로143번길 38 (월전동),주형 및 금형 제조업,29293,062-720-6110,062-720-6105,27,2025-09-04
1512,㈜승보산업,광주광역시 광산구 평동산단2번로 46 (용동),플라스틱 접착처리 제품 제조업  ,22291,062-943-4596,062-943-4599,60,2025-09-04
1513,㈜신영하이테크 평동지점,광주광역시 광산구 평동산단로169번길 57 (월전동),주형 및 금형 제조업,29293,062-411-8703,062-943-5553,31,2025-09-04
1514,㈜신한디자인그룹,광주광역시 광산구 평동산단3번로 91 (용동),발광 다이오드 제조업  ,26121,062-944-7799,062-945-6060,7,2025-09-04
1515,㈜에스비엘,광주광역시 광산구 평동산단3번로 91 (용동) 외 2필지,전시 및 광고용 조명장치 제조업  ,28423,062-941-0707,062-945-6060,18,2025-09-04
1516,㈜에스엠뿌레,광주광역시 광산구 진곡산단중앙로 259 (고룡동),그 외 기타 의료용 기기 제조업  ,27199,062-959-1511,062-959-1512,10,2025-09-04
1517,㈜엔터산업,광주광역시 광산구 평동로803번길 83-19 (용동),그 외 자동차용 신품 부품 제조업  ,30399,062-955-3235,062-955-3236,53,2025-09-04
1518,㈜오엠,광주광역시 광산구 월전동 1242번지,금속 절삭기계 제조업,29223,062-955-3139,062-955-3149,4,2025-09-04
1519,㈜용아산업,광주광역시 광산구 평동산단2번로 188 (장록동),그 외 기타 일반목적용 기계 제조업  ,29199,062-944-9119,062-944-0271,11,2025-09-04
1520,㈜우리로,광주광역시 광산구 평동산단6번로 102-22 (월전동),유선 통신장비 제조업,26410,062-602-8100,062-602-8115,139,2025-09-04
1521,㈜유로텍툴링,광주광역시 광산구 평동산단로143번길 29 (월전동),주형 및 금형 제조업,29293,062-956-4307,062-956-4308,15,2025-09-04
1522,㈜유비테크,광주광역시 광산구 평동로803번길 158-12 (옥동),기타 가정용 전기기기 제조업  ,28519,062-942-4201,062-942-4205,14,2025-09-04
1523,㈜유원산업,광주광역시 광산구 월전동 1242-1번지,구조용 금속 판제품 및 공작물 제조업,25112,062-525-2124,062-525-2125,6,2025-09-04
1524,㈜은혜기업,광주광역시 광산구 평동산단1번로 14 (용동),그 외 자동차용 신품 부품 제조업  ,30399,062-951-4802,062-951-4805,46,2025-09-04
1525,㈜이엠,광주광역시 광산구 평동산단로 238 (월전동),육상 금속 골조 구조재 제조업  ,25113,062-953-1995,062-953-1996,6,2025-09-04
1526,㈜이화폴리텍,광주광역시 광산구 평동옥동로 82 (월전동),폴리스티렌 발포 성형제품 제조업  ,22251,062-944-9022,062-944-9024,20,2025-09-04
1527,㈜자연속으로,광주광역시 광산구 평동산단5번우로 18 (월전동),육류 기타 가공 및 저장처리업 (가금류 제외)  ,10129,062-974-0337,062-974-0339,9,2025-09-04
1528,㈜제일산기평동,광주광역시 광산구 평동산단2번로 112 (옥동),자동차 차체용 신품 부품 제조업  ,30320,062-956-2302,062-446-5317,33,2025-09-04
1529,㈜좋은나무,광주광역시 광산구 소촌로85번길 40-12 (소촌동) 외 2필지,목재 도구 및 주방용 나무제품 제조업  ,16291,062-945-8889,062-945-6144,10,2025-09-04
1530,㈜지엠산업,광주광역시 광산구 평동산단1번로 80 (옥동),금속 열처리업,25921,062-943-9377,062-943-9379,16,2025-09-04
1531,㈜지티월드,광주광역시 광산구 평동로803번길 140 (옥동),그 외 기타 분류 안된 섬유제품 제조업,13999,062-944-3000,062-944-3003,30,2025-09-04
1532,㈜진양산업,광주광역시 광산구 평동산단2번로 132 (옥동),자동차 차체용 신품 부품 제조업  ,30320,062-944-5371,062-944-5372,32,2025-09-04
1533,㈜진양에스엔지,광주광역시 광산구 평동산단6번로 30 (월전동),육상 금속 골조 구조재 제조업  ,25113,062-945-8340,062-945-8341,12,2025-09-04
1534,㈜진웅,광주광역시 광산구 평동산단1번로 21 (옥동),자동차용 신품 의자 제조업  ,30393,062-945-3594,062-945-3595,68,2025-09-04
1535,㈜천복금형,광주광역시 광산구 평동로803번안길 30 (옥동),주형 및 금형 제조업,29293,062-946-1228,062-946-1224,25,2025-09-04
1536,㈜청운하이텍,광주광역시 광산구 평동산단2번로 51 (용동),운송장비 조립용 플라스틱제품 제조업  ,22241,062-946-1342,062-946-1345,27,2025-09-04
1537,㈜태영테크,광주광역시 광산구 평동산단2번로 123 (옥동),차체 및 특장차 제조업  ,30201,062-945-2912,062-945-2913,28,2025-09-04
1538,㈜태영파티션,광주광역시 광산구 소촌로 133 (소촌동),기타 목재가구 제조업  ,32029,062-944-7117,062-944-7120,8,2025-09-04
1539,㈜파버나인,광주광역시 광산구 평동산단로 170-16 (월전동),일반철물 제조업  ,25932,032-814-6909,062-946-6913,109,2025-09-04
1540,㈜푸름,광주광역시 광산구 평동로803번길 162 (옥동),자동차 차체용 신품 부품 제조업  ,30320,062-371-1122,062-371-1123,12,2025-09-04
1541,㈜한국카레라,광주광역시 광산구 평동산단2번로 32 (용동),그 외 기타 분류 안된 화학제품 제조업  ,20499,062-943-0224,062-943-0226,2,2025-09-04
1542,㈜한금,광주광역시 광산구 평동산단로 239-37 (옥동),육상 금속 골조 구조재 제조업  ,25113,062-945-5600,062-945-5601,1,2025-09-04
1543,㈜한성스치로폴,광주광역시 광산구 평동산단2번로 229 (장록동),폴리스티렌 발포 성형제품 제조업  ,22251,062-946-6032,062-944-4059,6,2025-09-04
1544,㈜한성판넬,광주광역시 광산구 평동산단2번로 229 (장록동),구조용 금속 판제품 및 공작물 제조업,25112,062-944-4055,062-944-4059,10,2025-09-04
1545,㈜해성판넬,광주광역시 광산구 월전동 1263 번지,구조용 금속 판제품 및 공작물 제조업,25112,062-941-1300,062-941-2244,30,2025-09-04
1546,㈜현대파워솔라텍,광주광역시 광산구 평동산단3번로 91 (용동),그 외 기타 전기장비 제조업,28909,062-945-8952,062-945-8954,6,2025-09-04
1547,㈜현성오토텍,광주광역시 광산구 소촌로123번길 28 (소촌동),자동차 차체용 신품 부품 제조업  ,30320,062-942-6251,062-942-6250,102,2025-09-04
1548,㈜현성오토텍 2공장,광주광역시 광산구 소촌로123번길 35 (소촌동),자동차 차체용 신품 부품 제조업  ,30320,062-942-6251,062-942-6250,102,2025-09-04
1549,㈜협신기업,광주광역시 광산구 평동산단2번로 177 (장록동),그 외 자동차용 신품 부품 제조업  ,30399,062-943-3611,062-943-3612,5,2025-09-04
1550,㈜호원테크,광주광역시 광산구 평동산단2번로 178 (장록동),기타 가정용 전기기기 제조업  ,28519,062-940-8223,062-945-8415,48,2025-09-04
1551,㈜효광,광주광역시 광산구 평동산단2번로 197 (장록동),그 외 자동차용 신품 부품 제조업  ,30399,062-945-9511,062-943-9515,70,2025-09-04
1552,가가공업사,광주광역시 광산구 소촌로85번길 14-29 (소촌동),그 외 자동차용 신품 부품 제조업  ,30399,062-941-2911,062-941-2913,20,2025-09-04
1553,가가산업,광주광역시 광산구 평동로803번길 115 (용동),그 외 자동차용 신품 부품 제조업  ,30399,062-943-4545,062-943-4547,17,2025-09-04
1554,가나ENG,광주광역시 광산구 고봉로506번길 55 (고룡동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,062-511-5332,062-511-5331,4,2025-09-04
1555,가나건강,광주광역시 광산구 평동산단5번우로 28 (월전동),기타 가정용 전기기기 제조업  ,28519,062-943-3406,062-943-3402,17,2025-09-04
1556,가나자동문,광주광역시 광산구 장수길 9 (장수동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,062-511-5332,062-511-5331,4,2025-09-04
1557,가람네오텍(주),"광주광역시 광산구 하남산단4번로 95-17, 3동 (장덕동)",배전반 및 전기 자동제어반 제조업  ,28123,,062-941-5414,9,2025-09-04
1558,가람지에스씨,광주광역시 광산구 평동산단2번로 190 (장록동),산업용 냉장 및 냉동 장비 제조업,29171,062-456-7722,062-942-0043,3,2025-09-04
1559,가보기업,광주광역시 광산구 도산신송길 94-2 (도산동),육상 금속 골조 구조재 제조업  ,25113,,,5,2025-09-04
1560,가야스틸,광주광역시 광산구 고봉로 244 (장수동),구조용 금속 판제품 및 공작물 제조업,25112,062-951-0406,062-951-9286,3,2025-09-04
1561,가야포장,광주광역시 광산구 하남산단3번로 14-30 (장덕동),기타 종이 상자 및 용기 제조업,17229,062-954-0212,062-954-0213,1,2025-09-04
1562,가온테크,광주광역시 광산구 임곡로 399-10 (고룡동),컨베이어장치 제조업,29163,062-961-8151,062-961-8152,4,2025-09-04
1563,가온통상(주),광주광역시 광산구 하남산단8번로 149 (안청동),산업용 송풍기 및 배기장치 제조업,29174,,,4,2025-09-04
1564,가원테크놀로지(주),광주광역시 광산구 하남산단8번로 120 (오선동),그 외 기타 금속가공업,25929,,070-4275-0176,2,2025-09-04
1565,가원퍼니처,광주광역시 광산구 무진대로 324 (우산동),주방용 및 음식점용 목재가구 제조업,32021,,,3,2025-09-04
1566,가인들바이오 주식회사,광주광역시 광산구 평동산단3번로 166 (월전동),기타 직물제품 제조업  ,13229,062-945-3991,062-945-3992,3,2025-09-04
1567,가인리파인(주),광주광역시 광산구 평동매화길 85 (지죽동),"기타 비철금속 제련, 정련 및 합금 제조업",24219,,,3,2025-09-04
1568,강남스틸(주),광주광역시 광산구 고봉로 263-11 (장수동),육상 금속 골조 구조재 제조업,25113,062-374-3900,062-374-3903,3,2025-09-04
1569,강남제비스코(주) ,광주광역시 광산구 하남산단3번로 54 (장덕동),일반용 도료 및 관련제품 제조업,20411,062-951-9661,062-951-6831,8,2025-09-04
