회사명,전화번호,팩스번호,공장대표주소,업종명
금성화학기계공업(주),052-258-9582,052-258-9586,울산광역시 울주군 웅촌면 고연공단4길 32,금속탱크 및 저장용기 제조업 외 1 종
금양산업 제1공장,052-0267-1422,052-0267-1423,"울산광역시 울주군 웅촌면 고연로 152-21, (고연리 503-1) (총 2 필지) 외 1필지",도장 및 기타 피막처리업
금영개발,052-221-1752,,울산광역시 울주군 온산읍 명봉거남로 179,구조용 금속 판제품 및 공작물 제조업
금영플랜트(주),052-221-1752,,울산광역시 울주군 온산읍 명봉거남로 171,금속탱크 및 저장용기 제조업 외 1 종
금오산업,052-238-8212,052-238-8212,울산광역시 울주군 온산읍 이진로 139,비금속류 해체 및 선별업 외 1 종
금오케미칼(주),052-269-8108,052-269-8102,울산광역시 울주군 웅촌면 은현공단2길 29,합성수지 및 기타 플라스틱 물질 제조업
금호섬유공업(주),052-266-7733,052-227-0294,울산광역시 울주군 웅촌면 고연공단2길 37-15 (총 9 필지) 외 8필지,합성섬유 제조업 외 3 종
기화산업,052-277-8400,052-277-8402,울산광역시 울주군 웅촌면 와지공단1길 9-10,금속 캔 및 기타 포장용기 제조업
꾸버가(주),052-227-9090,052-227-9094,울산광역시 울주군 청량읍 화창4길 17,장류 제조업 외 2 종
남경산업(주),052-238-8779,052-239-2312,울산광역시 울주군 언양읍 반천반송산업로 159,금속탱크 및 저장용기 제조업 외 3 종
남경산업(주),052-238-8779,052-239-2312,울산광역시 울주군 온산읍 해맞이로 1797-7,육상 금속 골조 구조재 제조업 외 1 종
남명,052-700-0417,052-700-0420,울산광역시 울주군 웅촌면 와지공단2길 68,"플라스틱 선, 봉, 관 및 호스 제조업"
남성종합모델(주),052-258-5696,052-265-4437,울산광역시 울주군 웅촌면 반계길 4-18,전시용 모형 제조업
남양넥스모㈜,052-290-5050,031-491-3540,울산광역시 울주군 언양읍 반천산업로 87,그 외 자동차용 신품 부품 제조업
남양산업,,052-254-5442,울산광역시 울주군 삼동면 사촌신복로 367-9,육상 금속 골조 구조재 제조업 외 1 종
남양산업,052-254-0334,052-263-6743,울산광역시 울주군 두서면 구량송정2길 38,주형 및 금형 제조업
남웅기계,052-296-9900,052-296-9249,"울산광역시 울주군 온산읍 처용산업2길 84, (처용리 564)",강관 제조업 외 1 종
내광산업(주),052-237-6104,052-237-6109,울산광역시 울주군 온양읍 광청로 190,표면 가공 목재 및 특정 목적용 제재목 제조업
내셔날오일웰바르코코리아(유),052-240-3377,052-237-5380,울산광역시 울주군 온산읍 이진로 63,선박 구성 부분품 제조업
내셔날오일웰바르코코리아(유),052-240-3377,052-237-5380,울산광역시 울주군 온산읍 대정로 120,선박 구성 부분품 제조업
내셔날오일웰바르코코리아(유),052-255-2000,052-255-2177,울산광역시 울주군 온산읍 화산로 211,선박 구성 부분품 제조업
네오폴리(주),02-876-1306,02-887-8791,울산광역시 울주군 온산읍 이진로 139,유기발광 표시장치 제조업 외 1 종
네이처월드 주식회사,052-256-2276,052-282-6638,울산광역시 울주군 웅촌면 고연로 87,그 외 기타 분류 안된 섬유제품 제조업 외 2 종
노바켐텍,,,울산광역시 울주군 온산읍 회학3길 38-7,접착제 및 젤라틴 제조업
농업회사법인 (주)씨앤엘,052-254-1916,052-254-1926,울산광역시 울주군 두서면 활천내와로 135,장류 제조업
농업회사법인 금강송이(주),,052-254-4284,울산광역시 울주군 두동면 은편리 23-1번지 외 2필지,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종
농업회사법인 복순도가 주식회사,052-263-0969,052-264-3539,울산광역시 울주군 상북면 소야정길 183-45,탁주 및 약주 제조업
농업회사법인 소월당(주),,050-7703-7013,"울산광역시 울주군 언양읍 남문길 30, 2층",차류 가공업 외 1 종
농업회사법인 영남알프스식품(주),070-4223-3651,070-4223-3655,울산광역시 울주군 언양읍 울밀로 1360 외 1필지,가금류 가공 및 저장 처리업
농업회사법인 주식회사 울주코리아,,052-2548-8852,울산광역시 울주군 삼남읍 강당로 63-23,기타 과실ㆍ채소 가공 및 저장 처리업
농업회사법인 청우포크(주),,,울산광역시 울주군 삼남읍 화림정2길 5 외 1필지,육류 포장육 및 냉동육 가공업 (가금류 제외)
농촌푸드 주식회사,052-237-1246,0504-446-1856,울산광역시 울주군 온산읍 삼평길 130-4,기타 식사용 가공처리 조리식품 제조업
누리개발(주),,,울산광역시 울주군 온양읍 광청로 178-10 (총 2 필지) 외 1필지,표면 가공 목재 및 특정 목적용 제재목 제조업
누리청정,052-274-6015,052-260-6015,울산광역시 울주군 범서읍 지지길 112-8,표면광택제 및 실내가향제 제조업
다곰(주),070-7834-2215,052-263-7682,울산광역시 울주군 상북면 길천산업2길 18,자동차 차체용 신품 부품 제조업 외 1 종
다올테크(주),052-264-6657,052-264-6659,울산광역시 울주군 상북면 덕현리 782번지,차류 가공업
다해(주),,,울산광역시 울주군 온산읍 종동길 122-1,그 외 기타 일반목적용 기계 제조업 외 1 종
대건산업,052-262-5223,052-264-5224,울산광역시 울주군 상북면 양등농공길 41,그 외 자동차용 신품 부품 제조업 외 3 종
대경엠씨(주),052-227-9905,052-227-9906,"울산광역시 울주군 청량읍 처용산업3길 135, 중공업동 1층 일부",육상 금속 골조 구조재 제조업
대경테크,052-258-4606,052-258-4602,울산광역시 울주군 청량읍 상개로 63-76,그 외 기타 금속가공업
대광기업,052-275-3553,052-274-2425,울산광역시 울주군 온산읍 산성길 152-37 외 2필지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
대구제면,052-249-7346,,울산광역시 울주군 삼남읍 쌍수정1길 39,"면류, 마카로니 및 유사식품 제조업 외 2 종"
대동인테리어,052-269-0193,052-269-0194,울산광역시 울주군 웅촌면 고연공단5길 17-6 (총 2 필지) 외 1필지,목재 도구 및 주방용 나무제품 제조업
대로콘크리트(주),,,울산광역시 울주군 언양읍 언양로 453,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
대륙금속(주),052-258-0834,052-258-0835,울산광역시 울주군 청량읍 처용산업5길 51,그 외 자동차용 신품 부품 제조업 외 2 종
대륙유니엔 주식회사,052-266-8628,,울산광역시 울주군 온양읍 지더블유산업2길 46,산업용 난방보일러 및 방열기 제조업
대륜환경기술 주식회사,052-277-9692,052-277-9693,울산광역시 울주군 웅촌면 장기터2길 104,일반철물 제조업 외 1 종
대명산업,052-224-8126,,울산광역시 울주군 웅촌면 물건너길 28,플라스틱 필름 제조업 외 1 종
대명씨엔에스(주),054-746-7939,054-776-7939,울산광역시 울주군 두동면 봉계산업로 38-47,자동차 차체용 신품 부품 제조업 외 1 종
대명전기,052-291-2030,052-285-0302,울산광역시 울주군 웅촌면 은현공단2길 4 1동,육상 금속 골조 구조재 제조업
대산산업,052-912-8095,052-912-8090,"울산광역시 울주군 웅촌면 와지공단2길 21, (고연리 1867)",컨베이어장치 제조업 외 1 종
대산에코(주),052-237-1424,,울산광역시 울주군 온산읍 화산로 39 외 4필지,"라이터, 연소물 및 흡연용품 제조업 외 2 종"
대상오션(주),052-912-9533,052-269-3323,울산광역시 울주군 온산읍 처용산업1길 57,선박 구성 부분품 제조업 외 3 종
대성물산,052-238-1456,052-238-1457,"울산광역시 울주군 온양읍 광청로 394-23, 외 1필지",그 외 기타 일반목적용 기계 제조업 외 3 종
대성산업,052-266-6951,052-266-6950,울산광역시 울주군 웅촌면 고연공단3길 9,그 외 기타 플라스틱 제품 제조업
대성석유화학(주),052-238-6368,052-238-4003,울산광역시 울주군 온산읍 화산1길 62,윤활유 및 그리스 제조업 외 2 종
대성엔지니어링,052-238-6285,052-238-6283,울산광역시 울주군 온양읍 광청로 394-26,육상 금속 골조 구조재 제조업 외 1 종
대성이텍(주),052-257-9071,052-257-9070,울산광역시 울주군 청량읍 처용산업4길 69,"전기회로 개폐, 보호장치 제조업 외 2 종"
대성자원개발(주),052-238-2451,052-238-2485,울산광역시 울주군 온양읍 남창로 846 (총 3 필지),석회 및 플라스터 제조업
대성자원개발(주) 언양지점,052-264-0545,052-238-2485,울산광역시 울주군 삼남읍 강당로 3,기타 기초 무기 화학물질 제조업
대성자원개발(주)온산지점,052-238-2451,052-238-2485,울산광역시 울주군 온산읍 화산1길 75-11,그 외 기타 분류 안된 화학제품 제조업 외 1 종
대성콘크리트,052-263-4300,052-263-4600,울산광역시 울주군 삼남읍 강당로 54 (총 2 필지) 외 1필지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
대송정밀화학,052-237-5095,052-237-5096,울산광역시 울주군 온산읍 회학3길 56-10,그 외 기타 분류 안된 화학제품 제조업 외 1 종
대송테크 주식회사,052-238-4117,,울산광역시 울주군 서생면 에너지산업2로 23,그 외 기타 1차 철강 제조업
대송테크(주),052-238-4117,,울산광역시 울주군 온산읍 처용산업1길 81,그 외 기타 1차 철강 제조업
대신정밀(주),055-384-7110,055-382-7623,울산광역시 울주군 삼남읍 방기로 135,그 외 기타 전자부품 제조업 외 1 종
대양,,,울산광역시 울주군 온양읍 지더블유산업로 54,그 외 기타 금속가공업
대양HTM,052-258-5192,052-258-5194,울산광역시 울주군 온산읍 덕신로 515 외 1필지,금속 열처리업
대양에스티(주),052-238-8917,052-239-8919,울산광역시 울주군 온산읍 화산로 66,선박 구성 부분품 제조업
대양콘크리트산업사,052-260-2911,052-260-2915,울산광역시 울주군 웅촌면 고연로 179 (총 3 필지) 외 2필지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
대영아스콘산업(주),052-248-9713,052-248-9715,울산광역시 울주군 범서읍 두동로 609-1 (범서읍) 외 3필지,아스팔트 콘크리트 및 혼합제품 제조업
대오산업,052-260-5477,052-260-5240,울산광역시 울주군 웅촌면 고연공단5길 54 외 4필지,육상 금속 골조 구조재 제조업 외 1 종
대운산업,,052-269-5525,울산광역시 울주군 웅촌면 고연로 219-22,그 외 자동차용 신품 부품 제조업
대원목재산업,052-267-8096,052-269-6161,울산광역시 울주군 청량읍 온산로 361,일반 제재업
대원엠티(주),052-288-9330,052-287-7443,울산광역시 울주군 범서읍 울밀로 2772,금속 절삭기계 제조업
대원인스텍(주),052-260-7471,052-260-1187,울산광역시 울주군 온산읍 처용산업2길 80 (온산읍),유압기기 제조업
대일공업(주),052-254-5955,052-264-3261,울산광역시 울주군 상북면 양등농공길 59,자동차용 신품 의자 제조업
대진산업,052-247-3606,,울산광역시 울주군 온양읍 지더블유산업로 72,끈 및 로프 제조업
대진설비(주),052-268-1005,052-268-2005,울산광역시 울주군 온산읍 처용산업2길 58,금속탱크 및 저장용기 제조업 외 3 종
대진에스에이티(주),052-225-2361,052-225-4489,울산광역시 울주군 웅촌면 웅촌로 269,구조용 금속 판제품 및 공작물 제조업
대진유니톡(주),052-225-2361,052-225-4489,울산광역시 울주군 웅촌면 은현작동로 36-32,구조용 금속 판제품 및 공작물 제조업
대진화학,,,울산광역시 울주군 웅촌면 고연로 115-7,"플라스틱 선, 봉, 관 및 호스 제조업"
대한민국상이군경회(울산지부 제지사업소),052-247-0433,052-257-8744,울산광역시 울주군 삼동면 당고개2길 18,위생용 종이제품 제조업
대한유화(주),052-231-1116,052-238-5534,"울산광역시 울주군 온산읍 온산로 134, (처용리 126, ,126-1, 126-3, 127, 128, 130, 131, 132, 134-2, 135)",석유화학계 기초 화학물질 제조업 외 2 종
대한정공,052-238-7085,052-238-7087,울산광역시 울주군 온양읍 덕망로 253 외 2필지,그 외 기타 금속가공업
대한플랜트,052-268-9877,,울산광역시 울주군 청량읍 화창9길 22,육상 금속 골조 구조재 제조업 외 3 종
대해선박기술(주),070-8824-7777,,울산광역시 울주군 온산읍 당월로 272-12,기타 선박 건조업 외 2 종
대훈정밀,052-263-1574,052-262-1574,울산광역시 울주군 언양읍 반천산업로 113-9,농업 및 임업용 기계 제조업
대흥교구,052-297-6053,052-297-6057,울산광역시 울주군 두동면 은편하리3길 67,기타 목재가구 제조업 외 1 종
대흥산업,052-912-0205,052-912-0208,울산광역시 울주군 상북면 길천산업1길 30-9 외 2필지,그 외 자동차용 신품 부품 제조업 외 3 종
대흥석재조형,052-266-8486,052-266-8495,울산광역시 울주군 웅촌면 은현공단1길 15,기타 석제품 제조업 외 3 종
더반함,052-245-2441,052-970-0441,"울산광역시 울주군 범서읍 점촌6길 13-6, 101호",간판 및 광고물 제조업
더밸런스코리아,052-277-5519,052-223-5519,울산광역시 울주군 범서읍 천상중앙길 128,"체조, 육상 및 체력단련용 장비 제조업"
더에버원 주식회사,051-727-2380,052-238-2370,울산광역시 울주군 온산읍 처용산업1길 14,그 외 기타 1차 철강 제조업 외 2 종
더원에너지 주식회사,052-297-4001,052-298-4002,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업1동 3층","적층, 합성 및 특수표면처리 종이 제조업 외 8 종"
더착한,,055-366-0663,"울산광역시 울주군 웅촌면 고연로 136, 400-7",그 외 자동차용 신품 부품 제조업
더텍ENG,052-254-6800,052-263-1249,울산광역시 울주군 상북면 자수정로 327,산업용 로봇 제조업
덕성종합목재,052-254-5177,052-254-5178,울산광역시 울주군 두서면 전읍복안로 207,목재 깔판류 및 기타 적재판 제조업 외 1 종
덕우산업,052-260-4904,052-269-4905,울산광역시 울주군 웅촌면 은현공단4길 2,기타 가공 공작기계 제조업
덕화실업(주),052-264-7431,052-264-7430,울산광역시 울주군 언양읍 언동3길 2-17,아스팔트 콘크리트 및 혼합제품 제조업
돈오정보통신,052-262-4700,052-262-9911,"울산광역시 울주군 언양읍 동부2길 47, 102동 201호",방송장비 제조업
동경산업,052-227-0637,052-227-0638,울산광역시 울주군 웅촌면 은현공단3길 12,그 외 기타 1차 철강 제조업
동경산업사,051-333-9075,052-263-2180,울산광역시 울주군 상북면 거리 1158-4번지,운송장비 조립용 플라스틱제품 제조업 외 1 종
동국산업,,,울산광역시 울주군 서생면 덕골재길 57 외 1필지,일반철물 제조업
동덕기계상사,052-260-4788,,울산광역시 울주군 웅촌면 곡천음달길 66,볼트 및 너트류 제조업 외 2 종
동서하이텍(주),070-7862-7462,052-254-1938,울산광역시 울주군 상북면 상북로 88-2,분사기 및 소화기 제조업
동성산기(주),052-238-6113,052-238-4331,울산광역시 울주군 온산읍 이진로 63 외 1필지,선박 구성 부분품 제조업 외 1 종
동성정공(주),054-746-0995,,울산광역시 울주군 청량읍 처용산업3길 47,육상 금속 골조 구조재 제조업 외 2 종
동신산업,052-262-2130,052-263-2130,울산광역시 울주군 삼남읍 공암공단로 80,포장용 플라스틱 성형용기 제조업
동신산업사,,052-247-0020,울산광역시 울주군 웅촌면 부채골길 46-39,육상 금속 골조 구조재 제조업 외 1 종
동아기연,,,울산광역시 울주군 웅촌면 고연로 97-15,자동차용 금속 압형제품 제조업 외 1 종
동아산업,,,울산광역시 울주군 웅촌면 은현작동로 147-18,육상 금속 골조 구조재 제조업 외 1 종
동아식품,052-277-8232,052-277-8234,울산광역시 울주군 웅촌면 정주권로 249,전분제품 및 당류 제조업 외 2 종
동아테크,052-257-7208,052-711-1263,울산광역시 울주군 웅촌면 와지공단2길 18,자동차 차체용 신품 부품 제조업
동양S&R,052-265-9636,052-265-9638,울산광역시 울주군 웅촌면 은현공단2길 21,주형 및 금형 제조업
동양기업,052-262-7685,052-262-7568,울산광역시 울주군 두동면 이전천변길 83 (동양기업) (총 2 필지) 외 1필지,"금속 문, 창, 셔터 및 관련제품 제조업"
동양스틸주식회사,055-374-7538,,울산광역시 울주군 상북면 길천산업3길 14-9,주형 및 금형 제조업
동양플랜트,,052-0267-4698,울산광역시 울주군 웅촌면 은현작동로 242-21 외 3필지,육상 금속 골조 구조재 제조업 외 1 종
동영산업,052-239-3973,052-239-3933,울산광역시 울주군 온양읍 광청로 394-27 (총 8 필지) 외 7필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
동우,052-254-1431,052-254-1432,울산광역시 울주군 삼동면 은현작동로 500-10,석회 및 플라스터 제조업
동우에이치에스티(주),052-264-4587,052-264-4438,울산광역시 울주군 상북면 양등농공길 83,금속 열처리업
동운EMP(주),052-257-4624,052-257-4626,울산광역시 울주군 온산읍 대정로 10-18,도장 및 기타 피막처리업
동인산업,052-269-4911,052-269-4961,울산광역시 울주군 웅촌면 고연공단5길 27,자동차용 금속 압형제품 제조업 외 1 종
동일 O.E.M,052-264-5861,052-264-5863,울산광역시 울주군 삼남읍 공암공단1길 63-17,그 외 자동차용 신품 부품 제조업 외 3 종
동진엔프라,052-254-5159,052-254-5160,울산광역시 울주군 두서면 반구대로 1595,비금속류 해체 및 선별업 외 1 종
동해철망,052-268-5266,052-268-5866,울산광역시 울주군 웅촌면 은현작동로 276,금속선 가공제품 제조업
동화모방(주),052-262-2765,052-264-2797,울산광역시 울주군 상북면 지화길 107,모 방적업
동훈산업사,052-260-4913,052-260-4914,울산광역시 울주군 웅촌면 고연로 253-11,폴리스티렌 발포 성형제품 제조업 외 1 종
두강이엔지,052-273-4577,052-273-4578,울산광역시 울주군 웅촌면 은현공단2길 29-7 외 1필지,그 외 자동차용 신품 부품 제조업
두동참숯산업,,,울산광역시 울주군 두동면 두동로 1079-29,천연수지 및 나무 화학물질 제조업 외 1 종
두북농업협동조합,052-262-6010,052-262-6645,울산광역시 울주군 두서면 인보구미로 7 (두북농협미곡종합처리장) (총 3 필지) 외 2필지,곡물 도정업
두산정밀(주),052-275-1386,,울산광역시 울주군 웅촌면 고연로 219-18,기타 구조용 금속제품 제조업
두성산업,052-264-7223,052-264-7225,울산광역시 울주군 삼동면 삼동로 834-13 (총 2 필지) 외 1필지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종
두전(주),052-264-3579,052-254-0975,울산광역시 울주군 삼동면 사촌신복로 367-21,복합비료 및 기타 화학비료 제조업 외 2 종
듀텍,052-922-4909,052-923-4909,울산광역시 울주군 두서면 활천산업1길 10-13,전기경보 및 신호장치 제조업
디 와이 지 ,052-0267-8747,052-0267-8717,울산광역시 울주군 웅촌면 고연로 152-12,기타 편조의복 액세서리 제조업
디비엘팩(주),052-263-0185,052-263-0186,울산광역시 울주군 온양읍 발리 904 외 2필지 외 2필지,목재 깔판류 및 기타 적재판 제조업
디알테크,,,울산광역시 울주군 청량읍 상남리 799-2번지,그 외 기타 고무제품 제조업
디에스아이,,,울산광역시 울주군 웅촌면 은현작동로 35-29,그 외 기타 전기장비 제조업
디에이치씨,052-238-5607,052-238-5608,울산광역시 울주군 온양읍 광청로 394-17,복합비료 및 기타 화학비료 제조업
디에이치엠,052-294-6530,052-269-6530,울산광역시 울주군 웅촌면 은현공단4길 10-6,그 외 기타 1차 철강 제조업
디엔케이모빌리티(주) 1공장,052-220-8853,052-237-0310,울산광역시 울주군 온산읍 공단로 167,알루미늄주물 주조업
디엔케이모빌리티(주) 2공장,052-220-8853,052-237-0310,울산광역시 울주군 온산읍 화산2길 33-6,자동차 엔진용 신품 부품 제조업 외 1 종
디엔케이모빌리티(주) 본사공장,052-220-8853,052-237-0310,울산광역시 울주군 온산읍 석당길 53 외 1필지,알루미늄주물 주조업
디엔텍,052-277-0561,052-277-0563,울산광역시 울주군 웅촌면 장기터2길 90-1,선박 구성 부분품 제조업
디엠아이에스앤티 주식회사,052-269-5996,,울산광역시 울주군 상북면 길천산업3길 9,분사기 및 소화기 제조업 외 1 종
디엠에스,,,울산광역시 울주군 언양읍 반천산업로 24,자동차 차체용 신품 부품 제조업
디케이케미칼(주),055-716-2258,055-716-2257,울산광역시 울주군 온산읍 화산로 108,그 외 기타 분류 안된 화학제품 제조업
라떼캠프,,0504-038-8362,울산광역시 울주군 삼남읍 청룡들로 100,차체 및 특장차 제조업 외 3 종
로뎀테크,,,울산광역시 울주군 웅촌면 밭마당길 8,도장 및 기타 피막처리업
로얄시스텍(주),052-267-8901,,울산광역시 울주군 청량읍 온산로 345,
로터텍 유한책임회사,052-702-0024,052-702-0099,울산광역시 울주군 두서면 활천산업1길 152,자동차 엔진용 신품 부품 제조업
롯데이네오스화학(주),052-279-1114,052-279-1199,울산광역시 울주군 청량읍 상개로 63-15,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업
리볼틱스 주식회사,,0504-214-8067,울산광역시 울주군 온양읍 원동1길 19-8,기타 전기 변환장치 제조업 외 2 종
린노알미늄 주식회사,052-707-5001,052-707-5002,울산광역시 울주군 상북면 길천산업로 201,자동차용 금속 압형제품 제조업 외 3 종
마루이,,052-264-4272,울산광역시 울주군 삼남읍 서향교2길 29,천연 및 혼합조제 조미료 제조업
마리텍엔지니어링,052-258-5510,0303-0258-5510,울산광역시 울주군 두서면 활천산업로 39-19,선박 구성 부분품 제조업
매일목재,,,울산광역시 울주군 삼남읍 신안2길 19,일반 제재업
맨텍(주),052-238-7590,052-238-9623,울산광역시 울주군 온산읍 처용산업2길 90,볼트 및 너트류 제조업 외 2 종
맨텍(주),052-238-7590,,울산광역시 울주군 온산읍 처용산업3길 30-12,볼트 및 너트류 제조업 외 2 종
명보산업,052-268-5289,052-268-5290,울산광역시 울주군 웅촌면 고연공단3길 29,고무패킹류 제조업 외 1 종
명서금속,,,울산광역시 울주군 웅촌면 고연로 97-10,자동차용 금속 압형제품 제조업 외 1 종
명성씨앤피(주),052-238-3858,052-238-3859,"울산광역시 울주군 온산읍 종동길 142, (삼평리 567-1)",기타 기계.장비 조립용 플라스틱 제품 제조업
명성특장,055-383-2180,070-4369-2173,울산광역시 울주군 삼남읍 반구대로 35,차체 및 특장차 제조업 외 1 종
명인산업(주),052-260-0070,052-260-0071,울산광역시 울주군 웅촌면 와지공단2길 15,그 외 자동차용 신품 부품 제조업
명지테크(주),052-258-6873,,울산광역시 울주군 청량읍 화창1길 31,배전반 및 전기 자동제어반 제조업
명진산업사,052-912-5877,052-912-5878,울산광역시 울주군 상북면 길천산업2길 36-13,그 외 기타 일반목적용 기계 제조업 외 1 종
모던테크(주),052-260-0177,,울산광역시 울주군 청량읍 용암길 60-1,일반저울 제조업
무림케미칼(주),052-268-8320,052-266-4614,울산광역시 울주군 웅촌면 고연공단5길 42-1,그 외 기타 분류 안된 화학제품 제조업 외 5 종
무림피앤피(주),052-231-7182,052-231-7188,울산광역시 울주군 온산읍 우봉강양로 3-36 외 7필지,펄프 제조업 외 3 종
무지개식품,052-264-4554,052-274-8013,"울산광역시 울주군 삼남읍 자수정로 31, 1,2호",가공 및 정제염 제조업
문수산업기술(주),070-7740-1289,052-222-1808,울산광역시 울주군 범서읍 굴화길 39,기타 구조용 금속제품 제조업 외 1 종
미래가치 주식회사,055-339-2034,050-4199-1336,울산광역시 울주군 언양읍 평리다개로 20,기타 구조용 금속제품 제조업 외 1 종
미래환경산업,052-211-3992,052-267-7781,울산광역시 울주군 웅촌면 연화길 37-2,그 외 금속 압형제품 제조업
미성자동차정비(주),052-254-4999,052-254-1530,울산광역시 울주군 언양읍 반구대로 978,건설 및 채광용 기계장비 제조업
미진화학공업(주) 와지공장,055-367-6691,055-367-6696,울산광역시 울주군 웅촌면 와지공단2길 31,자동차 차체용 신품 부품 제조업
민청기계,052-258-1284,052-269-1284,울산광역시 울주군 청량읍 화창9길 2,주형 및 금형 제조업
민트상사,052-254-4501,052-254-4500,울산광역시 울주군 삼남읍 마산보들길 87,안전유리 제조업 외 1 종
바른교구 주식회사,052-254-7804,052-254-7805,울산광역시 울주군 삼남읍 중남로 19,사무용 기계 및 장비 제조업 외 1 종
바스프퍼포먼스폴리아마이드코리아(주),052-231-0812,052-238-0015,울산광역시 울주군 온산읍 공단로 160 외 1필지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 1 종
반도신흥,052-966-5723,052-966-5724,울산광역시 울주군 두서면 활천산업1길 138,기타 물품 취급장비 제조업
반도이앤티(주),052-237-3643,,울산광역시 울주군 온양읍 옥수곡1길 20,"증류기, 열교환기 및 가스발생기 제조업"
반도이앤티(주),052-237-3643,052-237-3645,울산광역시 울주군 웅촌면 고연로 225,"증류기, 열교환기 및 가스발생기 제조업"
반도호이스트,052-296-7114,052-296-7115,울산광역시 울주군 청량읍 화창7길 3,기타 물품 취급장비 제조업
배선정공,052-254-5375,052-254-5376,울산광역시 울주군 상북면 길천산업2길 36-8,기어 및 동력전달장치 제조업
배선정공,052-254-5375,052-254-5376,울산광역시 울주군 상북면 거리 1158-4,기어 및 동력전달장치 제조업
백년데크산업 주식회사,052-277-3005,052-970-3225,울산광역시 울주군 삼동면 은현작동로 546 외 1필지,건설용 석제품 제조업 외 4 종
백양메카텍 주식회사,052-276-5665,,울산광역시 울주군 청량읍 처용산업4길 55,금속탱크 및 저장용기 제조업 외 4 종
백운조명,052-222-8031,052-222-8032,울산광역시 울주군 웅촌면 웅촌로 91,일반용 전기 조명장치 제조업
번영기업(주),052-254-1161,052-254-1160,울산광역시 울주군 언양읍 반구대로 1012,금속탱크 및 저장용기 제조업 외 1 종
보경(주),052-237-7900,052-237-7880,울산광역시 울주군 온양읍 광청로 379-24,목재 깔판류 및 기타 적재판 제조업
보광전기주식회사,,055-331-7490,울산광역시 울주군 삼남읍 공암공단2길 38,배전반 및 전기 자동제어반 제조업 외 2 종
보구정밀,051-941-3226,051-941-5226,울산광역시 울주군 삼남읍 공암공단2길 38,그 외 자동차용 신품 부품 제조업 외 5 종
보명S.P,052-260-5350,052-260-5351,울산광역시 울주군 웅촌면 고연로 232-96,선박 구성 부분품 제조업 외 1 종
보성산기,052-249-1418,052-249-1480,울산광역시 울주군 웅촌면 저리1길 18,그 외 기타 일반목적용 기계 제조업 외 2 종
보승하이텍,052-262-3764,052-264-3764,울산광역시 울주군 삼동면 암리3길 14-6 외 1필지,자동차용 금속 압형제품 제조업 외 1 종
보은산업,052-238-7440,,울산광역시 울주군 서생면 양암1길 37-22,배전반 및 전기 자동제어반 제조업
부국산업(주),052-264-7600,052-264-7611,울산광역시 울주군 상북면 길천산업2길 24-19,그 외 자동차용 신품 부품 제조업 외 3 종
부록건업(주),052-274-1188,052-261-7900,울산광역시 울주군 청량읍 상남길 61,안전유리 제조업 외 1 종
부산ENG,052-266-4580,,울산광역시 울주군 청량읍 상남리 335번지 외 1필지,그 외 기타 전기장비 제조업
부산경남우유협동조합,052-264-7373,052-264-7372,울산광역시 울주군 삼남읍 공암공단2길 24 (총 2 필지) 외 1필지,액상시유 및 기타 낙농제품 제조업
부산주공(주),052-231-3880,052-239-0052,울산광역시 울주군 온산읍 회학1길 54 (부산주공(주)),자동차 엔진용 신품 부품 제조업
부산주공(주)울산2공장,052-231-3830,052-231-3807,울산광역시 울주군 온산읍 처용산업2길 7,자동차 엔진용 신품 부품 제조업
부성산업,052-267-9816,052-266-9817,울산광역시 울주군 청량읍 화창1길 6 (총 2 필지) 외 1필지,비금속류 해체 및 선별업 외 1 종
부성수지,052-265-4428,052-265-4429,울산광역시 울주군 웅촌면 고연로 152-8,비금속류 해체 및 선별업 외 1 종
부성이엔지,,,울산광역시 울주군 웅촌면 고연리 1132-26,육상 금속 골조 구조재 제조업
부영포장,052-266-2107,,울산광역시 울주군 웅촌면 대대리 1354번지,골판지 제조업 외 1 종
부영피앤씨,052-256-7481,052-256-7480,울산광역시 울주군 웅촌면 고연공단1길 35,도장 및 기타 피막처리업
브리드 프로,070-4800-2626,050-4493-9969,울산광역시 울주군 웅촌면 고연로 97-12,기타 직물제품 제조업 외 1 종
브이에스엔텍,052-257-4264,,울산광역시 울주군 온양읍 산양길 43 외 5필지,구조용 금속 판제품 및 공작물 제조업
비더블유티,052-271-1500,052-271-0055,"울산광역시 울주군 웅촌면 은현신암길 44, 1층 BWT",산업용 로봇 제조업
비아이씨(주),052-264-0741,052-264-0746,울산광역시 울주군 상북면 지화길 124,그 외 자동차용 신품 부품 제조업 외 3 종
비아이씨(주),052-264-7635,052-264-7637,울산광역시 울주군 상북면 길천산업로 519,그 외 자동차용 신품 부품 제조업 외 3 종
