회사명,공장대표주소(도로명),업종명,생산품,전화번호
다운이엔씨(주),"울산광역시남구신두왕로21,(울산테크노일반산업단지36B-3)(두왕동)",전기회로접속장치제조업,전기판넬및밸브,052-239-7608
주식회사인터맥,울산광역시남구장생포로38(여천동),전기회로접속장치제조업외2종,"제어반,PMS,EMS,배전반,분전반",025-246-9821
(주)야베스,울산광역시남구신두왕로31(두왕동),전동기및발전기제조업,태양광발전장치관련제품,051-756-4664+052-710-4664
형제ENG,울산광역시남구남창로5길20(두왕동),전동기및발전기제조업,전기모터,052-275-6776
대경산전(주),"울산광역시남구테크노산업로29번길153,울산테크노일반산업단지40B-1(두왕동)",전동기및발전기제조업외4종,"계측제어장치,배전반등",052-244-1774
(주)삼양사울산2공장,울산광역시남구매암로115(매암동),전분제품및당류제조업,"전분,전분당,솔비톨등",052-278-2511+2512
(주)시그마에프에이,"울산광역시남구테크노산업로55번길37-6,울산테크노일반산업단지30B-7(두왕동)","전자기측정,시험및분석기구제조업외1종",관통홀중심측정모듈제조,052-277-0775
게이트전자,울산광역시남구수암로54번길10,"전자기측정,시험및분석기구제조업외2종","공정제어실험장치,시험기",052-256-8444
한양정밀기계,울산광역시남구도산로107(달동),절삭가공및유사처리업,기계부품가공제작,052-269-1897
기성공업,울산광역시남구장생포로267(매암동),절삭가공및유사처리업,금속가공품,052-258-2044
한영테크,울산광역시남구장생포로19번길26(여천동),절삭가공및유사처리업,산업기계부품,052-271-4213
㈜엠유트론,"울산광역시남구테크노산업로 55번길79-10,B동204호(두왕동)",절삭가공및유사처리업,"임플란트,부속품(티타늄)",070-7537-0201
울산워크젯,울산광역시남구장생포고래로125번길30-1(장생포동),절삭가공및유사처리업,"비철,비금속및기타복합소재",052-293-8310
(주)파인앤코,울산광역시남구장생포로19번길26(여천동),절삭가공및유사처리업,자동차부품,052-227-5553
영남기계,"울산광역시남구장생포로16(여천동,영남기계)",절삭가공및유사처리업외11종,"산업기계수리,제작",052-269-3022
(주)에코케미칼,울산광역시남구신두왕로39,접착제및젤라틴제조업,"CEPV,분리막세라믹코팅제",052-221-3601
에스이치과기공소,울산광역시남구신정로116번길17(신정동),정형외과용및신체보정용기기제조업,치과보철물,052-227-2870
씨케이디엔씨(주),울산광역시남구테크노산업로29번길152(두왕동),정형외과용및신체보정용기기제조업,치과보철물,052-270-2880
㈜대명티에스기술연구소,울산광역시남구테크노산업로 55번길11(두왕동),제조,실링장비,052-295-3636
대명티에스,울산광역시남구테크노산업로 29번길172(두왕동),제조,실링장비,052-295-3636
대영기업순환자원주식회사,울산광역시남구여천로174(여천동),"제조,도매,무역업","폐지,합성수지외",052-260-9944
알트코리아(주),울산광역시남구테크노산업로55번길90(두왕동),제조업,산업안전보도복,052-257-6320
㈜우람기공,울산광역시남구장생포로19번길21-13(여천동),"제조업,건설업,서비스(철구조물,철물공사)",철구조물,052-227-7008
동해가스산업㈜특수가스1공장,울산광역시남구산업로404,"제조업,부동산(수소외임대)","수소,헬륨",052-260-3311
성민씽크,울산광역시남구정광로24번길9(무거동),주방용및음식점용목재가구제조업/금속가구제조업,씽크대제작,052-277-6804
미림씽크,울산광역시남구월평로76-1(신정동),주방용및음식점용목재가구제조업/금속가구제조업,주방씽크대,052-272-8718
울산엔지니어링(주),"울산광역시남구용잠로40번길63(부곡동,화장실(F동))",주형및금형제조업,"자동차금형모형,CHECKINGFIXTURE",052-257-4107
(주)티에스오토모티브,울산광역시남구용잠로74번길26(부곡동),주형및금형제조업,자동차차체금형,052-269-2381
(주)한솔테크,울산광역시남구테크노산업로29번길124(두왕동),주형및금형제조업외6종,"파렛트,아답타플레이트,지게차부품",052-283-4115
미래텍,울산광역시남구테크노산업로55번길133-13,"증류기,열교환기및가스발생기제조업",액체여과기,052-266-6904
(주)지에스엔텍(성암공장),"울산광역시남구처용로479(성암동,(주)디케이티)","증류기,열교환기및가스발생기제조업외2종","FinTube,산업용보일러등",052-231-7300
㈜지에스엔텍(용잠공장),울산광역시남구용잠로353,"증류기,열교환기및가스발생기제조업외2종",타워Vessel열교환기,052-231-7300+052-231-7700
디케이엠이주식회사,"울산광역시남구처용로260-37(부곡동,대경기계(주))","증류기,열교환기및가스발생기제조업외6종",원통다관식열교환기,052-278-9000
천경공업사,울산광역시남구테크노산업로29번길124(두왕동),차체및특장차제조업,특장차및압롤박스제작,052-257-8796
경성기업,울산광역시남구화합로31번길33(야음동),"천막,텐트및유사제품제조업외1종","천막,철구조물",052-245-1020
한상에이텍,울산광역시남구정동로6번길5-16(삼산동),"천막,텐트및유사제품제조업외2종","가스켓,보온카바",052-257-4470
삼미밴딩,울산광역시남구산업로382번길17(여천동),철판성형가공업,철판성형가공외,052-260-2347
인켐스주식회사,울산광역시남구신두왕로31A동(두왕동),축전지제조업,이온전도물질,052-247-3009
볼턴,울산광역시남구산업로613번길10-11,축전지제조업,리튬이온배터리팩,
(주)코리아덴탈솔루션,울산광역시남구테크노산업로29번길84(두왕동),치과용기기제조업외1종,"치조골제조,치조골연구개발",051-328-2804
㈜브랜드뉴컴퍼니,"울산광역시남구돋질로37번길27,1층(신장동)",침구및관련제품제조,"질식소화포,질식소화담요",052-707-8286
로즈하트,울산광역시남구두왕로22번길31(선암동),침구및관련제품제조업,"이불,베게속등",052-265-5765
C&B창앤블라인드커튼,"울산광역시남구정동로145, 1층(삼산동)",커튼및유사제품제조업,버티칼,052-269-7366
(주)유진테크,"울산광역시남구장생포로19번길11-17(여천동,유진테크)",컨베이어장치제조업외1종,자동차부품,052-258-9686
한국흄관공업(주),"울산광역시남구처용로678(황성동,한국흄관공업(주))",콘크리트관및기타구조용콘크리트제품제조업,"흄관,레미콘",052-257-3061
(주)대원씨앤엠,울산광역시남구매암동1432(일부)외1필지,"콘크리트타일,기와,벽돌및블록제조업",콘크리트블록,052-246-5151
주산기업,"울산광역시남구산업로404(여천동,동해가스산업(주))","탭,밸브및유사장치제조",밸브,052-260-3841
(주)조영정공,"울산광역시남구두왕로22번길37(선암동,조영정공)","탭,밸브및유사장치제조업","탭(FeedScrew),밸브",052-268-2266
(주)피엠에스,울산광역시남구신두왕로44(두왕동),"탭,밸브및유사장치제조업",산업용밸브(자동밸브),052-264-8872
(주)건일씨펫,울산광역시남구용잠로74번길48(부곡동),"탭,밸브및유사장치제조업","탭,밸브",052-268-0292
호에비거코리아,울산광역시남구테크노산업로29번길108(두왕동),"탭,밸브및유사장치제조업",밸브,052-227-3720
(주)제론씨브이,울산광역시남구신두왕로44(두왕동),"탭,밸브및유사장치제조업","탭,밸브",052-904-6049
(주)대흥이엔텍울산지점,"울산광역시남구용연로195번길9(용연동,효성프리패브)(총2필지)","탭,밸브및유사장치제조업외1종","공업용밸브,압력용기",052-227-4397
CEMT,울산광역시남구돋질로446번길5(삼산동),톱및호환성공구제조업,입방정질화붕소(CBN)공구,052-287-9052
골든카고(주),"울산광역시남구납도로160(여천동,화성산업기계)(총4필지)",트레일러및세미트레일러제조업,"플렉시탱크조립,생산+컨테이너제조",070-7523-0215
(주)세화산업,울산광역시남구처용로455(성암동),트레일러및세미트레일러제조업,"Flexitank,Dryliner",052-224-2584
(주)남부,"울산광역시남구용연로295-59(황성동,㈜남부)",폴리스티렌발포성형제품제조업외2종,스티로폼S-PAD,052-256-0012
협성기업,"울산광역시남구산업로340번길16(선암동,차현숙씨공장)",폴리스티렌발포성형제품제조업외4종,합성수지,052-271-7737
(주)동주산업,"울산광역시남구용잠로418(용잠동,동주산업(주))",표면처리및적층직물제조업외3종,"마블,라미네이트",052-256-0436
크나우프석고보드㈜,울산광역시남구납도로158(여천동),플라스터혼합제품제조업,"석고보드,천정재외",052-259-3500
㈜서원인더스트리,울산광역시남구장생포로19번길4(장생포동),"플라스틱적층,도포및기타표면처리제품제조업",FRP배관,052-266-1509
(주)엘에스켐,"울산광역시남구여천로213(여천동,그린화학(주))",플라스틱접착처리제품제조업외1종,PVC시트표면처리및가공,052-272-9500
쿠라레코리아(유),울산광역시남구용잠로416(용잠동),플라스틱접착처리제품제조업외1종,PVBInterlayer,052-278-4100
(주)일진윈테크,울산광역시남구산업로585번길38(여천동),플라스틱창호제조업외1종,PVC창호,052-274-3488
㈜하마산업,울산광역시남구장생포고래로179번길33(장생포동),"플라스틱포대,봉투및유사제품제조","쓰레기종량제봉투,봉투",052-275-7070
동양폴리머(주),"울산광역시남구산업로440번길18(여천동,동양폴리머(주))","플라스틱포대,봉투및유사제품제조업",컨테이너백,052-260-3511
도레이첨단소재(주),울산광역시남구처용로716(황성동),플라스틱필름제조업,플라스틱가공시트/필름,052-285-5710
마이크로웍스(주),울산광역시남구용연로184외3필지,플라스틱필름제조업,필름,052-228-2300
(주)케이에프엔티,"울산광역시남구용연로184(용연동,케이피케미칼(주))",플라스틱필름제조업외1종,폴리에스터필름,052-228-2326
효성화학(주)용연3공장,울산광역시남구용연로130(용연동),플라스틱필름제조업외2종,"PET필름,NF3,TAC필름",052-208-9026
백조한복연구실,울산광역시남구삼호로137,한복제조업,한복,052-272-4500
광명당제약,울산광역시남구삼산로109(달동),한의약품제조업,한의약품(당귀외442종),052-272-2777
금호석유화학(주)울산수지공장,"울산광역시남구처용로260-257,외2(성암동)",합성고무제조업,"ABS,PS등합성수지","052-279-8642,8641"
금호석유화학(주)울산고무공장,"울산광역시남구상개로64(상개동,금호석유화학(주))",합성고무제조업,"합성고무,라텍스",052-259-6008+6005인사과
한국트린지오(유),"울산광역시남구용잠로360(용잠동,울산퍼시픽화학(주))",합성고무제조업,S/BLATEX,052-220-7008
태광산업㈜울산공장,"울산광역시남구산업로304(선암동,태광산업)",합성섬유제조업,"나일론,아라미드",052-279-3546
대한화섬㈜울산공장,"울산광역시남구산업로304(선암동,태광산업)",합성섬유제조업,폴리에스테르섬유,052-279-3540
효성티앤씨(주),"울산광역시남구납도로30(매암동,효성(주))",합성섬유제조업,"나이론사,폴리에스터칩",052-278-7143+7000
효성첨단소재(주),울산광역시남구납도로30(매암동),합성섬유제조업외1종,"타이어코드지,산업용원사",052-278-7143+7000
진양화학주식회사,"울산광역시남구장생포로93(여천동,진양화학(주))",합성수지및기타플라스틱물질제조업,합성피혁,052-278-0701
한국엔지니어링플라스틱(주),"울산광역시남구장생포고래로84(매암동,한국엔지니어링플라스틱(주))",합성수지및기타플라스틱물질제조업,폴리아세탈수지,052-279-7812
(주)바커케미칼코리아,"울산광역시남구용연로34(성암동,(주)바커케미칼코리아)(총3필지)",합성수지및기타플라스틱물질제조업,VAE(do-polymer),052-930-8481+8400+8491
한국바스프(주)유화공장,"울산광역시남구상개로143(상개동,한국바스프(주))",합성수지및기타플라스틱물질제조업,폴리스틸렌,052-278-2107+2000
한화솔루션(주)2공장,울산광역시남구산업로440번길22(여천동),합성수지및기타플라스틱물질제조업,"합성수지(PVC,PSR등)",052-279-2109
삼영화성,울산광역시남구용잠로74번길24(부곡동),합성수지및기타플라스틱물질제조업,합성수지(비닐류),052-256-5500
엔티스(주),"울산광역시남구처용로718(황성동,SK케미칼(주))",합성수지및기타플라스틱물질제조업,"분체도료용수지,자외선경화도료",052-279-2720
코오롱인더스트리(주)울산공장,"울산광역시남구사평로33(부곡동,코오롱유화(주))",합성수지및기타플라스틱물질제조업,석유수지,052-259-8111+8105
HDC현대EP㈜울산공장,울산광역시남구사평로108-256(부곡동)(총5필지),합성수지및기타플라스틱물질제조업,"PS,EPS",052-279-0500+052-279-0515
한국이네오스스티롤루션(주),"울산광역시남구상개로143(상개동,한국바스프(주))",합성수지및기타플라스틱물질제조업,스티렌모노머외,052-279-5800
울산피피주식회사,울산광역시남구신항로716번길20,합성수지및기타플라스틱물질제조업,폴리프로필렌,052-901-6000
대한유화(주),"울산광역시남구처용로260-158,외5필지(부곡동)",합성수지및기타플라스틱물질제조업,"PP,HDPE",052-231-1113
에이치디씨폴리올주식회사,울산광역시남구신항로591-1(황성동),합성수지및기타플라스틱물질제조업,폴리페닐렌설파이드(PPS),052-711-2141
(주)피유란,울산광역시남구신두왕로45(두왕동),합성수지및기타플라스틱물질제조업,3D프린트소재용폴리우레탄촉매,052-247-9117
에스케이케미칼(주),울산광역시남구처용로718(황성동)외1필지,합성수지및기타플라스틱물질제조업,SKYTRA,052-279-1422
(주)나이스로드,"울산광역시남구장생포로19번길26,2층(여천동)",합성수지및기타플라스틱물질제조업,화학수지,052-256-5250
한국바스프(주)울산화성공장,"울산광역시남구신여천로27,외7필지(여천동)",합성수지및기타플라스틱물질제조업외1종,"폴리에테르폴리올,PolyTHF",052-278-2107+2000
롯데케미칼(주)울산2공장,"울산광역시남구용연로184(용연동,케이피케미칼(주))",합성수지및기타플라스틱물질제조업외3종,PIA(고순도이소프탈산),052-278-3523
롯데케미칼(주)울산1공장,"울산광역시남구사평로119(상개동,케이피케미칼(주))",합성수지및기타플라스틱물질제조업외4종,"PIA(고순도이소프탈산),PET",052-278-3400+3523
SK케미칼(주),"울산광역시남구처용로718(황성동,SK케미칼㈜)",합성수지및기타플라스틱물질제조업외5종,"POLYMER,CHDM,DMT등",052-279-1461
주식회사바이오킷,"울산광역시남구테크노산업로 55번길79-10,A동312호(두왕동)",합성수지및기타플라스틱제조업,"친환경플라스틱(PLACHITING,DCM등",
동광후렉시블,울산광역시남구두왕로22번길33-15(선암동),핵반응기및증기보일러제조업,"신축관,후렉시블",052-261-0846
현대후렉시블,울산광역시남구두왕로22번길33-15(선암동),핵반응기및증기보일러제조업,플렉시블조인트(배관호스류),052-266-6602
오제이씨㈜울산2공장,"울산광역시남구테크노산업로 55번길89,D동(두왕동)",혼성및재생플라스틱소재물질제조,"폴리에틸렌,폴리프로필렌등",070-8686-5839
셀라니즈머티리얼즈코리아㈜,울산광역시남구용잠로416(용잠동),혼성및재생플라스틱소재물질제조업,엔지니어링플라스틱,052-979-4191
㈜세명,울산광역시남구왕생로144번길22(삼산동),환경기기제조업,환경계측기및Lab장비등,052-268-3891~2
