회사명,업종명,소재지도로명주소,소재지지번주소,전화번호,팩스번호,데이터기준일자
노벨정밀금속(주),볼트 및 너트류 제조업 외 2 종,울산광역시 북구 매곡산업1길 14 (매곡동 노벨정밀금속(주)),울산광역시 북구 매곡동  347-1번지,052-286-6550,052-286-6060,2025-11-27
다만테크,기타 가공 공작기계 제조업,울산광역시 북구 천마1로 35 (달천동),울산광역시 북구 달천동 0,052-293-4401,052-293-4403,2025-11-27
대간테크(주),유압기기 제조업,울산광역시 북구 송도길 13(효문동),울산광역시 북구 효문동 608-7,052-273-1060,052-273-1981,2025-11-27
대광기업(주),건설 및 채광용 기계장비 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 B1층 B-124호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 B1층 B-124호,052-268-5645,052-268-5649,2025-11-27
대동HI-LEX(주),자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 모듈화산업로 236 (연암동),울산광역시 북구 연암동  1363-0번지,052-287-7634,,2025-11-27
대동정밀,주형 및 금형 제조업,울산광역시 북구 매곡산업5길 7-7(매곡동 현대계전산업(주)),울산광역시 북구 매곡동 351-12 현대계전산업(주),052-295-3047,052-295-3067,2025-11-27
대명S&P,기체 펌프 및 압축기 제조업,울산광역시 북구 매곡산업5길 35 (매곡동),울산광역시 북구 매곡동 883-4번지,054-741-1155,070-4324-2222,2025-11-27
대명산업(주),그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 매곡산업4길 50 (매곡동),울산광역시 북구 매곡동 875-2번지,052-298-0208,052-298-0208,2025-11-27
대명산업기계,광물처리 및 취급장비 제조업 외 1 종,울산광역시 북구 매곡산업로 75(매곡동 진광산업기계(주)),울산광역시 북구 매곡동 351-5 진광산업기계(주),052-282-6040,,2025-11-27
대산모델,기타 가공 공작기계 제조업,울산광역시 북구 괴정1길 24 (매곡동),울산광역시 북구 매곡동 723-2번지,052-285-2115,052-285-2117,2025-11-27
대산산업,인조대리석 제품 제조업,울산광역시 북구 수동4길 12 (호계동),울산광역시 북구 호계동 산71-1,052-298-8799,,2025-11-27
대성레미콘(주),레미콘 제조업,울산광역시 북구 괴정1길 58 (매곡동) (총 6 필지),울산광역시 북구 매곡동 795-16번지,052-295-2222,052-295-3459,2025-11-27
대성시스템,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 9층 906호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 9층 906호,052-283-2301,052-283-2303,2025-11-27
대성전기시스템(주),자동차용 신품 전기장치 제조업,울산광역시 북구 중산산업2길 49(중산동),울산광역시 북구 중산동 1263-4,052-281-4387,,2025-11-27
대소정공,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 송도길 30 (효문동),울산광역시 북구 효문동 434-4번지,052-289-0880,052-289-4437,2025-11-27
대신강업(주),육상 금속 골조 구조재 제조업 외 6 종,울산광역시 북구 공단길 44 (효문동 대신강업),울산광역시 북구 효문동 213번지,052-287-2563,052-287-7628,2025-11-27
대신강업(주),그 외 기타 금속가공업 외 1 종,울산광역시 북구 공단길 40 (효문동),울산광역시 북구 효문동 212-29번지,052-287-2563,052-287-7628,2025-11-27
대신강업(주) 2공장,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 책골길 45 696-7번지696-8번지 (연암동),울산광역시 북구 연암동 682-0번지,052-287-2563,052-287-7628,2025-11-27
대신강업(주) 3공장,그 외 자동차용 신품 부품 제조업 외 6 종,,울산광역시 북구 효문동 1036 울산광역시 북구 송도길 64,052-287-2565,052-287-2515,2025-11-27
대양특수강(주),절삭가공 및 유사처리업,울산광역시 북구 매곡산업로 89 (매곡동 대양특수강(주)),울산광역시 북구 매곡동  351-8번지,052-289-6262,,2025-11-27
대영T.C.F,그 외 기타 전기장비 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 8층 814호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 8층 814호,052-288-8315,052-288-8319,2025-11-27
대영기공,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,울산광역시 북구 농공단지3길 45 (달천동 대명기공),울산광역시 북구 달천동 206-10번지,052-298-4541,052-298-4544,2025-11-27
대영산업(주),그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,울산광역시 북구 매곡산업2길 19 (매곡동 대영산업(주)),울산광역시 북구 매곡동  353-3번지,052-290-0910,,2025-11-27
대영테크,자동차 엔진용 신품 부품 제조업 외 3 종,울산광역시 북구 중산산업3길 47 (중산동),울산광역시 북구 중산동 1262-3번지,,052-946-5061,2025-11-27
대원강업(주),자동차용 신품 의자 제조업 외 3 종,울산광역시 북구 송도길 25 (효문동 대원스프링) 외 1필지,울산광역시 북구 효문동 431-5번지 외 1필지,052-287-8022,052-265-1160,2025-11-27
대원정밀,내연기관 제조업,울산광역시 북구 중산산업1길 9 (중산동),울산광역시 북구 중산동 1270-4번지,052-295-1882,052-282-3160,2025-11-27
대진기업,금속 열처리업,울산광역시 북구 무룡1로 58 (연암동),울산광역시 북구 연암동 596-3번지,052-295-2282,052-295-2284,2025-11-27
대창기계,기타 가공 공작기계 제조업,울산광역시 북구 중산산업2길 62 (중산동),울산광역시 북구 중산동 1264-3번지,052-292-4966,052-292-4968,2025-11-27
대천산업,기타 가공 공작기계 제조업,울산광역시 북구 농공단지3길 50 (달천동 대천실업),울산광역시 북구 달천동 211-2번지,052-295-3166,052-295-1991,2025-11-27
대한전기,변압기 제조업 외 1 종,울산광역시 북구 농공단지2길 28 (달천동),울산광역시 북구 달천동 212-11,052-293-1847,052-296-2616,2025-11-27
대호기공,그 외 자동차용 신품 부품 제조업,울산광역시 북구 이화산업1길 14 (중산동),울산광역시 북구 중산동 1261-3번지,052-298-9997,052-282-9996,2025-11-27
대호산업,절삭가공 및 유사처리업,울산광역시 북구 농공단지4길 20 대호산업 (달천동 (주)SJ시스텍),울산광역시 북구 달천동 207-2번지 (주)SJ시스텍 대호산업,052-298-7512,052-298-2806,2025-11-27
대흥엔지니어링,톱 및 호환성 공구 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 8층 809호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 8층 809호,052-288-5121,052-288-5124,2025-11-27
덕산기업(주),그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 농공단지4길 23-8 (달천동),울산광역시 북구 달천동 203-7번지,052-282-6712,052-282-6714,2025-11-27
덕산네오룩스(주),발광 다이오드 제조업 외 1 종,울산광역시 북구 무룡1로 66(연암동 덕산하이메탈(주)),울산광역시 북구 연암동 597-3 덕산하이메탈(주),041-590-5400,,2025-11-27
덕산산업(주),도금업 외 1 종,울산광역시 북구 공단길 48 (연암동),울산광역시 북구 연암동 714-17번지,052-287-0443,052-287-1657,2025-11-27
덕산하이메탈(주),발광 다이오드 제조업 외 1 종,울산광역시 북구 무룡1로 66 (연암동 덕산하이메탈(주)),울산광역시 북구 연암동 597-3,052-283-9034,052-289-3500,2025-11-27
덕성기계,내연기관 제조업,울산광역시 북구 중산산업로 85 (중산동),울산광역시 북구 중산동 1256-4번지,052-293-5005,,2025-11-27
덕원산업,자동차 엔진용 신품 부품 제조업 외 1 종,울산광역시 북구 매곡산업1길 2 (매곡동),울산광역시 북구 매곡동  346-1번지,052-291-2807,052-291-2808,2025-11-27
덕원산업,자동차 엔진용 신품 부품 제조업 외 1 종,울산광역시 북구 중산산업3길 53 (중산동),울산광역시 북구 중산동 1262-4번지,052-291-2807,052-291-2808,2025-11-27
덕일기업,그 외 자동차용 신품 부품 제조업,울산광역시 북구 농공단지1길 54 (달천동),울산광역시 북구 달천동 212-4,052-281-0013,,2025-11-27
도림공업(주),그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 중산산업로 75 (중산동 도림공업(주)),울산광역시 북구 중산동 1256-1번지,052-282-4525,,2025-11-27
도성산업기계,기타 가공 공작기계 제조업,울산광역시 북구 효암로 100 (명촌동 도성산업기계),울산광역시 북구 명촌동 651번지,052-288-5306,052-288-5308,2025-11-27
동남피엔지(주),그 외 기타 의복액세서리 제조업,울산광역시 북구 무룡1로 79 (연암동 동남기업(울산공장)),울산광역시 북구 연암동 626-3번지,052-288-3497,052-287-3409,2025-11-27
동명산업(주),선박 구성 부분품 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 B1층 B-108호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 B1층 B-108호,061-691-2233,052-691-2236,2025-11-27
동부기업(주),탭 밸브 및 유사장치 제조업,울산광역시 북구 활밤로 17 (효문동 동부기업주식회사),울산광역시 북구 효문동 813-11번지,052-287-5881,052-287-5880,2025-11-27
동부산업(주),탭 밸브 및 유사장치 제조업,울산광역시 북구 활밤로 17 (효문동 동부기업주식회사),울산광역시 북구 효문동 813-11번지,052-289-0011,052-289-0013,2025-11-27
동서기술,자동차 엔진용 신품 부품 제조업,울산광역시 북구 매곡산업5길 25(매곡동),울산광역시 북구 매곡동 883-2,,052-282-7358,2025-11-27
동서산업,플라스틱 포대 봉투 및 유사제품 제조업,울산광역시 북구 효산1길 27 (효문동 동서산업) 외 3필지,울산광역시 북구 효문동 259-52번지 동서산업 외 3필지,052-289-2631,,2025-11-27
동성공업(주),산업용 트럭 및 적재기 제조업,울산광역시 북구 효죽3길 6 (효문동),울산광역시 북구 효문동 353-5번지,052-287-0403,,2025-11-27
동성테크 주식회사,자동차 차체용 신품 부품 제조업,울산광역시 북구 농공단지1길 42 (달천동),울산광역시 북구 달천동 212-7,052-289-9433,052-289-9434,2025-11-27
동성테크 주식회사,자동차 차체용 신품 부품 제조업,울산광역시 북구 모듈화산업로 108(효문동),울산광역시 북구 효문동 981,052-289-9433,052-289-9434,2025-11-27
동신산업(주),그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 괴정1길 78 (매곡동 세림공업사),울산광역시 북구 매곡동 795-12번지,052-295-3181,052-295-3205,2025-11-27
동신산업(주),그 외 자동차용 신품 부품 제조업 외 4 종,울산광역시 북구 매곡산업1길 1 (매곡동 동신산업(주)),울산광역시 북구 매곡동  344-1번지,052-295-3181,050-295-3205,2025-11-27
동아계전(주),배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 2층 201호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 2층 201호,052-288-0100,052-288-0103,2025-11-27
동양산전(주),전기회로 개폐 보호장치 제조업 외 1 종,울산광역시 북구 농공단지1길 36 (달천동),울산광역시 북구 달천동 212-9,052-701-7001,052-282-0096,2025-11-27
동양산전(주),전기회로 개폐 보호장치 제조업 외 2 종,울산광역시 북구 매곡산업1길 23 (매곡동 동양산전(주)),울산광역시 북구 매곡동  354-4번지,052-701-7000,052-707-7050,2025-11-27
동양이엔티㈜,배전반 및 전기 자동제어반 제조업,울산광역시 북구 이화산업1길 18 (중산동),울산광역시 북구 중산동 1261-4,052-288-4463,052-288-4462,2025-11-27
동양전기산업(주),배전반 및 전기 자동제어반 제조업,울산광역시 북구 효천1길 20 (효문동 동양플랜트ENG),울산광역시 북구 효문동 503번지,052-296-5651,052-287-5659,2025-11-27
동우실업,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 1층 108호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 1층 108호,052-287-8878,052-288-2236,2025-11-27
동우정공,절삭가공 및 유사처리업 외 4 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 4층 409호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 4층 409호,052-978-3522,,2025-11-27
동원테크,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 농공단지4길 44 (달천동),울산광역시 북구 달천동 206-2번지,052-266-3893,052-281-3893,2025-11-27
동원테크놀러지(주),그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 매곡산업3길 5 (매곡동 동원테크놀리지(주)),울산광역시 북구 매곡동  343-2번지,052-294-9080,052-294-9080,2025-11-27
동일기전(주),배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 6층 611호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 6층 611호,052-289-6806,052-289-6807,2025-11-27
동천계전,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 1층 124호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 1층 124호,052-289-5526,052-289-5527,2025-11-27
동해산업,그 외 기타 금속가공업,울산광역시 북구 중산산업2길 56 (중산동),울산광역시 북구 중산동 1264-4번지,052-289-6746,052-294-6746,2025-11-27
동해엔지니어링,선박 구성 부분품 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 3층 304호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 3층 304호,052-287-9678,052-287-9679,2025-11-27
디에스이(주),배전반 및 전기 자동제어반 제조업 외 1 종,울산광역시 북구 염포로 238-1 (효문동 DSE),울산광역시 북구 효문동 670-8번지,052-289-6301,052-289-6309,2025-11-27
디와이덕양(주),자동차용 신품 동력전달장치 제조업 외 1 종,울산광역시 북구 효암로 366 (연암동 덕양산업(주)),울산광역시 북구 연암동 945번지 덕양산업(주),052-219-1194,052-219-1018,2025-11-27
디자인진㈜,금속 문 창 셔터 및 관련제품 제조업,울산광역시 북구 천마2로 4 (달천동),울산광역시 북구 달천동 0,052-244-2665,052-248-2665,2025-11-27
떡만드는앙드레,떡류 제조업,울산광역시 북구 명촌8길 11-3 (진장동),울산광역시 북구 진장동 1004-14,052-289-6688,052-289-6690,2025-11-27
라인텍,자동차 차체용 신품 부품 제조업,울산광역시 북구 죽전로 4 (효문동),울산광역시 북구 효문동 694-8번지,052-297-7885,052-297-7886,2025-11-27
로블,그 외 기타 가구 제조업 외 1 종,울산광역시 북구 효자로 70 가동(효문동),울산광역시 북구 효문동 818-10 가동,,,2025-11-27
류성밸브엔지니어링,유압기기 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 2층 206호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 2층 206호,052-288-1170,052-288-1172,2025-11-27
마룬월드,그 외 금속 압형제품 제조업 외 2 종,울산광역시 북구 산하중앙2로 219(산하동),울산광역시 북구 산하동 334-2,,,2025-11-27
마바산업사,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 9층 907호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 9층 907호,052-288-2133,052-288-2136,2025-11-27
만우전기,배전반 및 전기 자동제어반 제조업 외 6 종,울산광역시 북구 효죽5길 8 (효문동),울산광역시 북구 효문동 420-5번지,052-288-7036,052-288-7038,2025-11-27
명성FA,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 6층 603호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 6층 603호,052-293-3367,052-293-3368,2025-11-27
명솔산업,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 중산산업3길 7 (중산동),울산광역시 북구 중산동 1268-2번지,052-294-7107,052-294-7108,2025-11-27
명솔산업,그 외 자동차용 신품 부품 제조업,울산광역시 북구 중산산업2길 50(중산동 명솔산업),울산광역시 북구 중산동 1264-5 명솔산업,052-294-7107,,2025-11-27
명지시스템 주식회사,배전반 및 전기 자동제어반 제조업,,울산광역시 북구 달천동 모바일테크밸리 일반산업단지 5블럭 7롯트,052-245-3614,,2025-11-27
모모글라스,기타 판유리 가공품 제조업,울산광역시 북구 농공단지4길 36(달천동 대산기업),울산광역시 북구 달천동 207-6 대산기업,052-293-2007,052-293-2008,2025-11-27
무진산업㈜,자동차용 신품 의자 제조업,울산광역시 북구 매곡산업1길 28(매곡동 (주)오토피아),울산광역시 북구 매곡동 347-8 (주)오토피아,052-289-0406,052-283-0239,2025-11-27
미래CNC테크,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 701호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 701호,052-289-9030,052-289-9031,2025-11-27
미래산업,천막 텐트 및 유사 제품 제조업 외 1 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 B1층 B-123호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 B1층 B-123호,052-289-4021,,2025-11-27
미진,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 화정2길 56 (중산동),울산광역시 북구 중산동 713번지,052-298-8700,052-298-8702,2025-11-27
바이오팩토리,플라스틱 포대 봉투 및 유사제품 제조업 외 1 종,울산광역시 북구 농공단지4길 56 (달천동),울산광역시 북구 달천동 206-11,052-291-1984,052-292-1984,2025-11-27
백산이엔씨(주),탭 밸브 및 유사장치 제조업 외 5 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 4층 409호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 4층 409호,052-261-3920,052-260-3921,2025-11-27
부강,운송장비 조립용 플라스틱제품 제조업,울산광역시 북구 농공단지4길 49(달천동),울산광역시 북구 달천동 205-9,052-295-8700,052-295-8701,2025-11-27
부국산업(주),플라스틱 선 봉 관 및 호스 제조업 외 2 종,울산광역시 북구 효암로 302 (연암동),울산광역시 북구 연암동 821-1번지,052-264-7600,052-264-7611,2025-11-27
부국정밀,금속 절삭기계 제조업,울산광역시 북구 중산산업로 31-1 (중산동),울산광역시 북구 중산동 1258-2번지,052-282-5277,,2025-11-27
부영정보통신공사,방송장비 제조업,울산광역시 북구 명촌12길 20 (명촌동),울산광역시 북구 명촌동 685번지,052-258-1400,052-258-2900,2025-11-27
북구장애인보호작업장,치약 비누 및 기타 세제 제조업,울산광역시 북구 농공단지3길 1 (달천동),울산광역시 북구 달천동 267번지,052-282-8170,052-282-8173,2025-11-27
삼기산업(주),그 외 자동차용 신품 부품 제조업,울산광역시 북구 모듈화산업로 50 (효문동 (주)지테크),울산광역시 북구 효문동 1012번지,052-283-5700,,2025-11-27
삼영기업,금속류 해체 및 선별업 외 3 종,울산광역시 북구 농공단지5길 33 (달천동 삼영기업),울산광역시 북구 달천동 204-7번지,052-298-8855,052-298-8857,2025-11-27
삼전기술검사(주),물질 검사 측정 및 분석기구 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 5층 501호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 5층 501호,052-289-3311,052-289-3331,2025-11-27
삼정이엔지(주),그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 송도길 76 (효문동),울산광역시 북구 효문동 760번지,052-710-4204,052-710-4205,2025-11-27
삼종산업,자동차용 신품 의자 제조업 외 2 종,울산광역시 북구 효산1길 28 (효문동 삼종산업),울산광역시 북구 효문동 259-29번지,052-288-4767,052-288-4733,2025-11-27
삼진메디올 주식회사,가정용 전기 난방기기 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 5층 520호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 5층 520호,1800-7098,052-700-2570,2025-11-27
삼진메디올(주),기타 직물제품 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 9층 908-8호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 9층 908-8호,070-5222-2571,052-700-2570,2025-11-27
삼진메디올(주),기타 직물제품 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 9층 908-7호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 9층 908-7호,070-5222-2571,052-700-2570,2025-11-27
삼진정공(주),볼트 및 너트류 제조업 외 3 종,울산광역시 북구 무룡1로 74 (연암동 삼진정공(울산공장)),울산광역시 북구 연암동 643번지,052-701-5000,052-701-5003,2025-11-27
삼창산업(주),자동차 엔진용 신품 부품 제조업 외 1 종,울산광역시 북구 매곡산업4길 7 (매곡동),울산광역시 북구 매곡동 871-1번지,052-288-9886,052-292-4870,2025-11-27
삼현산업,그 외 기타 고무제품 제조업,울산광역시 북구 죽전로 2 (효문동 삼현산업),울산광역시 북구 효문동 694-6번지,052-288-9700,052-288-9701,2025-11-27
삼화종합상사,톱 및 호환성 공구 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 1층 110호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 1층 110호,052-287-5300,052-289-0330,2025-11-27
상현상사,전동기 및 발전기 제조업,울산광역시 북구 염포로 248-10 (진장동),울산광역시 북구 진장동 937-5번지,054-774-7200,054-774-7209,2025-11-27
서광계전,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 1층 105호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 1층 105호,052-256-7515,,2025-11-27
서진금속,수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,울산광역시 북구 송도길 19 (효문동 경원세기),울산광역시 북구 효문동 608-1번지,052-288-4142,052-288-4144,2025-11-27
서창기업,기타 가공 공작기계 제조업,울산광역시 북구 중산산업3길 12(중산동 서창기업),울산광역시 북구 중산동 1265-1 서창기업,052-281-7893,052-281-7894,2025-11-27
선진시스템,기기용 자동측정 및 제어장치 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 711호 외 4필지,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 711호 외 4필지,052-287-2287,052-947-2155,2025-11-27
성광테크,그 외 기타 특수목적용 기계 제조업,울산광역시 북구 매곡산업6길 49 (매곡동),울산광역시 북구 매곡동 883-1번지,,,2025-11-27
성심산업,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 5층 504호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 5층 504호,052-287-8411,,2025-11-27
성심산업,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 5층 504호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 5층 504호,052-287-8411,,2025-11-27
성아엠엔이,절삭가공 및 유사처리업 외 1 종,울산광역시 북구 농공단지3길 53 (달천동),울산광역시 북구 달천동 206-8번지,052-286-5011,052-298-0876,2025-11-27
성안로보텍,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 6층 616호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 6층 616호,052-288-6370,052-288-6372,2025-11-27
성진CS,모피제품 제조업 외 2 종,울산광역시 북구 상방2길 6 (연암동),울산광역시 북구 연암동 440-1번지,,,2025-11-27
성진산업,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 효산2길 12 (효문동 성진산업),울산광역시 북구 효문동 312-1번지,052-288-4261,052-288-4269,2025-11-27
성한이엔지,주형 및 금형 제조업,울산광역시 북구 농공단지4길 58 (달천동),울산광역시 북구 달천동 206-6번지,052-288-0040,052-288-1884,2025-11-27
성현산업(주),그 외 자동차용 신품 부품 제조업 외 4 종,울산광역시 북구 매곡산업1길 15 (매곡동 성현산업(주)),울산광역시 북구 매곡동 348-1번지,052-286-0950,052-286-0954,2025-11-27
세광엔지니어링,그 외 기타 일반목적용 기계 제조업 외 1 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 3층 303호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 3층 303호,052-289-0949,052-288-0949,2025-11-27
세광테크,기타 기계.장비 조립용 플라스틱 제품 제조업 외 3 종,울산광역시 북구 농공단지5길 23 (달천동),울산광역시 북구 달천동 204-3번지,052-269-8385,052-269-8386,2025-11-27
세기금속공업사,도금업,울산광역시 북구 송도길 23 (효문동 세기금속),울산광역시 북구 효문동 431-6번지,052-287-1556,052-287-7538,2025-11-27
세기엔지니어링,가정용 및 산업용 공기 조화장치 제조업 외 3 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 9층 901호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 9층 901호,052-247-0991,052-247-0965,2025-11-27
세신공업,절삭가공 및 유사처리업,울산광역시 북구 농공단지3길 54 (달천동),울산광역시 북구 달천동 211-3번지,052-282-4048,052-282-4049,2025-11-27
세신엔지니어링,산업용 로봇 제조업,울산광역시 북구 농공단지5길 34 (달천동),울산광역시 북구 달천동 205-6번지,052-295-4048,052-295-4049,2025-11-27
세신전기,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 712호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 712호,052-289-3390,052-289-3391,2025-11-27
세운철강(주),그 외 기타 1차 철강 제조업,울산광역시 북구 죽전로 17 (효문동) (총 2 필지),울산광역시 북구 효문동 815-5번지,052-288-8765,052-287-0964,2025-11-27
세원엔지니어링,그 외 기타 일반목적용 기계 제조업 외 1 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 4층 402호 외 1필지,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 4층 402호 외 1필지,052-296-2113,052-296-6277,2025-11-27
세일엠티씨,주형 및 금형 제조업 외 5 종,울산광역시 북구 매곡산업5길 30 (매곡동),울산광역시 북구 매곡동 884-2번지,052-988-2300,052-988-2301,2025-11-27
세진정공,기타 가공 공작기계 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 B1층 B-102호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 B1층 B-102호,052-288-3271,052-288-3272,2025-11-27
송강테크(주),그 외 자동차용 신품 부품 제조업,울산광역시 북구 매곡산업5길 10(매곡동),울산광역시 북구 매곡동 355-1,052-946-1056,052-946-1059,2025-11-27
송원기공(주),금속 문 창 셔터 및 관련제품 제조업,울산광역시 북구 명촌22길 4 (진장동),울산광역시 북구 진장동 751번지,052-288-8663,052-288-8662,2025-11-27
수성정밀기계(주),기타 가공 공작기계 제조업 외 3 종,울산광역시 북구 농공단지3길 39 (달천동 수성정밀기계),울산광역시 북구 달천동 207-7번지,052-295-5114,052-295-5978,2025-11-27
승보정밀,자동차용 금속 압형제품 제조업 외 1 종,울산광역시 북구 농공단지5길 25 (달천동 승보정밀),울산광역시 북구 달천동 204-4번지,052-282-0145,052-282-0213,2025-11-27
승빈산업,자동차 차체용 신품 부품 제조업,울산광역시 북구 농공단지4길 31(달천동),울산광역시 북구 달천동 203-5,,052-970-8714,2025-11-27
신광정밀,금속 절삭기계 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 2층 209호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 2층 209호,052-288-6505,052-288-6506,2025-11-27
신보로드(주),자동차 차체용 신품 부품 제조업 외 4 종,울산광역시 북구 무룡로 142 (연암동) 외 1필지,울산광역시 북구 연암동 1434번지 외 1필지,052-267-9008,052-267-9018,2025-11-27
신승주식회사,자동차용 신품 의자 제조업,울산광역시 북구 효산2길 12 (효문동 성진산업),울산광역시 북구 효문동 312-1번지 성진산업,052-288-4261,052-288-4269,2025-11-27
신영닥트(주),구조용 금속 판제품 및 공작물 제조업,울산광역시 북구 죽전로 3(효문동 송풍엔지니어링),울산광역시 북구 효문동 815-4 송풍엔지니어링,052-286-3523,052-260-3523,2025-11-27
신영전기,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 2층 203호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 2층 203호,052-289-2320,,2025-11-27
