회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
신흥테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차용 라디에타 부품,경상남도 함안군 칠원읍 용산리 242번지 외 2필지 외 2필지,055-586-0427,경상남도_제조업 현황_20240610.csv,,,,
아이디(주),그 외 기타 금속가공업,자동차부품,"경상남도 함안군 칠서면 공단서길 47, 아이디(주) 외 1필지",055-587-5100,경상남도_제조업 현황_20240610.csv,,,,
알프스정밀,그 외 자동차용 신품 부품 제조업 외 4 종,자동차용워터펌프외,경상남도 함안군 칠원읍 운서천길 85 외 2필지,,경상남도_제조업 현황_20240610.csv,,,,
앤빌테크,절삭가공 및 유사처리업,자동차 부품,,,경상남도_제조업 현황_20240610.csv,,,,
에스펙(주),육상 금속 골조 구조재 제조업 외 5 종,"자동차부품, 자동화기계 외",경상남도 함안군 칠원읍 운서3길 41-108 외 3필지,,경상남도_제조업 현황_20240610.csv,,,,
에쓰엠씨코리아(유),절삭가공 및 유사처리업,자동차부품,경상남도 함안군 칠서면 공단동2길 84,055-587-7144,경상남도_제조업 현황_20240610.csv,,,,
에코오일(주),그 외 자동차용 신품 부품 제조업 외 3 종,친환경 산업용 윤활제,경상남도 함안군 칠북면 가연로 124 외 17필지,055-284-2151,경상남도_제조업 현황_20240610.csv,,,,
에프엠티,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 칠원읍 운무로 217-38,,경상남도_제조업 현황_20240610.csv,,,,
엔에스테크 주식회사,그 외 기타 특수목적용 기계 제조업 외 10 종,프레스물(자동차부품),경상남도 함안군 칠원읍 운서리 1114번지,055-296-7401,경상남도_제조업 현황_20240610.csv,,,,
엔엔엔코리아,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 가야읍 남문길 17,055-582-3466,경상남도_제조업 현황_20240610.csv,,,,
엔엔엔코리아(주),그 외 자동차용 신품 부품 제조업 외 4 종,자동차 부품,경상남도 함안군 산인면 성산로 564 (제일테크),055-582-3466,경상남도_제조업 현황_20240610.csv,,,,
엔엔엔코리아(주) 제2공장,그 외 자동차용 신품 부품 제조업 외 4 종,자동차 부품,경상남도 함안군 가야읍 남문길 17,055-582-3466,경상남도_제조업 현황_20240610.csv,,,,
엔티지테크,절삭가공 및 유사처리업,자동차부품,,,경상남도_제조업 현황_20240610.csv,,,,
엔티케이산업(주),금속 절삭기계 제조업,"공작기계부품, 자동차휠류",경상남도 함안군 칠서면 구포1길 30 ((주)태경메카텍),,경상남도_제조업 현황_20240610.csv,,,,
엠에스에이치티씨,금속 열처리업,자동차 부품 열처리,"경상남도 함안군 법수면 장백로 528-22, 경상남도 함안군 법수면 장백로 528-22 외 2필지",055-713-1760,경상남도_제조업 현황_20240610.csv,,,,
영오공업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 칠원읍 운무로 234-1 (태경공업),,경상남도_제조업 현황_20240610.csv,,,,
영진테크,그 외 자동차용 신품 부품 제조업,"오토클러치(자동차부품), 자동차 브레이크 부분품",경상남도 함안군 군북면 월촌리 275-8번지,,경상남도_제조업 현황_20240610.csv,,,,
영하기계,금속 절삭기계 제조업 외 4 종,기계 및 자동차부품,경상남도 함안군 칠원읍 갈티길 91 (총 2 필지) 외 1필지,055-587-7563,경상남도_제조업 현황_20240610.csv,,,,
영화금속(주),강주물 주조업,자동차 부품,경상남도 함안군 군북면 함안산단4길 79,055-981-0611,경상남도_제조업 현황_20240610.csv,,,,
예은테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 칠원읍 유장길 385 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
오성테크,자동차용 금속 압형제품 제조업 외 1 종,중장비부품,경상남도 함안군 칠서면 구포리 202번지 외 1필지 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
오영금속,도금업,자동차 및 기계부품도금,경상남도 함안군 칠원읍 용산4길 19,055-247-3282,경상남도_제조업 현황_20240610.csv,,,,
우남정밀,절삭가공 및 유사처리업,"농기계부품(풀리), 자동차부품",경상남도 함안군 칠서면 회산2길 89 외 3필지,,경상남도_제조업 현황_20240610.csv,,,,
우성ENG,그 외 기타 분류 안된 금속 가공 제품 제조업,자동차부품,경상남도 함안군 칠원읍 운서리 788번지,,경상남도_제조업 현황_20240610.csv,,,,
우성산업,자동차용 금속 압형제품 제조업 외 1 종,배관기계,경상남도 함안군 칠북면 화천1길 113 (우성산업),055-587-1861,경상남도_제조업 현황_20240610.csv,,,,
우성산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 칠원읍 석전3길 35 (우성산업),055-587-1645,경상남도_제조업 현황_20240610.csv,,,,
우성산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차안전벨트,경상남도 함안군 칠원읍 용두산안길 17 (우선산업),055-587-1645,경상남도_제조업 현황_20240610.csv,,,,
우성정밀,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 산인면 신산리 622-2번지,,경상남도_제조업 현황_20240610.csv,,,,
우주테크,운송장비 조립용 플라스틱제품 제조업 외 1 종,"플라스틱사출, 자동차부품, 비대",경상남도 함안군 산인면 신산리 58번지,,경상남도_제조업 현황_20240610.csv,,,,
원덕금속(주),자동차 차체용 신품 부품 제조업 외 1 종,자동차 차체용 부품,경상남도 함안군 군북면 국우로 128 외 3필지,,경상남도_제조업 현황_20240610.csv,,,,
원에스엔피,자동차 재제조 부품 제조업,고철(재제조원료),경상남도 함안군 법수면 윤외리 316-1번지 외 2필지,,경상남도_제조업 현황_20240610.csv,,,,
원창단조,금속 단조제품 제조업,"자동차,중장비,농기계부품",경상남도 함안군 칠원읍 예곡리 832-49번지,055-587-1271,경상남도_제조업 현황_20240610.csv,,,,
원창단조함안제2공장,자동차 차체용 신품 부품 제조업 외 1 종,자동차차체부품,경상남도 함안군 군북면 유전2길 97 (원창단조),055-587-1271,경상남도_제조업 현황_20240610.csv,,,,
원흥테크,금속 스프링 제조업,"전기전자,자동차스프링",경상남도 함안군 칠서면 함의로 174 (원홍테크),055-587-7977,경상남도_제조업 현황_20240610.csv,,,,
유성단조,금속 단조제품 제조업,자동차엔진부품,경상남도 함안군 군북면 모로리 633번지,055-585-3430,경상남도_제조업 현황_20240610.csv,,,,
유성정밀,그 외 자동차용 신품 부품 제조업 외 3 종,"자동차부품(미션포크), 농기계부품",경상남도 함안군 칠원읍 함의로 53 (장산기계),055-587-5198,경상남도_제조업 현황_20240610.csv,,,,
유신에스티,절삭가공 및 유사처리업,자동차 부품,경상남도 함안군 칠서면 공단상가2길 53,055-586-5803,경상남도_제조업 현황_20240610.csv,,,,
유진공업,그 외 자동차용 신품 부품 제조업 외 3 종,"냉간단조(자동차용,전자용 특수볼트너트)",경상남도 함안군 칠원읍 용산5길 30-20 (유진공업),055-586-5600,경상남도_제조업 현황_20240610.csv,,,,
유진정밀,금속 절삭기계 제조업,자동차부품,경상남도 함안군 칠원읍 운서리 898-4번지,,경상남도_제조업 현황_20240610.csv,,,,
유한책임회사 액슬코리아,금속 단조제품 제조업,"자동차부품, 단조제품",경상남도 함안군 칠북면 화천1길 133,055-586-1959,경상남도_제조업 현황_20240610.csv,,,,
육오정공,무기 및 총포탄 제조업 외 7 종,자동차 부품제조,경상남도 함안군 칠원읍 함의로 57-1 (금강산업),055-587-5830,경상남도_제조업 현황_20240610.csv,,,,
이수정밀,절삭가공 및 유사처리업,자동차부품,경상남도 함안군 칠원읍 야촌강변길 80-10,,경상남도_제조업 현황_20240610.csv,,,,
이엔피산업 제2공장,알루미늄주물 주조업,자동차부품,경상남도 함안군 칠원읍 석전3길 43 (이엔피산업) (총 3 필지) 외 2필지,055-587-5854,경상남도_제조업 현황_20240610.csv,,,,
이천테크윈,절삭가공 및 유사처리업,조향장치용 자동차부품,경상남도 함안군 칠서면 회산리 1007-4번지,,경상남도_제조업 현황_20240610.csv,,,,
이천테크윈,절삭가공 및 유사처리업,T-3 / G05 외 자동차 부품 ,경상남도 함안군 칠서면 공단북길 170,055-586-7813,경상남도_제조업 현황_20240610.csv,,,,
일신산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 산인면 송산로 376-1,,경상남도_제조업 현황_20240610.csv,,,,
재성ENG,"탭, 밸브 및 유사장치 제조업 외 1 종","밸브. 포신부품,전투차량부품",경상남도 함안군 칠원읍 오곡로 132-47 (재성이엔지),055-586-1193,경상남도_제조업 현황_20240610.csv,,,,
정우산업,그 외 자동차용 신품 부품 제조업,전자제이식 안전벨트 부품,경상남도 함안군 대산면 대사리 산 167-1번지 외 13필지,,경상남도_제조업 현황_20240610.csv,,,,
정현다이캐스팅,기타 구조용 금속제품 제조업,자동차및전자제품케이스,경상남도 함안군 칠원읍 덕산1길 195-29 (한국정밀),055-587-4087,경상남도_제조업 현황_20240610.csv,,,,
조양산업,그 외 자동차용 신품 부품 제조업,유공압 제동력배분 브레이크부분품,경상남도 함안군 칠서면 함의로 70-1,,경상남도_제조업 현황_20240610.csv,,,,
주식회사 대영산업,건설 및 채광용 기계장비 제조업,"자동차부품, 중장비부품",경상남도 함안군 칠북면 덕남길 252,,경상남도_제조업 현황_20240610.csv,,,,
주식회사 동신모텍 함안공장,도장 및 기타 피막처리업 외 2 종,"자동차부품, 농기계부품",경상남도 함안군 가야읍 남문길 29-3 외 1필지,055-3452-2280,경상남도_제조업 현황_20240610.csv,,,,
주식회사 디에이치엠,자동차용 신품 동력전달장치 제조업 외 2 종,"자동차부품(엔진),전자부품",경상남도 함안군 칠원읍 오곡로 132-62 (DHM(주)),055-586-0588,경상남도_제조업 현황_20240610.csv,,,,
주식회사 서궁,기타 가공 공작기계 제조업,자동차 부품,경상남도 함안군 칠원읍 운무로 217-38,055-586-2320,경상남도_제조업 현황_20240610.csv,,,,
주식회사 에스제이티,전투용 차량 제조업,방산부품,경상남도 함안군 군북면 민등길 85-1,,경상남도_제조업 현황_20240610.csv,,,,
주식회사 영진테크놀로지 ,자동차 엔진용 신품 부품 제조업 외 1 종,CORE ASS'Y,"경상남도 함안군 군북면 함마대로 290-21, (B/D동)",055-585-2962,경상남도_제조업 현황_20240610.csv,,,,
주식회사 케이씨피,건설 및 채광용 기계장비 제조업 외 2 종,"콘크리트  펌프, 특장차, 특수목적용자동차, 화물자동차",경상남도 함안군 가야읍 광정로 312,,경상남도_제조업 현황_20240610.csv,,,,
주식회사 태영메크로,그 외 자동차용 신품 부품 제조업 외 3 종,배기관장치,경상남도 함안군 칠원읍 구성리 259-2번지 외 1필지 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
주식회사 포에스텍,"탭, 밸브 및 유사장치 제조업","공작기계부품,자동차휠류",경상남도 함안군 칠원읍 호곡1길 95 외 4필지,055-587-7204,경상남도_제조업 현황_20240610.csv,,,,
주평(주),주형 및 금형 제조업 외 4 종,자동차 부품 및 금형,경상남도 함안군 군북면 모로리 148번지 외 2필지 외 2필지,,경상남도_제조업 현황_20240610.csv,,,,
주흥테크,자동차용 금속 압형제품 제조업 외 1 종,자동차 부품 외,경상남도 함안군 칠원읍 석전3길 73-11 외 2필지,,경상남도_제조업 현황_20240610.csv,,,,
중앙산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차박스용조립부품,경상남도 함안군 칠원읍 덕산1길 297 (우리금속),055-244-8712,경상남도_제조업 현황_20240610.csv,,,,
중앙엠티에스(주),내연기관 제조업 외 29 종,"압축점화식 엔진, 전투용차량부품",경상남도 함안군 칠북면 북원로 272-23 (일반공장),055-583-9972,경상남도_제조업 현황_20240610.csv,,,,
중앙엠티에스주식회사,자동차 엔진용 신품 부품 제조업 외 7 종,자동차 부품 ,경상남도 함안군 군북면 함안산단2길 49-30,055-583-9972,경상남도_제조업 현황_20240610.csv,,,,
중앙정밀,절삭가공 및 유사처리업,"자동차부품,포장기계",경상남도 함안군 군북면 함안산단3길 63,055-585-6937,경상남도_제조업 현황_20240610.csv,,,,
지엠에스이모빌리티(주),절삭가공 및 유사처리업,자동차 부품,경상남도 함안군 칠서면 공단서길 80,055-586-5127,경상남도_제조업 현황_20240610.csv,,,,
창성테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부춤,경상남도 함안군 산인면 신산로 120,,경상남도_제조업 현황_20240610.csv,,,,
창성테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차용라디에타 부품,경상남도 함안군 칠원읍 용산5길 99 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
청아테크,절삭가공 및 유사처리업,차량용 부품,,,경상남도_제조업 현황_20240610.csv,,,,
초연산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 칠북면 북원로 146 외 5필지,,경상남도_제조업 현황_20240610.csv,,,,
코스텍,금속 절삭기계 제조업,"자동차부품, 유압 및 특수밸브 부품",경상남도 함안군 칠원읍 운서리 1103번지,055-587-7530,경상남도_제조업 현황_20240610.csv,,,,
태경열처리,금속 열처리업,자동차부품,경상남도 함안군 군북면 함안산단3길 34,055-346-3138,경상남도_제조업 현황_20240610.csv,,,,
태경정밀,금속 절삭기계 제조업,자동차부품,경상남도 함안군 칠원읍 석전3길 39,055-587-3990,경상남도_제조업 현황_20240610.csv,,,,
태광정밀,알루미늄주물 주조업,"자동차,전자부품",경상남도 함안군 칠서면 함의로 153,055-586-3574,경상남도_제조업 현황_20240610.csv,,,,
태산전착함안공장,도장 및 기타 피막처리업,자동차 부품 전자부품 각종 금속부품의 전착도장,경상남도 함안군 군북면 함안산단6길 74,055-583-0070,경상남도_제조업 현황_20240610.csv,,,,
태성특장,차체 및 특장차 제조업,차량용 윙바디,경상남도 함안군 칠서면 함의로 249-7 태성특장공장,055-587-4548,경상남도_제조업 현황_20240610.csv,,,,
태영정밀,자동차용 신품 동력전달장치 제조업 외 1 종,자동차부품,경상남도 함안군 칠북면 화천1길 173 (화성),055-587-9334,경상남도_제조업 현황_20240610.csv,,,,
태영정밀,그 외 자동차용 신품 부품 제조업 외 1 종,"자동차시트부품,에어콘,전자렌지부품",경상남도 함안군 칠원면 용산5길 66 (칠원읍) 외 1필지,055-587-1898,경상남도_제조업 현황_20240610.csv,,,,
티아이씨(주),자동차용 신품 동력전달장치 제조업 외 4 종,자동차 부품,"경상남도 함안군 칠서면 공단북길 99, 티아이씨(주)",055-213-7419,경상남도_제조업 현황_20240610.csv,,,,
티에스에이산업(주),그 외 자동차용 신품 부품 제조업,전자제어식 안전벨트부품,경상남도 함안군 칠서면 태곡리 503번지 외 25필지,,경상남도_제조업 현황_20240610.csv,,,,
파워텍,무기 및 총포탄 제조업 외 6 종,자동차부품,경상남도 함안군 칠원읍 동대이길 81 (파워텍),055-586-5223,경상남도_제조업 현황_20240610.csv,,,,
파인HF 주식회사(함안지점),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 산인면 송산로 376-2,055-583-1701,경상남도_제조업 현황_20240610.csv,,,,
평강정밀 주식회사,"탭, 밸브 및 유사장치 제조업","밸브부품,자동차부품",경상남도 함안군 칠북면 화천리 23-4 번지,055-586-7243,경상남도_제조업 현황_20240610.csv,,,,
플러스테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 칠원읍 용산4길 42,055-286-4994,경상남도_제조업 현황_20240610.csv,,,,
플러스테크 2공장,절삭가공 및 유사처리업,자동차부품,경상남도 함안군 칠원읍 용산4길 40 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
피앤아이글로벌,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차부품,경상남도 함안군 칠서면 함의로 72-1,,경상남도_제조업 현황_20240610.csv,,,,
하나엔씨(주),볼트 및 너트류 제조업,자동차 부품,경상남도 함안군 대산면 대사리 1328번지,051-861-1114,경상남도_제조업 현황_20240610.csv,,,,
하이콘,"알루미늄 압연, 압출 및 연신제품 제조업",자동차 냉온 컵홀더,경상남도 함안군 칠원읍 갈티길 87,,경상남도_제조업 현황_20240610.csv,,,,
한국금속,알루미늄주물 주조업,"반도체부품, 자동차부품",경상남도 함안군 대산면 평림리 1391번지 외7필지,055-582-1081,경상남도_제조업 현황_20240610.csv,,,,
한국법랑(주),자동차용 금속 압형제품 제조업 외 2 종,금속제품 법랑,경상남도 함안군 군북면 함안산단2길 12,055-336-8900,경상남도_제조업 현황_20240610.csv,,,,
한국하이테크(주),자동차 엔진용 신품 부품 제조업 외 5 종,자동차 엔진용 부품,경상남도 함안군 군북면 함안산단4길 23-42,055-582-9960,경상남도_제조업 현황_20240610.csv,,,,
한솔테크,그 외 자동차용 신품 부품 제조업 외 3 종,금속기계부품,경상남도 함안군 칠북면 가연리 781번지 외 6필지 외 6필지,055-586-3931,경상남도_제조업 현황_20240610.csv,,,,
한솔테크,절삭가공 및 유사처리업,산업기계 및 자동차부품,경상남도 함안군 칠원읍 용정리 1062-3번지 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
한중금속,금속 열처리업,금형자동차부품열처리,경상남도 함안군 칠원읍 동대이안길 38-9 한중금속열처리,055-586-5846,경상남도_제조업 현황_20240610.csv,,,,
해양산업(주),알루미늄주물 주조업,알루미늄자동차부품,경상남도 함안군 함안면 광정로 368 ((주)해양금속),055-583-1688,경상남도_제조업 현황_20240610.csv,,,,
해피산업,그 외 자동차용 신품 부품 제조업 외 3 종,"유공압, 제동력배문 브레이크부분품",경상남도 함안군 군북면 장지리 481-4번지 외 10필지,,경상남도_제조업 현황_20240610.csv,,,,
현대자동차(주),승용차 및 기타 여객용 자동차 제조업,자동차제조,경상남도 함안군 군북면 월촌리 2044번지,055-584-1270,경상남도_제조업 현황_20240610.csv,,,,
혜성플라텍,자동차 재제조 부품 제조업,"자동차, 전자부품",경상남도 함안군 산인면 신산로 146,055-587-6475,경상남도_제조업 현황_20240610.csv,,,,
홍창기업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 칠북면 덕남길 36,055-586-2603,경상남도_제조업 현황_20240610.csv,,,,
화성산업(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함안군 법수면 강주2길 22 ((주)화성) (총 4 필지) 외 3필지,055-583-7020,경상남도_제조업 현황_20240610.csv,,,,
화성산업주식회사,그 외 자동차용 신품 부품 제조업 외 6 종,유공압 Hose assembly,경상남도 함안군 법수면 장백로 528-32,055-583-7030,경상남도_제조업 현황_20240610.csv,,,,
화신금속,자동차용 금속 압형제품 제조업 외 1 종,산업기계부품,경상남도 함안군 칠서면 구포리 203-3번지 외 3필지 외 3필지,055-559-3839,경상남도_제조업 현황_20240610.csv,,,,
BM테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 함양군 안의면 황곡리 2205번지,053-614-3945,경상남도_제조업 현황_20240610.csv,,,,
케이지모빌리티커머셜(주),승용차 및 기타 여객용 자동차 제조업 외 3 종,"전기버스, CNG 시내버스 등",경상남도 함양군 수동면 산업단지길 148,055-960-3420,경상남도_제조업 현황_20240610.csv,,,,
미래코아(주),그 외 자동차용 신품 부품 제조업 외 3 종,"소음기,연료탱크,모터코너",경상남도 합천군 대양면 대목리 산 54 번지 외 2필지,,경상남도_제조업 현황_20240610.csv,,,,
(주)동인,그 외 자동차용 신품 부품 제조업 외 3 종,자동차범퍼,경상남도 양산시 웅비공단길 64-1 (용당동) (총 3 필지) 외 2필지,055-365-9000,경상남도_제조업 현황_20240610.csv,,,,
(주)성우하이텍 프레스동,기타자동차부품제조업,자동차부품,"경상남도 양산시 소주공단3길 56 (소주동, 성우하이텍)",055-388-7495,경상남도_제조업 현황_20240610.csv,,,,
(주)청하산업,폴리스티렌 발포 성형제품 제조업 외 1 종,자동차부품,경상남도 김해시 진례면 서부로587번길 20,055-345-3884,경상남도_제조업 현황_20240610.csv,,,,
남경공업사,그 외 자동차용 신품 부품 제조업 외 3 종,밤바부품,경상남도 김해시 주촌면 77번지,055-338-4484,경상남도_제조업 현황_20240610.csv,,,,
삼진산업,고무패킹류 제조업 외 3 종,자동차 창고무 제조,경상남도 양산시 상북면 소토리 247-1번지,055-374-0550,경상남도_제조업 현황_20240610.csv,,,,
신창특수도장,도장 및 기타 피막처리업,자동차 및 전자기기 부품,경상남도 창원시 마산합포구 진북면 신촌리 12-4번지,,경상남도_제조업 현황_20240610.csv,,,,
신호메탈,자동차 차체용 신품 부품 제조업 외 2 종,자동차부품(브라켓),경상남도 함안군 칠원읍 34번지,055-586-3980,경상남도_제조업 현황_20240610.csv,,,,
진영산업,그 외 자동차용 신품 부품 제조업 외 3 종,과일선별기,경상남도 김해시 한림면 김해대로927번길 65,055-343-2358,경상남도_제조업 현황_20240610.csv,,,,
서우첨단소재 주식회사,합성섬유 제조업 외 1 종,"PET단섬유(자동차용 내장제품 소재용), 매트리스 및 의류용 충전재, 기타 산업용 섬유",경상북도 김천시 공단로 190 (대광동),054-434-8830,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
이솔화학 주식회사,플라스틱 필름 제조업 외 5 종,"자동차용 디스플레이 필름, E-Glass 및 flexible glass",경상북도 김천시 공단4길 21 (응명동) 외 1필지,054-434-2611,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
이솔화학 주식회사,플라스틱 필름 제조업 외 3 종,"고경도필름, 광학필름, 자동차 전장용 기능성 필름 제조 및 가공",경상북도 김천시 어모면 산업단지1로 62,054-434-2611,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
바이오라이트(주),전구 및 램프 제조업 외 1 종,"할로겐 전구, LED 전구, 차량용 필터",경상북도 김천시 어모면 산업단지4로 108,054-439-0252,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)휴비스,자동차용 신품 조향장치 및 현가 장치 제조업,lower arm,경상북도 김천시 어모면 남산리 1970번지,054-435-8803,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
한영공업(주),자동차용 신품 조향장치 및 현가 장치 제조업,자동차컨트롤케이블용/광케이블용 경강선,경상북도 김천시 감문면 감문로 1029-20,054-433-9302,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
㈜우진산전,자동차용 신품 전기장치 제조업 외 4 종,전기버스,경상북도 김천시 어모면 산업단지9로 56,054-421-9000,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)정도정밀,자동차용 신품 동력전달장치 제조업 외 8 종,"자동차부품, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판",경상북도 김천시 어모면 산업단지로 20,054-437-8101,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
주식회사 정도정밀,자동차용 신품 동력전달장치 제조업 외 8 종,"자동차부품, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판",경상북도 김천시 농공단지2길 35 (신음동) 외 3필지,054-437-8101,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)동진금속,자동차용 신품 동력전달장치 제조업 외 1 종,자동차부품,경상북도 김천시 농공단지2길 30 (신음동) (총 8 필지) 외 7필지,054-430-6644,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)한성이엔지,자동차용 금속 압형제품 제조업,금속압형 제품,경상북도 김천시 어모면 산업단지7로 126,054-434-1729,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
정우하이텍,자동차용 금속 압형제품 제조업,"자동차부품,전자부품",경상북도 김천시 감문면 감문로 1025,054-430-6151,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)동희산업 김천공장,자동차 차체용 신품 부품 제조업 외 4 종,자동차 부품,경상북도 김천시 어모면 산업단지1로 75,054-431-1900,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
주식회사 네오테크,자동차 차체용 신품 부품 제조업 외 2 종,"자동차부품, 자동차부품, 자동차부품",경상북도 김천시 어모면 산업단지9로 31,054-434-9847,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)코아,자동차 차체용 신품 부품 제조업 외 1 종,"차량용 SEAT FRAME, 차량용 SEAT FRAME",경상북도 김천시 남면 농남로 1094 외 3필지,054-911-1700,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
삼진모빌리티(주) 김천지점,자동차 차체용 신품 부품 제조업 외 1 종,"자동차용 부품(배터리 케이스 등), 자동차용 부품(배터리 케이스 등)","경상북도 김천시 독정길 17(응명동, 삼진정밀)",054-434-1545,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)에이엔피크리비즈,자동차 차체용 신품 부품 제조업,자동차부품(cluster 외),경상북도 김천시 어모면 산업단지7로 169,054-910-8023,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
금창하이테크(주),자동차 차체용 신품 부품 제조업,자동차 내외부 패널 사출물 주조물,경상북도 김천시 아포읍 아포공단길 59,070-4350-6980,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
무신플라텍,자동차 차체용 신품 부품 제조업,자동차부품 외,경상북도 김천시 개령면 경상북도 김천시 개령면 황계길 270 외 1필지,054-437-2211,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
에스케이지 주식회사,자동차 차체용 신품 부품 제조업,머플러,경상북도 김천시 어모면 산업단지4로 137,054-439-7400,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
태양테크닉,자동차 차체용 신품 부품 제조업,"전기버스 스레임, 전기자동차 배터리 케이스",경상북도 김천시 어모면 산업단지로 245,,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
하나특장,자동차 차체용 신품 부품 제조업,"윙바디, 적재함, 탑 등",경상북도 김천시 농공단지2길 12 (신음동),054-437-6803,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)나우산업 김천공장,자동차 엔진용 신품 부품 제조업 외 2 종,자동차용 실린더 헤드,경상북도 김천시 감문면 감문로 1029-8,054-435-9001,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)계양정밀,자동차 엔진용 신품 부품 제조업 외 1 종,"TURBOCHARGER, TURBOCHARGER",경상북도 김천시 공단4길 32 (응명동) 외 1필지,054-433-5578,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)엘앤에프,자동차 엔진용 신품 부품 제조업 외 1 종,"양극활물질 제조, 자동차 엔진용 신품 부품 제조업",경상북도 김천시 어모면 산업단지1로 83,053-580-0741,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
동성금속(주) 김천공장,자동차 엔진용 신품 부품 제조업 외 1 종,자동차용 엔진베어링,경상북도 김천시 공단4길 57 (응명동),054-430-8400,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
삼금산업(주),자동차 엔진용 신품 부품 제조업 외 1 종,자동차부품,경상북도 김천시 공단4길 69 (응명동),054-432-8480,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)국민진공,자동차 엔진용 신품 부품 제조업,자동차 부품 및 금형 PVD 코팅,경상북도 김천시 어모면 산업단지로 245,054-810-7790,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
(주)모베이스오토,운송장비용 조명장치 제조업,"자동차 헤드램프 하우징, 베젤",경상북도 김천시 어모면 산업단지1로 45,054-436-7644,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
금오실업,도장 및 기타 피막처리업,자동차 부품 도장,경상북도 김천시 아포읍 아포공단길 24,054-434-6227,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
현정(주),기타 주변기기 제조업,자동차 내장 사출 보호필름,경상북도 김천시 아포읍 아포공단길 162,054-431-2771,경상북도 김천시_제조업체 등록현황_20251230.csv,,,,
