연번,업체명,도로명주소,지번주소,산업분류코드,업종명,전화번호,팩스번호,종업원수
507,무한,경상북도 성주군 월항면 주산로 456-29 외 4필지,경상북도 성주군 월항면 유월리 1031 외 4필지,"30320, 25933",자동차 차체용 신품 부품 제조업 외 1 종,,,4
508,문경석재,경상북도 성주군 월항면 월항지방공단길 13 ((주)한시공),경상북도 성주군 월항면 유월리 931-4번지,"23911, ",건설용 석제품 제조업,054-931-8032,054-931-8031,2
509,문화메주,경상북도 성주군 대가면 참별로 2140 (문화메주),경상북도 성주군 대가면 옥련리 690-1번지,"10833, ",장류 제조업,,054-933-4093,4
510,미광텍스,경상북도 성주군 선남면 선노로 37 외 1필지,경상북도 성주군 선남면 소학리 1128-2 외 1필지,"13104, ",연사 및 가공사 제조업,054-931-1418,054-931-1419,3
511,미다(주),경상북도 성주군 용암면 운용로 943-14 외 4필지,경상북도 성주군 용암면 용정리 135-2번지 외 4필지,"10220, ",수산식물 가공 및 저장 처리업,,054-931-5581,12
512,미래철강,"경상북도 성주군 선남면 명포1길 16, 742",경상북도 성주군 선남면 명포리 737번지,"25113, ",육상 금속 골조 구조재 제조업,054-933-1572,054,8
513,미진스톤,경상북도 성주군 월항면 월항지방공단길 23 (선암석재),경상북도 성주군 월항면 유월리 931-6번지,"26911, ",석재성형가공품제조업,054-933-5758,054-933-7321,5
514,민영팩,경상북도 성주군 선남면 선노로 79-32,경상북도 성주군 선남면 도성리 73-14번지,"22259, ",기타 플라스틱 발포 성형제품 제조업,,054-931-2291,2
515,민완정경,경상북도 성주군 선남면 도성3길 52,경상북도 성주군 선남면 도성리 591,"13104, ",연사 및 가공사 제조업,,054-932-7629,2
516,방주건설,경상북도 성주군 용암면 본리리 396-2번지,경상북도 성주군 용암면 본리리 396-2번지,"25113, ",육상 금속 골조 구조재 제조업,,054-932-7263,6
517,백승플라스틱,경상북도 성주군 선남면 선원리 326번지,경상북도 성주군 선남면 선원리 326번지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,,054-933-0879,3
518,백운도요,경상북도 성주군 가천면 법전리 89번지,경상북도 성주군 가천면 법전리 89번지,"23221, ",가정용 및 장식용 도자기 제조업,054-931-5225,054-931-2081,4
519,벽산산업사,경상북도 성주군 선남면 나선로 953 (벽화산업),경상북도 성주군 선남면 선원리 642-6번지,"25932, ",일반철물 제조업,054-931-7200,054-931-8506,1
520,벽산테크(주) 성주공장,경상북도 성주군 선남면 문방길 59,경상북도 성주군 선남면 오도리 511번지,"25113, ",육상 금속 골조 구조재 제조업,054-931-5482,054-932-5482,19
521,벽암산업(주)성주공장,경상북도 성주군 성주읍 성주로 2995-2,경상북도 성주군 성주읍 용산리 386-2,"16232, ","목재 포장용 상자, 드럼 및 유사용기 제조업",054-508-7031,054-508-7031,16
522,벽진농업협동조합공동퇴비제조공장,경상북도 성주군 벽진면 성주로 2344-4 (벽진농협공동퇴비제조장),경상북도 성주군 벽진면 매수리 452번지,"20313, ",유기질 비료 및 상토 제조업,054-932-7191,054-931-7154,4
523,벽진통합도정공장,경상북도 성주군 벽진면 벽봉로 34 (벽진어린이집),경상북도 성주군 벽진면 수촌리 802-1번지,"10511, ",곡물 도정업,054-931-0564,,2
524,보광BKP,경상북도 성주군 선남면 선원리 326번지,경상북도 성주군 선남면 선원리 326번지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,,054-931-6619,3
525,보국모타,경상북도 성주군 선남면 명관로 446-21,경상북도 성주군 선남면 동암리 362-8번지,"29210, ",농업 및 임업용 기계 제조업,,054-931-6142,4
526,보국모터,경상북도 성주군 선남면 나선로 938 (보국모터),경상북도 성주군 선남면 선원리 626-2번지 보국모터,"28111, ",전동기 및 발전기 제조업,054-931-6140,054-931-6142,3
527,보성목재,경상북도 성주군 성주읍 삼산1길 158-35,경상북도 성주군 성주읍 삼산리 569,"16231, ",목재 깔판류 및 기타 적재판 제조업,054-933-9727,054-933-8727,3
528,보성종합목재,경상북도 성주군 월항면 보암리 718,경상북도 성주군 월항면 보암리 718,"16231, 16232",목재 깔판류 및 기타 적재판 제조업 외 1 종,,054-933-8727,9
529,보승텍스피아,경상북도 성주군 선남면 문방공단길 136-7 (선남면),경상북도 성주군 선남면 문방리 1400-8번지,"13104, ",연사 및 가공사 제조업,,054-932-7208,16
530,복만네식품,경상북도 성주군 선남면 선남농공단지길 22,경상북도 성주군 선남면 도성리 732-8번지,"10820, 10513, 10519, 10701, 10709, 10832, 10893","면류, 마카로니 및 유사식품 제조업 외 6 종",053-628-7476,053-628-1145,27
531,부강플랜트,경상북도 성주군 선남면 신부길 93,경상북도 성주군 선남면 신부리 98-4,"25113, 25121, 25122, 27213, 27219, 29150, 29163, 29172, 29173, 29174, 29175, 29177, 29199, 29299",육상 금속 골조 구조재 제조업 외 13 종,054-931-1666,054-931-1668,14
532,부경산업,경상북도 성주군 선남면 성주로 4150,경상북도 성주군 선남면 도성리 619-32번지,"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업",,054-931-7284,2
533,부광엔지니어링,,경상북도 성주군 선남면 소학리 1089 외 2필지,"25121, 25122",산업용 난방보일러 및 방열기 제조업 외 1 종,,053-593-6593,5
534,부림산업,경상북도 성주군 선남면 관화5길 54-98 (부림산업) (총 2 필지) 외 1필지,경상북도 성주군 선남면 관화리 516번지 외 1필지,"25923, ",도장 및 기타 피막처리업,,054-931-2179,12
535,부림산업,"경상북도 성주군 선남면 본성로 490-63, (명포리 551-1) 외 1필지",경상북도 성주군 선남면 명포리 551-1번지 (명포리 551-1) 외 1필지,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업,,070-4191-9104,6
536,부림테크,경상북도 성주군 선남면 명관로 337-51,경상북도 성주군 선남면 취곡리 산 6-5번지,"30320, ",자동차 차체용 신품 부품 제조업,,,4
537,부성ENG,경상북도 성주군 용암면 덕평로1길 15 외 1필지,경상북도 성주군 용암면 덕평리 397-16 외 1필지,"25113, ",육상 금속 골조 구조재 제조업,,053-584-0817,3
538,부일농산(유동식품),경상북도 성주군 성주읍 성산리 산 34-1번지,경상북도 성주군 성주읍 성산리 산 34-1번지,"10831, 10302","식초, 발효 및 화학 조미료 제조업 외 1 종",054-933-5102,054,12
539,비그린,경상북도 성주군 용암면 운용로 905-11,경상북도 성주군 용암면 용정리 375-0,"17902, ",위생용 종이제품 제조업,054-954-2366,054-954-2367,4
540,비제이섬유,경상북도 성주군 선남면 용신공단길 11,경상북도 성주군 선남면 용신리 904-4번지,"13104, ",연사 및 가공사 제조업,,054-931-6997,4
541,사보우드산업,경상북도 성주군 선남면 나선로 987-30 ((주)동아라이팅),경상북도 성주군 선남면 선원리 649-1번지 (주)동아라이팅,"16229, 16211, 16299",기타 건축용 나무제품 제조업 외 2 종,054-932-5755,054-933-5756,5
542,사회복지법인 미래재단 성주공장,"경상북도 성주군 용암면 덕평로 98, 덕평리 398-4번지",경상북도 성주군 용암면 덕평리 398-4번지,"22211, 22299","플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",,031-885-2824,2
543,삼보공영,경상북도 성주군 월항면 주산로 476-8,경상북도 성주군 월항면 유월리 981-4번지,"25113, ",육상 금속 골조 구조재 제조업,054-932-4286,054-932-4287,5
544,삼부개발,경상북도 성주군 월항면 지산로 124,경상북도 성주군 월항면 지방리 238,"25112, 25113",구조용 금속 판제품 및 공작물 제조업 외 1 종,,054-931-8095,4
545,삼성FENG,경상북도 성주군 선남면 명관로 429-14,경상북도 성주군 선남면 동암리 419-10번지,"29250, ",음ㆍ식료품 및 담배 가공기계 제조업,,054-931-9558,5
546,삼성디자인 제2공장,경상북도 성주군 월항면 주산로 488-53,경상북도 성주군 월항면 유월리 935-7,"33302, 13224, 16101, 25112, 32029",놀이터용 장비 제조업 외 4 종,055-383-2128,0504-246-9520,7
547,삼성산업에스아이(주),경상북도 성주군 월항면 주산로 398-74,경상북도 성주군 월항면 안포리 102-1번지,"17212, ",골판지 상자 및 가공제품 제조업,,054-931-3084,0
548,삼아바이오,경상북도 성주군 선남면 취곡리 186번지,경상북도 성주군 선남면 취곡리 186번지,"20322, ",생물 살균.살충제 및 식물보호제 제조업,,,5
549,삼우종합기계(주),경상북도 성주군 월항면 주산로 488-18,경상북도 성주군 월항면 유월리 937-5,"25113, ",육상 금속 골조 구조재 제조업,054-933-2950,054-932-2951,4
550,삼우포장,경상북도 성주군 월항면 월항농공단지1길 12,경상북도 성주군 월항면 장산리 1545번지,"17211, ",골판지 제조업,,,1
551,삼원테크,"경상북도 성주군 선남면 명관로 429-26, (동암리 419-3)",경상북도 성주군 선남면 동암리 419-3번지 (동암리 419-3),"22299, ",그 외 기타 플라스틱 제품 제조업,,054-931-4783,3
552,삼정목재,경상북도 성주군 용암면 상성로 486,경상북도 성주군 용암면 대봉리 40번지,"16212, ",강화 및 재생 목재 제조업,054-933-6435,054-933-9000,4
553,삼진식품,경상북도 성주군 용암면 용정공단길 31 (삼진식품),경상북도 성주군 용암면 용정리 388-1번지,"10520, ",전분제품 및 당류 제조업,054-933-4560,054-933-4590,8
554,삼천리산업,"경상북도 성주군 용암면 사곡리 991번지 992,993-1,993-2","경상북도 성주군 용암면 사곡리 991번지 992,993-1,993-2","38321, 38322",비금속류 해체 및 선별업 외 1 종,054-931-0645,054-931-5477,3
555,삼화석재,경상북도 성주군 월항면 월항지방공단길 27 (월항면),경상북도 성주군 월항면 유월리 932번지,"68112, ",비주거용 건물 임대업,054-933-1721,054-933-1722,0
556,상신산업(주)북지점,"경상북도 성주군 선남면 나선로 1002-13, 선원리 71-1외 2필지",경상북도 성주군 선남면 선원리 71-1번지 선원리 71-1외 2필지,"23322, ",레미콘 제조업,,054-931-6816,5
557,상신텍스,경상북도 성주군 선남면 용신공단길 10-27,경상북도 성주군 선남면 용신리 806-12 신화섬유공업,"13104, ",연사 및 가공사 제조업,054-932-9656,054-932-2656,6
558,상원텍스타일,경상북도 성주군 용암면 덕평로 104 (용암면) 외 4필지,경상북도 성주군 용암면 덕평리 398번지 외 4필지,"13104, ",연사 및 가공사 제조업,054-931-5551,054-931-5553,10
559,새각시방,경상북도 성주군 성주읍 성주농공단지길 48,경상북도 성주군 성주읍 성산리 1447-11번지,"13221, ",침구 및 관련제품 제조업,054-933-7758,054-933-7748,4
560,서광물산,경상북도 성주군 월항면 월항농공단지1길 66 (서광물산),경상북도 성주군 월항면 장산리 1533번지,"13104, ",연사 및 가공사 제조업,054-931-6114,054-931-6116,15
561,서원TECH,경상북도 성주군 선남면 선노로 204,경상북도 성주군 선남면 소학리 629-1번지,"29176, 25112, 25113, 25119, 29163, 29169, 29174, 29175",액체 여과기 제조업 외 7 종,,054-932-8240,2
562,서정테크,경상북도 성주군 선남면 선노로 34,경상북도 성주군 선남면 소학리 1123번지,"30320, ",자동차 차체용 신품 부품 제조업,054-933-8513,054-931-8513,16
563,서진튜브,경상북도 성주군 선남면 성주로 3757-21,경상북도 성주군 선남면 관화리 1062-0,"25929, ",그 외 기타 금속가공업,070-4725-7873,070-4725-7875,23
564,석패브릭,경상북도 성주군 선남면 명관로 429-27,경상북도 성주군 선남면 동암리 419-26번지,"13300, ",편조원단 제조업,,054-932-1911,1
565,선우산업,경상북도 성주군 선남면 선노로 55-46,경상북도 성주군 선남면 도성리 863-5,"25111, 29133, 29169","금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",054-931-7680,054-931-7681,3
566,성도건업,경상북도 성주군 선남면 명포리 745-2 외 2필지,경상북도 성주군 선남면 명포리 745-2 외 2필지,"25113, ",육상 금속 골조 구조재 제조업,,054-931-6326,1
567,성림금속 ,경상북도 성주군 선남면 관화5길 54-93,경상북도 성주군 선남면 관화리 510-5번지,"16102, ",표면 가공 목재 및 특정 목적용 제재목 제조업,,054-933-8302,2
568,성보공영,경상북도 성주군 선남면 신부리 518-2번지,경상북도 성주군 선남면 신부리 518-2번지,"25113, ",육상 금속 골조 구조재 제조업,,053-635-4871,3
569,성안기업(주),경상북도 성주군 용암면 사곡공단1길 23 (대웅산업(주)) 외 3필지,경상북도 성주군 용암면 사곡리 990-1번지 외 3필지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,,054-931-6408,8
570,성우공업,경상북도 성주군 선남면 도흥리 461번지 389-8,경상북도 성주군 선남면 도흥리 461번지 389-8,"22299, ",그 외 기타 플라스틱 제품 제조업,,054,6
571,성우석재산업,경상북도 성주군 월항면 월항지방공단길 14 성우석재,경상북도 성주군 월항면 유월리 933-2 성우석재,"23911, ",건설용 석제품 제조업,054-931-9116,054-932-9455,4
572,성원ENG,경상북도 성주군 선남면 선노로 26-12,선남면 소학리 1122-5,"25122, ",금속탱크 및 저장용기 제조업,,054-932-7808,0
573,성원산업,경상북도 성주군 벽진면 문덕로 114,경상북도 성주군 벽진면 가암리 169번지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,054-931-8607,054-931-8606,2
574,성원산업사,경상북도 성주군 선남면 성원리 11번지 외 5필지 외 5필지,경상북도 성주군 선남면 성원리 11번지 외 5필지,"29242, ",광물처리 및 취급장비 제조업,,054-931-8606,6
575,성일분체,경상북도 성주군 선남면 도성3길 39-35,경상북도 성주군 선남면 도성리 602-11번지,"25923, ",도장 및 기타 피막처리업,054-932-6865,054-932-6864,10
576,성일산업,"경상북도 성주군 선남면 관용로 376-8, (오도리 212)",경상북도 성주군 선남면 오도리 212번지 (오도리 212),"13922, ",어망 및 기타 끈 가공품 제조업,,054-933-5997,4
577,성일테크,"경상북도 성주군 선남면 도성3길 121, -도성리 513-1번지",경상북도 성주군 선남면 도성리 513-1번지 -도성리 513-1번지,"25924, ",절삭가공 및 유사처리업,,054-932-1175,9
578,성일플라텍,경상북도 성주군 선남면 명관로 337-62 (성원테크),경상북도 성주군 선남면 취곡리 228-5번지,"22232, ",포장용 플라스틱 성형용기 제조업,054-931-9910,054-931-9916,17
579,성제특수플라스틱,경상북도 성주군 선남면 나선로 888 (성제특수프라스틱),경상북도 성주군 선남면 선원리 448-4번지,"22259, ",기타 플라스틱 발포 성형제품 제조업,054-931-6302,054-931-6303,3
580,성주,경상북도 성주군 대가면 옥성4길 1 외 5필지,경상북도 성주군 대가면 옥성리 349번지 외 5필지,"20312, ",복합비료 및 기타 화학비료 제조업,054-930-6661,054-930-6269,4
581,성주군 산림조합,경상북도 성주군 선남면 용신공단길 2 외 3필지,경상북도 성주군 선남면 용신리 898-5 외 3필지,"16102, ",표면 가공 목재 및 특정 목적용 제재목 제조업,054-933-4005,054-933-1020,3
582,성주디자인(주),경상북도 성주군 성주읍 성주농공단지길 72,경상북도 성주군 성주읍 성산리 1447-25번지,"33910, ",간판 및 광고물 제조업,054-933-5571,054-933-5561,3
583,성주정미소,경상북도 성주군 성주읍 대황4길 21,경상북도 성주군 성주읍 성산리 1984-4번지,"29250, ",음ㆍ식료품 및 담배 가공기계 제조업,054-933-1002,,3
584,성주참외농원,경상북도 성주군 성주읍 참별로 2531-6,경상북도 성주군 성주읍 대흥리 794-2번지,"10520, ",전분제품 및 당류 제조업,,054-933-5533,2
585,성주참외원예농업협동조합,경상북도 성주군 성주읍 경산길 18,경상북도 성주군 성주읍 경산리 626-4번지,"22212, ",플라스틱 필름 제조업,054-933-4700,054-933-4703,8
586,성화도색,경상북도 성주군 월항면 주산로 476-4,경상북도 성주군 월항면 유월리 1114-2번지,"25923, ",도장 및 기타 피막처리업,,054-932-0235,8
587,세광산업(주),경상북도 성주군 선남면 소학리 1129-2번지 외 2필지,경상북도 성주군 선남면 소학리 1129-2번지 외 2필지,"25923, ",도장 및 기타 피막처리업,,054-931-5443,12
588,세광연마,경상북도 성주군 선남면 유서리길 87-12 (태창공업(주)),경상북도 성주군 선남면 유서리 125-1번지,"30399, ",그 외 자동차용 신품 부품 제조업,,054-931-3554,0
589,세명섬유,경상북도 성주군 선남면 취곡리 266-22번지 외 1필지,경상북도 성주군 선남면 취곡리 266-22번지 외 1필지,"13104, ",연사 및 가공사 제조업,,054-933-7737,4
590,세봉산업,경상북도 성주군 용암면 용정공단길 9 (세봉산업),경상북도 성주군 용암면 용정리 388-9번지,"16221, ",목재문 및 관련제품 제조업,054-933-6612,054-933-6613,2
591,세우산업,경상북도 성주군 선남면 명관로 337-60,경상북도 성주군 선남면 취곡리 229번지,"20493, ",접착제 및 젤라틴 제조업,054-933-9225,054-933-9224,1
592,세원후렉소(주),경상북도 성주군 월항면 월항농공단지1길 49 (세원후렉소),경상북도 성주군 월항면 장산리 1524번지,"18119, 18113",기타 인쇄업 외 1 종,054-931-0773,054-931-0774,13
593,세일개발(주),경상북도 성주군 용암면 용정공단길 20,경상북도 성주군 용암면 용정리 354-2번지,"23322, ",레미콘 제조업,054-933-8953,054-933-8958,4
594,세일건업(주),경상북도 성주군 용암면 용정공단길 20,경상북도 성주군 용암면 용정리 366번지,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,054-933-8955,054-933-8958,0
595,세종PT산업,경상북도 성주군 선남면 명관로 446-18,경상북도 성주군 선남면 동암리 360-1번지,"13992, ",부직포 및 펠트 제조업,,054-933-7769,4
596,세종기업,경상북도 성주군 선남면 명포1길 24-4 외 2필지,경상북도 성주군 선남면 명포리 740번지 외 2필지,"25113, ",육상 금속 골조 구조재 제조업,054-932-0193,054-932-0194,2
597,세종섬유,경상북도 성주군 선남면 용신공단길 10-26 (세종섬유),경상북도 성주군 선남면 용신리 806-17번지,"13104, ",연사 및 가공사 제조업,054-933-6030,054-933-6031,7
598,세진이엔아이주식회사,"경상북도 성주군 선남면 유서리길 145-8, (유서리 97-5,97-4)","경상북도 성주군 선남면 유서리 97-5번지 (유서리 97-5,97-4)","29210, 25121, 25122, 29150, 29163, 29177",농업 및 임업용 기계 제조업 외 5 종,,054-931-4542,5
599,세향섬유,경상북도 성주군 용암면 용정리 379-1번지 외 5필지,경상북도 성주군 용암면 용정리 379-1번지 외 5필지,"13104, ",연사 및 가공사 제조업,,054-931-2098,10
600,세현산업 주식회사,경상북도 성주군 성주읍 성주로 3425 외 1필지,경상북도 성주군 성주읍 성산리 219-18번지 외 1필지,"13224, ","천막, 텐트 및 유사 제품 제조업",053-561-0925,053-561-0926,18
601,세화하이텍,경상북도 성주군 선남면 명관로 429-16,경상북도 성주군 선남면 동암리 419-7번지,"24123, ",철강선 제조업,,054-933-1932,2
602,송죽글러브(주),경상북도 성주군 선남면 용신공단길 10-20,경상북도 성주군 선남면 용신리 806-7번지,"14419, ",기타 편조의복 액세서리 제조업,,054-932-8873,15
603,송죽글러브(주)2공장,경상북도 성주군 선남면 용신공단길 21,경상북도 성주군 선남면 용신리 904-6번지,"14419, ",기타 편조의복 액세서리 제조업,054-932-8872,054-932-8873,6
604,송죽글러브(주)제3공장,경상북도 성주군 선남면 용신공단길 10-16,경상북도 성주군 선남면 용신리 806-6번지,"14419, ",기타 편조의복 액세서리 제조업,,054-932-8873,16
605,수륜농업협동조합,경상북도 성주군 수륜면 적송리 12번지 외 1필지,경상북도 성주군 수륜면 적송리 12번지 외 1필지,"10511, 20313",곡물 도정업 외 1 종,054-932-3191,054-933-4726,4
606,수미담,경상북도 성주군 성주읍 성산2길 95-33,경상북도 성주군 성주읍 성산리 1222-1번지,"10520, ",전분제품 및 당류 제조업,054-931-6464,054-933-2202,4
607,스마트테크,경상북도 성주군 선남면 명관로 337-53,경상북도 성주군 선남면 취곡리 산6-2,"22241, ",운송장비 조립용 플라스틱제품 제조업,054-933-4747,054-933-4746,4
608,스피드분체도장,경상북도 성주군 선남면 도성2길 99,경상북도 성주군 선남면 도성리 78-3번지,"25923, ",도장 및 기타 피막처리업,,054-931-8122,3
609,승동기업,,경상북도 성주군 선남면 취곡리 261 외 9필지,"22213, ",플라스틱 시트 및 판 제조업,054-932-5141,054-932-5142,8
610,승지테크원,경상북도 성주군 선남면 명포1길 32-25 외 3필지,경상북도 성주군 선남면 명포리 829-19 외 3필지,"22251, ",폴리스티렌 발포 성형제품 제조업,,054-933-8447,12
611,승진테크,경상북도 성주군 선남면 명관로 337-49,경상북도 성주군 선남면 취곡리 산 6-3번지,"30399, ",그 외 자동차용 신품 부품 제조업,,054-933-9958,4
612,시민목재,경상북도 성주군 선남면 성주로 3566,경상북도 성주군 선남면 성원리 317-5번지,"16101, 16102, 16299",일반 제재업 외 2 종,054-933-4788,054-933-1040,10
613,시오이엔지,경상북도 성주군 선남면 명포1길 24-11,경상북도 성주군 선남면 명포리 732,"25113, ",육상 금속 골조 구조재 제조업,,054-933-4284,2
614,시온산업,경상북도 성주군 초전면 용소길 14-13 (초전면),경상북도 성주군 초전면 용봉리 1086-6번지,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업,,054-933-8787,1
615,시온전기,경상북도 성주군 초전면 주천로 1194,경상북도 성주군 초전면 용봉리 233-2번지,"28122, 28422, 28429",전기회로 접속장치 제조업 외 2 종,,054-931-2228,4
616,신대양산업,경상북도 성주군 선남면 나선로 854,경상북도 성주군 선남면 선원리 366 번지,"13103, ",화학섬유 방적업,,054-931-9152,4
617,신동양화학,경상북도 성주군 선남면 선노로 571,경상북도 성주군 선남면 용신리 759-3번지,"23312, ",석회 및 플라스터 제조업,054-933-5182,,11
618,신동양화학,"경상북도 성주군 용암면 사곡공단2길 38,  외 1필",경상북도 성주군 용암면 사곡리 848-13번지,"23312, ",석회 및 플라스터 제조업,,054-933-5184,2
619,신성산업사,경상북도 성주군 선남면 용신리 73-1번지,경상북도 성주군 선남면 용신리 73-1번지,"25119, ",기타 구조용 금속제품 제조업,,054-933-7067,8
620,신성씨앤에스(주),경상북도 성주군 대가면 참별로 2274,경상북도 성주군 대가면 옥성리 721-5번지,"24132, ",강관 제조업,054-971-1383,054-933-1383,9
621,신성포장(주),경상북도 성주군 선남면 선노로 545-50 외 2필지,경상북도 성주군 선남면 용신리 643-17번지 외 2필지,"17212, ",골판지 상자 및 가공제품 제조업,054-931-4191,054-932-4192,8
622,신승화섬공업(주),경상북도 성주군 선남면 용신공단길 23 (송학섬유),경상북도 성주군 선남면 용신리 900-4번지,"13104, ",연사 및 가공사 제조업,054-931-4747,054-931-4748,3
623,신양파트너스(주)경상지점,경상북도 성주군 선남면 신부길 81-26,경상북도 성주군 선남면 신부리 90-1,"29199, ",그 외 기타 일반목적용 기계 제조업,070-8822-1854,032-232-7362,6
624,신영테크,경상북도 성주군 선남면 선노로 90-18,경상북도 성주군 선남면 소학리 1001-5,"22241, ",운송장비 조립용 플라스틱제품 제조업,,,23
625,신우파이프,경상북도 성주군 월항면 월항농공단지1길 62 (월항면),경상북도 성주군 월항면 장산리 1534번지,"22211, ","플라스틱 선, 봉, 관 및 호스 제조업",054-931-4493,054-932-4496,5
626,신우프라스틱,경상북도 성주군 선남면 신부길 152-8,경상북도 성주군 선남면 신부리 461-1번지,"22232, ",포장용 플라스틱 성형용기 제조업,,054-933-7962,1
627,신원섬유,경상북도 성주군 선남면 문방공단길 164 (신원섬유),경상북도 성주군 선남면 문방리 1399-0번지,"13109, ",기타 방적업,054-933-2519,054-933-2577,20
628,신원텍스,경상북도 성주군 선남면 선노로 425 (신원텍스) 외 2필지,경상북도 성주군 선남면 용신리 62-2번지 외 2필지,"13104, ",연사 및 가공사 제조업,,054-932-5397,6
629,신원플라텍,경상북도 성주군 초전면 초전공단길 42 외 3필지,경상북도 성주군 초전면 용봉리 311 외 3필지,"22299, 20203",그 외 기타 플라스틱 제품 제조업 외 1 종,054-931-2375,054-931-2376,10
630,신유성화학,경상북도 성주군 초전면 용봉리 304번지 외 1필지,경상북도 성주군 초전면 용봉리 304번지 외 1필지,"22299, ",그 외 기타 플라스틱 제품 제조업,,054-931-2438,4
631,신일산업,경상북도 성주군 선남면 나선로 944 (신일산업),경상북도 성주군 선남면 선원리 626-1번지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,,054-933-1126,5
632,신일종합농기계,경상북도 성주군 선남면 신부리 305-2번지 외 3필지,경상북도 성주군 선남면 신부리 305-2번지 외 3필지,"29210, ",농업 및 임업용 기계 제조업,,054-933-9591,3
633,신일테크,경상북도 성주군 선남면 선원2길 77 (주)호린,경상북도 성주군 선남면 선원리 306-8 (주)호린,"22221, ",벽 및 바닥 피복용 플라스틱제품 제조업,,053-581-1043,1
634,신진콘크리트,경상북도 성주군 성주읍 주천로 37 (신진벽돌공장),경상북도 성주군 성주읍 예산리 752번지 신진벽돌공장,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",054-933-3657,054-933-0088,8
635,신창섬유,경상북도 성주군 선남면 문방공단길 136-18,경상북도 성주군 선남면 문방리 1400-12,"13213, ",화학섬유직물 직조업,054-931-6131,054-931-6132,4
636,신창섬유,경상북도 성주군 선남면 용신공단길 10-25,경상북도 성주군 선남면 용신리 806-13번지,"13104, ",연사 및 가공사 제조업,054-933-2711,054-933-2712,3
637,신한스틸파이프(주),경상북도 성주군 성주읍 대황1길 44,경상북도 성주군 성주읍 대황리 819번지,"24132, 24133, 25122",강관 제조업 외 2 종,054-933-2004,054-933-2141,20
638,신호테크,경상북도 성주군 선남면 도성2길 209-5,경상북도 성주군 선남면 도성리 22-4,"29291, 22251, 29175","고무, 화학섬유 및 플라스틱 성형기 제조업 외 2 종",054-933-3072,054-933-3073,2
639,신흥산업,경상북도 성주군 성주읍 주천로 248-54 외 1필지,경상북도 성주군 성주읍 금산리 10-2번지 외 1필지,"25929, ",그 외 기타 금속가공업,,054-931-3447,11
640,심산도예,경상북도 성주군 가천면 법전1길 237,경상북도 성주군 가천면 법전리 1004-1,"23221, ",가정용 및 장식용 도자기 제조업,054-932-6309,,3
641,씨에스,경상북도 성주군 선남면 취곡리 265-1번지 외 1필지,경상북도 성주군 선남면 취곡리 265-1번지 외 1필지,"30399, ",그 외 자동차용 신품 부품 제조업,,054-933-4995,6
642,씨에스글로벌(주),"경상북도 성주군 월항면 주산로 488-35, (유월리 935-1)",경상북도 성주군 월항면 유월리 935-1번지 (유월리 935-1),"25113, ",육상 금속 골조 구조재 제조업,,054-933-3084,9
643,씨와이테크,경상북도 성주군 선남면 선노로 55-32,경상북도 성주군 선남면 도성리 850-2번지,"29229, ",기타 가공 공작기계 제조업,,054-931-7726,2
644,씨유컴퍼니,,경상북도 성주군 성주읍 대흥리 834-7 외 2필지,"25112, ",구조용 금속 판제품 및 공작물 제조업,,,2
645,씨제이텍스,경상북도 성주군 선남면 도성2길 61-15,경상북도 성주군 선남면 도성리 482-1번지,"13104, ",연사 및 가공사 제조업,,054-932-2371,4
646,아름첨단기술,경상북도 성주군 월항면 월항농공단지1길 42-29,경상북도 성주군 월항면 장산리 1540 현진라이팅,"29176, 29163, 29174, 29175",액체 여과기 제조업 외 3 종,,,3
647,아림강재,경상북도 성주군 대가면 용흥3길 21-66,경상북도 성주군 대가면 용흥리 896,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업",054-933-3303,054-933-3325,1
648,아세아엠씨티 주식회사,경상북도 성주군 선남면 문방1길 87 외 1필지,경상북도 성주군 선남면 문방리 901-1 번지 외 1필지,"29210, 30399",농업 및 임업용 기계 제조업 외 1 종,,054-932-7924,18
649,아시바의 달인,경상북도 성주군 월항면 유월리 1037번지,경상북도 성주군 월항면 유월리 1037,"25113, ",육상 금속 골조 구조재 제조업,,,6
650,아진양말,경상북도 성주군 선남면 성원리 76-4번지 외 2필지,경상북도 성주군 선남면 성원리 76-4번지 외 2필지,"14411, ",스타킹 및 기타 양말 제조업,,053-652-7028,4
651,아진텍스,경상북도 성주군 월항면 보암공단길 25,경상북도 성주군 월항면 보암리 739 구일산업,"13104, ",연사 및 가공사 제조업,054-933-6732,054-933-6731,4
652,안트,경상북도 성주군 선남면 용신공단길 22 (ANT),경상북도 성주군 선남면 용신리 901-3번지,"13229, 33999",기타 직물제품 제조업 외 1 종,,054-931-8011,2
