순번,회사명,사업자등록번호,공장대표주소(도로명),위도,경도,업종명,생산품,전화번호,팩스번호,산업단지명,데이터기준일
97,(주)에스케이아이,3928701404,경상북도 김천시 아포읍 아포공단길 5,36.1667535,128.2568671,유기질 비료 및 상토 제조업,"유기질 비료, 상토 비료",054-436-4800,054-436-4801,김천아포농공단지,2025-12-30
175,(주)한독,5108101859,경상북도 김천시 공단로 103-19 (대광동),36.1426172,128.1369228,위생용 종이제품 제조업 외 3 종,"정류기, 화장지, 부직포",054-433-3232,054-439-1187,김천대광농공단지,2025-12-30
402,유한킴벌리(주),5108500464,"경상북도 김천시 공단1길 34 (대광동, 유한킴벌리(주))",36.14154327,128.1456549,위생용 종이제품 제조업 외 2 종,"화장지, 부직포, 키친타올, 화장지, 부직포, 키친타올, 화장지, 부직포, 키친타올",054-912-5500,054-431-9511,,2025-12-30
461,주식회사 순수코리아,5158153629,경상북도 김천시 어모면 산업단지4로 140,36.16758711,128.1333542,위생용 종이제품 제조업 외 1 종,"물티슈, 물티슈",054-372-5118,053-289-5110,김천제1일반산업단지,2025-12-30
129,(주)유진제지,3398100907,경상북도 김천시 공단로 212 (응명동),36.14659982,128.1298956,위생용 종이제품 제조업,"미용티슈, 화장지",054-432-5350,054-432-5351,,2025-12-30
174,(주)한독,5108101859,경상북도 김천시 공단2길 30-25 (대광동),36.14430397,128.1357479,위생용 종이제품 제조업,"화장지, 와이퍼, 위생행주",070-4201-0494,054-439-1187,김천대광농공단지,2025-12-30
598,현대모비스(주) 김천공장,1018116406,경상북도 김천시 공단로 258-45 (응명동),36.14923769,128.1242213,운송장비용 조명장치 제조업 외 2 종,"헤드램프, 에어백 모듈, 램프 금형",054-420-4306,054-420-4304,,2025-12-30
50,(주)모베이스오토,5798801255,경상북도 김천시 어모면 산업단지1로 45,36.15706624,128.1190546,운송장비용 조명장치 제조업,"자동차 헤드램프 하우징, 베젤",054-436-7644,054-436-8644,김천제1일반산업단지,2025-12-30
189,KMS,5100269209,경상북도 김천시 어모면 다남로 239,36.17004424,128.1282673,운송장비 조립용 플라스틱제품 제조업 외 1 종,휴대폰 부품 외 사출,054-431-8850,054-431-8853,,2025-12-30
416,일신엔프라,5050666950,경상북도 김천시 농소면 영남대로 2189,36.11173666,128.1667261,운송장비 조립용 플라스틱제품 제조업 외 1 종,"Resin, 플라스틱제품",054-432-7990,054-433-4681,,2025-12-30
572,하나 3공장,5100545815,경상북도 김천시 공단1길 43 (대광동) 외 1필지,36.14079989,128.1417755,"용기 세척, 포장 및 충전기 제조업 외 2 종",포장기계,054-439-2241,054-439-2243,김천대광농공단지,2025-12-30
571,하나,5100274959,경상북도 김천시 모광연지길 19-4 (대광동),36.1492731,128.1483031,"용기 세척, 포장 및 충전기 제조업",마우스,054-439-2241,,,2025-12-30
573,하나(제2공장),5100274959,경상북도 김천시 공단1길 39 (대광동),36.14031366,128.1413857,"용기 세척, 포장 및 충전기 제조업",포장기계,054-439-2241,,김천대광농공단지,2025-12-30
433,주식회사 글로벌코리아,5468101595,"경상북도 김천시 혁신8로 5, 510호(율곡동, 율곡테크노밸리) 510호",36.12753253,128.1816803,오락 및 스포츠용 보트 건조업,"문보트, 엄마까투리보트, 이지보트 등",054-853-0715,054-843-0716,,2025-12-30
47,(주)리드텍스타일,5108112453,경상북도 김천시 감천면 금감로 1260-7,36.04170475,128.1311639,연사 및 가공사 제조업,D.T.Y,054-433-7783,,,2025-12-30
181,(주)한승,5108101771,경상북도 김천시 공단로 111 (대광동),36.14316634,128.1374794,연사 및 가공사 제조업,가연사,054-433-7223,054-433-7226,김천대광농공단지,2025-12-30
491,주식회사 유시티,3778100985,"경상북도 김천시 혁신8로 5, 율곡테크노밸리 508호 (율곡동)",36.12753253,128.1816803,에너지 저장장치 제조업 외 1 종,"에너지 저장장치, 태양광 가로등",054-434-9886,054-434-8386,,2025-12-30
590,한일하이텍,7476400552,경상북도 김천시 공단로 101 (대광동),36.14201222,128.1378774,액체 여과기 제조업 외 1 종,"용수처리 및 공급 장비, 탈취기 등",053-635-4288,,김천대광농공단지,2025-12-30
74,(주)세종테크,4188603158,"경상북도 김천시 공단1길 43, 1층 5호(대광동, 하나(3)공장)(대광동)",36.14079989,128.1417755,액체 여과기 제조업,"상하수도, 폐수처리 기계설비 및 악취덮개 등",054-434-7714,054-434-7709,김천대광농공단지,2025-12-30
431,주식회사 그린에네스텍,1298150907,경상북도 김천시 봉산면 인의1길 57-18,36.15320675,128.0632811,액체 여과기 제조업,액체여과기,054-437-6009,054-437-6003,,2025-12-30
524,주식회사 현대아이티,2158786862,경상북도 김천시 아포읍 아포공단길 106,36.16649528,128.2511641,액정 표시장치 제조업 외 7 종,"액정평판디스플레이, 디지털 사이니지, LED 전광판 모니터, 인터렉티브 화이트보드, 액정평판디스플레이, 디지털 사이니지, LED 전광판 모니터, 인터렉티브 화이트보드, 액정평판디스플레이, 디지털 사이니지, LED 전광판 모니터, 인터렉티브 화이트보드, 액정평판디스플레이, 디지털 사이니지, LED 전광판 모니터, 인터렉티브 화이트보드, 액정평판디스플레이, 디지털 사이니지, LED 전광판 모니터, 인터렉티브 화이트보드, 액정평판디스플레이, 디지털 사이니지,",070-7008-0148,054-431-2582,김천아포농공단지,2025-12-30
499,주식회사 조흥지에프,5148170912,경상북도 김천시 어모면 산업단지6로 140 외 1필지,36.16740533,128.1265289,액상시유 및 기타 낙농제품 제조업,"모짜렐라 치즈, 모조치즈, 가공치즈",054-439-8555,054-439-8554,김천제1일반산업단지,2025-12-30
159,(주)케이씨씨,5108508302,경상북도 김천시 어모면 산업단지로 39,36.16122845,128.1207949,암면 및 유사제품 제조업 외 3 종,글라스울,054-420-1700,054-420-1799,김천제1일반산업단지,2025-12-30
27,(주)대신브레이크,4118191938,경상북도 김천시 어모면 산업단지로 122,36.15974107,128.1295507,암면 및 유사제품 제조업 외 1 종,"브레이크 패드, 브레이크 패드",054-437-7102,054-437-7104,김천제1일반산업단지,2025-12-30
29,(주)대신폴리텍,5108110926,경상북도 김천시 어모면 산업단지로 122,36.15974107,128.1295507,암면 및 유사제품 제조업 외 1 종,스크린 MAT,054-436-8627,054-436-8629,김천제1일반산업단지,2025-12-30
403,윤솔테크,6201417961,경상북도 김천시 남면 농남로 997-24 외 3필지,36.07345254,128.2644999,암면 및 유사제품 제조업 외 1 종,"미네랄울 보온통, 미네랄울 보온통",054-435-3416,054-439-3416,,2025-12-30
404,윤솔테크,6201417961,경상북도 김천시 남면 영남대로 2903,36.09185374,128.2405865,암면 및 유사제품 제조업,"무기광물섬유(Minderal wool, Glass wool)",054-435-3416,054-439-3417,,2025-12-30
518,주식회사 한국도시광산,3378103529,경상북도 김천시 남면 주천로 1478,36.05299056,128.26957,"알루미늄 제련, 정련 및 합금 제조업",알루미늄,054-431-4996,054-431-4997,,2025-12-30
70,(주)세기아스콘,5108115445,경상북도 김천시 남면 송곡리 7-1 번지 외 4필지,36.08871274,128.2471729,아스팔트 콘크리트 및 혼합제품 제조업 외 2 종,"아스콘, 아스콘, 아스콘",054-437-1480,,,2025-12-30
342,세아아스콘(주),5048112365,경상북도 김천시 구성면 하강리 327번지 외 4필지 외 6필지,36.06918252,128.085349,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,"아스콘, 레미콘 제조",054-434-9506,054-435-5285,,2025-12-30
12,(주)그린파워텍,5108114427,경상북도 김천시 남면 사모실길 68,36.0754556,128.255236,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,054-435-6647,054-435-6643,,2025-12-30
437,주식회사 누보켐김천,3418600545,경상북도 김천시 봉산면 광천5길 18-23 외 2필지,36.2039757,128.0059512,아스팔트 콘크리트 및 혼합제품 제조업,아스팔트 콘크리트,054-431-8828,054-431-8829,,2025-12-30
560,태형실업(주),5108116478,경상북도 김천시 남면 농남로 1284-82,36.05840741,128.2888251,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,054-435-5550,054-435-5556,,2025-12-30
95,(주)에스제이피,1268158614,경상북도 김천시 시청로 234 (응명동) 외 1필지,36.14893658,128.1190311,식품 위생용 종이 상자 및 용기 제조업,종이용기,054-435-8127,054-435-8130,,2025-12-30
458,주식회사 세븐케이스,6338100740,경상북도 김천시 봉산면 봉산로 542,36.16154182,128.0165951,식품 위생용 종이 상자 및 용기 제조업,식품위생용 종이상자 및 용기 제조,053-384-8460,,,2025-12-30
328,삼환기업(주),5102162457,경상북도 김천시 남면 오봉로 737,36.13398544,128.2241718,시멘트 제조업,콘크리트,054-420-2340,054-420-2340,,2025-12-30
544,케이에스산업가스,6460401860,경상북도 김천시 감문면 감문로 911 외 5필지,36.20627105,128.168307,수소 제조업 외 1 종,산업용 가스 제조,054-430-1471,054-430-2332,,2025-12-30
438,주식회사 늘푸른수산,5108111323,경상북도 김천시 개령면 서부길 392-42,36.16104983,128.1769456,"수산동물 훈제, 조리 및 유사 조제식품 제조업","건어물(구이포, 구이채, 절단채)",054-437-1794,054-437-7631,,2025-12-30
242,농업회사법인(주)정인씨푸드,8328801229,경상북도 김천시 남면 아포대로 334-5,36.13372143,128.1836391,수산동물 냉동품 제조업,수산물 냉동품,054-437-9193,054-437-9814,,2025-12-30
178,(주)한솔오리온텍,1328151256,경상북도 김천시 아포읍 아포공단길 147 ((주)오리엔테크놀라지),36.16623739,128.2495071,선박 구성 부분품 제조업 외 8 종,"선박구성품, 모니터, 컴퓨터 등, 선박구성품, 모니터, 컴퓨터 등, 선박구성품, 모니터, 컴퓨터 등, 선박구성품, 모니터, 컴퓨터 등, 선박구성품, 모니터, 컴퓨터 등, 선박구성품, 모니터, 컴퓨터 등, 선박구성품, 모니터, 컴퓨터 등, 선박구성품, 모니터, 컴퓨터 등, 선박구성품, 모니터, 컴퓨터 등",054-430-8902,054-430-8904,김천아포농공단지,2025-12-30
487,주식회사 운남의뜰,2778802509,경상북도 김천시 어모면 중왕리 481-4 외 6필지,36.17832407,128.1226335,선박 구성 부분품 제조업,"선박 구성 부분품 및 산업용 기계, 구조물",054-433-0544,054-433-0845,,2025-12-30
415,일성기계공업(주) 김천공장,5138102895,경상북도 김천시 어모면 남산리 48,36.17278702,128.1338411,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업 외 1 종","염색시, 텐타기, 섬유용가공기계 ",054-461-6600,054-460-6713,김천제1일반산업단지,2025-12-30
125,(주)우성기업,5108507512,경상북도 김천시 봉산면 봉산로 642 외 8필지,36.15451955,128.0232284,산업용 냉장 및 냉동 장비 제조업,산업용 냉장및냉동장비,054-435-5621,,,2025-12-30
442,주식회사 다솔,4988701395,경상북도 김천시 어모면 남산리 1992번지,36.16866582,128.135857,산업용 난방보일러 및 방열기 제조업,"집진기, 수성버너, VIP시스템",,054-476-2073,김천제1일반산업단지,2025-12-30
237,농업회사법인 주식회사 투마루,2498101563,"경상북도 김천시 혁신5로 42, 301호 (율곡동)",36.12057363,128.1762763,빵류 제조업,제과제빵 제품,054-433-5005,054-433-5006,,2025-12-30
467,주식회사 알앤알코리아 농업회사법인,6578601100,경상북도 김천시 어모면 산업단지6로 92,36.16617585,128.1299616,빵류 제조업,커피콩빵/플레인콩빵/바나나콩빵,054-432-8808,054-432-8809,김천제1일반산업단지,2025-12-30
81,(주)씨앤와이텍,7498100797,경상북도 김천시 율곡동 1111번지 317호,36.12753253,128.1816803,비디오 및 기타 영상기기 제조업,블랙박스,070-7786-2300,050-4432-2300,,2025-12-30
412,이피네트시스템즈(주),1058610049,경상북도 김천시 농소면 벽봉로 1730 외 5필지,36.07925148,128.1805912,비디오 및 기타 영상기기 제조업,산업용 모니터,054-420-4700,054-420-4799,,2025-12-30
212,그린폴,5130590769,경상북도 김천시 아포읍 아포1로 142 (그린풀),36.17883936,128.2352729,비동력식 수공구 제조업,농작물 지지대,054-430-7088,054-430-7085,,2025-12-30
13,(주)금강,5108112337,경상북도 김천시 아포읍 인2길 69 ((주)금강),36.16880033,128.2435684,비금속류 해체 및 선별업 외 1 종,"PP(폴리프로필렌), HIPS(폴리스틸렌)",054-431-4311,054-431-2052,,2025-12-30
266,대양코리아,1293206382,경상북도 김천시 농소면 입석리 247번지 외 1필지 외 1필지,36.09268027,128.2033319,비금속류 해체 및 선별업 외 1 종,다목적고체연료,054-437-7636,,,2025-12-30
594,해동무역(주),5158126438,경상북도 김천시 공단2길 30-33 (대광동),36.14542128,128.1360054,비금속류 해체 및 선별업 외 1 종,"TV모니터케이스, 재생 플라스틱flake",054-437-8002,054-437-8003,김천대광농공단지,2025-12-30
457,주식회사 세미코,5048187056,경상북도 김천시 남면 주천로 1517,36.05654458,128.2682946,비금속류 원료 재생업 외 1 종,"플라스틱 압출기, 플라스틱 압출기",054-434-4272,054-434-3295,,2025-12-30
14,(주)금강로직스,1478800194,경상북도 김천시 남면 부상길 347-56 외 1필지,36.06132228,128.2513937,비금속광물 분쇄물 생산업,재생 모래,054-436-6279,054-432-6010,,2025-12-30
286,두원산업,2076143426,경상북도 김천시 구성면 남김천대로 3092 외 1필지,36.06981229,128.086915,비금속광물 분쇄물 생산업,부순 모래,054-434-9506,,,2025-12-30
508,주식회사 케이티엘,8718600162,경상북도 김천시 조마면 조마로 1841-12,36.0591854,128.1092036,비금속광물 분쇄물 생산업,용접봉원료(합금철분말),054-437-9204,054-437-4751,,2025-12-30
531,지례광업소,5102290641,경상북도 김천시 지례면 상부리 362번지,35.97873584,128.0300156,비금속광물 분쇄물 생산업,규석분,054-434-4025,054-434-5027,,2025-12-30
227,네이처앤코,6104085103,경상북도 김천시 감천면 용호3길 79-19,36.03901397,128.1273641,분사기 및 소화기 제조업 외 2 종,"방역용 소독기, 농업용 살균수 제조장치",,055-533-5889,,2025-12-30
267,대영산업,5102191245,경상북도 김천시 지례면 지례공단길 66,35.97559093,128.0271756,분사기 및 소화기 제조업 외 1 종,전력선,054-434-5330,054-434-7318,김천지례농공단지,2025-12-30
375,에이엠디 코리아,8116800341,경상북도 김천시 어모면 산업단지4로 113-5,36.16504763,128.1314158,분사기 및 소화기 제조업,기계 부품 및 세정기,054-436-5554,054-436-5550,,2025-12-30
356,신흥산업,7926000160,경상북도 김천시 감문면 삼성2길 8-15 외 2필지,36.22030296,128.1812956,부직포 및 펠트 제조업,"박스테이프, 부직포",054-432-0032,054-432-0031,,2025-12-30
365,알파산업,5102064834,경상북도 김천시 남면 아포대로 456-5,36.14381013,128.1873631,부직포 및 펠트 제조업,방음자재,054-439-7500,054-455-6567,,2025-12-30
448,주식회사 라크인더스트리,2208172086,경상북도 김천시 어모면 산업단지4로 96,36.16386502,128.1331366,부직포 및 펠트 제조업,기저귀 자재(LOOP & HOOK TAPE),054-430-8183,054-430-8182,김천제1일반산업단지,2025-12-30
504,주식회사 케이씨넷,6932800562,경상북도 김천시 어모면 어모로 519 외 4필지,36.19762591,128.1080192,부직포 및 펠트 제조업,부직포,,,,2025-12-30
505,주식회사 케이씨넷,6858601750,"경상북도 김천시 어모면 어모로 519, 나동",36.19762591,128.1080192,부직포 및 펠트 제조업,부직포,054-433-0000,054-613-5668,,2025-12-30
409,이엠맘생명개발원,5100494207,경상북도 김천시 부항면 해인리 370번지,36.01079628,127.9128477,복합비료 및 기타 화학비료 제조업 외 3 종,"산삼주 탁주, 산삼액기스",,,,2025-12-30
233,농업회사법인 두성바이오 주식회사,5108106500,경상북도 김천시 구성면 마산로 150-10 (총 6 필지) 외 5필지,36.00451659,128.0148844,복합비료 및 기타 화학비료 제조업 외 1 종,"기타비료 및 질소화합물, 기타비료 및 질소화합물",054-434-7800,054-434-7803,,2025-12-30
241,농업회사법인(주)새금강비료,5108125977,경상북도 김천시 어모면 작점로 1098-95,36.21953898,128.082189,복합비료 및 기타 화학비료 제조업 외 1 종,"유기질비료, 가축분퇴비, 유기질비료, 가축분퇴비",054-439-1217,054-439-1219,,2025-12-30
330,샤론통상,1170155246,경상북도 김천시 미곡길 154-9 (백옥동) 외 2필지,36.12047338,128.0755629,복합비료 및 기타 화학비료 제조업 외 1 종,발효비료,054-436-8477,,,2025-12-30
316,삼경아그로,5100339037,"경상북도 김천시 혁신8로 5, 3층 320호 (율곡동, 율곡테크노밸리) 3층 320호",36.12753253,128.1816803,복합비료 및 기타 화학비료 제조업,"로티플, 파워자임 등",,054-345-2039,,2025-12-30
472,주식회사 에스에이치 제2공장,5108122946,경상북도 김천시 남면 초곡길 287-87,36.1403627,128.1785655,변압기 제조업 외 4 종,"변압기, 배전반, 가로등제어반, 태양광발전장치",054-432-9111,054-434-7111,,2025-12-30
67,(주)성도,5108106626,경상북도 김천시 감천면 금감로 1252,36.04025454,128.1303403,벽 및 바닥 피복용 플라스틱제품 제조업 외 6 종,장판 및 SHEET,054-433-0066,054-433-6738,,2025-12-30
140,(주)재영,1418110981,경상북도 김천시 지례면 지례공단길 41,35.97554617,128.0259004,벽 및 바닥 피복용 플라스틱제품 제조업 외 1 종,"비닐장판, 플라스틱 바닥타일, 비닐장판, 플라스틱 바닥타일",054-435-7377,054-435-7381,김천지례농공단지,2025-12-30
110,(주)영화,5108120818,경상북도 김천시 봉산면 봉산로 456-25 외 4필지,36.1689151,128.0110167,벽 및 바닥 피복용 플라스틱제품 제조업,"플라스틱 시트, pvc칩",054-436-7702,054-432-3638,,2025-12-30
131,(주)이에스디웍 구미지점,5138532873,경상북도 김천시 아포읍 아포공단길 80,36.16679759,128.2531103,벽 및 바닥 피복용 플라스틱제품 제조업,PSTRAY(용기),031-369-8200,031-355-9746,김천아포농공단지,2025-12-30
471,주식회사 에스에이치 제1공장,5108122946,"경상북도 김천시 아포읍 아포공단길 23, A동",36.16659306,128.2560329,배전반 및 전기 자동제어반 제조업 외 4 종,"배전반 및 전기자동제어반, 변압기 , 전기 조명장치 , 배전반 및 전기자동제어반, 배전반 및 전기자동제어반, 배전반 및 전기자동제어반, 배전반 및 전기자동제어반",054-432-8300,054-434-7111,김천아포농공단지,2025-12-30
470,주식회사 에스에이치,5108122946,"경상북도 김천시 아포읍 아포공단길 23, 2층",36.16659306,128.2560329,배전반 및 전기 자동제어반 제조업 외 2 종,계장제어장치,054-432-9111,054-434-7111,김천아포농공단지,2025-12-30
132,(주)이지시스템,1268197280,경상북도 김천시 아포읍 아포공단길 131,36.16557838,128.2500163,배전반 및 전기 자동제어반 제조업 외 13 종,"금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장치, 액체 펌프, 배전반, 금속가공품, 전기제어장",054-435-7477,054-700-0737,김천아포농공단지,2025-12-30
315,비디에스,8805700448,경상북도 김천시 공단1길 39 (대광동),36.14031366,128.1413857,배전반 및 전기 자동제어반 제조업 외 10 종,"배전반, 자동제어반, 계장제어반, 프로세스제어반 외, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반, 배전반, 제어반, 계장제어반,분전반",054-433-6006,054-431-6006,김천대광농공단지,2025-12-30
420,전진이노텍 주식회사,4858102606,경상북도 김천시 어모면 산업단지9로 14,36.17569215,128.139082,배전반 및 전기 자동제어반 제조업 외 1 종,"배전반 등, 전기",054-437-6933,054-437-6935,김천제1일반산업단지,2025-12-30
36,(주)덕원전기,3968600526,경상북도 김천시 아포읍 대신길 490,36.15407124,128.2166276,배전반 및 전기 자동제어반 제조업,자동제어 판넬,054-474-7717,054-434-7710,,2025-12-30
253,대경전기(주)                    ,5028130260,경상북도 김천시 감천면 도평5길 83 외 1필지,36.05001308,128.1244297,배전반 및 전기 자동제어반 제조업,배전반,,,,2025-12-30
381,엘에이치(LH)중증장애인지원센터,1868200576,"경상북도 김천시 농공단지2길 40, 나동 (신음동)",36.13090622,128.131736,배전반 및 전기 자동제어반 제조업,배전반 등,,0504-147-0119,,2025-12-30
388,영일산전,3091562310,"경상북도 김천시 혁신8로 5, (율곡동, 율곡테크노밸리) 1동 3층 303호",36.12753253,128.1816803,배전반 및 전기 자동제어반 제조업,전기자동제어반 및 배전반,,054-437-1475,,2025-12-30
423,제와이시스템(주),1408132167,경상북도 김천시 어모면 다남로 166,36.16924599,128.1329124,배전반 및 전기 자동제어반 제조업,부스턱트 KIT 사이드판 및 덧판,054-439-5154,054-436-5156,김천제1일반산업단지,2025-12-30
585,한신이엔지,3330301706,경상북도 김천시 무실길 70 (덕곡동),36.11243822,128.1544646,배전반 및 전기 자동제어반 제조업,전기기기 배전반,054-436-7768,054-439-0068,,2025-12-30
60,(주)삼보정보통신,5108127392,경상북도 김천시 공단1길 43 (대광동),36.14079989,128.1417755,방송장비 제조업 외 8 종,"방송장비, 영상감시장치, 안내전광판, 영상디스플레이장치, 방송장비, 영상감시장치, 안내전광판, 영상디스플레이장치, 방송장비, 영상감시장치, 안내전광판, 영상디스플레이장치, 방송장비, 영상감시장치, 안내전광판, 영상디스플레이장치, 방송장비, 영상감시장치, 안내전광판, 영상디스플레이장치, 방송장비, 영상감시장치, 안내전광판, 영상디스플레이장치, 방송장비, 영상감시장치, 안내전광판, 영상디스플레이장치, 방송장비, 영상감시장치, 안내전광판, 영상디스플레이장치,",054-436-9100,,김천대광농공단지,2025-12-30
354,신화정보통신,5131427439,경상북도 김천시 아포읍 한지2길 28-14,36.15839986,128.2604074,방송장비 제조업 외 4 종,"CCTV 방송 통합배선반(통신기기), CCTV 방송 통합배선반(통신기기), CCTV 방송 통합배선반(통신기기), CCTV 방송 통합배선반(통신기기), CCTV 방송 통합배선반(통신기기)",054-437-4475,054-432-4475,,2025-12-30
100,(주)에이치에스정보기술,2098701780,"경상북도 김천시 거문들길 30, 1층(삼락동)",36.13735426,128.0762461,방송장비 제조업 외 2 종,"영상감시장치(NVR), 구내방송장치(스피커), 영상감시장치(NVR)",054-437-3737,054-437-3736,,2025-12-30
127,(주)유에이썬,5108126073,경상북도 김천시 남면 옥산길 38-37,36.10631192,128.1900279,방송장비 제조업 외 19 종,"차량번호판독기,영상감시장치,정보검색소프트웨어,구내방송장치,배전반",054-436-0530,054-434-0719,,2025-12-30
360,아이기스(주),8488701659,"경상북도 김천시 혁신3로 46, 206호(율곡동, 영무메트로 오피스텔)",36.11488878,128.1807179,방송장비 제조업 외 14 종,"CCTV, 영상감시장치, 소프트웨어, 통합배선반",054-433-0330,054-433-0550,,2025-12-30
447,주식회사 동평기술,8878100876,경상북도 김천시 혁신로 288-2  (율곡동) 2층 205호,36.12558596,128.1815314,방송장비 제조업 외 13 종,"사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일",054-475-1205,054-473-1206,,2025-12-30
492,주식회사 유에이썬 ,5108126073,"경상북도 김천시 혁신로 288-2, 305호  (율곡동) 305호",36.12558596,128.1815314,방송장비 제조업 외 12 종,"사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체 등, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체 등, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체 등, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체 등, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전광판, 소프트웨어일체 등, 사물인터넷 관련 디바이스, CCTV, 영상감시장치, 전",054-436-0530,054-434-0719,,2025-12-30
43,(주)디알젬 김천공장지점,5298502511,경상북도 김천시 어모면 산업단지로 213,36.16432013,128.1371277,방사선 장치 제조업,인체용 엑스선 진단장비,054-465-8618,054-436-8618,김천제1일반산업단지,2025-12-30
78,(주)시노펙스,5108508262,"경상북도 김천시 공단1길 11-7 (대광동, (주)한성프리텔)",36.13965693,128.1403622,발광 다이오드 제조업 외 7 종,"PCB A'SSY, 비디오 카드, 네트워크 카드, 모뎀 등 전자 접속 카드, 광전도 셀, 가정용, 산업 및 상업용 등 각종 공기 조화 및 조절장치, 운송장비용 에어컨디셔너 및 공기 조절장치 제조,  기체 여과기 및 청정기, 가정, 산업 및 상업용의 액체 여과기 및 청정기, 가스 발생기, 열 교환장치",054-433-0208,054-433-3870,김천대광농공단지,2025-12-30
101,(주)에이치엔에프,8938501937,경상북도 김천시 어모면 산업단지7로 146,36.16951587,128.1333575,반려동물용 사료 제조업 외 2 종,"반려동물 간식, 개껌 등",054-437-6995,054-437-6996,김천제1일반산업단지,2025-12-30
245,뉴엘림락토,5100263976,경상북도 김천시 개령면 덕촌3길 24-36,36.18439923,128.1600326,반려동물용 사료 제조업 외 2 종,보조사료,054-432-5519,054-433-5519,,2025-12-30
251,다음사료영농조합법인,5108121326,경상북도 김천시 어모면 산업단지7로 196,36.16975659,128.1275665,반려동물용 사료 제조업 외 2 종,"TMR사료, TMR사료, TMR사료, TMR사료",054-433-5581,054-439-8865,김천제1일반산업단지,2025-12-30
538,진성상사,6103668505,경상북도 김천시 감문면 태촌리 506-2번지,36.20023192,128.2233164,반려동물용 사료 제조업 외 2 종,단미사료,054-437-5959,,,2025-12-30
306,바론바이오 주식회사,1528700485,"경상북도 김천시 혁신로 303, 204호(율곡동, 지텍지식산업센터)",36.1275612,128.1806138,반려동물용 사료 제조업 외 1 종,"프로비스탑플러스, 프로비스탑플러스",054-434-8111,054-435-8111,,2025-12-30
180,(주)한스코리아,1698801873,경상북도 김천시 아포읍 인리 988-3,36.16560356,128.2421912,반도체 제조용 기계 제조업 외 1 종,"Silicon Ingot 성장장치 개조 Part 제작, 반도체용 연마기 중고장비 수리 판매",070-7807-6453,,,2025-12-30
413,인베닉스,5130345765,경상북도 김천시 어모면 산업단지4로 249,36.17758466,128.1313591,반도체 제조용 기계 제조업 외 1 종,"전자 부품, 정전기 제거장치, 고압 파워",054-437-0831,054-437-0830,김천제1일반산업단지,2025-12-30
439,주식회사 니나노컴퍼니,8288700831,경상북도 김천시 혁신로 315-11 (율곡동) 2층 201호 2층 201호,36.12770662,128.1798142,무인 항공기 및 무인 비행장치 제조업,산업용드론,054-911-9201,0507-1797-2662,,2025-12-30
71,(주)세연인터내셔널,3278100184,경상북도 김천시 혁신8로 5 4층 416호,36.12753253,128.1816803,무기 및 총포탄 제조업 외 5 종,회로카드조립체,02-539-0441,02-539-0442,,2025-12-30
190,SDC산업,5130468085,경상북도 김천시 아포읍 봉산리1길 24,36.15309667,128.2172695,무기 및 총포탄 제조업 외 1 종,"대공포탄 신관 등, 대공포탄 신관 등",054-432-3141,054-432-3142,,2025-12-30
591,한제목재산업 ,5130393234,경상북도 김천시 농소면 농남로 330,36.09713591,128.2014444,"목재 포장용 상자, 드럼 및 유사용기 제조업",목재파레트,054-430-4610,054-430-4611,,2025-12-30
