일련번호,시군구명,회사명,업종명,도로명주소,주요생산품명,대표자명,전화번호,팩스번호,직원수,데이터기준일자
12395,양산시,오승테크,산업처리공정 제어장비 제조업,"경상남도 양산시 영동2길 20 (산막동, 영진금형)",자동화기계,양재현,055-372-6668,055-372-6669,0,2024-06-10
12396,양산시,오승폴리켐,그 외 기타 고무제품 제조업,경상남도 양산시 상북면 소토1길 33-42 (코델),합성고무,김지관,055-781-2323,,15,2024-06-10
12397,양산시,오일코리아(주),윤활유 및 그리스 제조업,경상남도 양산시 상북면 소토리 252 번지,절삭류,한정희,055-375-5145,,5,2024-06-10
12398,양산시,오진곡유리,기타 산업용 유리제품 제조업 외 1 종,경상남도 양산시 하북면 진목로 34 (부산곡유리),곡유리,이강식,,,5,2024-06-10
12399,양산시,오토엠,그 외 기타 달리 분류되지 않은 운송장비 제조업,경상남도 양산시 상북면 석계산단2길 82,카트,김진태,,,5,2024-06-10
12400,양산시,오픈기업,금속 캔 및 기타 포장용기 제조업,"경상남도 양산시 산막공단남12길 46 (호계동, 오픈기업)",공드럼재생,이병우,055-387-0245,055-387-0246,6,2024-06-10
12401,양산시,옥산테크,주형 및 금형 제조업,경상남도 양산시 상북면 좌삼길 52,정밀금형부품,류재천,055-365-7694,055-365-7950,4,2024-06-10
12402,양산시,온 코프레이션,기타 직물제품 제조업,경상남도 양산시 하북면 월평1길 25-1,마스크,전말순,055-367-8348,055-367-8349,50,2024-06-10
12403,양산시,올바롬,기타 비알코올 음료 제조업,경상남도 양산시 주남로 288 (주남동) 영산대학교양산캠퍼스 코스모스관 3619호,"비프로(숙취해소제, 액상차)",노원제,,050-7092-2815,1,2024-06-10
12404,양산시,와이비메탈 주식회사,액체 여과기 제조업 외 2 종,경상남도 양산시 산막공단남11길 65 (북정동) 외 2필지,"터보브로와, 탱크류,알루미늄 피막, 승용차용 선루프, 루프랙외",심원중,055-730-9359,055-730-9358,15,2024-06-10
12405,양산시,와이비엔지니어링(주),선박 구성 부분품 제조업 외 5 종,경상남도 양산시 상북면 어곡터널로 208,"선박구성부품, 약품투입기",김건웅,070-7816-5016,055-204-7877,7,2024-06-10
12406,양산시,와이스틸(주),강관 제조업 외 1 종,경상남도 양산시 산막공단북6길 73 (산막동),커플링,정현성,055-372-2101,055-372-2103,10,2024-06-10
12407,양산시,와이앤드씨인사이드 주식회사,의료용품 및 기타 의약 관련제품 제조업,"경상남도 양산시 초동길 31(소주동, 영포리케미칼)",의료용 반창고 원단 제조,윤한성,ARS-1688-1361,055-323-9523,2,2024-06-10
12408,양산시,와이제이케미컬,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 양산시 그린공단1길 67 (매곡동),자동차 덕트,박인섭,070-4423-7524,055-362-7524,24,2024-06-10
12409,양산시,와이케이씨테크(주),운송장비 조립용 플라스틱제품 제조업 외 1 종,경상남도 양산시 어실로 383-25 (어곡동),ZCAT CASE(플라스틱제품),박윤규,055-367-7055,055-367-5225,7,2024-06-10
12410,양산시,와이텍,그 외 기타 특수목적용 기계 제조업 외 1 종,경상남도 양산시 상북면 율리길 16,기계부품,조용일,055-375-0228,055-383-4071,2,2024-06-10
12411,양산시,요기펫,인형 및 장난감 제조업,경상남도 양산시 상북면 석계산단6길 129 외 1필지,애견용 장난감,김창섭,051-758-4739,,10,2024-06-10
12412,양산시,용광산기(주),도장 및 기타 피막처리업,"경상남도 양산시 그린공단3길 67, 용광산기(주) (매곡동)",철구조물 표면처리 및 도장,최덕용,051-727-6511,,28,2024-06-10
12413,양산시,용성산업,그 외 기타 1차 철강 제조업,경상남도 양산시 상북면 충렬로 984,철판절단가공품,류영수,055-374-3651,055-375-3653,3,2024-06-10
12414,양산시,용테크,주형 및 금형 제조업,경상남도 양산시 상북면 소노길 26-49,금형,김용영,055-374-4937,055-374-4936,5,2024-06-10
12415,양산시,용현비엠(주)북정공장,강관 제조업 외 1 종,경상남도 양산시 북정동 237-31번지 외 2필지 외 2필지,선박용엔진부품외,이태희,055-379-2120,055-379-2130,45,2024-06-10
12416,양산시,우도,일반 제재업,경상남도 양산시 하북면 순지리 10번지 외 4필지 외 4필지,목재,신정규,055-382-9205,055-382-9295,2,2024-06-10
12417,양산시,우리섬유,연사 및 가공사 제조업,"경상남도 양산시 산막공단북1길 22 (산막동, (주)진보벤더물류센타)",연사(실),김형대,055-381-8840,055-382-8840,10,2024-06-10
12418,양산시,우리우드,일반 제재업 외 3 종,경상남도 양산시 용주로 270-1 (주남동),목재 및 합성목재,우동진,055-372-4352,055-365-4328,4,2024-06-10
12419,양산시,우림피앤에스,그 외 기타 플라스틱 제품 제조업 외 3 종,경상남도 양산시 주남마을길 56 (주남동),"용접토치부품, 마스크가드, 덴탈마스크 등",손성하,,0504-203-5101,4,2024-06-10
12420,양산시,우보금속,볼트 및 너트류 제조업,경상남도 양산시 유산공단8길 83(유산동),유압용 너트,한규원,,,5,2024-06-10
12421,양산시,우성기계,유압기기 제조업 외 1 종,경상남도 양산시 상북면 충렬로 979-4,유공압 실린더,황옥성,,055-331-4006,4,2024-06-10
12422,양산시,우성테크,기타 물품 취급장비 제조업,"경상남도 양산시 산막공단북8길 5 (호계동, 우성테크)",전동리프트,정호기,055-385-8003,055-386-4726,6,2024-06-10
12423,양산시,우성테크,육상 금속 골조 구조재 제조업 외 1 종,경상남도 양산시 하북면 충렬로 1399,금속 조립구조재 ,정호기,055-385-8003,055-386-4726,6,2024-06-10
12424,양산시,우성특수용접,그 외 기타 금속가공업,경상남도 양산시 소노길 62 (산막동),산업기계 용접,최영성,,055-362-9186,1,2024-06-10
12425,양산시,우성플라스틱(주),"플라스틱 선, 봉, 관 및 호스 제조업",경상남도 양산시 유산공단9길 16 (유산동),플라스틱파이프,전도학,055-385-5001,055-385-4335,62,2024-06-10
12426,양산시,우신산업,그 외 자동차용 신품 부품 제조업 외 3 종,"경상남도 양산시 그린공단2길 14 (매곡동, 우신산업)",자동차 머플러용 BRAID,주극종,055-363-2235,055-363-2237,6,2024-06-10
12427,양산시,우신산업,그 외 기타 플라스틱 제품 제조업,경상남도 양산시 소주로 88-5 (소주동),수목보호지주대,김상태,055-362-8321,055-362-8329,2,2024-06-10
12428,양산시,우신직물공업사,모직물 직조업,경상남도 양산시 덕계동 1388번지,"방모,생지,혼방",박순길,055-387-3903,055-364-7821,35,2024-06-10
12429,양산시,우주자원,그 외 기타 1차 철강 제조업,경상남도 양산시 어곡로 31 (유산동),절단 및 가공 철강재 ,주치남,055-366-7666,055-372-0100,3,2024-06-10
12430,양산시,우주전자,그 외 기타 전자부품 제조업 외 1 종,경상남도 양산시 물금읍 황산로 495 (우주전자),콘넥트 플러그,김청자,055-382-8806,055-383-6854,44,2024-06-10
12431,양산시,우주하이플럭스(주),정형 내화 요업제품 제조업,경상남도 양산시 원동면 지나1길 6-7,내화제품,박세호,051-262-2417,051-262-2418,2,2024-06-10
12432,양산시,우주환경개발(주),위생용 종이제품 제조업,경상남도 양산시 명곡새마을길 35 (명곡동),"페이퍼 타올, 냅킨",이태겸,,055-365-9017,5,2024-06-10
12433,양산시,우진기업,그 외 기타 금속가공업,"경상남도 양산시 유산공단10길 40-21, 398 (유산동)",주방용품,윤두현,055-363-2158,055-363-2159,21,2024-06-10
12434,양산시,우진세라믹스,가정용 및 장식용 도자기 제조업,경상남도 양산시 원동면 원동로 978,"도자기,화분",이원규,055-381-4793,055-382-4918,2,2024-06-10
12435,양산시,우진정밀,그 외 기타 전자부품 제조업,경상남도 양산시 상북면 공원로 268-39,전자부품,최동규,055-374-3055,055-374-3057,5,2024-06-10
12436,양산시,우진테크,산업처리공정 제어장비 제조업,"경상남도 양산시 산막공단북5길 46-99 (산막동, 효전산업)",공장자동화설비,정병철,055-374-1888,055-374-2334,4,2024-06-10
12437,양산시,우진테크(주),표면광택제 및 실내가향제 제조업 외 2 종,"경상남도 양산시 어실로 403-18 (어곡동, (주)우진나노케미칼우진나노소재연구소)",광촉매silver-titansol,양기석,055-367-3883,055-367-3311,7,2024-06-10
12438,양산시,우호정밀,볼트 및 너트류 제조업 외 2 종,경상남도 양산시 상북면 소토리 556-2번지,나사제품,조명수,055-374-3609,055-374-3609,3,2024-06-10
12439,양산시,울트라월드(주),설치용 및 위생용 플라스틱제품 제조업,경상남도 양산시 생동길 30 (용당동),저장용탱크,김태리,,,5,2024-06-10
12440,양산시,웅상금속,그 외 기타 1차 철강 제조업,경상남도 양산시 주남로 86 (주남동),금속가공품,김연윤,055-387-8478,055-387-8746,14,2024-06-10
12441,양산시,웅상금속 제2공장,그 외 기타 1차 철강 제조업,경상남도 양산시 주남로 89 (주남동),철판가공,김연윤,055-387-8478,055-387-8746,11,2024-06-10
12442,양산시,웅테크,치과용 기기 제조업,경상남도 양산시 북정동 97-17번지,치과용 정밀기기,권종웅,070-8867-3669,055-383-3669,3,2024-06-10
12443,양산시,워터하우스,액체 여과기 제조업,"경상남도 양산시 명곡로 321, 창업보육센터 2304호 (명곡동, 동원과학기술대학교)","산소수기, 오폐수처리기",남성태,,,1,2024-06-10
12444,양산시,원강산업,자동차용 신품 의자 제조업 외 2 종,"경상남도 양산시 소주공단6길 40-37 (소주동, 원창ENG)",자동자부품(시트),조봉식,055-387-5358,,10,2024-06-10
12445,양산시,원광개발 주식회사,지정 외 폐기물 처리업 외 1 종,"경상남도 양산시 어곡로 165 (어곡동, 원광개발(주)폐기물매립장)",,이창혁,055-372-0180,,15,2024-06-10
12446,양산시,원광정밀,절삭가공 및 유사처리업,경상남도 양산시 산막공단로 50 (북정동),자동화기계부품,배금미,055-382-8541,055-365-8542,5,2024-06-10
12447,양산시,원남금속(주),"알루미늄 제련, 정련 및 합금 제조업",경상남도 양산시 소주공단4길 49-1 (소주동),알루미늄합금괴,장재원,055-386-6553,055-386-5353,13,2024-06-10
12448,양산시,원메디텍,그 외 기타 분류 안된 금속 가공 제품 제조업,경상남도 양산시 산막공단북10길 121 (산막동),임플란트 부품,박철우,055-366-5216,055-366-5215,2,2024-06-10
12449,양산시,원식품,그 외 기타 식료품 제조업 외 2 종,경상남도 양산시 상북면 수서로 161,"된장, 메밀묵, 도토리묵",김진길,,055-912-2692,2,2024-06-10
12450,양산시,원엔지니어링,그 외 기타 특수목적용 기계 제조업 외 1 종,경상남도 양산시 산막공단북6길 49 (산막동),공장자동화기계,김준초,055-374-5455,055-374-5456,6,2024-06-10
12451,양산시,원일코퍼레이션,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,경상남도 양산시 산막공단북4길 36 (산막동),"CNT, GRAPHENE 분산제품",여춘근,055-381-3700,,7,2024-06-10
12452,양산시,원진정밀,절삭가공 및 유사처리업,경상남도 양산시 산막공단남7길 24 (호계동),자동차부품 금형,정진환,055-362-8917,055-363-8917,5,2024-06-10
12453,양산시,원진프로파일,육상 금속 골조 구조재 제조업 외 1 종,경상남도 양산시 산막공단남8길 12 (호계동),알루미늄 구조물,배진우,055-388-0848,055-387-0841,1,2024-06-10
12454,양산시,원진프로파일 ,절삭가공 및 유사처리업,경상남도 양산시 신북정길 18 (북정동),기계부품 ,조치원 ,055-388-0848,055-387-0841,5,2024-06-10
12455,양산시,원창피드콘,기체 여과기 제조업 외 3 종,경상남도 양산시 북정동 142-3번지,"측정기기,용기충전기",박문원,055-389-0050,055-389-0082,18,2024-06-10
12456,양산시,원플러스,절삭가공 및 유사처리업,경상남도 양산시 산막공단북5길 46-139 (산막동),엔진부품 등,김복정,,055-384-6631,4,2024-06-10
12457,양산시,원화이엔지,컨베이어장치 제조업 외 1 종,"경상남도 양산시 어실로 281 (어곡동, (주)우영)",컨베이어장치,윤창원,055-374-4016,055-374-4019,1,2024-06-10
12458,양산시,월드롤호정(주),"금속 문, 창, 셔터 및 관련제품 제조업",경상남도 양산시 상북면 소토1길 23-1 (월도롤호정),롤방충망등,박영호,055-375-0824,055-375-0826,40,2024-06-10
12459,양산시,위텍,그 외 기타 특수목적용 기계 제조업,경상남도 양산시 주남동 1101-13번지,산업용기계,장행,055-365-9058,055-365-9059,9,2024-06-10
12460,양산시,윈드앤에프에이 주식회사,산업처리공정 제어장비 제조업,경상남도 양산시 상북면 내석리 70-2번지,PLC판넬(자동화시스템),이근창,,,4,2024-06-10
12461,양산시,유광산업,그 외 기타 고무제품 제조업,경상남도 양산시 소주동 962번지,고무제품,유종수,055-389-2222,055-388-2231,9,2024-06-10
12462,양산시,유광포장,골판지 제조업 외 1 종,"경상남도 양산시 산막공단북5길 74-1 (산막동, 유광포장공업사)","골판지상자, 종이파렛트",류근형,055-384-7414,055-384-7416,10,2024-06-10
12463,양산시,유광포장공업(주),골판지 및 골판지상자 제조업,"경상남도 양산시 양산대로 1041-1 (북정동, (주)하나TPS)",골판지상자,류도형,055-388-7421,055-388-7426,15,2024-06-10
12464,양산시,유국산업주식회사,금속 캔 및 기타 포장용기 제조업,경상남도 양산시 어곡공단4길 17-21 (어곡동),재생 공드럼,"정동곤,이승철",055-372-4800,055-372-4804,40,2024-06-10
12465,양산시,유니드상사,그 외 기타 가구 제조업,경상남도 양산시 하북면 충렬로 1286,씽크대 대리석 상판,조영순,055-374-8321,055-374-8320,4,2024-06-10
12466,양산시,유니본,"수산동물 훈제, 조리 및 유사 조제식품 제조업",경상남도 양산시 유산공단4길 38 (유산동),어육가공품,정동섭,055-367-2337,055-367-2338,12,2024-06-10
12467,양산시,유니테크,에너지 저장장치 제조업,경상남도 양산시 유산공단10길 60-16(유산동),"리튬이온 보조배터리, 리튬인산철보조배터리, 파워뱅크, 산업용 배터리팩","류순화, 최세영",055-785-3025,0504-097-4314,4,2024-06-10
12468,양산시,유동휀스산업,금속선 가공제품 제조업,경상남도 양산시 소주로 104 (소주동) (총 4 필지) 외 3필지,철망,추연수,,,12,2024-06-10
12469,양산시,유로페스툴,일반 제재업,경상남도 양산시 상북면 소토4길 29-21,공방 및 건축용 목재,이차희,,,5,2024-06-10
12470,양산시,유림산업,도장 및 기타 피막처리업,경상남도 양산시 호계동 1035-34번지,중장비 부품(도장),김숙자,055-781-2393,070-8672-9108,27,2024-06-10
12471,양산시,유림산업,"적층, 합성 및 특수표면처리 종이 제조업",경상남도 양산시 하북면 용연리 796-4번지 외 1필지 외 1필지,합지,김진창,055-381-0564,,5,2024-06-10
12472,양산시,유성기계,그 외 기타 일반목적용 기계 제조업 외 1 종,경상남도 양산시 상북면 공원로 423,"산업기계, 유고압실린더",정기학,055-375-2507,055-375-2506,3,2024-06-10
12473,양산시,유성기계,절삭가공 및 유사처리업,경상남도 양산시 산막공단남6길 3 (호계동),절삭가공,김규현,055-385-0016,055-385-6650,2,2024-06-10
12474,양산시,유성산기,절삭가공 및 유사처리업,경상남도 양산시 산막공단북3길 6 (산막동),산업기게부품 ,김상도,055-381-5861,055-372-5861,1,2024-06-10
12475,양산시,유성산업(주),선박 구성 부분품 제조업,경상남도 양산시 산막공단남11길 65-2(북정동),"BAND ASS'Y, SUPPORT, CLAMP, FLANGE",이상복,051-325-8878,051-326-8878,12,2024-06-10
12476,양산시,유성전자,인쇄회로기판용 적층판 제조업 외 2 종,경상남도 양산시 하북면 순지리 765번지,컴퓨터부품,윤상조,055-384-1221,055-384-1221,53,2024-06-10
12477,양산시,유성정밀,그 외 기타 일반목적용 기계 제조업 외 1 종,경상남도 양산시 상북면 율리길 24,기계부품,박상동,055-374-5041,055-374-5043,10,2024-06-10
12478,양산시,유성테크,절삭가공 및 유사처리업,경상남도 양산시 산막공단북13길 63 (산막동),주유기부품등,박태진,055-365-7077,055-365-7079,6,2024-06-10
12479,양산시,유성화학,그 외 기타 플라스틱 제품 제조업 외 6 종,경상남도 양산시 상북면 소토4길 15,플라스틱제품,김윤태,055-375-4642,055-375-4644,27,2024-06-10
12480,양산시,유승테크,그 외 기타 일반목적용 기계 제조업 외 1 종,경상남도 양산시 학동길 24-1 (어곡동),밧데리 생산라인 구성품,이종열,055-384-0773,,2,2024-06-10
12481,양산시,유신단열(주),암면 및 유사제품 제조업 외 1 종,경상남도 양산시 소주동 8-7번지,보온단열재,김옥규,051-0503-3751,,20,2024-06-10
12482,양산시,유신단열(주),암면 및 유사제품 제조업 외 1 종,경상남도 양산시 소주공단3길 72 (소주동),보온단열재,김옥규,051-503-3751,051-503-9416,10,2024-06-10
12483,양산시,유신단열(주) 소주동 제3공장,암면 및 유사제품 제조업,경상남도 양산시 소남3길 28 (소주동),"Lng용 Glass Wool, Mineral Wool",김옥규,051-503-3751,051-503-9416,15,2024-06-10
12484,양산시,유신전장,자동차용 신품 전기장치 제조업 외 1 종,"경상남도 양산시 어곡공단로 92 (어곡동, 보루네오가구부산영업소)",와이어하네스,고대현,055-388-9977,055-388-9911,8,2024-06-10
12485,양산시,유앤정,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 양산시 그린공단3길 95 (매곡동),FRT SEAT INSIDE CUR 외,유중재,055-367-0802,0504-053-9894,10,2024-06-10
12486,양산시,유원정밀,기타 가공 공작기계 제조업,경상남도 양산시 산막공단북9길 129 (산막동),자동화기계부품,변영식,055-383-0093,055-383-0095,9,2024-06-10
12487,양산시,유원화학,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업","경상남도 양산시 산막공단남1길 21-3 (북정동, 유원화학공업사)",아스팔트 프라이마,이재영,055-385-8976,055-385-8977,4,2024-06-10
12488,양산시,유일건기,건설 및 채광용 기계장비 제조업,경상남도 양산시 상북면 양산대로 1246-8,"크레인붐,버켓,리더 등",최병록,,,4,2024-06-10
12489,양산시,유일기계,일반철물 제조업,경상남도 양산시 장흥길 81-11 (평산동),기계부품,김득진,055-365-6129,055-366-6126,9,2024-06-10
12490,양산시,유일산업(주),비금속류 해체 및 선별업 외 1 종,"경상남도 양산시 어실로 415 (어곡동, 유일자원) (총 2 필지) 외 1필지",재생플라스틱원료,박승해,055-388-4593,055-388-6137,10,2024-06-10
12491,양산시,유일산업(주),혼성 및 재생 플라스틱 소재 물질 제조업,경상남도 양산시 유산공단4길 94 (교동),재생플라스틱칩,박승해,055-388-4953,,45,2024-06-10
12492,양산시,유일산업(주)제2공장,혼성 및 재생 플라스틱 소재 물질 제조업,경상남도 양산시 유산공단10길 40-27(유산동),합성수지칩,박승해,055-388-4593,,10,2024-06-10
12493,양산시,유일산업기계(주),육상 금속 골조 구조재 제조업 외 1 종,경상남도 양산시 상북면 소토2길 31,철구조물,이정배,055-367-6511,055-375-6510,4,2024-06-10
12494,양산시,유정정공(주),그 외 자동차용 신품 부품 제조업 외 4 종,경상남도 양산시 호계동 1105-2번지,"자동차 부품, 마스크",이은지,055-912-1155,055-912-1166,38,2024-06-10
12495,양산시,유진실업(주),기타 기초 무기 화학물질 제조업 외 2 종,"경상남도 양산시 북정공단1길 7 (북정동, 유진실업(주)) (총 2 필지) 외 1필지",탄산칼슘,추경수,055-383-3475,055-384-7847,30,2024-06-10
12496,양산시,유진테크,그 외 기타 특수목적용 기계 제조업 외 1 종,"경상남도 양산시 어곡동 0번지 어곡도시개발사업지구 1블럭 15로트외 2필지(16,17로트)","대차,선반 소형리프트",임승규,,,17,2024-06-10
12497,양산시,유창금속,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 양산시 매곡동 1117-2번지,"차량용 냉온장고, 차량용 서스펜션, 기계부품 가공, 금형제작",강희순,055-363-6939,,25,2024-06-10
12498,양산시,유창산업사,포장용 플라스틱 성형용기 제조업,경상남도 양산시 상북면 대석1길 66 (유창산업사),플라스틱용기,나정훈,055-375-2071,055-375-2073,5,2024-06-10
12499,양산시,유한테크,그 외 기타 플라스틱 제품 제조업 외 1 종,경상남도 양산시 어실로 195-17 (어곡동),"배수블럭,LED방향지시등,멀티탭",허동철,055-383-2340,055-383-2340,2,2024-06-10
12500,양산시,유한회사 미래금속창호,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",경상남도 양산시 상북면 수서로 349-7,알루미늄 창호 ,박홍미,055-374-4210,055-375-4211,4,2024-06-10
12501,양산시,유한회사 하이로드,특수 직물 및 기타 직물 직조업,경상남도 양산시 상북면 충렬로 460,보행매트,하옥경,055-362-0780,,1,2024-06-10
12502,양산시,유한회사 한울에너지2호,태양력 발전업,경상남도 양산시 산막공단남13길 101 (호계동),전기,장성록,,061-333-4653,0,2024-06-10
12503,양산시,윤영알앤피산업(주),목재 깔판류 및 기타 적재판 제조업,경상남도 양산시 상북면 수서로 361-3,목재파렛트,이점옥,055-374-1190,055-374-1191,5,2024-06-10
12504,양산시,윤테크,금속탱크 및 저장용기 제조업,"경상남도 양산시 대운1길 53, 윤테크 (명동)","저장용기(탱크), 혼합용기(탱크), 이송배관, 스크류",윤도현,,055-367-8796,1,2024-06-10
12505,양산시,율산몰딩,목재문 및 관련제품 제조업,경상남도 양산시 장기터2길 26 (주남동),"싱크 및 주방가구도어, ABS문틀 및 중문 등",심현주,055-362-8900,055-362-8901,4,2024-06-10
12506,양산시,은산물류창고(주),일반 창고업,"경상남도 양산시 대동로 37 (어곡동, 은산물류창고)",창고업,양재생,055-385-9965,055-381-9969,12,2024-06-10
12507,양산시,은성,기타 운동 및 경기용구 제조업,경상남도 양산시 상북면 충렬로 939,"야구배트, 당구큐",임귀순,055-374-1140,055-375-1140,2,2024-06-10
12508,양산시,은우산업,"플라스틱 선, 봉, 관 및 호스 제조업 외 4 종",경상남도 양산시 유산공단10길 60-24 (유산동),"차선분리대, 디자인형울타리, 볼라드, 미끄럼방지포장재, 도막형바닥재",최영두,055-363-6067,055-363-6068,3,2024-06-10
12509,양산시,은정사,주차장 운영업,경상남도 양산시 산막동 569-5번지,주차장,김은정외 2,,,0,2024-06-10
12510,양산시,은혜정밀,그 외 기타 일반목적용 기계 제조업 외 1 종,경상남도 양산시 상북면 외석길 63-22 (은혜정밀),기계부품,김수철,055-375-0323,055-375-0324,4,2024-06-10
12511,양산시,이다테크,기타 건축용 나무제품 제조업,경상남도 양산시 장기터2길 30 (주남동),건축자재(몰딩 외),김명자,055-367-5190,055-367-5191,4,2024-06-10
12512,양산시,이든,비주거용 건물 임대업,경상남도 양산시 어곡공단4길 18-28(어곡동),조립금속제품,김예림,055-385-1815,055-385-1814,7,2024-06-10
12513,양산시,이디케이 엠엔씨,그 외 기타 의복액세서리 제조업,경상남도 양산시 상북면 효충1길 12,장갑류,송영미,051-905-2330,051-905-2332,3,2024-06-10
12514,양산시,이룸에어텍,산업용 송풍기 및 배기장치 제조업,경상남도 양산시 물금읍 가촌서로 36,"전열교환기, 듀얼환기구",최일훈,055-385-3331,055-385-3332,2,2024-06-10
12515,양산시,이룸정밀 ,절삭가공 및 유사처리업,경상남도 양산시 어실로 312 (어곡동),기계부품 ,사경열 ,055-382-6916,,1,2024-06-10
12516,양산시,이지케이주식회사,자동차 엔진용 신품 부품 제조업 외 1 종,"경상남도 양산시 소주공단5길 75 (소주동, EGU)",자동차 배기관 부분품,김호경,055-365-0188,055-365-0182,35,2024-06-10
12517,양산시,이지테크,그 외 자동차용 신품 부품 제조업 외 3 종,"경상남도 양산시 산막공단로 48 (북정동, 삼영테크)",자동차부품,김흥만,055-385-8261,055-385-6405,8,2024-06-10
12518,양산시,이지텍,자동차 엔진용 신품 부품 제조업 외 41 종,경상남도 양산시 상북면 소토1길 14,"자동차엔진부품, 군납수리부속 등 ",최준석,,,2,2024-06-10
12519,양산시,이천정밀기계,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 양산시 상북면 와곡3길 17-1,자동차 부품,탁원철,055-372-0416,055-362-0417,7,2024-06-10
12520,양산시,이티엘 주식회사,일반용 도료 및 관련제품 제조업,경상남도 양산시 주남마을2길 73 (주남동),"스텔스 체계용 특수도료, 액상형 전자파 흡수 도료",황영우,055-384-0891,,10,2024-06-10
12521,양산시,이협금속공업사,그 외 기타 전자부품 제조업 외 1 종,"경상남도 양산시 신북정길 15 (북정동, 동흥기어공업사)",전자부분품,김명일,055-382-1238,055-382-1238,6,2024-06-10
12522,양산시,이화백주,탁주 및 약주 제조업,경상남도 양산시 상북면 충렬로 941,탁주,이미경,055-375-5677,050-4466-3145,3,2024-06-10
12523,양산시,이화제과(주),과자류 및 코코아 제품 제조업,경상남도 양산시 북정동 23-54번지,사탕,고영철,055-382-9610,055-781-0199,45,2024-06-10
12524,양산시,이화플랜텍(주),육상 금속 골조 구조재 제조업 외 1 종,"경상남도 양산시 산막공단남6길 36 (북정동, 공장)",철 구조물,박봉운,055-382-9341,055-382-9343,13,2024-06-10
12525,양산시,인텍,표면 가공 목재 및 특정 목적용 제재목 제조업,경상남도 양산시 하북면 월평1길 23,표면가공목재,노상표,055-388-2941,055-372-2942,2,2024-06-10
12526,양산시,인티스,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,경상남도 양산시 산막공단북13길 49 (산막동),자동화생산설비,김재선,055-372-0167,055-372-0168,4,2024-06-10
12527,양산시,인티스,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"경상남도 양산시 북정공단1길 6 (북정동, 성민산업)",자동화 설비,김재선,055-372-0167,055-372-0168,8,2024-06-10
12528,양산시,일성공업,주형 및 금형 제조업,"경상남도 양산시 그린공단로 29-29 (매곡동, 일성)",금형,이창규,055-388-0686,055-388-0654,12,2024-06-10
12529,양산시,일성섬유(주),화학섬유직물 직조업,"경상남도 양산시 어곡공단4길 21 (어곡동, 일성섬유)",화학섬유,이용우,055-384-4710,055-385-3147,10,2024-06-10
12530,양산시,일우산업,금속선 가공제품 제조업,경상남도 양산시 상북면 소토로 99 (일우산업) 외 1필지,포장용강선,전부일,055-374-4165,055-374-4166,4,2024-06-10
12531,양산시,일출산업,그 외 자동차용 신품 부품 제조업,경상남도 양산시 상북면 소토2길 8,차량호스 등,정미랑,055-386-6004,0303-3130-6002,24,2024-06-10
12532,양산시,일호강재,그 외 기타 1차 철강 제조업,경상남도 양산시 웅상대로 1579 (용당동),절단가공철강재 주름처리강재,박동환,055-367-0921,055-367-0920,5,2024-06-10
12533,양산시,입신정밀,주형 및 금형 제조업,경상남도 양산시 유산공단10길 43(유산동),금형,하동곤,055-382-6665,0504-424-5953,11,2024-06-10
12534,양산시,자연과사람은한몸,섬유제품 기타 정리 및 마무리 가공업 외 2 종,경상남도 양산시 하북면 녹동길 6-120,"염색천,도자기",최영자,055-374-2605,055-374-8809,13,2024-06-10
12535,양산시,자전사,전동기 및 발전기 제조업,경상남도 양산시 상북면 소토4길 29-14,모터,최익규,055-383-1984,055-383-1583,6,2024-06-10
12536,양산시,장원산업,목재 도구 및 주방용 나무제품 제조업,경상남도 양산시 웅상대로 1038 (주진동),주방용 및 식탁용 목제품,박경순,055-364-4102,,5,2024-06-10
12537,양산시,재광ENG,절삭가공 및 유사처리업,경상남도 양산시 영동1길 27 (산막동),금형 및 치공구,김상수외1명,055-375-3905,055-375-3906,1,2024-06-10
12538,양산시,재영모델,전시용 모형 제조업,"경상남도 양산시 덕계5길 7-12 (덕계동, 미예림어린이집)",자동차부품 검사구,박차연,055-388-4280,055-388-4723,8,2024-06-10
12539,양산시,재영정밀,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 양산시 번영로 59-25 (평산동),자동차 부품,안동균,,,12,2024-06-10
12540,양산시,재은정공,그 외 기타 분류 안된 금속 가공 제품 제조업,"경상남도 양산시 용당산단2길 62, , 용당일반산업단지 G-10 (용당동)","조선기자재, 철의장품",장말숙,055-912-0481,055-912-0482,14,2024-06-10
12541,양산시,전국종합정비공업사,건설 및 채광용 기계장비 제조업,경상남도 양산시 상북면 와곡4길 13,건설기계부품,제남길,055-374-3177,055-374-3877,7,2024-06-10
12542,양산시,정대목재,일반 제재업,경상남도 양산시 웅비공단길 58 (용당동),원목가공,이정남,055-385-3115,055-389-2105,8,2024-06-10
