순번,단지명,회사명,공장대표주소,업종명,전화번호,팩스번호,생산품
342,개별공장,비.투.록,경상남도 창녕군 대합면 모지길 11,일반철물 제조업,055-532-0783,,일반철물제조업
343,창녕대합일반산업단지,비엘코오퍼레이션,경상남도 창녕군 대합면 대합산업단지로 22-31,그 외 자동차용 신품 부품 제조업,055-532-3953,,자동차 부품
344,개별공장,삼성정기(주),경상남도 창녕군 창녕읍 창녕공단길 29,농업 및 임업용 기계 제조업 외 22 종,055-532-1164,055-532-0366,자동차부품+농기계부품 등 금속 판재등을 이용한 생산품
345,개별공장,삼송테크(주),경상남도 창녕군 대지면 도양새우등길 19,그 외 자동차용 신품 부품 제조업 외 2 종,055-532-2171,055-532-2572,자동차부품+철도차량부품+항공기부품
346,개별공장,삼우엔지니어링,경상남도 창녕군 계성면 신당리 73-13,금속 절삭기계 제조업,,,터빈발전기+코일제작용포밍머신+전기자동차 배터리관련 버스바포밍 등
347,창녕대합일반산업단지,삼우이피주식회사,경상남도 창녕군 대합면 대합산업단지로 22-20,그 외 자동차용 신품 부품 제조업,053-607-3060,053-614-8115,자동차 배기머플러 부품
348,개별공장,삼익에이치디에스주식회사,경상남도 창녕군 창녕읍 환곡어도로 131,기타 산업용 유리제품 제조업,053-719-3160,053-719-3170,PIR가공품+자외선 경화용 유리섬유 강화 플라스틱
349,개별공장,삼진모빌리티(주),경상남도 창녕군 장마면 영산장마로 37,그 외 자동차용 신품 부품 제조업 외 3 종,055-536-1545,055-536-1547,자동차용시동모타부품
350,개별공장,상원테크,경상남도 창녕군 도천면 도천리 643,그 외 기타 1차 철강 제조업 외 1 종,055-536-8211,,중장비부품+중장비부품
351,개별공장,새한식품(주),경상남도 창녕군 고암면 원촌어은길 42,면류·마카로니 및 유사식품 제조업 외 1 종,055-533-7901,055-533-3300,면류
352,개별공장,서울뉴세라믹스,경상남도 창녕군 장마면 신늪길 99,정형 내화 요업제품 제조업 외 1 종,055-536-2872,055-536-2873,부정형내화물
353,개별공장,선미식품주식회사,경상남도 창녕군 영산면 영산월령로 414-16,김치류 제조업 외 1 종,055-533-3030,055-532-6429,김치+장류
354,개별공장,성심마스타푸드,경상남도 창녕군 장마면 장마고곡로 177-52,장류 제조업 외 2 종,055-536-0745,055-536-0748,유자간장 소스
355,개별공장,성심마스타푸드,경상남도 창녕군 장마면 장마고곡로 177-52,식초·발효 및 화학 조미료 제조업 외 2 종,055-536-0745,055-719-9826,장류(간장)+소스
356,개별공장,세기산업,경상남도 창녕군 대합면 소야모전길 98-91,선박 구성 부분품 제조업,,055-806-7556,선박용 배관파이프+소규모철구조
357,개별공장,세명스틸,경상남도 창녕군 도천면 경남대로 3133,그 외 기타 금속가공업,,,가공철근
358,창녕대합일반산업단지,세현주식회사,경상남도 창녕군 대합면 합리 1420,그 외 자동차용 신품 부품 제조업,055-533-3830,053-617-3830,자동차용 밴드 케이블
359,개별공장,세화산업,경상남도 창녕군 성산면 정녕윗담길 5-10,비금속류 해체 및 선별업 외 1 종,055-532-2338,055-532-2338,섬유시멘트
360,개별공장,소금성,경상남도 창녕군 대합면 평지리 5-10,그 외 기타 분류 안된 비금속 광물제품 제조업 외 4 종,055-532-0028,055-532-1171,소금벽돌+소금보드+누룽지
361,개별공장,송강도예연구소,경상남도 창녕군 영산면 장척길 9,가정용 및 장식용 도자기 제조업,055-536-0999,055-536-0998,전통도자기+생활도자기
362,개별공장,수성산업,경상남도 창녕군 성산면 곽천대산로 292,레미콘 제조업 외 1 종,,,레미콘
363,개별공장,승보산업사,경상남도 창녕군 계성면 준공업단지길 32-8,무기 및 총포탄 제조업 외 16 종,055-521-7712,055-536-7719,동및동합금관
364,개별공장,시라준비,경상남도 창녕군 대합면 둔지길 29-12,특수 직물 및 기타 직물 직조업,055-532-2388,055-532-2388,폴리에스텔
365,개별공장,신광섬유산업,경상남도 창녕군 대합면 경남대로 5279-29,화학섬유직물 직조업,055-532-7959,055-532-7960,나일론+폴리에스텔+스판
366,창녕대지농공단지,신우중공업(주),경상남도 창녕군 대지면 대지농공단지길 6,액체 펌프 제조업 외 10 종,055-532-8300,055-532-8360,산업기계+펌프+크레인등
367,창녕대지농공단지,신우중공업(주),경상남도 창녕군 대지면 대지농공단지길 6,액체 펌프 제조업 외 10 종,055-532-8300,055-532-8360,수중펌프+수문+스크린+산업기계 외
368,개별공장,신창섬유,경상남도 창녕군 대합면 둔지길 29-12,특수 직물 및 기타 직물 직조업,,,섬유
369,개별공장,신화섬유,경상남도 창녕군 대합면 경남대로 5279-21,연사 및 가공사 제조업,055-532-7126,,스판/포리 직물
370,개별공장,씨알(주),경상남도 창녕군 영산면 죽사리 1456-8,혼성 및 재생 플라스틱 소재 물질 제조업,055-536-9911,055-536-9913,플라스틱배합원료
371,개별공장,씨엔주식회사,경상남도 창녕군 대지면 우포1대로 1315-3,일반용 전기 조명장치 제조업,055-533-0413,055-533-0416,LED보안등+LED가로등+점멸기
372,창녕대지농공단지,씨엔주식회사,경상남도 창녕군 대지면 대지농공단지길 20,일반용 전기 조명장치 제조업 외 1 종,055-533-0412,055-533-0416,LED 보안등가로등+경관조명+가로등자동점멸기+LED투광등+LED태양광가로등+배전반 및 전기자동제어반
373,개별공장,아리랑전기주식회사,경상남도 창녕군 계성면 영산계성로 556,전동기 및 발전기 제조업,055-714-7633,,태양광 모듈
374,개별공장,아이앤티엔지니어링(주),경상남도 창녕군 도천면 논리우강길 403,육상 금속 골조 구조재 제조업 외 1 종,,,TU보+TU DECK
375,개별공장,아이에스동서(주)창녕지점,경상남도 창녕군 대합면 우포2로 654,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,055-532-1801,055-532-5730,콘크리트파일
376,개별공장,에버코트,경상남도 창녕군 대합면 대동월포로 343-12,합성수지 및 기타 플라스틱 물질 제조업,055-532-5760,055-532-5438,농기계외형+플랜트부품
377,개별공장,에스비비주식회사,경상남도 창녕군 유어면 외부풍조로 189,그 외 기타 콘크리트 제품 및 유사제품 제조업 외 3 종,055-724-0204,055-342-0206,투수포장재
378,개별공장,에스엔티(S&T)인더스트리,경상남도 창녕군 대합면 이방리 470,기타 인쇄업 외 1 종,032-576-8250,,인쇄원단
379,개별공장,에스카(주),경상남도 창녕군 대지면 우포1대로 1355,합성섬유 제조업 외 3 종,055-533-0081,055-533-0026,PET 원사+폴리에스테르 스테이플 화이바(플라스틱 섬유+솜 등)
380,창녕대지농공단지,엘에스테크,경상남도 창녕군 대지면 대지농공단지길 24-32,농업 및 임업용 기계 제조업,055-532-4256,,농기계(작업기)부품-백호+그라플+파레트포크
381,개별공장,엘티에스코리아주식회사,경상남도 창녕군 계성면 명리길 58,증류기·열교환기 및 가스발생기 제조업,055-536-6191,,에어컨부품
382,개별공장,엠에스전자,경상남도 창녕군 도천면 도천중앙로 39-5,그 외 기타 전자부품 제조업 외 1 종,,055-536-1560,전자부품
383,개별공장,엠엔에스,경상남도 창녕군 대합면 수장퇴산로 83,기타 건축용 플라스틱 조립제품 제조업,,,플라스틱 건축 구조재+풀라스틱제 난간 등
384,개별공장,영남스틸(주),경상남도 창녕군 대합면 모전리 669-1,육상 금속 골조 구조재 제조업 외 1 종,055-532-8189,,가공철근(H빔)
385,개별공장,영남콘크리트,경상남도 창녕군 부곡면 수다리 14,콘크리트 타일·기와·벽돌 및 블록 제조업,055-521-0212,055-521-0210,벽돌+블록
386,개별공장,영농조합법인창녕도리원,경상남도 창녕군 영산면 온천로 103-25,김치류 제조업 외 1 종,055-521-6622,055-521-6621,짱아찌류
387,개별공장,영농조합법인창녕식품,경상남도 창녕군 대합면 용산대동로 10,기타 곡물 가공품 제조업,055-533-1656,055-533-0323,메주
388,개별공장,영농조합법인창녕식품,경상남도 창녕군 대합면 용산유산로 65,장류 제조업,055-533-1656,,고추장+된장+쌈장
389,개별공장,영농조합법인황금농원,경상남도 창녕군 이방면 이방로 483,기타 과실ㆍ채소 가공 및 저장 처리업,055-532-0629,055-532-0630,감가공품
390,개별공장,영주식품,경상남도 창녕군 계성면 영산계성로 326,김치류 제조업 외 1 종,055-521-6000,055-521-6003,김치류
391,개별공장,영진기계(주),경상남도 창녕군 창녕읍 창녕공단길 40,농업 및 임업용 기계 제조업,055-532-0871,055-532-0874,농업용기계
392,개별공장,영진유니버셜(주),경상남도 창녕군 창녕읍 창녕공단길 40,농업 및 임업용 기계 제조업,055-533-9771,055-533-9772,농업용기계+부품
393,개별공장,오에스농산(주),경상남도 창녕군 계성면 새못길 12,천연 및 혼합조제 조미료 제조업,055-521-8051,055-536-8051,고춧가루
394,개별공장,와이지(YG)산업,경상남도 창녕군 영산면 영산월령로 377,혼성 및 재생 플라스틱 소재 물질 제조업,055-526-2378,055-526-2379,합성수지분말
395,개별공장,와이케이중공업(주),경상남도 창녕군 영산면 월령공장길 99,육상 금속 골조 구조재 제조업 외 1 종,055-526-5126,,철구조물
396,개별공장,우남기업,경상남도 창녕군 영산면 신제리 629,농업 및 임업용 기계 제조업,055-536-4008,055-536-4009,농기계제조(바이스)
397,창녕대합일반산업단지,우리스틸주식회사,경상남도 창녕군 대합면 대합산업단지로 136-6,육상 금속 골조 구조재 제조업 외 1 종,055-533-3101,055-533-3102,절단품
398,창녕대합일반산업단지,우리스틸(주),경상남도 창녕군 대합면 대합산업단지로 120-25,육상 금속 골조 구조재 제조업 외 1 종,055-533-3101,054-382-3799,강관+각관+금속구조재
399,개별공장,우석조각연구원,경상남도 창녕군 계성면 명리 284,기타 석제품 제조업,,,불상+상석
400,창녕서리농공단지,우성테크놀주식회사,경상남도 창녕군 영산면 서리상촌길 307-33,그 외 자동차용 신품 부품 제조업 외 3 종,055-521-6545,055-521-6545,자동차부품
401,개별공장,우신농업회사법인(주),경상남도 창녕군 대지면 경남대로 4897-14,육류 포장육 및 냉동육 가공업 (가금류 제외),055-532-7876,055-532-7874,축산물
402,창녕대합일반산업단지,웰로텍,경상남도 창녕군 대합면 합리 1413-1,산업용 로봇 제조업 외 1 종,,053-802-7041,산업용 로봇+자동화기계
403,개별공장,위코(주),경상남도 창녕군 영산면 영산월령로 370,합성수지 및 기타 플라스틱 물질 제조업,,,패턴왁스
404,개별공장,유창케미칼,경상남도 창녕군 대합면 둔지길 29-22,플라스틱 필름 제조업 외 1 종,055-532-0502,055-532-0503,폴리에틸렌필름
405,개별공장,윤진푸드,경상남도 창녕군 영산면 영산월령로 414-16,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,055-536-7471,055-536-7472,돈까스
406,개별공장,이안건설,경상남도 창녕군 남지읍 낙동로 307,침구 및 관련제품 제조업 외 2 종,055-243-0829,055-221-2005,커튼+무대막+롤스크린
407,개별공장,인다산업,경상남도 창녕군 남지읍 낙동로 310,비금속류 해체 및 선별업 외 1 종,055-526-6246,055-526-6246,플라스틱재생원료
408,개별공장,일성정밀공업사,경상남도 창녕군 계성면 영산계성로 203,전기회로 개폐·보호장치 제조업 외 1 종,055-521-0500,055-536-4482,개폐및보호장치(마그네트 밸브 등)
409,창녕대합일반산업단지,일성테크,경상남도 창녕군 대합면 합리 1412-1,그 외 기타 금속가공업,055-532-5628,055-532-8628,약품분배기 프레임 가공품
410,개별공장,일진금속(주),경상남도 창녕군 창녕읍 창녕공단길 35,금속 열처리업,055-532-6488,055-532-6486,중장비부품
411,창녕대합일반산업단지,정림철강(주),경상남도 창녕군 대합면 합리 1411,기타 구조용 금속제품 제조업,055-806-7773,054-751-8590,C형관+각관
412,개별공장,정우건설기계,경상남도 창녕군 대합면 경남대로 5133,건설.광업용 기계 및 장비 수리업,,,어태치먼트
413,개별공장,정원식품,경상남도 창녕군 계성면 봉산관동2길 55,면류·마카로니 및 유사식품 제조업 외 1 종,,,국수
414,개별공장,정인섬유,경상남도 창녕군 성산면 대터공단길 55,화학섬유직물 직조업,055-532-1657,055-532-3902,M.C.C원단
415,창녕대합일반산업단지,정인정밀,경상남도 창녕군 대합면 대합산업단지로 38-45,절삭가공 및 유사처리업,053-383-0942,053-383-0943,자동차부품
416,창녕남지농공단지,정헌건설주식회사,경상남도 창녕군 남지읍 남지공단길 11,금속 문·창·셔터 및 관련제품 제조업,055-806-8067,055-806-8068,금속+문+창+셔터 및 관련 제품
417,개별공장,제이SK기계,경상남도 창녕군 남지읍 박진로 1695,기타 일반 기계 및 장비 수리업,,,수리농기계
418,개별공장,제이에프(주),경상남도 창녕군 창녕읍 여초리 707,합성섬유 제조업 외 3 종,,055-532-9601,PET원사+폴리에스테르 스테이플 화이바
419,개별공장,제이제이인터네셔널,경상남도 창녕군 도천면 도천중앙로 241,장류 제조업,070-8866-4021,,소스류
420,개별공장,제일케미텍(주),경상남도 창녕군 대합면 수장퇴산로 77,폴리스티렌 발포 성형제품 제조업 외 1 종,055-532-8705,055-532-8708,자동차공조기부품
421,개별공장,종합기계제작소,경상남도 창녕군 대합면 평지리 18-5,농업 및 임업용 기계 제조업 외 1 종,054-954-1404,,퇴비살포기+그레이더+농업용기계
422,개별공장,주식회사강원식품,경상남도 창녕군 창녕읍 탐하로 9-12,면류·마카로니 및 유사식품 제조업 외 4 종,055-532-1361,055-532-1851,냉면+육수+갈비탕 등
423,창녕남지농공단지,주식회사건원,경상남도 창녕군 남지읍 남지공단길 9,금속 문·창·셔터 및 관련제품 제조업,055-521-6355,055-327-8102,금속 문+창+셔터 및 관련제품 제조업
424,개별공장,주식회사광진,경상남도 창녕군 도천면 온천로 232,육상 금속 골조 구조재 제조업 외 1 종,055-521-0788,,철구조물+발전설비부품
425,개별공장,주식회사노아,경상남도 창녕군 영산면 신제로 97-48,육상 금속 골조 구조재 제조업,055-526-1581,,스텐난간
426,개별공장,주식회사다온모빌리티,경상남도 창녕군 대지면 도양새우등길 19,승용차 및 기타 여객용 자동차 제조업,02-517-0086,02-3462-2086,전기버스+전기트럭 외
427,개별공장,주식회사대현,경상남도 창녕군 대합면 소야모전길 27,어망 및 기타 끈 가공품 제조업,,053-616-7502,벌집망+안전망
428,창녕서리농공단지,주식회사대화포징,경상남도 창녕군 영산면 서리상촌길 307-15,금속 단조제품 제조업,055-521-4590,,자동차부품
429,개별공장,주식회사동명지오,경상남도 창녕군 유어면 내부곡길 89,특수 직물 및 기타 직물 직조업 외 2 종,,0504-331-2973,지오그리드
430,창녕대합일반산업단지,주식회사동아웰딩,경상남도 창녕군 대합면 대합산업단지로 38-32,그 외 기타 일반목적용 기계 제조업,,053-354-4986,용접기
431,개별공장,주식회사베인-1공장,경상남도 창녕군 영산면 서리상촌길 37,그 외 자동차용 신품 부품 제조업 외 3 종,070-7708-7727,,베어링+샤후드+폴+방진링
432,개별공장,주식회사베인-2공장,경상남도 창녕군 영산면 서리상촌길 37,그 외 자동차용 신품 부품 제조업 외 3 종,070-7708-7727,055-536-8823,배인
433,개별공장,주식회사벡터전자,경상남도 창녕군 창녕읍 창녕대로 138,기타 전기 변환장치 제조업 외 1 종,055-532-7779,055-532-1888,전자제품
434,개별공장,주식회사비에스상사,경상남도 창녕군 길곡면 낙동로 1091,천연 및 혼합조제 조미료 제조업,055-526-1002,055-526-1002,고춧가루
435,창녕대합일반산업단지,주식회사새한전자,경상남도 창녕군 대합면 대합산업단지로 136-19,항공기용 부품 제조업 외 4 종,055-533-0147,055-533-0149,항공기용 사출성형부품
436,창녕대합일반산업단지,주식회사에스디,경상남도 창녕군 대합면 대합산업단지로 68-43,기타 비철금속 제련·정련 및 합금 제조업,053-615-8060,053-614-6749,태양광금속제품+케이블트레이
437,개별공장,주식회사엘에스지,경상남도 창녕군 유어면 외부풍조로 189,그 외 기타 고무제품 제조업,055-294-8935,055-294-9180,고무칩
438,창녕대합일반산업단지,주식회사유림테크창녕2공장,경상남도 창녕군 대합면 대합산업단지로 120-37,자동차 엔진용 신품 부품 제조업,055-532-6257,055-532-6258,HPCU(MX5 Housing 외)
439,창녕대합일반산업단지,주식회사유림테크창녕공장,경상남도 창녕군 대합면 대합산업단지로 22-25,자동차 엔진용 신품 부품 제조업,055-532-6257,055-532-6258,HPCU(MX5 Housing 외)+친환경 자동차 부품
440,개별공장,주식회사유성,경상남도 창녕군 도천면 덕곡리 169-5,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,055-521-9387,,금속판 가공
441,개별공장,주식회사윤진에프엔에스,경상남도 창녕군 영산면 영산월령로 414-12,도시락류 제조업 외 1 종,055-536-5005,055-536-6006,김말이
442,개별공장,주식회사이음퍼니처,경상남도 창녕군 대합면 수장퇴산로 50,기타 목재가구 제조업 외 1 종,070-4185-1305,070-7614-3011,철제+목제 사무용가구
443,개별공장,주식회사케이아그로,경상남도 창녕군 대지면 우포1대로 1243,유기질 비료 및 상토 제조업,053-582-9815,053-582-9816,토탄바이오차(가명)+에코바이오차
444,개별공장,주식회사하늘샘푸드,경상남도 창녕군 남지읍 성사관동길 109,식물성 유지 제조업 외 3 종,055-521-7750,055-521-7760,국산참기름+들기름+들깨가루+양파+오미자고추장+오미자잼
445,개별공장,주식회사해드림엘피씨,경상남도 창녕군 대지면 효정리 432-1,육류 도축업(가금류 제외) 외 2 종,055-532-3260,055-532-3263,임가공품+임가공품+임가공품
446,창녕대합일반산업단지,주식회사화신금속,경상남도 창녕군 대합면 대합산업단지로 101,알루미늄 제련·정련 및 합금 제조업,055-532-2232,,알루미늄 합금제품
447,개별공장,주식회사효창산업,경상남도 창녕군 영산면 신제로 94 외 1,육상 금속 골조 구조재 제조업 외 1 종,,055-521-3040,철구조물
448,개별공장,주식회사벡터전자,"경상남도 창녕군 창녕읍 갈전1길 30, 제1동 제B103호, 제B104호",기타 전기 변환장치 제조업 외 1 종,055-532-7779,055-532-1888,전자제품(배터리충전기)
449,개별공장,주영산업,경상남도 창녕군 대합면 평지리 138-5,부직포 및 펠트 제조업,,,부직포
450,개별공장,주영산업,경상남도 창녕군 성산면 대터공단길 79,부직포 및 펠트 제조업,055-532-5551,,부직포(보온재+차단재)
451,개별공장,중앙하드너,경상남도 창녕군 대합면 수장퇴산로 112-18,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,055-532-1876,055-533-1878,칼라하드너+침투식하드너+그라우트재+수평재
452,개별공장,진성밸브,경상남도 창녕군 도천면 논리우강길 214,탭·밸브 및 유사장치 제조업,,,밸브
453,개별공장,진성산업,경상남도 창녕군 대합면 수장퇴산로 112-42,기타 구조용 금속제품 제조업 외 1 종,055-532-7696,055-532-7698,파렛트+철가공품+분체도장
454,창녕대합일반산업단지,진성테크,경상남도 창녕군 대합면 대합산업단지로 38-16,교통 신호장치 제조업 외 1 종,,055-533-1792,경보기능을 지닌 러버콘
455,개별공장,진영정공,경상남도 창녕군 남지읍 성사리 556-6,그 외 자동차용 신품 부품 제조업 외 4 종,,070-8282-7978,자동차부품+선박부품
456,창녕대합일반산업단지,진영테크,경상남도 창녕군 대합면 합리 1415-2,자동차용 금속 압형제품 제조업,,055-532-4351,BRKT류
457,창녕대합일반산업단지,진우정밀,경상남도 창녕군 대합면 합리 1412-3,절삭가공 및 유사처리업,055-533-2089,055-533-3079,금속가공제품+샤프트+조인트 등
458,개별공장,창녕군농협쌀조합공동사업법인,경상남도 창녕군 창녕읍 퇴천리 760-5,곡물 도정업,055-533-5263,055-533-5264,곡물
459,개별공장,창녕군농협쌀조합공동사업법인,경상남도 창녕군 영산면 영산월령로 129,곡물 도정업,055-533-5263,055-533-5264,곡물
460,개별공장,창녕농협고추가루공장,경상남도 창녕군 창녕읍 창녕장마로 751,천연 및 혼합조제 조미료 제조업,055-533-5263,055-533-5264,고추가루
461,개별공장,창녕벽돌공장,경상남도 창녕군 대지면 우포유어농로 634,콘크리트 타일·기와·벽돌 및 블록 제조업,055-532-8990,,블록
462,개별공장,천마농산,경상남도 창녕군 성산면 대터공단길 75,천연 및 혼합조제 조미료 제조업,055-532-5406,,고추가루
463,창녕대합농공단지,천안제과,경상남도 창녕군 대합면 대합공단길 40,빵류 제조업,055-532-3021,055-532-3091,빵+과자
464,개별공장,천옥코리아,경상남도 창녕군 대합면 도장골길 15-3,건강기능식품 제조업,,,산양삼 경옥로얄+환
465,개별공장,천우건설테크,경상남도 창녕군 대합면 소야모전길 35,육상 금속 골조 구조재 제조업 외 1 종,,,철근가공
466,개별공장,청명,경상남도 창녕군 대합면 둔지길 30-27,폴리스티렌 발포 성형제품 제조업 외 1 종,055-533-2366,055-532-8656,완충포장재
467,개별공장,케이엠피,경상남도 창녕군 유어면 우포1대로 285,기타 1차 비철금속 제조업,055-532-3843,,금속분말
468,개별공장,케이원스틸(주),경상남도 창녕군 대합면 모전로 277,철강선 제조업 외 3 종,,055-532-1144,용접철망
469,개별공장,케이피텍(주),경상남도 창녕군 도천면 치이골길 41-32,비금속류 해체 및 선별업 외 5 종,055-521-7757,055-521-5779,챠르+카본블랙+고무패드
470,개별공장,코리아정밀산업사,경상남도 창녕군 대합면 모지길 23,일반철물 제조업,055-532-5890,055-532-8834,정첩
471,개별공장,태영산업전기,경상남도 창녕군 장마면 강리길 67,배전반 및 전기 자동제어반 제조업,055-536-2153,055-536-2154,배전반+자동제어기
472,창녕대합일반산업단지,태진텍,경상남도 창녕군 대합면 대합산업단지로 22-37,탭·밸브 및 유사장치 제조업,,,밸브 및 유사장치
473,개별공장,태화산업,경상남도 창녕군 영산면 신제로 97-48,육상 금속 골조 구조재 제조업,0507-1324-1581,0504-375-1581,철구조물(휀스+도로시설물 등)
474,개별공장,토산ENG,경상남도 창녕군 성산면 창한로 278,육상 금속 골조 구조재 제조업 외 1 종,055-532-4840,,건설용철판
475,개별공장,트리메탈,경상남도 창녕군 도천면 영산도천로 96,기타 목재가구 제조업,,,책상+캐비넷
476,창녕대합일반산업단지,티아이에스,경상남도 창녕군 대합면 대합산업단지로 136-17,항공기용 부품 제조업 외 4 종,055-532-9927,055-532-9928,항공기용 사출성형부품(방산부품)+LCD TV 내외장재+자전거용 조명기구+생활일반용 전기조명장치
477,창녕대합농공단지,퍼시픽산업,경상남도 창녕군 대합면 대합공단길 26,플라스틱 필름 제조업 외 1 종,055-532-7210,055-584-7217,PE쉬트롤
478,개별공장,폴리테크,경상남도 창녕군 남지읍 아지리 177-2,그 외 기타 플라스틱 제품 제조업,,,통발부품
479,개별공장,풍성식품(주),경상남도 창녕군 영산면 도천중앙로 161,그 외 기타 식료품 제조업,055-521-2109,055-521-2110,조미식품용 간장원료
480,개별공장,풍성에프엔비주식회사,경상남도 창녕군 대합면 대동월포로 32-5,장류 제조업,055-806-8888,055-806-8889,간장류
481,창녕대합일반산업단지,프라이텍주식회사,경상남도 창녕군 대합면 대합산업단지로 22-37,탭·밸브 및 유사장치 제조업,050-2277-0770,070-2299-0770,밸브 및 유사장치
482,개별공장,피에스산업(주),경상남도 창녕군 고암면 간상길 292,설치용 및 위생용 플라스틱제품 제조업 외 1 종,055-533-8301,055-533-9301,FRP탱크 및 배관환경설비+기체여과기
483,개별공장,필드마스터(주),경상남도 창녕군 도천면 덕곡안길 8-36,그 외 기타 플라스틱 제품 제조업,055-521-9461,055-521-9465,인조잔디 
484,창녕대합농공단지,필드마스터(주),경상남도 창녕군 대합면 대합공단길 36-12,그 외 기타 플라스틱 제품 제조업,055-521-9461,055-521-9464,인조잔디
485,창녕송진농공단지,하이에어공조(주),경상남도 창녕군 도천면 적말길 27,선박 구성 부분품 제조업,055-340-5353,055-346-2902,선박 에어컨부분품
486,창녕송진농공단지,하이에어코리아(주),경상남도 창녕군 도천면 송진리 868,선박 구성 부분품 제조업,055-340-5139,055-346-3301,선박용 구성품
487,창녕송진농공단지,하이에어코리아(주),경상남도 창녕군 도천면 송진리 866,선박 구성 부분품 제조업 외 2 종,055-530-5034,055-530-8880,선박용 구성품
488,개별공장,한국기계부품(주),경상남도 창녕군 계성면 명리월평길 61-61,전기회로 개폐·보호장치 제조업 외 1 종,055-536-1220,055-536-4847,고압차단기부품 및 브레이크 제조
489,개별공장,한립기계,경상남도 창녕군 계성면 명리 432-1,전기회로 개폐·보호장치 제조업 외 1 종,055-521-1224,055-536-8875,개폐장치및보호장치
490,개별공장,한립물산,경상남도 창녕군 계성면 명리월평길 61-61,전기회로 개폐·보호장치 제조업 외 1 종,,055-536-2313,고압차단기부품 및 브레이크
491,개별공장,한맥용사촌,경상남도 창녕군 장마면 창녕장마로 257-39,일반 제재업,055-521-9901,055-521-9903,제재목
492,개별공장,한영그리드,경상남도 창녕군 대합면 수장퇴산로 40,플라스틱 접착처리 제품 제조업 외 3 종,055-533-2887,055-533-2888,그리드
493,창녕서리농공단지,해성정밀,경상남도 창녕군 영산면 서리상촌길 307-72,그 외 자동차용 신품 부품 제조업 외 3 종,055-536-6901,,조향장치
494,개별공장,해영사,경상남도 창녕군 남지읍 용산리 234-1,김치류 제조업 외 1 종,055-532-8125,055-536-8125,단무지
495,개별공장,현대기전,경상남도 창녕군 성산면 창한로 402,그 외 기타 식료품 제조업 외 1 종,055-532-0317,055-532-0317,마늘껍질자동탈피기+깐마늘
496,개별공장,협창공업,경상남도 창녕군 창녕읍 창밀로 228,카펫·마루덮개 및 유사제품 제조업,055-532-2301,,부직포
497,개별공장,형제수지,경상남도 창녕군 성산면 대터공단길 71,혼성 및 재생 플라스틱 소재 물질 제조업,055-532-3778,055-532-3772,재생칩
498,개별공장,혜원식품,경상남도 창녕군 장마면 장마고곡로 169,천연 및 혼합조제 조미료 제조업,,,혼합조미료
499,개별공장,호신농산,경상남도 창녕군 계성면 새못길 12,천연 및 혼합조제 조미료 제조업,055-521-8051,055-536-8051,고춧가루
500,개별공장,홍제식품,경상남도 창녕군 고암면 창밀로 320-1,그 외 기타 식료품 제조업,055-533-4123,,환류
501,개별공장,화성식품,경상남도 창녕군 계성면 명리월평길 6,면류·마카로니 및 유사식품 제조업 외 1 종,055-521-1224,055-521-1224,냉면
502,개별공장,화왕산식품,경상남도 창녕군 계성면 계성화왕산로 248,기타 곡물 가공품 제조업 외 1 종,055-521-6688,055-521-2345,메주+된장+청국장
503,개별공장,화인메탈(주),경상남도 창녕군 영산면 영산월령로 86,승강기 제조업 외 2 종,055-521-7898,055-521-7806,엘리베이트부품제작+산업용오븐+노 및 노용버너제작
504,창녕대합일반산업단지,회원정공,경상남도 창녕군 대합면 합리 1390,자동차 엔진용 신품 부품 제조업,055-587-9963,055-536-1720,자동차부품(sprocket 등)
505,개별공장,휴네이처(Hunature),경상남도 창녕군 대합면 수장퇴산로 112-16,그 외 기타 식료품 제조업 외 5 종,055-533-5888,055-533-5888,화장품+매트+바이오관련제품+연료+안료+천연액비+방역용소독기+농업용살균수제조장치
