회사명,전화번호,읍면동,주소,주력생산품,근로자수
만경산업,055-343-7149,한림면,경상남도 김해시 한림면 용덕로 103-14,금속피막처리,3
부일종합상사,055-345-5267,한림면,경상남도 김해시 한림면 김해대로1288번길 32,플랜지 보호용 커버링,3
은성몰드,010-****-****,한림면,경상남도 김해시 한림면 김해대로1499번길 26-3,건축용목제패널,3
정은테크,055-343-8396,한림면,경상남도 김해시 한림면 용덕로 100-22,가구선반 제작,3
예림가구,010-****-****,한림면,경상남도 김해시 한림면 용덕로 85,일반가구제작,3
신진테크,055-337-7642,한림면,경상남도 김해시 한림면 김해대로1271번길 24,용해로,3
현진이엔지,055-313-1539,한림면,경상남도 김해시 한림면 한림로 208-2,컨베이어제작,3
김해기어폴리,055-339-3132,한림면,경상남도 김해시 한림면 김해대로 1158-13,동력전달장치(기어),3
주식회사 성원철강,055-342-0027,한림면,경상남도 김해시 한림면 용덕로23번길 32-5,고철가공,3
신일산업사,055-345-9588,한림면,경상남도 김해시 한림면 용덕로111번길 8,골판지상자,3
청림테크,055-342-8143,한림면,경상남도 김해시 한림면 용덕로114번길 11-2,옷장제작,3
한일의료기돌침대,010-****-****,한림면,경상남도 김해시 한림면 용덕로114번길 12-3,돌침대,3
신등테크,010-****-****,한림면,경상남도 김해시 한림면 용덕로111번길 14-11,선박구성부분품제조,3
유승정밀,010-****-****,한림면,경상남도 김해시 한림면 용덕로 103-9 D동,자동차 미션부품,3
용민산업,055-343-5448,한림면,경상남도 김해시 한림면 용덕로111번길 14-9,금속 피막처리업,3
창조기업,010-****-****,한림면,경상남도 김해시 한림면 용덕로111번길 14-37,지게차보조발,3
현영테크,010-****-****,한림면,경상남도 김해시 한림면 김해대로 1200-1,선박배관라인부품,3
동성테크,055-346-7834,한림면,경상남도 김해시 한림면 용덕로111번길 11,산업기계호이스트,3
팩킹큐브,055-322-4552,한림면,경상남도 김해시 한림면 용덕로111번길 30-28,목재상자및파레트,3
신진,055-343-4351,한림면,경상남도 김해시 한림면 김해대로916번길 40-78,중장비부품,3
나경컴퍼니,055-346-5566,한림면,경상남도 김해시 한림면 김해대로916번길 104-40,도장피막처리,3
(주)유진정공 2공장,055-724-4267,한림면,경상남도 김해시 한림면 한림면 김해대로916번길 160,"조향장치,현가장치",3
(주)세광마린텍,055-314-4620,한림면,경상남도 김해시 한림면 김해대로916번길 104-17,오수처리장치,3
주식회사 대산에스앤피,010-****-****,한림면,경상남도 김해시 한림면 김해대로974번길130-20 ,조선기자재 철의장품,3
(주) 마스터,010-****-****,한림면,경상남도 김해시 한림면 가산로 66-1,금속절삭기계 제조,3
동일산업기계,055-346-4578,한림면,경상남도 김해시 한림면 가동로 9-24,산업용 냉동장비,3
대현정공,055-343-8118,한림면,경상남도 김해시 한림면 가산로 36,철구조물,3
창조메탈 주식회사,055-343-7404,한림면,경상남도 김해시 한림면 가동로 9-53,금속단조품,3
신한특수고무,055-345-3150,한림면,경상남도 김해시 한림면 가산로 4,세탁기부품(고무패킹),3
한경,055-337-0452,한림면,경상남도 김해시 한림면 장방로 41-12,파쇄기 제조,3
새론테크,010-****-****,한림면,경상남도 김해시 한림면 가산로 56-1,철도차량부품 대차(기차발통),3
신증산업,055-342-4963,한림면,경상남도 김해시 한림면 한림면 가동로 9-18,자동차부품 열처리,3
남부석재산업,055-332-6505,한림면,경상남도 김해시 한림면 가동로 83,"건축용 석제품,인테리어용",3
주식회사 남부스톤,055-332-6508,한림면,경상남도 김해시 한림면 가동로 83,"건축용 석제품,인테리어용",3
경성테크,055-346-4513,한림면,경상남도 김해시 한림면 가산로 114,자동차부품 쇼바,3
거창산업,055-346-7635,한림면,경상남도 김해시 한림면 가산로 107,금속스프링(대형트럭),3
(주)승진이앤지,055-342-8481,한림면,경상남도 김해시 한림면 가동로 128,철판절단,3
(주)아라테크,055-326-0081,한림면,경상남도 김해시 한림면 장방로 41-14,철골내화도장,3
(주)유진에코텍,055-342-8280,한림면,경상남도 김해시 한림면 가산로 24,철구조물 제조,3
주식회사 스톤팩토리,055-346-0225,한림면,경상남도 김해시 한림면 한림로 923,건축용 석자재,3
진명수출포장,055-343-0125,한림면,경상남도 김해시 한림면 가동로 9-24,목상자,3
태림,010-****-****,한림면,경상남도 김해시 한림면 가산로 56-4,금형제조(가전제품),3
성실산업,010-****-****,한림면,경상남도 김해시 한림면 한림로816번길 15,금속가공(선박의장품),3
준원레이저,055-342-7819,한림면,경상남도 김해시 한림면 장방로 45,금속 레이저절단(조선기자재),3
주식회사 거명인더스트리,055-342-8481,한림면,경상남도 김해시 한림면 가동로 128 C동,"금속레이저절단,절삭가공",3
기성,010-****-****,한림면,경상남도 김해시 한림면 장방로 136-26,주방용가구,3
신아테크,010-****-****,한림면,경상남도 김해시 한림면 장방로335번길 8-75,송풍기,3
(주)우성이엔씨,055-343-0962,한림면,경상남도 김해시 한림면 장방로 174-8 B,기계 설비제작 (크레인),3
(주)S.Y타워,051-961-1664,한림면,경상남도 김해시 한림면 한림로515번길 193,타워크레인,3
주식회사제이케이메탈,055-346-3054,한림면,경상남도 김해시 한림면 장방로 103,기계부품 금속선반가공,3
태경도장산업,055-345-1439,한림면,경상남도 김해시 한림면 장방로 121,금속표면처리 도장,3
화산,055-346-3711,한림면,경상남도 김해시 한림면 장방로 365,현관문제조,3
태경플라텍,010-****-****,한림면,경상남도 김해시 한림면 장방로 119,LG전자 냉장고 플라스틱사출,3
메리노엔지니어링,055-338-3121,한림면,경상남도 김해시 한림면 장방로 232-19,조선기자재의장품,3
혁식산업,010-****-****,한림면,경상남도 김해시 한림면 한림로515번길 224,유압기계제조(국방부),3
일광정밀,055-345-7050,한림면,경상남도 김해시 한림면 장방로 136-2,선박엔진부품 cnc가공,3
(주)광동테크,055-345-8928,한림면,경상남도 김해시 한림면 장방로 232-25,금속가공(철근),3
신록산업,055-267-5280,한림면,경상남도 김해시 한림면 장방로222번길 7,폐기물 파쇄기,3
(주)에스에이엔지니어링,055-342-9526,한림면,경상남도 김해시 한림면 장방로 170,공작기계(프레스기),3
명성테크,010-****-****,한림면,경상남도 김해시 한림면 장방로222번길 20,컨베이어장치,3
제이케이메탈,055-346-3054,한림면,경상남도 김해시 한림면 장방로 103,스핀들,3
현우,010-****-****,한림면,경상남도 김해시 한림면 장방로 113,금속가공(cnc가공),3
세진정밀,010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 56,자동차 엔진부품,3
경부인텍,055-345-9053,한림면,경상남도 김해시 한림면 김해대로927번길 60,플라스틱 성형,3
동영산업,055-342-3737,한림면,경상남도 김해시 한림면 김해대로927번길 181,쇼트 도장,3
(주)성덕중공업 2공장,055-345-5215,한림면,경상남도 김해시 한림면 김해대로927번길 179,선박용 배관파이프,3
정우목재,010-****-****,한림면,경상남도 김해시 한림면 한림로 334,파렛트,3
경성ENG,055-342-3737,한림면,경상남도 김해시 한림면 김해대로927번길 181,금속표면처리,3
홍익산업,055-346-0402,한림면,경상남도 김해시 한림면 김해대로927번길 258,조선기자재 도장,3
성광상사,010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 112,알루미늄주물,3
삼마자원,055-327-4835,한림면,경상남도 김해시 한림면 한림로343번길 39-22,pe펠렛,3
하나로ENG,010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 89-29,집진기 수리,3
은진산업,010-****-****,한림면,경상남도 김해시 한림면 한림로343번길 33-9,선박구성부분품,3
성현산기,055-346-3330,한림면,경상남도 김해시 한림면 김해대로927번길 145-56,선박 사다리,3
부경테크,055-345-6119,한림면,경상남도 김해시 한림면 김해대로927번길 87,pcb전자부품,3
우성,010-****-****,한림면,경상남도 김해시 한림면 김해대로1031번길 119,선박난간,3
다원테크,055-342-8731,한림면,경상남도 김해시 한림면 김해시 한림면 금관대로1031번안길 62-1 ,표면도장처리,3
영진산업,055-345-2750,한림면,경상남도 김해시 한림면 명동로 71,혼방직물 직물포대 일반피복,3
신화테크,055-346-3556,한림면,경상남도 김해시 한림면 용덕로132번길 28,스펀지(산업용박스 포장지),3
혜빈테크,010-****-****,한림면,경상남도 김해시 한림면 용덕로143번길 3, 문짝(아파트씽크대),3
(주)와이씨엠,010-****-****,한림면,경상남도 김해시 한림면 안하로 116번길 31-3,금속열처리 도장 피막처리,3
비제이(주),055-346-2484,한림면,경상남도 김해시 한림면 용덕로23번길 109-27 가동,선박구성부부품,3
경동화학,010-****-****,한림면,경상남도 김해시 한림면 명동로123번길 42-18 A동,제강용 복합탈산제(산화알루미늄),3
엠에이치세양,010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 89-22,단프라박스,3
김해철망,055-331-6120,한림면,경상남도 김해시 한림면 용덕로237번길 68-24,철망(메뤼벨트),3
덕산금속,070-8823-3346,한림면,경상남도 김해시 한림면 용덕로132번길 27,자동차 문짝,3
(주)명보테크,055-343-8801,한림면,경상남도 김해시 한림면 김해대로1031번길 68,건설장비 부분품 절단 및 절곡,3
제이엔엠,055-343-5565,한림면,경상남도 김해시 한림면 김해대로1099번안길 42-3,배관자재 파이프,3
(주)M1,010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 47,그리스펌프,3
(주)상우,055-345-3115,한림면,경상남도 김해시 한림면 김해대로1031번길 64,"금속가공업 탭, 밸브 유사 장치 제조업",3
명진자원,055-343-0458,한림면,경상남도 김해시 한림면 김해대로927번길 288,구리 알루미늄 고철,3
우주항공산업(주),055-345-8866,한림면,경상남도 김해시 한림면 김해대로1031번길 25,항공기 부품,3
유일테크,055-343-5334,한림면,경상남도 김해시 한림면 김해대로1031번안길 12-17,산업기계 부품 가공,3
청진테크,055-321-5708,한림면,경상남도 김해시 한림면 김해대로1099번안길 24,유압실린더 부품,3
해기산업기기,055-346-0912,한림면,경상남도 김해시 한림면 김해대로1031번길 106-50,선박 엔진 부품,3
삼원테크,010-****-****,한림면,경상남도 김해시 한림면 김해대로1099번안길 42-14,자동차 브라켓,3
윤성테크,055-343-1293,한림면,경상남도 김해시 한림면 김해대로927번길 10,유압 니플 가공,3
초계산업,055-345-3903,한림면,경상남도 김해시 한림면 김해대로1031번길 74,자동차 후렌지,3
이와,055-349-3999,한림면,경상남도 김해시 한림면 김해대로1099번길 106,덕트 제조,3
한길산업,055-345-0322,한림면,경상남도 김해시 한림면 김해대로1031번길 106-53,에어컨 부품,3
부경하이테크,010-****-****,한림면,경상남도 김해시 한림면 김해대로1099번안길 31,"검사구, 지그",3
삼모기업,010-****-****,한림면,경상남도 김해시 한림면 김해대로1099번길 73,산업기계 프레스류 가공,3
로즈캠핑,055-322-1323,한림면,경상남도 김해시 한림면 김해대로 995,캠핑카 침상키트,3
웰리스코리아,055-326-3344,한림면,경상남도 김해시 한림면 김해대로991번길 20,병원용 침구류,3
비케이(BK),010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 61,철도 차량 부품,3
지엘GL,010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 47,그리스펌프,3
티에스산업,055-342-3284,한림면,경상남도 김해시 한림면 김해대로1099번길 44,공작기계 절살 가공,3
주식회사 제이엠메탈,010-****-****,한림면,경상남도 김해시 한림면 김해대로1099번안길 42-3,배관자재,3
주식회사 대양산업,055-346-3979,한림면,경상남도 김해시 한림면 안곡로 323,생활가구,3
우림엔지니어링,010-****-****,한림면,경상남도 김해시 한림면 안곡로448번길 1-13 A,공장용 송풍기,3
주식회사아이엠하이드,055-343-3394,한림면,경상남도 김해시 한림면 안곡로448번길 1-30,유압실린더,3
라이브스폰지산업,055-346-5160,한림면,경상남도 김해시 한림면 안곡로 456,플라스틱 발포성형,3
유공SRP,055-345-4005,한림면,경상남도 김해시 한림면 안곡로492번길 5-8,자동차부품(고무패킹류),3
경남가구산업,055-343-2060,한림면,경상남도 김해시 한림면 안곡로448번길 1-29,원목가구 생활가구,3
시홍산업,055-321-6019,한림면,경상남도 김해시 한림면 안곡로492번길 24,"전사기,합포기등 제작",3
현광금속,010-****-****,한림면,경상남도 김해시 한림면 용덕로143번길 15,전기차 배터리주변품,3
금화테크,055-345-2465,한림면,경상남도 김해시 한림면 안곡로 337-2,제철산업기계 부품 가공,3
대성산업,055-345-1245,한림면,경상남도 김해시 한림면 안곡로 309,욕조세면기,3
청은산업,010-****-****,한림면,경상남도 김해시 한림면 용덕로 122-1,전자부품 산업용배관 고무패킹,3
태영정밀,055-346-7458,한림면,경상남도 김해시 한림면 용덕로143번길 39,산업기계 제어장치 엔진부품,3
세현테크,010-****-****,한림면,경상남도 김해시 한림면 용덕로111번길 14-15,절삭용공구제조,3
선우산업,070-4106-3850,한림면,경상남도 김해시 한림면 용덕로143번길 39,파이프 절단 용접,3
해주산업,055-345-1668,한림면,경상남도 김해시 한림면 안곡로448번길 1-42,플라스틱헤어밴드,3
성민테크,010-****-****,한림면,경상남도 김해시 한림면 김해대로 1415-20,자동차 부품 금속 절삭 가공,3
주식회사광덕스틸,055-345-1045,한림면,경상남도 김해시 한림면 김해대로1402번길 122-6,건축용 철구조물 생산,3
경일테크,055-345-3945,한림면,경상남도 김해시 한림면 김해대로1538번길 75,PTU 동력전달장치,3
아진프라스틱,055-342-2422,한림면,경상남도 김해시 한림면 김해대로1472번길 10-3,단프라 박스,3
부산목재포장,055-345-9188,한림면,경상남도 김해시 한림면 김해대로 1415-21,"수출용 나무상자, 파레트",3
주식회사 에이치케이,055-342-3466,한림면,경상남도 김해시 한림면 김해대로1402번길 122-6,선박 사다리,3
아담산업,055-345-3803,한림면,경상남도 김해시 한림면 김해대로1434번길 39-14 A동,냉장고 부품 플라스틱 제조,3
나무산업,010-****-****,한림면,경상남도 김해시 한림면 김해대로 1558-39,박판지 제조,3
선진산업,010-****-****,한림면,경상남도 김해시 한림면 김해대로1499번길 37,플라스틱 화살깃,3
에이원테크,055-344-2321,한림면,경상남도 김해시 한림면 김해대로 1415-22,금속 금형,3
동일산업,010-****-****,한림면,경상남도 김해시 한림면 김해대로1434번길 39-14 D동,자동차 부품(고무제),3
(주)건영금속,055-335-6160,한림면,경상남도 김해시 한림면 한림면 명동산단안길 55,철판절단 금속단조,2
우림가구,055-343-0470,한림면,경상남도 김해시 한림면 용덕로199번길 29-1, 목재 가구,2
유성테크,055-339-8258,한림면,경상남도 김해시 한림면 용덕로143번길 33,농기계 부품,2
대한오토,070-5020-8032,한림면,경상남도 김해시 한림면 명동로4번길 36-26,자동차 브레이크부품 제조,2
한림블럭,055-342-6677,한림면,경상남도 김해시 한림면 한림로 166,벽돌 블럭 제조,2
개락당,010-****-****,한림면,경상남도 김해시 한림면 명동로4번길 11,도자기,2
청우프라스틱,055-342-6646,한림면,경상남도 김해시 한림면 한림로116번길 11,플라스틱성형,2
안성기업,055-339-6620,한림면,경상남도 김해시 한림면 용덕로199번길 63,자동차부품플라스틱제품 제조(엔진),2
주식회사대흥섬유,055-346-5560,한림면,경상남도 김해시 한림면 용덕로199번길 32-89,수세미,2
대암정밀,055-338-7838,한림면,경상남도 김해시 한림면 명동로 54,자동차부품(동력전달축 카프링),2
이원원심기계,055-346-7188,한림면,경상남도 김해시 한림면 명동로60번길 15-27,원심 탈수기 기계부품 제조,2
신광금속,055-327-9220,한림면,경상남도 김해시 한림면 한림로 45-7,볼트 ,2
우림기계,010-****-****,한림면,경상남도 김해시 한림면 한림로46번길 68,동력장치제조(접착화학기계),2
아주테크,010-****-****,한림면,경상남도 김해시 한림면 용덕로143번길 40,중장비부품 절삭가공,2
두영정공,055-346-0833,한림면,경상남도 김해시 한림면 명동로 19,중장비 부품,2
영호테크,055-346-4485,한림면,경상남도 김해시 한림면 명동로63번길 5,테프론압착성형,2
선우 ENG,010-****-****,한림면,경상남도 김해시 한림면 한림로 78-16,산업 기계제작,2
(주)천일식품,055-346-3737,한림면,경상남도 김해시 한림면 한림로 72,쌀 조청 가공,2
일진전기,055-345-7187,한림면,경상남도 김해시 한림면 한림로 45-5,모터수리,2
다빈치교구(퍼니처),055-345-8805,한림면,경상남도 김해시 한림면 명동로4번길 24,목재 가구,2
신광쇼트기계,070-4197-0903,한림면,경상남도 김해시 한림면 한림로 103,표면 연마기 제조(쇼트 기계),2
뉴존테크,055-346-1847,한림면,경상남도 김해시 한림면 한림로 41,항온&항습조(열충격 시험기),2
명동산업,055-342-8877,한림면,경상남도 김해시 한림면 한림로 31,선박부품 용접가공,2
우헌기계,010-****-****,한림면,경상남도 김해시 한림면 김해대로 1102-77 B,산업용 가스탱크,2
광신금속,055-335-1672,한림면,경상남도 김해시 한림면 한림로46번길 16,강 주물 주조,2
진산산업,055-345-3531,한림면,경상남도 김해시 한림면 명동로4번길 15-26,스테인레스관 이음쇠,2
창성기업,055-345-9514,한림면,경상남도 김해시 한림면 명동로60번길 16,전자부품(플라스틱 사츨),2
HK,055-343-3562,한림면,경상남도 김해시 한림면 김해대로 1102-20,자동차부품(사출성형),2
삼광수지,010-****-****,한림면,경상남도 김해시 한림면 김해대로 1102-25,합성수지,2
신혜테크,010-****-****,한림면,경상남도 김해시 한림면 한림로 70-2,합성수지 우레탄,2
대한목재,055-328-3132,한림면,경상남도 김해시 한림면 용덕로199번길 30,목재 상자 제조,2
명품편백,055-346-5505,한림면,경상남도 김해시 한림면 용덕로 52,목재생활용품가구제작,2
유성ENG,055-345-0548,한림면,경상남도 김해시 한림면 김해대로1288번길 39-1,내화제,2
유정,010-****-****,한림면,경상남도 김해시 한림면 용덕로 100-21,냉장고 내장제 부품,2
현대중기,010-****-****,한림면,경상남도 김해시 한림면 김해대로 1178,지게차부품수리,2
다원디자인가구,010-****-****,한림면,경상남도 김해시 한림면 용덕로 108-15,가구제작,2
아미공간사랑디자인,055-343-1555,한림면,경상남도 김해시 한림면 용덕로111번길 15,주문가구제작,2
좋은나무,010-****-****,한림면,경상남도 김해시 한림면 용덕로 94-1,목재장식장,2
캣돌,010-****-****,한림면,경상남도 김해시 한림면 용덕로 82-12,애완용가구제작,2
성원싱크,010-****-****,한림면,경상남도 김해시 한림면 김해대로 1158-13,씽크대제작,2
태양그린쇼파가구,055-334-9281,한림면,경상남도 김해시 한림면 용덕로114번길 9,쇼파가구제작,2
에이치앤에스에스,055-345-8523,한림면,경상남도 김해시 한림면 용덕로 87,쇼파제조,2
포엠테크,010-****-****,한림면,경상남도 김해시 한림면 용덕로23번길 48-3,인덕션 히터,2
동명공업사,010-****-****,한림면,경상남도 김해시 한림면 용덕로 75,펌프다이절단가공,2
우영정밀,055-342-1516,한림면,경상남도 김해시 한림면 용덕로 70-1,유압부품절삭가공,2
수성정밀,055-342-9661,한림면,경상남도 김해시 한림면 용덕로23번길 48-7,밸브단조제조,2
성남건업,010-****-****,한림면,경상남도 김해시 한림면 용덕로 67,철구조물골조제조,2
(주)에프엔씨메탈,055-339-4567,한림면,경상남도 김해시 한림면 용덕로23번길 48-5,산업용파이프,2
라인테크,010-****-****,한림면,경상남도 김해시 한림면 김해대로1288번길 24-72,신발목형(인조목),2
구백폼테크,055-345-8491,한림면,경상남도 김해시 한림면 김해대로1288번길 39,우레탄발포스폰지제조,2
청유테크,055-345-6741,한림면,경상남도 김해시 한림면 용덕로 52-16,공기청정기(고무스폰지)부품제조,2
명성산업,010-****-****,한림면,경상남도 김해시 한림면 용덕로114번길 12-1,고무패킹제조,2
수안산업사,055-346-3295,한림면,경상남도 김해시 한림면 한림면 용덕로 219,pe.완충제,2
창원종합포장,055-346-5324,한림면,경상남도 김해시 한림면 용덕로114번길 5-1,종이박스,2
건설목공,055-346-0477,한림면,경상남도 김해시 한림면 김해대로1288번길 21,목문,2
아사히코리아산업,055-325-3895,한림면,경상남도 김해시 한림면 김해대로1271번길 16,불연섬유,2
섬진호이스트,055-326-7900,한림면,경상남도 김해시 한림면 김해대로 1175,호이스트제작설치,2
백두가구,010-****-****,한림면,경상남도 김해시 한림면 용덕로 108-15,주문용가구제작,2
해주산업,010-****-****,한림면,경상남도 김해시 한림면 용덕로111번길 30-28,자동차용브레이크 디스코로타,2
한빛테크,055-337-2204,한림면,경상남도 김해시 한림면 용덕로 75,공작기계제조,2
케이에스엠,010-****-****,한림면,경상남도 김해시 한림면 김해대로1288번길 31,특수강주물,2
한빛선테크,055-324-4367,한림면,경상남도 김해시 한림면 용덕로 75,공작기계제조,2
태성금속,055-325-3163,한림면,경상남도 김해시 한림면 용덕로 100-23,열교환기,2
세명호이스트,010-****-****,한림면,경상남도 김해시 한림면 용덕로111번길 13,호이스트제작설치,2
신광기계,055-343-9744,한림면,경상남도 김해시 한림면 용덕로 102,조선기자재부품 절삭가공,2
신성볼트공업,055-346-1112,한림면,경상남도 김해시 한림면 용덕로111번길 14-38,볼트,2
성혜테크,055-327-5346,한림면,경상남도 김해시 한림면 용덕로 82-5,공작기계케이스용접가공,2
광일산업기계,055-345-9364,한림면,경상남도 김해시 한림면 용덕로111번길 14-7,철구조물,2
제이 더블유 테크,010-****-****,한림면,경상남도 김해시 한림면 한림면 용덕로114번길 8,단열재,2
강남산업,055-345-8118,한림면,경상남도 김해시 한림면 김해대로1288번길 46,플라스틱시트.,2
창원포장,010-****-****,한림면,경상남도 김해시 한림면 용덕로114번길 5-1,종이박스,2
진영이앤지,055-322-0654,한림면,경상남도 김해시 한림면 한림면 용덕로23번길 32-9 ,케이블트레이(전기회로),2
에이치제이(HJ)테크,010-****-****,한림면,경상남도 김해시 한림면 한림면 김해대로1192-32 ,헬스기구제조,2
캐논메탈릭스,055-345-8111,한림면,경상남도 김해시 한림면 김해대로916번길 40-64,엘지 전자부품,2
골드클릭,010-****-****,한림면,경상남도 김해시 한림면 김해대로916번길 104-29보성기업 내,공장 자동화 기계,2
태영,010-****-****,한림면,경상남도 김해시 한림면 한림면 고모로 782-31,조선 기자재 -배관파이프 ,2
내쇼날테크,010-****-****,한림면,경상남도 김해시 한림면 한림면 고모로 782-19 ,조선중공업 클램프 ,2
예승산업,010-****-****,한림면,경상남도 김해시 한림면 김해대로916번길 78-1 ,공작기계 컨베이어 제작,2
유진엔지니어링주식회사,055-346-2777,한림면,경상남도 김해시 한림면 가동로103번길 11,토목기계 제조,2
범진금속,055-326-5563,한림면,경상남도 김해시 한림면 가동로 52,금속열처리(자동차부품),2
제이에스테크,010-****-****,한림면,경상남도 김해시 한림면 가산로 129,"선박엔진부품,자동차엔진부품 수리",2
마이러브펫,010-****-****,한림면,경상남도 김해시 한림면 한림로 943-16,목재소품 가구,2
동화정밀,055-346-2432,한림면,경상남도 김해시 한림면 장방로 217 A동,금속절삭가공(후렌지 기어),2
대원이엔지,055-345-1812,한림면,경상남도 김해시 한림면 가동로 69-18,금속 도장,2
농업회사법인 카라식품 주식회사,010-****-****,한림면,경상남도 김해시 한림면 한림로 954-4,과일 건조식품 제조,2
주식회사 와이제이,010-****-****,한림면,경상남도 김해시 한림면 가산로 56-4,금형제조,2
우진산업,010-****-****,한림면,경상남도 김해시 한림면 가산로 123-17,내화벽돌,2
한일면업,010-****-****,한림면,경상남도 김해시 한림면 한림로816번길 57-5,"솜,베개",2
보성정밀공업사,055-345-0493,한림면,경상남도 김해시 한림면 가산로 123-10,자동차부품 밋션,2
우광기계,055-337-0452,한림면,경상남도 김해시 한림면 장방로 41-12,"금속 압연기,압연기 롤 제조",2
엠케이테크(MK-TECH),010-****-****,한림면,경상남도 김해시 한림면 가산로 56-4,금형제조,2
승승산업,010-****-****,한림면,경상남도 김해시 한림면 장방로 217,금속절삭가공(후렌지 기어),2
타원테크,010-****-****,한림면,경상남도 김해시 한림면 가산로 107,건설기계등부품 CNC선반가공,2
동원수지,055-345-5159,한림면,경상남도 김해시 한림면 장방로 157-51,플라스틱 재생,2
한림특수목재건재,055-345-7453,한림면,경상남도 김해시 한림면 한림로 969,목 창호 제조,2
백석기업,010-****-****,한림면,경상남도 김해시 한림면 가동로 82-6,자동차부품 선반가공,2
X레이저,010-****-****,한림면,경상남도 김해시 한림면 한림로 1008-110,공작기계 (레이저 가공 )제조,2
(주)에이치앤테크,010-****-****,한림면,경상남도 김해시 한림면 가산로 48,산업기계 크레인,2
민테크,010-****-****,한림면,경상남도 김해시 한림면 한림로 1008-110,금속 펀칭가공,2
태성산업,055-346-4271,한림면,경상남도 김해시 한림면 가동로 69-11,선박부품 절삭가공,2
해성산업,010-****-****,한림면,경상남도 김해시 한림면 한림로816번길 15,금속가공(의장품),2
진성산업,055-342-9701,한림면,경상남도 김해시 한림면 장방로 17,금속절삭가공,2
진영스틸,010-****-****,한림면,경상남도 김해시 한림면 장방로 71,금속선반가공,2
현대정밀,055-342-2358,한림면,경상남도 김해시 한림면 한림로 943-25,자동차엔진부품 프레스,2
주식회사 지엠아이테크,010-****-****,한림면,경상남도 김해시 한림면 장방로 136-18,가스제관 용접처리,2
에스에이치(SH)산업,010-****-****,한림면,경상남도 김해시 한림면 한림로515번길 203-63 B동,선박용 철골조립구조재,2
태경이엔지,055-346-7043,한림면,경상남도 김해시 한림면 한림로515번길 167,금속용접가공,2
유덕PTC,055-337-0468,한림면,경상남도 김해시 한림면 장방로222번길 11,건조기제조,2
에프시에이FCA,055-345-3505,한림면,경상남도 김해시 한림면 한림로515번길 203-39,기계제조 설비구조철구조물,2
보성INC,055-343-2558,한림면,경상남도 김해시 한림면 장방로 230,육상금속골조구조재,2
정가네농원,055-346-0282,한림면,경상남도 김해시 한림면 장방로 221-158,메주(콩가공),2
남양정밀,010-****-****,한림면,경상남도 김해시 한림면 장방로 221-116,볼트,2
(주)남일목재,055-346-0027,한림면,경상남도 김해시 한림면 장방로222번길 4,수입합판,2
성진기공,010-****-****,한림면,경상남도 김해시 한림면 한림로515번길 203-63,금속용접처리가공,2
영진테크,010-****-****,한림면,경상남도 김해시 한림면 한림로515번길 203-63,금속절삭가공,2
금오이엔지ENG,055-238-6559,한림면,경상남도 김해시 한림면 장방로 266,방열기(핀튜브)제작,2
NH테크,010-****-****,한림면,경상남도 김해시 한림면 장방로 305 현석케미칼,플라스틱 비발포제 성형,2
성진산업,010-****-****,한림면,경상남도 김해시 한림면 장방로 289-1,금속절삭가공,2
씨엠아이,010-****-****,한림면,경상남도 김해시 한림면 장방로 80-1,금속가공(cnc가공),2
우성컨테이너,055-342-9422,한림면,경상남도 김해시 한림면 한림면 한림로515번길 111-7 ,컨테이너제조,2
인웰텍,010-****-****,한림면,경상남도 김해시 한림면 한림면 장방로 28 ,자동차부품 모터캡,2
세동정밀(주)한림공장,055-346-7595,한림면,경상남도 김해시 한림면 안하로116번길 52,선박용 파이프,2
엠케이기업,010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 86-12 디케이에이치(주) 내,하부프레임 용접,2
태영포장산업,055-326-0582,한림면,경상남도 김해시 한림면 김해대로927번길 66-31,포장기계,2
케이에스산업,055-343-0686,한림면,경상남도 김해시 한림면 김해대로1031번안길 80,조선기자재 사다리,2
한남로공업(주),055-343-1820,한림면,경상남도 김해시 한림면 김해대로927번길 78,산업용 오븐,2
종원ENG,055-345-2018,한림면,경상남도 김해시 한림면 한림로343번길 47-10,선박의 난간,2
동화테크,010-****-****,한림면,경상남도 김해시 한림면 김해대로927번길 54,산업기계부품 가공,2
성진정밀,055-342-8486,한림면,경상남도 김해시 한림면 한림로343번길 33-9 A동,금형제작,2
청우기계,055-346-3917,한림면,경상남도 김해시 한림면 김해대로927번길 227,산업기계 cnc제작,2
일신정공,051-805-9305,한림면,경상남도 김해시 한림면 금곡로81번길 29-26,금속도금,2
동남도장공사,010-****-****,한림면,경상남도 김해시 한림면 한림로343번길 33-37 A동,조선기자재 도장,2
남창산업,055-346-0402,한림면,경상남도 김해시 한림면 김해대로927번길 258,애나멜 도장,2
대웅개발,055-346-2757,한림면,경상남도 김해시 한림면 김해대로927번길 112-3,철골구조물,2
신영이엔씨ShinYoungEC,055-323-3095,한림면,경상남도 김해시 한림면 김해대로927번길 66-31 B B동,난간제조,2
