연번,구분,업체명,업체 주소,생산품,전화번호
1495,소기업,선진기공,인천광역시 부평구 항동로143번길 10-38 (일신동),"샤클, 턴버클, 후크, 기타",032-529-1331
1496,소기업,선진기업,"인천광역시 부평구 부평대로 301, 2층 214 (청천동, 남광센트렉스)",사출,032-363-3770
1497,소기업,선진모델,인천광역시 부평구 경인로1059번길 28 (부개동),모형완구,032-504-6222
1498,소기업,선진정밀,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",금형,032-583-6856
1499,소기업,선컴퍼니,"인천광역시 부평구 부평대로 337, 708호(청천동, 부평 제이타워3차 지식산업센터) 708호",경영컨설팅,
1500,소기업,선테크,"인천광역시 부평구 청천마차로 72, 2층 (청천동)",조명장치,032-506-0303
1501,소기업,성광엔지니어링,"인천광역시 부평구 부평대로 337, 6층 649호(청천동, 부평 제이타워3차 지식산업센터) 6층 649호 외 1필지",초경 세라믹 연마,032-503-4050
1502,소기업,성광정밀,"인천광역시 부평구 부평대로 283, 외7필지 B119호 (청천동)",자동차엔진부품,032-623-5400
1503,소기업,성림비전,"인천광역시 부평구 평천로255번길 13, 3층 306호(청천동) 3층 306호","자동화 기계 시스템, AI소프트웨어 개발",
1504,소기업,성림정밀,인천광역시 부평구 청천동 383-11번지,금형,032-666-8503
1505,소기업,성림정밀 제2공장,"인천광역시 부평구 부평대로 283, B동 9층 903 (청천동, 부평 우림라이온스밸리) B동 9층 903호",임대업,
1506,소기업,성민금속,"인천광역시 부평구 부평대로 301, 3층 321 (청천동, 남광센트렉스) 외 1필지","탭,밸브",032-623-7942
1507,소기업,성서종합조경(주),"인천광역시 부평구 평천로255번길 13, 11층 1117호(청천동) 11층 1117호",조경 설계 외,032-623-6411
1508,소기업,성신기전,인천광역시 부평구 일신로39번길 16-25 (일신동),배전반 및 자동제어반,032-512-3871
1509,소기업,성신종합상사,"인천광역시 부평구 부평대로 283, A동 6층 608B호(청천동, 부평우림라이온스밸리) A동 6층 608B호",판촉물,032-511-0266
1510,소기업,성심정밀,"인천광역시 부평구 부평대로 283, 외7필지 301호 (청천동)",금형,032-623-5445
1511,소기업,성심정밀,"인천광역시 부평구 부평대로 301, 2층 201-1 (청천동, 남광센트렉스)",인써트 팁,032-678-7873
1512,소기업,성우산업,"인천광역시 부평구 부평대로 283, 외 7필지 B 502호 (청천동)",부동산임대,
1513,소기업,성우산업,인천광역시 부평구 청농로64번길 43-8 (청천동),주방용품,032-518-6685
1514,소기업,성일 F.A,"인천광역시 부평구 부평대로 283, B동 B1층 B108호(청천동, 부평우림라이온스밸리) B동 B1층 B108호",자동제어반,032-715-5222
1515,소기업,성일인쇄,"인천광역시 부평구 부평대로 283, 외1필지 C 407호 (청천동)","스티커,라벨,메뉴얼",032-623-6255
1516,소기업,성지건축,"인천광역시 부평구 부평대로 283, B동 B2층 B234 (청천동, 부평 우림라이온스밸리)",건축설계,032-422-1812
1517,소기업,성지정밀,"인천광역시 부평구 새벌로 29, B1층 B110호(청천동) B1층 B110호","자동차용품, 배관부속부품, 악기부품",032-511-9508
1518,소기업,성지테크,"인천광역시 부평구 백범로577번길 20, 공장동 1층 141호 (십정동, 경인센타) 공장동 1층 141호",금형부품,032-330-9273
1519,소기업,성진고무,"인천광역시 부평구 부평대로 283, 외7필지 B105호 (청천동)",위생용품,032-549-6136
1520,소기업,성진보링,"인천광역시 부평구 부평북로 38-1(청천동, 성진정밀)",자동차 엔진 헤드,032-505-9593
1521,소기업,성진산업,인천광역시 부평구 장제로381번길 11-6 (갈산동),롤 브라인드 등,032-512-9421
1522,소기업,성진쇼파,인천광역시 부평구 경인로 1014 (부개동) 1층,직물을 이용한 키즈보호대 (쿠션) / (쇼파),032-505-0565
1523,소기업,성진크리베이션(주),"인천광역시 부평구 무네미로448번길 56, 하이테크관 307호 (구산동)",가스렌지 안전 가드,070-4153-3333
1524,소기업,성진테크,"인천광역시 부평구 부평대로 337, 9층 915호(청천동, 부평 제이타워3차 지식산업센터) 9층 915호",임대,
1525,소기업,성진테크,"인천광역시 부평구 부평대로 337, 3층 336호(청천동, 부평 제이타워3차 지식산업센터) 3층 336호",컨베이어 등,032-506-1347
1526,소기업,성한악기,인천광역시 부평구 평천로141번길 41 (청천동),악기가방,032-547-1201
1527,소기업,성호기업,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",엘리베이트 감속기,02-2671-5697
1528,소기업,성호제어기기 주식회사,인천광역시 부평구 안남로402번길 25 (청천동),"자동제어기기 부품, 수배전반용 스위치",032-504-2822
1529,소기업,세계정밀,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 B1층 B117호,자동차용 볼트,032-330-6357
1530,소기업,세광산업,"인천광역시 부평구 부평대로 337, 8층 803호(청천동, 부평 제이타워3차 지식산업센터) 8층 803호",컴퓨터,
1531,소기업,세기,,자동차 및 중장비 산업용 집진필터,032-439-7001
1532,소기업,세기유공압산업,"인천광역시 부평구 부평대로 283, 외7필지 101호 (청천동)",임대업,032-813-6216
1533,소기업,세륭산업기계,"인천광역시 부평구 부평대로 337, 2층 213호(청천동, 부평 제이타워3차 지식산업센터) 2층 213호",산업용 냉난방기 수리,
1534,소기업,세이쿡,"인천광역시 부평구 부평북로 376, 1층 (삼산동)","로스타, 직화후드",032-517-9233
1535,소기업,세인기술,"인천광역시 부평구 부평대로 301, 6층 620호 (청천동, 남광센트렉스)","Digi-Link,및 열차 냉난방기 콘트롤, 지하철신호등",032-363-3323
1536,소기업,세인이너패션,"인천광역시 부평구 부평대로 301, 남광센렉스 9층 915호 (청천동)",임대업,032-363-3421
1537,소기업,세종기획출력,인천광역시 부평구 평천로153번길 20 (청천동),"필름출력,실크망사견장,실크제판,인쇄기자재",032-529-8268
1538,소기업,세진,"인천광역시 부평구 부평대로 301, 7층 722 (청천동, 남광센트렉스)",정수기필터,
1539,소기업,세진상사,인천광역시 부평구 가좌로96번길 63 (십정동),"자동문, 강화도어",032-505-1742
1540,소기업,세진에스엠테크,인천광역시 부평구 청농로 31 (청천동),황동밸브 및 정수기 관련 제품,032-512-4462
1541,소기업,세진일렉트론,"인천광역시 부평구 부평대로 283, 207B호 (청천동)",임대업,032-323-7047
1542,소기업,세진정밀특수연마,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 340호,특수공구,032-515-5466
1543,소기업,세진정밀특수연마,"인천광역시 부평구 부평대로 337, 340호(청천동, 부평 제이타워3차 지식산업센터) 340호",초경,032-515-5466
1544,소기업,세진테크놀로지,"인천광역시 부평구 부평대로 337, 9층 902호(청천동, 부평 제이타워3차 지식산업센터) 9층 902호",실리콘노즐,
1545,소기업,소니아코리아(주),"인천광역시 부평구 부평대로 283, C동 5층 509호(청천동, 부평우림라이온스밸리) C동 5층 509호","유아 및 아동 의복, 액세서리, 캐릭터 상품 등",1644-5995
1546,소기업,소프트오가닉,"인천광역시 부평구 새벌로 29, 4층 418호(청천동, 부평테크노타워) 4층 418호","속옷, 잠옷",
1547,소기업,소프트하모니인터내셔널,"인천광역시 부평구 부평대로 283, 씨동 8층 802 (청천동, 부평 우림라이온스밸리)","점자안내판, 음성유도기, 장애인편의시설",032-329-1605
1548,소기업,솔라비토(주),"인천광역시 부평구 부평대로 283, B동 B2층 235 (청천동, 부평 우림라이온스밸리) B동 B2층 235호",공기식 태양열집열패널 및 프레임,02-585-2383
1549,소기업,송림기획,"인천광역시 부평구 부평대로 301, 9층 7호 (청천동, 남광센트렉스)","서적의 인쇄 출판물, 실사출력",032-589-0127
1550,소기업,송우어패럴,"인천광역시 부평구 부평대로 301, 3층 311호 (청천동, 남광센트렉스)",원단,032-516-0569
1551,소기업,수경화학,"인천광역시 부평구 부평대로 283, C동 B1층 B110 (청천동, 부평 우림라이온스밸리) C동 B1층 B110호",고무패킹,032-574-5124
1552,소기업,수기술,"인천광역시 부평구 백범로577번길 20, 321,322호(십정동, 경인센타)",전기배선,
1553,소기업,수박(SOOBAK),"인천광역시 부평구 부평대로 293, 10층 1011호(청천동)","디자인 컨텐츠, 커피용품(캐리어)",032-866-7179
1554,소기업,수박(SOOBAK),"인천광역시 부평구 부평대로 293, 10층 1011호(청천동, 부평테크시티)",제품 디자인 및 콘테츠 제작,032-866-7179
1555,소기업,수에너지(주),"인천광역시 부평구 무네미로448번길 56, 산학협력단 505호, 508호 (구산동, 폴리텍Ⅱ대학)",히트펌프 주변기기,032-715-5223
1556,소기업,수연테크,"인천광역시 부평구 평천로199번길 34, 1층 B-1호 (청천동)",반도체 부품,032-684-6657
1557,소기업,수인,"인천광역시 부평구 부평대로 301, 1동 5층 517 (청천동, 남광센트렉스)",소프트웨어개발,
1558,중기업,쉬즈홈,인천광역시 부평구 평천로 205 (청천동),침구,032-556-9752
1559,소기업,스마텍 주식회사,"인천광역시 부평구 안남로418번길 27, A동 210호 (청천동)",NC,032-506-0917
1560,소기업,스마트엔지니어링,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 630호,경영(물류) 컨설팅,
1561,소기업,스마트팩시스템,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 109,110호",포장기계,02-6299-7556
1562,소기업,스마티카,"인천광역시 부평구 부평대로 337, 7층 748호(청천동, 부평 제이타워3차 지식산업센터) 7층 748호",로봇,
1563,소기업,스웨이 주식회사,"인천광역시 부평구 부평대로 337, 12층 1207호(청천동, 부평 제이타워3차 지식산업센터) 12층 1207호",레터링 시트지,
1564,소기업,스윈(SWIN)컴퍼니,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1233호,부동산 임대,02-2607-7177
1565,소기업,스카이넷,"인천광역시 부평구 부평대로 283, C동 9층 910B호(청천동) C동 9층 910B호",소프트웨어 개발,
1566,소기업,스톰,"인천광역시 부평구 백범로577번길 20, 공장동 4층 446호 (십정동, 경인센타) 공장동 4층 446호","안내판, 표지판, 도로명주소표지판 등",032-777-6777
1567,소기업,스튜디오원스,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 537,538호",앨범,
1568,소기업,스포츠룩,"인천광역시 부평구 부평대로 283, 우림라이온스밸리 B-310호 (청천동)",의류,032-623-5007
1569,소기업,스피드가운,"인천광역시 부평구 새벌로 29, 1층 113호, 114호(청천동, 부평테크노타워) 1층 113호, 114호","컴퓨터자수, 유니폼, 단체복, 냉각튜브",032-525-0830
1570,중기업,승명실업(주),인천광역시 부평구 평천로255번길 23 (청천동),새상자(BOX),032-330-3401
1571,소기업,승진산업,"인천광역시 부평구 새벌로 29, 210호(청천동, 부평테크노타워) 210호",전자제품 금형,032-548-3731
1572,소기업,승현컨설팅 ,"인천광역시 부평구 부평대로 337, 6층 626호(청천동, 부평 제이타워3차 지식산업센터) 6층 626호",경영컨설팅,
1573,소기업,시대산업전자(주),"인천광역시 부평구 부평대로 283, 외7필지 1105호 (청천동)",슬래드스크류,032-566-4607
1574,소기업,시루방아,"인천광역시 부평구 부평대로 301, 2층 218호 (청천동) 2층 218호",떡,
1575,소기업,시스템,"인천광역시 부평구 부평대로 283, C동 12층 1209 (청천동, 부평 우림라이온스밸리)",임대업,032-238-0404
1576,소기업,시스템,"인천광역시 부평구 부평대로 283, A동 3층 311 (청천동, 부평 우림라이온스밸리) A동 3층 311호",부동산 임대,032-238-0404
1577,소기업,시스템,"인천광역시 부평구 부평대로 283, C동 7층 701,702,703,703B,704,704B호(청천동, 부평우림라이온스밸리) C동 7층 701,702,703,703B,704,704B호",소프트웨어 개발,033-238-0404
1578,소기업,시스템 2공장,"인천광역시 부평구 부평대로 283, C동 6층 605호 (청천동, 부평 우림라이온스밸리) C동 6층 605호",부동산 임대,032-238-0404
1579,소기업,시스템 3공장,"인천광역시 부평구 부평대로 283, A동 5층 505호 (청천동, 부평 우림라이온스밸리)",임대업,
1580,소기업,시스템3공장,"인천광역시 부평구 부평대로 283, A동 5층 504호 (청천동, 부평 우림라이온스밸리)",임대업,032-238-0405
1581,소기업,시은소,"인천광역시 부평구 부평대로 337, 11층 1118호(청천동, 부평 제이타워3차 지식산업센터) 11층 1118호 외 1필지",네임스티커 등,
1582,소기업,시즈더데이,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 7층 701호,임대업,
1583,소기업,신기산업,"인천광역시 부평구 가재울로 129, 103호 (십정동, 테크노1공장)",금형,032-577-8154
1584,소기업,신기에스지,"인천광역시 부평구 평천로255번길 13, 4층 403호 (청천동) 4층 403호","스피커, 음향센서 ",
1585,소기업,신도기전,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",수배전반,032-576-7510
1586,소기업,신도부평사무기,인천광역시 부평구 부평대로 337 (청천동) 234호,컴퓨터 운영관련 서비스,032-524-8572
1587,소기업,신도실업(주),인천광역시 부평구 부평대로313번길 84 (청천동),부동산임대,032-503-0982
1588,소기업,신명기업(주),"인천광역시 부평구 백범로578번길 65, 경남도금단지 103호 (십정동)","의류부자재, 단추 등",032-330-7125
1589,소기업,신성기계,인천광역시 부평구 부평북로 56 (청천동),자동화기계,032-330-3551
1590,소기업,신성기전,"인천광역시 부평구 부평대로 283, C동 비층 228호 (청천동, 부평 우림라이온스밸리)","전기, 자동제어 및 수배전반 판넬",032-623-5780
1591,소기업,신성애드컴,"인천광역시 부평구 부평대로 337, 12층 1258호(청천동, 부평 제이타워3차 지식산업센터) 12층 1258호",광고물,
1592,소기업,신성엘리베이터(주),"인천광역시 부평구 영성중로 50, 미래타워 201 (삼산동)","엘리베이터 기판 및 전기제품, 외장품",032-343-6548
1593,소기업,신성정밀(주),인천광역시 부평구 백범로604번길 30 (십정동),휴대폰 스라이드,032-343-0553
1594,소기업,신세계정밀,"인천광역시 부평구 부평대로 283, A동 5층 503 (청천동, 부평 우림라이온스밸리) A동 5층 503호",임대업,032-623-6678
1595,소기업,신아기계,인천광역시 부평구 구산동 1-3번지,"콘베이어,탱크",032-502-4448
1596,소기업,신아산업,인천광역시 부평구 백범로578번길 70 (십정동),"수전금구도금, 자동차용품, 필기구",032-527-1649
1597,소기업,신아테크,"인천광역시 부평구 부평대로 337, 7층 741호(청천동, 부평 제이타워3차 지식산업센터) 7층 741호",전기 판넬,
1598,소기업,신영산업,인천광역시 부평구 평천로141번길 34 (청천동),정수기부품,032-519-8092
1599,소기업,신영순,"인천광역시 부평구 부평대로 283, C동 1층 108B호(청천동, 부평우림라이온스밸리) C동 1층 108B호",부동산 임대 ,032-512-5627
1600,소기업,신용정밀,인천광역시 부평구 평천로 59-1 (청천동),"금형,사출품(도마)",032-524-7156
1601,소기업,신우몰드(주),인천광역시 부평구 안남로402번길 84 (청천동),몰드베이스,032-505-7166
1602,소기업,신우시스템(주),인천광역시 부평구 백범로 597 (십정동),"열회수환기시스템,송풍기,열교환장치,금속울타리용 철물,조립식 구조물",032-583-2477
1603,중기업,신우이앤에스,"인천광역시 부평구 부평대로 293, 부평테크시티 1210호 1211호 1212호 1213호 1214호 (청천동)",학생복 및 유니폼,070-8667-0087
1604,소기업,신우정공,"인천광역시 부평구 새벌로 29, 5층 516호, 517호(청천동, 부평테크노타워) 5층 516호, 517호",실크인쇄,
1605,소기업,신우테크,"인천광역시 부평구 부평대로 283, B동 2층 7호 (청천동, 부평 우림라이온스밸리) 외 1필지",금형부품가공,032-623-7899
1606,소기업,신우테크,"인천광역시 부평구 부평대로 283, A동 3층 308B, 309, 310 (청천동, 부평 우림라이온스밸리)",전자부품 표면 실장 처리,032-623-6815
1607,소기업,신우테크,"인천광역시 부평구 부평대로 283, C동 12층 1209 (청천동, 부평 우림라이온스밸리)",블랙박스,032-623-6814
1608,중기업,신우통상(주),"인천광역시 부평구 부평대로 293, 1층 B101~2 B114~5 B116 B116-1호(청천동, 부평테크시티) 1층 B101~2 B114~5 B116 B116-1호","남성정장, 근무복, 유니폼 등",032-279-0121
1609,소기업,신의엔텍(주),인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 B동 202호,"밸브, 센서, 압력스위치",032-503-3796
1610,소기업,신의테크놀러지,"인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 B동 B1층 B116호, B117호,B118호","보일러, 정수기 부품",032-503-3796
1611,소기업,신일,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1210호,기계공학설계,032-362-6608
1612,소기업,신진ENG,"인천광역시 부평구 부평대로 283, C동 203B호, 204호, B237호 (청천동)",밸브부품,032-623-5920
1613,소기업,신창산업,"인천광역시 부평구 부평대로 283, 씨동 1층 106 (청천동, 부평 우림라이온스밸리)",금형,032-675-0471
1614,소기업,신한산업,인천광역시 부평구 부평북로 301 (갈산동),고무 / 실리콘 제품,032-508-4210
1615,중기업,신한일전자(주),인천광역시 부평구 경인로 1123 (일신동),"탈수기,모타,카바(케이스)",032-502-0824
1616,소기업,신한테크,"인천광역시 부평구 평천로 51, 신한테크 (청천동)","도전성 필름, 대전방지 필름, 난연필름",032-528-6167
1617,소기업,신화와이어컷팅,"인천광역시 부평구 주부토로 236, A동 404호(갈산동, 인천테크노밸리 U1센터) A동 404호","프레스/사출 금형, 반도체/로봇 부품, 특수 전선 외",
1618,소기업,신화정밀,인천광역시 부평구 백범로577번길 15-16 (십정동),"사출금형, 의료기기사출품",032-322-5828
1619,소기업,신흥테크(주),"인천광역시 부평구 평천로255번길 13, 7층 705호, 706호 (청천동) 7층 705호, 706호","변압기, 철도용 미니본드",032-523-3568
1620,소기업,신흥프라스틱,"인천광역시 부평구 부평대로 301, 2층 213호 (청천동, 남광센트렉스)",칫솔 및 주방용품,032-514-6921
1621,소기업,싸인종합광고,"인천광역시 부평구 평천로255번길 13, 3층 307호 (청천동) 3층 307호","스크린 인쇄,  기타 인쇄물",032-512-3232
1622,소기업,쌍마공업,인천광역시 부평구 서달로320번길 16 (청천동),호이스트부품,032-330-6410
1623,소기업,써니북스,"인천광역시 부평구 새벌로 45, 2층 (청천동)",서적,070-8098-3770
1624,소기업,썬의지보조기의료기,"인천광역시 부평구 부평대로 337, 5층 526호(청천동, 부평 제이타워3차 지식산업센터) 5층 526호",의수족,032-517-8982
1625,소기업,썬쥬얼리,"인천광역시 부평구 부평대로 283, A동 7층 710 (청천동, 부평 우림라이온스밸리)",컨베이어,
1626,소기업,썬테크,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 752호,전자부품,032-574-2603
1627,소기업,썬텍,"인천광역시 부평구 부평북로 245, 4층(청천동, 레드런)(청천동)","멤브레인 스위치, 발열체",032-584-9591
1628,소기업,쏘브라이트 컴퍼니,"인천광역시 부평구 부평대로 337, 11층 1127호(청천동, 부평 제이타워3차 지식산업센터) 11층 1127호",부동산임대,02-6951-0002
1629,소기업,씨앤피테크,"인천광역시 부평구 부평대로 293, 11층 1110호, 1112호(청천동, 부평테크시티)",전자부품수리,032-554-6500
1630,소기업,씨앤피테크 2공장,"인천광역시 부평구 부평대로 293, 부평테크시티 1112호 (청천동)",전자부품수리,070-8771-6444
1631,소기업,씨에스디,"인천광역시 부평구 부평대로 301, 남광센트렉스 403호 (청천동)",반도체장비,
1632,소기업,씨에스프리시전,인천광역시 부평구 서달로298번길 98 (청천동) 1층,금형,032-710-3925
1633,소기업,씨엑스에스트레이드(CXS Trade),"인천광역시 부평구 부평대로 337, 6층 606호(청천동, 부평 제이타워3차 지식산업센터) 6층 606호",포장,
1634,소기업,씨엔에스,"인천광역시 부평구 부평대로 283, C동 1층 101 (청천동, 부평 우림라이온스밸리)","PLC,HMI프로그램",
1635,소기업,씨오컴퍼니,"인천광역시 부평구 부평대로 337, 326호(청천동, 부평 제이타워3차 지식산업센터) 326호",실내인테리어 디자인,
1636,소기업,씨티에프글로벌(CTF GLOBAL),"인천광역시 부평구 부평대로 337, 4층 437호(청천동, 부평 제이타워3차 지식산업센터) 4층 437호 외 1필지",부동산 임대,
1637,소기업,씨티엔에스(주),"인천광역시 부평구 부평대로 301, 7층 703 (청천동, 남광센트렉스)",자동화설비,032-363-3744
1638,소기업,씽큐텍,"인천광역시 부평구 부평대로 337, 8층 810호(청천동, 부평 제이타워3차 지식산업센터) 8층 810호 외 1필지",유공압기기,
1639,소기업,아가피토,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 2층 206호,금속가공(관이음쇠 연결고리),
1640,소기업,아도마,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 743호,"현판, 명판",02-2263-9895
1641,소기업,아륙엔지니어링,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 320호,"배전기부품, 판넬",02-2617-4875
1642,소기업,아름다운세상,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 424호,아크릴제품 디자인,
1643,소기업,아리,인천광역시 부평구 무네미로448번길 56 (구산동) 한국폴리텍Ⅱ대학 하이테크관 502호,우산,032-527-2447
1644,소기업,아리수 테크,"인천광역시 부평구 새벌로 29, 2층 212호(청천동, 부평테크노타워) 2층 212호",다이아몬드 절삭공구,032-673-6779
1645,소기업,아마노코리아(주) 인천지사,"인천광역시 부평구 부평대로 283, A동 7층 702 (청천동, 부평 우림라이온스밸리) A동 7층 702호",시스템소프트웨어,032-893-2100
1646,소기업,아셀메탈,"인천광역시 부평구 부평대로 301, B층 108호 (청천동, 남광센트렉스)","기계부품, 세차기체인, 수전부품",032-508-0360
1647,소기업,아시아산업,"인천광역시 부평구 세월천로25번길 14, 가동 1층 (청천동)",블라인드,032-508-4887
1648,소기업,아시아케미칼(주),인천광역시 부평구 안남로 391 (청천동),"혼합가스 및 산업용가스수,주입계기",032-525-0080
1649,소기업,아쎈코리아(주),"인천광역시 부평구 장제로38번길 30-2 (부평동, 경원빌딩)","감초, 당귀, 천궁, 보궁초 외39",032-501-7667
1650,소기업,아영섬유(주),인천광역시 부평구 평천로53번길 15 (청천동),편직내의 직물,032-501-7770
1651,소기업,아영섬유(주),인천광역시 부평구 부평북로178번길 2 (청천동),원단,032-501-7770
1652,소기업,아울게임즈(주),"인천광역시 부평구 부평대로 293, 9층 901호(청천동, 부평테크시티)",모바일게임 개발 및 공급,
1653,소기업,아이디어,"인천광역시 부평구 부평대로 337, 11층 1111호(청천동, 부평 제이타워3차 지식산업센터) 11층 1111호",피규어,032-266-3411
1654,소기업,아이로봇,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 835,836호",이동통신 소프트웨어 개발,
1655,소기업,아이북스,인천광역시 부평구 부평대로329번길 21 (청천동),"제첵업, 전자카드제조업, 자석및자석제품 제조업",032-330-3713
1656,소기업,아이비클럽부평점,"인천광역시 부평구 부평대로 283, 외7필지 B B106호 (청천동)","학생복,유니폼",
1657,소기업,아이솔루션,"인천광역시 부평구 백범로577번길 20, 경인센타 618호 (십정동)",인쇄,032-582-7085
1658,소기업,아이스냉동산업,"인천광역시 부평구 부평대로 283, C B223호 (청천동)","냉동고,냉동기 유니트",
1659,소기업,아이에스시스템(주),"인천광역시 부평구 부평대로 283, C동 4층 404B호(청천동, 부평우림라이온스밸리) C동 4층 404B호","전자칠판, 전자교탁, 영상음향기기, 비대면플랫폼",070-7624-7200
1660,소기업,아이엔씨테크노,"인천광역시 부평구 새벌로 29, 3층 301호, 302호(청천동, 부평테크노타워) 3층 301호, 302호",커넥타,032-545-1411
1661,소기업,아이온테크,"인천광역시 부평구 부평대로 337, 8층 830호(청천동, 부평 제이타워3차 지식산업센터) 8층 830호",무선통신기기,032-504-4475
1662,소기업,아이즈빌 토파,"인천광역시 부평구 부평대로 301, 9층 917호 (청천동, 남광센트렉스)",오토몰프로그램,032-362-3700
1663,소기업,아이케이(IK)서비스,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 631호,부동산 임대,
1664,소기업,아이키 인터내쇼날,"인천광역시 부평구 부평대로 283, B동 5층 504호 (청천동, 부평 우림라이온스밸리) B동 5층 504호",계측기,032-503-4444
1665,소기업,아이키 인터내쇼날,"인천광역시 부평구 부평대로 337, 4층 417호(청천동, 부평 제이타워3차 지식산업센터) 4층 417호",부동산 임대,032-503-5444
1666,소기업,아이키코퍼레이션,"인천광역시 부평구 부평대로329번길 62, 3층 (청천동, 청천동 427-20 공장 (주식회사오디에이테크)",전기저항기,070-5032-2905
1667,소기업,아이피엘엠에스(주),"인천광역시 부평구 부평대로 337, 7층 734호(청천동, 부평 제이타워3차 지식산업센터) 7층 734호","PLM, MES 등",070-7773-1212
1668,소기업,아인스토어,"인천광역시 부평구 새벌로 29, 5층 512호(청천동, 부평테크노타워) 5층 512호","디자인물 제작, 광고업무 대행, 포장 대행",
1669,소기업,아인즈팩토리,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 204호,기계부품,
1670,소기업,아진솔루션,"인천광역시 부평구 백범로577번길 20, 613호(십정동, 경인센타)",난방 구동기,
1671,소기업,아쿠아블루,"인천광역시 부평구 부평대로 301, 9층 923호(청천동, 남광센트렉스) 9층 923호",콘텐츠 제작,
1672,소기업,아텍시스템,인천광역시 부평구 안남로369번길 18 (청천동),"반도체제조용 장비, sputter, CVD, Encher ",032-508-8060
1673,소기업,아톤기술(주),"인천광역시 부평구 주부토로 236, 제B동 13층 1311호(갈산동) 제B동 13층 1311호 외 1필지","등명기, 충방전조절기",032-265-0030
1674,소기업,아트윈피복,"인천광역시 부평구 부평대로 283, 711호(청천동, 부평우림라이온스밸리) 711호 외 4필지",근무복제조,032-623-5075
1675,소기업,알뜰랜드,인천광역시 부평구 부평대로 337 (청천동) 1033호,"제품디자인, 포장및충전, 의자",
1676,소기업,알에프리더,"인천광역시 부평구 주부토로 236, 제디동 15층 1503호(갈산동) 제디동 15층 1503호",무선 자동 수위 조절기,032-584-8467
1677,소기업,알텍코리아,"인천광역시 부평구 부평대로 283, B동 B1층 B122호(청천동, 부평우림라이온스밸리) B동 B1층 B122호","환경오염방지기계, 환경오염방지시설 외",032-623-5565
1678,소기업,알텍코리아,"인천광역시 부평구 부평대로 283, C동 B층 132호 (청천동, 부평 우림라이온스밸리)",폴리머자동용해장치,
1679,소기업,애니테크,"인천광역시 부평구 부평대로 337 (청천동) 220,221,222호",롤재단기,032-363-4595
1680,소기업,애니테크,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 B1층 B112-2호,롤 재단기,032-363-4595
1681,소기업,앤파이브,"인천광역시 부평구 부평대로 283 (청천동, 부평 우림라이온스밸리) 씨동 6층 601호 씨동 6층 601호","건축설계, 건축인테리어 등",
1682,소기업,앰코테크놀로지코리아(주),인천광역시 부평구 안남로418번길 64 (청천동),임대업,032-540-3213
1683,소기업,야미,"인천광역시 부평구 청농로 53,  70 (청천동)","만두, 닭강정",032-515-0835
1684,소기업,양지사람들,"인천광역시 부평구 새벌로 28, 3층 (청천동)",침구,032-543-8467
1685,소기업,양지산업,인천광역시 부평구 청농로64번길 30 (청천동),실리콘,032-549-7583
1686,소기업,어드밴텍케이알(주),인천광역시 부평구 새벌로 5(청천동),"산업용 컴퓨터, CCTV 영상, 응용소프트웨어 개발",02-3660-9251
1687,소기업,어썸디자인,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 918호,"인쇄,출력디자인(옥외용)",
1688,소기업,업모스트(UPMOST),"인천광역시 부평구 부평대로 337, 10층 1008호(청천동, 부평 제이타워3차 지식산업센터) 10층 1008호",업사이클링 잡화,
1689,소기업,업브레인,"인천광역시 부평구 부평대로 337, 9층 935호(청천동, 부평 제이타워3차 지식산업센터) 9층 935호 외 1필지",부동산 임대,
1690,소기업,에믹스,"인천광역시 부평구 열우물로 147, 2층 201호(십정동)",전자파 차폐 코팅,032-812-4958
1691,소기업,에버존,"인천광역시 부평구 새벌로 44, 416 (청천동)","휴대폰,전자부품",032-327-4601
