순번,회사명,공장대표주소,전화번호,팩스번호,생산품,업종명
338,바스텍코리아,인천광역시 계양구 서운산단로7길 19 (서운동),032-328-9020,032-328-7664,자동차부품,자동차용 금속 압형제품 제조업
339,백마사,"인천광역시 계양구 서운산단로1길 19, 204호(서운동) 204호",032-667-0631,,미용도구제조,그 외 기타 달리 분류되지 않은 제품 제조업
340,벧엘사,인천광역시 계양구 봉오대로698번길 3 (작전동),032-545-0156,032-545-0157,"사인물,채널(간판)",전시 및 광고용 조명장치 제조업 외 4 종
341,보성실리텍(주),인천광역시 계양구 서운산단로2길 22 (서운동),032-683-4123,032-683-4126,연결배선 하네스 등,전자부품 실장기판 제조업 외 1 종
342,부신산업(주),인천광역시 계양구 아나지로 88 (효성동),032-547-6551,032-545-6552,쌀,곡물 도정업
343,부일엔프라,인천광역시 계양구 안남로465번길 18 (효성동),032-541-5139,032-541-5183,자동차 내장재(손잡이),운송장비 조립용 플라스틱제품 제조업 외 1 종
344,비디코리아(주),인천광역시 계양구 서운산단로8길 20 (서운동),032-676-2407,032-675-8497,유압기기를 이용한 기구,유압기기 제조업
345,비비엠 (BBM),"인천광역시 계양구 가현5길 27, 1층 (작전동)",032-552-0001,032-552-4846,기저귀,유아용 의복 제조업 외 1 종
346,사단법인 사회안전문화재단,"인천광역시 계양구 효서로 137, 3층, 4층(효성동)",032-521-3309,032-521-3316,주거편의장치,그 외 기타 분류 안된 금속 가공 제품 제조업
347,사회적협동조합 일원,인천광역시 계양구 아나지로 45 (효성동),032-551-1571,032-551-1657,복사용지,문구용 종이제품 제조업 외 1 종
348,삼민화학공업(주),인천광역시 계양구 안남로 461 (효성동),032-547-0967,032-547-7689,식품포장필름,플라스틱 필름 제조업 외 1 종
349,삼봉악기,"인천광역시 계양구 아나지로38번길 8 (효성동, 삼봉악기)",032-518-7793,032-505-6225,악기 악세서리 제조,기타 악기 제조업 외 1 종
350,삼부산업,"인천광역시 계양구 서운산단로1길 19, B112호(서운동) B112호",032-504-3900,,헤어고데기,기타 가정용 전기기기 제조업
351,삼성콘베어,인천광역시 계양구 서운산업로50번길 12 (서운동),032-545-3500,032-545-3501,"콘베어, 자바라콘베어 등",컨베이어장치 제조업 외 1 종
352,삼성향료,인천광역시 계양구 아나지로 80 (효성동),032-547-8109,02-582-0791,"식품첨가물,착향료",기타 식품 첨가물 제조업
353,삼에스전자(주),인천광역시 계양구 마장로517번길 11 (효성동),032-547-5556,032-545-9124,전자제어장치부품,기타 주변기기 제조업
354,삼원정공,인천광역시 계양구 아나지로 587-7 (서운동),032-555-0182,032-555-0185,프레스 압형제품,자동차용 금속 압형제품 제조업 외 1 종
355,삼정,인천광역시 계양구 서운산단로4길 12(서운동),,,핸드폰커넥터,전기회로 접속장치 제조업
356,삼조상사,"인천광역시 계양구 서운산단로1길 19, 421호(서운동) 421호 외 1필지",032-553-1741,,전기전자부품,에너지 저장장치 제조업
357,상민금속,인천광역시 계양구 서운산단로5길 19 (서운동) 1층,032-556-7288,032-556-4688,"금속문, 창, 셔터 및 관련제품",구조용 금속 판제품 및 공작물 제조업
358,상아산업,인천광역시 계양구 아나지로38번길 12 (효성동),032-552-7037,032-552-7022,금속도장,도장 및 기타 피막처리업
359,서원,"인천광역시 계양구 서운산단로1길 19, B1층 B111호(서운동) B1층 B111호",,,금형부품가공,주형 및 금형 제조업
360,서진기업사,인천광역시 계양구 서운산단로1길 14 (서운동),032-555-1640,032-555-1643,전기전자부품,자동차용 금속 압형제품 제조업 외 1 종
361,서진에스앤티,"인천광역시 계양구 서운산단로1길 19, 4층 415호(서운동) 4층 415호",,,전자교탁,기타 주변기기 제조업
362,서호,"인천광역시 계양구 서운산단로1길 19, B1층 10호(서운동) B1층 10호",,,금형부품가공,주형 및 금형 제조업
363,선경산업,인천광역시 계양구 서운산단로3길 1 (서운동),032-681-4240,032-681-4241,주방기기(자외선소독기) 등,금속 위생용품 제조업 외 7 종
364,선일산업,인천광역시 계양구 서운산단로1길 53 (서운동),032-678-6661,032-556-6663,자동차부품,그 외 자동차용 신품 부품 제조업
365,선일산업 주식회사,인천광역시 계양구 서운산단로1길 53 (서운동),032-678-6661,,전자담배카트리지,기타 가정용 전기기기 제조업
366,선재 ENG,"인천광역시 계양구 서운산단로1길 19, 3층 3호(서운동) 3층 3호 외 2필지",032-326-7318,,금형,주형 및 금형 제조업
367,성광기계,인천광역시 계양구 서운1길 3 (서운동),032-542-5728,032-546-3570,약탕기,기타 가정용 전기기기 제조업 외 1 종
368,성심산업,인천광역시 계양구 까치말로6번길 10 (작전동),032-548-6938,032-548-6938,전자부품 인쇄,스크린 인쇄업
369,성우정밀,"인천광역시 계양구 서운산단로1길 19, B1층 B117호(서운동) B1층 B117호 외 1필지",032-612-8164,,부품 가공 및 기타금속가공업,그 외 기타 금속가공업
370,성원수출포장,인천광역시 계양구 박촌동 114-4번지,032-556-9771,032-556-9770,포장용 목재 상자,"목재 포장용 상자, 드럼 및 유사용기 제조업"
371,성지EMB,"인천광역시 계양구 봉오대로743번길 29, 1동 상가 3층 (작전동)",032-552-4211,032-552-4212,"전투복,명찰,휘장류",자수제품 및 자수용재료 제조업 외 21 종
372,성진테크,"인천광역시 계양구 서운산단로1길 19, B1층 B126호(서운동) B1층 B126호",032-672-2289,,금형,주형 및 금형 제조업
373,세경,인천광역시 계양구 작전시장로 20 (작전동),032-543-8834,032-543-8835,"병원용품, 린넨, 유니폼","근무복, 작업복 및 유사의복 제조업 외 2 종"
374,세기정밀,"인천광역시 계양구 서운산단로1길 19, B1층 B125호(서운동) B1층 B125호",,,금형,주형 및 금형 제조업
375,세일정밀공업(주),인천광역시 계양구 서운산단로7길 23 (서운동) 세일정밀공업(주),032-555-2171,032-555-2174,금속가공품,그 외 기타 특수목적용 기계 제조업 외 5 종
376,세종에이엠씨(주),인천광역시 계양구 계양대로16번길 77 (작전동),032-555-5660,032-555-5670,"가스정압기, 가스메타기, 가스여과기",기체 여과기 제조업 외 3 종
377,센서텍(주),인천광역시 계양구 서운산단로4길 6(서운동),070-5222-6900,032-234-6905,자동차및로봇용초음파센서,전자감지장치 제조업
378,솔텍정공(주),"인천광역시 계양구 서운산단로5길 11, 1층 (서운동)",,02-718-8181,판금 성형,그 외 기타 금속가공업
379,송정시스템,인천광역시 계양구 서운산단로3길 17 (서운동) 송정하이테크 5층,,,키오스크,컴퓨터 제조업 외 1 종
380,수성테크,"인천광역시 계양구 서운산단로2길 62 (서운동) 가동 104,105호",032-555-5481,032-555-5483,포장기계 부속품 등 ,절삭가공 및 유사처리업
381,슈나이더일렉트릭시스템스코리아(주),인천광역시 계양구 아나지로97번길 19 (효성동),02-2090-0900,02-2090-0800,공업용계측기,산업처리공정 제어장비 제조업
382,시온테크,"인천광역시 계양구 아나지로 431, 1층 (작전동, (주)대영정밀공장)",032-544-3479,032-544-7934,주방용품,고무패킹류 제조업 외 1 종
383,신라테크,"인천광역시 계양구 서운산단로1길 19, B122호(서운동) B122호 외 1필지",032-678-7557,,금속가공품,그 외 기타 금속가공업
384,신성로링,"인천광역시 계양구 서운산단로1길 19, B120호(서운동) B120호",,,"볼트, 너트",볼트 및 너트류 제조업
385,신성산업,인천광역시 계양구 아나지로551번길 6 (서운동),032-544-8510,032-541-0290,인테리어부품,운송장비 조립용 플라스틱제품 제조업 외 1 종
386,신용건업,인천광역시 계양구 평리길 109-2 (평동),032-543-1474,032-543-1496,S.G.P 칸막이,금속 열처리업 외 1 종
387,신원전자,"인천광역시 계양구 아나지로 11-5, 외 1필지 (효성동)",032-541-0190,032-541-0198,하네스커넥터,그 외 기타 전자부품 제조업 외 1 종
388,쌍용기전,인천광역시 계양구 아나지로2번길 13 (효성동),032-547-7833,032-547-7853,전기장비 케이스,그 외 기타 금속가공업
389,썬앤트리,"인천광역시 계양구 서운산단로1길 19, 4층 18호(서운동) 4층 18호",032-544-0405,,퍼즐액자,표구처리업 외 1 종
390,썬에스지엠(주),인천광역시 계양구 서운산단로5길 11 (서운동),032-672-6070,032-674-1128,금속가공품(종이 가공용 기계 및 부품),그 외 기타 분류 안된 금속 가공 제품 제조업
391,썬에스피테크(주),"인천광역시 계양구 서운산단로5길 11, 나동 1층(서운동, 썬에스지엠(주))",032-677-5502,032-674-1128,접착기계 등,펄프 및 종이 가공용 기계 제조업
392,씨트론(주),인천광역시 계양구 서운산단로2길 13 (서운동),032-327-3123,032-327-3125,자동차용무선통신장비외,기타 무선 통신장비 제조업
393,아이디어공장원산,"인천광역시 계양구 서운산단로1길 19, 3층 314호(서운동) 3층 314호",,,목업,전시용 모형 제조업
394,아이스타일,"인천광역시 계양구 서운산단로1길 19, 506호(서운동) 506호",070-7380-1212,,절삭가공품,절삭가공 및 유사처리업
395,아이원케미칼,"인천광역시 계양구 아나지로 16, 1층 (효성동)",032-555-5651,032-555-5650,산업용 고무부품,그 외 기타 고무제품 제조업
396,아이원코리아,"인천광역시 계양구 까치말로5번길 18 (작전동, 보람기술공장)",032-545-1741,032-545-1742,"전자통신기기, 이미용기기",그 외 기타 전자부품 제조업 외 2 종
397,아전금속 주식회사,인천광역시 계양구 서운산업로50번길 12-17 (서운동),032-551-9413,032-551-9417,금속 제조 및 가공,절삭가공 및 유사처리업
398,알로하,"인천광역시 계양구 평리길 88 (평동, 평동제조장)",032-543-0232,032-543-0230,구운 계란,그 외 기타 식료품 제조업
399,알파지이테크(주),"인천광역시 계양구 계양대로13번길 22 (작전동, (주)알파지이테크)",032-551-4361,032-551-4365,"전자식안정기,조명기구",방전램프용 안정기 제조업 외 5 종
400,액토시스,"인천광역시 계양구 서운산단로1길 19, 4층 420호(서운동) 4층 420호",032-5647-5511,,"에어모터, 감속기",기어 및 동력전달장치 제조업
401,앰코테크놀로지코리아(주),"인천광역시 계양구 아나지로 110 (효성동, 앰코테크놀로지코리아부평5공장) (총 4 필지)",032-540-3114,032-540-3213,반도체IC,메모리용 전자집적회로 제조업 외 1 종
402,양지산업,인천광역시 계양구 대보로 102-10 (작전동),032-549-7583,032-544-3349,실리콘가공,그 외 기타 고무제품 제조업
403,에듀쌤,"인천광역시 계양구 아나지로38번길 8, 3층 일부(효성동, 삼봉악기)",032-555-7843,032-555-7844,완구 및 교구 등,인형 및 장난감 제조업
404,에스제이솔루션,인천광역시 계양구 서운산단로4길 19 (서운동),032-545-3450,032-545-4021,키오스크,컴퓨터 제조업
405,에이브이뱅크,인천광역시 계양구 길마로11번길 6 (효성동),032-433-0688,032-433-0689,음향기기 등,"라디오, 녹음 및 재생 기기 제조업 외 1 종"
406,에이원시스템,"인천광역시 계양구 서운산단로1길 67, 1층 3호 (서운동)",032-676-1179,070-7469-1806,자동화기계,그 외 기타 특수목적용 기계 제조업
407,에이치디테크,"인천광역시 계양구 서운산단로1길 19, B1층 B127호(서운동) B1층 B127호",,,금속 가공품,절삭가공 및 유사처리업
408,에이치에스베어링(주),인천광역시 계양구 서운산단로2길 81 (서운동),032-547-8181,032-548-4194,구름베어링,구름베어링 제조업
409,엑스포산업,인천광역시 계양구 새풀로7번길 9 (효성동),032-547-8830,032-547-8831,도장및기타피막처리,도장 및 기타 피막처리업
410,엔텍그린(주),인천광역시 계양구 서운산단로2길 17 (서운동) (주)셀텍월드 1동,032-552-1045,,음식물처리기,그 외 기타 특수목적용 기계 제조업 외 2 종
411,엘에프테크,인천광역시 계양구 서운산단로2길 62 (서운동) 가동 103호,032-671-5527,032-6715-5537,반도체 프레임 등,구조용 금속 판제품 및 공작물 제조업
412,엠이티,"인천광역시 계양구 서운산단로1길 19, 403호(서운동) 403호",032-671-3338,,전자기기 및 PCB회로판,전자부품 실장기판 제조업
413,영신테크,"인천광역시 계양구 서운산단로1길 19, B119호(서운동) B119호",032-672-3329,,휴대폰 전자부품,이동전화기 제조업
414,영우정공,인천광역시 계양구 서운산단로1길 4 (서운동) 가동 4층,,032-551-5204,유압기기,유압기기 제조업
415,오성테크,"인천광역시 계양구 아나지로424번길 8, 2층 (작전동)",032-555-8533,032-546-3705,"등기구, 등기구용 레일",구조용 금속 판제품 및 공작물 제조업 외 1 종
416,오시드 디자인,"인천광역시 계양구 계양대로 106, 2층(작전동)",032-547-1007,032-541-2110,"간판, 현수막, 표찰 등",간판 및 광고물 제조업 외 5 종
417,오케이산업,"인천광역시 계양구 계산로 8, 지1층 (계산동)",032-551-9902,032-551-9903,"경광등, 탐조등, 손전등, 음향기기, 전자호각",교통 신호장치 제조업 외 6 종
418,오토패션,인천광역시 계양구 평리길 93 (평동) 외 1필지,032-543-3596,032-543-3598,자동차 썬바이져,그 외 자동차용 신품 부품 제조업 외 3 종
419,올댓뷰티(주),인천광역시 계양구 계양대로16번길 95(작전동),031-427-7831,031-353-2832,플라스틱 용기,포장용 플라스틱 성형용기 제조업
420,와이에스전자부품(주),인천광역시 계양구 서운산단로2길 17 (서운동) (주)셀텍월드,032-713-9322,,리모컨 LED등기구,그 외 기타 전자부품 제조업 외 2 종
421,와이에이치팩토리,인천광역시 계양구 아나지로2번길 15 (효성동),032-508-4093,032-508-4093,LED조명,전구 및 램프 제조업
422,용창정밀,"인천광역시 계양구 서운산업로41번길 9 (서운동, 용창정밀)",032-543-9758,032-543-9759,프레스임가공,자동차용 금속 압형제품 제조업 외 1 종
423,우광티엔씨(주),인천광역시 계양구 서운산단로2길 88 (서운동),032-662-8143,032-662-8144,금형,주형 및 금형 제조업
424,우광플랜트,"인천광역시 계양구 서운산단로2길 88, 1층, 3층 일부(서운동, 우광티엔씨(주))",032-662-8143,,"강재집수정, 광통신접속함체, 터미널블록",금속탱크 및 저장용기 제조업 외 2 종
425,우리레이저,"인천광역시 계양구 서운산단로4길 13, 1층 (서운동)",,032-541-9063,판금,그 외 기타 금속가공업
426,우리테크,"인천광역시 계양구 서운산단로1길 19, 5층 11호(서운동) 5층 11호 외 1필지",,,스마트절삭유정제기,그 외 기타 특수목적용 기계 제조업 외 1 종
427,우신K&G,인천광역시 계양구 아나지로97번길 10 (효성동),032-1588-9466,032-554-5075,"갈비구이 기기, 주방용 조리 기기",가정용 비전기식 조리 및 난방 기구 제조업
428,우일테크,"인천광역시 계양구 서운산단로1길 19, B1층 B124호(서운동) B1층 B124호 외 1필지",,,금형,주형 및 금형 제조업
429,우진테크,"인천광역시 계양구 서운산단로1길 19, 4층 17호(서운동) 4층 17호",02-6949-3825,,릴레이단자대,전기회로 접속장치 제조업
430,원일산업,인천광역시 계양구 새풀로7번길 12 (효성동),032-543-4911,032-543-4915,플라스틱제품 사출,그 외 기타 플라스틱 제품 제조업
431,월드와이드다이아몬드툴스,"인천광역시 계양구 아나지로38번길 12, C동 2층 (효성동)",032-556-1808,032-556-1809,다이아몬드 공구,금속 절삭기계 제조업
432,윈브릿지,"인천광역시 계양구 안남로458번길 21, 4층 (효성동)",,050-8951-1321,"컵, 텀블러, 접시",그 외 기타 플라스틱 제품 제조업
433,유경인쇄,"인천광역시 계양구 인향로 340, 1동 (선주지동)",032-552-9601,032-552-1915,인쇄물,경 인쇄업 외 1 종
434,유나텍전자,"인천광역시 계양구 계산로108번길 10, 북측건물동2층 (계산동)",032-541-2388,032-541-4788,커넥터 등 전자부품,"전기회로 개폐, 보호장치 제조업 외 1 종"
435,유성전자(주),인천광역시 계양구 서운산단로2길 17 (서운동) (주)셀텍월드,032-234-5500,,리모컨 및 전자부품,그 외 기타 전자부품 제조업 외 2 종
436,유진디스컴(주),인천광역시 계양구 서운산단로2길 9 (서운동),032-515-5911,032-515-5914,"LCD제조장비, 반도체제조장비",액정 표시장치 제조업
437,유한회사 대한정밀,인천광역시 계양구 아나지로2번길 3 (효성동),032-545-5636,032-545-5638,금속가공제품,절삭가공 및 유사처리업
438,윤진어패럴,"인천광역시 계양구 주부토로472번길 11, 401호 402호 (계산동)",032-554-1512,032-554-3912,"학생복, 유니폼","근무복, 작업복 및 유사의복 제조업 외 2 종"
439,은광어패럴,"인천광역시 계양구 봉오대로628번길 19, 2층 (효성동, 현대아파트)",032-545-6866,032-546-6886,"남성용 점퍼, 코트",남자용 겉옷 제조업
440,이경정밀,"인천광역시 계양구 서운산단로1길 19, 3층 309호(서운동) 3층 309호",032-201-5631,,절삭가공품,절삭가공 및 유사처리업
441,이노푸드코리아 주식회사,"인천광역시 계양구 갈미길 32, A동 (갈현동)",070-8841-9829,032-541-9888,"견과류(요거트콩), 유기농두유",기타 곡물 가공품 제조업
442,이솔정보통신(주),"인천광역시 계양구 서운산단로1길 19, 4층 408호(서운동) 4층 408호 외 14필지",02-548-5172,,"전자칠판, 통합제어시스템, 소형충전기, 공기살균기, 케이블, LED 안내전광판",기체 여과기 제조업 외 15 종
443,이얀통상 주식회사,인천광역시 계양구 새풀로 1 (효성동),032-330-2406,032-330-2409,"연사, 원사 등",연사 및 가공사 제조업 외 1 종
444,이에스 전자,"인천광역시 계양구 서운산단로1길 19, 424호(서운동) 424호",032-661-6420,,전자저항기,전자저항기 제조업
445,이엔(EN),인천광역시 계양구 서운산업로 16-2 (서운동) 2층,032-522-5424,,"책소독기(분사식), 게임기",전자부품 실장기판 제조업 외 2 종
446,이오전기,"인천광역시 계양구 서운산단로1길 19, 5층 522호(서운동) 5층 522호",032-678-9515,,콘트롤 박스,배전반 및 전기 자동제어반 제조업
447,이지세이버(주),"인천광역시 계양구 서운산단로2길 17, 4층(서운동, (주)셀텍월드)",032-555-8407,,대기전력자동차단콘센트,"전기회로 개폐, 보호장치 제조업 외 3 종"
448,이화테크,"인천광역시 계양구 서운산단로1길 19, 3층 22호(서운동) 3층 22호",,,산업용모형,주형 및 금형 제조업
449,인성기공,"인천광역시 계양구 서운산단로1길 19, 2층 215호(서운동) 2층 215호 외 1필지",032-661-8120,,기계부품,절삭가공 및 유사처리업
450,인천종합광고,"인천광역시 계양구 봉오대로 594, 인천종합광고 (효성동)",032-555-3600,032-555-3601,"간판제작, 현수막",간판 및 광고물 제조업
451,일사사,"인천광역시 계양구 아나지로 503, 지하1층 (서운동)",,,"닭고기, 돼지고기, 소고기 가공류",가금류 가공 및 저장 처리업 외 1 종
452,일주하이텍,인천광역시 계양구 새풀로1번길 10 (효성동),032-555-1241,032-555-1249,정수기,액체 여과기 제조업
453,임대-협성정밀,"인천광역시 계양구 서운산단로1길 19, 5층 517호(서운동) 5층 517호 외 3필지",032-240-5110,,"볼트, 너트, 팁",절삭가공 및 유사처리업
454,자연화학산업사,"인천광역시 계양구 아나지로375번길 2, (D동) (작전동)",032-551-8750,032-551-8751,비닐제조,플라스틱 필름 제조업 외 1 종
455,자이글 주식회사,인천광역시 계양구 아나지로 286 (작전동),1644-9213,02-3665-9195,자이글 그릴 ,주방용 전기기기 제조업
456,재승정밀,"인천광역시 계양구 서운산업로50번길 12-7 (서운동, 재승정밀)",032-543-4120,032-552-4190,프린터 및 휴대폰 부품 가공,절삭가공 및 유사처리업
457,저스트,"인천광역시 계양구 서운산단로1길 19, 3층 314호(서운동) 3층 314호",,,전시모형,전시용 모형 제조업
458,정미트,인천광역시 계양구 벌말로566번길 7 (상야동) 1층,032-503-0503,032-548-0503,갈비양념가공육,육류 포장육 및 냉동육 가공업 (가금류 제외)
459,정성실업,인천광역시 계양구 인향로 338-1 (선주지동),032-549-9514,032-548-9515,"종이함, 박스가공",판지 상자 및 용기 제조업
460,정원정밀,"인천광역시 계양구 서운산단로1길 19, B1층 B107호(서운동) B1층 B107호",,,부품가공품,그 외 기타 금속가공업
461,정테크,인천광역시 계양구 서운산단로6길 5 (서운동) 6 GATE,,032-542-9112,금형,주형 및 금형 제조업
462,제네랄옵틱스주식회사,인천광역시 계양구 아나지로 82 (효성동),032-684-9606,032-684-9608,스마트폰 카메라 비구면금형 등,주형 및 금형 제조업 외 1 종
463,제이디하이텍(주),인천광역시 계양구 서운산단로1길 53 (서운동) 2동 A호,032-665-8981,032-665-8982,금속압형제품,그 외 기타 전자부품 제조업
464,제이에스테크,인천광역시 계양구 서운산단로6길 5 (서운동) 4 GATE,031-311-1207,031-601-6132,금형,주형 및 금형 제조업
465,제이에스테크,"인천광역시 계양구 서운산단로4길 12, 5층(서운동, (주)손텍)",,070-4453-1199,자동차용 와이어 하네스,자동차용 신품 전기장치 제조업
466,제이현테크,인천광역시 계양구 서운산단로5길 19 (서운동),,,"살균등커버, CCTV함",일반철물 제조업
467,제일전기통신(주),인천광역시 계양구 아나지로418번길 14-3 (작전동),032-554-0922,032-554-0925,"통신기기 부품,절전제어장치(대기전력차단)",배전반 및 전기 자동제어반 제조업 외 1 종
468,조광실업,"인천광역시 계양구 계양대로16번길 87, 2층 (작전동)",032-541-3679,032-541-3523,텅스텐 필라멘트,"기타 비철금속 압연, 압출 및 연신 제품 제조업"
469,주니시스 주식회사,"인천광역시 계양구 굴재방터길 39, 2층(귤현동, 서희빌딩)",,070-7966-4705,무선통신장비,기타 무선 통신장비 제조업 외 3 종
470,주식회사 기산전기,인천광역시 계양구 새풀로 1 (효성동),032-552-0233,032-556-1175,"전기그릴, 전기후라이팬",주방용 전기기기 제조업
471,주식회사 나은엔지니어링,"인천광역시 계양구 아나지로2번길 17, 2층,4층 일부 (효성동)",032-525-4051,032-517-9567,"기기용 자동측정 및 제어장치, 사업용제어기기",기기용 자동측정 및 제어장치 제조업 외 5 종
472,주식회사 네오홀딩스,"인천광역시 계양구 효서로 45, 1층 (효성동)",031-427-0966,031-427-6662,"구두류, 기타신발",구두류 제조업 외 1 종
473,주식회사 대린,"인천광역시 계양구 주부토로413번길 32, 2층(작전동)",032-544-9590,032-544-9594,LED 관련제품,일반용 전기 조명장치 제조업
474,주식회사 듀크린테크,"인천광역시 계양구 서운산단로8길 11, 3층(서운동, (주)듀크린)",070-4810-5602,032-551-8644,"산업용필터, 집진기",기체 여과기 제조업
475,주식회사 디어홈,"인천광역시 계양구 새풀로 1, 2층 (효성동)",032-552-0117,032-556-1175,가정용주방기기,주방용 전기기기 제조업 외 1 종
476,주식회사 디와이컴퍼니,"인천광역시 계양구 아나지로 244, 1동 3호(1층) (효성동)",032-544-4001,032-544-4008,"이동식찜질방, 돌침대",기타 가정용 전기기기 제조업 외 1 종
477,주식회사 라이프코리아,인천광역시 계양구 인향로 338 (선주지동),032-542-1001,032-544-1006,마스크,기타 직물제품 제조업
478,주식회사 레가토,"인천광역시 계양구 서운산단로2길 17, 2동 2층(서운동, (주)셀텍월드) 외 1필지",070-4120-8606,0502-304-8606,"전기미용기, 전기요리기",주방용 전기기기 제조업 외 1 종
479,주식회사 루앤원,인천광역시 계양구 아나지로97번길 14 (효성동),032-555-9058,032-555-9059,"안정기,컨버터,등기구",전시 및 광고용 조명장치 제조업 외 2 종
480,주식회사 만진산업,"인천광역시 계양구 계양대로13번길 28, 1, 2, 3, 5층(작전동, 만진산업)",032-552-4561,032-552-4563,"자동차부품, 덕트, 벤트그릴, 롤러부시",그 외 자동차용 신품 부품 제조업 외 5 종
481,주식회사 바이더엠,"인천광역시 계양구 서운산단로1길 63, 4층, 1층, 2층 일부(서운동)",070-4855-1284,032-710-8056,"LED등기구, LED램프",일반용 전기 조명장치 제조업 외 1 종
482,주식회사 바이패스,"인천광역시 계양구 효서로 17, 지하1층 102호(효성빌딩) (효성동)",032-541-4660,032-556-3633,"온도감지장치, 압력감지장치",전자감지장치 제조업 외 1 종
483,주식회사 부평금속,"인천광역시 계양구 아나지로 546, 1층 (서운동)",032-568-4862,032-544-4862,"스테인리스난간, 금속구조물",그 외 기타 1차 철강 제조업 외 1 종
484,주식회사 블러써미,"인천광역시 계양구 계양대로120번길 7, 2층 (작전동)",,,의류,남자용 겉옷 제조업 외 2 종
485,주식회사 비엘비 인천지점,인천광역시 계양구 봉오대로 690 (작전동),032-551-1014,032-551-1017,화장용분첩,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종
486,주식회사 사이언홀딩스,"인천광역시 계양구 아나지로97번길 14, 지하 1층 (효성동)",,032-5557-7047,"도로표지병, 바닥형보행신호등, 가로등램프, 경관조명 등 조명제품",교통 신호장치 제조업 외 8 종
487,주식회사 선도씨푸드,"인천광역시 계양구 아나지로 420, 외3필지 (작전동)",032-545-5287,032-548-0532,기타수산물가공품(훈제연어),"수산동물 훈제, 조리 및 유사 조제식품 제조업"
488,주식회사 세건,"인천광역시 계양구 서운산단로5길 9, 5층(서운동, 동광엔지니어링)",032-272-1614,,전기자동차 축전지 격리판,축전지 제조업
489,주식회사 세경이엔티,"인천광역시 계양구 아나지로568번길 15, 2층 (서운동)",1661-2823,032-556-2823,비상신호전달장치,운송장비용 조명장치 제조업 외 1 종
490,주식회사 세미파워렉스,"인천광역시 계양구 서운산단로6길 21, 4층(서운동)",070-4671-2640,,전력반도체 모듈,발광 다이오드 제조업 외 2 종
491,주식회사 에스모듈,"인천광역시 계양구 서운산단로1길 19, 4층 405호 (서운동) 4층 405호 외 1필지",070-7117-7890,,"광섬유 전송 시스템, 케이블 커넥터",유선 통신장비 제조업 외 1 종
492,주식회사 에스앤씨얼라이언스,"인천광역시 계양구 주부토로 370, 3층 일부 (작전동)",02-462-8666,02-462-8665,"비디오 및 기타영상기기, 전자칠판 등",비디오 및 기타 영상기기 제조업 외 6 종
493,주식회사 에스지라이트,"인천광역시 계양구 계산로 20, 지하 1층 (계산동)",031-8049-2025,070-8280-2025,전기조명장치,일반용 전기 조명장치 제조업
494,주식회사 에스클래식,"인천광역시 계양구 아나지로 32, 3층, 4층(효성동, 코아)",070-8822-1586,032-549-1694,"남녀용 바지, 셔츠, 티셔츠 및 작업복, 근무복, 워크자켓, 블라우스, 잠옷, 환자용 의복",남자용 겉옷 제조업 외 10 종
495,주식회사 에이치에스일렉트로닉스,"인천광역시 계양구 서운산단로1길 63, B동 2층, 3층 일부(서운동, 루멘전광주식회사)",,,인쇄회로기판,유선 통신장비 제조업
496,주식회사 에이치티씨,인천광역시 계양구 서운산업로 60 (서운동),032-512-3960,032-232-3962,"간판,안내판,광고물 등",간판 및 광고물 제조업 외 8 종
497,주식회사 엠엔지이엔티,"인천광역시 계양구 주부토로 370, 2층 (작전동)",02-2603-2480,02-6455-2481,"빔프로젝터, 전자칠판, 태블릿PC, 데스크톱, 램프, 모니터 등",전구 및 램프 제조업 외 6 종
498,주식회사 영일침구,"인천광역시 계양구 안남로458번길 21, 5층, 6층(효성동)",032-543-5636,032-553-5636,순면제품,침구 및 관련제품 제조업
499,주식회사 예인솔루션,인천광역시 계양구 봉오대로 393 (효성동) 나동 102호,031-858-1523,0303-3443-5007,"건강기능식품(환,액상 등)",건강기능식품 제조업
500,주식회사 우진엠테크,인천광역시 계양구 아나지로375번길 4 (작전동),032-515-4932,032-515-4933,"진공성형기계, 진공성형금형 등","고무, 화학섬유 및 플라스틱 성형기 제조업 외 2 종"
501,주식회사 유플러스아이티,"인천광역시 계양구 서운산업로 62, 4층 (서운동)",02-6941-0813,,전기자동차충전기,기타 전기 변환장치 제조업
502,주식회사 윤슬테크,"인천광역시 계양구 서운산단로2길 17, 1동 2층(서운동, (주)셀텍월드)",032-545-0222,032-545-0221,조명기구,기타 조명장치 제조업
503,주식회사 이스트라,"인천광역시 계양구 서운산단로4길 6, 1,2,5층 (서운동)",1544-8247,,"TV, 현미경, 무선디스플레이",유선 통신장비 제조업 외 2 종
504,주식회사 일성에코,인천광역시 계양구 서운산단로5길 19 (서운동),032-677-1119,,CASE함 제작,일반철물 제조업
505,주식회사 제이파워텍,"인천광역시 계양구 서운산업로50번길 12-35, 1층, 3층 (서운동)",032-326-7941,032-326-7940,전기차충전기 커넥터,기타 전기 변환장치 제조업
506,주식회사 청풍,"인천광역시 계양구 마장로512번길 13, 2층(효성동, 효성동하나빌딩)",032-553-7000,032-552-5100,옥외광고물,간판 및 광고물 제조업
