순번,회사명,생산품,업종명,공장대표주소(도로명),전화번호,데이터기준일자
1585,(주)한림홈우드,가정용가구,기타 목재가구 제조업 외 1 종,인천광역시 서구 북항로 100 (원창동) (주)나무친구들,032-765-4101,2025-04-02
1586,(주)한맥토탈시스템,"의료용기기,압형제품, 철제케비넷",그 외 기타 의료용 기기 제조업 외 2 종,"인천광역시 서구 봉수대로277번길 9-1 (석남동, 한맥산업 C동)",032-584-3937,2025-04-02
1587,(주)한미,폴리우레아,일반용 도료 및 관련제품 제조업,인천광역시 서구 도담로 190(오류동),032-562-2830,2025-04-02
1588,(주)한백산 인천지점,보건용 마스크,기타 직물제품 제조업,인천광역시 서구 원당대로428번길 19 (왕길동),032-568-8597,2025-04-02
1589,(주)한백전기,"태양광 발전장치, 배전반",전동기 및 발전기 제조업 외 1 종,인천광역시 서구 길주로45번길 15 (석남동),032-472-5044,2025-04-02
1590,(주)한빛드론,드론 제조,무인 항공기 및 무인 비행장치 제조업,"인천광역시 서구 로봇랜드로 155-11, 로봇타워 1306호 (청라동)",032-253-4500,2025-04-02
1591,(주)한빛인더스트리,비닐포장지,"플라스틱 포대, 봉투 및 유사제품 제조업",인천광역시 서구 마중로 51 (오류동),032-562-4336,2025-04-02
1592,(주)한빛코리아,미용비누,"치약, 비누 및 기타 세제 제조업",인천광역시 서구 도곡로 291(대곡동),02-564-5391,2025-04-02
1593,(주)한빛테크,전기 전자식 계량기,속도계 및 적산계기 제조업,인천광역시 서구 거북로 25-36 (석남동),032-461-2973,2025-04-02
1594,(주)한새,"헤파필터,탈취필터",기체 여과기 제조업 외 1 종,인천광역시 서구 보듬5로 6(오류동),032-565-8713,2025-04-02
1595,(주)한샘넥서스,주방가구,주방용 및 음식점용 목재가구 제조업,인천광역시 서구 도담8로 19 (오류동),02-6908-3636,2025-04-02
1596,(주)한샘디지텍,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 석남로 15 (석남동),032-581-5375,2025-04-02
1597,(주)한샘디지텍제1사업장,SMT,전자부품 실장기판 제조업,"인천광역시 서구 건지로95번길 33-2 (석남동, A동)",032-581-5375,2025-04-02
1598,(주)한서메탈,"하우징,피팅류,플랜지,콘넥타",그 외 기타 전자부품 제조업,인천광역시 서구 검단로114번길 21 (오류동),032-562-0361,2025-04-02
1599,(주)한성,"컴퓨터,노트북",컴퓨터 제조업 외 3 종,"인천광역시 서구 파랑로 536, 1, 3층(청라동)",02-715-5714,2025-04-02
1600,(주)한성바이오,나노세라믹 기능성비누,"치약, 비누 및 기타 세제 제조업","인천광역시 서구, 6층 검단지식산업센터 블루텍 636호 (오류동)",,2025-04-02
1601,(주)한성전자,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 건지로121번길 10 (석남동) 한성전자,032-582-7676,2025-04-02
1602,(주)한성컴퓨터,"컴퓨터제조업, 컴퓨터모니터,기타주변기기,기타음향기기",컴퓨터 제조업 외 3 종,"인천광역시 서구 파랑로 536, 2층 (청라동)",02-714-5714,2025-04-02
1603,(주)한세인더스트리,"문구, 팬시용품, 잡화",문구용 종이제품 제조업,인천광역시 서구 장고개로117번길 32-6 (가좌동),032-682-0001,2025-04-02
1604,(주)한스,금속바,그 외 기타 금속가공업,"인천광역시 서구 거북로24번길 8-1, 1층(석남동, (주)한스)",,2025-04-02
1605,(주)한슬,가구,기타 목재가구 제조업,인천광역시 서구 마중로 89 (오류동),032-573-8024,2025-04-02
1606,(주)한승이엔지,"공기조화기,항온항습기 등",산업용 냉장 및 냉동 장비 제조업 외 2 종,인천광역시 서구 원당대로205번길 2-19 (오류동),032-565-6145,2025-04-02
1607,(주)한신산업,프라스틱포장용품,"플라스틱 포대, 봉투 및 유사제품 제조업","인천광역시 서구 거북로 40, A동 102호, 202호(석남동)",032-579-6131,2025-04-02
1608,(주)한얼환경산업,"천가방,면직물 가방 및 기타 소품 재봉 가공",가방 및 기타 보호용 케이스 제조업 외 1 종,인천광역시 서구 완정로65번안길 42-8 (마전동),032-288-5425,2025-04-02
1609,(주)한영솔루션,콘트롤,배전반 및 전기 자동제어반 제조업,인천광역시 서구 가좌로 31 (가좌동),032-584-9995,2025-04-02
1610,(주)한영엔지니어링,배전반,배전반 및 전기 자동제어반 제조업,인천광역시 서구 원창로 34 (원창동),032-573-2855,2025-04-02
1611,(주)한울,"열교환기, 반응기, 전기투석장치",금속탱크 및 저장용기 제조업 외 3 종,"인천광역시 서구 도담1로 16, 에이동 (오류동)",031-432-4554,2025-04-02
1612,(주)한울이엔지,"산업기계, 수확용건조기, 수처리기계(원형슬러지,제진기,집진기 등)",그 외 기타 일반목적용 기계 제조업 외 2 종,인천광역시 서구 검단로326번길 45-13 (왕길동),032-581-5156,2025-04-02
1613,(주)한일금속도금,"메달,뱃지",도금업 외 1 종,"인천광역시 서구 가람로 14, 6층 인천표면처리센터 코아텍 615호 (오류동)",,2025-04-02
1614,(주)한일엠앤디,자동판매기,그 외 기타 일반목적용 기계 제조업,인천광역시 서구 장고개로117번길 32-10(가좌동),032-461-3014,2025-04-02
1615,(주)한일플랜트,폐레미콘재생기계,그 외 기타 1차 철강 제조업,인천광역시 서구 파랑로116번길 8 (원창동),032-584-9771,2025-04-02
1616,(주)한일휀테크,송풍기,산업용 송풍기 및 배기장치 제조업,인천광역시 서구 반월로81번길 33 (오류동),032-563-3825,2025-04-02
1617,(주)한조각에프앤지,"빵류, 케이크류",빵류 제조업,"인천광역시 서구 보듬로 158, 2층 검단지식산업센터 블루텍 237호 (오류동) 외 1필지",ARS-1899-6171,2025-04-02
1618,(주)한종이엔지,"기타철구조물, 안전벨트유닛, 집진장치, 부유철산화물 포집장치, 눈및얼음융해장치, 안전난간대",육상 금속 골조 구조재 제조업 외 3 종,인천광역시 서구 마중로 115(오류동),032-772-7035,2025-04-02
1619,(주)한준일렉트릭,폴리머컷아웃스위치,"전기회로 개폐, 보호장치 제조업",인천광역시 서구 가석로 30 (가좌동) 광양프런티어밸리3차 1동 9F층 920호,032-215-8053,2025-04-02
1620,(주)한진금속,산업기계설비,그 외 기타 특수목적용 기계 제조업,인천광역시 서구 도담로 30(오류동),02-2633-5240,2025-04-02
1621,(주)한진보일러,"전기보일러, 전기온수기",금속탱크 및 저장용기 제조업 외 3 종,인천광역시 서구 원당대로262번길 44 (오류동),032-567-7149,2025-04-02
1622,(주)한진테크,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 건지로97번길 51-1 (석남동),032-582-1762,2025-04-02
1623,(주)해님,젖병소독기,기타 가정용 전기기기 제조업 외 1 종,"인천광역시 서구 사렴로21번길 15 (경서동, 가동)",032-324-6614,2025-04-02
1624,(주)해동이티에이,파티클보드,"박판, 합판 및 유사 적층판 제조업",인천광역시 서구 파랑로116번길 23(원창동),032-584-8211,2025-04-02
1625,(주)해뜨는공장,"소곱창,소대창,보쌈 등",육류 기타 가공 및 저장처리업 (가금류 제외),"인천광역시 서구 소담2로 34, 2층(금곡동)",070-4681-6980,2025-04-02
1626,(주)해리슨,각종 셔츠 등,셔츠 및 블라우스 제조업,"인천광역시 서구 파랑로 495, 2동 306호(청라동) 2동 306호 외 3필지",032-1661-2607,2025-04-02
1627,(주)해모,"주방용품, 금형",수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,인천광역시 서구 가정로38번길 9(가좌동),032-431-3700,2025-04-02
1628,(주)해성단조,"열간단조, 비철금속단조 외",볼트 및 너트류 제조업,인천광역시 서구 마중로 96 (오류동),032-562-2922,2025-04-02
1629,(주)해우수출포장,목재상자,"목재 포장용 상자, 드럼 및 유사용기 제조업","인천광역시 서구 로봇랜드로249번길 132, 외 1필지 (청라동)",032-887-6277,2025-04-02
1630,(주)해원에스디,수산물 가공,기타 수산동물 가공 및 저장 처리업,인천광역시 서구 소담로 57(금곡동),031-792-9029,2025-04-02
1631,(주)해인전자,센서,그 외 기타 전자부품 제조업 외 1 종,인천광역시 서구 가좌로12번길 23 (가좌동),032-584-2220,2025-04-02
1632,(주)해일이엔씨,"목조정자, 놀이터용기구",기타 건축용 나무제품 제조업 외 2 종,인천광역시 서구 대곡로 222 (대곡동),032-527-7537,2025-04-02
1633,(주)해창,양념통 외,그 외 기타 플라스틱 제품 제조업,인천광역시 서구 오류동 0번지 검단일반산업단지내 29-6,032-546-7893,2025-04-02
1634,(주)해피전자,"모뎀, POE",그 외 기타 전자부품 제조업 외 1 종,인천광역시 서구 건지로97번길 61 (석남동),032-715-4747,2025-04-02
1635,(주)핵광산업,금속구조물 외 ,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종",인천광역시 서구 마중4로 21 (오류동),02-2682-6571,2025-04-02
1636,(주)햄프로,"재활운동기구, 먼지떨이기",그 외 기타 의료용 기기 제조업 외 4 종,인천광역시 서구 검단로 39 (오류동),02-2602-5750,2025-04-02
1637,(주)행복생활에프앤비,"곡류가공품, 뻥튀기",기타 곡물 가공품 제조업,"인천광역시 서구 봉수대로 141, A동 806-2호(가좌동, 현광아파트형공장) A동 806-2호",032-573-4358,2025-04-02
1638,(주)행복찹쌀떡,앙금,곡물 혼합분말 및 반죽 제조업,인천광역시 서구 소담1로 66(금곡동),ARS-1522-5281,2025-04-02
1639,(주)향한,미장합판,기타 목재가구 제조업,인천광역시 서구 북항로245번길 2 (원창동),032-576-5388,2025-04-02
1640,(주)허밍코퍼레이션,"화장품(슈가페이스트), 기타 목적용 기계장비",화장품 제조업 외 1 종,"인천광역시 서구 봉수대로 141, A동 103호(가좌동, 현광아파트형공장) A동 103호",032-573-0711,2025-04-02
1641,(주)허브바이오텍 인천지점,치과임플란트,정형외과용 및 신체보정용 기기 제조업,"인천광역시 서구 가람로 14,(오류동, 인천표면처리센터 요진코아텍) 1동 7층 727호",02-529-8857,2025-04-02
1642,(주)헤이블,"울타리, 조경시설물등",일반 제재업 외 3 종,"인천광역시 서구 북항단지로101번길 29, 2동 1층(원창동)",032-577-4900,2025-04-02
1643,(주)헬스케어코리아,마스크,기타 직물제품 제조업,"인천광역시 서구 백범로 611,  (가좌동) 1동 5층 517호",070-4104-9421,2025-04-02
1644,(주)혁산압연,스텐레스압연제품,냉간 압연 및 압출 제품 제조업 외 6 종,인천광역시 서구 사렴로53번길 25 (경서동),032-561-6437,2025-04-02
1645,(주)혁산압연,스텐레스 압연제품,철강선 제조업,인천광역시 서구 경명대로 276 (경서동),032-420-0561,2025-04-02
1646,(주)현대지티씨,"방전랜프용 안전기, led컨버터, led조명기기",방전램프용 안정기 제조업 외 3 종,인천광역시 서구 봉수대로183번길 9 (가좌동),032-574-1191,2025-04-02
1647,(주)현대철강,철근,그 외 기타 1차 철강 제조업,인천광역시 서구 보도진로41번길 6(가좌동),032-582-2500,2025-04-02
1648,(주)현대탑스코,강관제조,강관 제조업 외 3 종,인천광역시 서구 가정로16번길 23 (가좌동),032-583-6801,2025-04-02
1649,(주)현대테크,저항검사기 및 전기적량 검사기기 제작,"전자기 측정, 시험 및 분석기구 제조업",인천광역시 서구 건지로250번길 104 (가좌동),032-548-7884,2025-04-02
1650,(주)현선디스플레이,"디스플레이기,금속진열장",전시 및 광고용 조명장치 제조업 외 2 종,"인천광역시 서구 원창로 32-1, 에이동,비동 (원창동)",032-872-0920,2025-04-02
1651,(주)현준에프에이,직교 로봇,산업용 로봇 제조업,인천광역시 서구 백범로 681 (가좌동) 스마트테크노타워 가동 2층 201호,032-676-2130,2025-04-02
1652,(주)형제옵틱스,"초정밀광학가공품,LCD BACK LIGHT 패턴 롤",안경 및 안경렌즈 제조업 외 2 종,인천광역시 서구 봉수대로501번길 17 (원창동) 외 3필지,032-575-8413,2025-04-02
1653,(주)형제옵틱스,광학용 패턴롤,주형 및 금형 제조업 외 1 종,인천광역시 서구 도담2로 7 (오류동),032-575-8413,2025-04-02
1654,(주)형제제판,제판롤,그 외 기타 금속가공업,인천광역시 서구 도담2로 7 (오류동),031-433-8673,2025-04-02
1655,(주)혜광써키트,"전자부품,도금",인쇄회로기판용 적층판 제조업 외 2 종,인천광역시 서구 백범로810번길 30 (가좌동),032-578-5148,2025-04-02
1656,(주)호건,보드 도장 가공,"목재 보존, 방부처리, 도장 및 유사 처리업",인천광역시 서구 도담로 5 (오류동),032-576-8161,2025-04-02
1657,(주)호경에프씨,"베트남 쌀국수 육수, 냉메밀 육수",기타 식사용 가공처리 조리식품 제조업,인천광역시 서구 보도진로42번길 20 (가좌동),031-987-2101,2025-04-02
1658,(주)호우지츠코리아,기계부품,도금업 외 1 종,"인천광역시 서구 가람로 14, 2층 인천표면처리센터 코아텍 211호 (오류동) 외 1필지",070-4814-2851,2025-04-02
1659,(주)홈룩스,LED 조명기구,일반용 전기 조명장치 제조업,"인천광역시 서구 보듬로 158,(오류동, 블루텍) 1동 8층 826호 외 1필지",032-678-0799,2025-04-02
1660,(주)화미,조미료,천연 및 혼합조제 조미료 제조업 외 5 종,인천광역시 서구 열우물로 221 (가좌동),032-550-2770,2025-04-02
1661,(주)화성기업,볼트,볼트 및 너트류 제조업,"인천광역시 서구 북항로193번길 66, 3동(원창동)",032-873-0391,2025-04-02
1662,(주)화승라이팅,"절전형 전력변환장치, LED조명 전환장치",기타 전기 변환장치 제조업 외 6 종,"인천광역시 서구 석남로 35, (상일빌딩 2층 에이-201호) (석남동)",032-575-4501,2025-04-02
1663,(주)화신플레이스,무인멀티콥터(드론),무인 항공기 및 무인 비행장치 제조업,"인천광역시 서구 로봇랜드로 155-11, 603호, 604호, 605호 (원창동)",032-423-8765,2025-04-02
1664,(주)화용씨티에스,각실제어 분배기,기타 건축용 플라스틱 조립제품 제조업,"인천광역시 서구 가재울로 109,  (가좌동) 1동 9층 909호",032-816-2597,2025-04-02
1665,(주)화이트엘이디 인천지점,일반용 조명장치,일반용 전기 조명장치 제조업 외 3 종,"인천광역시 서구 봉수대로 193, B동 1층(가좌동)",032-577-1010,2025-04-02
1666,(주)화인,"목상자, 팔레트",목재 깔판류 및 기타 적재판 제조업 외 1 종,"인천광역시 서구 로봇랜드로249번길 62-28, 에프동(청라동)",032-582-3666,2025-04-02
1667,(주)화인테크산업,"티타늄, 알루미늄 지그",절삭가공 및 유사처리업,인천광역시 서구 가좌로95번길 6 (가좌동),032-584-9568,2025-04-02
1668,(주)화진인더스,"금형,고무제품",기타 신발 제조업 외 3 종,"인천광역시 서구 가정로48번길 8 (가좌동, 화진정밀(주))",032-583-1177,2025-04-02
1669,(주)환덕전자,인쇄회로기판,인쇄회로기판용 적층판 제조업,인천광역시 서구 보도진로54번길 18(가좌동),032-577-5517,2025-04-02
1670,(주)황금나라,"볶음참깨, 볶음검정깨, 볶음들깨",기타 곡물 가공품 제조업,"인천광역시 서구 보듬로 158,(오류동, 블루텍) 공존동 6층 643호",032-562-5256,2025-04-02
1671,(주)황주,"승강기부품, 물품취급장비",승강기 제조업,"인천광역시 서구 원당대로265번길 20-39, 나동 (오류동, KOFA)",032-567-8761,2025-04-02
1672,(주)황학컨스트텍,"미끄럼방지포장재, 도막형바닥재",합성수지 및 기타 플라스틱 물질 제조업 외 1 종,"인천광역시 서구 보듬로 158, (오류동, 블루텍) 1동 3층 318호",033-4826-098,2025-04-02
1673,(주)효성알앤디,감속기,절삭가공 및 유사처리업,인천광역시 서구 원전로26번길 6 (경서동),032-811-4100,2025-04-02
1674,(주)효성엔바이로,"상하수처리기기, 송풍기, 건물용 금속계단, 컨베이어, 저장용 탱크, 금속압축용기, 배기장치, 공기청정기, 액체여과기, 주행크레인, 교반기, 호퍼 등",컨베이어장치 제조업 외 8 종,인천광역시 서구 가정로37번길 37-15 (가좌동),032-446-7151,2025-04-02
1675,(주)효성엠티피,핸드폰 커넥터 부품,도금업,인천광역시 서구 누리1로 32 (오류동),032-574-5219,2025-04-02
1676,(주)효인산업,"태양광구조물, 산업용케이스",그 외 기타 금속가공업,인천광역시 서구 북항로120번길 13-26(원창동),032-571-8848,2025-04-02
1677,(주)효진기공,"저장탱크(300리터이하 및 초과), 충진 및 포장기, 의료용 믹서기, 유화혼합기,교반기, ., .",그 외 기타 의료용 기기 제조업 외 5 종,인천광역시 서구 검단천로356번길 17 (오류동),032-562-4137,2025-04-02
1678,(주)후레쉬퍼스트 2공장,"도시락, 조림류(나물,볶음김치), 생선구이, 즉석조리식품",도시락류 제조업 외 3 종,인천광역시 서구 소담1로 42 (금곡동),032-720-7700,2025-04-02
1679,(주)휠링,와이어 하네스,전기회로 접속장치 제조업,"인천광역시 서구 중봉대로393번길 138, A동 1층(원창동)",032-568-5509,2025-04-02
1680,(주)휠링컴,전기커넥터,"전기회로 개폐, 보호장치 제조업 외 1 종",인천광역시 서구 중봉대로393번길 138 (원창동),032-568-5507,2025-04-02
1681,(주)휴노브,"자동차부품,알루미늄주물제품",그 외 자동차용 신품 부품 제조업 외 4 종,인천광역시 서구 중봉대로393번길 141 (원창동) 외 2필지,032-527-1949,2025-04-02
1682,(주)휴리엔,음식물처리기,주방용 전기기기 제조업,"인천광역시 서구 석남로 16, 3층일부(석남동)",032-822-7191,2025-04-02
1683,(주)휴맥스옵틱 Lab,"도금, 판금",도금업 외 1 종,"인천광역시 서구 가람로 14,(오류동, 인천표면처리센터 요진코아텍) 1동 5층 510호",02-529-1920,2025-04-02
1684,(주)휴먼스,도료 및 잉크,인쇄잉크 및 회화용 물감 제조업 외 2 종,인천광역시 서구 도담7로 8 (오류동),032-715-5155,2025-04-02
1685,(주)휴앤라이트,"LED경관조명기구, LED포토존, 조명제어장치",일반용 전기 조명장치 제조업 외 2 종,"인천광역시 서구 석남로 35, A-202호 (석남동)",032-851-8755,2025-04-02
1686,(주)휴윈스테크놀로지,경성인쇄회로기판 홀가공,경성 인쇄회로기판 제조업,"인천광역시 서구 가정로47번길 4,(가좌동) A동 1층 101호",032-572-8402,2025-04-02
1687,(주)흰돌제지,화장지,위생용 종이제품 제조업,인천광역시 서구 원당대로480번길 29-9 (왕길동),032-565-8276,2025-04-02
1688,(주)히릭스태화,열교환기,"증류기, 열교환기 및 가스발생기 제조업","인천광역시 서구 검단로114번길 10, 검단일반산업단지내 22-27 (오류동)",032-567-3440,2025-04-02
1689,(주)히텍코리아,열교환기,"증류기, 열교환기 및 가스발생기 제조업",인천광역시 서구 보도진로18번길 16 (가좌동),032-576-1100,2025-04-02
1690,012디자인,"우드슬랩, 필라테스기구",기타 목재가구 제조업,"인천광역시 서구 봉수대로 163, E동 1층(가좌동)",032-584-6865,2025-04-02
1691,A.L.T(에이엘티),전자전기부품,전기.전자 및 정밀기기 수리업,"인천광역시 서구 중봉대로 490, 522호(청라동) 522호",,2025-04-02
1692,AERO TECH,"시험기기, 산업기계","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업","인천광역시 서구 백석산로54번안길 14 (오류동, Aero tech)",032-564-7601,2025-04-02
1693,DK라이트,전기조명,일반용 전기 조명장치 제조업 외 1 종,"인천광역시 서구 장고개로168번길 52 (가좌동, 1동)",,2025-04-02
1694,E.M SYSTEM,자동제어판넬,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 중봉대로 490, 662호(청라동) 662호",,2025-04-02
1695,ELG,정온전선,기타 절연선 및 케이블 제조업,"인천광역시 서구 보듬로 158, 8층 검단지식산업센터 블루텍 839호 (오류동) 외 1필지",032-577-6355,2025-04-02
1696,FINE TESTER,SMT,전자부품 실장기판 제조업 외 1 종,"인천광역시 서구 가재울로 109,  (가좌동) 1동 5층 506호",032-812-6414,2025-04-02
1697,FINE TESTER,"전자부품, 전자부품 개발",전자부품 실장기판 제조업 외 1 종,인천광역시 서구 가좌로12번길 23 (가좌동),032-812-6414,2025-04-02
1698,GD,헬스용품,"체조, 육상 및 체력단련용 장비 제조업","인천광역시 서구 가정로37번길 33, A동 1층 105호, 205호 (가좌동, 가좌I.C APT형 공장) 가좌IC지식산업센터 A동 105호,205호",032-584-1584,2025-04-02
1699,GF전자,전원공급장치,"전기회로 개폐, 보호장치 제조업 외 1 종",인천광역시 서구 검단로 294-27 (왕길동),032-553-7001,2025-04-02
1700,HS산업,주방가구(싱크대 상판),기타 목재가구 제조업 외 1 종,"인천광역시 서구 건지로121번길 35,(일부) (석남동)",032-577-5111,2025-04-02
1701,HYD엔지니어링,냉각기,산업용 냉장 및 냉동 장비 제조업,"인천광역시 서구 거북로 36, 나동 103호(석남동)",,2025-04-02
1702,HY솔루션,전자제품 도장,도장 및 기타 피막처리업,"인천광역시 서구 건지로121번길 21,(3,4층) (석남동)",032-822-8449,2025-04-02
1703,INNO TECH(이노텍),"산업용 송풍기,환풍기",산업용 송풍기 및 배기장치 제조업 외 1 종,인천광역시 서구 호두산로 80 (경서동),032-679-7594,2025-04-02
1704,JBT,"철재프레임, 철재가구, 집진기",절삭가공 및 유사처리업 외 2 종,"인천광역시 서구 봉수대로 196, 4동 1층 일부(가좌동)",032-574-7603,2025-04-02
1705,JDI레이저,레이저절단절곡임가공,절삭가공 및 유사처리업,인천광역시 서구 사렴로21번길 21(경서동),032-568-3984,2025-04-02
1706,JH정밀,"금형,기계부품",그 외 기타 일반목적용 기계 제조업,"인천광역시 서구 보듬로 158, B2층 검단지식산업센터 블루텍 B205호 (오류동)",032-220-5647,2025-04-02
1707,JH테크,감속기 부품,절삭가공 및 유사처리업,인천광역시 서구 백범로701번길 9 (가좌동),032-872-4500,2025-04-02
1708,JK홀딩스,주방용품,수동식 식품 가공기기 및 금속 주방용기 제조업,"인천광역시 서구 가좌로29번길 23 (가좌동, 2호)",032-577-3914,2025-04-02
1709,JM Tech,반도체금형 또는 부품,반도체 제조용 기계 제조업,인천광역시 서구 보도진로73번길 15 (가좌동),032-571-5437,2025-04-02
1710,JS실리텍,실리콘제품,고무패킹류 제조업,인천광역시 서구 장고개로117번길 24-8 (가좌동),032-515-9913,2025-04-02
1711,JT공조,승강기용 냉난방 에어컨,공기 조화장치 제조업,인천광역시 서구 한서로90번길 27(백석동),032-218-9995,2025-04-02
1712,K TEC,인쇄회로기판,경성 인쇄회로기판 제조업,"인천광역시 서구 백범로910번길 5 (가좌동, 우성전자)",032-574-8572,2025-04-02
1713,KC H.J무역,의류,섬유제품 기타 정리 및 마무리 가공업 외 1 종,"인천광역시 서구 백범로 633 (가좌동, 마동)",032-573-1835,2025-04-02
1714,KH프로파일,AL프로파일 구조물,육상 금속 골조 구조재 제조업 외 1 종,"인천광역시 서구 마중로 142, 가-3호 (오류동)",032-561-0758,2025-04-02
1715,KH하우징,건축용패널,"박판, 합판 및 유사 적층판 제조업","인천광역시 서구 봉수대로 163,D동 1층 (가좌동)",032-571-7638,2025-04-02
1716,KS동양글라스,판유리가공품,기타 판유리 가공품 제조업,인천광역시 서구 도담4로 17 (오류동),032-563-0915,2025-04-02
1717,KTC,인쇄회로기판,경성 인쇄회로기판 제조업,"인천광역시 서구 거북로 17, 가동 2층 201 (석남동, 인천테크피아)",032-574-2618,2025-04-02
1718,MH LED,"버스승강장 조명, 광고면 및 박물관 조명",전시 및 광고용 조명장치 제조업,"인천광역시 서구 원당대로 628, 108호 (당하동, 보미골드리즌빌)",032-567-1576,2025-04-02
1719,N.H.C,액체여과기,액체 여과기 제조업,인천광역시 서구 사월로37번길 22-6 (왕길동) (총 2 필지) 외 1필지,032-563-4348,2025-04-02
1720,NCT,도금 첨가제,그 외 기타 분류 안된 화학제품 제조업,"인천광역시 서구 백범로 681, 스마트테크노타워 716호 (가좌동)",032-204-9030,2025-04-02
1721,RESCO,전자부품 (저항기),전자저항기 제조업,"인천광역시 서구 봉수대로 141,(가좌동) B동 4층 408호",032-682-7779,2025-04-02
1722,S.T.M산업,금은박전사처리,표구처리업 외 1 종,"인천광역시 서구 가좌로96번길 14, 4층 (가좌동)",032-581-5530,2025-04-02
1723,SAM(샘),"솔레노이드(공기조절밸브, 개폐조절장치, 유량조절장치, 가전용 기기, 의료용 기기 등)",기기용 자동측정 및 제어장치 제조업,"인천광역시 서구 파랑로 495, 2동 613호(청라동) 2동 613호 외 1필지",032-710-7200,2025-04-02
1724,SAVEWAY Korea,스프레이 노즐,"탭, 밸브 및 유사장치 제조업","인천광역시 서구 가좌로29번길 22, (가좌동, IBC센터) 1동 2층 203호",032-577-8457,2025-04-02
1725,SC자원,"집진기, 열교환기",기체 여과기 제조업 외 1 종,인천광역시 서구 완정로65번안길 42-22 (마전동),032-322-7292,2025-04-02
1726,SG스포츠,스포츠 용품,기타 직물제품 제조업 외 6 종,인천광역시 서구 장고개로117번길 18-5 (가좌동),032-867-6631,2025-04-02
1727,SJ솔루션,공장자동화 제어기계,산업처리공정 제어장비 제조업,인천광역시 서구 파랑로116번길 19(원창동),032-822-3380,2025-04-02
1728,SK인천석유화학(주),정제유,원유 정제처리업 외 4 종,"인천광역시 서구 봉수대로 415 (원창동, SK인천정유) 외 141필지",032-570-5151,2025-04-02
1729,SM테크,"명찰꽂이, 명함꽂이, 손목밴드, 공기청정기부품, 프린터세척기, 경화기",기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,"인천광역시 서구 보듬로 158, 공존동 313호 (오류동, 블루텍) 공존동 313호",032-665-0570,2025-04-02
1730,SNY트랜치,"트렌치,그레이팅",그 외 기타 분류 안된 금속 가공 제품 제조업,인천광역시 서구 사월로37번안길 5 (왕길동),032-572-1645,2025-04-02
1731,SSK(에스에스케이),쇼케이스 부품,산업용 냉장 및 냉동 장비 제조업,인천광역시 서구 마중5로 28 (오류동),032-564-2591,2025-04-02
1732,SY전자,전자응용기기,그 외 기타 전자부품 제조업,"인천광역시 서구 파랑로 495, 2동 704호(청라동) 2동 704호",032-277-7859,2025-04-02
1733,THE조은코팅,"가방, 구두 악세사리 장식",도장 및 기타 피막처리업,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 B1층 B101호,,2025-04-02
1734,TOP ENGINEERING,휴대폰진동모터,그 외 기타 전자부품 제조업 외 1 종,"인천광역시 서구 염곡로15번길 7 (가좌동, 탑 엔지니어링)",032-527-7611,2025-04-02
1735,Top Chemical,접착제,접착제 및 젤라틴 제조업,"인천광역시 서구 염곡로 43, 3/4층 (가좌동)",032-463-7160,2025-04-02
1736,U-TEK엔지니어링,"전자부품(유,무선 자동덮개)",전자부품 실장기판 제조업,"인천광역시 서구 파랑로 495, 2동 1013호(청라동) 2동 1013호",032-568-2308,2025-04-02
1737,UP전기,조명기구,일반용 전기 조명장치 제조업,"인천광역시 서구 봉수대로501번길 42-1, 1층 (원창동)",032-576-5568,2025-04-02
1738,㈜가온트레이딩,가쓰오부시분말 등,"수산동물 훈제, 조리 및 유사 조제식품 제조업",인천광역시 서구 소담2로 39 (금곡동),031-388-5738,2025-04-02
1739,㈜경은에프엔씨,가구부품,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 검단로 167-35 (오류동) 외 2필지,032-563-2840,2025-04-02
1740,㈜교하엔텍,"플랜트설비, 철구조물, 금속탱크 등",구조용 금속 판제품 및 공작물 제조업 외 2 종,인천광역시 서구 두루물로 12 (오류동),032-560-9045,2025-04-02
1741,㈜남영식품,"엿,당류, 쌀가루",전분제품 및 당류 제조업 외 1 종,인천광역시 서구 소담로 41(금곡동),032-814-1072,2025-04-02
1742,㈜다다마스,"방송장비용 하드케이스, 장비용 하드케이스, 알루미늄형 가방",가방 및 기타 보호용 케이스 제조업,"인천광역시 서구 중봉대로 490, 10층 1046호 (청라동) 10층 1046호",032-574-5005,2025-04-02
1743,㈜다성엔지니어링,"전자파차폐실, 챔버, 쉴드룸",육상 금속 골조 구조재 제조업 외 1 종,인천광역시 서구 사월로 51 (왕길동) 외 1필지,032-773-8577,2025-04-02
1744,㈜레디츠,"폴라베어, 식음료로봇, 플레리월",산업용 로봇 제조업 외 2 종,"인천광역시 서구 중봉대로 490, 1024호 (청라동) 1024호",,2025-04-02
