순번,회사명,공장대표주소(도로명),사업자등록번호,업종명
379,주식회사 케이피디앤씨,"인천광역시 연수구 인천타워대로 99, 1002,1003,1004,1005,1006호(송도동, 애니오션빌딩)",2118879648,경영 컨설팅업
380,주식회사 큐에스택,"인천광역시 연수구 송도과학로 32, M동 2104호(송도동, 송도테크노파크IT센터)",8028501815,그 외 기타 의료용 기기 제조업
381,주식회사 크라이저,"인천광역시 연수구 송도미래로 30, 에이동 712호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1068645288,컴퓨터 모니터 제조업 외 2 종
382,주식회사 크레셈,인천광역시 연수구 벤처로36번길 37 (송도동),1238643820,반도체 제조용 기계 제조업
383,주식회사 테라노바,인천광역시 연수구 송도과학로 70 (송도동) 1동 7층 8호,4388802837,무인 항공기 및 무인 비행장치 제조업
384,주식회사 티씨에스,"인천광역시 연수구 송도미래로 30, E동 404호(송도동, 송도 BRC 스마트밸리 지식산업센터)",2868700963,플라스틱 접착처리 제품 제조업
385,주식회사 피스티스,"인천광역시 연수구 갯벌로145번길 15-6(송도동, 피스티스 연구소)",1218629609,치과용 기기 제조업 외 1 종
386,주식회사 피토메카,"인천광역시 연수구 송도미래로 30, 에이동 7층 713 (송도동) 외 1필지",1318625124,화장품 제조업
387,주식회사 형지I&C,"인천광역시 연수구 하모니로177번길 49, 12층(송도동, 형지글로벌 패션복합센터)",1198105079,"패션, 섬유류 및 기타 전문 디자인업"
388,주식회사 형지글로벌,"인천광역시 연수구 하모니로177번길 49, 5~6층, 13~16층(송도동, 형지글로벌 패션복합센터)",4128600376,"패션, 섬유류 및 기타 전문 디자인업"
389,주식회사 형지엘리트,"인천광역시 연수구 하모니로177번길 49, 1동(업무동) 7~11층, 17층(송도동, 형지글로벌 패션복합센터)",1058639463,"패션, 섬유류 및 기타 전문 디자인업"
390,주식회사 휴랜,"인천광역시 연수구 인천타워대로 99, 9층(송도동, 애니오션빌딩)",7618701070,응용 소프트웨어 개발 및 공급업
391,중앙에너지주식회사,"인천광역시 연수구 송도미래로 30, D동 12층 1209 (송도동)",1318166095,일반용 전기 조명장치 제조업 외 3 종
392,참좋은교복프리패스,"인천광역시 연수구 앵고개로 242, 206호(동춘동, 제일빌딩)",1310482681,"근무복, 작업복 및 유사의복 제조업"
393,케이엠비테크,"인천광역시 연수구 송도미래로 30, 비동 8층 814 (송도동)",1211781308,기기용 자동측정 및 제어장치 제조업 외 6 종
394,케이조인스(주),"인천광역시 연수구 송도미래로 30, 에이동 7층 709 (송도동)",3148609961,금속선 가공제품 제조업
395,코넷시스,인천광역시 연수구 갯벌로 80 (송도동),3018121396,기타 무선 통신장비 제조업
396,코아비오텍,인천광역시 연수구 갯벌로145번길 7-7 (송도동),1318611746,음ㆍ식료품 및 담배 가공기계 제조업
397,테크젠정공(주),"인천광역시 연수구 송도미래로 30, 비동 B1층 비03 (송도동)",1318610387,그 외 기타 전자부품 제조업 외 1 종
398,톤즈글로벌 주식회사,"인천광역시 연수구 송도과학로 70, 11층 1110호(송도동)",8138101855,"용기 세척, 포장 및 충전기 제조업"
399,티에스텍(주),"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 305호 (송도동)",1398126568,자동차용 신품 제동장치 제조업
400,티오케이첨단재료(주),인천광역시 연수구 첨단대로60번길 45 (송도동),1318640315,감광재료 및 관련 화학제품 제조업
401,파네스토리,"인천광역시 연수구 비류대로144번길 30, 2층 (옥련동)",7740100165,빵류 제조업
402,파이박스(주),"인천광역시 연수구 인천타워대로25번길 43-11, [지구단위계획 Ic-6의 1,2] (송도동)",1398121466,폴리스티렌 발포 성형제품 제조업 외 3 종
403,파이박스텔레메트리(주),"인천광역시 연수구 인천타워대로25번길 43-11, [지구단위계획 Ic-6의 1,2] (송도동)",1218187394,기타 부동산 임대업
404,파이오락스 (주),인천광역시 연수구 하모니로187번길 47 (송도동),1058179567,운송장비 조립용 플라스틱제품 제조업 외 2 종
405,팍스코,"인천광역시 연수구 송도미래로 30, D동 9층 911호(송도동, 송도 BRC 스마트밸리 지식산업센터)",6173721416,그 외 기타 의료용품 및 의약 관련제품 제조업 외 3 종
406,푸르개,인천광역시 연수구 송도미래로 30 (송도동) 에이동 11층 6호,2420101575,그 외 기타 특수목적용 기계 제조업
407,피지엠㈜,"인천광역시 연수구 갯벌로 112, 1층 일부(송도동, 에이티아이(ATI)본사)",5378101970,응용 소프트웨어 개발 및 공급업
408,하나비젼씨스템즈,"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 505호 (송도동)",1208615650,방송장비 제조업
409,하이코(주),"인천광역시 연수구 송도과학로 32, M 1103호 (송도동)",1218172343,기타 전기 변환장치 제조업 외 1 종
410,하이테크,"인천광역시 연수구 송도미래로 30, 에이동 B1층 B08 (송도동)",1371744517,그 외 기타 금속가공업
411,한국단자공업,"인천광역시 연수구 갯벌로 38, 7-37~38 (송도동, 한국단자공업주식회사)",1398113632,그 외 기타 전자부품 제조업
412,한국미쓰비시엘리베이터(주),인천광역시 연수구 지식기반로 101 (송도동),1378514007,승강기 제조업
413,한국바이켐,"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 505호 (송도동)",1398135636,계면활성제 제조업
414,한국산업디자인,"인천광역시 연수구 송도미래로 30, 에이동 4층 413 (송도동)",1310590117,간판 및 광고물 제조업
415,한국생활환경 시험연구원,인천광역시 연수구 갯벌로145번길 8 (송도동),2148212421,기타 공학 연구개발업
416,한국아이비엠(주),"인천광역시 연수구 벤처로 14, [지구단위계획 Ia-4의 1,2,5,6] (송도동)",1168103897,자료 처리업 외 3 종
417,한국유미코아촉매 유한책임회사 송도공장,인천광역시 연수구 송도미래로 106(송도동),2378501160,그 외 자동차용 신품 부품 제조업 외 2 종
418,한국이구스(주),인천광역시 연수구 벤처로12번길 42 (송도동),1318160863,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종
419,한샘오토메이션,"인천광역시 연수구 송도미래로 30, 디동1705호 (송도동)",1304151685,산업처리공정 제어장비 제조업 외 1 종
420,한울하이텍,인천광역시 연수구 송도동 11-63번지,1318643215,액정 표시장치 제조업
421,헨켈코리아(유),인천광역시 연수구 송도국제대로343번길 99 (송도동) 헨켈코리아(유),1198507696,접착제 및 젤라틴 제조업
422,헬러만타이툰 유한회사,인천광역시 연수구 벤처로12번길 28 (송도동),1318668569,폴리스티렌 발포 성형제품 제조업 외 1 종
423,혜승테크,"인천광역시 연수구 송도미래로 30, A동 17층 1708-D호 (송도동)",8294800140,금속 캔 및 기타 포장용기 제조업
424,호암정밀,"인천광역시 연수구 송도미래로 30, 에이동 B1층 비13,비14 (송도동)",1300568887,절삭가공 및 유사처리업 외 1 종
425,호원엔지니어링,"인천광역시 연수구 송도미래로 30, 비동 5층 513 (송도동)",1313650875,배전반 및 전기 자동제어반 제조업
426,휴먼템,"인천광역시 연수구 송도미래로 30, A동 3층 315,316 (송도동)",7630401073,가정용 전기 난방기기 제조업
427,휴앤코스메틱,"인천광역시 연수구 송도미래로 30, B동 6층 611 (송도동)",1400846824,화장품 제조업
